Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,9.34000,4.64800,4.69200,4.78800,6.27800,,11.37500,-6.68300,0.00900,-6.67400,-6.67400,-6.67400,-6.67400,-5.83300,-6.68300,9.96700,9.96700,-0.67000,-0.67000,4.96590,50.23560,-71.55250,-71.55250,-71.45610,-71.45610,0.15490,1.08620,2.60530,34.54500,-13.39840,-17.00340,-11.06820,-13.39840,4.53450,-0.26160,-0.26620
2021-12-31,11.22200,5.59200,5.63000,3.42200,5.81100,,9.54200,-3.91200,0.01000,-3.90200,-3.90200,-3.90200,-3.90200,-3.14200,-3.91200,9.37400,9.37400,-0.41000,-0.41000,5.14260,50.16930,-34.86010,-34.86010,-34.77100,-34.77100,0.16880,0.86190,2.41960,37.19660,-7.11020,-8.86640,-5.87080,-7.11020,4.99350,-0.0849,-0.1017
2021-09-30,8.27200,4.42100,3.85100,3.18400,6.52300,,10.01600,-6.16500,0.01000,-6.15500,-6.15500,-6.15500,-6.15500,-5.46300,-6.16500,9.43900,9.43900,-0.65000,-0.65000,5.80910,46.55460,-74.52850,-74.52850,-74.40760,-74.40760,0.12150,0.43550,2.95750,30.43160,-10.78950,-13.41920,-9.03800,-10.78950,5.20640,-0.2177,-0.2243
2021-06-30,7.92200,3.46400,4.45800,3.00600,5.51800,,8.83300,-4.37500,0.01300,-4.36200,-4.36200,-4.36200,-4.36200,-3.72400,-4.37500,9.29600,9.29600,-0.47000,-0.47000,6.67690,56.27370,-55.22600,-55.22600,-55.06190,-55.06190,0.10930,0.27830,2.93950,30.61730,-7.07800,-8.69950,-6.01790,-7.07800,5.62450,-0.1514,-0.1534
2021-03-31,7.04300,3.14900,3.89400,2.74600,6.03500,,9.09400,-5.20000,0.01800,-5.18200,-5.18200,-5.18200,-5.18200,-4.55900,-5.20000,9.18700,9.18700,-0.56000,-0.56000,8.98160,55.28890,-73.83220,-73.83220,-73.57660,-73.57660,0.09580,0.24180,3.34580,26.89910,-8.05550,-9.86450,-7.04620,-8.05550,5.88390,-0.50280,-0.51520
2020-12-31,8.28400,3.61900,4.66500,2.54300,8.65800,,11.51300,-6.84800,0.02000,-6.82800,-6.82800,-6.82800,-6.82800,-6.26200,-6.84800,4.62100,4.62100,4.00000,4.00000,6.89560,56.31340,-82.66540,-82.66540,-82.42390,-82.42400,0.10470,0.26860,4.11730,21.85900,-10.15920,-12.39200,-8.62990,-10.15920,6.14740,-1.4045,-1.4455
2020-09-30,7.14500,3.24900,3.89600,2.00500,6.29000,,8.60800,-4.71200,-0.05100,-4.76300,-4.76300,-4.76300,-4.76300,-4.17200,-4.71200,7.46500,7.46500,-0.64000,-0.64000,7.25350,54.52760,-65.94820,-65.94820,-66.66200,-66.66200,0.08850,0.23740,2.94150,30.59620,-6.90830,-8.42650,-5.90140,-6.90830,6.48290,9.3911,9.5812
2020-06-30,5.04700,3.10100,1.94600,1.43400,4.04100,,5.78900,-3.84300,-0.65400,-4.49700,-4.49700,-4.49700,-4.49700,-3.19800,-3.84300,1.07000,1.07000,-4.20000,-4.20000,,38.55760,-76.14420,-76.14420,-89.10240,-89.10240,,,,,,,,,,-5.0233,-5.1561
2020-03-31,5.90600,2.33800,3.56800,1.57100,4.77900,,6.66700,-3.09900,-0.58700,-3.68600,-3.68600,-3.68600,-3.68600,-2.30500,-3.09900,1.07000,1.07000,-3.44000,-3.44000,,60.41320,-52.47200,-52.47200,-62.41110,-62.41110,,,,,,,,,,-5.94770,-6.03460
2019-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,5.4327,5.7299
2019-09-30,8.06800,4.79300,3.27500,4.33100,3.96400,,8.61200,-5.33700,-0.48100,-5.81800,-5.81800,-5.81800,-5.81800,-5.33700,-5.33700,1.07000,1.07000,-5.44000,-5.44000,,40.59250,-66.15020,-66.15020,-72.11210,-72.11210,,,,,,,,,,-5.4327,-5.7299
2018-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
