Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,142.16300,40.81100,101.35200,11.53200,,68.75800,32.59400,-21.19600,11.39800,11.39800,11.39800,10.07900,90.20500,32.59400,113.57100,128.50300,0.09000,0.09000,0.00830,0.73930,71.29280,22.92720,22.92720,8.01760,7.08980,0.03060,0.44920,0.45440,0.24560,0.44920,22.29570,0.46860,0.42320
2021-12-31,137.06100,42.74900,94.31200,15.91500,,71.51900,22.79300,-28.62900,-5.83600,-5.83600,-5.83600,-5.20900,78.99700,22.79300,102.40300,116.67200,-0.04000,-0.04000,0.05270,0.76390,68.81020,16.62980,16.62980,-4.25800,-3.80050,0.02940,-0.23570,-0.23850,-0.12500,-0.23570,21.87280,0.6354,0.6922
2021-09-30,132.33400,37.98300,94.35100,11.62700,-0.69800,66.22600,28.12500,-11.56300,16.56200,16.56200,16.56200,14.63300,82.64500,28.12500,108.99700,122.57300,0.13000,0.13000,0.05730,0.68040,71.29760,21.25300,21.25300,12.51530,11.05760,0.02950,0.66310,0.67090,0.36870,0.66310,22.06240,0.4059,0.6407
2021-06-30,133.07000,38.78800,94.28200,11.93700,-1.05600,69.58000,24.70200,-18.31200,6.39000,6.39000,6.39000,5.59400,82.00800,24.70200,93.62500,107.17500,0.06000,0.06000,0.04440,1.11670,70.85140,18.56320,18.56320,4.80200,4.20380,0.02950,0.32020,0.32500,0.14180,0.32020,21.30910,0.7564,1.1717
2021-03-31,130.38100,38.77500,91.60600,9.34100,-5.00000,69.68200,21.92400,-21.80700,0.11700,0.11700,0.11700,0.10300,78.00800,21.92400,93.49000,106.99500,0.00000,0.00000,0.02440,1.13320,70.26020,16.81530,16.81530,0.08970,0.07900,0.02860,0.00580,0.00590,0.00260,0.00580,7.15740,0.45560,0.87450
2020-12-31,120.75900,41.43300,79.32600,11.24200,,69.65200,9.67400,-22.42800,-12.75400,-12.75400,-12.75400,-11.19300,66.40800,9.67400,96.76000,111.15600,-0.04000,-0.04000,0.04960,1.13720,65.68950,8.01100,8.01100,-10.56150,-9.26890,0.02580,-0.63270,-0.64190,-0.27260,-0.63270,21.61180,0.4802,0.3582
2020-09-30,126.69500,38.11700,88.57800,9.59500,,65.69000,22.88800,-9.45800,13.43000,13.43000,13.43000,11.78400,79.68600,22.88800,96.82200,111.18800,0.12000,0.12000,0.05230,1.10030,69.91440,18.06540,18.06540,10.60030,9.30110,0.02680,0.63720,0.64610,0.28440,0.63720,7.25610,0.6047,0.6971
2020-06-30,119.04000,36.08200,82.95800,9.80600,,66.17600,16.78200,-23.19500,-6.41300,-6.41300,-6.41300,-5.58800,74.42400,16.78200,96.82100,111.06900,-0.06000,-0.06000,,,69.68920,14.09780,14.09780,-5.38730,-4.69420,,,,,,,0.7026,0.6733
2020-03-31,131.52300,38.87400,92.64900,10.74000,,66.96700,25.68200,-14.48300,11.19900,11.19900,11.19900,9.76900,83.43300,25.68200,289.95500,333.22800,0.03000,0.03000,,,70.44320,19.52660,19.52660,8.51490,7.42760,,,,,,,0.10690,0.11130
2019-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,-0.5385,-0.6551
2019-09-30,136.00900,41.31200,94.69700,11.53700,-35.71000,105.72400,-11.02700,-18.70000,-29.72700,-29.72700,-29.72700,-25.87700,-11.02700,-11.02700,283.82700,326.61000,-0.09000,-0.09000,,,69.62550,-8.10760,-8.10760,-21.85670,-19.02600,,,,,,,0.5385,0.6551
