Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,return-on-tangible-equity,roa,roi,book-value-per-share
2020-03-31,6.25450,6.25450,0.32890,,5.92560,0.00440,5.93000,5.93000,5.93000,5.93000,5.92560,5.92560,46.60900,46.60900,0.13000,0.13000,1.00000,100.00000,94.74200,94.74200,94.81170,94.81170,2.05840,1441.32000,195.15920,1441.32000,0.00880
2019-12-31,5.12960,5.12960,0.21320,,4.91640,0.00480,4.92130,4.92130,4.92130,4.92130,4.91640,4.91640,46.60900,46.60900,0.11000,0.11000,1.00000,100.00000,95.84370,95.84370,95.93780,95.93780,1.56060,1159.29100,149.71570,1159.29100,0.00910
2019-09-30,6.06030,6.06030,0.11850,,5.94170,0.00680,5.94850,5.94850,5.94850,5.94850,5.94170,5.94170,46.60900,46.60900,0.13000,0.13000,1.00000,100.00000,98.04380,98.04380,98.15530,98.15530,1.80890,1366.56400,177.55530,1366.56400,0.00930
2019-06-30,4.76710,4.76710,0.45640,,4.31060,0.00430,4.31490,4.31490,4.31490,4.31490,4.31060,4.31060,46.60900,46.60900,0.09000,0.09000,1.00000,100.00000,90.42560,90.42560,90.51500,90.51500,1.42350,962.38060,128.85110,962.38070,0.00960
2019-03-31,4.53040,4.53040,0.30110,,4.22930,0.00720,4.23650,4.23650,4.23650,4.23650,4.22930,4.22930,46.60900,46.60900,0.09000,0.09000,1.00000,100.00000,93.35320,93.35320,93.51120,93.51120,1.67610,925.53740,156.73820,925.53740,0.00980
2018-12-31,7.50950,7.50950,0.14300,,7.36650,0.00680,7.37330,7.37330,7.37330,7.37330,7.36650,7.36650,46.60900,46.60900,0.16000,0.16000,1.00000,100.00000,98.09560,98.09560,98.18590,98.18590,1.88010,1576.90100,184.59990,1576.90100,0.01000
2018-09-30,7.23640,7.23640,0.18650,,7.04980,0.00700,7.05680,7.05680,7.05680,7.05680,7.04980,7.04980,46.60900,46.60900,0.15000,0.15000,1.00000,100.00000,97.42270,97.42270,97.51940,97.51940,1.76950,1455.18500,172.55910,1455.18400,0.01040
2018-06-30,7.62310,7.62310,0.58150,,7.04170,0.00680,7.04840,7.04840,7.04840,7.04840,7.04170,7.04170,46.60900,46.60900,0.15000,0.15000,1.00000,100.00000,92.37240,92.37240,92.46100,92.46100,2.11760,1422.98200,195.79770,1422.98200,0.01060
2018-03-31,9.71930,9.71930,0.41390,,9.30550,0.00550,9.31090,9.31090,9.31090,9.31090,9.30550,9.30550,46.60900,46.60900,0.20000,0.20000,1.00000,100.00000,95.74200,95.74200,95.79830,95.79830,1.93120,1826.67300,185.00400,1826.67200,0.01090
2017-12-31,7.43800,7.43800,0.17790,,7.26020,0.00410,7.26430,7.26430,7.26430,7.26430,7.26020,7.26020,46.60900,46.60900,0.15000,0.15000,1.00000,100.00000,97.60880,97.60880,97.66340,97.66350,1.88280,1373.09200,183.88360,1373.09300,0.01140
2017-09-30,6.09550,6.09550,0.19850,,5.89700,0.00330,5.90030,5.90030,5.90030,5.90030,5.89700,5.89700,46.60900,46.60900,0.13000,0.13000,1.00000,100.00000,96.74400,96.74400,96.79760,96.79760,1.75380,1071.32500,169.76000,1071.32600,0.01180
2017-06-30,7.47370,7.47370,0.50500,,6.96870,0.00310,6.97180,6.97180,6.97180,6.97180,6.96870,6.96870,46.60900,46.60900,0.15000,0.15000,1.00000,100.00000,93.24310,93.24310,93.28390,93.28390,2.11480,1231.66400,197.27310,1231.66400,0.01210
2017-03-31,9.55220,9.55220,0.36550,,9.18680,0.00230,9.18900,9.18900,9.18900,9.18900,9.18680,9.18680,46.60900,46.60900,0.20000,0.20000,1.00000,100.00000,96.17410,96.17410,96.19800,96.19800,2.48640,1574.36700,239.19020,1574.36800,0.01250
2016-12-31,7.38320,7.38320,0.25010,,7.13310,0.00150,7.13470,7.13470,7.13470,7.13470,7.13310,7.13310,46.60880,46.60880,0.16000,0.16000,1.00000,100.00000,96.61300,96.61300,96.63380,96.63380,1.67850,1182.96200,162.19870,1182.96200,0.01290
2016-09-30,6.55490,6.55490,0.31180,,6.24310,0.00080,6.24390,6.24390,6.24390,6.24390,6.24310,6.24310,46.60900,46.60900,0.13000,0.13000,1.00000,100.00000,95.24320,95.24320,95.25540,95.25540,2.35500,970.00380,224.32750,970.00380,0.01380
2016-06-30,4.37980,4.37980,0.71500,,3.66480,0.00020,3.66500,3.66500,3.66500,3.66500,3.66480,3.66480,46.60900,46.60900,0.08000,0.08000,1.00000,100.00000,83.67460,83.67460,83.67990,83.67990,1.42900,559.47740,119.58130,559.47740,0.01410
2016-03-31,2.77000,2.77000,0.46480,,2.30520,0.00010,2.30530,2.30530,2.30530,2.30530,2.30520,2.30520,46.60900,46.60900,0.05000,0.05000,1.00000,100.00000,83.21920,83.21920,83.22220,83.22220,1.43530,343.11230,119.45090,343.11230,0.01440
2015-12-31,3.16110,3.16110,0.31040,,2.85070,0.00000,2.85080,2.85080,2.85080,2.85080,2.85070,2.85070,46.60880,46.60880,0.05000,0.05000,1.00000,100.00000,90.18060,90.18070,90.18160,90.18160,1.47340,418.80820,132.87550,418.80820,0.01460
2015-09-30,5.88230,5.88230,0.38840,,5.49390,0.00000,5.49390,5.49390,5.49390,5.49390,5.49390,5.49390,46.60900,46.60900,0.12000,0.12000,1.00000,100.00000,93.39700,93.39700,93.39750,93.39750,2.78830,796.34590,260.41720,796.34610,0.01480
2015-06-30,4.12190,4.12190,0.60100,,3.52100,0.00000,3.52100,3.52100,3.52100,3.52100,3.52100,3.52100,46.60900,46.60900,0.08000,0.08000,1.00000,100.00000,85.42040,85.42040,85.42080,85.42080,1.71560,501.12720,146.54460,501.12710,0.01510
2015-03-31,4.63010,4.63010,0.44610,,4.18400,0.00000,4.18400,4.18400,4.18400,4.18400,4.18400,4.18400,46.60900,46.60900,0.09000,0.09000,1.00000,100.00000,90.36540,90.36540,90.36610,90.36610,2.69330,586.49020,243.38710,586.49010,0.01530
2014-12-31,7.03520,7.03520,0.18300,,6.85210,0.00010,6.85220,6.85220,6.85220,6.85220,6.85210,6.85210,46.60880,46.60880,0.15000,0.15000,1.00000,100.00000,97.39820,97.39820,97.39900,97.39900,2.48740,947.81120,242.27460,947.81130,0.01550
2014-09-30,15.23310,15.23310,0.19370,,15.03940,0.00010,15.03940,15.03940,15.03940,15.03940,15.03940,15.03940,46.60900,46.60900,0.32000,0.32000,1.00000,100.00000,98.72830,98.72830,98.72880,98.72880,2.96000,2063.82400,292.23870,2063.82400,0.01560
2014-06-30,14.60730,14.60730,0.48190,,14.12540,0.00010,14.12550,14.12550,14.12550,14.12550,14.12540,14.12540,46.60900,46.60900,0.30000,0.30000,1.00000,100.00000,96.70110,96.70110,96.70160,96.70160,2.78270,1889.17700,269.09600,1889.17700,0.01600
2014-03-31,12.13510,12.13510,0.43480,,11.70030,0.00010,11.70040,11.70040,11.70040,11.70040,11.70030,11.70030,46.60800,46.60800,0.25000,0.25000,1.00000,100.00000,96.41720,96.41720,96.41770,96.41770,2.08330,1526.47400,200.86730,1526.47400,0.01640
2013-12-31,10.94770,10.94770,0.22250,,10.72520,0.00010,10.72530,10.72530,10.72530,10.72530,10.72520,10.72520,46.60880,46.60880,0.23000,0.23000,1.00000,100.00000,97.96770,97.96760,97.96880,97.96880,2.79450,1373.50500,273.77470,1373.50500,0.01680
2013-09-30,12.62090,12.62090,0.14590,,12.47510,0.00010,12.47520,12.47520,12.47520,12.47520,12.47510,12.47510,46.60900,46.60900,0.27000,0.27000,1.00000,100.00000,98.84440,98.84440,98.84510,98.84510,2.19670,1574.33900,217.13160,1574.33900,0.01700
2013-06-30,11.15450,11.15450,0.53390,,10.62060,0.00010,10.62060,10.62060,10.62060,10.62060,10.62060,10.62060,46.60800,46.60800,0.23000,0.23000,1.00000,100.00000,95.21330,95.21330,95.21380,95.21380,2.49840,1317.77300,237.88150,1317.77300,0.01730
2013-03-31,7.02300,7.02300,0.32460,,6.69840,0.00020,6.69860,6.69860,6.69860,6.69860,6.69840,6.69840,46.60800,46.60800,0.14000,0.14000,1.00000,100.00000,95.37740,95.37740,95.38020,95.38020,1.99540,820.52710,190.32140,820.52710,0.01750
2012-12-31,9.44610,9.44610,0.17080,,9.27520,0.00010,9.27530,9.27530,9.27530,9.27530,9.27520,9.27520,46.60880,46.60880,0.20000,0.20000,1.00000,100.00000,98.19170,98.19170,98.19260,98.19260,2.77830,1122.99100,272.80870,1122.99100,0.01770
2012-09-30,9.12100,9.12100,0.16770,,8.95330,0.00010,8.95340,8.95340,8.95340,8.95340,8.95330,8.95330,46.60880,46.60880,0.19000,0.19000,1.00000,100.00000,98.16160,98.16160,98.16280,98.16280,2.47450,1068.11800,242.90550,1068.11800,0.01800
2012-06-30,16.14230,16.14230,0.48510,,15.65710,0.00010,15.65730,15.65730,15.65730,15.65730,15.65710,15.65710,46.60880,46.60880,0.34000,0.34000,1.00000,100.00000,96.99460,96.99460,96.99550,96.99550,3.28630,1839.27200,318.75670,1839.27200,0.01830
2012-03-31,20.42170,20.42170,0.32560,,20.09610,0.00040,20.09650,20.09650,20.09650,20.09650,20.09610,20.09610,46.60880,46.60880,0.43000,0.43000,1.00000,100.00000,98.40560,98.40560,98.40750,98.40750,2.74360,2311.21100,269.98620,2311.21200,0.01870
2011-12-31,14.50600,14.50600,0.18170,,14.32420,0.00010,14.32440,14.32440,14.32440,14.32440,14.32420,14.32420,46.60880,46.60880,0.31000,0.31000,1.00000,100.00000,98.74710,98.74710,98.74790,98.74790,2.58140,1606.63300,254.90350,1606.63300,0.01910
2011-09-30,14.87990,14.87990,0.15020,,14.72970,0.00020,14.72990,14.72990,14.72990,14.72990,14.72970,14.72970,46.60880,46.60880,0.32000,0.32000,1.00000,100.00000,98.99070,98.99070,98.99180,98.99180,4.60570,1617.66000,455.92860,1617.66000,0.01950
2011-06-30,18.39870,18.39870,0.50290,,17.89580,0.00020,17.89590,17.89590,17.89590,17.89590,17.89580,17.89580,46.60880,46.60880,0.38000,0.38000,1.00000,100.00000,97.26650,97.26650,97.26740,97.26740,2.40950,1928.95300,234.36930,1928.95300,0.01990
2011-03-31,16.79830,16.79830,0.33950,,16.45880,0.00020,16.45900,16.45900,16.45900,16.45900,16.45880,16.45880,46.60880,46.60880,0.35000,0.35000,1.00000,100.00000,97.97890,97.97890,97.98000,97.98000,2.31470,1735.06700,226.79750,1735.06700,0.02040
2010-12-31,14.29610,14.29610,0.16250,,14.13370,0.00040,14.13410,14.13410,14.13410,14.13410,14.13370,14.13370,46.60880,46.60880,0.30000,0.30000,1.00000,100.00000,98.86360,98.86360,98.86650,98.86650,2.57490,1455.30900,254.57020,1455.31000,0.02080
2010-09-30,16.01620,16.01620,0.12410,,15.89220,0.00040,15.89260,15.89260,15.89260,15.89260,15.89220,15.89220,46.60880,46.60880,0.34000,0.34000,1.00000,100.00000,99.22540,99.22540,99.22810,99.22810,2.56300,1596.51800,254.31900,1596.51800,0.02140
2010-06-30,18.44420,18.44420,0.45950,,17.98470,0.00030,17.98490,17.98490,17.98490,17.98490,17.98470,17.98470,46.60880,46.60880,0.39000,0.39000,1.00000,100.00000,97.50850,97.50850,97.50990,97.50990,2.66930,1756.34800,260.27890,1756.34800,0.02200
2010-03-31,16.50870,16.50870,0.40380,,16.10490,0.00010,16.10510,16.10510,16.10510,16.10510,16.10490,16.10490,46.60880,46.60880,0.35000,0.35000,1.00000,100.00000,97.55400,97.55400,97.55490,97.55490,2.39180,1528.59800,233.33650,1528.59800,0.02260
2009-12-31,14.05050,14.05050,0.19990,,13.85060,0.00030,13.85090,13.85090,13.85090,13.85090,13.85060,13.85060,46.60880,46.60880,0.29830,0.29830,1.00000,100.00000,98.57750,98.57750,98.57960,98.57970,2.14080,1282.50800,211.04100,1282.50800,0.02320
2009-09-30,10.46900,10.46900,0.13560,,10.33340,0.00030,10.33370,10.33370,10.33370,10.33370,10.33340,10.33340,46.60880,46.60880,0.22170,0.22170,1.00000,100.00000,98.70440,98.70440,98.70750,98.70750,2.45440,933.53520,242.27100,933.53510,0.02370
2009-06-30,6.72520,6.72520,0.48760,,6.23770,0.00040,6.23810,6.23810,6.23810,6.23810,6.23770,6.23770,46.60880,46.60880,0.13000,0.13000,1.00000,100.00000,92.75040,92.75040,92.75700,92.75700,2.02410,551.85610,187.75200,551.85600,0.02430
2009-03-31,7.71340,7.71340,0.44240,,7.27100,0.00220,7.27320,7.27320,7.27320,7.27320,7.27100,7.27100,46.60880,46.60880,0.16000,0.16000,1.00000,100.00000,94.26430,94.26430,94.29330,94.29330,3.04580,631.40190,287.19560,631.40190,0.02470
