Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,55.35700,38.24200,17.11500,9.80800,9.93700,7.17800,7.17800,0.72900,6.44900,6.44900,6.44900,8.84600,7.17800,50.36600,50.90600,0.13000,0.13000,12.96670,12.96670,12.96670,11.64980,0.03190,3.27520,3.27520,0.37210,3.27520,3.90700,0.23850,0.23780
2021-12-31,69.92100,27.97300,41.94800,-0.85400,11.56800,30.38000,30.38000,-43.67600,74.05600,74.05600,74.05600,44.49100,30.38000,49.97200,50.64500,1.48000,1.47000,43.44910,43.44910,43.44900,105.91380,0.03770,23.10130,23.10130,3.99330,23.10130,6.28110,0.3259,0.3229
2021-09-30,61.58400,53.46900,8.11500,10.55900,10.84200,-2.72700,-2.72700,0.07200,-2.79900,-2.79900,-2.79900,-0.90100,-2.72700,49.63000,50.26300,-0.06000,-0.06000,-4.42810,-4.42810,-4.42810,-4.54500,0.03360,-1.05610,-1.11310,-0.15280,-1.05610,5.34010,0.2949,0.2936
2021-06-30,63.55800,45.85900,17.69900,11.79000,12.09900,5.60000,5.60000,0.57800,5.02200,5.02200,5.02200,7.75400,5.60000,49.85200,50.44200,0.10000,0.10000,8.81090,8.81090,8.81090,7.90140,0.03500,1.86600,1.96510,0.27680,1.86600,5.42260,0.1426,0.1276
2021-03-31,55.48300,45.28400,10.19900,12.58000,12.94700,-2.74800,-2.74800,0.82500,-3.57300,-3.57300,-3.57300,-0.75000,-2.74800,50.55100,51.11800,-0.07000,-0.07000,-4.95290,-4.95290,-4.95290,-6.43980,0.03110,-1.48360,-1.57210,-0.20050,-1.48360,4.76340,0.03540,0.03510
2020-12-31,64.96800,53.40700,11.56100,13.32200,13.91000,-2.34900,-2.34900,-3.88700,1.53800,1.53800,1.53800,0.33600,-2.34900,50.40200,50.94000,0.03000,0.03000,-3.61560,-3.61560,-3.61560,2.36730,0.03520,0.51110,0.53520,0.08340,0.51110,5.95690,0.2761,0.2744
2020-09-30,59.82500,46.27800,13.54700,21.25900,21.71800,-8.17100,-8.17100,-0.25600,-7.91500,-7.91500,-7.91500,-5.43000,-8.17100,49.43700,49.83200,-0.16000,-0.16000,-13.65820,-13.65820,-13.65820,-13.23030,0.03240,-2.66720,-2.79500,-0.42920,-2.66720,5.87400,0.1175,0.1158
2020-06-30,58.34100,44.03300,14.30800,13.46900,13.87000,0.43800,0.43800,1.46500,-1.02700,-1.02700,-1.02700,3.48100,0.43800,50.34700,50.53000,-0.02000,-0.02000,0.75080,0.75080,0.75080,-1.76030,0.03220,-0.35440,-0.37180,-0.05660,-0.35440,5.75480,0.2858,0.2851
2020-03-31,55.72200,45.00600,10.71600,12.58300,12.95100,-2.23500,-2.23500,1.34900,-3.58400,-3.58400,-3.58400,0.59600,-2.23500,50.30700,50.45700,-0.07000,-0.07000,-4.01100,-4.01100,-4.01100,-6.43190,0.03250,-1.66130,-1.89670,-0.20920,-1.66130,4.28530,0.27930,0.27920
2019-12-31,69.80600,52.50100,17.30500,12.02300,12.37700,4.92800,4.92800,-0.02300,4.95100,4.95100,4.95100,8.12700,4.92800,50.21600,50.34900,0.09000,0.09000,7.05960,7.05960,7.05960,7.09250,0.04000,1.90540,2.01050,0.28370,1.90540,5.17280,0.4228,0.4228
2019-09-30,61.46700,45.59900,15.86800,13.38100,13.73600,2.13200,2.13200,0.08600,2.04600,2.04600,2.04600,6.04200,2.13200,50.23100,50.32900,0.04000,0.04000,3.46850,3.46850,3.46850,3.32860,0.03540,0.78290,0.87070,0.11770,0.78290,5.20280,0.387,0.3849
2019-06-30,56.86600,46.30300,10.56300,13.46800,13.88600,-3.32300,-3.32300,1.24200,-4.56500,-4.56500,-4.56500,0.79200,-3.32300,50.23100,50.28200,-0.09000,-0.09000,-5.84360,-5.84360,-5.84360,-8.02760,0.03340,-1.93080,-2.18750,-0.26820,-1.93080,4.70690,0.2681,0.2651
2019-03-31,62.40600,44.39800,18.00800,15.58100,16.00000,2.00800,2.00800,5.81000,-3.80200,-3.80200,-3.80200,6.86600,2.00800,50.23100,50.26900,-0.07000,-0.07000,3.21760,3.21760,3.21760,-6.09240,0.03750,-1.79430,-2.07060,-0.22830,-1.79430,4.21840,0.35650,0.35180
2018-12-31,65.57000,49.91400,15.65600,16.74300,17.68400,-2.02800,-2.02800,-0.59600,-1.43200,-1.43200,-1.43200,3.66000,-2.02800,50.08200,50.14100,-0.02970,-0.02970,-3.09290,-3.09290,-3.09290,-2.18390,0.04060,-0.76280,-0.82230,-0.08860,-0.76280,3.74850,0.3863,0.3824
2018-09-30,61.16100,36.98000,24.18100,18.25300,18.61900,5.56200,5.56200,12.67100,-7.10900,-7.10900,-7.10900,10.59000,5.56200,50.08200,50.12900,-0.14000,-0.14000,9.09400,9.09400,9.09400,-11.62340,0.03820,-3.93330,-4.70810,-0.44380,-3.93330,3.60890,0.4634,0.459
2018-06-30,59.84200,47.45500,12.38700,16.02600,16.49800,-4.11100,-4.11100,-1.55300,-2.55800,-2.55800,-2.55800,0.80900,-4.11100,50.08200,50.11100,-0.05100,-0.05100,-6.86980,-6.86980,-6.86980,-4.27460,0.03620,-1.29560,-1.52860,-0.15480,-1.29560,3.94210,0.3988,0.3957
2018-03-31,57.43300,46.02500,11.40800,8.15000,8.82900,2.57900,2.57900,2.54200,0.03700,0.03700,0.03700,7.85000,2.57900,50.08200,50.08200,0.00070,0.00070,4.49040,4.49040,4.49050,0.06440,0.03490,0.01770,0.02070,0.00220,0.01770,4.18210,0.43910,0.43790
2017-12-31,67.86300,57.40500,10.45800,19.09300,19.59300,-9.13500,-9.13500,35.06900,-44.20400,-44.20400,-44.20400,0.50600,-9.13500,50.08200,50.08200,-0.87900,-0.87900,-13.46100,-13.46100,-13.46100,-65.13710,0.04130,-19.77690,-22.97160,-2.68810,-19.77690,4.46290,0.4823,0.4802
2017-09-30,64.33100,53.46500,10.86600,7.12100,7.75600,3.11000,3.11000,-0.33900,3.44900,3.44900,3.44900,8.11900,3.11000,50.08200,50.08200,0.06900,0.06900,4.83440,4.83440,4.83440,5.36130,0.03900,1.30530,1.51280,0.20890,1.30530,5.27580,0.5079,0.5033
2017-06-30,60.85200,48.16700,12.68500,10.11400,10.58900,2.09600,2.09600,1.52400,0.57200,0.57200,0.57200,7.01600,2.09600,50.08200,50.08200,0.01000,0.01000,3.44440,3.44440,3.44440,0.94000,0.03750,0.22170,0.25830,0.03520,0.22170,5.15180,0.4351,0.4248
2017-03-31,59.58100,47.48900,12.09200,10.63000,11.14900,0.94300,0.94300,-1.11300,2.05600,2.05600,2.05600,5.80400,0.94300,50.08200,50.08200,0.04000,0.04000,1.58270,1.58270,1.58270,3.45080,0.03700,0.80820,0.94610,0.12770,0.80820,5.07960,0.43190,0.42320
2016-12-31,67.90300,59.55600,8.34700,8.24600,8.72100,-0.37400,-0.37400,-0.49000,0.11600,0.11600,0.11600,4.27400,-0.37400,50.08200,50.08200,-0.00100,-0.00100,-0.55080,-0.55080,-0.55080,0.17080,0.04290,0.04660,0.05490,0.00730,0.04660,4.97380,0.6608,0.6361
2016-09-30,61.74100,52.48300,9.25800,4.01000,4.65100,4.60700,4.60700,1.84500,2.76200,2.76200,2.76200,9.18600,4.60700,50.08200,50.08200,0.06000,0.06000,7.46180,7.46180,7.46180,4.47350,0.03940,1.05110,1.22750,0.17630,1.05110,5.24680,0.5218,0.5139
2016-06-30,61.23700,50.93400,10.30300,7.34200,7.74400,2.55900,2.55900,1.07700,1.48200,1.48200,1.48200,6.64200,2.55900,50.08200,50.08200,0.03000,0.03000,4.17880,4.17880,4.17880,2.42010,0.03960,0.56760,0.66550,0.09580,0.56760,5.21300,0.4401,0.4349
2016-03-31,54.52500,45.74800,8.77700,9.54100,10.08600,-1.30900,-1.30900,1.08200,-2.39100,-2.39100,-2.39100,2.92600,-1.30900,50.08200,50.08200,-0.05000,-0.05000,-2.40070,-2.40070,-2.40070,-4.38510,0.03630,-0.95980,-1.13820,-0.15930,-0.95980,4.97390,0.41940,0.41410
2015-12-31,62.20500,56.18600,6.01900,6.78600,7.33500,-1.31600,-1.31600,0.44100,-1.75700,-1.75700,-1.75700,2.67700,-1.31600,50.08200,50.08200,-0.03310,-0.03310,-2.11560,-2.11560,-2.11560,-2.82450,0.04200,-0.71150,-0.84830,-0.11870,-0.71150,4.93040,0.4877,0.4807
2015-09-30,58.12400,52.91100,5.21300,4.74700,5.35200,-0.13900,-0.13900,-0.24200,0.10300,0.10300,0.10300,3.85300,-0.13900,50.08200,50.08200,0.00210,0.00210,-0.23920,-0.23920,-0.23910,0.17720,0.03940,0.04120,0.04920,0.00700,0.04120,4.98670,0.4573,0.455
2015-06-30,60.07900,52.34500,7.73400,8.05600,8.57200,-0.83800,-0.83800,1.07600,-1.91400,-1.91400,-1.91400,2.79300,-0.83800,50.08200,50.08200,-0.04000,-0.04000,-1.39480,-1.39480,-1.39480,-3.18580,0.04140,-0.76790,-0.91840,-0.13200,-0.76790,4.97680,0.4555,0.4547
2015-03-31,55.86000,48.86900,6.99100,5.99400,6.64100,0.35000,0.35000,-0.07500,0.42500,0.42500,0.42500,3.85100,0.35000,50.08200,50.08200,0.00800,0.00800,0.62660,0.62660,0.62660,0.76080,0.03870,0.16220,0.19230,0.02940,0.16220,5.23270,0.33970,0.33800
2014-12-31,63.46100,58.43900,5.02200,12.86300,13.44700,-8.42500,-8.42500,2.21600,-10.64100,-10.64100,-10.64100,-4.96500,-8.42500,50.08200,51.08400,-0.21200,-0.21200,-13.27590,-13.27590,-13.27590,-16.76780,0.04480,-4.11870,-4.91310,-0.75070,-4.11870,5.15870,0.5822,0.5804
2014-09-30,57.23000,50.32200,6.90800,3.17900,3.63200,3.27600,3.27600,0.95200,2.32400,2.32400,2.32400,6.45700,3.27600,50.08200,50.08200,0.05000,0.05000,5.72430,5.72430,5.72430,4.06080,0.04340,0.87120,1.03610,0.17630,0.87120,5.32670,0.4679,0.4671
2014-06-30,56.50200,49.46200,7.04000,4.91800,5.53200,1.50800,1.50800,0.35800,1.15000,1.15000,1.15000,4.81900,1.50800,50.08200,50.08200,0.02300,0.02300,2.66890,2.66890,2.66890,2.03530,0.04350,0.43340,0.51700,0.08860,0.43340,5.29850,0.4575,0.4563
2014-03-31,53.03200,46.16700,6.86500,4.64300,5.17400,1.69100,1.69100,0.49400,1.19700,1.19700,1.19700,4.77500,1.69100,50.08200,50.08200,0.02000,0.02000,3.18860,3.18860,3.18860,2.25710,0.04210,0.46720,0.56310,0.09500,0.46720,5.11520,0.40950,0.40390
2013-12-31,56.86600,52.01400,4.85200,2.85300,3.44200,1.41000,1.41000,0.60400,0.80600,0.80600,0.80600,4.98900,1.41000,50.08200,50.08200,0.00600,0.00600,2.47950,2.47950,2.47950,1.41740,0.04680,0.32790,0.39430,0.06630,0.32790,4.90810,0.5408,0.5407
2013-09-30,53.61600,46.46300,7.15300,3.85400,4.53500,2.61800,2.61800,0.79400,1.82400,1.82400,1.82400,5.58900,2.61800,50.08200,50.08200,0.04000,0.04000,4.88290,4.88290,4.88290,3.40200,0.04490,0.73630,0.88620,0.15270,0.73630,4.94650,0.4256,0.4243
2013-06-30,53.60800,47.22000,6.38800,4.03300,4.59300,1.79500,1.79500,0.48800,1.30700,1.30700,1.30700,4.63100,1.79500,50.08200,50.08200,0.03000,0.03000,3.34840,3.34840,3.34840,2.43810,0.04550,0.52560,0.63400,0.11090,0.52560,4.96480,0.2983,0.2955
2013-03-31,49.54600,42.89700,6.64900,4.96300,5.54100,1.10800,1.10800,0.25200,0.85600,0.85600,0.85600,4.30300,1.10800,50.08200,50.08200,0.02000,0.02000,2.23630,2.23630,2.23630,1.72770,0.04170,0.32420,0.38670,0.07210,0.32420,5.27140,0.36090,0.35730
2012-12-31,54.07000,50.61900,3.45100,3.25900,3.89200,-0.44100,-0.44100,-0.14400,-0.29700,-0.29700,-0.29700,2.47700,-0.44100,50.00700,50.00700,-0.00700,-0.00700,-0.81560,-0.81560,-0.81560,-0.54930,0.04600,-0.11290,-0.13500,-0.02530,-0.11290,5.25350,0.4339,0.4296
2012-09-30,52.18200,44.89700,7.28500,2.64200,3.24000,4.04500,4.04500,1.13400,2.91100,2.91100,2.91100,6.62800,4.04500,50.02100,50.03200,0.06000,0.06000,7.75170,7.75170,7.75170,5.57860,0.04530,1.10250,1.32180,0.25280,1.10250,5.27350,0.3482,0.3471
2012-06-30,49.60200,44.87200,4.73000,3.73100,4.39100,0.33900,0.33900,-0.06400,0.40300,0.40300,0.40300,2.73000,0.33900,49.96500,49.99100,0.00800,0.00800,0.68340,0.68340,0.68340,0.81250,0.04390,0.15780,0.19120,0.03570,0.15780,5.11200,0.2989,0.2962
2012-03-31,46.90500,39.43300,7.47200,4.80300,5.37900,2.09300,2.09300,0.58100,1.51200,1.51200,1.51200,3.98300,2.09300,49.96100,50.00600,0.03000,0.03000,4.46220,4.46220,4.46220,3.22350,0.04240,0.60190,0.73480,0.13670,0.60190,5.02750,0.30420,0.29990
2011-12-31,52.45800,46.51900,5.93900,3.37500,4.26000,1.67900,1.67900,-0.11900,1.79800,1.79800,1.79800,3.86700,1.67900,49.81100,49.81100,0.04000,0.04000,3.20060,3.20060,3.20070,3.42750,0.04860,0.72490,0.89000,0.16660,0.72490,4.95270,0.4178,0.4149
2011-09-30,48.33300,40.56100,7.77200,4.28200,4.99000,2.78200,2.78200,0.72900,2.05300,2.05300,2.05300,4.75700,2.78200,49.91400,49.91400,0.04000,0.04000,5.75590,5.75590,5.75590,4.24760,0.04500,0.80660,0.99020,0.19100,0.80660,5.09550,0.3083,0.3021
2011-06-30,48.29600,39.75500,8.54100,3.40500,4.16300,4.37800,4.37800,1.36900,3.00900,3.00900,3.00900,6.38500,4.37800,49.69100,49.69200,0.06000,0.06000,9.06490,9.06490,9.06490,6.23030,0.04640,1.25090,1.56450,0.28910,1.25090,4.84090,0.276,0.2607
2011-03-31,45.06900,37.93100,7.13800,4.00000,4.64700,2.49100,2.49100,0.86900,1.62200,1.62200,1.62200,4.58300,2.49100,49.68900,49.68900,0.03000,0.03000,5.52710,5.52710,5.52710,3.59890,0.04460,0.70380,0.89450,0.16070,0.70380,4.63800,0.28840,0.27670
2010-12-31,54.87700,42.68300,12.19400,9.62400,3.51800,8.67600,8.67600,0.42800,8.24800,8.24800,8.24800,11.49600,8.67600,49.68900,49.68900,0.17600,0.17600,15.80990,15.80990,15.80990,15.03000,0.05560,3.62340,4.63830,0.83610,3.62340,4.58120,0.4239,0.3832
2010-09-30,45.45500,38.34300,7.11200,3.41400,4.13300,2.97900,2.97900,1.31300,1.66600,1.66600,1.66600,5.15300,2.97900,49.68900,49.68900,0.03000,0.03000,6.55370,6.55370,6.55370,3.66520,0.04540,0.70310,0.89250,0.16650,0.70310,4.76870,0.3107,0.3323
2010-06-30,46.16000,35.68200,10.47800,5.36200,6.11600,4.36200,4.36200,1.17700,3.18500,3.18500,3.18500,6.15800,4.36200,49.68900,49.68900,0.06000,0.06000,9.44970,9.44970,9.44970,6.89990,0.04750,1.40500,1.81430,0.32750,1.40500,4.56230,0.2299,0.2083
2010-03-31,43.83200,41.67300,2.15900,-1.05100,-0.21300,2.37200,2.37200,0.76700,1.60500,1.60500,1.60500,4.06900,2.37200,49.68800,49.68800,0.03000,0.03000,5.41160,5.41160,5.41160,3.66170,0.04660,0.72190,0.94240,0.17070,0.72190,4.47470,0.25390,0.25390
2009-12-31,54.04900,40.51500,13.53400,-1.91200,5.40300,8.13100,8.13100,0.50400,7.62700,7.62700,7.62700,9.77200,8.13100,48.55600,48.55600,0.15600,0.15600,15.04370,15.04380,15.04380,14.11130,0.05830,3.52980,4.67510,0.82250,3.52980,4.34850,0.3389,0.3334
2009-09-30,44.84400,41.83300,3.01100,-1.00300,-0.05700,3.06800,3.06800,1.03300,2.03500,2.03500,1.87800,4.68700,3.06800,49.44300,49.44300,0.04000,0.04000,6.84150,6.84150,6.84150,4.18790,0.04880,0.94450,1.25480,0.22120,0.94450,4.33610,0.2758,0.2758
2009-06-30,45.42900,43.16400,2.26500,-2.17400,-1.35600,3.62100,3.62100,0.32000,3.30100,3.30100,2.13100,5.41200,3.62100,47.96600,47.96600,0.04000,0.04000,7.97070,7.97070,7.97070,4.69080,0.05100,1.73680,2.26340,0.37070,1.65110,4.16660,0.2602,0.2602
2009-03-31,44.65800,39.37100,5.28700,-1.36500,-0.49900,5.78600,5.78600,1.40900,4.37700,4.37700,3.19900,7.38000,5.78600,47.11400,47.11400,0.07000,0.07000,12.95630,12.95630,12.95620,7.16330,0.05230,2.45660,3.33190,0.51290,2.34120,3.89770,0.19790,0.19790
