Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2018-06-30,3.04230,3.04230,0.08130,-0.36300,2.21020,,2.21020,2.21020,2.21020,2.21020,2.24510,2.21020,15.41600,15.41600,0.14000,0.14000,0.00530,0.40430,72.64920,72.64920,72.64920,72.64920,0.03810,3.98150,3.98150,2.76650,3.96030,3.60090,0.1058,0.1059
2018-03-31,2.71670,2.71670,0.09800,-0.41540,1.97270,,1.97270,1.97270,1.97270,1.97270,1.99480,1.97270,15.41600,15.41600,0.13000,0.13000,0.04020,0.29950,72.61330,72.61330,72.61330,72.61330,0.03700,3.59180,3.59180,2.68650,3.44760,3.56260,0.08450,0.08440
2017-12-31,2.20870,2.20870,0.00940,-0.42830,1.68950,,1.68950,1.68950,1.68950,1.68950,1.71170,1.68950,11.95600,12.79170,0.11000,0.11000,0.00550,0.18590,76.49560,76.49560,76.49560,76.49560,0.03270,3.09630,3.09630,2.50320,3.07930,3.53960,0.1292,0.1245
2017-09-30,1.93890,1.93890,0.03530,-0.27440,1.31790,,1.31790,1.31790,1.31790,1.31790,1.34120,1.31790,11.10300,11.10300,0.12000,0.12000,0.00770,0.41440,67.96980,67.96980,67.96980,67.96980,0.03410,3.36580,3.36580,2.31720,3.33990,3.52660,0.1001,0.1382
2017-06-30,1.56010,1.56010,0.13180,-0.29330,0.95660,,0.95660,0.95660,0.95660,0.95660,0.97890,0.95660,11.10320,11.10320,0.09000,0.09000,0.00780,0.31960,61.32120,61.32120,61.32120,61.32120,0.02940,2.45270,2.45270,1.80540,2.43360,3.51290,0.1188,0.1176
2017-03-31,1.28920,1.28920,0.04560,-0.22540,0.89680,,0.89680,0.89680,0.89680,0.89680,0.91650,0.89680,11.10300,11.10300,0.06000,0.06000,0.00790,0.11990,69.56000,69.56000,69.56000,69.55990,0.02890,2.32310,2.32310,2.00810,2.30470,3.47670,0.03060,0.02950
2016-12-31,1.16000,1.16000,0.28000,,0.72000,0.09000,0.84000,0.84000,0.84000,0.84000,0.72390,0.72000,,,,0.00000,0.01080,0.29570,62.06900,62.06900,72.41380,72.41380,0.03020,2.94890,2.94890,2.18920,2.91710,1.84780,0,0
2016-09-30,1.01600,1.01600,,-0.10570,0.77140,-0.09670,0.67470,0.67470,0.67470,0.67470,0.78300,0.77140,,,,0.00000,,,75.92150,75.92150,66.40440,66.40440,,,,,,,0,0
2016-06-30,1.09540,1.09540,,-0.10660,0.86930,,0.86930,0.86930,0.86930,0.86930,0.88080,0.86930,,,,0.00000,,,79.35810,79.35810,79.35810,79.35810,,,,,,,0,0
2016-03-31,0.87830,0.87830,0.00200,-0.09110,0.68310,,0.68310,0.68310,0.68310,0.68310,0.69610,0.68310,,,,0.00000,,,77.77190,77.77190,77.77190,77.77190,,,,,,,0.00000,
2015-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,0,0
2014-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,0,0
