Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2021-06-30,68.80500,68.80500,37.23500,9.93800,21.63200,0.02400,21.65600,21.65600,21.65600,,21.65600,24.29600,21.63200,1.92270,1.99270,11.41140,10.81080,5.19450,,0.02420,100.00000,31.43960,31.43960,31.47450,31.47450,0.29900,140.99390,0.63830,21.53690,21.82850,9.41100,21.53690,50.93550,-17.6673,-18.4833
2021-03-31,16.34900,16.34900,25.59300,9.49800,-18.74200,0.05300,-18.68900,-18.68900,-18.68900,,-18.68900,-16.27600,-18.74200,1.88560,1.88560,-9.90990,-9.90990,3.43490,,,100.00000,-114.63700,-114.63700,-114.31280,-114.31280,0.06230,0.84870,106.04130,-31.77210,-32.52300,-7.12460,-31.77210,30.86970,36.10070,35.50410
2020-12-31,8.84600,8.84600,23.12600,9.20000,-23.48000,0.02700,-23.45300,-23.45300,-23.45300,,-23.45300,-21.00900,-23.48000,1.73270,1.73270,-13.21320,-13.21320,2.46480,,,100.00000,-265.43060,-265.43050,-265.12530,-265.12540,0.05890,0.88460,101.74090,-52.79230,-54.47600,-15.61890,-52.79230,25.31810,-8.0205,-8.6668
2020-09-30,7.36300,7.36300,24.87300,8.53400,-26.04400,0.02800,-26.01600,-26.01600,-26.01600,,-26.01600,-23.54500,-26.04400,1.74320,1.74320,-15.01500,-15.01500,2.91930,,,100.00000,-353.71450,-353.71450,-353.33420,-353.33430,0.04360,0.72790,123.65070,-40.76210,-41.66760,-15.42270,-40.76210,36.52480,-12.4984,-13.0851
2020-06-30,1.07800,1.07800,25.18300,8.70300,-32.80800,0.10700,-32.70100,-32.70100,-32.70100,,-32.70100,-30.35500,-32.80800,1.72860,1.72860,-18.91890,-18.91890,4.00430,,,100.00000,-3043.41400,-3043.41400,-3033.48900,-3033.48800,0.00590,12.98800,6.92950,-38.20260,-38.83870,-17.75380,-38.20260,49.27430,-14.7521,-15.7773
2020-03-31,6.99800,6.99800,24.87900,9.61500,-27.49600,0.66000,-26.83600,-26.83600,-26.83600,,-26.83600,-25.10600,-27.49600,1.70870,1.70870,-15.61560,-15.61560,7.02280,,,100.00000,-392.91220,-392.91220,-383.48100,-383.48100,0.03270,1.81390,49.61700,-23.32880,-23.61970,-12.52840,-23.32880,67.15150,-15.16340,-15.80890
2019-12-31,6.52200,6.52200,19.90400,8.47900,-21.86100,0.94500,-20.91600,-20.91600,-20.91600,,-20.91600,-20.05200,-21.86100,1.39830,1.39830,17.41740,17.41740,7.19110,,,100.00000,-335.18840,-335.18840,-320.69900,-320.69900,0.02770,6.75860,13.31650,-15.12210,-15.28030,-8.89160,-15.12210,81.19590,-20.8545,-27.1424
2019-09-30,4.86500,4.86500,19.79100,7.05200,-21.97800,1.23600,-20.74200,-20.74200,-20.74200,,-20.74200,-20.57700,-21.97800,1.68580,1.68580,-12.31230,-12.31230,9.25150,,,100.00000,-451.75750,-451.75750,-426.35150,-426.35150,0.01870,19.46000,4.62490,-13.31430,-13.43900,-7.96860,-13.31430,92.34740,-8.0364,-11.4546
2019-06-30,5.38900,5.38900,22.76000,6.50000,-23.87100,4.43500,-19.43600,-19.43600,-19.43600,,-19.43600,-22.70300,-23.87100,1.66620,1.66620,-11.71170,-11.71170,14.98660,,,100.00000,-442.95790,-442.95790,-360.66060,-360.66060,0.01980,21.55600,4.17520,-11.17150,-11.26560,-7.14770,-11.17150,103.27060,15.5444,17.1686
2019-03-31,5.46200,5.46200,19.96100,4.99500,-19.49400,-12.28900,-31.78300,-31.78300,-31.78300,,-31.78300,-18.55500,-19.49400,0.53170,0.53170,-59.75980,-59.75980,1.91890,,4.84210,100.00000,-356.90230,-356.90230,-581.89310,-581.89310,0.03270,0.88710,101.45190,-293.60740,-339.19950,-19.05440,-293.47180,20.25950,-37.44020,-46.99820
2018-12-31,4.94000,4.94000,16.39900,4.64600,-16.10500,0.66200,-15.44300,-15.44300,-15.44300,0.00000,-15.44300,-15.30600,-16.10500,0.52530,0.52530,-29.42940,-29.42940,8.21850,,,100.00000,-326.01210,-326.01210,-312.61130,-312.61130,0.03560,9.44550,9.52830,-38.65100,-40.11790,-11.14210,-38.64610,75.43850,-24.7698,-43.5812
2018-09-30,2.54100,2.54100,9.73700,3.25100,-10.44700,0.69100,-9.75600,-9.75600,-9.75600,,-9.75600,-9.86200,-10.44700,0.52670,0.52670,-18.61860,-18.61860,,,,100.00000,-411.13740,-411.13740,-383.94340,-383.94330,,,,,,,,,-28.3215,-33.3251
2018-06-30,1.87400,1.87400,10.86900,3.13000,-12.12500,0.29900,-11.82600,-11.82600,-11.82600,,-11.82600,-11.61300,-12.12500,0.52380,0.52380,-22.52250,-22.52250,,,,100.00000,-647.01180,-647.01180,-631.05660,-631.05660,,,,,,,,,-17.7268,-19.8782
2018-03-31,1.52800,1.52800,8.11700,2.64600,-9.23500,0.22300,-9.01200,-9.01200,-9.01200,,-9.01200,-8.77700,-9.23500,0.52300,0.52300,-17.11710,-17.11710,,,,100.00000,-604.38480,-604.38480,-589.79060,-589.79060,,,,,,,,,-27.63800,-28.82160
2017-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
