Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2021-06-30,7.36500,6.40800,0.95700,,8.82700,-18.40700,30.77100,-29.81400,-4.74900,-34.56300,,-34.56300,-34.56300,-1.02200,-35.58500,-25.80200,-29.81400,7.08800,7.08800,-5.04000,-5.04000,0.08030,,-0.00170,12.99390,-404.80660,-404.80660,-469.28720,-483.16360,0.02310,,,54.78680,54.78680,-10.85620,54.78680,-63.83640,-2.6292,-2.6578
2021-03-31,7.29400,5.50900,1.78500,0.02800,8.47800,,11.27000,-9.48500,-159.07100,-168.55600,,-168.55600,-168.55600,,-168.55600,-6.37300,-9.48500,30.28610,30.28610,-5.60000,-5.60000,0.12070,,,24.47220,-130.03840,-130.03840,-2310.88600,-2310.88600,0.02290,,,274.96120,274.96120,-52.91440,274.96120,-62.03060,-0.34940,-0.35000
2020-12-31,15.81800,15.74400,0.07400,0.18700,21.63400,,28.47630,-28.40230,-2.96900,-31.37130,,-31.12290,-31.12290,28.69600,-2.42690,-24.86530,-28.40230,4.12610,4.12610,3.92000,3.92000,0.32890,1.63030,-3.09660,0.46780,-179.55680,-179.55680,-198.32660,-15.34260,0.13190,5.44880,16.51730,94.84930,67.60410,-25.95410,-59.78730,-7.56670,-1.2771,-1.3085
2020-09-30,5.31700,8.12200,-2.80500,0.06800,6.97200,,9.73100,-12.53600,-1.37500,-13.91100,,-13.91100,-13.91100,-0.51100,-14.42200,-12.53600,-12.53600,4.28230,4.28230,-3.36000,-3.36000,0.47770,,,-52.75530,-235.77210,-235.77210,-261.63250,-271.24320,0.01670,,,-278.21950,-278.22000,-4.36210,-278.21950,4.15710,-5.9177,-5.9544
2020-06-30,,,,,,-0.19840,,-0.19840,-8.96060,-9.15900,-0.03040,-9.12860,-9.12860,,-9.12860,-0.19840,-0.19840,1.38040,1.38040,-6.64000,-6.64000,2.60220,,,,,,,,,,,-182.57120,-182.57140,-2.85920,-182.57120,4.25030,-0.4125,-0.4125
2020-03-31,,,,,,-0.25830,,-0.25830,6.97960,6.72130,0.27880,6.44250,6.44250,,6.44250,-0.25830,-0.25830,4.94140,4.94140,1.28000,1.28000,2.58580,,,,,,,,,,,128.84880,128.84830,2.01630,128.84880,4.25040,-0.06920,-0.06920
2019-12-31,,,,,,-0.26150,,-0.26150,,-7.11350,,-7.20680,-7.20680,,-7.20680,-0.26150,-0.26150,4.49290,4.49290,,0.00000,4.65350,,,,,,,,,,,-144.13590,-144.13690,-2.26450,-144.13590,3.45840,-0.0609,-0.0609
2019-09-30,,,,,,-0.00110,,-0.00110,,-0.00110,,-0.00110,-0.00110,,-0.00110,-0.00110,-0.00110,0.85940,0.85940,0.00000,0.00000,0.07840,,9.40730,,,,,,,,,-5.32040,-5.32040,-0.22510,-5.32040,0.02020,0,0
2019-06-30,,,,,,-0.00100,,-0.00100,,-0.00100,,-0.00100,-0.00100,,-0.00100,-0.00100,-0.00100,0.85940,0.85940,0.00000,0.00000,,,,,,,,,,,,,,,,,-0.0021,-0.0021
2019-03-31,,,,,,-0.00080,,-0.00080,,-0.00080,0.00000,-0.00080,-0.00080,,-0.00080,-0.00080,-0.00080,1.03130,1.03130,0.00000,0.00000,,,,,,,,,,,,,,,,,-0.00080,-0.00080
2018-12-31,,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
