Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2014-06-30,0.38000,0.11000,0.27000,0.04000,0.80000,0.84000,-0.57000,-0.12000,-0.71000,-0.71000,-0.71000,0.00000,-0.71000,-0.57000,-0.57000,46.29700,46.29700,0.00000,0.00000,3.29850,68.42110,-150.00000,-150.00000,-186.84210,-186.84210,0.05260,0.36670,0.56720,158.68420,-12.13680,-23.05200,-9.83380,-12.15750,,0.3171,0.3197
2014-03-31,0.58700,0.15000,0.43700,0.05000,1.13000,1.18000,-0.74300,-0.00800,-0.76000,-0.76000,-0.76100,0.00000,-0.76100,-0.74300,-0.74300,2.28320,2.28320,-0.30000,-0.30000,3.68460,73.25380,-126.57580,-126.57580,-129.47190,-129.64220,0.07580,0.75000,0.86320,104.25890,-11.85360,-21.43660,-9.83200,-11.85360,,-0.34600,-0.34860
2013-12-31,0.71100,-0.55000,1.26100,0.05000,-0.12000,-0.07000,1.33100,1.72500,0.77000,0.77000,-2.38700,0.00000,-2.38700,3.14300,1.33100,2.23600,2.23600,-0.40000,-0.40000,4.19830,75.94940,187.20110,187.20110,108.29820,-335.72430,0.08880,-1.83330,1.20510,74.68350,-35.25850,-60.89290,-29.80030,-35.20650,,-0.3959,-0.4281
2013-09-30,0.47300,0.18000,0.29300,0.03000,0.47000,0.50000,-0.20700,0.66200,0.44000,0.44000,0.54900,0.00000,0.54900,-0.12700,-0.20700,2.74500,2.74500,0.20000,0.20000,4.32810,61.31080,-43.76320,-43.76320,93.02330,116.06770,0.04600,0.45000,0.48760,184.56660,6.11360,12.70830,5.34050,6.11360,,-0.2312,-0.2308
2013-06-30,0.51000,0.18000,0.33000,0.02000,1.30000,1.32000,-0.99000,-0.23300,-1.24000,-1.24000,-1.00300,0.00000,-1.00300,-0.91000,-0.99000,2.50760,2.50760,-0.40000,-0.40000,1.91180,62.74510,-194.11770,-194.11770,-243.13730,-196.66670,0.05440,0.69230,1.96150,45.88240,-12.53750,-30.76690,-10.69300,-12.55320,,-0.2185,-0.2186
2013-03-31,0.67300,0.19000,0.48300,0.01000,-1.38000,-1.37000,1.85300,-2.94000,-1.10000,-1.10000,-0.82100,0.00000,-0.82100,1.92300,1.85300,2.05260,2.05260,-0.40000,-0.40000,2.10760,69.83660,275.33430,275.33430,-163.44730,-121.99110,0.06460,0.59380,2.58850,34.76970,-9.29780,-20.42290,-7.87910,-9.30840,,-0.26800,-0.27190
2012-12-31,0.59500,0.23000,0.36500,0.03000,2.33000,2.36000,-1.99500,1.42000,-0.56000,-0.56000,-0.30000,0.00000,-0.30000,-2.04500,-1.99500,2.96000,2.96000,-0.10000,-0.10000,2.31100,62.18490,-335.29410,-335.29410,-94.11770,-50.42020,0.05370,1.04550,8.50000,10.58820,-3.18470,-6.60790,-2.70760,-3.18470,,-0.0224,-0.0235
2012-09-30,0.34300,0.15000,0.19300,0.03000,0.31000,0.34000,-0.14700,0.01000,-0.15000,-0.15000,-0.05000,0.00000,-0.05000,-0.09700,-0.14700,2.25000,2.25000,0.00000,0.00000,4.38760,52.47810,-42.85720,-42.85720,-43.73180,-14.57730,0.03240,1.00000,5.71670,15.74340,-0.53760,-1.11360,-0.47210,-0.53820,,-0.2088,-0.2093
2012-06-30,,,,0.02000,0.59000,,-0.61000,-0.05000,-0.67000,-0.67000,-0.67500,0.00000,-0.67500,-0.61000,-0.61000,2.25000,2.25000,-0.50000,-0.50000,6.41890,,,,,,,,,,-10.40060,-16.66670,-9.32320,-10.38460,,-0.1238,-0.1242
2012-03-31,,,,0.01000,0.38000,,-0.39000,0.03000,-0.36000,-0.36000,-0.36900,0.00000,-0.36900,-0.39000,-0.39000,1.84500,1.84500,0.00000,0.00000,6.82670,,,,,,,,,,-5.37900,-8.36730,-4.84890,-5.37900,,-0.15180,-0.15180
2011-12-31,,,,0.04000,0.26000,,-0.30000,,-0.29000,-0.29000,-0.28800,0.00000,-0.28800,-0.28000,-0.30000,2.88000,2.88000,0.00000,0.00000,2.54840,,,,,,,,,,-8.37210,-28.80000,-7.07620,-8.37210,,0.1564,0.1589
2011-09-30,,,,0.03000,0.27000,,-0.30000,-0.02000,-0.33000,-0.33000,-0.33700,0.00000,-0.33700,-0.28000,-0.30000,1.68500,1.68500,0.00000,0.00000,2.90630,,,,,,,,,,-9.05910,-26.74600,-7.72940,-9.05910,,-0.4792,-0.4833
2011-06-30,,,,0.04000,0.25000,,-0.29000,0.01000,-0.28000,-0.28000,-0.28000,0.00000,-0.28000,-0.26000,-0.29000,,5.60000,,0.00000,3.18840,,,,,,,,,,-6.93070,-18.06450,-5.91970,-6.94790,,0.0004,0.0015
2011-03-31,,,,0.04000,0.29000,,-0.33000,0.03000,-0.30000,-0.30000,-0.30200,0.00000,-0.30200,-0.31000,-0.33000,3.02000,3.02000,0.00000,0.00000,3.13410,,,,,,,,,,-7.02330,-16.87150,-5.89840,-7.03960,,-0.13250,-0.13540
2010-12-31,,,,0.06000,0.29000,,-0.35000,0.01400,-0.32000,-0.32000,-0.31500,0.00000,-0.31500,-0.32000,-0.35000,,,0.00000,0.00000,1.27080,,,,,,,,,,-11.13070,-108.62070,-8.31130,-11.13070,,0.3103,0.3103
2010-09-30,,,,0.00000,0.29000,,-0.29000,0.00600,-0.29000,-0.29000,-0.29000,0.00000,-0.29000,-0.28600,-0.29000,1.45000,1.45000,0.00000,0.00000,1.57950,,,,,,,,,,-9.35480,-52.72730,-7.26820,-9.35480,,-0.1204,-0.1204
2010-06-30,,,,0.00000,0.31000,,-0.31000,0.00100,-0.31000,-0.31000,-0.31600,0.00000,-0.31600,-0.30700,-0.31000,1.26400,1.26400,-0.50000,-0.50000,0.21590,,,,,,,,,,63.20000,64.48980,-81.02570,64.48980,,-0.0738,-0.0738
2010-03-31,,,,0.00000,0.33000,,-0.33000,-0.00100,-0.33000,-0.33000,-0.33600,0.00000,-0.33600,-0.32700,-0.33000,1.12000,1.12000,-0.50000,-0.50000,0.45210,,,,,,,,,,146.08970,152.72720,-65.88240,152.72730,,-0.11610,-0.11610
2009-12-31,,,,,,,,,,,-0.28800,0.00000,-0.28800,0.01000,,1.17120,1.17120,-0.50000,-0.50000,0.78570,,,,,,,,,,,-2880.00300,-40.56340,-4114.28500,,-0.1915,-0.1915
2009-09-30,,,,0.00000,0.13000,,-0.13000,0.13000,0.00900,0.00900,0.00900,0.00000,0.00900,-0.13910,-0.13000,1.17120,1.17340,0.00000,0.00000,1.17460,,,,,,,,,,3.91310,3.75000,1.03450,3.75000,,-0.2013,-0.2013
2009-06-30,,,,0.00000,-1.21000,,1.21000,,1.21000,1.21000,1.21300,0.00000,1.21300,1.21000,1.21000,1.17120,1.17120,1.00000,1.00000,1.02780,,,,,,,,,,1733.09800,2021.66900,106.40350,2426.00000,,-1.7247,-1.7247
2009-03-31,,,,,,,,,,,1.65300,0.00000,1.65300,,,1.17120,1.17120,1.50000,1.50000,,,,,,,,,,,,,,,,0.00000,
