Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2020-03-31,15.47600,15.47600,1.91800,-1.44000,8.76100,,8.76100,8.76100,8.76100,8.52300,8.76100,8.76100,34.68000,34.68000,0.25000,0.25000,9.05850,100.00000,56.61020,56.61020,56.61020,55.07240,0.13650,1.94540,46.26200,8.10120,8.10120,7.72820,8.10120,3.11830,0.51440,0.51440
2019-12-31,19.59900,19.59900,1.97400,-1.86600,12.32300,,12.32300,12.32300,12.32300,11.95400,12.32300,12.32300,34.12600,34.12600,0.35000,0.35000,11.97380,100.00000,62.87570,62.87570,62.87570,60.99290,0.16770,1.51430,59.43520,10.96980,10.96980,10.54300,10.96980,3.23920,0.3583,0.3585
2019-09-30,19.56900,19.56900,1.69400,-1.38000,12.86700,,12.86700,12.86700,12.86700,12.40400,12.86700,12.86700,34.68000,34.68000,0.35000,0.35000,8.46230,100.00000,65.75200,65.75200,65.75200,63.38600,0.15780,1.95940,45.93130,10.90950,10.90950,10.37880,10.90950,3.40090,0.561,0.5636
2019-06-30,20.60000,20.60000,1.28500,-1.78900,13.59600,,13.59600,13.59600,13.59600,13.14100,13.59600,13.59600,34.68000,34.68000,0.38000,0.38000,12.91580,100.00000,66.00000,66.00000,66.00000,63.79130,0.16050,1.75900,51.16460,11.00630,11.00630,10.58990,11.00630,3.56200,0.4713,0.4814
2019-03-31,19.03100,19.03100,1.13300,-1.61200,13.97900,,13.97900,13.97900,13.97900,13.53300,13.97900,13.97900,32.36000,32.36000,0.42000,0.42000,12.50430,100.00000,73.45380,73.45380,73.45380,71.11030,0.14400,1.57530,57.13260,10.98870,10.98870,10.57520,10.98870,3.66820,0.54660,0.54660
2018-12-31,22.33400,22.33400,1.40700,-1.54300,17.30100,,17.30100,17.30100,17.30100,16.64600,17.30100,17.30100,32.28000,32.28000,0.52000,0.52000,61.97120,100.00000,77.46490,77.46480,77.46480,74.53210,0.25400,1.88740,47.68380,19.96720,19.96720,19.67740,19.96720,2.68420,0.4906,0.4907
2018-09-30,13.93800,13.93800,0.86700,-1.39600,9.27900,,9.27900,9.27900,9.27900,8.91800,9.27900,9.27900,32.28000,32.28000,0.27000,0.27000,11.96070,100.00000,66.57340,66.57340,66.57340,63.98340,0.16310,1.41060,63.80330,11.23240,11.23240,10.85620,11.23240,2.55910,0.4321,0.4321
2018-06-30,21.12300,21.12300,1.15900,-1.31600,16.36400,,16.36400,16.36400,16.36400,15.78800,16.36400,16.36400,32.28000,32.28000,0.49000,0.49000,18.96470,100.00000,77.47010,77.47010,77.47010,74.74320,0.22590,1.82270,49.37790,17.94630,17.94630,17.50400,17.94630,2.82480,0.5655,0.5652
2018-03-31,15.88300,15.88300,1.48000,-1.25600,10.96300,,10.96300,10.96300,10.96300,10.58900,10.96300,10.96300,32.28000,32.28000,0.33000,0.33000,18.62060,100.00000,69.02350,69.02350,69.02350,66.66880,0.17490,1.46210,61.55450,12.34980,12.34980,12.06990,12.34980,2.75000,0.44870,0.44770
2017-12-31,19.53100,19.53100,1.16600,-1.27700,14.22900,,14.22900,14.22900,14.22900,13.79100,14.22900,14.22900,31.48800,31.48800,0.43000,0.43000,39.80380,100.00000,72.85340,72.85340,72.85340,70.61080,0.21220,1.69420,53.12170,15.68000,15.68000,15.45840,15.68000,2.81120,0.4294,0.3991
2017-09-30,12.48000,12.48000,1.14100,-1.32000,7.22400,,7.22400,7.22400,7.22400,6.95100,7.22400,7.22400,32.28000,32.28000,0.22000,0.22000,10.66970,100.00000,57.88460,57.88460,57.88460,55.69710,0.14130,1.65720,54.31010,8.39470,8.39470,8.18070,8.39470,2.66590,0.2755,0.2736
2017-06-30,12.55300,12.55300,1.16000,-1.05100,8.44900,,8.44900,8.44900,8.44900,8.11900,8.44900,8.44900,30.69300,30.69300,0.26000,0.26000,11.96020,100.00000,67.30660,67.30660,67.30660,64.67780,0.13740,1.73770,51.79320,9.42720,9.42720,9.25000,9.42720,2.77650,0.3645,0.3632
2017-03-31,12.72700,12.72700,1.46300,-0.98700,8.52200,,8.52200,8.52200,8.52200,8.22200,8.52200,8.52200,30.67500,30.67500,0.27000,0.27000,23.60480,100.00000,66.96000,66.96000,66.96000,64.60280,0.18570,1.77010,50.84470,12.57530,12.57530,12.43690,12.57530,2.20920,0.32880,0.32880
2016-12-31,10.74300,10.74300,1.02300,-0.91300,6.87100,,6.87100,6.87100,6.87100,6.62600,6.87100,6.87100,30.67500,30.67500,0.21000,0.21000,53.77450,100.00000,63.95790,63.95790,63.95790,61.67740,0.15980,1.63370,55.09080,10.26500,10.26500,10.22300,10.26500,2.18210,0.2189,0.2189
2016-09-30,10.67900,10.67900,1.05000,-0.90200,6.64700,,6.64700,6.64700,6.64700,6.41700,6.64700,6.64700,30.67500,30.67500,0.21000,0.21000,12.09740,100.00000,62.24370,62.24370,62.24370,60.08990,0.15410,1.97470,45.57730,9.76580,9.76580,9.59220,9.76580,2.21890,0.2655,0.2655
2016-06-30,10.00900,10.00900,1.03200,-0.77100,5.95100,,5.95100,5.95100,5.95100,5.75000,5.95100,5.95100,30.67500,30.67500,0.19000,0.19000,12.37150,100.00000,59.45650,59.45650,59.45650,57.44830,0.14150,2.11610,42.53170,8.55200,8.55200,8.41270,8.55200,2.26850,0.2918,0.2918
2016-03-31,6.12600,6.12600,1.88500,-0.50700,1.49800,,1.49800,1.49800,1.49800,1.43800,1.49800,1.49800,30.67500,30.67500,0.05000,0.05000,16.80890,100.00000,24.45320,24.45320,24.45320,23.47370,0.08890,1.24110,72.51710,2.19230,2.19230,2.17270,2.19230,2.22750,0.14570,0.14570
2015-12-31,7.39400,7.39400,1.47900,-0.97600,2.72500,,2.72500,2.72500,2.72500,2.61700,2.72500,2.72500,30.67500,30.67500,0.09000,0.09000,23.88790,100.00000,36.85420,36.85420,36.85420,35.39360,0.10030,1.31010,68.69890,3.72420,3.72420,3.69600,3.72420,2.38540,0.1701,0.1701
2015-09-30,7.38900,7.38900,1.06500,-0.59300,2.68300,,2.68300,2.68300,2.68300,2.58000,2.68300,2.68300,30.67500,30.67500,0.08000,0.08000,8.58890,100.00000,36.31070,36.31070,36.31070,34.91680,0.09420,1.03070,87.32030,3.50070,3.50070,3.41960,3.50070,2.49850,0.2087,0.2087
2015-06-30,8.28200,8.28200,1.14800,-0.97700,3.81600,,3.81600,3.81600,3.81600,3.66700,3.81600,3.81600,30.67500,30.67500,0.12000,0.12000,8.38220,100.00000,46.07580,46.07580,46.07580,44.27680,0.10210,1.05650,85.18600,4.81230,4.81230,4.70390,4.81230,2.58500,0.1964,0.1964
2015-03-31,8.80500,8.80500,1.27500,-1.03400,4.03100,,4.03100,4.03100,4.03100,3.87800,4.03100,4.03100,30.67500,30.67500,0.13000,0.13000,13.87060,100.00000,45.78080,45.78080,45.78080,44.04320,0.10180,1.21060,74.34070,4.73130,4.73130,4.66030,4.73130,2.77750,0.32760,0.32760
2014-12-31,14.14200,14.14200,2.14600,-1.13500,8.70400,,8.70400,8.70400,8.70400,8.42700,8.70400,8.70400,30.67500,30.67500,0.27000,0.27000,26.86800,100.00000,61.54710,61.54710,61.54720,59.58850,0.14500,1.34010,67.15950,9.01740,9.01740,8.92640,9.01740,3.14670,0.3472,0.3472
2014-09-30,15.71600,15.71600,0.79600,-1.34500,10.96500,0.00400,10.96900,10.96900,10.96900,10.56900,10.96500,10.96500,30.67500,30.67500,0.35000,0.35000,21.03870,100.00000,69.76970,69.76970,69.79510,67.24990,0.15180,1.08150,83.21970,10.74610,10.74610,10.59590,10.74610,3.32760,0.4801,0.4801
2014-06-30,17.97300,17.97300,1.05900,-1.53700,12.61100,0.05800,12.66900,12.66900,12.66900,12.20800,12.61100,12.61100,30.67500,30.67500,0.39000,0.39000,22.13870,100.00000,70.16640,70.16640,70.48910,67.92410,0.16640,1.51010,59.59940,11.87180,11.87180,11.72910,11.87180,3.47890,0.5213,0.5213
2014-03-31,17.33900,17.33900,1.13600,-1.43900,12.24700,0.65000,12.89700,12.89700,12.89700,12.44200,12.24700,12.24700,30.67500,30.67500,0.41000,0.41000,25.88150,100.00000,70.63270,70.63270,74.38150,71.75730,0.15630,1.41380,63.65770,11.74730,11.74730,11.62920,11.74730,3.57900,0.53110,0.53110
2013-12-31,18.91600,18.91600,1.48900,-1.33500,13.15000,0.00400,13.15400,13.15400,13.15400,12.71100,13.15000,13.15000,30.67500,30.67500,0.41000,0.41000,29.68210,100.00000,69.51790,69.51790,69.53900,67.19710,0.16770,1.45250,61.96180,11.76310,11.76310,11.66290,11.76310,3.64540,0.4528,0.4528
2013-09-30,16.44000,16.44000,0.83500,-1.34000,10.71800,0.03100,10.74900,10.74900,10.74900,10.35000,10.71800,10.71800,30.67500,30.67500,0.34000,0.34000,17.75880,100.00000,65.19470,65.19470,65.38320,62.95620,0.14330,1.44300,62.37040,9.49980,9.49980,9.37140,9.49980,3.68870,0.4835,0.4835
2013-06-30,17.29500,17.29500,0.97300,-1.17000,11.88400,0.14100,12.02500,12.02500,12.02500,11.64000,11.88400,11.88400,30.67500,30.67500,0.38000,0.38000,15.80030,100.00000,68.71350,68.71350,69.52880,67.30270,0.14830,1.44030,62.48740,10.45850,10.45850,10.31080,10.45850,3.74830,0.4252,0.4252
2013-03-31,13.21800,13.21800,0.89900,-1.28500,7.64800,,7.64800,7.64800,7.64800,7.37400,7.64800,7.64800,30.67500,30.67500,0.24000,0.24000,28.45970,100.00000,57.86050,57.86050,57.86050,55.78760,0.11200,1.47370,61.06900,6.52990,6.52990,6.48170,6.52990,3.81820,0.47710,0.47710
2012-12-31,20.22100,20.22100,1.38600,-1.13000,13.91500,,13.91500,13.91500,13.91500,13.49000,13.91500,13.91500,30.67500,30.67500,0.44000,0.44000,53.53180,100.00000,68.81460,68.81460,68.81460,66.71280,0.16330,1.64690,54.64720,11.28890,11.28890,11.23990,11.28890,4.01840,0.4038,0.4038
2012-09-30,14.30800,14.30800,0.74500,-1.43400,8.13000,-0.00100,8.12900,8.12900,8.12900,7.83600,8.13000,8.13000,30.67500,30.67500,0.26000,0.26000,12.73210,100.00000,56.82140,56.82140,56.81440,54.76660,0.11730,1.77150,50.80580,6.75780,6.75780,6.66560,6.75780,3.92140,0.3763,0.3763
2012-06-30,15.24200,15.24200,0.88100,-1.19900,8.68000,,8.68000,8.68000,8.68000,8.33900,8.68000,8.68000,30.67500,30.67500,0.27000,0.27000,22.38730,100.00000,56.94790,56.94790,56.94790,54.71070,0.11930,2.21610,40.61280,6.85040,6.85040,6.79340,6.85040,4.13070,0.4873,0.4873
2012-03-31,13.43300,13.43300,0.80300,-1.03200,7.28600,0.01200,7.29800,7.29800,7.29800,7.01400,7.28600,7.28600,30.67500,30.67500,0.23000,0.23000,39.32170,100.00000,54.23960,54.23960,54.32890,52.21470,0.09880,1.61360,55.77680,5.39890,5.39890,5.36960,5.39890,4.40670,0.57200,0.57200
2011-12-31,20.44000,20.44000,1.34300,-1.19000,13.19900,,13.19900,13.19900,13.19900,12.82600,13.19900,13.19900,30.67500,30.67500,0.42000,0.42000,50.09860,100.00000,64.57440,64.57440,64.57440,62.74950,0.14320,1.43760,62.60370,9.28780,9.28780,9.24500,9.28780,4.63280,0.4235,0.4233
2011-09-30,18.32600,18.32600,0.82800,-1.21200,11.46900,0.03700,11.50600,11.50600,11.50600,11.13900,11.46900,11.46900,30.67500,30.67500,0.36000,0.36000,17.38620,100.00000,62.58320,62.58320,62.78510,60.78250,0.12640,1.79240,50.21060,8.02350,8.02350,7.93540,8.02350,4.67490,0.4855,0.4855
2011-06-30,16.43400,16.43400,0.76100,-1.32200,9.77000,,9.77000,9.77000,9.77000,9.42000,9.77000,9.77000,30.67500,30.67500,0.31000,0.31000,21.88790,100.00000,59.44990,59.44990,59.44990,57.32020,0.11230,1.97480,45.57500,6.73060,6.73060,6.67840,6.73060,4.73210,0.4461,0.4461
2011-03-31,14.28900,14.28900,1.15600,-1.15100,7.74000,,7.74000,7.74000,7.74000,7.47100,7.74000,7.74000,30.67500,30.67500,0.24000,0.24000,20.55750,100.00000,54.16750,54.16750,54.16750,52.28500,0.09520,1.86050,48.37290,5.19840,5.19840,5.15780,5.19840,4.85390,0.45410,0.45410
2010-12-31,14.83200,14.83200,1.32200,-0.92400,8.44000,0.04900,8.48900,8.48900,8.48900,8.22900,8.44000,8.44000,30.46900,30.46900,0.27000,0.27000,35.20140,100.00000,56.90400,56.90400,57.23440,55.48140,0.09690,1.61240,55.81920,5.57020,5.57020,5.54430,5.57020,4.96820,0.3334,0.3334
2010-09-30,16.46700,16.46700,0.78200,-1.10000,9.51700,0.01900,9.53600,9.53600,9.53600,9.20100,9.51700,9.51700,30.67500,30.67500,0.30000,0.30000,14.73420,100.00000,57.79440,57.79440,57.90980,55.87540,0.10250,2.20320,40.84900,6.00190,6.00190,5.93620,6.00190,5.17960,0.499,0.4998
2010-06-30,14.25600,14.25600,0.85400,-0.93700,7.92600,0.00600,7.93200,7.93200,7.93200,7.66200,7.92600,7.92600,30.67500,30.67500,0.25000,0.25000,18.30660,100.00000,55.59760,55.59760,55.63970,53.74580,0.08700,1.83290,49.10350,4.88320,4.88320,4.84300,4.88320,5.29540,0.4251,0.4215
2010-03-31,15.53900,15.53900,1.17000,-1.21000,8.92400,0.00200,8.92600,8.92600,8.92600,8.63400,8.92400,8.92400,29.84900,29.84900,0.29000,0.29000,24.01130,100.00000,57.42970,57.42970,57.44260,55.56340,0.09150,1.79020,50.27350,5.29080,5.29080,5.25540,5.29080,5.49990,0.47420,0.47310
2009-12-31,14.41700,14.41700,1.09200,-0.76200,8.26100,0.50800,8.76900,8.76900,8.76900,8.50700,8.26100,8.26100,29.04400,29.04400,0.29000,0.29000,33.88380,100.00000,57.30040,57.30040,60.82410,59.00670,0.09440,1.58050,56.94530,5.76790,5.76790,5.74010,5.76790,5.09490,0.3261,0.3259
2009-09-30,10.70600,10.70600,0.77100,-1.01700,4.39400,0.02100,4.41500,4.41500,4.41500,4.26300,4.39400,4.39400,29.84000,29.84000,0.14000,0.14000,10.93280,100.00000,41.04240,41.04240,41.23860,39.81880,0.06960,1.80880,49.75810,2.90210,2.90210,2.87120,2.90210,5.09830,0.271,0.271
2009-06-30,9.68400,9.68400,0.81700,-0.84400,4.55000,0.17000,4.72000,4.72000,4.72000,4.55900,4.55000,4.55000,28.25800,28.25800,0.16000,0.16000,14.29740,100.00000,46.98470,46.98470,48.74020,47.07770,0.06150,1.68240,53.49440,3.02360,3.02360,2.99990,3.02360,5.23130,0.275,0.2778
2009-03-31,8.82400,8.82400,1.03500,-0.73900,3.75000,0.02700,3.77700,3.77700,3.77700,3.65400,3.75000,3.75000,28.24000,28.24000,0.13000,0.13000,21.66840,100.00000,42.49770,42.49770,42.80370,41.40980,0.06920,1.84530,48.77380,2.98500,2.98500,2.96220,2.98500,4.48060,0.41550,0.41270
