Date,revenue,cost-goods-sold,gross-profit,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,1268.09100,1175.14800,92.94300,92.94300,-2.66700,90.27600,22.26800,68.00800,68.00800,1.56100,69.56900,127.76600,92.94300,24.71100,25.91100,2.82000,2.68000,1.16280,0.14660,0.26310,7.32940,7.32940,7.32940,7.11900,5.48610,0.57390,1.81590,49.56100,6.91720,12.12690,3.07770,5.90300,40.15570,-0.43430,-1.15400
2021-12-31,971.34200,888.41500,82.92700,82.92700,-0.79500,82.13200,19.70600,62.42600,62.42600,,65.48800,116.15300,82.92700,25.47190,26.77210,2.60000,2.46000,1.10440,0.15840,0.24280,8.53740,8.53740,8.53740,8.45550,6.74200,0.45980,1.63130,55.17050,6.71920,12.43170,2.95480,5.65460,37.36140,3.1807,2.4953
2021-09-30,1016.65700,929.09600,87.56100,87.56100,-1.41100,86.15000,22.45900,63.69100,63.69100,,63.69100,117.92000,87.56100,25.63300,26.77000,2.48000,2.38000,1.54810,0.15520,0.25440,8.61260,8.61260,8.61260,8.47390,6.26470,0.51810,2.26890,39.66750,6.62730,7.74320,3.24550,5.59880,37.58770,3.4817,2.6442
2021-06-30,948.97300,874.67400,74.29900,74.29900,-0.84100,73.45800,12.47700,60.98100,60.98100,,60.98100,104.58100,74.29900,25.58600,26.91100,2.38000,2.27000,1.50560,0.16000,0.26470,7.82940,7.82940,7.82940,7.74080,6.42600,0.51530,2.53880,35.44930,6.78970,8.03780,3.31150,5.70340,35.17400,4.5848,3.8863
2021-03-31,829.21300,797.02200,32.19100,32.19100,-0.84400,31.34700,7.98600,23.36100,23.36100,,23.36100,62.54500,32.19100,25.45500,26.93000,0.92000,0.87000,1.53520,0.19070,0.31320,3.88210,3.88210,3.88210,3.78030,2.81730,0.46900,2.31620,38.85700,2.74220,3.29230,1.32130,2.21920,33.55820,0.83680,0.64310
2020-12-31,816.41410,786.16190,30.25220,30.25220,-0.05300,30.19900,6.28500,23.91400,23.91400,,23.91400,60.51220,30.25210,25.41000,26.42300,0.96000,0.90000,1.49670,0.20760,0.34300,3.70550,3.70550,3.70550,3.69900,2.92920,0.45890,2.43550,36.95330,2.88610,3.48960,1.34420,2.28690,32.63720,2.1074,1.218
2020-09-30,794.98000,755.19800,39.78200,39.78200,-0.60400,39.17800,9.77400,29.40400,29.40400,,29.40400,69.81400,39.78200,25.47000,26.59200,1.15000,1.11000,1.46780,0.21970,0.36370,5.00410,5.00410,5.00410,4.92820,3.69870,0.45530,2.35050,38.29050,3.66340,4.46660,1.68390,2.85840,31.59000,2.5582,2.3505
2020-06-30,627.37000,606.94500,20.42500,20.42500,0.30900,20.73400,4.85400,15.88000,15.88000,,15.88000,49.51100,20.42500,25.46400,26.21800,0.62000,0.61000,2.05170,0.37940,0.68750,3.25570,3.25570,3.25570,3.30490,2.53120,0.33540,2.16370,41.59460,2.04880,2.52120,0.84890,1.27150,30.51060,2.249,1.8809
2020-03-31,701.39900,693.58000,7.81900,7.81900,-5.43400,2.38500,0.48300,1.90200,1.90200,,1.90200,36.83200,7.81900,25.39000,26.24700,0.07000,0.07000,2.05630,0.38580,0.70330,1.11480,1.11480,1.11480,0.34000,0.27120,0.38240,2.33570,38.53170,0.25050,0.31030,0.10370,0.15390,30.05330,0.88120,0.67590
2019-12-31,717.41810,728.64700,-11.22890,-11.22890,-0.79800,-12.02700,-6.47800,-5.54900,-5.54900,,-5.54900,17.90510,-11.22900,25.53600,26.45000,-0.22000,-0.21000,1.49550,0.25860,0.42400,-1.56520,-1.56520,-1.56520,-1.67640,-0.77350,0.43450,2.38070,37.80470,-0.72720,-0.90100,-0.33610,-0.53910,30.03400,1.2166,0.6372
2019-09-30,787.56300,756.35500,31.20800,31.20800,-7.86600,23.34200,7.07200,16.27000,16.27000,,16.27000,60.56900,31.20800,25.52800,26.41700,0.64000,0.62000,1.41280,0.24530,0.39080,3.96260,3.96260,3.96260,2.96380,2.06590,0.47140,2.53190,35.54650,2.13060,2.75890,0.97390,1.60790,29.94490,2.1799,1.048
2019-06-30,771.49000,736.29000,35.20000,35.20000,-1.64000,33.56000,9.18400,24.37600,24.37600,,24.37600,62.63400,35.20000,25.55400,26.43200,0.95000,0.92000,1.38170,0.24020,0.37970,4.56260,4.56260,4.56260,4.35000,3.15960,0.47220,2.46250,36.54840,3.28010,4.29050,1.49190,2.49200,29.12070,3.1716,2.1676
2019-03-31,711.83900,703.24800,8.59100,8.59100,-1.99500,6.59600,1.70800,4.88800,4.88800,,4.88800,35.12800,8.59100,25.57040,26.51240,0.19000,0.18000,1.40460,0.23980,0.38300,1.20690,1.20690,1.20690,0.92660,0.68670,0.45640,2.28320,39.41910,0.67720,0.89590,0.31340,0.51480,28.28970,-0.12710,-0.77440
2018-12-31,774.27920,737.11690,37.16220,37.16220,-16.49200,20.67000,5.37100,15.29900,15.29900,,15.30300,64.09820,37.16220,25.68000,26.69900,0.59000,0.57000,1.43850,0.24870,0.40640,4.79960,4.79960,4.79960,2.66960,1.97640,0.50300,2.44870,36.75380,2.13170,2.83100,0.99390,1.60150,28.04870,3.0861,2.852
2018-09-30,826.15800,770.10300,56.05500,56.05500,-2.06400,53.99100,13.21500,40.77600,40.77600,,40.77600,84.08100,56.05500,25.69800,26.79600,1.58000,1.52000,1.38840,0.25070,0.41200,6.78500,6.78500,6.78500,6.53520,4.93560,0.54440,2.42130,37.17010,5.78310,7.74180,2.68670,4.33300,27.44610,1.9997,1.4417
2018-06-30,793.35000,790.19400,3.15600,3.15600,-2.42200,0.73400,-0.49900,1.23300,1.23300,,1.22900,30.34300,3.15600,25.67000,26.70000,0.05000,0.05000,1.31130,0.22860,0.37340,0.39780,0.39780,0.39780,0.09250,0.15490,0.55390,2.41390,37.28420,0.18440,0.25220,0.08610,0.14230,26.02850,3.2834,2.5207
2018-03-31,700.00100,687.27600,12.72500,12.72500,-3.73400,8.99100,-0.96300,9.95400,9.95400,,9.95400,39.21100,12.72500,25.64300,26.59600,0.39000,0.37000,1.33490,0.22790,0.37940,1.81790,1.81790,1.81790,1.28440,1.42200,0.51540,2.26810,39.68070,1.49580,2.05310,0.73290,1.15490,25.95250,1.19470,0.88300
2017-12-31,710.72110,691.98180,18.73930,18.73930,-2.71900,16.02000,-20.54800,36.56800,36.56800,,36.56800,44.98630,18.73910,25.68400,26.42400,1.43000,1.38000,1.29750,0.24110,0.41280,2.63660,2.63670,2.63660,2.25400,5.14520,0.52040,2.28630,39.36490,5.61320,7.78580,2.67770,4.25980,25.40410,2.0977,1.2171
2017-09-30,744.28000,717.53800,26.74200,26.74200,-2.67400,24.06800,9.28000,14.78800,14.78800,,14.78800,52.96000,26.74200,25.67200,26.39300,0.57000,0.56000,1.25580,0.24600,0.42870,3.59300,3.59300,3.59300,3.23370,1.98690,0.55360,2.34580,38.36600,2.41020,3.45930,1.09990,1.81730,23.94210,1.6992,0.9713
2017-06-30,720.36800,694.60100,25.76700,25.76700,-1.63200,24.13500,8.35800,15.77700,15.77700,,15.77700,50.97600,25.76700,25.76800,26.29200,0.61000,0.60000,1.23870,0.24440,0.42740,3.57690,3.57690,3.57690,3.35040,2.19010,0.54900,2.38610,37.71920,2.62040,3.80300,1.20230,1.98000,23.43640,1.8836,1.2992
2017-03-31,651.08800,660.98800,-9.90000,-9.90000,-2.74700,-12.64700,-5.24000,-7.40700,-7.40700,,-7.40700,15.49400,-9.90000,25.68400,25.68400,-0.29000,-0.29000,1.21620,0.22020,0.38380,-1.52050,-1.52050,-1.52050,-1.94240,-1.13760,0.52320,2.34530,38.37520,-1.25190,-1.83650,-0.59520,-0.97620,23.08710,0.06860,-0.43840
2016-12-31,688.21390,681.90810,6.30580,6.30580,-5.21000,1.09600,-0.48800,1.58400,1.58400,,1.58400,32.66690,6.30590,25.75200,26.25700,0.07000,0.07000,1.23960,0.23060,0.40680,0.91630,0.91630,0.91630,0.15930,0.23020,0.53680,2.43460,36.96750,0.26440,0.38660,0.12350,0.20340,23.39240,0.8548,-0.0487
2016-09-30,713.92300,693.55300,20.37000,20.37000,0.18500,20.55500,7.61500,12.94000,12.94000,,12.94000,46.16300,20.37000,25.72500,26.21200,0.50000,0.49000,1.33540,0.22860,0.39920,2.85320,2.85320,2.85320,2.87920,1.81250,0.54050,2.69160,33.43760,2.17420,3.21410,0.97970,1.67720,23.22730,1.3602,0.5499
2016-06-30,676.62700,659.97300,16.65400,16.65400,-0.27300,16.38100,6.15000,10.23100,10.23100,,10.23100,42.40200,16.65400,25.79100,26.24700,0.39000,0.39000,1.42320,0.22600,0.38700,2.46130,2.46130,2.46130,2.42100,1.51210,0.52730,2.74920,32.73720,1.75640,2.49160,0.79730,1.35950,22.62100,1.5703,1.1468
2016-03-31,621.45500,630.72000,-9.26500,-9.26500,-0.48000,-9.74500,-3.64200,-6.10300,-6.10300,,-6.10300,15.88610,-9.26500,25.82300,25.82300,-0.24000,-0.24000,1.47270,0.21430,0.35230,-1.49080,-1.49080,-1.49080,-1.56810,-0.98210,0.49910,2.65980,33.83750,-1.05730,-1.50920,-0.49010,-0.83060,22.42880,0.47790,-0.04840
2015-12-31,648.13400,640.82190,7.31210,7.31210,-0.44500,6.86700,1.87900,4.98800,4.98800,,4.98800,32.13310,7.31210,26.01400,26.53000,0.19000,0.18000,1.51420,0.22160,0.36100,1.12820,1.12820,1.12820,1.05950,0.76960,0.51320,2.48380,36.23540,0.84730,1.20060,0.39500,0.65950,22.76770,1.1103,0.1843
2015-09-30,709.38000,675.94200,33.43800,33.43800,-1.39200,32.04600,12.89200,19.15400,19.15400,,19.15400,56.81100,33.43800,26.00900,26.50800,0.73000,0.72000,1.51980,0.21060,0.32650,4.71370,4.71370,4.71370,4.51750,2.70010,0.57010,2.84010,31.68930,3.26420,4.40210,1.53940,2.57670,22.60210,1.7032,0.9417
2015-06-30,696.11500,662.64900,33.46600,33.46600,-0.55700,32.90900,12.94200,19.96700,19.96700,,19.96700,56.08200,33.46600,26.02300,26.59300,0.76000,0.74000,1.54160,0.19110,0.27770,4.80750,4.80750,4.80750,4.72750,2.86830,0.58400,2.76100,32.59660,3.44730,4.67970,1.67500,2.78860,22.32520,2.3966,1.7214
2015-03-31,613.27600,611.99600,1.28000,1.28000,-0.36800,0.91200,0.16700,0.74500,0.74500,,0.74500,23.51200,1.28000,26.05100,26.58900,0.03000,0.03000,1.60550,0.19230,0.30430,0.20870,0.20870,0.20870,0.14870,0.12150,0.53720,2.58760,34.78100,0.13350,0.18420,0.06530,0.10790,21.46140,0.41110,-0.25290
2014-12-31,664.84820,646.80010,18.04810,18.04810,1.59200,19.64000,5.09600,14.54400,14.54400,,14.54400,40.41510,18.04800,25.99300,25.99400,0.54000,0.54000,1.51120,0.15450,0.22770,2.71460,2.71460,2.71460,2.95410,2.18760,0.58960,2.83350,31.76280,2.59310,3.53870,1.28980,2.19250,21.53600,0.9941,0.5338
2014-09-30,711.29500,678.35400,32.94100,32.94100,-0.38500,32.55600,12.93800,19.61800,19.61800,,19.61800,55.11900,32.94100,26.05500,26.05500,0.72000,0.72000,1.32620,0.13460,0.25720,4.63110,4.63110,4.63110,4.57700,2.75810,0.62360,2.85380,31.53670,3.55990,4.90350,1.72000,3.08060,21.18000,2.32,1.9804
2014-06-30,658.64600,631.69400,26.95200,26.95200,0.41900,27.37100,10.16300,17.20800,17.20800,,17.20800,48.17600,26.95200,26.00500,26.00500,0.63000,0.63000,1.32310,0.13480,0.25610,4.09200,4.09200,4.09200,4.15560,2.61260,0.60700,2.70190,33.30970,3.23170,4.52530,1.58590,2.79610,20.46780,1.9766,1.6554
2014-03-31,577.90400,586.60600,-8.70200,-8.70200,-0.25300,-8.95500,-3.76200,-5.19300,-5.19300,,-5.19300,11.75100,-8.70200,25.87700,25.87700,-0.20000,-0.20000,1.32120,0.12630,0.23350,-1.50580,-1.50580,-1.50580,-1.54960,-0.89860,0.56570,2.48010,36.28860,-1.00990,-1.42900,-0.50830,-0.88230,19.87620,0.24000,-0.13820
2013-12-31,578.54910,565.04800,13.50110,13.50110,0.39400,13.89500,3.54900,10.34600,10.34600,,11.14600,34.32110,13.50100,25.71400,25.71400,0.41000,0.41000,1.35160,0.13510,0.24300,2.33360,2.33360,2.33360,2.40170,1.92650,0.56870,2.75750,32.63870,1.98790,2.80660,1.01700,1.71920,20.15030,1.0621,0.4914
2013-09-30,623.41400,602.91200,20.50200,20.50200,0.50200,21.00400,7.02200,13.98200,13.98200,,13.39700,42.07000,20.50200,25.73700,25.73700,0.52000,0.52000,1.33050,0.15100,0.27200,3.28870,3.28870,3.28870,3.36920,2.14900,0.60050,2.80210,32.11830,2.79820,4.03170,1.34690,2.37560,19.42030,1.4871,1.2577
2013-06-30,576.89900,568.48200,8.41700,8.41700,-0.55200,7.86500,2.98700,4.87800,4.87800,,4.66300,31.22500,8.41700,25.69400,25.69400,0.18000,0.18000,1.27430,0.16770,0.31100,1.45900,1.45900,1.45900,1.36330,0.80830,0.56300,2.71120,33.19550,1.01380,1.49070,0.47610,0.84380,18.71240,1.0954,0.8401
2013-03-31,520.68700,544.03700,-23.35000,-23.35000,0.04700,-23.30300,-9.90800,-13.39500,-13.39500,,-13.39500,-0.15700,-23.35000,25.63800,25.63800,-0.52000,-0.52000,1.24390,0.19030,0.35020,-4.48450,-4.48450,-4.48450,-4.47540,-2.57260,0.51480,2.65590,33.88640,-2.99270,-4.55550,-1.32440,-2.42330,17.46360,-0.00830,-0.19120
2012-12-31,537.04300,548.05790,-11.01480,-11.01480,-1.30100,-12.31600,-4.38700,-7.92900,-7.92900,,-7.18600,12.74920,-11.01490,25.56500,25.56500,-0.28000,-0.28000,1.28810,0.19750,0.36960,-2.05100,-2.05100,-2.05100,-2.29330,-1.33810,0.51920,2.86930,31.36680,-1.72750,-2.58910,-0.76650,-1.38630,17.91710,1.4283,1.1944
2012-09-30,577.54600,565.31300,12.23300,12.23300,-0.45700,11.77600,5.25800,6.51800,6.51800,,6.20900,36.05300,12.23300,25.61300,25.61300,0.24000,0.24000,1.28680,0.21950,0.42370,2.11810,2.11810,2.11810,2.03900,1.07510,0.53480,2.66430,33.78000,1.38490,2.09580,0.60350,1.08090,18.37290,1.3235,0.8166
2012-06-30,510.54300,503.34200,7.20100,7.20100,-1.11700,6.08400,-5.75700,11.84100,11.84100,,11.29200,28.05100,7.20100,25.54400,25.54400,0.44000,0.44000,1.24720,0.22440,0.42260,1.41050,1.41050,1.41050,1.19170,2.21180,0.47850,2.44030,36.88000,2.56100,3.83770,1.10970,1.98620,18.07180,0.3632,-0.2805
2012-03-31,440.86700,463.85400,-22.98700,-22.98700,0.45100,-22.53600,-4.37400,-18.16200,-18.16200,,-18.19600,-3.66700,-22.98700,25.45600,25.45600,-0.71000,-0.71000,1.60660,0.07190,0.16850,-5.21400,-5.21400,-5.21400,-5.11170,-4.12730,0.49690,2.67680,33.62260,-4.04090,-4.04090,-2.04710,-3.75060,17.65180,0.19160,0.08590
2011-12-31,463.24110,461.60590,1.63510,1.63510,0.29800,1.93300,0.52900,1.40400,1.40400,,1.90000,21.17610,1.63510,25.40300,25.40300,0.08000,0.08000,1.68800,0.09120,0.19730,0.35300,0.35300,0.35300,0.41730,0.41020,0.50560,2.94680,30.54190,0.30150,0.30580,0.15320,0.27400,18.31540,1.127,0.2885
2011-09-30,510.88700,489.76900,21.11800,21.11800,-2.04500,19.07300,6.80800,12.26500,12.26500,,11.73300,39.34800,21.11800,25.42200,25.42200,0.46000,0.46000,1.63280,0.08580,0.16720,4.13360,4.13360,4.13360,3.73330,2.29660,0.56240,2.94310,30.58050,2.50920,2.50920,1.35020,2.29380,19.22730,1.5393,1.0438
2011-06-30,498.55000,489.55200,8.99800,8.99800,-0.37800,8.62000,3.16900,5.45100,5.45100,,5.08500,26.97800,8.99800,25.41100,25.41200,0.20000,0.20000,1.59730,0.07420,0.14560,1.80480,1.80480,1.80480,1.72900,1.02000,0.56170,2.76540,32.54550,1.14400,1.14400,0.61420,1.05920,18.74230,1.555,0.9818
2011-03-31,434.93100,456.92300,-21.99200,-21.99200,1.85900,-20.13300,-7.34600,-12.78700,-12.78700,,-12.80800,-4.00100,-21.99200,25.29700,25.29700,-0.51000,-0.51000,1.63360,0.07680,0.14140,-5.05640,-5.05640,-5.05640,-4.62900,-2.94480,0.50710,2.47560,36.35480,-2.72450,-2.72450,-1.49080,-2.51520,18.55190,-0.25120,-0.36980
2010-12-31,441.09700,447.79010,-6.69310,-6.69310,0.12200,-6.57100,-3.45400,-3.11700,-3.11700,,-3.15700,10.90100,-6.69300,25.18800,25.18800,-0.12000,-0.12000,1.70880,0.08170,0.14520,-1.51740,-1.51740,-1.51740,-1.48970,-0.71570,0.51230,2.87200,31.33660,-0.64970,-0.64970,-0.36200,-0.59670,18.99450,0.1756,-0.0509
2010-09-30,445.53100,447.30700,-1.77600,-1.77600,0.80600,-0.97000,-0.38500,-0.58500,-0.58500,,-0.77000,15.96600,-1.77600,25.19900,25.19900,-0.03000,-0.03000,1.64310,0.06630,0.11850,-0.39860,-0.39860,-0.39860,-0.21770,-0.17280,0.51500,2.77850,32.39130,-0.12280,-0.12280,-0.06760,-0.11470,18.89800,0.1045,0.0578
2010-06-30,411.34700,422.15700,-10.81000,-10.81000,-0.61700,-11.42700,-4.07900,-7.34800,-7.34800,,-7.44400,6.87300,-10.81000,25.18300,25.18300,-0.30000,-0.30000,1.60510,0.04580,0.08480,-2.62800,-2.62800,-2.62800,-2.77790,-1.80970,0.48290,2.79100,32.24640,-1.54860,-1.54860,-0.86260,-1.47770,18.83260,0.9897,0.9279
2010-03-31,359.88900,395.15500,-35.26600,-35.26600,0.43700,-34.82900,-13.45800,-21.37100,-21.37100,,-21.39100,-16.72000,-35.26600,25.08800,25.08800,-0.85000,-0.85000,1.64160,0.04100,0.07520,-9.79910,-9.79910,-9.79910,-9.67770,-5.94380,0.42230,2.34840,38.32410,-4.43780,-4.43780,-2.50750,-4.25580,19.18360,-0.22620,-0.28410
2009-12-31,371.63200,472.20310,-100.57110,-100.57110,-0.51400,-101.08500,-12.41200,-88.67300,-88.67300,,-89.15900,-16.67710,-100.57100,25.05200,25.05200,-3.54000,-3.54000,1.62640,0.02600,0.07770,-27.06200,-27.06200,-27.06200,-27.20030,-23.99120,0.42740,2.52920,35.58380,-17.70290,-17.70290,-10.19760,-17.24250,19.97910,-0.4821,-1.0864
2009-09-30,398.95700,411.19400,-12.23700,-12.23700,2.34400,-9.89300,-4.56500,-5.32800,-5.32800,,-5.57300,6.26800,-12.23700,25.04800,25.04800,-0.23000,-0.23000,1.71190,0.00280,0.02690,-3.06720,-3.06720,-3.06720,-2.47970,-1.39690,0.42360,2.68460,33.52400,-0.91180,-1.02930,-0.56580,-0.90930,23.32750,0.8682,0.0406
2009-06-30,362.63500,389.93200,-27.29700,-27.29700,1.85100,-25.44600,-10.08200,-15.36400,-15.36400,,-15.44300,-8.64000,-27.29700,25.04400,25.04400,-0.62000,-0.62000,1.70810,0.00280,0.02330,-7.52740,-7.52740,-7.52740,-7.01700,-4.25860,0.38240,2.41040,37.33820,-2.60290,-2.93350,-1.61990,-2.59560,23.56910,0.8364,0.385
2009-03-31,339.67700,368.27800,-28.60100,-28.60100,-0.49300,-29.09400,-10.93700,-18.15700,-18.15700,,-18.15700,-9.19500,-28.60100,25.03900,25.03900,-0.73000,-0.73000,1.88490,0.00230,0.01690,-8.42010,-8.42010,-8.42010,-8.56520,-5.34540,0.36090,2.20260,40.86100,-2.99870,-3.35240,-1.92900,-2.99160,24.18140,-0.75190,-0.79680
