Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share
2020-12-31,1.49530,1.49530,0.24280,0.19240,1.44500,1.44500,1.44500,1.44500,1.44500,1.44500,1.44500,17.00000,17.00000,0.08500,0.08500,100.00000,96.63410,96.63410,96.63410,96.63410,0.07870,7.60040,7.60040,7.60040,7.60040,1.11840
2020-09-30,,,0.13920,0.13920,,,,,,,,17.00000,17.00000,,0.00000,,,,,,,,,,,1.17150
2020-06-30,1.43760,1.43760,0.23190,-0.69570,0.51000,0.51000,0.51000,0.51000,0.51000,0.51000,0.51000,17.00000,17.00000,0.03000,0.03000,100.00000,35.47490,35.47490,35.47490,35.47490,0.06990,2.48140,2.48140,2.48140,2.48140,1.20900
2020-03-31,2.07330,2.07330,0.29050,0.08720,1.87000,1.87000,1.87000,1.87000,1.87000,1.87000,1.87000,17.00000,17.00000,0.11000,0.11000,100.00000,90.19610,90.19610,90.19610,90.19610,0.10100,9.10880,9.10880,9.10880,9.10880,1.20760
2019-12-31,3.34070,3.34070,0.14220,-0.05350,3.14500,3.14500,3.14500,3.14500,3.14500,3.14500,3.14500,17.00000,17.00000,0.18500,0.18500,100.00000,94.14190,94.14180,94.14180,94.14180,0.05270,4.96480,4.96480,4.96480,4.96480,3.72620
2019-09-30,3.75160,3.75160,0.20090,-0.06560,3.48500,3.48500,3.48500,3.48500,3.48500,3.48500,3.48500,17.00000,17.00000,0.20500,0.20500,100.00000,92.89480,92.89480,92.89480,92.89480,0.05790,5.38130,5.38130,5.38130,5.38130,3.80950
2019-06-30,2.95940,2.95940,0.15800,-0.08140,2.72000,2.72000,2.72000,2.72000,2.72000,2.72000,2.72000,17.00000,17.00000,0.16000,0.16000,100.00000,91.91020,91.91020,91.91020,91.91020,0.04450,4.08870,4.08870,4.08870,4.08870,3.91320
2019-03-31,2.61010,2.61010,0.37980,0.23460,2.46500,2.46500,2.46500,2.46500,2.46500,2.46500,2.46500,17.00000,17.00000,0.14500,0.14500,100.00000,94.43970,94.43970,94.43970,94.43970,0.03830,3.61470,3.61470,3.61470,3.61470,4.01140
2018-12-31,3.94740,3.94740,0.23900,0.03160,3.74000,3.74000,3.74000,3.74000,3.74000,3.74000,3.74000,17.00000,17.00000,0.22000,0.22000,100.00000,94.74550,94.74560,94.74560,94.74560,0.05640,5.34190,5.34190,5.34190,5.34190,4.11840
2018-09-30,3.67670,3.67670,0.12160,-0.15510,3.40000,3.40000,3.40000,3.40000,3.40000,3.40000,3.40000,17.00000,17.00000,0.20000,0.20000,100.00000,92.47480,92.47480,92.47480,92.47480,0.05130,4.74200,4.74200,4.74200,4.74200,4.21770
2018-06-30,3.28450,3.28450,0.17870,-0.04580,3.06000,3.06000,3.06000,3.06000,3.06000,3.06000,3.06000,17.00000,17.00000,0.18000,0.18000,100.00000,93.16590,93.16590,93.16590,93.16590,0.04460,4.15880,4.15880,4.15880,4.15880,4.32820
2018-03-31,2.03020,2.03020,0.28580,0.12560,1.87000,1.87000,1.87000,1.87000,1.87000,1.87000,1.87000,17.00000,17.00000,0.11000,0.11000,100.00000,92.11140,92.11140,92.11140,92.11140,0.02690,2.47650,2.47650,2.47650,2.47650,4.44170
2017-12-31,1.73860,1.73860,0.19380,0.07030,1.61500,1.61500,1.61500,1.61500,1.61500,1.61500,1.61500,17.00000,17.00000,0.09500,0.09500,100.00000,92.89360,92.89360,92.89360,92.89350,0.02240,2.07820,2.07820,2.07820,2.07820,4.57120
2017-09-30,2.14030,2.14030,0.21530,-0.05500,1.87000,1.87000,1.87000,1.87000,1.87000,1.87000,1.87000,17.00000,17.00000,0.11000,0.11000,100.00000,87.36900,87.36900,87.36900,87.36900,0.02680,2.34330,2.34330,2.34330,2.34330,4.69420
2017-06-30,3.81010,3.81010,0.12380,-0.11630,3.57000,3.57000,3.57000,3.57000,3.57000,3.57000,3.57000,17.00000,17.00000,0.21000,0.21000,100.00000,93.69880,93.69880,93.69880,93.69880,0.04660,4.37060,4.37060,4.37060,4.37060,4.80490
2017-03-31,1.52000,1.52000,0.18320,0.02320,1.36000,1.36000,1.36000,1.36000,1.36000,1.36000,1.36000,17.00000,17.00000,0.08000,0.08000,100.00000,89.47110,89.47110,89.47110,89.47110,0.01820,1.62830,1.62830,1.62830,1.62830,4.91320
2016-12-31,1.98260,1.98260,0.31260,0.03000,1.70000,1.70000,1.70000,1.70000,1.70000,1.70000,1.70000,17.00000,17.00000,0.10000,0.10000,100.00000,85.74430,85.74430,85.74430,85.74430,0.02320,1.98910,1.98910,1.98910,1.98910,5.02740
2016-09-30,1.69650,1.69650,0.17140,0.00490,1.53000,1.53000,1.53000,1.53000,1.53000,1.53000,1.53000,17.00000,17.00000,0.09000,0.09000,100.00000,90.18710,90.18710,90.18710,90.18710,0.01940,1.74850,1.74850,1.74850,1.74850,5.14720
2016-06-30,1.07490,1.07490,0.11630,-0.10860,0.85000,0.85000,0.85000,0.85000,0.85000,0.85000,0.85000,17.00000,17.00000,0.05000,0.05000,100.00000,79.07760,79.07760,79.07760,79.07760,0.01200,0.95030,0.95030,0.95030,0.95030,5.26170
2016-03-31,0.99580,0.99580,0.31750,0.08670,0.76500,0.76500,0.76500,0.76500,0.76500,0.76500,0.76500,17.00000,17.00000,0.04500,0.04500,100.00000,76.81970,76.81970,76.81970,76.81970,0.01090,0.83700,0.83700,0.83700,0.83700,5.37610
2015-12-31,1.98760,1.98760,0.18570,-0.10190,1.70000,1.70000,1.70000,1.70000,1.70000,1.70000,1.70000,17.00000,17.00000,0.10000,0.10000,100.00000,85.53080,85.53080,85.53080,85.53080,0.02130,1.81900,1.81900,1.81900,1.81900,5.49740
2015-09-30,2.01750,2.01750,0.17550,0.02800,1.87000,1.87000,1.87000,1.87000,1.87000,1.87000,1.87000,17.00000,17.00000,0.11000,0.11000,100.00000,92.68930,92.68930,92.68930,92.68930,0.02110,1.96000,1.96000,1.96000,1.96000,5.61220
2015-06-30,2.82800,2.82800,0.12460,0.01660,2.72000,2.72000,2.72000,2.72000,2.72000,2.72000,2.72000,17.00000,17.00000,0.16000,0.16000,100.00000,96.18060,96.18060,96.18060,96.18060,0.02910,2.79450,2.79450,2.79450,2.79450,5.72540
2015-03-31,1.79420,1.79420,0.31500,0.22090,1.70000,1.70000,1.70000,1.70000,1.70000,1.70000,1.70000,17.00000,17.00000,0.10000,0.10000,100.00000,94.75190,94.75190,94.75190,94.75190,0.01810,1.71170,1.71170,1.71170,1.71170,5.84220
2014-12-31,6.32810,6.32810,0.17910,0.14090,6.29000,6.29000,6.29000,6.29000,6.29000,6.29000,6.29000,17.00000,17.00000,0.37000,0.37000,100.00000,99.39730,99.39740,99.39740,99.39730,0.06230,6.19080,6.19080,6.19080,6.19080,5.97660
2014-09-30,6.89830,6.89830,0.14460,-0.12370,6.63000,6.63000,6.63000,6.63000,6.63000,6.63000,6.63000,17.00000,17.00000,0.39000,0.39000,100.00000,96.11070,96.11070,96.11070,96.11070,0.06630,6.37150,6.37150,6.37150,6.37150,6.12100
2014-06-30,9.17790,9.17790,0.17140,-0.16640,8.84000,8.84000,8.84000,8.84000,8.84000,8.84000,8.84000,17.00000,17.00000,0.52000,0.52000,100.00000,96.31880,96.31880,96.31880,96.31880,0.08630,8.31030,8.31030,8.31030,8.31030,6.25730
2014-03-31,9.88030,9.88030,0.37570,0.18530,9.69000,9.69000,9.69000,9.69000,9.69000,9.69000,9.69000,17.00000,17.00000,0.57000,0.57000,100.00000,98.07370,98.07370,98.07370,98.07360,0.09100,8.92130,8.92130,8.92130,8.92130,6.38920
2013-12-31,9.05590,9.05590,0.12720,-0.37020,8.55850,8.55850,8.55850,8.55850,9.01000,8.55850,8.55850,17.00000,17.00000,0.53000,0.53000,100.00000,94.50780,94.50780,94.50780,99.49350,0.08130,7.67990,7.67990,7.67990,7.67990,6.55530
2013-09-30,7.31560,7.31560,0.11980,0.22580,7.42150,7.42150,7.42150,7.42150,6.97000,7.42150,7.42150,17.00000,17.00000,0.41000,0.41000,100.00000,101.44800,101.44800,101.44800,95.27620,0.06410,6.50140,6.50140,6.50140,6.50140,6.71480
2013-06-30,8.45570,8.45570,0.23210,-0.06360,8.16000,8.16000,8.16000,8.16000,8.16000,8.16000,8.16000,17.00000,17.00000,0.48000,0.48000,100.00000,96.50300,96.50300,96.50300,96.50300,0.07240,6.98920,6.98920,6.98920,6.98920,6.86780
2013-03-31,4.44740,4.44740,0.25880,0.23140,4.42000,4.42000,4.42000,4.42000,4.42000,4.42000,4.42000,17.00000,17.00000,0.26000,0.26000,100.00000,99.38430,99.38430,99.38430,99.38430,0.03730,3.70330,3.70330,3.70330,3.70330,7.02070
2012-12-31,8.00490,8.00490,0.15280,-0.03200,7.82000,7.82000,7.82000,7.82000,7.82000,7.82000,7.82000,17.00000,17.00000,0.46000,0.46000,100.00000,97.69050,97.69050,97.69050,97.69050,0.06540,6.39150,6.39150,6.39150,6.39150,7.19700
2012-09-30,10.60880,10.60880,0.18870,-0.22010,10.20000,10.20000,10.20000,10.20000,10.20000,10.20000,10.20000,17.00000,17.00000,0.60000,0.60000,100.00000,96.14700,96.14700,96.14700,96.14700,0.08490,8.15900,8.15900,8.15900,8.15900,7.35380
2012-06-30,11.88310,11.88310,0.16540,0.01230,11.73000,11.73000,11.73000,11.73000,11.73000,11.73000,11.73000,17.00000,17.00000,0.69000,0.69000,100.00000,98.71170,98.71170,98.71170,98.71170,0.09310,9.18670,9.18670,9.18670,9.18670,7.51090
2012-03-31,7.61590,7.61590,0.19920,0.06330,7.48000,7.48000,7.48000,7.48000,7.48000,7.48000,7.48000,17.00000,17.00000,0.44000,0.44000,100.00000,98.21610,98.21610,98.21610,98.21610,0.05830,5.72130,5.72130,5.72130,5.72130,7.69050
2011-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,
2011-09-30,15.13150,15.13150,0.27000,-0.24150,14.62000,14.62000,14.62000,14.62000,14.62000,14.62000,14.62000,17.00000,17.00000,0.86000,0.86000,100.00000,96.61960,96.61960,96.61960,96.61960,0.11100,10.72230,10.72230,10.72230,10.72230,8.02070
2011-06-30,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,
2011-03-31,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,
2010-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,
