Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2020-12-31,46540.00000,38825.00000,7715.00000,595.00000,2736.00000,34328.00000,-26613.00000,-26613.00000,-6010.00000,-20603.00000,-20603.00000,-20070.00000,3991.00000,-26300.00000,4271.00000,4271.00000,-4.70000,-4.70000,0.79650,0.22330,0.41210,16.57710,-57.18310,-56.51050,-57.18310,-43.12420,0.13990,2.05970,-12.55290,-12.55290,-6.19170,-9.75000,38.77390,0.9377,0.322
2020-09-30,46199.00000,38405.00000,7794.00000,188.00000,2444.00000,8166.00000,-372.00000,-372.00000,337.00000,-709.00000,-709.00000,-680.00000,4890.00000,-93.00000,4271.00000,4271.00000,-0.15000,-0.15000,0.86230,0.20250,0.37270,16.87050,-0.80520,-0.20130,-0.80520,-1.47190,0.12900,2.14730,-0.38400,-0.38400,-0.19800,-0.30630,43.66410,1.0276,0.2571
2020-06-30,32605.00000,26118.00000,6487.00000,214.00000,2409.00000,8127.00000,-1640.00000,-1640.00000,-471.00000,-1169.00000,-1169.00000,-1080.00000,3593.00000,-1323.00000,4271.00000,4271.00000,-0.26000,-0.26000,0.92570,0.19920,0.37140,19.89570,-5.02990,-4.05770,-5.02990,-3.31240,0.09020,1.32870,-0.62460,-0.62460,-0.32340,-0.50020,44.26510,-0.0003,-1.0342
2020-03-31,56158.00000,47212.00000,8946.00000,288.00000,2579.00000,9204.00000,-258.00000,-258.00000,512.00000,-770.00000,-770.00000,-610.00000,5810.00000,-9.00000,4270.00000,4270.00000,-0.14000,-0.14000,0.77580,0.14440,0.31580,15.93010,-0.45940,-0.01600,-0.45940,-1.08620,0.15780,2.86120,-0.40800,-0.40800,-0.21640,-0.34900,44.64120,1.46930,0.07700
2019-12-31,67173.00000,52023.00000,15150.00000,357.00000,3048.00000,8736.00000,6414.00000,6414.00000,684.00000,5730.00000,5730.00000,5690.00000,11538.00000,6615.00000,4270.00000,4270.00000,1.33000,1.33000,0.78220,0.11690,0.23590,22.55370,9.54850,9.84770,9.54850,8.47070,0.18530,2.80780,2.88030,2.88030,1.58030,2.54350,46.99690,1.4889,-0.0821
2019-09-30,65049.00000,51814.00000,13235.00000,299.00000,2753.00000,8514.00000,4721.00000,4721.00000,1474.00000,3247.00000,3247.00000,3170.00000,9826.00000,4953.00000,4271.00000,4271.00000,0.75000,0.75000,0.77900,0.11630,0.23920,20.34620,7.25760,7.61430,7.25760,4.87330,0.18100,2.94570,1.64730,1.64730,0.90350,1.45570,46.58690,2.1257,0.6542
2019-06-30,69091.00000,56139.00000,12952.00000,333.00000,2827.00000,8320.00000,4632.00000,4632.00000,1241.00000,3391.00000,3391.00000,3130.00000,9479.00000,4848.00000,4271.00000,4271.00000,0.73000,0.73000,0.73620,0.08740,0.22770,18.74630,6.70420,7.01680,6.70420,4.53030,0.19150,2.98060,1.70860,1.70860,0.94000,1.55930,46.90740,1.392,-0.0531
2019-03-31,63625.00000,51176.00000,12449.00000,280.00000,2770.00000,8160.00000,4289.00000,4289.00000,1883.00000,2406.00000,2406.00000,2350.00000,9041.00000,4470.00000,4270.00000,4270.00000,0.55000,0.55000,0.77400,0.08770,0.20620,19.56620,6.74110,7.02550,6.74110,3.69350,0.17860,2.79160,1.21500,1.21500,0.67550,1.10850,46.80240,1.95270,0.73510
2018-12-31,71895.00000,54795.00000,17100.00000,555.00000,2848.00000,8979.00000,8121.00000,8121.00000,1915.00000,6206.00000,6206.00000,6000.00000,13364.00000,8336.00000,4270.00000,4270.00000,1.41000,1.41000,0.83960,0.09380,0.19040,23.78470,11.29560,11.59470,11.29560,8.34550,0.20770,2.89030,3.12600,3.12600,1.79260,2.83290,46.85580,2.0172,0.5893
2018-09-30,76605.00000,59176.00000,17429.00000,292.00000,2892.00000,8349.00000,9080.00000,9080.00000,2634.00000,6446.00000,6446.00000,6240.00000,13938.00000,9280.00000,4271.00000,4271.00000,1.46000,1.46000,0.82670,0.09480,0.20340,22.75180,11.85300,12.11410,11.85300,8.14570,0.21600,3.15420,3.27490,3.27490,1.81770,2.96430,46.48820,2.6008,1.3823
2018-06-30,73501.00000,58620.00000,14881.00000,332.00000,2993.00000,8369.00000,6512.00000,6512.00000,2526.00000,3986.00000,3986.00000,3950.00000,11248.00000,6659.00000,4271.00000,4271.00000,0.92000,0.92000,0.80960,0.09670,0.21300,20.24600,8.85970,9.05970,8.85970,5.37410,0.21070,3.17160,2.05960,2.05960,1.14280,1.86040,45.70930,1.8211,0.6677
2018-03-31,68211.00000,52926.00000,15285.00000,287.00000,2747.00000,8045.00000,7240.00000,7240.00000,2457.00000,4783.00000,4783.00000,4650.00000,11914.00000,7444.00000,4270.00000,4270.00000,1.09000,1.09000,0.80120,0.09630,0.20840,22.40840,10.61410,10.91320,10.61410,6.81710,0.19550,2.93250,2.45390,2.45390,1.37120,2.21750,46.03470,1.99510,1.21080
2017-12-31,66515.00000,53333.00000,13182.00000,703.00000,2956.00000,10165.00000,3017.00000,3017.00000,-5392.00000,8409.00000,8409.00000,8380.00000,9045.00000,3203.00000,4256.00000,4256.00000,1.97000,1.97000,0.81590,0.11150,0.21770,19.81810,4.53580,4.81550,4.53580,12.59870,0.19080,3.13870,4.32340,4.32340,2.41160,3.84140,45.88350,1.76,0.6935
2017-09-30,61100.00000,47135.00000,13965.00000,284.00000,2632.00000,8382.00000,5583.00000,5583.00000,1498.00000,4085.00000,4085.00000,3970.00000,10574.00000,5694.00000,4271.00000,4271.00000,0.93000,0.93000,0.85080,0.11620,0.21460,22.85600,9.13750,9.31910,9.13750,6.49750,0.17490,2.81520,2.15910,2.15910,1.16910,1.90830,44.65380,1.7642,0.6139
2017-06-30,58077.00000,45622.00000,12455.00000,514.00000,2556.00000,8299.00000,4156.00000,4156.00000,892.00000,3264.00000,3264.00000,3350.00000,8966.00000,4314.00000,4271.00000,4271.00000,0.78000,0.78000,0.82790,0.11750,0.22570,21.44570,7.15600,7.42810,7.15600,5.76820,0.16930,2.98090,1.75640,1.75640,0.95160,1.54990,43.86080,1.6048,0.8871
2017-03-31,58671.00000,44921.00000,13750.00000,289.00000,2505.00000,7832.00000,5918.00000,5918.00000,1828.00000,4090.00000,4090.00000,4010.00000,10583.00000,6064.00000,4223.00000,4223.00000,0.95000,0.95000,0.80810,0.12030,0.23730,23.43580,10.08680,10.33560,10.08680,6.83470,0.17050,3.02030,2.22560,2.22560,1.18820,1.95790,43.37290,1.93540,1.25100
2016-12-31,43036.00000,29464.00000,13572.00000,340.00000,2468.00000,12955.00000,617.00000,617.00000,-1407.00000,2024.00000,2024.00000,1680.00000,8929.00000,812.00000,4177.00000,4177.00000,0.41000,0.41000,0.86940,0.14270,0.24600,31.53640,1.43370,1.88680,1.43370,3.90370,0.13030,1.95380,1.16440,1.16440,0.61280,0.99820,41.90690,1.7715,0.8402
2016-09-30,58677.00000,47677.00000,11000.00000,327.00000,2736.00000,7774.00000,3226.00000,3226.00000,337.00000,2889.00000,2889.00000,2650.00000,7937.00000,3332.00000,4178.00000,4178.00000,0.63000,0.63000,0.85850,0.14040,0.26070,18.74670,5.49790,5.67850,5.49790,4.51630,0.17290,3.10760,1.63210,1.63210,0.85120,1.40290,42.68390,1.2817,0.4669
2016-06-30,57694.00000,47311.00000,10383.00000,445.00000,2646.00000,7987.00000,2396.00000,2396.00000,715.00000,1681.00000,1681.00000,1700.00000,7292.00000,2471.00000,4178.00000,4178.00000,0.41000,0.41000,0.88980,0.14290,0.25140,17.99670,4.15290,4.28290,4.15290,2.94660,0.16850,2.98020,0.95040,0.95040,0.49080,0.81450,42.65130,1.0817,0.0594
2016-03-31,48707.00000,39187.00000,9520.00000,355.00000,2593.00000,7790.00000,1730.00000,1730.00000,-51.00000,1781.00000,1781.00000,1810.00000,6572.00000,1807.00000,4178.00000,4178.00000,0.43000,0.43000,0.90820,0.14210,0.24150,19.54540,3.55190,3.70990,3.55190,3.71610,0.14210,2.41550,0.99780,0.99780,0.51960,0.85600,43.04270,1.15170,0.05050
2015-12-31,40173.00000,29222.00000,10951.00000,518.00000,2990.00000,8323.00000,2628.00000,2628.00000,-202.00000,2830.00000,2830.00000,2780.00000,7443.00000,2688.00000,4196.00000,4196.00000,0.67000,0.67000,0.78970,0.10130,0.21880,27.25960,6.54170,6.69110,6.54170,6.92010,0.11930,1.79880,1.60060,1.60060,0.84040,1.43850,42.54330,1.0349,-0.4204
2015-09-30,67344.00000,53684.00000,13660.00000,324.00000,2967.00000,7911.00000,5749.00000,5749.00000,1365.00000,4384.00000,4384.00000,4240.00000,10369.00000,5827.00000,4190.00000,4190.00000,1.01000,1.01000,0.86150,0.10090,0.19400,20.28390,8.53680,8.65260,8.53680,6.29600,0.19770,3.23710,2.47910,2.47910,1.28690,2.22900,42.47870,2.1991,0.6634
2015-06-30,74113.00000,59422.00000,14691.00000,370.00000,2831.00000,7737.00000,6954.00000,6954.00000,2692.00000,4262.00000,4262.00000,4190.00000,11490.00000,7039.00000,4200.00000,4200.00000,1.00000,1.00000,0.88480,0.09790,0.18910,19.82240,9.38300,9.49770,9.38300,5.65350,0.21280,3.56610,2.38100,2.38100,1.22380,2.14790,42.93550,2.0983,0.4015
2015-03-31,67618.00000,53571.00000,14047.00000,311.00000,2713.00000,7412.00000,6635.00000,6635.00000,1560.00000,5075.00000,5075.00000,4940.00000,11023.00000,6723.00000,4211.00000,4211.00000,1.17000,1.17000,0.90570,0.09900,0.18470,20.77410,9.81250,9.94260,9.81250,7.30570,0.19720,3.32700,2.86000,2.86000,1.47980,2.57690,42.44100,1.89930,0.27400
2014-12-31,87276.00000,70243.00000,17033.00000,537.00000,3128.00000,8191.00000,8842.00000,8842.00000,2060.00000,6782.00000,6782.00000,6570.00000,13368.00000,8910.00000,4282.00000,4282.00000,1.56000,1.56000,0.81860,0.06050,0.16080,19.51630,10.13110,10.20900,10.13110,7.52780,0.24970,4.21170,3.74560,3.74560,1.94050,3.51920,43.10020,1.7007,-0.3543
2014-09-30,107130.00000,85782.00000,21348.00000,319.00000,3169.00000,7938.00000,13410.00000,13410.00000,5064.00000,8346.00000,8346.00000,8070.00000,17860.00000,13498.00000,4267.00000,4267.00000,1.89000,1.89000,0.88800,0.05820,0.11650,19.92720,12.51750,12.59970,12.51750,7.53290,0.30370,4.82980,4.45130,4.45130,2.36590,4.19220,44.27270,2.9465,0.9993
2014-06-30,111208.00000,89043.00000,22165.00000,496.00000,3169.00000,8014.00000,14151.00000,14151.00000,5034.00000,9117.00000,9117.00000,8780.00000,18500.00000,14215.00000,4297.00000,4297.00000,2.05000,2.05000,0.92070,0.05910,0.11570,19.93110,12.72480,12.78240,12.72480,7.89510,0.31010,4.89870,4.84610,4.84610,2.54250,4.55970,44.11040,2.3994,0.3993
2014-03-31,106325.00000,83391.00000,22934.00000,317.00000,3132.00000,7707.00000,15227.00000,15227.00000,5857.00000,9370.00000,9370.00000,9100.00000,19485.00000,15293.00000,4328.00000,4328.00000,2.10000,2.10000,0.88240,0.06230,0.11680,21.56970,14.32120,14.38330,14.32120,8.55870,0.30120,4.49110,5.12330,5.12330,2.65410,4.80430,42.59220,3.48960,1.79640
2013-12-31,110860.00000,87984.00000,22876.00000,591.00000,3341.00000,8160.00000,14716.00000,14716.00000,6073.00000,8643.00000,8643.00000,8350.00000,18944.00000,14564.00000,4419.00000,4419.00000,1.91000,1.91000,0.82690,0.03680,0.12580,20.63500,13.27440,13.13730,13.27440,7.53200,0.31970,5.45300,4.78850,4.78850,2.49220,4.61240,41.63670,2.2671,0.3916
2013-09-30,112372.00000,90208.00000,22164.00000,486.00000,3150.00000,7975.00000,14189.00000,14189.00000,6120.00000,8069.00000,8069.00000,7870.00000,18528.00000,14241.00000,4395.00000,4395.00000,1.79000,1.79000,0.84270,0.04050,0.12130,19.72380,12.62680,12.67310,12.62680,7.00350,0.32330,5.34820,4.59830,4.59830,2.32160,4.41210,40.16430,3.0975,0.9959
2013-06-30,106666.00000,85686.00000,20980.00000,454.00000,3268.00000,8212.00000,12768.00000,12768.00000,5793.00000,6975.00000,6975.00000,6860.00000,17258.00000,12853.00000,4433.00000,4433.00000,1.55000,1.55000,0.86460,0.04190,0.11280,19.66890,11.97010,12.04980,11.97010,6.43130,0.31220,4.98260,4.06500,4.06500,2.04180,3.89480,38.97960,1.7687,-0.2024
2013-03-31,108357.00000,84622.00000,23735.00000,445.00000,3118.00000,7697.00000,16038.00000,16038.00000,6277.00000,9761.00000,9761.00000,9500.00000,20172.00000,16062.00000,4485.00000,4485.00000,2.12000,2.12000,0.89310,0.04140,0.07750,21.90450,14.80110,14.82320,14.80110,8.76730,0.31900,5.21360,5.63970,5.63970,2.87390,5.40620,38.92870,3.03050,1.35960
2012-12-31,114124.00000,88429.00000,25695.00000,452.00000,3322.00000,7995.00000,17700.00000,17700.00000,7398.00000,10302.00000,10302.00000,9950.00000,21921.00000,17811.00000,4628.00000,4628.00000,2.20000,2.20000,1.00500,0.04410,0.06750,22.51500,15.50950,15.60670,15.50950,8.71860,0.34190,6.08090,6.00140,6.00140,3.08630,5.73650,38.12970,2.7948,0.6571
2012-09-30,115141.00000,89763.00000,25378.00000,494.00000,3468.00000,8058.00000,17320.00000,17320.00000,7394.00000,9926.00000,9926.00000,9570.00000,21416.00000,17379.00000,4597.00000,4597.00000,2.09000,2.09000,1.02960,0.04920,0.07210,22.04080,15.04240,15.09370,15.04240,8.31150,0.34350,5.41560,5.75900,5.75900,2.96130,5.47540,37.80260,3.0068,1.2154
2012-06-30,127363.00000,93365.00000,33998.00000,372.00000,3486.00000,7807.00000,26191.00000,26191.00000,8537.00000,17654.00000,17654.00000,15910.00000,30140.00000,26241.00000,4656.00000,4657.00000,3.41000,3.41000,1.03790,0.05020,0.09280,26.69380,20.56410,20.60330,20.56410,12.49190,0.38640,6.15950,10.50930,10.50930,5.35550,9.98180,36.39240,2.2457,0.4328
2012-03-31,124053.00000,98466.00000,25587.00000,522.00000,3601.00000,8072.00000,17515.00000,17515.00000,7716.00000,9799.00000,9799.00000,9450.00000,21464.00000,17622.00000,4715.00000,4716.00000,2.00000,2.00000,0.95210,0.05330,0.09540,20.62590,14.11900,14.20520,14.11900,7.61770,0.35940,6.67610,5.97070,5.97070,2.83900,5.65280,35.09650,4.08970,2.42660
2011-12-31,121609.00000,96080.00000,25529.00000,427.00000,3911.00000,8488.00000,17041.00000,17041.00000,7317.00000,9724.00000,9724.00000,9400.00000,21191.00000,17116.00000,4870.00000,4875.00000,1.97000,1.97000,0.94140,0.05480,0.10600,20.99270,14.01290,14.07460,14.01290,7.72970,0.36730,6.39510,6.04940,6.04940,2.93730,5.71780,33.95520,2.1449,0.4041
2011-09-30,125330.00000,98194.00000,27136.00000,728.00000,3764.00000,8456.00000,18680.00000,18680.00000,8009.00000,10671.00000,10671.00000,10330.00000,22644.00000,18778.00000,4839.00000,4843.00000,2.13000,2.13000,0.92540,0.05440,0.10330,21.65160,14.90470,14.98290,14.90470,8.24220,0.38770,5.86930,6.57840,6.57840,3.30140,6.22060,33.84350,3.1523,1.5652
2011-06-30,125486.00000,98668.00000,26818.00000,592.00000,3681.00000,8199.00000,18619.00000,18619.00000,7721.00000,10898.00000,10898.00000,10680.00000,22545.00000,18664.00000,4906.00000,4912.00000,2.19000,2.18000,0.97010,0.06970,0.10190,21.37130,14.83750,14.87340,14.83750,8.51090,0.38470,5.18000,6.73400,6.73400,3.34090,6.26470,33.28570,2.6647,1.0573
2011-03-31,114004.00000,87336.00000,26668.00000,334.00000,3627.00000,7751.00000,18917.00000,18917.00000,8004.00000,10913.00000,10913.00000,10650.00000,22707.00000,18946.00000,4963.00000,4971.00000,2.14000,2.14000,0.97890,0.07250,0.10080,23.39220,16.59330,16.61870,16.59330,9.34180,0.35680,5.37060,6.92750,6.92750,3.41530,6.42520,31.97950,3.39090,1.97240
2010-12-31,105186.00000,81073.00000,24113.00000,551.00000,3855.00000,8786.00000,15327.00000,15327.00000,5811.00000,9516.00000,9516.00000,9250.00000,19707.00000,15437.00000,4885.00000,4897.00000,1.86000,1.85000,0.94170,0.07410,0.09830,22.92420,14.57130,14.67590,14.57130,8.79390,0.34770,6.24790,6.23270,6.23270,3.14570,5.77060,30.66460,2.9384,1.2241
2010-09-30,95298.00000,74335.00000,20963.00000,500.00000,3707.00000,8105.00000,12858.00000,12858.00000,5297.00000,7561.00000,7561.00000,7350.00000,16756.00000,12912.00000,5076.00000,5089.00000,1.44000,1.44000,1.01450,0.09190,0.12150,21.99730,13.49240,13.54910,13.49240,7.71260,0.31770,5.19750,5.02060,5.02060,2.52040,4.55900,29.86320,2.2363,0.874
2010-06-30,92486.00000,72360.00000,20126.00000,407.00000,3607.00000,7420.00000,12706.00000,12706.00000,4960.00000,7746.00000,7746.00000,7560.00000,16112.00000,12746.00000,4716.00000,4729.00000,1.61000,1.60000,1.07600,0.10740,0.14060,21.76110,13.73830,13.78160,13.73830,8.17420,0.31770,5.38430,5.32860,5.32860,2.66120,4.75640,28.54810,1.957,0.7616
2010-03-31,90251.00000,70648.00000,19603.00000,686.00000,3514.00000,7535.00000,12068.00000,12068.00000,5493.00000,6575.00000,6575.00000,6300.00000,15403.00000,12123.00000,4722.00000,4736.00000,1.33000,1.33000,1.06840,0.05660,0.08030,21.72050,13.37160,13.43250,13.37160,6.98050,0.37180,5.23780,5.58790,5.58790,2.70860,5.27180,25.04600,2.75460,1.53930
2009-12-31,89841.00000,71840.00000,18001.00000,685.00000,3881.00000,7795.00000,10206.00000,10206.00000,4067.00000,6139.00000,6139.00000,6050.00000,13435.00000,10242.00000,4832.00000,4848.00000,1.27000,1.27000,1.06100,0.05820,0.08320,20.03650,11.36010,11.40010,11.36010,6.73410,0.38500,6.21830,5.32010,5.32010,2.63110,5.01060,24.41130,1.7156,0.351
2009-09-30,82260.00000,65685.00000,16575.00000,495.00000,3887.00000,7371.00000,9204.00000,9204.00000,4333.00000,4871.00000,4871.00000,4730.00000,12193.00000,9266.00000,4784.00000,4803.00000,0.98000,0.98000,1.08300,0.06020,0.08570,20.14950,11.18890,11.26430,11.18890,5.75010,0.35870,5.21930,4.34500,4.34500,2.12420,4.08330,23.61600,1.8701,0.6973
2009-06-30,74457.00000,59584.00000,14873.00000,490.00000,3519.00000,7356.00000,7517.00000,7517.00000,3571.00000,3946.00000,3946.00000,3950.00000,10864.00000,7860.00000,4851.00000,4871.00000,0.82000,0.81000,1.15270,0.06020,0.08340,19.97530,10.09580,10.55640,10.09580,5.30510,0.33140,4.78930,3.55010,3.55010,1.75640,3.33640,23.12800,0.4835,-0.676
2009-03-31,64028.00000,49479.00000,14549.00000,351.00000,3448.00000,6699.00000,7850.00000,7850.00000,3148.00000,4702.00000,4702.00000,4550.00000,10750.00000,7957.00000,4937.00000,4959.00000,0.92000,0.92000,1.30930,0.05950,0.08260,22.72290,12.26030,12.42740,12.26030,7.10630,0.28780,3.89080,4.22170,4.22170,2.11330,3.97060,22.82340,1.79670,0.85440
