Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2021-06-30,13.66600,13.66600,4.61400,0.90900,6.60400,6.60400,6.60400,17.95400,17.95400,5.64300,9.66100,16.88300,16.88300,1.06000,1.06000,0.02940,0.07290,0.71640,100.00000,48.32430,70.69370,48.32430,131.37710,0.02660,6.54190,13.75750,6.14050,6.14050,3.48850,5.69270,17.04670,0.7264,0.7264
2021-03-31,12.88500,12.88500,4.20600,0.88000,6.39900,6.39900,6.39900,21.29900,21.29900,-6.59100,9.22100,16.38300,16.38300,1.30000,1.30000,0.05400,0.13200,0.83990,100.00000,49.66240,71.56380,49.66240,165.30070,0.02560,4.99230,18.02790,7.86270,7.86270,4.22420,6.82490,16.22280,-1.0501,-1.0501
2020-12-31,12.88200,12.88200,4.26600,0.65000,6.28000,6.28000,6.28000,12.30300,12.30300,1.09300,8.84800,16.04900,16.04900,0.76000,0.76000,0.03080,0.06180,0.84190,100.00000,48.75020,68.68500,48.75020,95.50540,0.02800,6.05070,14.87420,4.97860,4.97860,2.67800,4.67110,15.21190,0.76010,0.76010
2020-09-30,12.57900,12.57900,4.19700,0.51900,6.11600,6.11600,6.11600,10.24700,10.24700,5.20700,8.51600,15.52050,15.52050,0.66000,0.66000,0.07770,0.35320,0.94780,100.00000,48.62070,67.70010,48.62070,81.46120,0.02740,4.19160,21.47150,4.38390,4.38390,2.23160,2.83540,14.80930,0.5483,0.5483
2020-06-30,11.72900,11.72900,4.00400,1.20500,6.08300,6.08300,6.08300,14.95700,14.95700,-0.08100,8.55500,15.59650,15.59650,0.96000,0.96000,0.09890,0.37050,1.00180,100.00000,51.86290,72.93890,51.86290,127.52150,0.02560,4.58700,19.62060,6.59490,6.59490,3.26770,4.15130,14.54150,-2.194,-2.194
2020-03-31,11.49200,11.49200,4.00500,2.00500,6.54700,6.54700,6.54700,-27.77500,-27.77500,40.85600,9.12900,15.57250,15.57250,-1.78000,-1.78000,0.06300,0.29710,0.85180,100.00000,56.97010,79.43790,56.97010,-241.68990,0.02830,3.33680,26.97180,-12.74530,-12.74530,-6.83980,-8.95900,13.97260,0.2698,0.2698
2019-12-31,12.15900,12.15900,4.14800,1.30400,6.41700,6.41700,6.41700,0.69800,0.69800,8.99700,8.95400,15.25500,15.25500,0.04000,0.04000,0.08160,0.26620,0.73510,100.00000,52.77570,73.64090,52.77570,5.74060,0.02770,4.18700,21.49520,0.27830,0.27830,0.15910,0.20420,16.15340,-1.59380,-1.59380
2019-09-30,12.71800,12.71800,4.09000,0.06500,6.36400,6.36400,6.36400,5.39100,5.39100,18.60300,8.33000,14.63450,14.63450,0.36000,0.36000,0.35940,0.21200,0.49260,100.00000,50.03930,65.49770,50.03930,42.38870,0.02980,4.84500,18.57600,2.16220,2.16220,1.26530,1.70390,16.43250,0.6991,0.6991
2019-06-30,12.88600,12.88600,4.11500,-0.12600,6.21300,6.21300,6.21300,8.85600,8.85600,5.59700,8.30100,14.74550,14.74550,0.60000,0.60000,0.09400,0.19460,0.46760,100.00000,48.21510,64.41880,48.21510,68.72580,0.03100,4.42510,20.33840,3.59730,3.59730,2.13220,2.89730,16.46510,-0.7566,-0.7566
2019-03-31,12.52200,12.52200,4.02300,-0.05600,6.01700,6.01700,6.01700,9.33000,9.33000,7.37200,8.10200,14.31700,14.31700,0.66000,0.66000,0.11450,0.18210,0.45900,100.00000,48.05140,64.70210,48.05140,74.50890,0.03160,4.80510,18.73020,3.97150,3.97150,2.35330,3.24830,16.22120,3.7355,3.7355
2018-12-31,11.90900,11.90900,4.12300,0.39800,5.98600,5.98600,5.98600,-3.70800,-3.70800,-9.09300,7.88400,14.25250,14.25250,-0.26000,-0.26000,0.09300,0.31000,0.69310,100.00000,50.26450,66.20200,50.26450,-31.13610,0.02720,4.13510,21.76510,-1.63040,-1.63040,-0.84580,-1.12490,15.95690,-3.04560,-3.04560
2018-09-30,11.25700,11.25700,3.78700,0.17100,5.90200,5.90200,5.90200,-9.90900,-9.90900,-3.78200,7.40400,13.55200,13.55200,-0.76000,-0.76000,3.66750,0.31690,0.46400,100.00000,52.42960,65.77240,52.42960,-88.02520,0.02820,4.32800,20.79510,-4.17940,-4.17940,-2.48030,-2.85490,16.63690,0.3172,0.3172
2018-06-30,12.37900,12.37900,4.07600,-0.51400,5.99600,5.99600,5.99600,12.09300,12.09300,1.94300,7.55200,13.56700,13.56700,0.90000,0.90000,2.93140,0.32320,0.47760,100.00000,48.43690,61.00660,48.43690,97.68960,0.02980,4.58650,19.62280,4.93690,4.93690,2.91100,3.34110,17.71160,0.7935,0.7935
2018-03-31,11.08600,11.08600,3.86600,0.25400,5.61300,5.61300,5.61300,9.30400,9.30400,4.17000,7.18200,13.35450,13.35450,0.70000,0.70000,3.73360,0.35550,0.55150,100.00000,50.63140,64.78440,50.63140,83.92570,0.02690,5.02310,17.91720,4.01510,4.01510,2.25820,2.58790,17.22990,0.36,0.36
2017-12-31,10.85900,10.85900,3.86800,0.06500,5.57700,5.57700,5.57700,7.16000,7.16000,5.86900,6.80800,13.26150,13.26150,0.54000,0.54000,5.95510,0.36690,0.57960,100.00000,51.35830,62.69450,51.35830,65.93610,0.02650,5.01110,17.96020,3.17210,3.17210,1.74750,2.00810,16.95080,-2.78390,-2.78390
2017-09-30,10.83400,10.83400,3.05800,-0.43300,5.48800,5.48800,5.48800,5.44500,5.44500,5.83400,7.07000,12.74750,12.74750,0.42000,0.42000,4.33030,0.29770,0.42390,100.00000,50.65540,65.25760,50.65530,50.25840,0.02960,6.37670,14.11390,2.47890,2.47890,1.48830,1.74090,16.79220,0.0742,0.0742
2017-06-30,9.63200,9.63200,3.32100,0.24600,5.37900,5.37900,5.37900,6.16300,6.16300,5.63400,6.28300,12.78800,12.78800,0.48000,0.48000,10.46880,0.27490,0.37920,100.00000,55.84510,65.23050,55.84510,63.98460,0.02670,4.21720,21.34140,2.84030,2.84030,1.70560,2.05950,16.76840,-1.899,-1.899
2017-03-31,8.79300,8.79300,3.06400,0.49100,5.35900,5.35900,5.35900,4.65600,4.65600,7.39900,5.94600,12.75900,12.75900,0.36000,0.36000,8.48580,0.20250,0.25390,100.00000,60.94620,67.62200,60.94620,52.95120,0.02680,4.25610,21.14640,2.18930,2.18930,1.41680,1.74610,16.66820,-1.7367,-1.7367
2016-12-31,9.97400,9.97400,4.16400,-0.33000,5.20700,5.20700,5.20700,0.91600,0.91600,6.37600,5.20700,12.38950,12.38950,0.08000,0.08000,4.79960,0.11590,0.13120,100.00000,52.20570,52.20570,52.20570,9.18390,0.03270,5.10700,17.62280,0.42930,0.42930,0.30070,0.37950,16.72430,2.53970,2.53970
2016-09-30,9.75200,9.75200,2.63500,-0.45800,4.90400,4.90400,4.90400,20.69400,20.69400,-11.71700,6.38500,11.60050,11.60050,1.78000,1.78000,4.05840,0.26160,0.35440,100.00000,50.28710,65.47380,50.28710,212.20260,0.02910,4.18000,21.53100,10.28490,10.28490,6.16740,7.59390,17.23840,0.7322,0.7322
2016-06-30,9.84400,9.84400,4.13100,-0.53300,4.90700,4.90700,4.90700,5.51600,5.51600,4.47700,4.90700,11.68200,11.68200,0.48000,0.48000,4.23080,0.28320,0.39510,100.00000,49.84760,49.84760,49.84760,56.03410,0.03020,3.70910,24.26450,2.97340,2.97340,1.69440,2.13130,15.89390,-0.9794,-0.9794
2016-03-31,9.45600,9.45600,3.45500,-0.17800,4.91700,4.91700,4.91700,-6.13900,-6.13900,11.37800,5.55000,11.70650,11.70650,-0.52000,-0.52000,5.32350,0.23630,0.30940,100.00000,51.99870,58.69290,51.99870,-64.92180,0.03040,3.43480,26.20240,-3.31470,-3.31470,-1.97400,-2.53150,15.83890,-0.4029,-0.4029
2015-12-31,10.06000,10.06000,3.61800,-0.64300,4.75900,4.75900,4.75900,-8.70400,-8.70400,34.58600,5.54400,11.34350,11.34350,-0.76000,-0.76000,7.46020,0.22640,0.29270,100.00000,47.30620,55.10930,47.30620,-86.52090,0.03060,3.93580,22.86680,-4.43020,-4.43020,-2.65140,-3.42720,16.76940,5.82430,5.82430
2015-09-30,10.17400,10.17400,7.32100,0.14100,5.48000,5.48000,5.48000,-4.69600,-4.69600,-3.82600,2.74500,10.53350,10.53350,-0.46000,-0.46000,5.36730,0.39940,0.66490,100.00000,53.86280,26.98050,53.86280,-46.15690,0.02660,1.82300,49.37000,-2.45290,-2.45290,-1.22780,-1.47330,18.11890,-2.1152,-2.1152
2015-06-30,9.93500,9.93500,3.65200,-0.16100,4.83600,4.83600,4.83600,3.30700,3.30700,7.19400,5.86900,10.56150,10.56150,0.32000,0.32000,7.83820,0.34270,0.52130,100.00000,48.67640,59.07400,48.67640,33.28640,0.02690,1.92020,46.87070,1.64820,1.64820,0.89560,1.08340,18.98950,1.6803,1.6803
2015-03-31,9.22300,9.22300,3.60900,-0.59500,3.69300,3.69300,3.69300,9.54200,9.54200,-0.86900,4.71700,10.50600,10.50600,0.90000,0.90000,5.46860,0.36330,0.57060,100.00000,40.04120,51.14390,40.04120,103.45870,0.02410,1.85760,48.44950,4.74330,4.74330,2.49670,3.02000,19.09790,-2.605,-2.605
2014-12-31,8.72600,8.72600,3.43800,-0.61700,3.69100,3.69100,3.69100,0.33100,0.33100,-4.45600,4.36900,10.50000,10.50000,0.04000,0.04000,5.07690,0.30060,0.42990,100.00000,42.29890,50.06880,42.29890,3.79330,0.02540,2.43540,36.95510,0.16920,0.16920,0.09620,0.11840,18.62680,-4.03080,-4.03080
2014-09-30,8.68200,8.68200,3.12800,-0.20700,4.41000,4.41000,4.41000,23.00400,23.00400,-12.01000,5.04400,10.50000,10.50000,2.18000,2.18000,9.27570,0.15990,0.19040,100.00000,50.79480,58.09720,50.79480,264.96210,0.02880,3.13770,28.68350,11.52160,11.52160,7.63160,9.67880,19.01520,0.1213,0.1213
2014-06-30,10.18000,10.18000,3.22300,-0.87000,5.06300,5.06300,5.06300,-20.17500,-20.17500,28.90000,5.77300,10.50000,10.50000,-1.92000,-1.92000,4.60340,0.16810,0.20200,100.00000,49.73480,56.70920,49.73480,-198.18270,0.03600,3.62280,24.84280,-11.14700,-11.14700,-7.13690,-9.27370,17.23720,1.0585,1.0585
2014-03-31,9.33100,9.33100,3.50300,-0.35900,4.48500,4.48500,4.48500,-2.10200,-2.10200,9.29100,5.15400,10.50000,10.50000,-0.20000,-0.20000,4.83480,0.22740,0.29440,100.00000,48.06560,55.23520,48.06560,-22.52710,0.03030,4.01160,22.43490,-1.02250,-1.02250,-0.68170,-0.79000,19.57870,-1.0205,-1.0205
2013-12-31,8.39200,8.39200,3.24400,0.19200,4.41000,4.41000,4.41000,10.50600,10.50600,-11.45300,5.02500,10.50000,10.50000,1.00000,1.00000,8.58250,0.18430,0.22590,100.00000,52.55010,59.87850,52.55000,125.19070,0.02780,3.37710,26.65040,4.95360,4.95360,3.48500,4.04080,20.19890,-0.11430,-0.11430
2013-09-30,9.35100,9.35100,3.00400,-0.56000,4.70700,4.70700,4.70700,28.67500,28.67500,-17.34700,5.47400,10.50000,10.50000,2.72000,2.72000,13.63660,0.18610,0.22870,100.00000,50.33690,58.53920,50.33690,306.65170,0.03170,3.75840,23.94610,13.92040,13.92040,9.71730,11.32980,19.61830,1.1736,1.1736
2013-06-30,8.55100,8.55100,2.94100,-0.13100,4.41000,4.41000,4.41000,-2.05900,-2.05900,10.01100,5.16600,10.50000,10.50000,-0.20000,-0.20000,12.15860,0.24780,0.32950,100.00000,51.57290,60.41400,51.57290,-24.07910,0.03040,2.93950,30.61750,-1.13960,-1.13960,-0.73230,-0.85720,17.20740,0.9516,0.9516
2013-03-31,8.42400,8.42400,2.83500,-0.04700,4.41000,4.41000,4.41000,-2.76300,-2.76300,13.22600,5.21300,10.50000,10.50000,-0.26000,-0.26000,7.85220,0.23330,0.30430,100.00000,52.35040,61.88270,52.35040,-32.79910,0.02950,2.65160,33.94230,-1.47640,-1.47640,-0.96800,-1.13190,17.82350,0.0838,0.0838
2012-12-31,9.82800,9.82800,3.37200,-0.48500,4.85900,4.85900,4.85900,8.36600,8.36600,1.56100,5.71500,10.50000,10.50000,0.80000,0.80000,7.42290,0.23080,0.30010,100.00000,49.44040,58.15020,49.44040,85.12410,0.03360,3.68920,24.39560,4.34550,4.34550,2.86040,3.34240,18.33520,0.85160,0.85160
2012-09-30,10.04500,10.04500,3.58600,-0.59200,4.54100,4.54100,4.54100,5.46400,5.46400,1.00600,5.61000,10.50550,10.50550,0.52000,0.52000,5.83150,0.24880,0.33120,100.00000,45.20660,55.84870,45.20660,54.39520,0.03420,3.72590,24.15530,2.89770,2.89770,1.86230,2.17680,17.95850,3.1623,3.1623
2012-06-30,9.96100,9.96100,3.36900,-0.30400,4.86900,4.86900,4.86900,-10.58000,-10.58000,17.41500,6.03600,10.50000,10.50000,-1.00000,-1.00000,7.64500,0.32920,0.49080,100.00000,48.88060,60.59630,48.88060,-106.21420,0.03100,3.39620,26.50040,-5.65740,-5.65740,-3.28870,-3.79500,17.81080,-1.4733,-1.4733
2012-03-31,10.99600,10.99600,3.94100,-0.56300,5.21600,5.21600,5.21600,-1.60300,-1.60300,13.61600,6.21500,10.50250,10.50250,-0.16000,-0.16000,6.19870,0.24570,0.32570,100.00000,47.43540,56.52060,47.43540,-14.57800,0.03530,3.52780,25.51200,-0.79360,-0.79360,-0.51490,-0.59860,19.23830,-0.1009,-0.1009
2011-12-31,9.32000,9.32000,3.32200,0.01600,4.41800,4.41800,4.41800,-1.28900,-1.28900,3.69700,5.55700,10.51950,10.51950,-0.12000,-0.12000,5.31440,0.21570,0.27500,100.00000,47.40340,59.62450,47.40340,-13.83050,0.03020,3.17660,28.33260,-0.61970,-0.61970,-0.41830,-0.48600,19.79310,0.90560,0.90560
2011-09-30,9.82700,9.82700,4.62400,1.35700,4.81300,4.81300,4.81300,-0.54000,-0.54000,10.56400,6.17300,10.51950,10.51950,-0.04000,-0.04000,4.47930,0.31880,0.46800,100.00000,48.97730,62.81670,48.97730,-5.49510,0.03090,3.20520,28.07980,-0.25270,-0.25270,-0.17000,-0.17210,20.31670,-0.4678,-0.4678
2011-06-30,8.98000,8.98000,3.31400,0.19400,4.53400,4.53400,4.53400,-14.31000,-14.31000,25.29300,5.49200,10.51950,10.51950,-1.36000,-1.36000,4.62140,0.29880,0.42610,100.00000,50.49000,61.15810,50.49000,-159.35410,0.02860,3.30630,27.22050,-6.57820,-6.57820,-4.55540,-4.61260,20.67930,-5.3925,-5.3925
2011-03-31,8.39800,8.39800,3.22600,0.10200,4.42800,4.42800,4.42800,-8.38100,-8.38100,18.90600,4.90600,10.51950,10.51950,-0.80000,-0.80000,5.26950,0.12510,0.14300,100.00000,52.72680,58.41870,52.72680,-99.79760,0.03080,3.35790,26.80280,-3.56310,-3.56310,-3.07520,-3.11720,22.35990,-0.2589,-0.2589
2010-12-31,8.00600,8.00600,2.18200,-1.01000,4.63700,4.63700,4.63700,2.13200,2.13200,7.97100,4.51700,10.51950,10.51950,0.20000,0.20000,8.35180,0.09290,0.10240,100.00000,57.91910,56.42020,57.91910,26.63000,0.02910,2.82500,31.85860,0.86330,0.86330,0.77390,0.78310,23.47640,-0.38020,-0.38020
2010-09-30,7.95200,7.95200,6.43000,4.04100,4.42800,4.42800,4.42800,3.83600,3.83600,6.28900,5.25600,10.53000,10.53000,0.36000,0.36000,4.83860,0.06710,0.07200,100.00000,55.68410,66.09660,55.68410,48.23940,0.02940,2.88950,31.14690,1.53900,1.53900,1.41800,1.43570,23.69370,1.5573,1.5573
2010-06-30,7.96900,7.96900,1.49800,-0.91100,4.42900,4.42900,4.42900,-1.74800,-1.74800,8.24700,5.32000,10.51950,10.51950,-0.16000,-0.16000,2.78470,0.10980,0.12340,100.00000,55.57790,66.75870,55.57790,-21.93500,0.02810,2.67330,33.66670,-0.70360,-0.70360,-0.61640,-0.62630,23.61610,2.934,2.934
2010-03-31,9.81400,9.81400,2.20600,-1.54900,4.47400,4.47400,4.47400,7.98000,7.98000,3.69700,5.61000,10.53750,10.53750,0.76000,0.76000,4.50480,0.17230,0.20820,100.00000,45.58790,57.16320,45.58790,81.31240,0.03150,3.44960,26.09030,3.13500,3.13500,2.56070,2.59470,24.19780,2.2942,2.2942
2009-12-31,9.80400,9.80400,2.18600,-1.16100,4.42800,4.42800,4.42800,6.32600,6.32600,3.80000,5.96300,10.54400,10.54400,0.60000,0.60000,5.84760,0.22630,0.29240,100.00000,45.16520,60.82210,45.16520,64.52470,0.02980,2.52490,35.64570,2.51580,2.51580,1.92560,1.94660,23.84760,1.42920,1.42920
2009-09-30,9.28300,9.28300,1.43100,-1.50600,4.16000,4.16000,4.16000,3.39400,3.39400,-4.91100,5.82100,10.54400,10.54400,0.34000,0.34000,4.04760,0.25070,0.33460,100.00000,44.81310,62.70600,44.81310,36.56150,0.02760,1.99160,45.18910,1.36260,1.36260,1.01040,1.02100,23.62250,1.3153,1.3153
2009-06-30,10.59800,10.59800,2.00100,-0.54300,5.43500,5.43500,5.43500,-0.78800,-0.78800,3.58800,7.24600,10.54400,10.54400,-0.08000,-0.08000,4.12580,0.26840,0.36680,100.00000,51.28330,68.37140,51.28330,-7.43540,0.03080,2.79930,32.15140,-0.31520,-0.31520,-0.22880,-0.23060,23.70980,5.8865,5.8865
2009-03-31,10.92900,10.92900,2.10200,-0.53000,5.55500,5.55500,5.55500,10.28000,10.28000,1.20800,7.57100,10.54400,10.54400,0.96000,0.96000,9.12140,0.37540,0.60090,100.00000,50.82810,69.27440,50.82810,94.06170,0.02660,3.04430,29.56360,4.02800,4.02800,2.49880,2.51600,24.20460,1.8575,1.8575
