Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,4.97650,4.40560,,-9.38210,-0.24480,-9.62680,,-9.62680,-9.62680,,-9.71760,-9.37480,-9.38210,0.00370,0.00370,-2765.60000,-2765.60000,0.46080,,-0.04360,104.18900,86.71380,-109.08060,104.18900,-1802.13900,-2137.76300,-2137.76300
2021-12-31,5.77820,3.03680,,-11.16700,-0.00550,-11.17250,,-11.17250,-11.17250,,-11.28870,-8.67780,-11.16700,0.00210,0.00210,3576.03100,3576.03100,0.76620,,-0.08200,142.84220,114.78680,-94.76260,142.84240,-2203.25300,-3316.95,-3317.54
2021-09-30,24.37830,6.02120,,-30.39950,-0.00130,-30.40080,,-30.40080,-30.40080,,-30.51890,-30.26120,-30.39950,0.00220,0.00220,-13715.88000,-13715.88000,0.39280,,,436.16700,266.70620,-244.69350,436.16700,-2635.57900,-11875.0595,-11907.16
2021-06-30,5.64780,3.62910,,-9.27690,-0.00210,-9.27890,,-9.27890,-9.27890,,-12.72980,-9.14300,-9.27690,0.00190,0.00190,-6850.79700,-6850.79700,1.33480,,0.01980,-131.86080,-381.86910,-67.35200,-131.86080,0.08530,-0.4529,-0.4624
2021-03-31,2.51600,5.69750,,-8.21350,0.52790,-7.68560,,-7.68560,-7.68560,,-29.98120,-8.08060,-8.21350,0.00130,0.00130,-22779.95000,-22779.95000,3.68440,,0.02410,-53.36620,-79.39640,-42.73860,-53.36620,0.19240,-0.91760,-0.91760
2020-12-31,14.70430,2.69440,,-17.39870,-0.00170,-17.40040,,-17.40040,-17.40040,,-18.30610,-17.25560,-17.39870,0.00070,0.00070,-26310.43000,-26310.43000,0.50620,,-0.20920,658.93330,229.73010,-134.63780,658.93280,-0.84860,-2.0788,-2.0471
2020-09-30,1.79570,1.91630,,-3.71190,-1.60200,-5.31390,,-5.31390,-5.31390,,-13.46910,-3.57190,-3.71190,0.00070,0.00070,-19837.89000,-19837.89000,4.39490,,,-37.78040,-58.48910,-31.77790,-37.78040,0.48750,-1.7773,-1.7781
2020-06-30,1.08920,1.30450,,-2.39370,-2.30220,-4.69590,,-4.69590,-4.69590,,-4.69590,-2.25240,-2.39370,0.00070,0.00070,-7145.00300,-7145.00300,0.21020,,-6.76900,588.86490,80.53800,-68.43520,588.86180,-0.02800,-0.0461,-0.0461
2020-03-31,1.54880,1.37960,,-2.92850,-2.33280,-5.26130,,-5.26130,-5.26130,,-5.26130,-2.78760,-2.92850,0.00060,0.00060,-8405.88600,-8405.88600,0.56340,,1.07390,-173.00480,253.18030,-64.28510,-173.00490,0.11210,-0.04800,-0.04810
2019-12-31,0.57320,0.55260,,-1.12580,-0.15580,-1.28160,,-1.28160,-1.28160,,-1.28160,-0.98210,-1.12580,0.00050,0.00050,0.00100,0.00100,0.79530,,0.32950,-27.75730,189.44160,-14.39560,-27.75730,0.17250,-0.193,-0.1934
2019-09-30,2.22190,1.86010,,-4.08210,-0.11040,-4.19250,,-4.19250,-4.19250,,-4.19250,-3.93300,-4.08210,0.00060,0.00060,-7145.00300,-7145.00300,0.64090,,0.60810,-130.94210,193.19150,-44.43190,-130.94220,0.12250,-0.1082,-0.1082
2019-06-30,2.87590,2.05630,,-4.93220,-0.11060,-5.04280,,-5.04280,-5.04280,,-5.04280,-4.78340,-4.93220,0.00050,0.00050,-10507.36000,-10507.36000,0.58330,,0.64510,-171.05390,191.27040,-52.46180,-171.05370,0.13980,-0.1768,-0.1767
2019-03-31,3.00970,1.59400,,-4.60360,-0.05710,-4.66080,,-4.66080,-4.66080,,-4.66080,-4.02520,-4.60360,0.00040,0.00040,-10927.65000,-10927.65000,0.48700,,0.69620,-171.77260,156.57040,-52.03760,-171.77280,0.14650,-0.14840,-0.14920
2018-12-31,1.99870,2.04970,0.03000,-4.01840,-0.00140,-4.01980,,-4.01980,-4.01980,,-4.01980,-3.82470,-4.01840,0.00040,0.00040,-9246.47600,-9246.47600,1.60240,,0.05700,-89.85080,-179.65670,-53.81710,-89.85080,0.25290,-0.2585,-0.2754
2018-09-30,1.16890,1.31710,-0.08000,-2.56600,-0.00560,-2.57160,,-2.57160,-2.57160,,-2.57160,-2.36910,-2.56600,0.00040,0.00040,-6304.41500,-6304.41500,3.87660,,,-46.48380,-83.19380,-29.97810,-46.48380,0.32690,-0.1281,-0.1283
2018-06-30,0.92580,2.16720,-0.17000,-3.26300,-0.04620,-3.30920,,-3.30920,-3.30920,,-3.30920,-3.06150,-3.26300,0.00040,0.00040,-9246.47500,-9246.47500,3.30690,,0.04040,-43.38010,-66.23550,-28.18900,-43.38010,0.45470,-0.14,-0.1404
2018-03-31,1.67800,1.91630,0.01000,-3.58440,-0.04860,-3.63300,,-3.63300,-3.63300,,-3.63300,-3.37790,-3.58440,0.00030,0.00030,-12188.53000,-12188.53000,0.64050,,0.28730,-330.72420,195.66560,-69.22700,-330.72470,0.08730,-0.17810,-0.18040
2017-12-31,0.15120,2.12090,-0.03000,-2.30210,-0.17890,-2.48100,,-2.48100,-2.48100,,-2.48100,-2.10470,-2.30210,0.00030,0.00030,-8405.88400,-8405.88400,0.78760,,0.25080,-149.40520,177.97640,-45.27670,-149.40530,0.13800,-0.2568,-0.257
2017-09-30,0.96670,2.00940,0.25000,-2.72610,-0.40810,-3.13420,,-3.13420,-3.13420,,-3.13420,-2.54850,-2.72610,0.00030,0.00030,-11768.24000,-11768.24000,1.16620,,0.12020,-112.11870,851.87870,-45.84630,-112.11860,0.24500,-0.0794,-0.0802
2017-06-30,0.74340,1.38100,-0.26000,-2.38440,-0.28730,-2.67180,,-2.67180,-2.67180,,-2.67180,-2.18220,-2.38440,0.00020,0.00020,-11347.95000,-11347.95000,1.96530,,0.14450,-57.52460,-190.69080,-30.48490,-57.52460,0.41820,-0.2193,-0.2213
2017-03-31,0.53410,2.17440,-0.10000,-2.80850,-0.00090,-2.80940,,-2.80940,-2.80940,,-2.80940,-2.63170,-2.80850,0.00020,0.00020,-12188.53000,-12188.53000,0.65970,,0.05290,-190.98140,162.58760,-51.79760,-190.98150,0.15290,-0.12110,-0.12120
2016-12-31,0.22560,2.03940,1.20000,-1.06490,-4.56660,-5.63150,,-5.63150,-5.63150,,-5.63150,-0.88590,-1.06490,0.00020,0.00020,-27739.43000,-27739.43000,1.26620,,0.04830,-175.27290,6325.06500,-83.38250,-175.27290,0.33390,-0.2797,-0.2795
2016-09-30,0.74430,0.54370,-0.90000,-2.18800,-1.01010,-3.19820,,-3.19820,-3.19820,,-3.19820,-2.00280,-2.18800,0.00010,0.00010,-22275.60000,-22275.60000,0.08750,,-0.80320,25.86280,19.91340,-57.25570,25.86280,-2.05310,-0.1645,-0.1643
2016-06-30,0.84070,0.88430,,-1.72500,-2.04570,-3.77070,,-3.77070,-3.77070,,-3.77070,-1.53760,-1.72500,0.00010,0.00010,-26478.54000,-26478.54000,,,,,,,,,-0.1188,-0.1209
2016-03-31,0.68560,0.66160,,-1.34720,-0.64410,-1.99130,,-1.99130,-1.99130,,-1.99130,-1.16440,-1.34720,0.00010,0.00010,-17652.36000,-17652.36000,,,,,,,,,-0.13480,-0.13500
2015-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,0.9636,0.9692
2015-09-30,0.36400,1.04500,,-1.40900,-0.46500,-1.87390,,-1.87390,-1.87390,,-1.87390,-1.40900,-1.40900,0.00010,0.00010,-21855.30000,-21855.30000,,,,,,,,,-0.9636,-0.9692
2014-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,0,0
