Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,21882.00000,18695.00000,3187.00000,33.00000,33.00000,3154.00000,514.00000,3668.00000,708.00000,2960.00000,,2960.00000,1322.00000,4965.00000,3154.00000,1567.80000,1626.80000,0.84000,0.81000,1.16880,0.56030,1.35620,14.56450,14.41370,14.41370,16.76260,6.04150,0.05440,1.55750,0.85520,105.23850,2.23750,3.53560,0.73640,0.95390,87.10530,0.28890,-0.63810
2021-12-31,21787.00000,18370.00000,3417.00000,30.00000,30.00000,3387.00000,590.00000,3977.00000,516.00000,3461.00000,,3461.00000,1033.00000,5126.00000,3387.00000,1536.50000,1586.90000,0.62000,0.72000,1.11720,0.55060,1.30570,15.68370,15.54600,15.54600,18.25400,4.74140,0.05570,1.60930,1.00120,89.88850,2.65020,4.12490,0.88520,1.15440,85.88790,1.4956,0.2274
2021-09-30,19248.00000,16368.00000,2880.00000,27.00000,27.00000,2853.00000,586.00000,3439.00000,717.00000,2722.00000,,2722.00000,760.00000,4470.00000,2853.00000,1552.80000,1612.40000,0.47000,0.49000,1.00290,0.55830,1.34720,14.96260,14.82230,14.82230,17.86680,3.94850,0.05270,1.40860,0.94950,94.78800,2.27920,3.38070,0.74490,0.97310,78.80640,1.296,0.5263
2021-06-30,18286.00000,15565.00000,2721.00000,30.00000,30.00000,2691.00000,285.00000,2976.00000,547.00000,2429.00000,,2429.00000,764.00000,4262.00000,2691.00000,1508.20000,1550.00000,0.51000,0.49000,1.04370,0.53190,1.20910,14.88020,14.71620,14.71620,16.27480,4.17810,0.05240,1.39130,0.93570,96.18670,1.99440,2.82550,0.69560,0.90280,83.58420,0.9855,0.2216
2021-03-31,16410.00000,13697.00000,2713.00000,29.00000,29.00000,2684.00000,1636.00000,4320.00000,544.00000,3776.00000,,3776.00000,1235.00000,4194.00000,2684.00000,1510.50000,1545.40000,0.79000,0.77000,1.07110,0.52550,1.17990,16.53260,16.35590,16.35590,26.32540,7.52590,0.04760,1.32390,0.81230,110.79710,3.10040,4.33970,1.09440,1.42260,83.36030,1.18480,0.10610
2020-12-31,17088.00000,18650.00000,-1562.00000,27.00000,-4228.00000,2666.00000,-608.00000,2058.00000,243.00000,1815.00000,,1815.00000,655.00000,4202.00000,2666.00000,1511.40000,1511.40000,0.41000,0.41000,1.01210,0.53180,1.21000,-9.14090,15.60160,15.60160,12.04350,3.83310,0.04970,1.80020,0.90280,99.69100,1.53170,2.17970,0.52810,0.69280,81.18220,1.9226,1.159
2020-09-30,16249.00000,12372.00000,3877.00000,25.00000,1495.00000,2382.00000,-1615.00000,767.00000,225.00000,542.00000,,542.00000,147.00000,3852.00000,2382.00000,1511.70000,1536.40000,0.10000,0.10000,1.03380,0.55310,1.31340,23.85990,14.65940,14.65940,4.72030,0.90470,0.04970,1.19260,0.88950,101.18280,0.49650,0.73060,0.16570,0.21380,74.92340,1.415,0.8878
2020-06-30,12829.00000,9446.00000,3383.00000,25.00000,1401.00000,1982.00000,-3470.00000,-1488.00000,5.00000,-1493.00000,,-1493.00000,-643.00000,3358.00000,1982.00000,1512.10000,1512.10000,-0.43000,-0.43000,1.02600,0.55110,1.30020,26.36990,15.44940,15.44940,-11.59870,-5.01210,0.04050,0.92500,0.74850,120.24320,-1.39640,-2.06980,-0.47180,-0.60340,70.65720,1.033,0.6878
2020-03-31,16586.00000,12709.00000,3877.00000,24.00000,1433.00000,2444.00000,-2237.00000,207.00000,364.00000,-157.00000,,-157.00000,-293.00000,3853.00000,2444.00000,1465.00000,1465.00000,-0.20000,-0.20000,1.04380,0.54330,1.25390,23.37510,14.73530,14.73530,1.24800,-1.76660,0.05310,1.30760,0.90230,99.74010,-0.14500,-0.21230,-0.05020,-0.06380,74.31790,1.14810,0.21230
2019-12-31,17819.00000,13848.00000,3971.00000,26.00000,1335.00000,2636.00000,-798.00000,1838.00000,200.00000,1638.00000,,1638.00000,725.00000,3945.00000,2636.00000,1452.90000,1488.40000,0.54000,0.47000,0.99300,0.53840,1.22700,22.28520,14.79320,14.79320,10.31480,4.06870,0.05500,1.34810,0.96480,93.28300,1.45340,2.19610,0.50560,0.64710,77.41770,1.3288,0.6463
2019-09-30,17875.00000,13910.00000,3965.00000,23.00000,1322.00000,2643.00000,-1067.00000,1576.00000,-180.00000,1756.00000,,1756.00000,892.00000,3942.00000,2643.00000,1434.10000,1470.20000,0.61000,0.62000,1.11200,0.53380,1.21040,22.18180,14.78600,14.78600,8.81680,4.99020,0.06130,1.42930,0.93680,96.06710,1.69730,2.45910,0.60260,0.76080,71.21870,1.2878,0.7717
2019-06-30,16924.00000,13385.00000,3539.00000,23.00000,1257.00000,2282.00000,-1339.00000,943.00000,239.00000,704.00000,,704.00000,399.00000,3516.00000,2282.00000,1433.30000,1467.40000,0.24000,0.25000,1.10510,0.55280,1.30450,20.91110,13.48380,13.48380,5.57200,2.35760,0.05910,1.37130,0.95650,94.08950,0.71120,1.06960,0.24590,0.30530,68.53340,0.5437,0.1435
2019-03-31,15208.00000,11585.00000,3623.00000,26.00000,1060.00000,2563.00000,-1071.00000,1492.00000,236.00000,1256.00000,,1256.00000,565.00000,3597.00000,2563.00000,1433.00000,1462.60000,0.39000,0.39000,1.10310,0.53090,1.20740,23.82300,16.85300,16.85300,9.81060,3.71520,0.05760,1.60480,0.91870,97.96560,1.33030,1.77110,0.47540,0.59780,68.78310,1.09120,0.73290
2018-12-31,16006.00000,12680.00000,3326.00000,28.00000,955.00000,2371.00000,-227.00000,2144.00000,-884.00000,3028.00000,,3028.00000,1980.00000,3298.00000,2371.00000,1549.28000,1581.17700,1.25330,1.22000,1.30480,0.53510,1.21690,20.77970,14.81320,14.81320,13.39500,12.37040,0.06250,1.81430,0.94540,95.20120,3.25650,4.35230,1.18150,1.44910,67.80840,1.4421,1.1617
2018-09-30,14858.00000,11967.00000,2891.00000,25.00000,858.00000,2033.00000,-948.00000,1085.00000,144.00000,941.00000,,941.00000,105.00000,2866.00000,2033.00000,1436.85000,1467.00000,0.07330,0.07330,1.26280,0.53200,1.21200,19.45750,13.68290,13.68290,7.30250,0.70670,0.06350,1.63660,0.96330,93.42850,1.11930,1.44540,0.40220,0.49900,61.36290,0.3202,-0.0107
2018-06-30,13276.00000,10781.00000,2495.00000,24.00000,696.00000,1799.00000,204.00000,2003.00000,339.00000,1664.00000,,1664.00000,680.00000,2471.00000,1799.00000,1435.65000,1462.80000,0.42670,0.41330,1.26300,0.49870,1.07580,18.79330,13.55080,13.55080,15.08740,5.12200,0.06670,1.64340,1.04900,85.79690,2.21930,2.79800,0.83550,1.05370,55.12270,0.6325,0.3792
2018-03-31,12631.00000,10091.00000,2540.00000,27.00000,697.00000,1843.00000,165.00000,2008.00000,153.00000,1855.00000,,1855.00000,819.00000,2513.00000,1843.00000,1436.85000,1465.50000,0.56000,0.56000,1.18720,0.47590,0.98770,20.10930,14.59110,14.59110,15.89740,6.48400,0.06450,1.52020,1.03050,87.33510,2.40520,3.01290,0.94670,1.19560,56.64640,0.86800,0.98940
2017-12-31,13065.00000,10635.00000,2430.00000,26.00000,616.00000,1814.00000,379.00000,2193.00000,110.00000,2083.00000,,2083.00000,972.00000,2404.00000,1814.00000,1438.20000,1470.00000,0.70670,0.68000,1.19080,0.47660,0.98140,18.59930,13.88440,13.88440,16.78530,7.43970,0.06780,1.68520,1.09120,82.47760,2.75240,3.45370,1.08080,1.36500,55.53770,0.7704,0.4618
2017-09-30,12276.00000,10034.00000,2242.00000,24.00000,667.00000,1575.00000,-324.00000,1251.00000,259.00000,992.00000,,992.00000,228.00000,2218.00000,1575.00000,1438.35000,1470.75000,0.13330,0.13330,1.29030,0.46640,0.94770,18.26330,12.82990,12.82990,10.19060,1.85730,0.06650,1.50930,1.08640,82.84460,1.35640,1.72840,0.53740,0.68450,53.74000,0.7973,0.5148
2017-06-30,9444.00000,7332.00000,2112.00000,20.00000,633.00000,1479.00000,-402.00000,1077.00000,119.00000,958.00000,,958.00000,190.00000,2092.00000,1479.00000,1437.90000,1467.90000,0.12670,0.13330,1.30870,0.47530,0.97240,22.36340,15.66070,15.66070,11.40410,2.01190,0.05300,1.16570,0.84450,106.57240,1.36670,1.74520,0.53760,0.67890,51.48890,0.7819,0.5151
2017-03-31,6001.00000,4387.00000,1614.00000,25.00000,524.00000,1090.00000,-447.00000,643.00000,125.00000,518.00000,,518.00000,-73.00000,1589.00000,1090.00000,1437.75000,1437.75000,-0.05330,-0.05330,1.53090,0.47850,0.99250,26.89550,18.16360,18.16360,10.71490,-1.21650,0.03620,0.80690,0.66270,135.80240,0.77920,0.85980,0.31210,0.38360,48.98040,0.37490,0.12800
2016-12-31,6935.00000,5150.00000,1785.00000,24.00000,506.00000,1279.00000,-971.00000,308.00000,211.00000,97.00000,,97.00000,106.00000,1761.00000,1279.00000,1438.50000,1464.90000,0.10670,0.08000,1.44560,0.46430,0.93120,25.73900,18.44270,18.44270,4.44120,1.52850,0.04340,0.96280,0.75930,118.52490,0.14760,0.16210,0.06070,0.07460,48.48700,0.9327,0.6362
2016-09-30,6285.00000,4590.00000,1695.00000,20.00000,561.00000,1134.00000,-105.00000,1029.00000,-992.00000,2021.00000,,2021.00000,1003.00000,1675.00000,1134.00000,1438.65000,1466.85000,0.68670,0.70000,1.46200,0.47440,0.97210,26.96900,18.04300,18.04300,16.37230,15.95860,0.03930,0.78210,0.70760,127.18850,3.18840,3.55230,1.26440,1.58270,46.64640,0.586,0.2565
2016-06-30,5973.00000,4330.00000,1643.00000,25.00000,541.00000,1102.00000,-284.00000,818.00000,234.00000,584.00000,,584.00000,185.00000,1618.00000,1102.00000,1734.37500,1849.99500,0.10670,0.10000,1.60250,0.48620,1.01540,27.50710,18.44970,18.44970,13.69500,3.09730,0.03820,0.73830,0.69570,129.37220,0.96040,1.06700,0.37310,0.46500,44.86580,0.4361,0.3041
2016-03-31,5218.00000,3648.00000,1570.00000,23.00000,504.00000,1066.00000,-228.00000,838.00000,202.00000,636.00000,,636.00000,224.00000,1547.00000,1066.00000,1438.80000,1462.20000,0.15330,0.15330,1.53050,0.49580,1.05370,30.08820,20.42930,20.42930,16.05980,4.29280,0.03420,0.64660,0.63570,141.57150,1.10250,1.21130,0.41630,0.52210,42.71810,0.14980,-0.05270
2015-12-31,5538.00000,4092.00000,1446.00000,23.00000,453.00000,993.00000,412.00000,1405.00000,218.00000,1187.00000,0.00000,678.00000,678.00000,1423.00000,993.00000,1540.91600,1517.91000,0.44000,0.44670,1.43150,0.48710,1.01850,26.11050,17.93070,17.93070,25.37020,12.24270,0.03970,0.77490,0.78620,114.47450,1.26760,1.36930,0.48600,0.60770,39.68760,0.4128,0.2236
2015-09-30,5056.00000,3740.00000,1316.00000,25.00000,461.00000,855.00000,135.00000,990.00000,145.00000,845.00000,,845.00000,257.00000,1291.00000,855.00000,1438.05000,1475.55000,0.18000,0.17330,1.78020,0.52740,1.11610,26.02850,16.91060,16.91060,19.58070,5.08310,0.03730,0.70710,0.69960,128.64520,1.70000,1.78640,0.62400,0.74980,,0.6649,0.5065
2015-06-30,4923.00000,3595.00000,1328.00000,29.00000,457.00000,871.00000,-40.00000,831.00000,-368.00000,1199.00000,,1199.00000,611.00000,1299.00000,871.00000,1428.00000,1470.30000,0.42670,0.41330,1.87640,0.49000,0.96060,26.97540,17.69250,17.69250,16.88000,12.41110,0.03760,0.66400,0.70970,126.81900,2.32940,2.43610,0.91530,1.11140,,0.4462,0.3159
2015-03-31,4396.00000,3006.00000,1390.00000,29.00000,430.00000,960.00000,679.00000,1639.00000,201.00000,1438.00000,,1438.00000,695.00000,1361.00000,960.00000,1392.00000,1435.50000,0.48670,0.50000,1.93720,0.50500,1.02010,31.61970,21.83800,21.83800,37.28390,15.80980,0.03400,0.56550,0.64780,138.93080,2.94670,3.08780,1.11220,1.35980,,0.31280,0.18600
2014-12-31,4694.00000,3432.00000,1262.00000,30.00000,400.00000,862.00000,1479.00000,2144.00000,445.00000,1699.00000,0.00000,1050.00000,1050.00000,1232.00000,862.00000,1440.54900,1485.84800,0.72890,0.70670,1.68010,0.47770,0.91450,22.68850,18.36390,18.36390,45.67530,22.36900,0.03630,0.61070,0.53070,169.58880,2.11280,2.20990,0.81090,1.03000,38.24280,0.6902,1.3874
2014-09-30,4659.00000,3467.00000,1192.00000,27.00000,380.00000,812.00000,335.00000,1147.00000,38.00000,1109.00000,0.00000,734.00000,734.00000,1165.00000,812.00000,1515.13900,1515.13900,0.48440,0.49780,2.12300,0.50510,1.02060,25.58490,17.42860,17.42860,24.61900,15.75450,0.03940,0.58400,0.70970,126.81910,1.60780,1.71630,0.62080,0.74230,,0.1932,-0.4546
2014-06-30,4835.00000,3229.00000,1606.00000,33.00000,404.00000,1202.00000,702.00000,1904.00000,346.00000,1558.00000,0.00000,785.00000,785.00000,1573.00000,1202.00000,1459.71000,1484.24400,0.53780,0.52890,2.06770,0.50200,1.00790,33.21610,24.86040,24.86040,39.37950,16.23580,0.04080,0.49480,0.77100,116.73010,1.72060,1.84470,0.66220,0.79500,,0.7188,0.169
2014-03-31,4373.00000,2990.00000,1383.00000,33.00000,409.00000,974.00000,363.00000,1337.00000,494.00000,843.00000,0.00000,541.00000,541.00000,1350.00000,974.00000,1521.56300,1521.56300,0.35560,0.36440,2.10350,0.51020,1.04160,31.62590,22.27300,22.27300,30.57400,12.37140,0.03790,0.47150,0.69930,128.69200,1.23870,1.33760,0.46930,0.56440,,0.13010,-0.10840
2013-12-31,5537.00000,3672.00000,1865.00000,36.00000,396.00000,1469.00000,-505.00000,964.00000,114.00000,850.00000,0.00000,717.00000,717.00000,1829.00000,1469.00000,1493.77500,1493.77500,0.49330,0.48000,2.09060,0.49650,0.98600,33.68250,26.53060,26.53060,17.41020,12.94930,0.04910,0.58370,0.83060,108.35110,1.61380,1.75330,0.63590,0.75960,,0.3819,-0.3481
2013-09-30,5176.00000,3230.00000,1946.00000,36.00000,393.00000,1553.00000,206.00000,1759.00000,264.00000,1495.00000,0.00000,813.00000,813.00000,1910.00000,1553.00000,1451.78600,1487.19600,0.56000,0.54670,2.03430,0.49330,0.97340,37.59660,30.00390,30.00390,33.98380,15.70710,0.04790,0.49860,0.71320,126.18430,1.91180,2.10190,0.75190,0.90300,,0.5507,1.0711
2013-06-30,5166.00000,3606.00000,1560.00000,36.00000,409.00000,1151.00000,21.00000,1172.00000,370.00000,802.00000,0.00000,230.00000,230.00000,1524.00000,1151.00000,1669.35400,1669.35400,0.13780,0.13780,2.46130,0.50020,1.00070,30.19740,22.28030,22.28030,22.68680,4.45220,0.04770,0.56810,0.76260,118.01390,0.56100,0.61770,0.21250,0.26070,,0.5141,0.3585
2013-03-31,4951.00000,3420.00000,1531.00000,44.00000,409.00000,1122.00000,-328.00000,794.00000,97.00000,697.00000,0.00000,360.00000,360.00000,1487.00000,1122.00000,1557.69300,1557.69300,0.23110,0.22670,1.87410,0.51040,1.04230,30.92300,22.66210,22.66210,16.03720,7.27130,0.04480,0.50010,0.70800,127.11980,0.85550,0.97790,0.32560,0.39190,,0.07830,-0.22730
2012-12-31,5385.00000,4969.00000,416.00000,-210.00000,142.00000,274.00000,419.00000,967.00000,191.00000,776.00000,0.00000,492.00000,492.00000,626.00000,274.00000,1495.94600,1537.49900,0.32890,0.32000,1.67940,0.50290,1.01150,12.81340,5.08820,5.08820,17.95730,9.13650,0.04960,0.75530,0.77540,116.07240,1.18980,1.36680,0.45290,0.55270,,0.7259,-0.9896
2012-09-30,4701.00000,3121.00000,1580.00000,128.00000,455.00000,1125.00000,-100.00000,1025.00000,153.00000,872.00000,0.00000,334.00000,334.00000,1452.00000,1125.00000,1565.62400,1565.62400,0.21330,0.21780,1.89920,0.50340,1.01350,33.60990,23.93110,23.93110,21.80390,7.10490,0.04690,0.47880,0.66480,135.37330,0.87530,0.97910,0.33350,0.40600,,0.2089,-0.5664
2012-06-30,4293.00000,2806.00000,1487.00000,119.00000,406.00000,1081.00000,-719.00000,362.00000,-17.00000,379.00000,0.00000,138.00000,138.00000,1368.00000,1081.00000,1826.47100,1826.47100,0.07560,0.07560,1.61300,0.51380,1.05670,34.63780,25.18050,25.18050,8.43230,3.21450,0.04420,0.44160,0.61560,146.20540,0.37730,0.42690,0.14200,0.17190,,-0.0668,-0.2425
2012-03-31,4044.00000,3013.00000,1031.00000,121.00000,418.00000,613.00000,296.00000,909.00000,189.00000,720.00000,0.00000,416.00000,416.00000,910.00000,613.00000,1485.71300,1485.71300,0.28000,0.26670,1.59850,0.48670,0.94820,25.49460,15.15830,15.15830,22.47780,10.28680,0.04250,0.46510,0.59510,151.24630,1.11350,1.25060,0.43710,0.53650,,0.10570,-0.17030
2011-12-31,4122.00000,2448.00000,1674.00000,129.00000,357.00000,1317.00000,402.00000,1217.00000,257.00000,960.00000,0.00000,588.00000,588.00000,1545.00000,1317.00000,1469.99900,1469.99900,0.40000,0.38220,2.71450,0.49430,0.97730,28.43280,31.95050,31.95050,29.52450,14.26490,0.04530,0.40400,0.91300,98.58080,1.66730,1.90710,0.64590,0.79500,,-0.1485,-0.4321
2011-09-30,4582.00000,3591.00000,991.00000,119.00000,343.00000,648.00000,158.00000,806.00000,90.00000,716.00000,0.00000,253.00000,253.00000,872.00000,648.00000,1581.25000,1581.25000,0.16000,0.16000,1.64770,0.52690,1.11360,21.62810,14.14230,14.14230,17.59060,5.52160,0.05410,0.59430,0.70910,126.92710,0.84190,0.97800,0.29890,0.37470,,0.1288,-0.3419
2011-06-30,4136.00000,3004.00000,1132.00000,118.00000,349.00000,783.00000,769.00000,1552.00000,124.00000,1428.00000,0.00000,838.00000,838.00000,783.00000,783.00000,1428.40800,1428.40800,0.58670,0.56000,1.59010,0.49580,0.98320,27.36940,18.93130,18.93130,37.52420,20.26110,0.04800,0.45880,0.46710,192.68620,2.64470,3.11110,0.97200,1.25840,,0.4796,-0.1267
2011-03-31,3583.00000,2778.00000,805.00000,115.00000,336.00000,469.00000,138.00000,607.00000,37.00000,570.00000,,278.00000,278.00000,469.00000,469.00000,1525.61000,1525.61000,0.18220,0.18670,1.54450,0.50320,1.01290,22.46720,13.08960,13.08960,16.94110,7.75890,0.04330,0.43980,0.44650,201.55180,1.84350,1.10270,0.33600,0.43620,,0.00000,
2010-12-31,3957.00000,3889.00000,68.00000,121.00000,336.00000,-268.00000,2362.00000,2094.00000,23.00000,2071.00000,0.00000,1089.00000,1089.00000,-53.00000,-268.00000,1317.33900,1361.25000,0.82670,0.80000,2.01570,0.50990,1.04020,1.71850,-6.77280,-6.77280,52.91890,27.52090,0.05060,0.66490,0.71890,125.18570,3.95530,4.76770,1.39380,1.82850,,0.1487,-0.2643
2010-09-30,3841.00000,2632.00000,1209.00000,94.00000,287.00000,922.00000,-506.00000,416.00000,74.00000,342.00000,0.00000,112.00000,112.00000,1115.00000,922.00000,1575.00000,1575.00000,0.07110,0.07110,1.63140,0.51650,1.06810,31.47620,24.00420,24.00420,10.83050,2.91590,0.05540,0.46980,0.69370,129.73960,0.46260,0.50530,0.16160,0.21140,,0.3291,0.1656
2010-06-30,3081.00000,1971.00000,1110.00000,109.00000,317.00000,793.00000,-434.00000,359.00000,-14.00000,373.00000,0.00000,89.00000,89.00000,1001.00000,793.00000,1668.75100,1668.75100,0.05330,0.05330,1.62200,0.51770,1.07350,36.02730,25.73840,25.73840,11.65210,2.88870,0.04710,0.36900,0.59860,150.35050,0.39040,0.42130,0.13610,0.17730,,0.4764,0.3086
2010-03-31,2744.00000,1707.00000,1037.00000,93.00000,272.00000,765.00000,-299.00000,466.00000,57.00000,409.00000,0.00000,409.00000,409.00000,944.00000,765.00000,3539.42300,3539.42300,0.11560,0.11110,1.66820,0.51740,1.07220,37.79160,27.87900,27.87900,16.98250,14.90530,0.04150,0.30550,0.50250,179.11440,1.77920,1.97950,0.61850,0.80890,,0.11390,0.00900
2009-12-31,3457.00000,3212.00000,245.00000,-125.00000,200.00000,45.00000,303.00000,348.00000,27.00000,321.00000,-219.00000,102.00000,102.00000,370.00000,45.00000,1530.00000,1530.00000,0.06670,0.07110,1.17560,0.66640,1.99730,7.08710,1.30170,1.30170,10.06650,2.95050,0.05580,,0.57650,156.12670,0.66350,0.82580,0.16480,0.20600,,0.0947,-0.6428
2009-09-30,2996.00000,1619.00000,1377.00000,193.00000,514.00000,863.00000,-701.00000,162.00000,50.00000,112.00000,0.00000,112.00000,112.00000,1184.00000,863.00000,1482.35400,1482.35400,0.07560,0.07560,1.21510,0.66680,2.00100,45.96130,28.80510,28.80510,5.40720,3.73830,0.05050,,0.37450,240.35050,0.77310,0.95480,0.18860,0.23880,,0.4846,0.1512
2009-06-30,2978.00000,1852.00000,1126.00000,166.00000,466.00000,660.00000,-579.00000,81.00000,-66.00000,147.00000,0.00000,147.00000,147.00000,960.00000,660.00000,1378.12500,1378.12500,0.10670,0.10670,1.26110,0.69320,2.25900,37.81060,22.16250,22.16250,2.71990,4.93620,0.05320,,0.39360,228.65680,1.16600,1.47630,0.26260,0.32800,,0.2281,0.2045
2009-03-31,2651.00000,1636.00000,1015.00000,159.00000,488.00000,527.00000,-425.00000,102.00000,9.00000,93.00000,0.00000,93.00000,93.00000,856.00000,527.00000,1395.00000,1395.00000,0.06670,0.06670,1.29720,0.71550,2.51530,38.28740,19.87930,19.87930,3.84760,3.50810,0.05020,,0.35420,254.07770,0.83110,1.09180,0.17610,0.21940,,-0.03940,-0.07240
