Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2018-09-30,679.38600,76.89600,602.49000,417.50000,419.82400,182.66600,,182.66600,42.01800,140.64800,140.64800,,139.71800,101.06700,101.24900,1.38000,1.38000,0.39010,33.32700,25.49120,0.01140,2.70780,3.22230,0.29350,2.68190,52.26790,2.613,2.3475
2018-06-30,715.65900,66.71400,648.94500,395.39800,397.72200,251.22300,,251.22300,-28.56000,279.78300,279.78300,,278.85200,101.89200,102.03200,2.74000,2.73000,0.35350,42.66040,47.35210,0.01240,5.33990,6.26290,0.58860,5.28920,51.70940,1.771,1.6099
2018-03-31,566.57500,60.03100,506.54400,390.74000,393.06500,113.47900,,113.47900,22.15500,91.32400,91.32400,,90.39300,101.69600,101.83700,0.89000,0.89000,0.42060,26.05830,20.75710,0.00950,1.82110,2.15490,0.19960,1.80310,49.56370,1.86650,1.76820
2017-12-31,531.46370,58.11700,473.34670,391.09900,393.44300,79.90370,,79.90400,182.05800,-102.15400,-102.15400,,-103.08500,101.96600,102.04500,-1.00000,-1.00000,0.39650,19.88360,-25.65200,0.00910,-2.02140,-2.39070,-0.23070,-2.00150,50.00450,-0.0983,-0.2225
2017-09-30,536.25700,57.71200,478.54500,475.50200,477.84700,0.69800,,0.69800,-19.96600,20.66400,20.66400,,19.73400,101.65200,101.76400,0.19000,0.19000,0.40620,0.21960,6.20980,0.00750,0.39470,0.46540,0.04850,0.39100,51.80480,2.5906,2.4399
2017-06-30,545.52600,54.25400,491.27200,356.97000,359.31400,131.95800,,131.95800,35.73200,96.22600,96.22600,,95.29500,101.60200,101.70900,0.94000,0.94000,0.37290,30.07300,21.71750,0.01060,1.84060,2.17620,0.23330,1.82310,51.75210,1.9342,1.8419
2017-03-31,531.86400,53.89700,477.96700,349.67100,352.01600,125.95100,,125.95100,33.00600,92.94500,92.94500,,92.01400,102.93300,103.11400,0.89000,0.89000,0.38420,28.80400,21.04290,0.01090,1.80830,2.14830,0.23090,1.79080,50.90590,1.81080,1.65920
2016-12-31,410.86910,55.63900,355.23010,359.40000,362.23600,-7.00600,,-7.00600,-1.76600,-5.24000,-5.24000,,-5.03600,103.27500,103.37700,-0.04000,-0.04000,0.39540,-2.23220,-1.60450,0.00810,-0.10180,-0.12110,-0.01360,-0.10080,50.08100,1.5007,1.3732
2016-09-30,483.27700,53.61200,429.66500,360.11800,367.01600,62.64900,,62.64900,15.83900,46.81000,46.81000,,45.88000,103.29600,103.46500,0.44000,0.44000,0.43960,16.21680,11.87610,0.00990,0.87820,0.99490,0.11990,0.87000,51.85270,0.7617,0.5653
2016-06-30,522.71300,51.65900,471.05400,346.52400,349.62100,121.43300,,121.43300,32.44600,88.98700,88.98700,,88.05600,103.24600,103.34300,0.85000,0.85000,0.45310,28.20210,20.45050,0.01140,1.67590,1.98890,0.23660,1.66030,51.68440,1.7832,1.5494
2016-03-31,515.65000,51.60800,464.04200,343.66400,346.77800,117.26400,,117.26400,32.26500,84.99900,84.99900,,84.06800,103.18900,103.27000,0.81000,0.81000,0.44760,27.97280,20.05410,0.01160,1.63460,1.94950,0.23510,1.61890,50.64440,1.72520,1.39860
2015-12-31,533.79520,48.85700,484.93820,360.81300,363.33500,121.60320,-1.00400,120.59900,-16.82700,137.42600,137.42600,,136.49500,102.96700,103.12400,1.32000,1.32000,0.47520,28.28260,32.01050,0.01190,2.71850,3.26470,0.38430,2.69180,49.27020,2.4193,2.3352
2015-09-30,532.39100,50.54700,481.84400,369.58200,373.09400,108.75000,-0.48100,108.26900,22.62000,85.64900,85.64900,-0.00900,84.70900,102.96900,103.15000,0.82000,0.82000,0.54690,26.07850,20.40360,0.01170,1.71320,1.91470,0.24110,1.69610,48.76240,2.213,2.1134
2015-06-30,551.06000,47.74800,503.31200,430.35300,433.23400,70.07800,-6.17400,63.90400,-533.53300,597.43700,597.43700,0.01500,596.52100,102.86000,103.10300,5.80000,5.79000,0.61150,14.96310,139.67500,0.01160,12.19390,13.67330,1.62570,12.07030,47.82140,1.9613,1.7316
2015-03-31,505.30900,46.87900,458.43000,339.52000,341.62400,116.80600,-10.75300,106.05300,32.56800,73.48500,73.48500,1.34100,73.89600,102.94000,103.13600,0.72000,0.72000,0.66050,25.34760,17.66180,0.01170,1.69830,1.92890,0.20630,1.67880,42.29630,-0.09530,-0.16450
2014-12-31,495.29900,65.07400,430.22500,362.05290,364.13590,66.08910,-13.86100,52.22800,12.47200,39.75600,39.75600,9.08600,47.91100,102.84900,102.84900,0.47000,0.47000,0.70410,13.66390,12.53450,0.01150,0.94270,1.09960,0.12010,0.93160,41.23990,0.5655,0.4748
2014-09-30,525.52900,74.77800,450.75100,380.95300,382.97900,67.77200,-8.29000,59.48200,26.66700,32.81500,32.81500,29.75800,61.64300,102.95300,103.15300,0.60000,0.60000,0.78530,16.07090,16.65480,0.01090,0.77240,0.86370,0.09620,0.76340,41.55120,4.8616,4.7092
2014-06-30,484.23900,480.83100,3.40800,330.51800,332.54300,-329.13500,-4.57400,-333.70900,-4.12400,-329.58500,-329.58500,-181.72900,-512.24500,102.78100,102.78100,-4.98000,-4.98000,1.04820,572.69440,879.08880,-0.00160,-7.82810,-9.13710,-0.90080,-7.73590,41.17440,1.5122,1.4433
2014-03-31,514.99100,67.78800,447.20300,355.40900,357.43500,89.76800,,89.76800,23.26400,66.50400,66.50400,19.90500,85.47800,102.80000,103.19800,0.83000,0.83000,0.78300,24.43550,23.26770,0.01000,1.41630,1.70570,0.18100,1.40130,45.87210,1.54890,1.50400
2013-12-31,580.64390,66.27700,514.36690,346.23910,347.76310,166.60390,,166.60400,25.16200,141.44200,141.44200,21.58900,162.10000,102.69400,103.06100,1.58000,1.57000,0.78800,36.79910,35.80420,0.01270,3.09100,3.74960,0.39560,3.05740,44.74120,1.7848,1.681
2013-09-30,692.62700,74.90600,617.72100,372.45000,374.44000,243.28100,,243.28100,17.76800,225.51300,225.51300,3.62200,228.20400,102.71400,103.01700,2.22000,2.22000,0.94770,44.10680,41.37330,0.01530,5.19170,6.37440,0.62550,5.13240,42.52410,2.1144,2.0767
2013-06-30,701.40700,78.27800,623.12900,546.35000,548.33890,74.79000,,74.79000,-237.38000,312.17000,312.17000,15.29800,326.53700,102.62000,102.91700,3.18000,3.17000,1.11910,20.28730,88.57550,0.01000,7.53150,8.92440,0.85100,7.44140,40.61970,1.7706,1.7112
2013-03-31,464.27500,83.90500,380.37000,555.08600,557.55400,-177.18400,,-177.18400,-56.87700,-120.30700,-120.30700,,-121.23700,102.66500,103.01300,-1.18000,-1.18000,1.25140,-113.20650,-77.46080,0.00420,-3.06830,-3.67740,-0.32570,-3.02950,38.46930,2.27990,2.20440
2012-12-31,475.18300,70.98100,404.20200,337.61000,338.16600,66.03600,,66.03600,19.91400,46.12200,46.12200,,83.00900,102.43000,102.65400,0.82000,0.81000,1.07800,19.81520,24.90830,0.00910,1.13610,1.41760,0.12630,1.12220,39.83720,2.4222,2.2145
2012-09-30,566.41200,90.59900,475.81300,410.76000,413.24100,62.57200,,62.57200,15.38400,47.18800,47.18800,,46.25700,102.45100,102.48500,0.45000,0.45000,1.23300,16.92940,12.51530,0.01010,1.17420,1.47180,0.12930,1.15970,39.46750,1.0771,1.0049
2012-06-30,550.52100,98.91000,451.61100,461.23400,463.76500,-12.15400,,-12.15400,-77.89300,65.73900,65.73900,,64.80900,102.29500,102.41100,0.63000,0.63000,0.90030,-3.65630,19.49660,0.00910,1.65540,2.08130,0.17960,1.63480,39.10800,-0.7286,-0.7869
2012-03-31,563.75900,102.26900,461.49010,394.29700,396.89000,64.60000,,64.60000,16.19200,48.40800,48.40800,,47.47700,102.34200,102.49500,0.46000,0.46000,1.18690,17.90630,13.16000,0.00970,1.23590,1.56100,0.13070,1.22020,38.62340,2.33510,2.33170
2011-12-31,671.56100,108.92000,562.64100,556.72200,559.40310,3.23800,,3.23800,0.26300,2.97500,2.97500,,2.04400,102.17900,102.28900,0.01000,0.01000,1.09570,0.84580,0.53390,0.01030,0.07690,0.09740,0.00800,0.07590,38.19820,6.1938,6.1007
2011-09-30,614.14800,122.44700,491.70100,456.16800,458.63100,33.07000,,33.07000,5.53700,27.53300,27.53300,,26.60200,102.16600,102.16600,0.26000,0.26000,1.32550,10.48430,8.43370,0.00830,0.69480,0.87610,0.07210,0.68620,39.16740,1.2067,1.1102
2011-06-30,631.05900,132.35700,498.70200,423.86200,426.11700,72.58500,,72.58500,-38.10000,110.68500,110.68500,,109.75400,102.12300,102.19000,1.07000,1.07000,1.55020,20.48200,30.97030,0.00910,2.82800,3.39260,0.28370,2.79220,38.71240,-0.2879,-0.3355
2011-03-31,649.81900,142.09200,507.72700,348.11300,350.36800,157.35890,,157.35900,147.22700,10.13200,10.13200,,9.20200,102.15360,102.23390,0.10000,0.10000,1.76820,36.39130,2.12810,0.01110,0.26980,0.34540,0.02610,0.26630,37.17850,-0.49730,-0.60330
2010-12-31,612.80490,152.62400,460.18100,696.82800,699.08600,-238.90500,,-238.90500,-11.76400,-227.14100,-227.14100,,-419.11800,88.51500,88.51500,-1.32000,-1.32000,1.82790,-225.86790,-396.24670,0.00270,-6.05650,-7.75880,-0.58520,-5.97660,37.16070,-1.2135,-1.5427
2010-09-30,1347.32900,164.65700,1182.67200,584.14300,586.55400,596.11800,,596.11800,102.03200,494.08600,494.08600,,494.08600,102.13740,102.13740,4.80000,4.80000,1.86760,61.60410,51.05990,0.02380,12.13980,15.21290,1.21320,11.99200,40.28740,-0.3768,-0.434
2010-06-30,691.24400,177.82200,513.42200,528.21900,530.67400,-17.25200,,-17.25200,27.23700,-44.48900,-44.48900,,-44.48900,85.30100,85.30100,-2.80000,-2.80000,2.91770,-5.54430,-14.29760,0.00730,-1.24810,-1.55560,-0.10510,-1.23080,35.34570,0.8492,0.7742
2010-03-31,585.06100,158.27800,426.78300,519.06400,521.11300,-94.33000,,-94.33000,-9.27500,-85.05500,-85.05500,,-85.05500,63.90040,63.90040,-1.30000,-1.30000,2.02790,-50.55660,-45.58560,0.00550,-3.49010,-5.10000,-0.25140,-3.41970,38.89050,2.58440,2.45390
2009-12-31,616.18300,170.97810,445.20490,623.46110,625.72510,-180.52020,,-206.32000,6.90700,-213.22700,-213.22700,,-884.52290,40.82290,40.82290,-1.50000,-1.50000,2.08320,-223.20790,-956.92360,0.00270,-8.56800,-12.39030,-0.61380,-8.39870,39.69760,-0.9902,-1.2517
2009-09-30,614.50700,178.07400,436.43300,549.28400,551.66300,-115.23000,,-115.23000,6.33100,-121.56100,-121.56100,-3.42700,595.61400,42.56730,42.56730,14.00000,14.00000,1.99120,-109.35750,565.25950,0.00300,-4.51510,-5.81660,-0.34110,-4.43260,42.88160,0.8592,1.4273
2009-06-30,696.88500,187.98600,508.89900,677.65600,680.08900,-171.19000,,-171.19000,5.39300,-176.58300,-176.58300,-6.59900,-207.81000,28.18880,28.18880,-7.40000,-7.40000,1.92680,-107.35940,-130.32520,0.00440,-12.49970,-7.86880,-0.48380,-6.08970,102.81460,14.0887,13.7851
2009-03-31,823.92300,216.70600,607.21700,674.31990,676.72590,-69.50900,,-69.50900,-26.93300,-42.57600,-42.57600,-9.94600,-77.20000,28.18340,28.18340,-2.70000,-2.70000,2.01490,-29.61760,-32.89470,0.00620,-2.58560,-1.72050,-0.11290,-1.35940,111.04700,1.44790,0.72480
