Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2020-03-31,136.29500,119.56800,16.72700,19.65200,,19.65200,-2.92500,-0.93400,-3.85900,-1.23500,-2.62400,-2.62400,-2.53600,-2.10900,-2.92500,32.55700,32.55700,-0.08000,-0.08000,0.28910,,0.23600,12.27260,-2.14610,-2.14610,-2.83140,-1.86070,0.83570,-52.47990,-52.48000,-1.60890,-52.47990,1.00330,-0.27870,-0.29280
2019-12-31,,,,60.78280,,,-592.16190,-12.29580,26.53040,5.60600,20.92440,20.92440,15.73340,-592.16190,38.82610,32.55700,32.55700,0.46000,0.46000,0.49410,,0.15000,,,,,,,418.48640,418.48580,12.87770,418.48640,0.83440,3.3364,3.1649
2019-09-30,,,,0.19100,-0.05000,,-0.24100,0.89260,0.65160,0.17440,0.47720,0.47720,0.47720,-0.24100,-0.24100,19.40630,19.40630,0.02000,0.02000,0.66940,,0.15000,,,,,,,9.54380,9.54380,0.29420,9.54380,1.01380,-0.0232,-0.0232
2019-06-30,,,,0.19500,-0.05000,,-0.24500,0.96500,0.72000,0.19310,0.52700,0.52700,0.52700,-0.24500,-0.24500,19.40630,19.40630,0.03000,0.03000,0.80630,,0.08000,,,,,,,10.53920,10.53930,0.32650,10.53920,1.01580,-0.0374,-0.0374
2019-03-31,,,,0.23710,-0.05000,,-0.28710,0.93510,0.64800,0.18550,0.46250,0.46250,0.46250,-0.28710,-0.28710,19.40630,19.40630,0.02000,0.02000,0.74920,,0.08000,,,,,,,9.24980,9.24980,0.28730,9.24980,1.01400,-0.01870,-0.01870
2018-12-31,,,,0.20260,-0.04860,,-0.25120,0.88240,0.63120,0.17350,0.45770,0.45770,0.45770,-0.25120,-0.25120,19.40600,19.40600,0.04000,0.04000,0.76250,,,,,,,,,9.15410,9.15410,0.28610,9.15410,1.01920,-0.014,-0.014
2018-09-30,,,,0.19370,-0.05000,,-0.24370,0.80660,0.56280,0.13770,0.42510,0.42510,0.42510,-0.24370,-0.24370,19.40600,19.40600,0.02000,0.02000,2.29810,,,,,,,,,8.50220,8.50220,0.26640,8.50220,1.02470,-0.0199,-0.0199
2018-06-30,,,,0.13500,-0.10000,,-0.23500,,-0.23500,,-0.23500,-0.23500,-0.23500,-0.23500,-0.23500,19.40630,19.40630,-0.01000,-0.01000,2.01030,,,,,,,,,-4.70020,-4.70020,-0.14750,-4.70020,1.02950,0.0085,0.0085
2018-03-31,,,,0.05500,,,-0.05500,0.00000,-0.05500,,-0.05500,-0.05500,-0.05500,-0.05500,-0.05500,3.37500,3.37500,-0.02000,-0.02000,,,,,,,,,,,,,,,-0.02260,-0.02260
2017-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
2017-09-30,,,,0.03140,,,-0.03140,0.00000,-0.03140,,-0.03140,-0.03140,-0.03140,-0.03140,-0.03140,3.37500,3.37500,-0.01000,-0.01000,,,,,,,,,,,,,,,0,0
