Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2020-12-31,310.52100,59.02000,251.50100,198.96300,198.96290,52.53810,1.99300,54.53100,14.90200,39.62900,39.62900,39.62900,58.05510,52.53810,21.15600,21.25600,1.87000,1.87000,2.53040,,,80.99320,16.91930,16.91930,17.56110,12.76210,0.48450,0.65410,8.97290,10.07120,6.18350,8.97290,20.99300,2.2327,2.1657
2020-09-30,298.51300,56.35800,242.15500,196.80000,196.80000,45.35500,-1.08000,44.27500,13.76900,30.50600,30.50600,30.50600,50.94800,45.35500,21.04300,21.17000,1.45000,1.44000,2.39980,,,81.12040,15.19360,15.19360,14.83190,10.21930,0.51690,0.72100,7.83980,8.90750,5.28210,7.83980,18.51180,2.3117,2.181
2020-06-30,258.99100,47.67400,211.31700,171.73100,171.73100,39.58600,0.39300,39.97900,12.00200,27.97700,27.97700,27.97700,45.23600,39.58600,21.03400,21.12900,1.33000,1.32000,2.32580,,,81.59240,15.28470,15.28470,15.43640,10.80230,0.50570,0.68810,8.01460,9.21670,5.46260,8.01460,16.60920,1.5733,1.3982
2020-03-31,266.61900,46.05900,220.56000,181.54800,181.54800,39.01200,0.15100,39.16300,12.61100,26.55200,26.55200,26.55200,44.76100,39.01200,21.49700,21.55100,1.24000,1.23000,2.30320,,,82.72480,14.63210,14.63210,14.68880,9.95880,0.56280,0.76050,8.36000,9.76020,5.60460,8.36000,15.12780,1.42850,1.09140
2019-12-31,271.29800,47.28900,224.00900,179.43800,179.43790,44.57100,1.23100,45.80200,15.04800,30.75400,30.75400,30.75400,50.29600,44.57100,22.64400,22.81800,1.40000,1.40000,2.41940,,,82.56940,16.42880,16.42880,16.88260,11.33590,0.52480,0.68630,8.74410,10.07550,5.94930,8.74410,16.24160,2.3595,2.1454
2019-09-30,260.59800,47.81900,212.77900,177.32100,177.32100,35.45800,0.43000,35.88800,11.66600,24.22200,24.22200,24.22200,41.10900,35.45800,22.18000,22.22300,1.09000,1.09000,2.18270,,,81.65030,13.60640,13.60640,13.77140,9.29480,0.56280,0.62800,7.70700,9.03260,5.23110,7.70700,14.52940,2.3097,2.1033
2019-06-30,256.01600,46.49400,209.52200,178.36500,178.36500,31.15700,1.35500,32.51200,11.13400,21.37800,21.37800,21.37800,36.89900,31.15700,23.24500,23.37000,0.92000,0.91000,2.70880,,,81.83940,12.16990,12.16990,12.69920,8.35030,0.48090,0.52760,5.56490,6.35880,4.01540,5.56490,16.71700,0.6542,0.4567
2019-03-31,272.99000,45.90100,227.08900,192.08500,192.08500,35.00400,1.29000,36.29400,12.12200,24.17200,24.17200,24.17200,40.89300,35.00400,23.48400,23.92700,1.03000,1.01000,2.84770,,,83.18580,12.82240,12.82240,13.29500,8.85450,0.49490,0.53090,6.17870,7.06960,4.38230,6.17870,16.76530,0.23070,0.12330
2018-12-31,299.02310,49.46700,249.55610,200.98800,200.98800,48.56810,0.89500,49.46300,17.13200,32.33100,32.33100,32.33100,52.67710,48.56810,24.10500,24.64200,1.36000,1.33000,2.63870,,,83.45710,16.24230,16.24220,16.54150,10.81220,0.53930,0.60360,8.26570,9.43920,5.83100,8.26570,16.59720,1.7057,1.5964
2018-09-30,296.76700,51.87700,244.89000,199.37600,199.37600,45.51400,1.01200,46.52600,15.48600,31.04000,31.04000,31.04000,49.56300,45.51400,24.26900,25.00100,1.28000,1.24000,2.84370,,,82.51930,15.33660,15.33660,15.67760,10.45940,0.49510,0.63960,7.12600,8.03020,5.17870,7.12600,17.99880,2.1651,2.0777
2018-06-30,301.46000,49.99100,251.46900,200.32700,200.32700,51.14200,0.38800,51.53000,17.62300,33.90700,33.90700,33.90700,55.29600,51.14200,24.19300,24.84100,1.40000,1.36000,2.95910,,,83.41700,16.96480,16.96480,17.09350,11.24760,0.52400,0.67440,7.89860,8.96430,5.89400,7.89860,17.72420,1.4983,1.3665
2018-03-31,291.99800,49.37500,242.62300,199.49400,199.49400,43.12900,0.86200,43.99100,15.04500,28.94600,28.94600,28.94600,47.66000,43.12900,24.07400,24.27300,1.20000,1.19000,2.89730,,,83.09060,14.77030,14.77030,15.06550,9.91310,0.53480,0.72470,7.21890,8.33670,5.30200,7.21890,16.63880,0.80410,0.68410
2017-12-31,273.11400,45.71300,227.40100,191.50900,191.50900,35.89200,0.50400,36.39600,42.24700,-5.85100,-5.85100,-5.85100,40.20500,35.89200,24.34900,24.70800,-0.23000,-0.23000,2.40930,,,83.26230,13.14180,13.14180,13.32630,-2.14230,0.52600,0.72650,-1.61090,-1.88350,-1.12680,-1.61090,15.11860,2.2179,2.0559
2017-09-30,261.76500,47.13500,214.63000,183.27300,183.27300,31.35700,0.69000,32.04700,8.27800,23.76900,23.76900,23.76900,35.48800,31.35700,24.28300,24.58800,0.98000,0.97000,2.35900,,,81.99340,11.97910,11.97910,12.24270,9.08030,0.53350,0.74420,6.55130,7.64480,4.84440,6.55130,15.15130,0.569,0.475
2017-06-30,257.06300,43.90200,213.16100,180.79300,180.79300,32.36800,0.46000,32.82800,9.56900,23.25900,23.25900,23.25900,36.56800,32.36800,24.57400,25.01800,0.95000,0.93000,2.43890,,,82.92170,12.59150,12.59150,12.77040,9.04800,0.48980,0.63920,6.07060,7.01150,4.43210,6.07060,15.55970,2.1465,2.0033
2017-03-31,255.32300,42.65400,212.66900,179.78200,179.78200,32.88700,0.48200,33.36900,12.01100,21.35800,21.35800,21.35800,36.35300,32.88700,24.49900,24.97600,0.87000,0.86000,2.51810,,,83.29410,12.88050,12.88050,13.06930,8.36510,0.54090,0.61210,6.03450,7.05210,4.52490,6.03450,14.43270,0.07610,-0.05890
2016-12-31,252.90100,46.32100,206.58000,174.74400,174.74400,31.83600,-0.06100,31.77500,9.89300,21.88200,21.88200,21.88200,35.38800,31.83600,24.18500,25.04700,0.90000,0.87000,2.00630,,,81.68410,12.58830,12.58830,12.56420,8.65240,0.53740,0.71470,6.72700,7.97960,4.64940,6.72700,13.28520,2.2023,1.9369
2016-09-30,254.21900,44.97900,209.24000,173.40700,173.40700,35.83300,0.26800,36.10100,6.00300,30.09800,30.09800,30.09800,39.00900,35.83300,24.17800,25.05000,1.24000,1.20000,1.93180,,0.00390,82.30700,14.09530,14.09530,14.20080,11.83940,0.57310,0.60660,9.78130,11.82910,6.78480,9.78130,12.63590,1.3376,0.8462
2016-06-30,258.51400,45.97000,212.54400,175.09500,175.09500,37.44900,0.21900,37.66800,11.90600,25.76200,25.76200,25.76200,40.68300,37.44900,23.95500,24.91700,1.08000,1.03000,1.73360,,,82.21760,14.48630,14.48630,14.57100,9.96540,0.63100,0.64450,9.40480,11.69990,6.28860,9.40480,11.42120,1.3906,1.1985
2016-03-31,240.44900,42.92000,197.52900,164.02500,164.02500,33.50400,-0.49600,33.00800,10.70900,22.29900,22.29900,22.29900,37.02400,33.50400,24.20400,25.18300,0.92000,0.89000,2.15880,0.21230,0.26950,82.15010,13.93390,13.93390,13.72770,9.27390,0.55690,0.63530,9.10480,11.76920,5.16510,7.17210,10.24230,0.53490,0.17870
2015-12-31,232.58500,40.18100,192.40400,157.26690,157.26700,35.13700,0.40400,35.54100,11.57400,23.96700,23.96700,23.96700,37.83100,35.13700,25.46000,26.35500,0.95000,0.92000,1.85880,,,82.72420,15.10720,15.10720,15.28090,10.30460,0.54950,0.60770,8.53370,10.64490,5.66280,8.53370,11.24490,1.4316,1.1498
2015-09-30,233.29200,41.04800,192.24400,154.27800,154.27800,37.96600,0.44100,38.40700,12.79800,25.60900,25.60900,25.60900,40.62000,37.96600,25.70400,26.63400,0.99500,0.96000,2.35730,,,82.40490,16.27400,16.27400,16.46310,10.97720,0.53150,0.66660,8.17160,9.99540,5.83440,8.17160,12.16010,1.0524,0.8105
2015-06-30,233.24400,40.08900,193.15500,154.38200,154.38200,38.77300,-0.08600,38.68700,13.27100,25.41600,25.41600,25.41600,41.06600,38.77300,25.48000,26.45000,0.99500,0.96000,2.16930,,,82.81240,16.62340,16.62340,16.58650,10.89670,0.57100,0.74210,8.93280,11.25530,6.22160,8.93280,11.10990,0.8451,0.6987
2015-03-31,219.37800,38.36400,181.01400,151.22800,151.22800,29.78600,0.16800,29.95400,10.27400,19.68000,19.68000,19.68000,32.12300,29.78600,25.29600,26.17000,0.78000,0.75000,1.91630,,,82.51240,13.57750,13.57750,13.65410,8.97080,0.58490,0.75280,7.76920,10.14420,5.24730,7.76920,9.99950,0.90030,0.67710
2014-12-31,227.87000,37.51600,190.35400,157.71600,157.71600,32.63800,-0.57400,32.06400,10.76400,21.30000,21.30000,21.30000,34.76300,32.63800,26.44300,27.37700,0.85000,0.81000,1.75640,,,83.53620,14.32310,14.32310,14.07120,9.34740,0.65000,0.82910,9.25430,12.43640,6.07560,9.25430,9.10960,1.3014,1.0555
2014-09-30,191.94400,34.58500,157.35900,128.10400,128.10400,29.25500,-0.29700,28.95800,9.46000,19.49800,19.49800,19.49800,31.53200,29.25500,25.74600,26.52600,0.75500,0.73500,1.54090,,0.05010,81.98170,15.24140,15.24140,15.08670,10.15820,0.60560,0.81220,9.77600,13.93970,6.15210,9.77600,8.06180,1.4431,1.2979
2014-06-30,188.25600,34.86500,153.39100,124.30400,124.30400,29.08700,0.29700,29.38400,10.08300,19.30100,19.30100,19.30100,31.28400,29.08700,27.53600,28.47000,0.70000,0.68000,2.27640,,,81.48000,15.45080,15.45080,15.60850,10.25250,0.53040,0.78300,7.59120,9.88170,5.43810,7.59120,9.48430,1.0118,0.6911
2014-03-31,182.40100,33.82800,148.57300,123.45100,123.45100,25.12200,0.12500,25.24700,8.71000,16.53700,16.53700,16.53700,27.33300,25.12200,27.83800,28.79000,0.59500,0.57500,2.83150,,,81.45410,13.77300,13.77300,13.84150,9.06630,0.49100,0.72140,5.91150,7.49640,4.45180,5.91150,10.00430,0.08580,0.05200
2013-12-31,186.26600,33.77800,152.48800,123.48400,123.48400,29.00400,-0.09800,28.90600,8.62400,20.28200,20.28200,20.28200,31.17800,29.00400,27.39000,28.40800,0.73000,0.70000,2.38910,,,81.86570,15.57130,15.57130,15.51870,10.88870,0.50550,0.71500,7.78510,10.14350,5.50440,7.78510,9.38070,1.2373,1.1729
2013-09-30,173.69100,31.49100,142.20000,117.50600,117.50600,24.69400,0.07600,24.77000,8.01700,16.75300,16.75300,16.75300,26.93300,24.69400,27.50200,28.78600,0.61000,0.58000,2.37630,,,81.86950,14.21720,14.21720,14.26100,9.64530,0.52420,0.68950,7.01990,9.38720,5.05620,7.01990,8.60930,0.5666,0.4537
2013-06-30,189.13600,31.90500,157.23100,120.77900,120.77900,36.45200,-0.08300,36.36900,12.15900,24.21000,24.21000,24.21000,38.78000,36.45200,27.02600,28.19800,0.89500,0.86000,2.22510,,,83.13120,19.27290,19.27290,19.22900,12.80030,0.63270,0.76490,11.31280,15.69780,8.09900,11.31280,7.87310,0.9471,0.8738
2013-03-31,169.08200,30.26100,138.82100,112.25900,112.25900,26.56200,-0.02600,26.53600,8.75700,17.77900,17.77900,17.77900,28.86500,26.56200,27.28600,27.80600,0.65000,0.64000,1.90810,,,82.10280,15.70950,15.70950,15.69420,10.51500,0.62940,0.70420,9.47470,13.91680,6.61770,9.47470,6.98510,0.73020,0.69900
2012-12-31,168.53000,30.17100,138.35900,110.27700,110.27700,28.08200,0.07000,28.15200,9.70500,18.44700,18.44700,18.44700,30.30000,28.08200,29.09400,29.84600,0.64500,0.63000,1.87090,,,82.09750,16.66290,16.66290,16.70440,10.94580,0.63040,0.82700,9.94060,14.68750,6.89980,9.94060,6.71340,0.9722,0.9186
2012-09-30,165.17500,30.34300,134.83200,110.74800,110.74800,24.08400,0.26700,24.35100,6.86100,17.49000,17.49000,17.49000,26.28200,24.08400,28.73000,29.76800,0.61000,0.59000,2.07600,,,81.62980,14.58090,14.58090,14.74260,10.58880,0.60220,0.91130,8.87910,12.75140,6.37660,8.87910,6.79430,0.6812,0.5667
2012-06-30,160.90100,28.07300,132.82800,107.67700,107.67700,25.15100,-0.22200,24.92900,8.18400,16.74500,16.74500,16.74500,27.36500,25.15100,29.38200,30.18000,0.57000,0.55500,1.85030,,,82.55260,15.63140,15.63140,15.49340,10.40700,0.61650,0.83040,9.11900,13.49250,6.41540,9.11900,6.39820,0.7156,0.6774
2012-03-31,154.12000,27.21700,126.90300,106.04100,106.04100,20.86200,0.13200,20.99400,7.24300,13.75100,13.75100,13.75100,23.05800,20.86200,29.92800,30.57600,0.46000,0.45000,2.00890,,,82.34040,13.53620,13.53620,13.62190,8.92230,0.58270,0.77130,7.19710,10.51370,5.19860,7.19710,6.37260,0.74050,0.66940
2011-12-31,145.94700,24.62000,121.32700,101.22800,101.22800,20.09900,-0.01200,20.08700,6.92600,13.16100,13.16100,13.16100,22.21200,20.09910,30.72200,31.14800,0.44000,0.43500,1.77670,,,83.13090,13.77150,13.77150,13.76320,9.01770,0.59690,0.66600,7.56770,11.59220,5.38290,7.56770,5.82030,0.4926,0.4333
2011-09-30,143.50100,25.20200,118.29900,99.52300,99.52300,18.77600,0.13300,18.90900,6.52400,12.38500,12.38500,12.38500,20.89100,18.77600,30.08600,30.41000,0.41000,0.40500,1.51760,,,82.43780,13.08420,13.08420,13.17690,8.63060,0.62580,0.69620,7.78250,12.48830,5.40140,7.78250,5.32100,0.7615,0.6641
2011-06-30,148.92500,26.20800,122.71700,101.56300,101.56300,21.15400,,21.15400,7.29800,13.85600,13.85600,13.85600,23.26400,21.15400,31.06000,31.50400,0.44500,0.44000,1.45460,,,82.40190,14.20450,14.20450,14.20450,9.30400,0.72320,0.74070,9.21160,14.83770,6.72860,9.21160,4.95680,0.4558,0.2927
2011-03-31,143.56600,25.66200,117.90400,100.67700,100.67700,17.22700,0.10100,17.32800,5.97800,11.35000,11.35000,11.35000,19.36300,17.22700,31.82200,32.43400,0.35500,0.35000,1.54140,,,82.12530,11.99940,11.99940,12.06970,7.90580,0.69400,0.75950,7.48770,12.03720,5.48680,7.48770,4.81450,0.54090,0.52010
2010-12-31,137.54000,24.57000,112.97000,94.84500,94.84500,18.12500,0.34500,18.47000,6.07900,12.39100,12.39100,12.39100,20.40000,18.12500,31.05600,31.88400,0.39000,0.38000,1.38370,,,82.13610,13.17800,13.17800,13.42880,9.00900,0.63490,0.72100,8.44060,14.14180,5.71970,8.44060,4.59190,0.6504,0.632
2010-09-30,135.00600,25.15700,109.84900,91.31100,91.31100,18.53800,0.55100,19.08900,6.24000,12.84900,12.84900,12.84900,20.55600,18.53800,31.12400,32.49400,0.41500,0.39500,1.03980,,0.14620,81.36600,13.73120,13.73120,14.13940,9.51740,0.66990,0.77160,9.88790,17.81000,6.37590,9.88790,4.12270,0.6163,0.6208
2010-06-30,126.01100,22.73500,103.27600,86.21400,86.21400,17.06200,-0.58700,16.47500,5.70500,10.77000,10.77000,10.77000,18.88100,17.06200,30.63600,31.39400,0.35000,0.34500,1.62970,,,81.95790,13.54010,13.54010,13.07430,8.54690,0.87710,0.73840,10.92760,11.59710,7.49620,10.92760,3.21690,0.3212,0.2208
2010-03-31,119.08700,23.02000,96.06700,81.57600,81.57600,14.49100,0.33900,14.83000,5.18900,9.64100,9.64100,9.64100,16.29500,14.49100,30.62200,31.02600,0.31500,0.31000,1.37300,,,80.66960,12.16840,12.16840,12.45310,8.09580,0.90180,0.84000,11.16300,11.95030,7.30090,11.16300,2.81930,0.48550,0.46930
2009-12-31,116.78400,23.56700,93.21700,77.87300,77.87300,15.34400,0.04200,15.38600,5.17900,10.20700,10.20700,10.20700,17.10100,15.34400,30.68000,30.86400,0.33500,0.33000,1.28280,0.08600,0.09410,79.82000,13.13880,13.13880,13.17480,8.74010,0.94610,0.91480,13.72410,14.86100,8.26890,12.54350,2.42910,0.3918,0.3506
2009-09-30,110.76400,22.63700,88.12700,76.21300,76.21300,11.91400,0.11000,12.02400,4.11200,7.91200,7.91200,7.91200,13.65700,11.91400,30.69000,31.09400,0.26000,0.25500,1.26220,0.21290,0.27050,79.56290,10.75620,10.75620,10.85550,7.14310,0.91180,0.88370,12.58990,13.84330,6.51330,9.90930,2.05020,0.4501,0.4462
2009-06-30,112.09300,23.75300,88.34000,75.04000,75.04000,13.30000,0.12500,13.42500,4.63400,8.79100,8.79100,8.79100,15.04300,13.30000,30.70000,30.77000,0.28500,0.28500,1.31360,0.34790,0.53350,78.80960,11.86520,11.86520,11.97670,7.84260,0.93450,0.96340,16.64900,18.65980,7.32860,10.85680,1.71990,0.2515,0.221
2009-03-31,97.29900,19.84600,77.45300,67.22000,67.22000,10.23300,-0.09000,10.14300,3.49700,6.64600,6.64600,6.64600,12.05900,10.23300,30.70000,30.76400,0.21500,0.21500,1.13380,0.45410,0.83190,79.60310,10.51710,10.51710,10.42460,6.83050,0.81250,0.72440,16.30920,18.95610,5.54960,8.90290,1.32740,-0.04140,-0.07240
