Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,0.66600,,0.66600,5.83600,6.08200,,-11.25200,0.54400,-10.70800,,-10.70800,-10.70800,-10.70800,-11.24100,-11.25200,38.68000,38.68000,-0.27000,-0.27000,22.70110,,100.00000,-1689.48900,-1689.48900,-1607.80800,-1607.80800,0.00390,-6.60080,-6.60080,-6.21750,-6.60080,4.20660,-0.23590,-0.23710
2021-12-31,-1.13300,,-1.13300,-8.96100,-0.91600,,6.19800,-0.96000,9.00400,,3.79800,5.25300,8.68600,6.20600,6.21300,37.11300,37.11300,0.29000,0.29000,20.07830,,99.38220,-547.04330,-548.36720,-794.70430,-766.63710,-0.00640,3.15290,3.15290,2.95410,3.15290,4.36620,-0.1115,-0.1117
2021-11-30,0.67400,,0.67400,6.41000,2.32400,,-8.06000,-0.03800,-8.09800,,-8.09800,-8.09800,-7.89000,-8.03000,-8.06000,36.67300,36.67300,-0.22000,-0.22000,19.88670,,100.00000,-1195.84600,-1195.84600,-1201.48400,-1170.62300,0.00370,-4.74420,-4.74420,-4.43850,-4.74420,4.48170,0.2142,0.2158
2021-09-30,0.68200,,0.68200,6.08600,2.08100,,-7.48500,-0.05100,-7.53600,,-7.53600,-7.53600,-7.25700,-7.47400,-7.48500,34.53900,34.53900,-0.21000,-0.21000,,,100.00000,-1097.50700,-1097.50700,-1104.98500,-1064.07600,,,,,,,-0.4024,-0.404
2021-08-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,0.2718,0.273
2021-06-30,0.67400,,0.67400,3.19800,1.92600,,-4.45000,0.54100,-3.90900,,-3.90900,-3.90900,-3.81700,-4.42200,-4.45000,30.71700,30.71700,-0.12000,-0.12000,,,100.00000,-660.23730,-660.23730,-579.97030,-566.32040,,,,,,,0.2307,0.2411
2021-05-31,0.68100,,0.68100,5.50200,1.29700,,-6.11800,0.49300,-5.62500,,-5.62500,-5.62500,-5.20700,-6.09000,-6.11800,29.93000,29.93000,-0.17000,-0.17000,12.56230,,100.00000,-898.38480,-898.38480,-825.99110,-764.61080,0.00850,-8.12920,-8.12920,-6.98830,-8.12920,2.26700,-0.3708,-0.3815
2021-03-31,0.66600,,0.66600,6.16800,1.10200,,-6.60400,0.54100,-6.06300,,-6.06300,-6.06300,-5.67000,-6.57400,-6.60400,27.96310,27.96310,-0.20000,-0.20000,,,100.00000,-991.59170,-991.59170,-910.36040,-851.35140,,,,,,,-0.13170,-0.13260
2021-02-28,0.66500,,0.66500,3.86900,1.66400,,-4.86800,0.26000,-4.60800,,-4.60800,-4.60800,-4.60800,-4.83800,-4.86800,27.00400,27.00400,-0.17000,-0.17000,9.68850,,100.00000,-732.03000,-732.03000,-692.93230,-692.93230,0.01080,-9.32000,-9.32000,-7.47360,-9.32000,1.74770,-0.34810,-0.36090
2020-11-30,0.67400,,0.67400,5.77400,0.72700,,-5.82700,0.25700,-5.57000,,-5.57000,-5.57000,-5.57000,-5.82500,-5.82700,23.75500,23.75500,-0.23000,-0.23000,6.27380,,100.00000,-864.54010,-864.54010,-826.40950,-826.40950,0.01650,-19.74340,-19.74340,-13.59500,-19.74340,1.18480,-0.259,-0.2722
2020-08-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,0.43,0.4301
2020-05-31,0.68100,,0.68100,1.92500,1.03000,,-2.27400,-0.01000,-2.28400,,-2.28400,-2.28400,-2.28400,-2.27100,-2.27400,23.21500,23.21500,-0.10000,-0.10000,9.98860,,100.00000,-333.92070,-333.92070,-335.38910,-335.38910,0.01480,-6.69560,-6.69560,-4.94850,-6.69560,1.46550,-0.0582,-0.0581
2020-02-29,0.67400,,0.67400,3.32000,1.39100,,-4.03700,0.34900,-3.68800,,-3.68800,-3.68800,-3.68800,-4.03500,-4.03700,17.81800,17.81800,-0.21000,-0.21000,5.72050,,100.00000,-598.96140,-598.96140,-547.18100,-547.18100,0.02260,-22.92110,-22.92110,-12.34230,-22.92110,0.69670,-0.37180,-0.37200
2019-11-30,0.67400,,0.67400,2.02200,1.08100,,-2.42900,-0.11400,-2.54300,,-2.54300,-2.54300,-2.54300,-2.42900,-2.42900,17.47200,17.47200,-0.15000,-0.15000,6.62400,,100.00000,-360.38580,-360.38580,-377.29970,-377.29970,0.02160,-14.81940,-14.81940,-8.16580,-14.81940,0.98620,-0.1715,-0.1716
2019-08-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,0.554,0.5548
2019-05-31,0.68200,,0.68200,3.86100,0.89900,,-4.07800,0.00600,-4.07200,,-4.07200,-4.07200,-4.07200,-4.07800,-4.07800,17.45700,17.45700,-0.23000,-0.23000,5.09740,,100.00000,-597.94730,-597.94730,-597.06740,-597.06740,0.01820,-18.88950,-18.88950,-10.87840,-18.88950,1.24010,-0.2094,-0.2097
2019-02-28,0.66600,0.05500,0.61100,3.11400,1.06500,4.17900,-3.56800,0.16700,-3.40100,0.30000,-3.70100,-3.70100,-3.70100,-3.56400,-3.56800,17.45400,17.45400,-0.21000,-0.21000,5.79960,,91.74170,-535.73580,-535.73580,-510.66060,-555.70570,0.01590,-14.60080,-14.60080,-8.85190,-14.60080,1.45850,-0.34460,-0.34510
2018-11-30,0.67400,0.03500,0.63900,4.34700,0.93200,5.27900,-4.64000,0.33800,-4.30200,,-4.30200,-4.30200,-4.30200,-4.63700,-4.64000,17.44900,17.44900,-0.25000,-0.25000,7.12080,,94.80710,-688.42730,-688.42730,-638.27890,-638.27890,0.01550,-14.90750,-14.90750,-9.86860,-14.90750,1.66060,-0.2367,-0.2372
2018-08-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,0.6894,0.6896
2018-05-31,0.61700,-0.08600,0.70300,4.19400,1.04300,5.23700,-4.53400,0.18000,-4.35400,,-4.35400,-4.35400,-4.35400,-4.53300,-4.53400,14.51900,14.51900,-0.30000,-0.30000,4.18340,,113.93840,-734.84600,-734.84600,-705.67270,-705.67270,0.01780,-26.13920,-26.13920,-12.56240,-26.13920,1.15110,-0.2599,-0.2599
2018-02-28,0.60400,,0.60400,2.72400,0.99100,,-3.11100,0.19500,-2.91600,,-2.91600,-2.91600,-2.91600,-3.10800,-3.11100,14.44600,14.44600,-0.20000,-0.20000,4.47800,,100.00000,-515.06620,-515.06620,-482.78150,-482.78150,0.01580,-14.23830,-14.23830,-7.62270,-14.23830,1.42170,-0.42950,-0.42970
2017-11-30,0.61100,,0.61100,2.32700,1.01600,,-2.73200,0.20100,-2.53100,,-2.53100,-2.53100,-2.53100,-2.73000,-2.73200,14.23900,14.23900,-0.18000,-0.18000,3.73440,,100.00000,-447.13580,-447.13580,-414.23890,-414.23890,0.01470,-11.12970,-11.12970,-6.09230,-11.12970,1.58940,-0.1916,-0.1916
2017-08-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,0.2844,0.2848
2017-05-31,0.61700,,0.61700,2.26700,0.50500,,-2.15500,0.19000,-1.96500,,-1.96500,-1.96500,-1.96500,-2.15300,-2.15500,13.30100,13.30100,-0.15000,-0.15000,5.23190,,100.00000,-349.27060,-349.27060,-318.47650,-318.47650,0.01550,-9.91920,-9.91920,-4.93820,-9.91920,1.48730,-0.1769,-0.1772
2017-02-28,0.61100,,0.61100,3.12500,0.85100,,-3.36500,0.18200,-3.18300,,-3.18300,-3.18300,-3.18300,-3.36300,-3.36500,13.27980,13.27980,-0.24000,-0.24000,6.03690,,100.00000,-550.73650,-550.73650,-520.94930,-520.94930,0.01460,-14.92820,-14.92820,-7.60830,-14.92820,1.60410,-0.10750,-0.10760
2016-11-30,0.61000,0.18700,0.42300,2.35300,0.46800,2.82100,-2.39800,0.16200,-2.23600,0.40000,-2.63600,-2.63600,-2.63600,-2.39600,-2.39800,13.20600,13.20600,-0.20000,-0.20000,6.44170,,69.34430,-393.11470,-393.11470,-366.55740,-432.13110,0.01360,-10.98980,-10.98970,-5.86720,-10.98980,1.80780,0.1134,0.1134
2016-08-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,0.1637,0.1644
2016-05-31,0.16300,0.00800,0.15500,1.71000,0.55500,2.26500,-2.11000,0.11400,-1.99600,,-1.99600,-1.99600,-1.99600,-2.10900,-2.11000,13.11900,13.11900,-0.15000,-0.15000,18.79070,,95.09200,-1294.47800,-1294.47800,-1224.54000,-1224.54000,0.00450,-6.44220,-6.44220,-5.49790,-6.44220,2.35970,-0.1698,-0.1703
2016-02-29,0.12500,0.00400,0.12100,1.30300,0.73000,2.03300,-1.91200,0.09400,-1.81800,,-1.81800,-1.81800,-1.81800,-1.91000,-1.91200,12.65300,12.65300,-0.14000,-0.14000,17.13960,,96.80000,-1529.60000,-1529.60000,-1454.40000,-1454.40000,0.00330,-5.55880,-5.55880,-4.73780,-5.55880,2.49470,0.00610,0.00590
2015-11-30,,,,1.90100,0.54800,,-2.44900,0.05900,-2.39000,,-2.39000,-2.39000,-2.39000,-2.44600,-2.44900,11.57300,11.57300,-0.21000,-0.21000,11.64720,,,,,,,,-10.60290,-10.60290,-10.00710,-10.60290,1.94270,-0.1942,-0.1943
2015-08-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,0.3617,0.3619
2015-05-31,,,,0.91500,0.71900,,-1.63400,0.05100,-1.58300,,-1.58300,-1.58300,-1.58300,-1.63300,-1.63400,10.82800,10.82800,-0.15000,-0.15000,22.61830,,,,,,,,-7.42250,-7.42250,-7.15350,-7.42250,1.96800,-0.0843,-0.0843
2015-02-28,,,,1.13600,0.53800,,-1.67400,0.03700,-1.63700,,-1.63700,-1.63700,-1.63700,-1.67100,-1.67400,10.82600,10.82600,-0.15000,-0.15000,30.23970,,,,,,,,-7.32800,-7.32800,-7.12360,-7.32800,2.06460,-0.27740,-0.27760
2014-11-30,,,,1.30200,0.60000,,-1.90200,0.00600,-1.89600,,-1.89600,-1.89600,-1.89600,-1.90100,-1.90200,10.14200,10.14200,-0.19000,-0.19000,29.66510,,,,,,,,-8.00100,-8.00100,-7.71990,-8.00100,2.19170,-0.1379,-0.1381
2014-08-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,0.3303,0.3315
2014-05-31,,,,1.08900,0.81400,,-1.90300,0.07500,-1.82800,,-1.82800,-1.82800,-1.82800,-1.90000,-1.90300,9.88800,9.88800,-0.18000,-0.18000,32.25900,,,,,,,,-8.32000,-8.32000,-8.12510,-8.32000,2.20680,-0.086,-0.0862
2014-02-28,,,,0.67400,0.51200,,-1.18600,0.07100,-1.11500,,-1.11500,-1.11500,-1.11500,-1.18500,-1.18600,9.12800,9.12800,-0.12000,-0.12000,67.71190,,,,,,,,-4.77970,-4.77970,-4.70270,-4.77970,2.38620,-0.24430,-0.24530
2013-11-30,,,,0.75000,0.41800,,-1.16800,0.04400,-1.12400,,-1.12400,-1.12400,-1.12400,-1.16600,-1.16800,7.94100,7.94100,-0.14000,-0.14000,11.94630,,,,,,,,-15.38630,-15.38630,-14.04010,-15.38630,0.91910,-0.0942,-0.0948
2013-08-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,0.4313,0.4319
2013-05-31,,,,0.83560,0.49900,,-1.33470,0.07830,-1.25630,,-1.25630,-1.25630,-1.25630,-1.33300,-1.33470,7.22300,7.22300,-0.17000,-0.17000,10.81510,,,,,,,,-30.20610,-30.20610,-25.92370,-30.20610,0.57560,-0.1449,-0.1455
2013-02-28,,,,0.74900,0.51080,,-1.25980,0.03400,-1.22590,,-1.22590,-1.22590,-1.22590,-1.25780,-1.25980,7.21300,7.21300,-0.17000,-0.17000,12.65330,,,,,,,,-23.35880,-23.35880,-20.57770,-23.35880,0.72660,-0.28640,-0.28640
2012-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,0.1161,0.1161
2012-11-30,,,,0.39260,0.33920,,-0.73180,-0.22690,-0.95880,,-0.95880,-0.95880,-0.95880,-0.72010,-0.73180,6.82700,6.82700,-0.14000,-0.14000,20.34920,,,,,,,,-15.34040,-15.34040,-14.04790,-15.34040,0.07220,-0.1161,-0.1161
2012-08-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,0.3343,0.3347
2012-05-31,,,,0.24980,0.29070,,-0.54040,-0.00990,-0.55040,,-0.55040,-0.55040,-0.55040,-0.53470,-0.54040,5.86000,5.86000,-0.09000,-0.09000,6.90860,,,,,,,,-27.91490,-27.91490,-22.24350,-27.91490,0.02800,-0.1504,-0.1504
2012-02-29,,,,0.71060,0.22970,,-0.94040,-0.04500,-0.98540,,-0.98540,-0.98540,-0.98540,-0.92860,-0.94040,5.84900,5.84900,-0.17000,-0.17000,5.33920,,,,,,,,-41.08480,-41.08480,-31.35550,-41.08480,0.03420,-0.18390,-0.18430
2011-11-30,,,,0.18400,0.28190,,-0.46590,-0.01260,-0.47850,,-0.47850,-0.47850,-0.47850,-0.45080,-0.46590,70.10500,70.10500,-0.01000,-0.01000,9.10870,,,,,,,,-14.42460,-14.42460,-12.26160,-14.42460,0.04730,-0.0069,-0.0069
2011-09-30,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,0,0
2011-08-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,0,0
2011-06-30,,,,,0.35000,,-0.35000,1.05000,0.70000,0.00000,0.70000,0.45000,0.45000,-0.34230,-0.35000,,,,0.00000,,,,,,,,,,,,,,0.0177,0.0177
2011-05-31,,,,0.24140,0.35010,,-0.59150,1.04880,0.45740,,0.45740,0.45740,0.45740,-0.58380,-0.59150,69.05000,72.41000,0.01000,0.01000,,,,,,,,,,,,,,-0.0177,-0.0177
2011-03-31,,,,,0.30000,,-0.30000,0.00790,-0.29210,0.00000,-0.29210,-0.64000,-0.64000,-0.28490,-0.30000,,,,0.00000,,,,,,,,,,,,,,0.00000,
2011-02-28,,,,0.34130,0.30590,,-0.64720,0.00440,-0.64280,,-0.64280,-0.64280,-0.64280,-0.63210,-0.64720,62.80500,62.80500,-0.01000,-0.01000,,,,,,,,,,,,,,-0.01110,-0.01110
2010-12-31,,,,0.28000,0.31000,,-0.59000,-0.00120,-0.60000,0.00000,-0.60000,-0.60000,-0.60000,-0.59000,-0.59000,,,,0.00000,,,,,,,,,,,,,,0.0086,0.0086
2010-11-30,,,,0.28650,0.31510,,-0.60160,-0.00120,-0.60280,,-0.60280,-0.60280,-0.60280,-0.59420,-0.60160,57.93300,57.93300,-0.01000,-0.01000,,,,,,,,,,,,,,-0.0086,-0.0086
