Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,,,,1.49900,3.24800,,-4.74700,-0.03900,-4.78600,-4.78600,-4.78600,,-4.78600,-4.74500,-4.74700,126.62400,126.62400,-0.04000,-0.04000,58.93540,,,,,,,,,,-3.55640,-3.54110,-3.48130,-3.54110,1.06740,-0.03850,-0.03860
2021-12-31,,,,1.82600,3.00200,,-4.82800,-0.00400,-4.83200,-4.83200,-4.83200,,-4.83200,-4.82600,-4.82800,116.95000,116.95000,-0.04000,-0.04000,45.18240,,,,,,,,,,-3.51280,-3.49800,-3.42060,-3.49800,1.09090,-0.0396,-0.0396
2021-09-30,,,,2.20600,2.95200,,-5.15800,-0.03900,-5.19700,-5.19700,-5.19700,,-5.19700,-5.15200,-5.15800,126.53800,126.53800,-0.04000,-0.04000,85.32350,,,,,,,,,,-3.69200,-3.67670,-3.63370,-3.67670,1.11630,-0.021,-0.0211
2021-06-30,,,,3.79900,3.20500,,-7.00400,-0.03500,-7.03900,-7.03900,-7.03900,,-7.03900,-6.99800,-7.00400,121.57200,121.57200,-0.06000,-0.06000,81.19300,,,,,,,,,,-4.90570,-4.88590,-4.82560,-4.88580,1.14410,-0.0326,-0.0326
2021-03-31,,,,1.37900,2.15200,,-3.53100,-0.00700,-3.53800,-3.53800,-3.53800,,-3.53800,-3.52200,-3.53100,92.58700,92.58700,-0.04000,-0.04000,102.25980,,,,,,,,,,-2.54380,-2.53270,-2.50780,-2.53250,1.15620,-0.04760,-0.04760
2020-12-31,,,,2.35710,1.86830,,-4.22540,-3.25800,-7.48340,-7.48340,-7.48340,,-11.98640,-4.21560,-4.22540,11.30900,11.30900,-0.88000,-0.88000,2.72920,,,,,,,,,,-28.18910,-27.55800,-17.46860,-27.54480,0.57140,-0.2223,-0.2222
2020-09-30,,,,1.65910,1.84970,,-3.50880,0.01770,-3.49110,-3.49110,-3.49110,,-3.49110,-3.49630,-3.50880,10.16200,10.16200,-0.34000,-0.34000,7.23050,,,,,,,,,,-37.74920,-35.53010,-30.52260,-35.36670,0.94330,-0.2066,-0.2068
2020-06-30,,,,1.65320,2.28260,,-3.93580,0.02970,-3.90610,-3.90610,-3.90610,,-3.90610,-3.92340,-3.93580,9.18800,9.18800,-0.43000,-0.43000,5.50820,,,,,,,,,,-50.41290,-46.94220,-38.27410,-46.64440,0.90010,-0.2405,-0.2412
2020-03-31,,,,0.93860,1.99840,,-2.93700,-0.01040,-2.94740,-2.94740,-2.94740,,-2.94740,-2.92470,-2.93700,9.13100,9.13100,-0.32000,-0.32000,12.84990,,,,,,,,,,-28.82470,-27.20150,-24.95210,-27.04960,1.19330,-0.35370,-0.35370
2019-12-31,,,,0.89800,1.71880,,-2.61680,-0.00120,-2.61800,-2.61800,-2.61800,,-2.61800,-2.60430,-2.61680,8.49700,8.49700,-0.25000,-0.25000,10.82540,,,,,,,,,,-20.96940,-20.00410,-18.06800,-19.89990,1.44080,-0.3711,-0.3712
2019-09-30,,,,1.68420,1.61400,,-3.29820,0.01230,-3.28590,-3.28590,-3.28590,,-3.28590,-3.28550,-3.29820,9.13000,9.13000,-0.36000,-0.36000,10.48430,,,,,,,,,,-22.90280,-21.99120,-19.79880,-21.87960,1.64470,-0.1936,-0.1935
2019-06-30,,,,2.61190,4.67410,,-7.28610,0.02350,-7.26250,-7.26250,-7.26250,,-7.26250,-7.27250,-7.28610,9.12600,9.12600,-0.80000,-0.80000,17.80370,,,,,,,,,,-43.03350,-41.57500,-39.02630,-41.37610,1.92250,-0.1823,-0.1832
2019-03-31,,,,1.45120,2.61310,,-4.06430,-0.00900,-4.07330,-4.07330,-4.07330,,-4.07330,-4.05030,-4.06430,6.56500,6.56500,-0.62000,-0.62000,13.93530,,,,,,,,,,-21.67320,-20.99150,-19.37390,-20.89280,2.13730,-0.32730,-0.32730
2018-12-31,,,,0.84940,1.25770,,-2.10720,0.02910,-2.07810,-2.07810,-2.07810,,-2.07810,-2.09170,-2.10720,4.15800,4.15800,8.70000,8.70000,3.96150,,,,,,,,,,-32.33900,-23.87090,-17.73060,-23.60140,1.50590,-0.8977,-0.9138
2018-09-30,,,,1.42190,1.88810,,-3.31000,0.00010,-3.30990,-3.30990,-3.30990,,-3.30990,-3.29910,-3.31000,5.18300,5.18300,-0.64000,-0.64000,3.91620,,,,,,,,,,-46.93440,-31.48060,-23.43370,-31.31640,1.91370,0.1151,0.1214
2018-06-30,,,,1.46770,2.67490,,-4.14270,0.00010,-4.14260,-4.14260,-4.14260,,-15.62190,-4.13270,-4.14270,3.07400,3.07400,-5.08000,-5.08000,5.44930,,,,,,,,,,-53.35100,-30.67010,-24.98860,-30.53480,2.78350,9.4279,9.6422
2018-03-31,,,,0.47100,1.40350,,-1.87440,0.00010,-1.87440,-1.87440,-1.87440,,-1.87440,-1.86660,-1.87440,0.22100,0.22100,-8.48000,-8.48000,7.95800,,,,,,,,,,-35.63740,-36.12190,-31.34260,-35.63740,1.98400,-10.80060,-11.03170
2017-12-31,,,,0.21720,1.31440,,-1.99340,0.00040,-1.99300,-1.99300,-1.99300,,-1.99300,-1.96650,-1.99340,0.97500,0.97500,4.26000,4.26000,6.44520,,,,,,,,,,-28.72340,-29.04020,-24.41210,-28.72340,2.61640,-2.0132,-2.0132
2017-09-30,,,,0.74250,1.31350,,-2.05590,-0.12860,-2.18450,-2.18450,-2.18450,,-2.18450,-2.02700,-2.05590,1.03400,1.03400,-2.11000,-2.11000,2.75240,,,,,,,,,,-85.23920,-109.14670,-60.10280,-85.23930,2.19400,0.402,0.402
2017-06-30,,,,0.82410,1.07220,,-1.89630,-0.34520,-2.24150,-2.24150,-2.24150,,-4.80960,-1.86320,-1.89630,0.62300,0.62300,-7.72000,-7.72000,2.08640,,,,,,,,,,-79.95020,-101.06270,-47.59630,-79.95030,3.35490,0.7373,0.7373
2017-03-31,,,,0.54430,1.15930,,-1.70360,0.00000,-1.70360,-1.70360,-1.70360,,-1.70360,-1.66350,-1.70360,0.31600,0.31600,-5.40000,-5.40000,1.95780,,,,,,,,,,-111.45940,-185.49310,-73.96520,-111.45960,4.84500,-5.88910,-5.88910
2016-12-31,,,,0.36650,1.27480,,-2.36020,-0.16340,-2.52370,-2.52370,-2.52370,,-2.52370,-2.28410,-2.36020,0.24550,0.24550,-6.96280,-6.96280,3.10770,,,,,,,,,,-81.48420,-102.72670,-60.89350,-81.48420,9.81780,-5.9407,-5.9583
2016-09-30,,,,0.08500,1.47340,,-1.55840,1.76310,0.20470,0.20470,0.20470,,0.20470,-1.48360,-1.55840,0.25190,0.25190,0.84030,0.84030,5.28370,,,,,,,,,,3.78040,5.10120,3.26030,3.78040,17.15940,5.6354,5.6384
2016-06-30,,,,0.16900,1.55340,,-1.72240,,-1.72240,-1.72240,-1.72240,,-1.72240,-1.64550,-1.72240,0.21560,0.21560,-8.04320,-8.04320,1.66420,,,,,,,,,,-71.45770,-178.79210,-52.43780,-71.45770,10.96340,-6.4955,-6.4931
2016-03-31,,,,0.15000,2.17760,,-2.32750,,-2.32750,-2.32750,-2.32750,,-2.32750,-2.25180,-2.32750,0.19840,0.19840,-11.76470,-11.76470,2.55160,,,,,,,,,,-61.68630,-102.03740,-45.63790,-61.68630,17.49240,-15.09300,-15.11830
2015-12-31,,,,0.47140,1.87070,,-2.47450,-0.11620,-2.58890,-2.58890,-2.58890,-2.37270,-4.96160,-2.37010,-2.47270,0.15790,0.15790,-28.47300,-28.47300,1.71690,,,,,,,,,,-69.19000,-126.83430,-41.46680,-69.18990,20.63330,-23.3634,-23.8574
2015-09-30,,,,0.94900,2.89370,,-3.84270,0.06940,-3.77330,-3.77330,-3.77330,-0.54480,-4.31810,-3.72970,-3.84270,0.15380,0.15380,-28.09120,-28.09120,2.89800,,,,,,,,,,-41.65220,-51.75810,-30.53480,-41.65220,53.55300,-22.6496,-23.3626
2015-06-30,,,,0.37350,2.79710,,-3.17050,0.04870,-3.12190,-3.12190,-3.12190,-0.02340,-3.14530,-3.17950,-3.17050,0.15380,0.15380,-19.79800,-19.79800,4.02950,0.00550,,,,,,,,,-23.78580,-27.62080,-18.85060,-23.78580,81.32830,-20.7209,-20.139
2015-03-31,,,,0.56580,2.70690,,-3.27270,-0.00140,-3.27410,-3.27410,-3.27410,-0.06120,-3.33530,-3.20840,-3.27270,0.13840,0.13840,-23.39770,-23.39770,3.26020,0.00780,,,,,,,,,-31.83720,-38.94900,-23.72030,-31.83720,68.00560,-21.66010,-21.86320
2014-12-31,0.00270,,0.00270,-0.74610,1.72450,,-3.32830,0.00240,-3.32590,-3.32590,-3.32590,,-5.81300,-3.22900,-3.32830,0.13360,0.13360,-44.99550,-44.99550,4.12660,,100.00000,-122680.30000,-122680.30000,-122590.10000,-214265.70000,0.00020,,,-35.01600,-43.69720,-28.27160,-35.01600,69.59340,-21.5505,-19.6085
2014-09-30,0.00340,,0.00340,0.92320,2.32550,,-3.24530,-0.00010,-3.24540,-3.24540,-3.24540,,-3.24540,-3.11720,-3.24530,0.13630,0.13630,-23.39770,-23.39770,7.60970,,100.00000,-94724.31000,-94724.31000,-94728.40000,-94728.40000,0.00020,0.11750,765.78810,-21.30560,-29.86390,-19.34980,-21.30560,111.61030,-21.6864,-22.2866
2014-06-30,0.00990,,0.00990,0.51080,2.68560,,-3.18650,-0.00140,-3.18800,-3.18800,-3.18800,,-3.18800,-3.05870,-3.18650,0.13570,0.13570,-23.39770,-23.39770,9.38530,,100.00000,-32268.69000,-32268.69000,-32283.30000,-32283.30000,0.00050,0.20510,438.88100,-17.46300,-23.09890,-16.08540,-17.46300,134.41670,-16.5998,-16.7298
2014-03-31,0.02410,,0.02410,0.42250,2.01250,,-2.41090,-0.00060,-2.41150,-2.41150,-2.41150,,-2.41150,-2.28580,-2.41090,0.13570,0.13570,-17.99820,-17.99820,16.35800,,100.00000,-9993.88700,-9993.88700,-9996.39700,-9996.39700,0.00110,0.26390,341.04790,-11.32120,-14.34640,-10.77390,-11.32120,156.93670,-19.19290,-19.21480
2013-12-31,0.04720,0.18090,-0.13370,0.37390,2.25040,2.62430,-2.75800,0.00020,-2.75770,-2.75770,-2.75770,,-2.75770,-2.63560,-2.75800,0.08600,0.08600,-30.59690,-30.59690,4.82450,0.00090,-283.16340,-5841.53600,-5841.53700,-5841.02500,-5841.02500,0.00390,0.33950,265.10650,-26.01220,-44.43630,-22.96370,-26.01220,102.73000,-32.3501,-30.6359
2013-09-30,0.07660,0.02590,0.05070,0.32110,3.23140,3.55260,-3.50190,0.00010,-3.50180,-3.50180,-3.50180,,-3.50180,-3.37800,-3.50190,0.08800,0.08800,-39.59610,-39.59610,4.42550,,66.13710,-4571.84600,-4571.84600,-4571.77800,-4571.77800,0.00570,0.25590,351.71640,-30.34540,-49.09430,-25.97380,-30.34540,119.05900,-28.4301,-31.8934
2013-06-30,0.32610,0.22220,0.10390,0.19000,2.49730,2.68720,-2.58330,-0.00040,-2.58370,-2.58370,-2.58370,,-2.58370,-2.45560,-2.58330,0.08230,0.08230,-30.59700,-30.59700,3.01840,,31.86910,-792.24830,-792.24830,-792.35610,-792.35610,0.03240,0.62660,143.64100,-31.20100,-67.57930,-25.69570,-31.20100,97.17050,-23.9575,-24.9357
2013-03-31,0.18270,0.06650,0.11620,0.22020,1.83740,2.05760,-1.94140,0.00000,-1.94140,-1.94140,-1.94140,,-1.94140,-1.84250,-1.94140,0.07460,0.07460,-25.19750,-25.19750,2.15140,,63.61530,-1062.80900,-1062.80900,-1062.81300,-1062.81300,0.02050,0.70440,127.77420,-27.83200,-80.34970,-21.78500,-27.83200,86.53680,-17.90050,-18.01450
2012-12-31,0.09850,0.00580,0.09270,0.46480,1.33320,1.79800,-1.70540,-0.00020,-1.70560,-1.70560,-1.70560,,-1.70560,-1.60040,-1.70540,0.06920,0.06920,-21.59780,-21.59780,1.20530,,94.14970,-1732.12200,-1732.12200,-1732.35000,-1732.35000,0.01440,0.69500,129.49880,-32.95510,-318.61930,-24.98640,-32.95510,72.10340,-24.9065,-26.8516
2012-09-30,0.10560,0.01510,0.09050,0.54810,0.67810,1.22610,-1.13570,-0.00770,-1.14340,-1.14340,-1.14340,,-1.14340,-1.12710,-1.13570,0.06250,0.06250,-17.99820,-17.99820,0.38650,0.09710,85.71930,-1075.69100,-1075.69100,-1082.99400,-1082.99400,0.01850,0.60190,149.52940,-33.61330,87.85100,-20.08590,-33.61330,50.51760,-2.4139,-2.4139
2012-06-30,0.22310,0.01780,0.20530,0.54310,0.82800,1.37110,-1.16580,-0.00210,-1.16790,-1.16790,-1.16790,,-1.16790,-1.15730,-1.16580,0.06250,0.06250,-17.99820,-17.99820,,,92.02680,-522.55830,-522.55830,-523.51580,-523.51580,,,,,,,,,-12.9744,-12.9744
2012-03-31,0.05470,0.02700,0.02770,0.41800,0.67190,1.08990,-1.06220,-0.00070,-1.06290,-1.06290,-1.06290,,-1.06290,-1.05360,-1.06220,0.06250,0.06250,-16.19840,-16.19840,,,50.64430,-1941.34500,-1941.34500,-1942.71500,-1942.71500,,,,,,,,,-16.07100,-16.07100
2011-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,39.232,40.5954
2011-09-30,,,,,1.27420,,-1.27420,0.00150,-1.27270,-1.27270,-1.27270,,-1.27270,-1.27420,-1.27420,0.06250,0.06250,-19.79800,-19.79800,,,,,,,,,,,,,,,,-39.232,-40.5954
