Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2021-12-31,0.47370,0.39730,-0.06560,-0.97060,-0.04490,-1.01550,-1.01550,-1.01550,,-1.01550,-0.97060,-0.97060,194.90800,194.90800,,0.00000,13.66200,-1.61900,-1.61900,-1.60410,-1.61900,0.32180,-0.0077,-0.0077
2021-09-30,1.37880,0.43260,-0.06190,-1.90700,0.25810,-1.64890,-1.64890,-1.64890,,-1.64890,-1.90700,-1.90700,194.90800,194.90800,-0.01000,-0.01000,8.43630,-2.58880,-2.58880,-2.54420,-2.58880,0.32680,-0.0057,-0.0057
2021-06-30,1.12530,0.78110,-0.09360,-2.03400,-0.14400,-2.17800,-2.17800,-2.17800,,-2.17800,-2.03370,-2.03400,194.90800,194.90800,-0.01000,-0.01000,15.98580,-3.32190,-3.32190,-3.28780,-3.32190,0.33640,-0.0079,-0.0079
2021-03-31,0.53980,0.37700,-0.05310,-1.00380,-0.13400,-1.13790,-1.13790,-1.13790,,-1.13790,-1.00380,-1.00380,194.90820,194.90820,-0.01000,-0.01000,28.80450,-1.69510,-1.69510,-1.68450,-1.69510,0.34440,-0.00610,-0.00610
2020-12-31,1.53090,0.34680,-0.05800,-1.97590,-0.03000,-1.99560,-1.99560,-1.99560,,-1.99560,-1.96960,-1.97590,189.87040,189.87040,,0.00000,26.79840,-2.93030,-2.93030,-2.90920,-2.93030,0.34940,-0.0113,-0.0113
2020-09-30,0.71850,0.38530,-0.04900,-1.18730,0.08550,-1.10180,-1.10180,-1.10180,,-1.10180,-1.18680,-1.18730,189.49800,189.49800,-0.01000,-0.01000,17.32040,-1.60810,-1.60810,-1.58950,-1.60810,0.36530,-0.0032,-0.0032
2020-06-30,,0.63660,-0.06720,-0.73820,-0.73790,-1.48650,-1.48650,-1.48650,,-1.48650,-0.73780,-0.73820,187.57370,187.57370,-0.01000,-0.01000,23.11500,-2.44340,-2.44340,-2.43360,-2.44340,0.32430,-0.0064,-0.0064
2020-03-31,0.11540,0.31800,-0.04560,-0.51340,0.57850,0.06510,0.06510,0.06510,,0.06510,-0.51300,-0.51340,187.57400,187.57400,0.00000,0.00000,27.56540,0.10540,0.10540,0.10500,0.10540,0.32920,0.00040,0.00040
2019-12-31,0.34700,0.28800,-0.03840,-0.70790,-0.05220,-0.76000,-0.76000,-0.76000,,-0.76000,-0.70730,-0.70790,187.36000,187.36000,,0.00000,21.37310,-1.22130,-1.22130,-1.21480,-1.22130,0.33180,-0.0039,-0.004
2019-09-30,0.17970,0.74190,-0.03680,-0.99290,0.13450,-0.85840,-0.85840,-0.85840,,-0.85840,-0.99230,-0.99290,187.57400,187.57400,-0.01000,-0.01000,27.61590,-1.36590,-1.36590,-1.35980,-1.36590,0.33500,-0.0032,-0.0035
2019-06-30,0.91190,0.29800,-0.05560,-1.30010,-0.08690,-1.38710,-1.38710,-1.38710,,-1.38710,-1.29950,-1.30010,187.23900,187.23900,-0.01000,-0.01000,19.20710,-2.18780,-2.18780,-2.17250,-2.18780,0.33910,-0.0073,-0.0075
2019-03-31,0.25060,0.31770,-0.04680,-0.64960,-0.17130,-0.82090,-0.82090,-0.82090,,-0.82090,-0.64900,-0.64960,187.04530,187.04530,0.00000,0.00000,28.25590,-1.27020,-1.27020,-1.26350,-1.27020,0.34540,-0.00510,-0.00510
2018-12-31,0.27120,1.12320,-0.04140,-1.47040,0.56860,-0.90180,-0.90180,-0.90180,,-0.90180,-1.46960,-1.47040,181.98400,181.98400,0.00700,0.00700,19.03980,-1.38360,-1.38360,-1.37200,-1.38360,0.34860,-0.0025,-0.0025
2018-09-30,0.39470,0.59780,-0.04040,-1.06770,-0.20190,-1.26960,-1.26960,-1.26960,,-1.26960,-1.06690,-1.06770,186.81670,186.81670,-0.01000,-0.01000,27.12340,-1.91990,-1.91990,-1.90790,-1.91990,0.35400,-0.0065,-0.0069
2018-06-30,0.70610,0.46890,-0.06750,-1.27720,0.32180,-0.95540,-0.95540,-0.95540,,-0.95540,-1.27640,-1.27720,186.69830,186.69830,-0.01000,-0.01000,32.09530,-1.42280,-1.42280,-1.41470,-1.42280,0.35950,-0.0039,-0.0039
2018-03-31,0.20420,0.71980,-0.09420,-1.05290,-0.01230,-1.06520,-1.06520,-1.06520,,-1.06520,-1.05220,-1.05290,167.19900,167.19900,-0.01000,-0.01000,47.30940,-1.56040,-1.56040,-1.55400,-1.56040,0.36600,-0.00630,-0.00630
2017-12-31,0.19950,1.07640,-0.08770,-1.39860,0.01770,-1.38090,-1.38090,-1.38090,,-1.38090,-1.39760,-1.39860,162.28300,162.28300,-0.01000,-0.01000,5.64830,-2.41340,-2.41340,-2.39550,-2.41340,0.35230,-0.0048,-0.0048
2017-09-30,0.86790,0.62510,-0.08820,-1.61720,-0.12830,-1.74550,-1.74550,-1.74550,,-1.74550,-1.61620,-1.61720,162.36400,162.36400,-0.01000,-0.01000,5.61730,-2.99730,-2.99730,-2.96420,-2.99730,0.35860,-0.0097,-0.0097
2017-06-30,0.66840,0.76520,-0.10890,-1.57900,-0.04870,-1.62760,-1.62760,-1.62760,,-1.62760,-1.57800,-1.57900,162.18700,162.18700,-0.01000,-0.01000,18.22980,-2.72040,-2.72040,-2.70830,-2.72040,0.36890,-0.0129,-0.0129
2017-03-31,0.71110,0.67620,-0.09900,-1.52270,-0.15530,-1.67800,-1.67800,-1.67800,,-1.67800,-1.52170,-1.52270,162.18700,162.18700,-0.01000,-0.01000,9.07810,-2.73850,-2.73850,-2.70540,-2.73850,0.37780,-0.00850,-0.00850
2016-12-31,0.14430,0.73560,-0.08600,-1.00260,-0.10710,-1.10970,-1.10970,-1.10970,,-1.10970,-1.00130,-1.00260,116.70820,116.70820,-0.01000,-0.01000,1.50310,-1.76660,-1.76660,-1.42450,-1.76660,0.38730,-0.0112,-0.0112
2016-09-30,0.52810,0.76750,-0.10090,-1.43320,-0.09140,-1.52460,-1.52460,-1.52460,,-1.52460,-1.43190,-1.43320,116.34900,116.34900,-0.01000,-0.01000,0.12890,-3.64180,-3.64180,-2.66500,-3.64180,0.35980,-0.0098,-0.0098
2016-06-30,1.17970,0.68780,-0.10340,-2.00760,-0.06120,-2.06890,-2.06890,-2.06890,,-2.06890,-2.00630,-2.00760,116.31400,116.31400,-0.02000,-0.02000,0.21500,-4.77460,-4.77460,-3.53700,-4.77460,0.37250,-0.0188,-0.0188
2016-03-31,0.79650,0.75010,-0.08720,-1.67040,-0.81700,-2.48750,-2.48750,-2.48750,,-2.48750,-1.66910,-1.67040,116.31360,116.31360,-0.02000,-0.02000,0.34830,-5.48190,-5.48190,-4.11140,-5.48190,0.39010,-0.01470,-0.01470
2015-12-31,0.42480,0.75910,-0.08740,-1.30460,0.17510,-1.12000,-1.12000,-1.12000,,-1.12000,-1.30280,-1.30460,116.31360,116.31360,,0.00000,12.94480,-2.35770,-2.35770,-1.80870,-2.35770,0.40840,-0.0104,-0.0104
2015-09-30,0.72750,0.89120,-0.09200,-1.74920,0.74170,-1.00750,-1.00750,-1.00750,,-1.00750,-1.74750,-1.74920,116.31360,116.31360,-0.01000,-0.01000,12.11160,-2.07780,-2.07780,-1.59010,-2.07780,0.41690,-0.0087,-0.0087
2015-06-30,0.82820,0.83910,-0.13760,-1.85080,-0.19810,-2.04890,-2.04890,-2.04890,,-2.04890,-1.84900,-1.85080,116.31360,116.31360,-0.02000,-0.02000,17.59150,-4.09880,-4.09880,-3.14480,-4.09880,0.42980,-0.0169,-0.0169
2015-03-31,0.40130,1.00680,-0.09480,-1.54560,0.91860,-0.63650,-0.63650,-0.63650,,-0.63650,-1.54380,-1.54560,116.31360,116.31360,-0.01000,-0.01000,25.12300,-1.22990,-1.22990,-0.95410,-1.22990,0.44490,-0.00990,-0.00990
2014-12-31,0.67410,1.37950,-0.09590,-2.21300,0.55860,-1.65450,-1.65450,-1.65450,,-1.65450,-2.20910,-2.21300,99.06840,99.06840,-0.02000,-0.02000,11.97690,-3.11250,-3.11250,-2.39760,-3.11250,0.45700,-0.0128,-0.0128
2014-09-30,0.55770,1.04670,-0.10630,-1.77110,0.60020,-1.17090,-1.17090,-1.17090,,-1.17090,-1.76720,-1.77110,98.06900,98.06900,-0.01000,-0.01000,12.43380,-2.45660,-2.45660,-1.84630,-2.45660,0.48600,-0.0104,-0.0104
2014-06-30,0.78500,1.07250,-0.15660,-2.07790,0.64640,-1.43140,-1.43140,-1.43140,,-1.43140,-2.07390,-2.07790,98.06900,98.06900,-0.01000,-0.01000,21.31700,-2.92170,-2.92170,-2.20400,-2.92170,0.49960,-0.0249,-0.0249
2014-03-31,0.61520,1.48020,-0.16240,-2.31120,-1.19910,-3.51030,-3.51030,-3.51030,,-3.51030,-2.30730,-2.31120,98.06900,98.06900,-0.04000,-0.04000,14.86510,-7.04470,-7.04470,-5.24620,-7.04470,0.50810,-0.02100,-0.02130
2013-12-31,1.32080,1.73390,-0.12540,-3.24080,2.21840,-1.02240,-1.02240,-1.02240,,-1.02240,-3.23540,-3.24080,98.06860,98.06860,-0.01000,-0.01000,9.50190,-1.92280,-1.92280,-1.47180,-1.92280,0.54220,-0.0217,-0.0217
2013-09-30,1.62110,2.03350,-0.14610,-3.86000,-0.26470,-4.12480,-4.12480,-4.12480,,-4.12480,-3.85460,-3.86000,98.06900,98.06900,-0.04000,-0.04000,15.23160,-7.53040,-7.53040,-5.68030,-7.53040,0.55850,-0.0371,-0.0371
2013-06-30,2.45270,2.40760,-0.15570,-5.07860,4.43650,-0.64210,-0.64210,-0.64210,,-0.64210,-5.07310,-5.07860,98.06900,98.06900,-0.01000,-0.01000,11.95590,-1.11530,-1.11530,-0.84480,-1.11530,0.58700,-0.0419,-0.0419
2013-03-31,2.79440,2.92030,-0.21520,-5.99530,1.93210,-4.06330,-4.06330,-4.06330,,-4.06330,-5.98990,-5.99530,98.06900,98.06900,-0.04000,-0.04000,10.74330,-7.06660,-7.06660,-5.03040,-7.06660,0.58630,-0.05040,-0.05040
2012-12-31,36.25000,4.60000,-0.17090,-40.85630,3.19000,-7.27000,-7.27000,-7.25800,0.00000,-7.25800,-40.85000,-40.85630,103.69100,103.69100,-0.07000,-0.07000,8.38590,-11.98880,-11.98880,-8.37260,-11.98880,0.61730,-0.0752,-0.0727
2012-09-30,13.44710,6.57330,-0.32560,-20.41200,-4.62180,-25.03380,-25.03380,-25.03380,,-25.03380,-20.40410,-20.41200,92.91900,92.91900,-0.27000,-0.27000,,-9.28450,76.41570,,,,-0.1587,-0.1584
2012-06-30,11.83310,3.42370,-0.16360,-15.48650,2.57720,-12.90930,-12.90930,-12.90930,,-12.90930,-15.47860,-15.48650,86.68400,86.68400,-0.15000,-0.15000,,-5.41110,44.49960,,,,-0.1126,-0.1127
2012-03-31,5.12190,3.85000,-0.20350,-9.24810,-2.19390,-11.44200,-11.44200,-11.44200,,-11.44200,-9.24020,-9.24810,86.68400,86.68400,-0.13000,-0.13000,10.72800,-6.49150,-6.49190,-5.63260,-6.49190,,-0.15880,-0.18190
2011-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,0.0325,0.2125
2011-09-30,0.00000,9.08000,,-9.09000,0.49000,-8.60000,-8.60000,-8.60900,0.00000,-8.60900,-9.12000,-9.09000,83.58300,83.58300,-0.10000,-0.10000,14.40500,-4.63600,-4.63600,-4.47130,-4.63620,,-0.0325,-0.2125
2011-06-30,,,,,,,,,,,,,,,,0.00000,,,,,,,0.0657,0.3669
2011-03-31,0.00000,1.47000,,-1.47800,0.11000,-1.36000,-1.36000,-1.36700,0.00000,-1.36700,-1.45800,-1.47800,85.41300,85.41300,-0.02000,-0.02000,42.47890,-0.73040,-0.73040,-0.71950,-0.73040,,-0.06570,-0.36690
2010-12-31,0.00000,2.37000,,-2.37690,0.27000,-2.10000,-2.10000,-2.10700,0.00000,-2.10700,-2.37270,-2.37690,71.74800,71.74800,-0.03000,-0.03000,45.05170,-1.16780,-1.16780,-1.15050,-1.16780,,-0.0315,-0.1918
2010-09-30,0.00000,3.78000,,-3.78580,-0.21000,-4.00000,-4.00000,-4.00700,-0.89800,-4.90500,-3.80000,-3.78580,66.98700,66.98700,-0.07000,-0.07000,8.66500,-4.96530,-4.96470,-4.72860,-4.96470,,0.069,0.308
2010-06-30,,,,,,,,-9.33600,0.00000,-9.33600,,,59.60300,59.60300,-0.15000,-0.15000,34.98320,-10.21110,-10.21000,-10.07880,-10.21110,,-0.0889,-0.4315
2010-05-31,,,,,,,,,,,,,,,,0.00000,,,,,,,0,0
