Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,27.34900,27.34900,5.31600,-3.38700,13.54700,13.54700,13.54700,5.70500,5.70500,14.79200,18.64600,31.01100,31.01100,0.18000,0.18000,0.12560,0.96950,100.00000,49.53380,68.17800,49.53380,20.86000,0.03180,,,1.32840,1.32840,0.66290,1.32840,13.83700,1.74820,1.74820
2021-12-31,25.86900,25.86900,4.95200,-3.22600,12.90700,12.90700,12.90700,13.85300,13.85300,14.62500,17.69100,30.93600,30.93600,0.44000,0.44000,0.12640,1.07600,100.00000,49.89370,68.38690,49.89370,53.55060,0.02790,,,3.18830,3.18830,1.49330,3.18830,14.01090,-2.2059,-2.2059
2021-09-30,21.22700,21.22700,4.76800,-2.47200,9.88700,9.88700,9.88700,38.86000,38.86000,13.19500,13.98700,30.95600,30.95600,1.26000,1.26000,0.07720,0.81680,100.00000,46.57750,65.89250,46.57750,183.06870,0.02670,,,9.00880,9.00880,4.88740,9.00880,13.92180,-2.7368,-2.7368
2021-06-30,20.32200,20.32200,4.43000,-2.35100,9.40300,9.40300,9.40300,11.98600,11.98600,13.01600,13.54100,30.91700,30.91700,0.39000,0.39000,0.13390,0.66280,100.00000,46.27010,66.63220,46.27010,58.98040,0.02960,,,2.97320,2.97320,1.74850,2.97320,13.02510,0.0923,0.0923
2021-03-31,19.97400,19.97400,4.48900,-2.22700,8.90700,8.90700,8.90700,11.85900,11.85900,13.04200,13.25800,30.88100,30.88100,0.38000,0.38000,0.34370,0.84920,100.00000,44.59300,66.37630,44.59300,59.37220,0.02650,,,2.95150,2.95150,1.57040,2.95150,12.99610,0.17370,0.17370
2020-12-31,23.42200,23.42200,5.25300,-2.78200,11.87600,11.87600,11.87600,4.75900,4.75900,15.94500,15.38700,30.56600,30.56600,0.17000,0.17000,0.17760,0.65210,100.00000,50.70450,65.69460,50.70450,20.31850,0.03430,,,1.18850,1.18850,0.69630,1.18850,12.97120,0.9705,0.9705
2020-09-30,23.12500,23.12500,4.36000,-3.05100,12.20500,12.20500,12.20500,14.44400,14.44400,14.98100,15.71400,30.79200,30.79200,0.47000,0.47000,0.10760,0.62280,100.00000,52.77840,67.95240,52.77840,62.46050,0.03420,,,3.52850,3.52850,2.13850,3.52850,13.27870,1.9288,1.9288
2020-06-30,23.79600,23.79600,5.06400,-2.88400,11.53600,11.53600,11.53600,21.22200,21.22200,14.86200,15.84800,30.74700,30.74700,0.69000,0.69000,0.08290,0.74160,100.00000,48.47870,66.59940,48.47870,89.18310,0.03310,,,5.23320,5.23320,2.95230,5.23320,13.17320,1.6005,1.6005
2020-03-31,20.84100,20.84100,4.44200,,12.23700,12.23700,12.23700,-5.11800,-5.11800,15.47600,16.39900,29.88300,29.88300,-0.17000,-0.17000,0.22030,1.01170,100.00000,58.71600,78.68620,58.71600,-24.55740,0.02600,,,-1.29570,-1.29570,-0.63730,-1.29570,12.84710,-2.41680,-2.41680
2019-12-31,21.26500,21.26500,4.81000,-1.36300,11.10200,11.10200,11.10200,5.64000,5.64000,14.45300,15.09200,24.84400,24.84400,0.22000,0.22000,0.08820,1.00980,100.00000,52.20790,70.97110,52.20780,26.52250,0.03110,,,1.69620,1.69620,0.82440,1.69620,13.34130,-4.717,-4.717
2019-09-30,15.69000,15.69000,3.63000,-1.74500,7.11300,7.11300,7.11300,-8.81200,-8.81200,9.06300,10.31500,24.86500,24.86500,-0.35000,-0.35000,0.25460,0.72770,100.00000,45.33460,65.74250,45.33460,-56.16320,0.02650,,,-2.62700,-2.62700,-1.49080,-2.62700,13.47440,-1.6084,-1.6084
2019-06-30,18.94100,18.94100,3.27800,-2.53000,10.12300,10.12300,10.12300,23.86100,23.86100,13.51100,13.13300,24.82700,24.82700,0.96000,0.96000,0.16940,0.45080,100.00000,53.44490,69.33640,53.44490,125.97540,0.03610,,,6.76620,6.76620,4.54260,6.76620,14.18610,-0.5237,-0.5237
2019-03-31,17.49100,17.49100,2.89400,-2.47900,9.91500,9.91500,9.91500,11.06900,11.06900,11.60200,12.11800,24.78200,24.78200,0.45000,0.45000,0.44520,0.45620,100.00000,56.68630,69.28130,56.68630,63.28400,0.03160,,,3.28260,3.28260,1.99670,3.28260,13.58580,-0.69960,-0.69960
2018-12-31,17.79900,17.79900,3.12100,-2.55700,10.23200,10.23200,10.23200,9.31500,9.31500,18.53600,12.12100,20.48800,20.48800,0.36000,0.36000,0.25380,0.28680,100.00000,57.48640,68.09940,57.48640,52.33440,0.03810,,,2.78450,2.78450,1.99440,2.78450,13.50000,-0.8006,-0.8006
2018-09-30,17.67800,17.67800,3.02400,-2.50300,10.01000,10.01000,10.01000,10.90900,10.90900,11.59400,12.15100,21.64100,21.64100,0.50000,0.50000,0.85120,0.21670,100.00000,56.62410,68.73520,56.62410,61.70950,0.04030,,,3.24670,3.24670,2.48560,3.24670,13.58850,0.2407,0.2407
2018-06-30,16.55200,16.55200,3.02000,-2.20000,8.80000,8.80000,8.80000,8.39500,8.39500,10.88300,11.33200,17.75400,17.75400,0.47000,0.47000,0.39550,0.66820,100.00000,53.16580,68.46300,53.16580,50.71900,0.03290,,,3.51270,3.51270,1.67000,3.51270,13.44840,0.8422,0.8422
2018-03-31,12.61900,12.61900,2.66700,-1.48700,5.94700,5.94700,5.94700,7.94300,7.94300,8.04200,8.46500,17.73000,17.73000,0.45000,0.45000,0.48390,0.71690,100.00000,47.12740,67.08140,47.12740,62.94480,0.02300,,,3.35850,3.35850,1.44490,3.35850,13.33930,-1.15210,-1.15210
2017-12-31,11.10500,11.10500,2.66200,-1.09400,5.14900,5.14900,5.14900,3.85000,3.85000,6.93200,7.34900,16.32400,16.32400,0.21000,0.21000,0.50190,0.59350,100.00000,46.36650,66.17740,46.36650,34.66910,0.02180,,,1.63870,1.63870,0.75450,1.63870,13.25130,-3.5429,-3.5429
2017-09-30,10.41900,10.41900,2.68000,-1.06600,4.36700,4.36700,4.36700,3.67900,3.67900,6.46400,6.67300,16.02300,16.02300,0.23000,0.23000,0.52490,0.45540,100.00000,41.91380,64.04650,41.91380,35.31050,0.02490,,,1.71310,1.71310,0.88100,1.71310,13.38650,-3.2957,-3.2957
2017-06-30,15.68200,15.68200,2.72000,-1.98100,8.83100,8.83100,8.83100,7.92100,7.92100,10.85200,10.98100,16.00000,16.00000,0.50000,0.50000,0.82590,0.52410,100.00000,56.31300,70.02300,56.31300,50.51010,0.03640,,,3.65810,3.65810,1.83950,3.65810,13.51810,5.2384,5.2384
2017-03-31,14.30400,14.30400,2.50700,-1.47300,7.91900,7.91900,7.91900,3.77700,3.77700,10.07200,10.32400,15.98100,15.98100,0.24000,0.24000,0.52670,0.65170,100.00000,55.36210,72.17560,55.36210,26.40520,0.03180,,,1.76590,1.76590,0.84040,1.76590,13.38380,3.13790,3.13790
2016-12-31,10.64900,10.64900,2.48600,-1.20700,4.83000,4.83000,4.83000,6.94500,6.94500,6.63500,6.95600,16.16000,16.16000,0.42980,0.42980,0.27440,0.77960,100.00000,45.35640,65.32070,45.35640,65.21740,0.02450,,,3.21730,3.21730,1.59940,3.21730,13.50750,-3.5535,-3.5535
2016-09-30,12.50200,12.50200,2.40300,-1.56800,6.49500,6.49500,6.49500,11.43500,11.43500,8.28500,8.53100,16.09100,16.09100,0.71000,0.71000,0.52760,0.51400,100.00000,51.95170,68.23710,51.95170,91.46540,0.03020,,,5.33370,5.33370,2.75980,5.33370,13.43480,0.127,0.127
2016-06-30,9.40500,9.40500,2.54400,,4.95800,4.95800,4.95800,0.00300,0.00300,6.74100,6.86100,16.28900,16.28900,0.00020,0.00020,0.51830,0.50090,100.00000,52.71660,72.95060,52.71660,0.03190,0.02390,,,0.00140,0.00140,0.00080,0.00140,13.05280,-1.0889,-1.0889
2016-03-31,11.07900,11.07900,2.55700,,6.72800,6.72800,6.72800,-7.25700,-7.25700,8.23200,8.52200,16.30200,16.30200,-0.45000,-0.45000,0.62760,0.32490,100.00000,60.72750,76.92030,60.72750,-65.50230,0.02910,,,-3.32100,-3.32100,-1.90420,-3.32100,13.40450,-1.17840,-1.17840
2015-12-31,11.42700,11.42700,2.35000,-1.23800,6.04800,6.04800,6.04800,0.01900,0.01900,7.76400,7.83900,15.04100,15.04100,-0.01000,-0.01000,0.73410,0.30610,100.00000,52.92730,68.60070,52.92730,0.16630,0.02990,,,0.00820,0.00820,0.00500,0.00820,14.20970,-0.5859,-0.5859
2015-09-30,9.24500,9.24500,2.53900,-0.37900,4.67100,4.67100,4.67100,5.71500,5.71500,6.15700,6.32700,16.64800,16.64800,0.34000,0.34000,0.84940,0.27600,100.00000,50.52460,68.43700,50.52460,61.81720,0.02470,,,2.36040,2.36040,1.52400,2.36040,14.51590,-0.9295,-0.9295
2015-06-30,11.60600,11.60600,2.53600,-1.58100,6.29500,6.29500,6.29500,7.04800,7.04800,7.45200,7.48900,16.56900,16.56900,0.43000,0.43000,1.50880,0.25210,100.00000,54.23920,64.52700,54.23920,60.72720,0.03760,,,2.91250,2.91250,2.28610,2.91250,14.54100,1.3866,1.3866
2015-03-31,9.80800,9.80800,2.35300,-0.86600,4.94500,4.94500,4.94500,2.73900,2.73900,6.56100,6.58900,10.28500,10.28500,0.27000,0.27000,0.91850,0.50450,100.00000,50.41800,67.17990,50.41800,27.92620,0.02670,0.10370,867.83750,1.15150,1.15150,0.74540,1.15150,14.48330,0.13820,0.13820
2014-12-31,10.69100,10.69100,2.03500,-1.19600,5.86300,5.86300,5.86300,4.78500,4.78500,7.56700,7.46000,9.87000,9.87000,0.49000,0.49000,0.37690,0.81390,100.00000,54.84050,69.77830,54.84050,44.75730,0.03280,,,3.30050,3.30050,1.46630,3.30050,14.60890,-0.4458,-0.4458
2014-09-30,7.85800,7.85800,1.79800,-1.16800,3.52200,3.52200,3.52200,4.67300,4.67300,4.98600,4.89200,9.87300,9.87300,0.47000,0.47000,0.38090,0.75280,100.00000,44.82060,62.25500,44.82060,59.46810,0.02530,,,3.22730,3.22730,1.50240,3.22730,14.63770,-3.7505,-3.7505
2014-06-30,5.48900,5.48900,1.63300,-0.22600,2.85400,2.85400,2.85400,2.89000,2.89000,4.04600,3.63000,9.85000,9.85000,0.29000,0.29000,0.53300,0.47920,100.00000,51.99490,66.13230,51.99490,52.65080,0.01980,,,2.02170,2.02170,1.04200,2.02170,14.48490,-10.8206,-10.8206
2014-03-31,1.30800,1.30800,0.31000,-0.27500,0.56900,0.56900,0.56900,1.94300,1.94300,0.51300,0.72300,9.84200,9.84200,0.20000,0.20000,0.99820,0.13940,100.00000,43.50150,55.27520,43.50150,148.54740,0.00600,,,1.35390,1.35390,0.89130,1.35390,14.58200,-9.14070,-9.14070
