Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2021-12-31,11.73600,0.15900,11.57700,11.33900,-0.07800,11.52100,0.05600,11.38200,11.43800,4.56000,6.87800,6.87800,6.87800,0.16000,0.05600,1.38100,1.38100,4.98000,4.98000,9.49220,0.21210,0.26980,98.64520,0.47720,0.47720,97.46080,58.60600,0.02690,2.89090,1.63570,55.02300,2.63000,2.63000,1.57750,2.07210,189.36930,0.23530,0.23530
2021-09-30,11.97300,0.15600,11.81700,11.13200,-0.71100,11.97900,-0.16200,-1.22200,-1.38400,0.03500,-1.41900,-1.41900,-1.41900,-0.02600,-0.16200,1.38100,1.38100,-1.03000,-1.03000,10.94720,0.11610,0.13190,98.69710,-1.35310,-1.35310,-11.55920,-11.85170,0.03130,3.62790,1.25710,71.59110,-0.55730,-0.55730,-0.37090,-0.49260,184.38890,2.3635,2.3635
2021-06-30,13.56200,0.16200,13.40000,11.30700,-0.65500,12.07600,1.32400,56.44900,57.77300,15.20000,42.57300,42.57300,42.57300,1.43800,1.32400,1.38070,1.38070,30.83000,30.83000,13.99990,0.11560,0.13130,98.80550,9.76260,9.76260,425.99170,313.91390,0.03480,2.94550,1.35420,66.46140,16.62620,16.62620,10.93020,14.70430,185.41640,2.3176,2.3176
2021-03-31,13.97000,0.15300,13.81700,11.39200,-1.00500,12.51200,1.30500,13.90600,15.21100,2.73500,12.47600,12.47600,12.47600,1.42000,1.30500,1.38070,1.38070,9.04000,9.04000,12.55830,0.13570,0.15760,98.90480,9.34140,9.34140,108.88330,89.30570,0.04230,5.10000,1.48160,60.74520,5.84390,5.84390,3.77320,5.05120,154.58870,-0.2865,-0.3075
2020-12-31,10.42000,0.15400,10.26600,10.46600,,10.58100,-0.31500,81.76500,81.45000,22.18000,59.27000,59.27000,59.27000,-0.20000,-0.31500,1.38100,1.38100,42.93000,42.93000,11.08550,0.07600,0.08300,98.52210,-3.02300,-3.02300,781.66980,568.81000,0.03440,5.70370,1.39830,64.36470,29.48600,29.48600,19.53890,27.24390,145.55470,-2.01520,-2.01520
2020-09-30,13.03500,0.17100,12.86400,11.98400,,12.12400,0.74000,42.58800,43.32800,11.44500,31.88300,31.88300,31.88300,0.88000,0.74000,1.38100,1.38100,23.09000,23.09000,7.72800,0.17980,0.22010,98.68810,5.67700,5.67710,332.39730,244.59530,0.05460,4.75000,1.77880,50.59610,22.49380,22.49380,13.36390,18.44970,102.63650,2.7784,2.7668
2020-06-30,12.87400,0.15700,12.71700,11.99600,,12.12400,0.59300,18.00100,18.59400,4.32000,14.27400,14.27400,14.27400,0.72100,0.59300,1.38100,1.38100,10.34000,10.34000,5.95720,0.22610,0.29340,98.78050,4.60620,4.60620,144.43060,110.87460,0.06500,3.07840,1.26660,71.05490,12.99310,12.99310,7.21040,10.05490,79.54960,2.2281,2.2281
2020-03-31,12.35600,0.19300,12.16300,13.13300,,13.26100,-1.09800,-76.08800,-77.18600,-20.86000,-56.32600,-56.32600,-56.32600,-0.97000,-1.09800,1.38100,1.38100,-40.79000,-40.79000,5.86640,0.24570,0.32710,98.43800,-8.88640,-8.88640,-624.68430,-455.85950,0.07070,4.82500,1.81250,49.65440,-58.92830,-58.92830,-32.23510,-44.44880,69.22640,-1.0514,-1.1028
2019-12-31,11.67700,0.17800,11.49900,12.88900,,13.01700,-1.51800,21.00800,19.49000,5.28000,14.21000,14.21000,14.21000,-1.39000,-1.51800,1.38100,1.38100,10.29000,10.29000,8.01940,0.17020,0.20600,98.47560,-12.99990,-12.99990,166.90930,121.69220,0.04580,3.63270,1.53560,58.60750,9.35420,9.35420,5.57560,7.76170,110.00000,-2.26360,-2.33380
2019-09-30,12.99700,0.17900,12.81800,13.42900,,26.97400,-14.15600,0.35200,-13.80400,-1.28000,-12.52400,-12.52400,-12.52400,-0.61100,-14.15600,1.38100,1.38100,-9.06000,-9.06000,6.94370,0.18470,0.22750,98.62270,-108.91740,-108.91740,-106.20910,-96.36070,0.05480,4.47500,1.80790,49.78150,-9.09510,-9.09510,-5.27600,-7.41500,99.71040,1.6082,1.5591
