Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,33489.00000,22725.00000,10764.00000,1816.00000,5693.00000,,7974.00000,2790.00000,-5709.00000,-2919.00000,378.00000,-3297.00000,-2748.00000,-1256.00000,2790.00000,2790.00000,2694.75000,2723.37500,-0.44000,-0.44000,1.66380,0.11000,0.13180,32.14190,8.33110,8.33110,-8.71630,-3.75050,0.12520,-1.62420,-2.34230,-1.02740,-1.44560,63.37460,-0.2905,-0.2905
2021-12-31,38066.00000,23014.00000,15052.00000,2465.00000,7088.00000,,9998.00000,5054.00000,-452.00000,4602.00000,1499.00000,3103.00000,3017.00000,3206.00000,5054.00000,5054.00000,2701.00000,2746.12500,1.19000,1.18000,1.64460,0.10610,0.12590,39.54190,13.27690,13.27690,12.08950,8.42220,0.13780,1.73280,2.47000,1.09200,1.54890,,4.6041,4.6041
2021-09-30,31147.00000,20137.00000,11010.00000,2374.00000,5856.00000,,8681.00000,2329.00000,-1717.00000,612.00000,944.00000,-332.00000,524.00000,833.00000,2329.00000,2329.00000,2695.25000,2724.25000,0.31000,0.31000,1.64500,0.10800,0.13820,35.34850,7.47740,7.47740,1.96490,2.67440,0.11630,0.30750,0.45740,0.19570,0.27430,62.06900,2.0665,2.0665
2021-06-30,31865.00000,19220.00000,12645.00000,2094.00000,5297.00000,,7867.00000,4778.00000,2321.00000,7099.00000,1409.00000,5690.00000,6634.00000,6991.00000,4778.00000,4778.00000,2719.25000,2754.75000,2.57000,2.54000,1.75760,0.10740,0.13570,39.68300,14.99450,14.99450,22.27840,21.93940,0.11990,3.85800,5.70860,2.49720,3.44360,,1.88910,1.88910
2021-03-31,30997.00000,20491.00000,10506.00000,2247.00000,8434.00000,,11248.00000,-742.00000,442.00000,-300.00000,1205.00000,-1505.00000,-561.00000,-205.00000,-742.00000,-742.00000,2702.37500,2747.75000,-0.08000,-0.07000,1.70490,0.11210,0.13870,33.89360,-2.39380,-2.39380,-0.96780,-0.66140,0.12020,-0.34190,-0.51670,-0.21750,-0.30360,60.48970,1.3749,1.3952
2020-12-31,33883.00000,18585.00000,15298.00000,2086.00000,5216.00000,,7788.00000,7510.00000,6401.00000,13911.00000,1409.00000,12502.00000,11950.00000,12173.00000,7510.00000,7510.00000,2717.18800,2766.59100,4.50000,4.42000,1.66890,0.08720,0.10960,45.14950,22.16450,22.16450,41.05600,35.92660,0.13520,7.26070,11.03540,4.76830,6.62730,,5.8995,5.8995
2020-09-30,22838.00000,13250.00000,9588.00000,2834.00000,4321.00000,,7580.00000,2008.00000,1555.00000,3563.00000,281.00000,3282.00000,3907.00000,4237.00000,2008.00000,2008.00000,2700.25000,2745.25000,1.57000,1.54000,1.98880,0.10720,0.12510,41.98270,8.79240,8.79240,15.60120,18.55240,0.10820,2.72580,4.14070,1.85030,2.43350,,3.0137,3.0137
2020-06-30,21762.00000,11963.00000,9799.00000,1569.00000,2900.00000,,4887.00000,4912.00000,3186.00000,8098.00000,1574.00000,6524.00000,6573.00000,6736.00000,4912.00000,4912.00000,2697.62500,2740.75000,2.50000,2.46000,1.98040,0.11610,0.13620,45.02800,22.57150,22.57150,37.21170,30.95300,0.11230,5.04410,7.92220,3.39170,4.45860,,2.58720,2.58720
2020-03-31,15401.00000,9856.00000,5545.00000,1438.00000,2723.00000,,4715.00000,830.00000,-1046.00000,-216.00000,324.00000,-540.00000,-63.00000,321.00000,830.00000,830.00000,2627.12500,2668.25000,0.08000,0.05000,1.91390,0.12140,0.14410,36.00420,5.38930,5.38930,-1.40250,2.08430,0.08310,-0.05120,-0.08370,-0.03400,-0.04500,45.76400,-0.0258,-0.6617
2019-12-31,23192.00000,12114.00000,11078.00000,1591.00000,3335.00000,,5396.00000,5682.00000,2416.00000,8098.00000,1208.00000,6890.00000,7201.00000,7514.00000,5682.00000,5682.00000,2632.25000,2674.12500,2.85000,2.81000,1.75050,0.12090,0.14240,47.76650,24.49980,24.49980,34.91720,32.39910,0.12240,5.83390,9.68670,3.79930,5.12870,,5.2372,5.2372
2019-09-30,16651.00000,9170.00000,7481.00000,1530.00000,2601.00000,,4551.00000,2930.00000,9035.00000,11965.00000,394.00000,11571.00000,9898.00000,10149.00000,2930.00000,2930.00000,2600.00000,2636.62500,3.90000,3.85000,1.37600,0.14440,0.20230,44.92820,17.59650,17.59650,71.85750,60.95130,0.10260,9.82300,18.74120,6.10120,8.40480,,2.4341,2.4341
2019-06-30,16741.00000,8738.00000,8003.00000,1526.00000,2479.00000,,4452.00000,3551.00000,137.00000,3688.00000,978.00000,2710.00000,2785.00000,3096.00000,3551.00000,3551.00000,2597.00000,2634.37500,1.19000,1.19000,1.37940,0.15430,0.21850,47.80480,21.21140,21.21140,22.02980,18.49350,0.11280,2.99690,6.26740,1.87650,2.53460,,1.91390,1.91390
2019-03-31,14468.00000,8569.00000,5899.00000,1326.00000,2650.00000,,4469.00000,1430.00000,2841.00000,4271.00000,758.00000,3513.00000,3639.00000,4016.00000,1430.00000,1430.00000,2580.00000,2623.00000,1.55000,1.52000,1.30140,0.15520,0.22070,40.77270,9.88390,9.88390,29.52030,27.75780,0.10060,4.01300,8.86890,2.53060,3.39000,35.05180,1.2084,-0.6284
2018-12-31,17057.00000,8845.00000,8212.00000,1295.00000,2611.00000,,4314.00000,3898.00000,1543.00000,5441.00000,812.00000,4629.00000,4504.00000,4807.00000,3898.00000,3898.00000,2576.00000,2614.00000,1.87000,1.84000,1.25340,0.16800,0.24260,48.14450,22.85280,22.85280,31.89890,28.18200,0.12780,5.52080,12.45300,3.37360,4.59340,,3.6268,3.6268
2018-09-30,12398.00000,6812.00000,5586.00000,1218.00000,2022.00000,,3620.00000,1966.00000,548.00000,2514.00000,40.00000,2474.00000,2656.00000,2917.00000,1966.00000,1966.00000,2584.00000,2628.00000,1.13000,1.11000,1.41520,0.20690,0.27900,45.05570,15.85740,15.85740,20.27750,23.52800,0.10320,3.68250,7.57130,2.21170,2.92080,,1.6635,1.6635
2018-06-30,12229.00000,6607.00000,5622.00000,1739.00000,2353.00000,,4410.00000,1212.00000,899.00000,2111.00000,856.00000,1255.00000,1156.00000,1313.00000,1212.00000,1212.00000,2581.00000,2627.00000,0.51000,0.50000,1.44330,0.20840,0.29220,45.97270,9.91090,9.91090,17.26230,10.73680,0.10160,1.61860,3.58530,0.96020,1.28130,,2.07770,2.07770
2018-03-31,11449.00000,5792.00000,5657.00000,1204.00000,2209.00000,,3676.00000,1981.00000,461.00000,2442.00000,782.00000,1660.00000,1519.00000,1679.00000,1981.00000,1981.00000,2553.00000,2610.00000,0.66000,0.65000,1.89130,0.21500,0.28770,49.41040,17.30280,17.30280,21.32940,14.66500,0.10010,2.18320,4.01270,1.32870,1.71380,27.05280,1.1221,-0.4542
2017-12-31,12761.00000,5390.00000,7371.00000,967.00000,2016.00000,,3299.00000,4072.00000,3374.00000,7446.00000,1024.00000,6422.00000,3586.00000,3700.00000,4072.00000,4072.00000,2557.00000,2615.00000,1.45000,1.41000,1.96640,0.22350,0.30290,57.76190,31.90970,31.90970,58.34970,28.99460,0.11670,5.46450,10.23720,3.27950,4.24320,,3.3052,3.9489
2017-09-30,8285.00000,3307.00000,4978.00000,764.00000,1458.00000,,2485.00000,2493.00000,665.00000,3158.00000,409.00000,2749.00000,2616.00000,2656.00000,2493.00000,2493.00000,2552.00000,2607.00000,1.04000,1.02000,1.71210,0.17030,0.24990,60.08450,30.09050,30.09050,38.11710,32.05790,0.09520,4.74120,8.07360,3.00700,3.93350,,1.782,1.1383
2017-06-30,7403.00000,2576.00000,4827.00000,693.00000,1258.00000,,2244.00000,2583.00000,378.00000,2961.00000,686.00000,2275.00000,2070.00000,2166.00000,2583.00000,2583.00000,2543.00000,2599.00000,0.85000,0.83000,1.74200,0.18280,0.27160,65.20330,34.89130,34.89130,39.99730,29.25840,0.09230,4.08360,7.33830,2.58100,3.33720,,1.43630,1.43630
2017-03-31,5345.00000,2152.00000,3193.00000,623.00000,1068.00000,,1870.00000,1323.00000,909.00000,2232.00000,649.00000,1583.00000,1382.00000,1494.00000,1323.00000,1323.00000,2493.00000,2573.00000,0.59000,0.58000,1.94640,0.19310,0.28570,59.73810,24.75210,24.75210,41.75870,27.95140,0.07260,2.96220,5.37720,1.87700,2.39030,18.44500,0.6375,-0.0524
2016-12-31,7669.00000,2755.00000,4914.00000,636.00000,1120.00000,,1938.00000,2976.00000,454.00000,3430.00000,736.00000,2694.00000,2471.00000,2572.00000,2976.00000,2976.00000,2485.00000,2571.00000,1.04000,1.00000,1.82000,0.20130,0.29680,64.07620,38.80560,38.80560,44.72550,33.53760,0.10850,5.60640,10.34540,3.49510,4.47760,,2.0185,2.0185
2016-09-30,5142.00000,1968.00000,3174.00000,620.00000,1003.00000,,1818.00000,1356.00000,93.00000,1449.00000,303.00000,1146.00000,1061.00000,1143.00000,1356.00000,1356.00000,2478.00000,2566.00000,0.46000,0.45000,2.02170,0.22210,0.30460,61.72700,26.37110,26.37110,28.17970,22.22870,0.07510,2.44640,4.74530,1.55020,1.90310,,1.003,1.003
2016-06-30,4838.00000,1767.00000,3071.00000,600.00000,957.00000,,1745.00000,1326.00000,284.00000,1610.00000,314.00000,1296.00000,1075.00000,1136.00000,1326.00000,1326.00000,2473.00000,2568.00000,0.46000,0.44000,1.85890,0.22360,0.30620,63.47670,27.40800,27.40800,33.27820,23.48080,0.07840,2.76190,5.69510,1.74260,2.14430,,0.87660,0.87660
2016-03-31,3600.00000,1432.00000,2168.00000,529.00000,773.00000,,1411.00000,757.00000,215.00000,972.00000,273.00000,699.00000,591.00000,599.00000,757.00000,757.00000,2458.00000,2562.00000,0.25000,0.25000,2.57610,0.17650,0.23150,60.22220,21.02780,21.02780,27.00000,16.63890,0.06370,1.52710,2.38700,1.04560,1.25770,15.64310,0.2931,-0.036
2015-12-31,5333.00000,1691.00000,3642.00000,579.00000,948.00000,,1653.00000,1989.00000,560.00000,2549.00000,549.00000,2000.00000,1923.00000,1929.00000,1989.00000,1989.00000,2441.77200,2538.15800,0.79000,0.76000,2.53040,0.17790,0.22830,68.29180,37.29610,37.29610,47.79670,36.17100,0.09470,5.03210,7.93280,3.41590,4.13680,,1.5813,1.5813
2015-09-30,3488.00000,1122.00000,2366.00000,507.00000,738.00000,,1360.00000,1006.00000,2847.00000,3853.00000,263.00000,3590.00000,3572.00000,3580.00000,1006.00000,1006.00000,2461.00000,2564.00000,1.46000,1.40000,2.83140,0.19080,0.24230,67.83260,28.84170,28.84170,110.46450,102.63760,0.06760,10.15520,17.21530,6.92650,8.21720,,0.9183,0.9183
2015-06-30,3265.00000,1083.00000,2182.00000,523.00000,722.00000,,1350.00000,832.00000,4429.00000,5261.00000,225.00000,5036.00000,4970.00000,4975.00000,832.00000,832.00000,2477.00000,2588.00000,2.01000,1.92000,3.39810,0.21520,0.28660,66.83000,25.48240,25.48240,161.13320,152.37370,0.07180,16.74700,21.59370,10.92450,13.14260,,0.64800,0.64800
2015-03-31,2790.00000,982.00000,1808.00000,487.00000,803.00000,,1393.00000,415.00000,301.00000,716.00000,192.00000,524.00000,460.00000,464.00000,415.00000,415.00000,2337.00000,2500.00000,0.15000,0.15000,3.58200,0.24330,0.33410,64.80290,14.87460,14.87460,25.66310,16.63080,0.06770,1.81150,2.69530,1.11630,1.37080,10.17550,0.4517,0.1441
2014-12-31,4219.00000,1212.00000,3007.00000,497.00000,877.00000,,1473.00000,1534.00000,-48.00000,1486.00000,392.00000,1094.00000,964.00000,957.00000,1534.00000,1534.00000,2450.00000,2588.00000,0.39000,0.37000,2.69720,0.25100,0.46320,71.27280,36.35930,36.35930,35.22160,22.68310,0.09700,4.00200,6.04050,2.21530,2.99740,9.68560,1.1304,1.3217
2014-09-30,2742.00000,912.00000,1830.00000,421.00000,604.00000,,1122.00000,708.00000,53.00000,761.00000,218.00000,543.00000,494.00000,485.00000,895.00000,708.00000,2205.00000,2425.00000,0.22000,0.20000,3.00690,0.27680,0.49360,66.73960,25.82060,25.82060,27.75350,17.68780,0.07240,2.34230,3.48770,1.30500,1.69400,8.48460,0.3896,0.2763
2014-06-30,2542.00000,739.00000,1803.00000,315.00000,347.00000,,700.00000,1103.00000,1149.00000,2252.00000,233.00000,2019.00000,2005.00000,1990.00000,1209.00000,1103.00000,2198.00000,2384.00000,0.91000,0.84000,1.94370,0.44270,1.00610,70.92840,43.39100,43.39100,88.59170,78.28480,0.09780,24.20620,50.07490,7.71630,11.22940,4.43640,0.68790,0.60990
2013-12-31,3061.05900,681.12430,2379.93400,278.75310,643.89190,,942.73070,1437.20300,74.62810,1511.83100,121.00530,1390.82600,1364.69800,1349.83800,1437.20300,1437.20300,2180.00000,2343.00000,0.62000,0.58000,1.73110,0.46970,1.18110,77.74870,46.95120,46.95120,49.38920,44.09710,0.17770,35.51130,44.61260,7.92420,13.18290,2.47540,1.6876,1.481
2013-09-30,1777.18500,,1777.18500,,,,,1777.18500,,1777.18500,,1777.18500,802.24900,802.24900,1777.18500,1777.18500,2165.00000,2317.00000,0.37000,0.34000,,,,100.00000,100.00000,100.00000,100.00000,45.14160,,,,,,,0,0
2013-03-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
2012-03-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
2011-03-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
2010-03-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
