Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2019-09-30,1348.00000,405.00000,943.00000,387.00000,280.00000,675.00000,268.00000,16.00000,284.00000,-570.00000,854.00000,854.00000,854.00000,303.00000,268.00000,295.00000,296.00000,2.89000,2.89000,3.32230,0.12200,0.13900,69.95550,19.88130,19.88130,21.06830,63.35310,0.12730,,1.57480,57.15130,11.93070,16.43570,8.06190,10.47470,24.43000,0.1304,0.0376
2019-06-30,1209.00000,187.00000,1022.00000,381.00000,220.00000,607.00000,415.00000,21.00000,436.00000,-985.00000,1421.00000,1421.00000,1421.00000,452.00000,415.00000,297.00000,299.00000,4.78000,4.75000,3.51520,0.13300,0.15340,84.53270,34.32590,34.32590,36.06290,117.53510,0.12400,,3.67480,24.49130,21.91210,31.48680,14.57590,18.99730,21.90880,0.52840,0.37790
2019-03-31,1238.00000,276.00000,962.00000,398.00000,352.00000,766.00000,196.00000,23.00000,219.00000,10.00000,209.00000,209.00000,209.00000,233.00000,196.00000,303.00000,306.00000,0.69000,0.69000,2.81720,0.15720,0.18650,77.70600,15.83200,15.83200,17.68980,16.88210,0.13820,,1.98720,45.29080,3.92050,6.23510,2.33340,3.30430,17.88930,1.9372,1.8246
2018-12-31,1289.00000,413.00000,876.00000,334.00000,293.00000,634.00000,242.00000,23.00000,265.00000,3.00000,262.00000,262.00000,262.00000,276.00000,242.00000,302.00000,304.00000,0.87000,0.86000,2.98900,0.15680,0.18600,67.95970,18.77420,18.77420,20.55860,20.32580,0.14550,,1.59930,56.27620,4.90270,7.79760,2.95810,4.13380,17.75420,3.1379,3.0669
2018-09-30,1286.00000,418.00000,868.00000,339.00000,263.00000,610.00000,258.00000,18.00000,276.00000,21.00000,255.00000,255.00000,255.00000,294.00000,258.00000,305.00000,307.00000,0.84000,0.83000,3.51910,0.15740,0.18680,67.49610,20.06220,20.06220,21.46190,19.82890,0.15220,,1.33130,67.60500,4.79590,7.67380,3.01780,4.04120,17.49010,-0.4066,-0.5087
2018-06-30,1137.00000,215.00000,922.00000,362.00000,254.00000,622.00000,300.00000,19.00000,319.00000,26.00000,293.00000,293.00000,293.00000,338.00000,300.00000,306.00000,310.00000,0.96000,0.95000,3.84150,0.15880,0.18880,81.09060,26.38520,26.38520,28.05630,25.76960,0.13790,,3.06470,29.36680,5.57030,8.96850,3.55280,4.68580,17.24590,0.38710,0.28390
2018-03-31,1582.00000,233.00000,1349.00000,335.00000,256.00000,596.00000,753.00000,1.00000,754.00000,147.00000,607.00000,607.00000,607.00000,792.00000,753.00000,308.00000,312.00000,1.98000,1.95000,2.41030,0.17760,0.21590,85.27180,47.59800,47.59800,47.66120,38.36920,0.18430,,4.10910,21.90270,13.21000,22.98370,7.07130,10.86450,15.01630,1.9263,1.8658
2017-12-31,1160.00000,501.00000,659.00000,329.00000,350.00000,680.00000,-21.00000,5.00000,-16.00000,170.00000,-186.00000,-186.00000,-186.00000,13.00000,-21.00000,308.00000,308.00000,-0.60000,-0.60000,1.92020,0.19540,0.24280,56.81030,-1.81030,-1.81030,-1.37930,-16.03450,0.13420,,1.30930,68.74140,-4.55210,-8.74880,-2.15230,-3.66290,13.30950,2.7589,2.6803
2017-09-30,959.00000,389.00000,570.00000,331.00000,278.00000,611.00000,-41.00000,3.00000,-38.00000,-16.00000,-22.00000,-22.00000,-22.00000,-9.00000,-41.00000,309.00000,309.00000,-0.07000,-0.07000,2.38340,0.18420,0.22580,59.43690,-4.27530,-4.27530,-3.96250,-2.29410,0.12110,,1.18100,76.20440,-0.50140,-0.82340,-0.27770,-0.40900,14.24680,0.1756,0.0771
2017-06-30,1449.00000,154.00000,1295.00000,325.00000,226.00000,552.00000,743.00000,6.00000,749.00000,105.00000,644.00000,644.00000,644.00000,774.00000,743.00000,309.00000,313.00000,2.08000,2.06000,3.00920,0.18090,0.22090,89.37200,51.27670,51.27670,51.69080,44.44450,0.19650,,6.52700,13.78880,14.35580,23.24070,8.73220,11.75830,14.51780,0.56230,0.45690
