Date,revenue,gross-profit,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2020-12-31,16.84600,16.84600,6.26800,7.11400,1.08200,8.19600,8.19600,8.19600,8.19600,9.60100,10.57800,20.54600,20.54600,0.39000,0.39000,1.48940,0.55180,1.23120,100.00000,42.22960,62.79240,48.65250,48.65250,0.02340,1.49760,60.09790,2.61940,2.61940,1.13990,1.17400,15.22910,-4.3588,-4.3588
2020-09-30,16.49700,16.49700,7.66000,6.06700,15.56700,21.63400,21.63400,21.63400,21.63400,8.38500,8.83700,20.54600,20.54600,1.06000,1.06000,1.65580,0.48140,0.92820,100.00000,36.77640,53.56730,131.13900,131.13900,0.02640,2.37030,37.97050,6.87750,6.87750,3.45700,3.56690,15.31020,-1.4394,-1.4394
2020-06-30,13.82300,13.82300,5.16200,5.43800,17.37300,22.81100,22.81100,22.81100,22.81100,8.13900,8.66100,20.54600,20.54600,1.11000,1.11000,1.32970,0.45700,0.84170,100.00000,39.34020,62.65640,165.02210,165.02210,0.02400,2.23060,40.34800,7.59800,7.59800,3.96750,4.12560,14.61220,1.9013,1.9013
2020-03-31,14.53300,14.53300,4.58500,6.28000,-27.23600,-20.95600,-20.95600,-20.95600,-20.95600,9.52000,9.94800,20.54600,20.54600,-1.01000,-1.01000,2.34520,0.50570,1.02300,100.00000,43.21200,68.45110,-144.19600,-144.19600,0.02460,2.26580,39.72060,-7.36060,-7.36060,-3.54020,-3.63840,13.85700,0.75290,0.75290
2019-12-31,17.41000,17.41000,5.88200,7.80400,0.95800,8.76200,8.76200,8.76200,8.76200,10.69500,11.52800,20.54600,20.54600,0.41000,0.41000,2.36970,0.48870,0.95560,100.00000,44.82480,66.21480,50.32740,50.32740,0.02760,2.73310,32.92940,2.79980,2.79980,1.38810,1.43160,15.23190,-2.4346,-2.4346
2019-09-30,17.75500,17.75500,5.36700,8.89300,-2.03800,6.85500,6.85500,6.85500,6.85500,11.24700,12.38800,20.54600,20.54600,0.34000,0.34000,2.20860,0.42380,0.73550,100.00000,50.08730,69.77190,38.60880,38.60880,0.03140,1.09800,81.97070,2.17280,2.17280,1.21110,1.25200,15.35550,-0.333,-0.333
2019-06-30,15.98400,15.98400,5.34400,7.46400,0.75500,8.21900,8.21900,8.21900,8.21900,10.26300,10.64000,20.54600,20.54600,0.41000,0.41000,1.88910,0.43770,0.77840,100.00000,46.69670,66.56660,51.42020,51.42020,0.02690,3.04110,29.59460,2.60150,2.60150,1.38570,1.46280,15.37680,-2.3641,-2.3641
2019-03-31,15.92400,15.92400,5.00300,7.84800,-0.84300,7.00500,7.00500,7.00500,7.00500,9.83900,10.92100,20.54600,20.54600,0.34000,0.34000,1.51430,0.35880,0.55950,100.00000,49.28410,68.58200,43.99020,43.99020,0.03050,2.33050,38.61910,2.22380,2.22380,1.34320,1.42590,15.33180,0.50900,0.50900
2018-12-31,16.66900,16.66900,4.73900,8.98000,-4.04800,4.93200,4.93200,4.93200,4.93200,10.91500,11.93000,20.53900,20.53900,0.23000,0.23000,1.83130,0.35820,0.55820,100.00000,53.87250,71.57000,29.58780,29.58780,0.03240,3.61110,24.92290,1.56420,1.56420,0.95940,1.00390,15.34590,1.6749,1.6749
2018-09-30,15.31800,15.31800,8.25800,3.77700,15.68500,19.46200,19.46200,19.46200,19.46200,6.49800,7.06000,20.54600,20.54600,0.95000,0.95000,1.14830,0.38130,0.61620,100.00000,24.65730,46.08960,127.05320,127.05310,0.02830,3.39950,26.47470,6.12680,6.12680,3.59180,3.79080,15.46060,1.7181,1.7181
2018-06-30,14.65400,14.65400,7.24600,4.60700,14.44700,19.05400,19.05400,19.05400,19.05400,6.80300,7.40800,20.53200,20.53200,0.93000,0.93000,1.48470,0.41370,0.70570,100.00000,31.43850,50.55270,130.02590,130.02590,0.02720,2.73600,32.89480,6.24150,6.24150,3.53860,3.65930,14.86860,-1.2434,-1.2434
2018-03-31,16.60500,16.60500,5.46200,8.57800,5.27500,13.85300,13.85300,13.85300,13.85300,9.74000,11.14300,20.53200,20.53200,0.68000,0.68000,1.51910,0.38340,0.62170,100.00000,51.65910,67.10630,83.42670,83.42670,0.03370,3.30120,27.26290,4.71970,4.71970,2.81200,2.91030,14.29550,-0.63680,-0.63680
2017-12-31,13.92000,13.92000,4.68700,6.80400,1.68400,8.48800,8.48800,8.48800,8.48800,8.67700,9.23300,19.43300,19.43300,0.40000,0.40000,2.78240,0.38840,0.63500,100.00000,48.87930,66.32900,60.97700,60.97700,0.02870,2.81380,31.98490,2.95800,2.95800,1.74820,1.80920,13.97580,0.2195,0.2195
2017-09-30,13.02400,13.02400,4.69500,5.95000,3.10600,9.05600,9.05600,9.05600,9.05600,7.89000,8.32900,20.51800,20.51800,0.45000,0.45000,3.01730,0.38920,0.63710,100.00000,45.68490,63.95120,69.53320,69.53320,0.02690,2.87000,31.35900,3.17140,3.17140,1.87350,1.93720,13.91700,0.6344,0.6344
2017-06-30,14.28500,14.28500,4.79000,6.93600,0.33900,7.27500,7.27500,7.27500,7.27500,8.85700,9.49500,18.34200,18.34200,0.39000,0.39000,3.52790,0.39970,0.66600,100.00000,48.55440,66.46830,50.92750,50.92760,0.02930,2.96250,30.38010,2.56360,2.56360,1.49300,1.53880,13.83100,0.1636,0.1636
2017-03-31,13.57500,13.57500,4.60900,6.52200,3.10700,9.62900,9.62900,9.62900,9.62900,8.34300,8.96600,18.30400,18.30400,0.53000,0.53000,2.01570,0.43210,0.76090,100.00000,48.04420,66.04790,70.93190,70.93190,0.02960,2.35470,38.22100,3.81320,3.81320,2.10040,2.16550,13.79590,-0.64860,-0.64860
2016-12-31,13.35900,13.35900,4.53300,6.55500,2.51900,9.07400,9.07400,9.07400,9.07400,8.06600,8.82600,18.30400,18.30400,0.51000,0.51000,2.39820,0.42230,0.73110,100.00000,49.06800,66.06780,67.92420,67.92430,0.02990,3.43330,26.21380,3.63850,3.63850,2.03350,2.10180,13.62480,0.3196,0.3196
2016-09-30,14.03000,14.03000,4.71200,7.26800,1.32600,8.59400,8.59400,8.59400,8.59400,8.32300,9.31800,18.30400,18.30400,0.47000,0.47000,2.09920,0.40840,0.69030,100.00000,51.80330,66.41480,61.25450,61.25450,0.03260,3.53760,25.44120,3.48200,3.48200,1.99420,2.06000,13.48420,1.4529,1.4529
2016-06-30,13.05000,13.05000,4.67300,6.42600,1.70300,8.12900,8.12900,8.12900,8.12900,8.08300,8.37700,18.30400,18.30400,0.44000,0.44000,3.60120,0.43890,0.78220,100.00000,49.24140,64.19160,62.29120,62.29120,0.02900,3.54620,25.37930,3.32180,3.32180,1.80870,1.86390,13.36960,0.3517,0.3517
2016-03-31,13.41000,13.41000,4.73200,6.76200,-1.23000,5.53200,5.53200,5.53200,5.53200,8.32500,8.67800,18.30400,18.30400,0.30000,0.30000,1.97440,0.43440,0.76800,100.00000,50.42510,64.71290,41.25280,41.25280,0.03030,3.08130,29.20810,2.27570,2.27570,1.24950,1.28720,13.28050,-0.26030,-0.26030
2015-12-31,11.93400,11.93400,3.11800,3.87300,-18.65200,-14.77900,-14.77900,-14.77900,-14.77900,11.93300,8.81600,15.32000,15.32000,-0.98000,-0.98000,1.85990,0.42920,0.75180,100.00000,32.45350,73.87300,-123.83940,-123.83940,0.02700,3.50280,25.69380,-6.05570,-6.05570,-3.34590,-3.45680,13.33330,-3.1821,-3.1821
2015-09-30,11.70700,11.70700,4.39100,5.66200,-4.23400,1.42800,1.42800,1.42800,1.42800,7.09400,7.31600,14.98300,14.98300,0.10000,0.10000,2.02080,0.43940,0.78380,100.00000,48.36420,62.49250,12.19780,12.19780,0.02860,4.37480,20.57230,0.64510,0.64510,0.34910,0.36170,14.77350,0.992,0.992
2015-06-30,12.16200,12.16200,4.57300,5.88600,-0.13600,5.75000,5.75000,5.75000,5.75000,7.29100,7.58900,14.98300,14.98300,0.38000,0.38000,2.64620,0.45160,0.82360,100.00000,48.39660,62.39930,47.27840,47.27840,0.02880,3.99800,22.51110,2.55280,2.55280,1.36160,1.39990,15.03320,0.86,0.86
2015-03-31,11.27100,11.27100,4.26700,5.33400,-0.56100,4.77300,4.77300,4.77300,4.77300,6.92600,7.00400,14.98300,14.98300,0.32000,0.32000,1.90950,0.45210,0.82510,100.00000,47.32500,62.14180,42.34760,42.34760,0.02680,4.13610,21.75940,2.12310,2.12310,1.13330,1.16330,15.00450,0.74230,0.74230
2014-12-31,11.01300,11.01300,4.36600,4.97500,-1.38100,3.59400,3.59400,3.59400,3.59400,6.34100,6.64700,14.98300,14.98300,0.22000,0.29000,1.76060,0.45810,0.84530,100.00000,45.17390,60.35590,32.63420,32.63420,0.02580,4.07590,22.08120,1.59480,1.59480,0.84200,0.86420,15.04090,-4.5348,-4.5348
2014-09-30,9.26500,9.26500,3.81700,4.04300,0.52000,4.56300,4.56300,4.56300,4.56300,5.19000,5.44800,14.98300,14.98300,0.31000,0.31000,0.50320,0.34190,0.51960,100.00000,43.63730,58.80190,49.24990,49.24990,0.02300,5.04900,17.82520,2.00940,2.00940,1.13500,1.32230,15.15600,1.3892,1.3892
2014-06-30,9.01800,9.01800,3.63900,3.99300,1.02400,5.01700,5.01700,5.01700,5.01700,5.34100,5.37900,14.98300,14.98300,0.34000,0.34000,1.46410,0.35790,0.55740,100.00000,44.27810,59.64740,55.63320,55.63320,0.02480,4.45110,20.21960,2.20200,2.20200,1.37870,1.41390,15.20650,-3.717,-3.717
2014-03-31,8.25000,8.25000,2.90500,3.99000,2.38000,6.37000,6.37000,6.37000,6.37000,5.28900,5.34500,14.98300,14.98300,0.43000,0.36000,2.13730,0.27140,0.37260,100.00000,48.36360,64.78790,77.21210,77.21210,0.02480,4.31710,20.84730,2.79210,2.79210,1.91280,2.03420,15.22670,-2.46540,-2.46540
2013-12-31,8.61500,8.61500,3.17400,4.16900,2.16600,6.33500,6.33500,6.33500,6.33500,4.74400,5.44100,14.97100,14.97100,0.43000,0.43000,2.63480,0.32640,0.48460,100.00000,48.39240,63.15730,73.53450,73.53450,0.02300,5.43530,16.55830,2.79070,2.79070,1.69320,1.87980,15.15670,0.7319,0.7319
2013-09-30,11.12200,11.12200,3.43700,6.28200,-0.26200,6.02000,6.02000,6.02000,6.02000,7.46000,7.68500,14.97700,14.97700,0.40000,0.40000,3.19320,0.27330,0.37610,100.00000,56.48260,69.09730,54.12700,54.12700,0.03150,5.56660,16.16800,2.66390,2.66390,1.70500,1.93580,15.08860,0.2291,0.2291
2013-06-30,9.49800,9.49800,3.34400,4.85000,-1.68300,3.16700,3.16700,3.16700,3.16700,6.14700,6.15400,14.96600,14.96600,0.21000,0.21000,8.91830,0.33080,0.49420,100.00000,51.06340,64.79260,33.34390,33.34390,0.02730,2.31550,38.86920,1.40690,1.40690,0.90900,0.94160,15.04060,-0.6586,-0.6586
2013-03-31,8.38200,8.38200,3.01100,4.00900,-0.50100,3.50800,3.50800,3.50800,3.50800,5.22700,5.37100,14.96600,14.96600,0.23000,0.23000,14.35940,0.38330,0.62160,100.00000,47.82870,64.07780,41.85160,41.85160,0.02220,2.04090,44.09810,1.54370,1.54370,0.92710,0.95200,15.18400,-1.19370,-1.19370
2012-12-31,15.94000,15.94000,1.08000,14.86000,-6.88000,7.97000,7.97000,7.97000,7.97000,9.75400,14.86000,,,,0.00000,63.56350,0.38140,0.61670,100.00000,93.22460,93.22460,50.00000,50.00000,0.04270,10.81410,8.32250,3.47960,3.47960,2.13510,2.15230,15.30460,0,0
2012-09-30,10.21300,10.21300,-0.09700,10.31000,1.02000,11.33000,11.33000,11.33000,11.33000,9.56400,10.31000,,,,0.00000,,,,100.00000,100.94980,100.94980,110.93700,110.93700,,,,,,,,,0,0
2012-06-30,9.50000,9.50000,0.14400,9.35600,1.89000,11.24600,11.24600,11.24600,11.24600,8.98500,9.35600,,,,0.00000,,,,100.00000,98.48420,98.48420,118.37900,118.37900,,,,,,,,,0,0
2012-03-31,9.14900,9.14900,0.33900,8.81000,0.20000,9.01000,9.01000,9.01000,9.01000,8.14300,8.81000,,,,0.00000,,,,100.00000,96.29470,96.29470,98.48070,98.48070,,,,,,,,,0.00000,
