Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2020-09-30,0.68000,0.68000,33.54500,9.84300,,-42.70800,-2.47200,-45.18000,-7.86500,-37.31500,-37.31500,-37.31500,-41.24000,-42.70800,52.09400,52.09400,-0.72000,-0.72000,7.42840,,,100.00000,-6280.58800,-6280.58800,-6644.11800,-5487.50000,0.00210,-15.75730,-15.76880,-11.76840,-15.75730,4.52800,-0.7489,-0.8265
2020-06-30,0.29300,0.29300,31.32800,8.50900,,-39.54400,0.47800,-39.06600,-7.02100,-32.04500,-32.04500,-32.04500,-38.27700,-39.54400,52.04130,52.04130,-0.62000,-0.62000,9.12210,,,100.00000,-13496.25000,-13496.25000,-13333.11000,-10936.86000,0.00090,-12.37490,-12.38380,-10.31890,-12.37490,4.95600,-0.4973,-0.5436
2020-03-31,0.33800,0.33800,31.28700,7.61400,,-38.56300,4.99400,-33.56900,-3.69600,-29.87300,-29.87300,-29.87300,-37.30200,-38.56300,49.86000,49.86000,-0.60000,-0.60000,10.78430,,,100.00000,-11409.17000,-11409.17000,-9931.65600,-8838.16500,0.00100,-10.39140,-10.39920,-8.84700,-10.39140,5.50220,-0.48200,-0.53490
2019-12-31,0.30900,0.30900,29.37000,9.92100,,-43.08400,-1.72600,-44.81000,-3.86600,-40.94400,-40.94400,-40.94400,-41.79500,-43.08400,43.06600,43.06600,-0.93000,-0.93000,9.97660,,,100.00000,-13943.04000,-13943.04000,-14501.62000,-13250.49000,0.00100,-16.06660,-16.08270,-13.48910,-16.06660,5.66520,-0.8237,-0.8732
2019-09-30,0.29700,0.29700,27.31000,8.60500,,-35.61800,3.77200,-31.84600,-4.59800,-27.24800,-27.24800,-27.24800,-34.47600,-35.61800,44.50540,44.50540,-0.61000,-0.61000,12.65300,,,100.00000,-11992.59000,-11992.59000,-10722.56000,-9174.41100,0.00090,-10.10530,-10.10530,-8.66000,-10.10530,5.99440,-0.5301,-0.609
2019-06-30,0.33800,0.33800,26.17300,11.37000,,-37.20500,5.45300,-31.75200,-3.27400,-28.47800,-28.47800,-28.47800,-36.66400,-37.20500,43.61200,43.61200,-0.65000,-0.65000,13.12300,,,100.00000,-11007.40000,-11007.40000,-9394.08300,-8425.44400,0.00100,-9.54930,-9.54930,-8.22720,-9.54930,6.62980,-0.3309,-0.4427
2019-03-31,1.96400,1.96400,22.56500,9.55600,,-30.15700,-0.44300,-30.60000,-3.42100,-27.17900,-27.17900,-27.17900,-28.51800,-30.15700,39.47100,39.47100,-0.69000,-0.69000,10.66460,,,100.00000,-1535.48900,-1535.48900,-1558.04500,-1383.85900,0.00740,-12.47410,-12.47410,-10.28120,-12.47410,5.42710,-0.67180,-0.85750
2018-12-31,0.29600,0.29600,-56.64000,-19.70600,,76.64200,-6.00600,43.11000,5.88300,37.22700,-20.64800,-20.64800,75.30100,76.64200,39.36700,39.36700,-0.52000,-0.52000,11.05360,0.00090,0.00090,-766.55410,25892.57000,25892.57000,14564.19000,-6975.67600,0.00120,-8.87540,-8.87540,-8.12240,-8.86760,5.79490,0.5799,0.793
2018-09-30,0.30700,0.30700,10.09600,7.27300,,-17.06200,2.00200,-15.06000,-2.20000,-12.86000,-12.86000,-12.86000,-16.64300,-17.06200,39.21400,39.21400,-0.33000,-0.33000,15.13540,0.00090,0.00090,100.00000,-5557.65500,-5557.65500,-4905.53800,-4188.92500,0.00110,-5.03400,-5.04180,-4.70720,-5.02970,,-0.0908,-0.1184
2018-06-30,0.44300,0.44300,8.86300,8.10300,,-16.52300,6.65600,-9.86700,-2.21700,-7.65000,-7.65000,-7.65000,-16.00500,-16.52300,29.38600,29.38600,-0.26000,-0.26000,,,,100.00000,-3729.79700,-3729.79700,-2227.31400,-1726.86200,,,,,,,-0.2071,-0.2213
2018-03-31,0.42600,0.42600,11.62700,4.33000,,-15.53100,-2.65200,-18.18300,-1.46600,-16.71700,-16.71700,-16.71700,-15.12700,-15.53100,28.83300,28.83300,-0.58000,-0.58000,,,,100.00000,-3645.77500,-3645.77500,-4268.31000,-3924.17800,,,,,,,-0.28200,-0.45330
2017-09-30,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
