Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,,,,1.70600,1.47000,,,-3.17600,-0.01300,-3.18900,-3.18900,-3.18900,,-3.18900,-3.15500,-3.17600,7.10800,7.10800,-0.45000,-0.45000,7.61310,,,,,,,,,,,-27.44170,-27.44170,-23.30800,-27.44170,1.63490,-0.42300,-0.42530
2021-12-31,,,,2.25600,1.68100,,,-3.93700,0.07800,-3.85900,-3.85900,-3.85900,,-3.85900,-3.90900,-3.93700,7.10800,7.10800,-0.54000,-0.54000,8.00350,,,,,,,,,,,-26.83400,-26.83400,-23.01550,-26.83400,2.02320,-0.4062,-0.4124
2021-09-30,,,,1.38900,1.16300,,,-2.55200,-0.00300,-2.55500,-2.55500,-2.55500,,-2.55500,-2.53600,-2.55200,7.10800,7.10800,-0.36000,-0.36000,13.46810,,,,,,,,,,,-14.29770,-14.29770,-12.96890,-14.29770,2.51410,-0.3061,-0.3081
2021-06-30,,,,1.38900,1.08700,,,-2.47600,-0.03500,-2.51100,-2.51100,-2.51100,,-2.51100,-2.46200,-2.47600,7.10800,7.10800,-0.35000,-0.35000,17.40950,,,,,,,,,,,-12.48140,-12.48140,-11.48410,-12.48140,2.83030,-0.3232,-0.324
2021-03-31,,,,1.11900,1.27300,,,-2.39200,0.00400,-2.38800,-2.38800,-2.38800,,-2.38800,-2.37400,-2.39200,7.10800,7.10800,-0.34000,-0.34000,18.20160,,,,,,,,,,,-10.69410,-10.69410,-9.88000,-10.69410,3.14150,-0.28050,-0.28120
2020-12-31,,,,0.99900,1.62800,,,-2.62700,-0.01000,-2.63700,-2.63700,-2.63700,,-2.63700,-2.61200,-2.62700,7.11800,7.11800,-0.37000,-0.37000,18.77550,,,,,,,,,,,-10.84830,-10.84830,-10.03460,-10.84830,3.41980,-0.2614,-0.2625
2020-09-30,,,,1.03700,1.37800,,,-2.41500,-0.05700,-2.47200,-2.47200,-2.47200,,-2.47200,-2.39600,-2.41500,7.10600,7.10600,-0.35000,-0.35000,29.31880,,,,,,,,,,,-9.33680,-9.33680,-8.82100,-9.33680,3.68750,-0.2382,-0.2392
2020-06-30,,,,0.66900,1.21500,,,-1.88400,0.02900,-1.85500,-1.85500,-1.85500,,-1.85500,-1.86700,-1.88400,7.10300,7.10300,-0.26000,-0.26000,33.80490,,,,,,,,,,,-6.53420,-6.53420,-6.20260,-6.53420,3.99680,-0.1913,-0.1925
2020-03-31,,,,0.69100,1.47200,,,-2.16300,-0.04200,-2.20500,-2.20500,-2.20500,,-2.20500,-2.14600,-2.16300,7.15400,7.15400,-0.31000,-0.31000,32.47360,,,,,,,,,,,-7.42970,-7.42970,-7.04520,-7.42970,4.17820,-0.32790,-0.33740
2019-12-31,,,,0.87700,1.11100,,,-1.98800,0.11800,-1.87000,-1.87000,-1.87000,,-1.87000,-1.94100,-1.98800,4.26700,4.26700,-0.42000,-0.42000,7.44630,,,,,,,,,,,-5.92900,-5.92900,-5.03690,-5.92900,4.38910,-0.46,-0.45
2019-09-30,,,,0.84300,0.94800,,,-1.79100,-0.08300,-1.87400,-1.87400,-1.87400,,-1.87400,-1.77200,-1.79100,4.30800,4.30800,-0.44000,-0.44000,2.28520,,,,,,,,,,,-29.26750,-29.26750,-16.84800,-29.26750,1.48630,-0.3089,-0.3089
2019-06-30,,,,0.74100,0.80400,,,-1.54500,0.00300,-1.54200,-1.54200,-1.54200,,-1.54200,-1.53800,-1.54500,4.30770,4.30770,-0.36000,-0.36000,2.68930,,,,,,,,,,,-19.32090,-19.32090,-12.26240,-19.32090,1.85260,-0.0765,-0.0765
2019-03-31,,,,0.58700,1.32900,,,-1.91600,-0.04500,-1.96100,-1.96100,-1.96100,,-1.96100,-1.90500,-1.91600,4.08600,4.08600,-0.48000,-0.48000,2.95710,,,,,,,,,,,-21.25060,-21.25050,-14.10080,-21.25050,2.14210,-0.66640,-0.66640
2018-12-31,,,,0.64900,1.43500,,,-2.08400,-0.04200,-2.12600,-2.12600,-2.12600,,-2.12600,-2.07900,-2.08400,2.90400,2.90400,-0.65000,-0.65000,1.22500,,,,,,,,,,,-159.85010,-159.84960,-34.90970,-159.84960,0.44160,-0.514,-0.5098
2018-09-30,,,,0.62300,1.13000,,,-1.75300,-0.00500,-1.75800,-1.75800,-1.75800,,-1.75800,-1.72700,-1.75300,2.94800,2.94800,-0.60000,-0.60000,12.29440,,,,,,,,,,,-26.77430,-26.77430,-24.66330,-26.77430,2.20630,-0.4238,-0.4263
2018-06-30,,,,0.74700,1.14500,,,-1.89200,-0.00200,-1.89400,-1.89400,-1.89400,,-1.89400,-1.87900,-1.89200,2.85500,2.85500,-0.66000,-0.66000,14.31210,,,,,,,,,,,-23.68090,-23.68090,-22.04380,-23.68090,2.74260,-0.4587,-0.4891
2018-03-31,,,,0.49600,1.01900,,,-1.51500,0.03300,-1.48200,-1.48200,-1.48200,,-1.48200,-1.50500,-1.51500,2.76400,2.76400,-0.50000,-0.50000,20.68590,,,,,,,,,,,-15.74750,-15.74750,-14.97880,-15.74750,3.34970,-0.43200,-0.48010
2017-12-31,,,,0.20000,1.33700,,,-1.53700,-0.05000,-1.58700,-1.58700,-1.58700,,-0.00500,-1.53100,-1.53700,2.17900,2.17900,-0.36100,-0.36100,20.70080,,,,,,,,,,,-15.16630,-15.16630,-14.40110,-15.16630,3.82720,-0.74,-0.755
2017-09-30,,,,0.33900,0.89600,,,-1.23500,0.04800,-1.18700,-1.18700,-1.18700,,-1.18700,-1.23200,-1.23500,2.38300,2.38300,-0.45000,-0.45000,24.06510,,,,,,,,,,,-10.10390,-10.10390,-9.65510,-10.10390,4.75970,-0.3564,-0.3537
2017-06-30,,,,0.37700,0.88500,,,-1.26200,-2.24600,-3.50800,-3.50800,-3.50800,,-3.50800,-1.25600,-1.26200,1.94150,1.94150,-1.34930,-1.34930,17.73830,,,,,,,,,,,-27.16640,-27.16640,-25.57040,-27.16640,5.64340,-0.7095,-0.7118
2017-03-31,,,,0.18400,1.04900,,,-1.23300,-0.07400,-1.30700,-1.30700,-1.30700,,-1.30700,-1.22700,-1.23300,1.81500,1.81500,-0.59970,-0.59970,6.85570,0.05290,0.05580,,,,,,,,,-29.77900,-29.77900,-23.02270,-28.20460,2.41470,-0.42260,-0.43470
2016-12-31,,,,0.29800,8.28900,,,-8.58700,0.01600,-8.57100,-8.57100,-8.57100,,-4.61700,-8.84500,-8.58700,0.95340,0.95340,-4.49780,-4.49780,4.23370,0.03350,0.03460,,,,,,,,,-390.30050,-390.30050,-254.48340,-377.24470,1.24000,0.0479,0.0217
2016-09-30,,,,0.34000,0.30500,,,-0.64500,-0.00700,-0.65200,-0.65200,-0.65200,,-0.65200,-0.38300,-0.64500,0.87930,0.87930,-1.19940,-1.19940,0.60660,,-0.94260,,,,,,,,,30.72990,30.17740,-30.40540,30.72960,-17.60880,-0.556,-0.556
2016-06-30,,,,0.04400,0.07400,,,-0.11800,-0.04600,-0.16400,-0.16400,-0.16400,,-0.16400,-0.11600,-0.11800,1.09390,1.09390,-0.14990,-0.14990,0.46170,,,,,,,,,,,3.35480,3.32840,-2.59300,3.35480,-56.24360,-0.1571,-0.1571
2016-03-31,,,,0.21900,0.06600,,,-0.28500,0.00900,-0.27600,-0.27600,-0.27600,,-0.27600,-0.28100,-0.28500,1.84090,1.84090,-0.14990,-0.14990,1.62250,4.29910,-1.35780,,,,,,,,,4.02760,4.00290,-1.58450,-13.28750,-79.70500,-0.15920,-0.15920
2015-12-31,,,,-20.42790,-6.96620,,,27.39410,-0.77180,26.53410,26.53410,26.53410,,26.89410,26.47150,27.30590,0.87930,0.87930,506.79740,506.79740,2.82180,1.18030,-6.54690,,,,,,,,,-17572.22000,-41459.46000,5015.89100,7474.38400,-0.07280,353.6657,366.1513
2015-09-30,0.03700,,0.03700,7.71970,2.30520,,,-9.98790,0.34530,-9.64260,-9.64260,-9.64260,,-9.64260,-9.66930,-9.98790,0.06700,0.06700,-144.39230,-144.39230,2.31160,0.55680,1.60480,100.00000,-26972.54000,-26972.54000,-26040.09000,-26040.09000,0.00130,0.26210,343.35130,-135.64040,-141.49900,-33.97450,-60.11030,106.05610,-74.1225,-79.6768
2015-06-30,0.03010,,0.03010,7.23900,2.06370,,,-9.27260,0.81090,-8.46170,-8.46170,-8.46170,,-8.46170,-8.96350,-9.27260,0.05880,0.05880,-144.39230,-144.39230,3.22540,0.36930,0.81450,100.00000,-30774.23000,-30774.23000,-28083.08000,-28083.08000,0.00080,0.15990,562.98460,-55.45140,-56.62080,-22.88120,-34.97050,228.61420,-72.0232,-77.2473
2015-03-31,0.02100,,0.02100,6.29220,2.68920,,,-8.96040,-0.39030,-9.35070,-9.35070,-9.35070,,-9.35070,-8.64860,-8.96040,0.04270,0.04270,-218.61260,-218.61260,1.66970,1.33840,-5.71000,100.00000,-42674.62000,-42674.62000,-44533.51000,-44533.51000,0.00100,0.11420,788.40970,398.55140,348.62240,-44.00530,-134.85050,-54.83580,-208.39000,-210.09950
2014-12-31,0.88290,,0.88290,6.63720,3.97480,,,-9.72910,-0.37870,-10.10780,-10.10780,-10.10780,-0.14080,-10.24860,-6.92650,-9.72910,0.03800,0.03800,-210.60000,-210.60000,2.30550,0.63790,2.56350,100.00000,-1101.92300,-1101.92300,-1144.81300,-1160.76000,0.02720,2.12430,42.36710,-172.17230,-183.31560,-31.17120,-62.33990,138.37700,-208.8318,-217.9365
2014-09-30,0.08240,,0.08240,4.39690,2.06510,,,-6.37960,3.76000,-2.61960,-2.61960,-2.61960,-0.13760,-2.75720,-6.00330,-6.37960,0.04110,0.04110,-64.80000,-64.80000,4.26500,0.43380,1.01640,100.00000,-7741.64900,-7741.64900,-3178.88700,-3345.85600,0.00190,0.33720,266.88410,-16.63710,-21.70720,-6.12480,-9.42040,371.50720,-95.1963,-99.2153
2014-06-30,0.02350,,0.02350,5.83930,2.14370,,,-7.95950,-4.01120,-11.97070,-11.97070,-11.97070,-0.14450,-12.11520,-7.55980,-7.95950,0.03440,0.03440,-356.40010,-356.40010,2.27840,1.29630,-5.89740,100.00000,-33900.52000,-33900.52000,-50984.86000,-51600.26000,0.00080,0.10540,853.76370,470.71560,184.80190,-42.20950,-139.48680,-72.31940,-224.6683,-228.4673
2014-03-31,0.02360,,0.02360,4.62970,2.23600,,,-6.84210,-0.72040,-7.56250,-7.56250,-7.56250,-0.05770,-7.62030,-6.43340,-6.84210,0.03420,0.03420,-226.80000,-226.80000,3.25140,0.61280,2.08420,100.00000,-29011.63000,-29011.63000,-32066.35000,-32311.12000,0.00060,0.11110,810.37010,-98.75580,-201.95160,-20.53350,-38.23640,223.85200,-190.48540,-197.23810
2013-12-31,0.04500,,0.04500,5.64200,3.69900,,,-9.29600,2.44800,-6.84800,-6.84800,-6.84800,-0.11500,-6.96300,-9.18790,-9.29600,0.03350,0.03350,-210.60000,-210.60000,3.48660,0.38280,0.87500,100.00000,-20657.78000,-20657.78000,-15217.78000,-15473.33000,0.00110,0.07560,1190.07400,-45.79460,-62.37530,-16.47850,-28.26480,439.35250,-54.032,-15.993
2013-09-30,0.32480,0.08570,0.23900,5.18440,1.71070,,6.89520,-6.65610,-0.53560,-7.19170,-7.19170,-7.19170,,-7.19170,-5.97950,-6.65610,0.02560,0.02560,-275.40010,-275.40010,2.75340,0.73550,3.84820,73.60070,-2049.33200,-2049.33200,-2214.23400,-2214.23300,0.01010,0.52640,170.98290,-201.96370,8415.13900,-22.25380,-53.42520,137.20170,-216.9378,-296.4236
2013-06-30,0.28170,0.07760,0.20410,4.80490,1.58150,-0.03900,6.42540,-6.22130,0.35260,-5.86870,-5.86870,-5.86870,,-5.86870,-5.89780,-6.22130,0.02450,0.02450,-243.00010,-243.00010,3.32350,0.44430,1.12280,72.46230,-2208.49500,-2208.49500,-2083.33200,-2083.33100,0.00830,0.57850,155.58020,-67.00960,-111.81030,-17.23440,-37.23610,343.86670,-144.3797,-229.7553
2013-03-31,0.28420,0.06680,0.21740,4.56390,1.88780,-0.02290,6.47450,-6.25710,-0.15930,-6.41640,-6.41640,-6.41640,,-6.41640,-6.01760,-6.25710,0.02360,0.02360,-275.40010,-275.40010,4.97440,0.00800,0.02930,76.48100,-2201.67000,-2201.67000,-2257.72200,-2257.72200,0.01150,0.90850,99.06970,-62.85570,-96.67800,-25.91020,-62.35420,425.25560,-281.63880,-293.55350
2012-12-31,0.21100,0.05500,0.15600,4.68100,2.11100,-0.15700,6.94900,-6.79300,4.03400,-2.75900,-2.75900,-2.75900,,-2.75900,-6.56080,-6.79300,0.02300,0.02300,-113.40000,-113.40000,4.71660,0.00970,0.02510,73.93370,-3219.43100,-3219.43100,-1307.58300,-1307.58300,0.00700,0.67860,132.63140,-19.72890,-27.10670,-9.14480,-19.53650,604.03890,-61.1832,-63.3017
2012-09-30,0.26400,0.07190,0.19210,3.47810,1.63640,-0.15470,5.26930,-5.07720,-11.25960,-16.33680,-16.33680,-16.33680,,-16.33680,-4.83880,-5.07720,0.01860,0.01860,-874.80020,-874.80020,5.73440,0.02050,0.04360,72.76800,-1923.22500,-1923.22500,-6188.29500,-6188.29500,0.00890,0.82510,109.07290,-177.11990,-303.71370,-55.08500,-173.48700,426.69960,-103.0568,-102.9746
2012-06-30,0.24880,0.06430,0.18460,3.74910,1.77530,-0.00990,5.53430,-5.34980,6.18330,0.83350,0.83350,0.83350,,0.83350,-5.10000,-5.34980,0.01530,0.01530,48.60000,48.60000,2.43370,0.04130,0.08020,74.16870,-2149.92800,-2149.92800,334.97130,334.97110,0.01470,0.79750,112.85250,15.53730,53.63360,4.91650,14.89520,342.45300,-302.4162,-303.2544
2012-03-31,0.64400,0.07200,0.57210,3.93840,1.92430,-0.03520,5.89780,-5.32580,-4.90360,-10.22940,-10.22940,-10.22940,,-10.22940,-5.05440,-5.32580,0.01420,0.01420,-729.00020,-729.00020,2.71300,0.12300,0.23740,88.82690,-826.94040,-826.94040,-1588.33300,-1588.33300,0.03230,2.01340,44.70050,-509.90580,527.78870,-51.29110,-447.20990,138.62010,-397.32130,-397.62470
2011-12-31,0.54150,0.04740,0.49410,4.83390,2.29020,-0.02840,7.80740,-7.31330,0.10160,-7.21180,-7.21180,-7.21180,,-7.21180,-6.36760,-7.31330,0.00880,0.00880,-777.60010,-777.60010,3.07580,0.03000,0.05040,91.24300,-1350.51500,-1350.51500,-1331.76200,-1331.76200,0.02150,2.02040,44.54580,-67.24190,-105.76520,-28.61180,-65.22710,774.68820,-570.616,-571.181
2011-09-30,0.22360,0.06050,0.16310,4.52430,1.73320,-0.06870,6.32630,-6.16320,1.82880,-4.33440,-4.33440,-4.33440,,-4.33440,-5.85830,-6.16320,0.00860,0.00860,-502.20010,-502.20010,2.49190,0.02590,0.04320,72.94060,-2756.51100,-2756.51100,-1938.56100,-1938.56100,0.01000,0.37010,243.20200,-31.01480,-46.60310,-19.29820,-30.21180,1584.97100,-406.783,-431.419
2011-06-30,0.23410,0.05240,0.18170,5.05380,2.10330,-0.11490,7.27200,-7.09030,3.05510,-4.03520,-4.03520,-4.03520,,-4.03520,-6.78310,-7.09030,0.00850,0.00850,-469.80010,-469.80010,3.68150,0.02490,0.03950,77.63110,-3028.77900,-3028.77900,-1723.72700,-1723.72700,0.00890,0.45390,198.27820,-23.93140,-33.70580,-15.33050,-23.33630,1969.97500,-662.7513,-673.6804
2011-03-31,0.22150,0.05450,0.16690,5.52570,2.07570,-0.07510,7.67660,-7.50960,1.76240,-5.74720,-5.74720,-5.74720,,-5.74720,-7.20460,-7.50960,0.00840,0.00840,-680.40010,-680.40010,5.23080,0.02320,0.03620,75.38050,-3390.84400,-3390.84400,-2595.07500,-2595.07500,0.00690,0.72000,124.99710,-28.66930,-38.13440,-17.82270,-28.00410,2357.67200,-878.48670,-876.26160
2010-12-31,0.69900,0.07000,0.62900,5.93000,2.42000,0.06920,8.35000,-7.72100,-1.26000,-8.96000,-8.96000,-8.95700,0.00000,-8.95700,-7.37010,-7.72100,0.00780,0.00780,-1134.00000,-1134.00000,3.82960,0.03370,0.05070,92.99000,-1104.57800,-1104.57800,-1281.83100,-1281.40200,0.02280,2.58860,34.76830,-57.85940,-84.44880,-29.26970,-55.90750,1969.88600,-638.159,-658.351
2010-09-30,0.25350,0.03590,0.21760,5.20060,2.01790,,7.21850,-7.00090,1.44860,-5.55230,-5.55230,-5.55230,,-5.55230,-6.62170,-7.00090,0.00780,0.00780,-712.80020,-712.80020,5.53780,0.02470,0.03520,85.83380,-2761.48100,-2761.48100,-2190.07500,-2190.07500,0.00710,1.49130,60.35050,-23.81920,-30.49020,-15.44440,-23.23120,,-648.304,-677.286
2010-06-30,0.24410,0.02490,0.21930,4.85820,2.28670,-0.12580,7.27070,-7.05150,2.44110,-4.61030,-4.61030,-4.61030,,-4.61030,-6.67990,-7.05150,0.00740,0.00740,-615.60020,-615.60020,6.52640,0.02310,0.03150,89.81610,-2888.39600,-2888.39600,-1888.47300,-1888.47300,0.00580,0.46060,195.38690,-16.48910,-20.07990,-10.87600,-16.10880,,-793.784,-851.818
2010-03-31,0.23030,0.04380,0.18650,5.03750,2.58470,-0.16530,7.78760,-7.60110,1.47700,-6.12410,-6.12410,-6.12410,,-6.12410,-7.18280,-7.60110,0.00730,0.00730,-810.00020,-810.00020,6.57860,0.02690,0.03620,80.99560,-3300.90000,-3300.90000,-2659.48500,-2659.48500,0.00540,0.52330,171.96980,-23.81980,-29.81540,-14.24540,-23.17090,,-1063.34300,-1074.08400
2009-12-31,0.30800,0.07000,0.23800,5.67000,3.00000,,8.67000,-8.43200,3.02000,-5.24000,-5.24000,-5.23400,0.00000,-5.23400,-7.96200,-8.43200,0.00710,0.00710,-810.00000,-810.00000,6.14700,0.02460,0.03250,120.12990,-2737.66200,-2737.66200,-1701.29900,-1699.35100,0.00600,0.40530,222.07790,-17.16630,-21.07090,-10.22470,-16.74340,,-716.354,-743.305
2009-09-30,0.25300,0.14000,0.11300,4.98000,2.11000,,7.09000,-6.97700,1.85000,-5.14000,-5.14000,-5.14500,0.00000,-5.14500,-6.50700,-6.97700,0.00670,0.00670,-810.00000,-810.00000,6.03530,0.03220,0.04200,43.47830,-2757.70800,-2757.70800,-2031.62100,-2033.59700,0.00560,0.93700,96.04740,-20.40050,-25.93250,-11.45370,-19.74290,,-855.087,-868.266
2009-06-30,0.26500,0.05000,0.21500,5.05000,2.54000,,7.59000,-7.37500,0.03000,-7.36000,-7.36000,-7.36600,0.00000,-7.36600,-6.91500,-7.37500,0.00650,0.00650,-1134.00000,-1134.00000,6.17690,0.03230,0.04170,75.47170,-2783.01900,-2783.01900,-2777.35900,-2779.62300,0.00540,1.32500,67.92450,-27.63980,-35.02620,-15.01120,-26.75630,,-924.954,-937.653
2009-03-31,0.05600,,0.05600,4.23000,2.53000,,,-6.70400,-2.55000,-9.28000,-9.28000,-9.28200,0.00000,-9.28200,-6.41400,-6.70400,0.00590,0.00590,-1620.00000,-1620.00000,6.89920,0.04330,0.05560,89.28570,-11971.43000,-11971.43000,-16571.43000,-16575.00000,0.00130,0.50910,176.78570,-45.67910,-47.06900,-22.01610,-43.68000,,-979.66100,-1025.42400
