Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,45.37350,10.54080,34.83270,2.15510,-0.35000,6.22630,28.60650,1.32980,29.93630,29.93630,,29.93630,,29.93630,31.19290,28.60650,7.22200,7.25500,4.15000,4.13000,1.31730,0.41900,1.03950,76.76880,63.04660,63.04660,65.97740,65.97740,0.18770,5.62240,19.92070,4.51790,27.97580,27.97580,12.38280,16.25290,14.66860,4.16580,4.11010
2021-12-31,38.25170,9.53920,28.71250,2.33950,0.00180,4.75130,23.96120,-1.19810,22.76310,22.76310,,22.76310,,22.76290,26.21810,23.96120,6.97690,6.99340,3.24000,3.25000,0.88550,0.53660,1.53580,75.06200,62.64090,62.64090,59.50890,59.50830,0.17280,4.19410,12.76070,7.05290,29.61750,29.61750,10.28050,13.72410,10.53620,3.8111,3.8975
2021-09-30,23.04010,10.61020,12.42990,1.79750,,3.39400,9.03580,-0.57180,8.46400,8.46400,,8.46400,,8.46400,10.68380,9.03580,7.19900,7.19900,1.18000,1.17000,0.50730,0.45140,1.09700,53.94900,39.21790,39.21790,36.73610,36.73610,0.19200,6.18460,8.38600,10.73220,15.67450,15.67450,7.05190,8.59830,7.45320,1.645,1.5915
2021-06-30,18.29070,7.23550,11.05510,1.80150,1.08000,2.31800,8.73710,-0.79060,7.94650,7.94650,,7.94650,,7.57030,10.38290,8.73710,6.77900,6.82600,1.12000,1.11000,0.73480,0.50620,1.35440,60.44150,47.76810,47.76810,43.44540,41.38910,0.16200,4.72890,4.50210,19.99080,17.44540,17.44540,7.03800,8.61410,6.28710,1.1234,1.1214
2021-03-31,14.30930,7.07400,7.23530,1.84740,0.20710,3.23680,3.99850,-0.20840,3.79010,3.79010,,3.79010,,3.56550,5.64430,3.99850,6.71100,6.74900,0.53000,0.53000,0.34130,0.53570,1.71380,50.56390,27.94330,27.94330,26.48680,24.91700,0.13100,4.31640,4.09580,21.97370,11.96970,10.03460,3.46900,4.65880,5.56100,0.94370,0.91280
2020-12-31,12.03340,7.65140,4.38200,2.01060,1.14770,2.46700,1.91500,-6.59050,-4.67560,-4.67560,,0.57510,,0.40650,3.35010,1.91500,5.75390,5.75390,0.05000,0.05000,0.33830,0.62840,2.53760,36.41540,15.91380,15.91380,-38.85500,3.37780,0.10880,4.60250,3.10170,29.01670,2.10400,1.62680,0.52010,0.78190,4.07440,0.1202,1.0323
2020-09-30,12.32820,8.63720,3.69100,2.09340,1.30500,2.40350,1.28760,-1.06870,0.21890,0.21890,,0.21890,,0.03330,2.68350,1.28760,5.70860,5.70860,0.01000,0.01000,0.38580,0.65320,2.33230,29.93960,10.44400,10.44400,1.77540,0.27030,0.10900,3.89950,4.62290,19.46850,0.90680,0.68070,0.19360,0.23610,5.54410,-0.4139,1.2154
2020-06-30,13.50870,9.42530,4.08340,2.09940,2.56700,1.19210,2.89130,-1.60100,1.29030,1.29030,,1.29030,,1.11080,4.29820,2.89130,5.57700,5.57700,0.20000,0.20000,0.60410,0.67930,2.68170,30.22780,21.40350,21.40350,9.55180,8.22290,0.10990,5.21980,3.49830,25.72700,5.52090,4.13490,1.04960,1.32600,5.57250,0.3492,0.3492
2020-03-31,15.43280,8.37620,7.05660,2.13120,,3.85830,3.19830,-1.24120,1.95710,1.95710,,1.95710,,1.79750,4.14010,3.19830,5.57700,5.57700,0.32000,0.32000,0.33690,0.69460,2.88140,45.72450,20.72390,20.72390,12.68140,11.64750,0.12230,4.53270,4.15330,21.66960,8.78340,6.53750,1.55090,1.99650,5.34580,0.36320,0.36320
2019-12-31,13.30560,9.71420,3.59140,1.70600,,3.19730,0.39410,-1.15390,-0.75980,-0.75980,,-0.75980,,-0.92110,1.26310,0.39410,2.86190,2.86190,0.33000,0.33000,0.25340,0.71970,3.18350,26.99200,2.96200,2.96200,-5.71060,-6.92290,0.10490,5.14200,5.82150,15.46000,-3.71480,-2.70320,-0.59890,-0.75760,5.01930,0.2388,-14.6164
2019-09-30,10.29840,6.96220,3.33630,1.60690,,2.69700,0.63920,-0.79640,-0.15720,-0.15720,,-0.15720,,-0.31850,1.58130,0.63920,3.28400,3.28400,-0.10000,-0.10000,0.49350,0.68160,2.57130,32.39570,6.20660,6.20660,-1.52680,-3.09320,0.11780,3.67290,4.38530,20.52320,-1.07850,-0.70720,-0.17980,-0.22520,5.07460,0.3591,-4.2552
2019-06-30,8.08150,5.57850,2.50300,1.43120,,2.22990,0.27310,-1.02270,-0.74960,-0.74960,,-0.74960,,-1.73220,1.19960,0.27310,1.54250,1.54250,-1.12000,-1.12000,0.53520,0.78930,4.28080,30.97200,3.37960,3.37960,-9.27530,-21.43410,0.14950,4.50720,5.55360,16.20580,-45.40590,-8.05530,-1.38680,-1.69700,5.94790,1.5032,1.5032
2019-03-31,8.33810,5.49850,2.83960,1.37170,,2.17040,0.66920,-0.68520,-0.01600,-0.01600,,-0.01600,,-0.48710,1.55330,0.66920,1.54250,1.54250,-0.32000,-0.32000,0.97120,0.58830,1.59370,34.05580,8.02570,8.02570,-0.19230,-5.84240,0.13320,4.43820,4.56520,19.71460,-0.47740,-0.07220,-0.02560,-0.02970,14.18580,-0.96880,-0.96880
2018-12-31,8.01840,5.49830,2.52010,1.31070,,2.10940,0.41070,-0.94810,-0.53740,-0.53740,,-0.53740,-1.24730,-2.02880,1.57040,0.41070,1.41500,1.41500,-5.42000,-5.42000,1.03460,0.58420,1.62050,31.42890,5.12190,5.12180,-6.70260,-25.30120,0.11980,3.22600,2.68160,33.56150,-14.06700,-2.38040,-0.80270,-0.98990,14.43610,-2.2682,-2.322
2018-09-30,8.34900,6.22240,2.12660,1.47900,,2.27770,-0.15110,-0.74670,-0.89780,-0.89780,,-0.89780,1.41540,0.27660,0.80100,-0.15110,1.39800,1.39800,4.24000,4.24000,0.66690,0.55550,1.42260,25.47120,-1.80970,-1.80970,-10.75300,3.31340,0.13250,4.96840,2.88080,31.24100,-33.13290,-4.23020,-1.42530,-1.88040,15.05980,-2.6006,-2.6206
2018-06-30,9.75060,5.86740,3.88320,1.53450,1.34100,1.03530,2.84790,-0.65310,2.19480,2.19480,,2.19480,0.38640,2.19050,3.84050,2.84790,1.39180,1.39180,1.52000,1.52000,0.53220,0.46900,1.38520,39.82550,29.20770,29.20770,22.50930,22.46530,0.14480,5.31210,5.00480,17.98270,57.04570,9.92240,3.25960,5.26830,15.69610,1.9236,6.4171
2018-03-31,8.30660,6.43400,1.87260,1.77750,,2.64420,-0.77160,-0.65140,-1.42300,-1.42300,,-1.42300,,-1.88300,0.21670,-0.77160,1.39180,1.39180,-1.36000,-1.36000,0.48440,0.38680,0.87050,22.54370,-9.28870,-9.28870,-17.13070,-22.66880,0.05140,3.72370,2.09080,43.04500,-3.30440,-1.79810,-0.88010,-1.10260,56.15500,1.90290,1.90290
2017-12-31,-0.27240,0.66490,-0.93730,0.25480,0.78640,-2.19940,1.26210,0.49370,1.75570,1.75570,,1.75570,0.19880,1.49010,2.02170,1.26210,1.38350,1.38350,0.44800,0.44800,0.86780,0.26590,0.41330,344.04480,-463.24030,-463.24060,-644.44350,-546.94530,-0.00170,0.55730,-0.14720,-611.31960,3.76000,2.13310,1.08160,1.56590,58.40550,2.1011,-9.8499
2017-09-30,5.72890,4.04760,1.68130,1.21140,-4.59580,6.78730,-5.10600,-0.36850,-5.47450,-5.47450,,-5.47450,0.65090,-5.28220,-4.07420,-5.10600,1.38680,1.38680,-3.80800,-3.80800,1.02440,0.36130,0.73280,29.34710,-89.12660,-89.12660,-95.55900,-92.20230,0.03930,2.07880,2.28080,39.46070,-12.11540,-6.81450,-3.75300,-4.35220,57.51600,1.9769,-1.2302
2017-06-30,10.01040,6.17190,3.83850,1.81500,,3.97120,-0.13260,-0.90310,-1.03570,-1.03570,,-1.03570,,-1.48370,-0.35350,-0.13260,1.38280,1.38280,-1.04000,-1.04000,0.78420,0.37460,0.72990,38.34530,-1.32480,-1.32480,-10.34600,-14.82190,0.06560,4.51810,4.31100,20.87660,-2.05260,-1.21630,-0.67830,-0.76070,60.96130,-0.4884,-0.635
2017-03-31,8.29220,6.27070,2.02150,1.85360,0.51660,3.45470,-1.43320,-0.75670,-2.18980,-2.18980,,-2.18980,,-2.62760,0.75650,-1.43320,1.37490,1.37490,-1.92000,-1.92000,1.01110,0.35880,0.68990,24.37850,-17.28340,-17.28340,-26.40820,-31.68710,0.05520,5.99740,3.37590,26.65990,-4.21370,-2.54010,-1.45810,-1.62860,61.70110,0.06270,0.54180
2016-12-31,7.31240,5.23590,2.07660,1.59590,-3.84810,7.66220,-5.58570,-12.04330,-17.62890,-17.62890,,-17.62890,,-18.07080,-3.30880,-5.58570,1.02080,1.02080,-17.60000,-17.60000,0.93460,0.33540,0.59050,28.39760,-76.38590,-76.38590,-241.08100,-247.12400,0.05090,4.05480,3.17580,28.33900,-32.58170,-20.05300,-12.26840,-13.32710,64.66470,-1.0251,-27.8129
2016-09-30,7.22610,5.04540,2.18070,1.60250,-1.75380,5.54470,-3.36400,-1.19650,-4.56050,-4.56050,,-4.56050,,-4.99690,-0.74910,-3.36400,1.01740,1.01740,-4.88000,-4.88000,2.57970,0.31820,0.51940,30.17780,-46.55350,-46.55350,-63.11140,-69.15050,0.04590,3.74530,0.39280,229.11190,-6.76820,-4.52680,-2.89990,-3.08650,98.33490,0.1821,22.946
2016-06-30,7.33790,6.28480,1.05310,1.71220,-1.43770,5.39700,-4.34390,-14.84690,-19.19080,-19.19080,,-19.19080,,-19.61710,-2.06310,-4.34390,1.01310,1.01310,-19.36000,-19.36000,0.60620,0.28660,0.50600,14.35150,-59.19760,-59.19760,-261.52920,-267.33920,0.04510,6.96500,3.21630,27.98210,-26.54160,-18.23680,-11.78690,-13.00950,102.71470,-0.3415,1.6248
2016-03-31,6.54790,5.09230,1.45560,1.74140,,3.87580,-2.42030,-0.42070,-2.84090,-2.84090,,-2.84090,,-3.26200,-0.19130,-2.42030,1.01310,1.01310,-3.20000,-3.20000,0.62010,0.24860,0.43750,22.23010,-36.96250,-36.96250,-43.38740,-49.81830,0.03590,5.05490,2.99030,30.09720,-3.09300,-2.28460,-1.55830,-1.71660,121.38010,0.36920,-20.23650
2015-12-31,8.81470,6.76730,2.04740,1.76760,,5.33720,-3.28980,-0.65910,-3.94890,-3.94890,,-3.94890,,-4.36760,-0.86590,-3.28980,0.80140,0.80140,-4.16000,-4.16000,1.12180,0.16740,0.31650,23.22700,-37.32190,-37.32190,-44.79890,-49.54960,0.05120,4.61950,3.33930,26.95160,-4.15460,-3.10620,-2.29420,-2.58640,124.08770,-2.7033,20.3711
2015-09-30,11.31470,7.36990,3.94480,1.87660,,4.70140,-0.75670,-0.63620,-1.39290,-1.39290,,-1.39290,,-1.80480,2.10860,-0.75670,0.76750,0.76750,-2.32000,-2.32000,1.16750,0.19390,0.36490,34.86420,-6.68770,-6.68770,-12.31080,-15.95080,0.06130,5.21980,5.16470,17.42610,-1.40170,-1.06300,-0.75520,-0.85700,128.98550,1.2728,-3.3118
2015-06-30,9.36860,7.42130,1.94730,1.84170,,4.73210,-2.78490,-0.51730,-3.30210,-3.30210,,-3.30210,,-3.70890,0.14310,-2.78490,0.72300,0.72300,-5.12000,-5.12000,0.81360,0.20380,0.40780,20.78550,-29.72540,-29.72540,-35.24700,-39.58890,0.05270,5.07170,4.97370,18.09510,-3.63230,-2.70320,-1.85620,-2.15230,168.96060,0.9217,-8.4022
2015-03-31,8.18190,7.87100,0.31090,1.99240,,4.88300,-4.57210,-0.83200,-5.40400,-5.40400,,-5.40400,,-5.80580,-1.64410,-4.57210,0.72290,0.72290,-8.00000,-8.00000,0.75230,0.19570,0.41760,3.79930,-55.88010,-55.88010,-66.04870,-70.95890,0.04470,5.42370,3.65880,24.59810,-5.71850,-4.31140,-2.95380,-3.46780,173.38970,-2.02130,-2.02130
2014-12-31,11.54870,9.00710,2.54170,1.90430,,8.56030,-6.01870,-0.93370,-6.95240,-6.95240,,-6.95240,,-7.34920,-2.82510,-6.01870,0.68490,0.68490,-10.88000,-10.88000,1.22460,0.21010,0.41530,22.00830,-52.11550,-52.11550,-60.20060,-63.63640,0.06060,5.12080,3.80560,23.64970,-6.93840,-5.32170,-3.64800,-4.20370,182.85340,-2.8927,-34.0282
2014-09-30,9.94760,7.66280,2.28490,2.09550,,5.25140,-2.96660,-0.76970,-3.73630,-3.73630,,-3.73630,,-4.12820,0.22690,-2.96660,0.71390,0.71390,-5.76000,-5.76000,1.71890,0.23830,0.41790,22.96880,-29.82240,-29.82240,-37.55990,-41.49950,0.04870,2.92710,3.73980,24.06570,-3.47230,-2.71440,-1.83040,-2.06760,192.80500,-2.2941,-2.2941
2014-06-30,9.63910,8.52770,1.11140,2.20970,,5.18220,-4.07080,-0.94630,-5.01710,-5.01710,,-5.01710,,-5.40420,-1.06720,-4.07080,0.71110,0.71110,-7.60000,-7.60000,1.81870,0.24090,0.42080,11.53020,-42.23190,-42.23190,-52.04930,-56.06470,0.04600,4.37170,6.21680,14.47680,-4.49530,-3.55170,-2.39340,-2.69620,198.64770,4.512,4.512
2014-03-31,9.49890,6.02030,3.47850,2.19970,,5.05260,-1.57410,-0.63900,-2.21310,-2.21310,,-2.21310,,-2.47740,1.30970,-1.57410,0.59950,0.59950,-4.00000,-4.00000,3.09970,0.20680,0.35890,36.62060,-16.57120,-16.57120,-23.29840,-26.08150,0.04660,4.12540,7.01110,12.83690,-1.51450,-1.51450,-1.08570,-1.20130,205.49830,-0.39150,-0.39150
2013-12-31,9.67310,6.97600,2.69710,2.24110,-78.20750,87.88220,-85.18500,-0.93030,-86.11540,-86.11540,,-86.11540,,-86.11540,-77.72130,-85.18500,0.56800,0.56800,-151.68000,-151.68000,0.90110,0.23840,0.43590,27.88280,-880.63490,-880.63490,-890.25260,-890.25260,0.06180,4.73230,2.91360,30.88950,-82.24800,-82.24800,-54.98490,-62.63660,183.19370,2.5798,-7.9251
2013-09-30,8.99710,7.13700,1.86010,1.96220,1.25670,4.75380,-2.89370,-0.91490,-3.80860,-3.80860,,-3.80860,,-3.80860,1.18600,-2.89370,0.56890,0.56890,-6.40000,-6.40000,1.17950,0.15630,0.27290,20.67450,-32.16230,-32.16230,-42.33150,-42.33150,0.03620,4.52600,2.27060,39.63780,-1.99690,-1.99690,-1.53280,-1.68490,335.25780,-0.5685,6.0033
2013-06-30,9.57180,8.11380,1.45800,2.02380,-3.19170,9.43430,-7.97620,-0.89840,-8.87460,-8.87460,,-8.87460,,-8.87460,-3.72350,-7.97620,0.56650,0.56650,-16.00000,-16.00000,1.29110,0.15760,0.27740,15.23240,-83.33040,-83.33040,-92.71610,-92.71610,0.03740,4.22520,2.43640,36.94030,-4.54810,-4.54810,-3.46860,-3.83120,344.44310,2.2353,8.5357
2013-03-31,10.91160,8.31910,2.59260,2.20660,,6.48970,-3.89710,-0.72910,-4.62620,-4.62620,,-4.62620,,-4.62620,0.43620,-3.89710,0.56650,0.56650,-8.00000,-8.00000,1.67860,0.17850,0.29070,23.75960,-35.71540,-35.71540,-42.39730,-42.39730,0.04020,4.06450,2.13090,42.23650,-2.26190,-2.26190,-1.70320,-1.85800,361.04850,2.85140,2.85140
2012-12-31,12.39480,7.25790,5.13690,2.14460,0.00000,6.42760,-1.29080,-0.73090,-2.02170,-2.02170,,-2.02170,,-2.02170,3.02390,-1.29080,0.48690,0.48690,0.00000,0.00000,2.01500,0.17880,0.29380,41.44430,-10.41380,-10.41380,-16.31060,-16.31070,0.04450,4.00400,3.31830,27.12240,-0.96440,-0.96440,-0.72640,-0.79200,370.03730,6.1326,7.3416
2012-09-30,13.38150,6.86680,6.51470,2.10350,0.10150,6.28510,0.22960,-1.05600,-0.82640,-0.82640,,-0.82640,,-0.82640,4.55060,0.22960,0.56510,0.56510,-1.60000,-1.60000,2.11970,0.18770,0.30640,48.68440,1.71590,1.71590,-6.17590,-6.17580,0.04700,3.97740,3.16540,28.43240,-0.38950,-0.38950,-0.29000,-0.31640,,-3.5184,-6.2375
2012-06-30,12.78210,6.92980,5.85230,2.08460,,6.36770,-0.51540,-0.87500,-1.39030,-1.39030,,-1.39030,,-1.39030,3.80010,-0.51540,0.41510,0.41510,-3.20000,-3.20000,2.33470,0.20210,0.31410,45.78530,-4.03210,-4.03210,-10.87730,-10.87730,0.04410,4.25410,3.31330,27.16360,-0.65050,-0.65050,-0.47970,-0.51910,379.79910,8.1269,7.711
2012-03-31,13.92960,6.96680,6.96280,2.31280,-8.41510,15.26420,-8.30150,-0.65880,-8.96030,-8.96030,,-8.96030,,-8.96030,-3.73100,-8.30150,0.39890,0.39890,-22.40000,-22.40000,2.11550,0.22780,0.34910,49.98570,-59.59600,-59.59600,-64.32580,-64.32580,0.04960,3.62910,3.23410,27.82880,-4.44500,-4.44500,-3.18860,-3.43250,517.42900,6.74410,17.40100
2011-12-31,15.34900,7.01500,8.33400,2.21100,0.00220,6.82000,1.51400,-0.49600,1.11600,1.11600,0.00000,1.10400,0.00000,1.10400,6.13520,1.51400,0.38910,0.38950,3.20000,3.20000,1.84250,0.22520,0.35350,54.92870,9.86380,9.86380,7.27080,7.19270,0.05180,2.69130,4.15400,21.66600,0.52090,0.52090,0.37280,0.40370,543.96450,18.5448,18.5448
2011-09-30,16.21250,7.79950,8.41300,2.10980,0.47060,6.22630,2.18670,-1.61150,0.57510,0.57510,,0.57510,,0.57510,6.80800,2.18670,0.39780,0.39850,1.60000,1.60000,1.79340,0.23400,0.36830,51.89220,13.48760,13.48760,3.54760,3.54750,0.05360,4.50840,3.53210,25.48030,0.27020,0.27020,0.19010,0.20700,,12.0131,12.0131
2011-06-30,15.60300,7.60650,7.99650,2.29730,0.26300,6.62150,1.37500,-1.34790,0.02710,0.02710,,0.02710,,0.02710,5.20720,1.37500,0.39680,0.39820,0.00000,0.00000,1.76470,0.23840,0.37680,51.24970,8.81260,8.81260,0.17370,0.17370,0.05110,4.34660,3.78710,23.76470,0.01260,0.01260,0.00890,0.00960,,3.9434,3.9434
2011-03-31,14.23230,7.77650,6.45580,2.19780,,6.78500,-0.32920,-0.26140,-0.59060,-0.59060,,-0.59060,,-0.59060,3.77110,-0.32920,0.38750,0.38750,-1.60000,-1.60000,1.71790,0.24540,0.39530,45.36030,-2.31290,-2.31290,-4.14980,-4.14980,0.04540,4.54760,3.79530,23.71370,-0.27290,-0.27290,-0.18850,-0.20590,,9.96080,9.96080
2010-12-31,12.78600,10.13100,2.65500,-0.33400,,4.26600,-1.61100,0.61400,-0.92600,-0.92600,-0.53000,-0.92900,0.00000,-0.92900,2.47900,-1.61100,0.38710,0.38710,-2.40000,-2.40000,1.84040,0.25510,0.40410,20.96040,-12.59970,-12.59970,-7.24230,-7.26580,0.03970,5.66610,1.54830,58.12760,-0.42480,-0.42480,-0.28880,-0.31640,564.33780,4.75,4.819
2010-09-30,12.21600,7.30000,4.91600,1.60000,,6.18000,-1.26400,-1.92000,-3.21000,-3.21000,0.00000,-3.21400,0.00000,-3.21400,1.77600,-1.26400,0.38670,0.38670,-8.00000,-8.00000,1.20190,0.18410,0.28240,40.11130,-10.34710,-10.34710,-26.27700,-26.30980,0.04080,4.56250,3.10840,28.95380,-1.45240,-1.45230,-1.07440,-1.18500,,3.937,3.2023
2010-06-30,13.68100,6.21000,7.47100,2.02000,,6.43000,1.04100,-0.49000,0.52000,0.52000,0.00000,0.52900,0.00000,0.52900,5.48100,1.04100,0.38560,0.38680,1.60000,1.60000,1.41000,0.18680,0.29060,54.52820,7.60910,7.60910,3.80090,3.86670,0.04440,3.46930,5.74830,15.65680,0.23390,0.23380,0.17150,0.19020,,17.1445,-23.8328
2010-03-31,13.79500,6.00000,7.79500,2.28000,,6.67000,1.12500,-4.10000,-2.99000,-2.99000,0.00000,-2.99200,0.00000,-2.99200,5.53500,1.12500,0.38560,0.38560,-8.00000,-8.00000,1.87640,0.19500,0.30060,56.46970,8.15510,8.15510,-21.67450,-21.68900,0.04370,3.57140,5.10930,17.61510,-1.31760,-1.31750,-0.94840,-1.06070,,7.07990,7.07990
2009-12-31,16.45800,6.96000,9.49800,10.44000,,15.15000,-5.65200,-10.19000,-16.38000,-16.38000,0.00000,-16.30400,0.00000,-16.30400,-0.91200,-5.65200,0.38520,0.38520,-42.40000,-42.40000,1.93590,0.19890,0.30900,54.80620,-34.34200,-34.34200,-99.52610,-99.06430,0.05090,3.74190,8.70790,10.33540,-7.04460,-7.04430,-5.04130,-5.64290,,-9.6104,18.674
2009-09-30,17.16700,7.26000,9.90700,2.69000,,7.79000,2.11700,-0.50000,2.17000,2.17000,0.00000,2.17800,0.00000,2.17800,7.24700,2.11700,0.38290,0.38380,5.60000,5.60000,2.36640,0.20820,0.31730,61.04740,12.33180,12.33180,12.64050,12.68710,0.04960,3.40850,11.36890,7.91640,0.87390,0.87390,0.62900,0.69190,,11.701,-52.5993
2009-06-30,14.84700,6.23000,8.61700,2.17000,,6.95000,1.66700,-7.10000,-5.44000,-5.44000,0.00000,-5.44700,0.00000,-5.44700,6.47700,1.66700,0.38220,0.38220,-14.40000,-14.40000,2.79680,0.18660,0.27850,57.99150,11.22790,11.22790,-36.64040,-36.68760,0.04350,3.02430,11.33360,7.94100,-2.18130,-2.18120,-1.59730,-1.77420,,1.426,-5.828
2009-03-31,15.30900,6.73000,8.57900,2.27000,,6.77000,1.80900,2.15000,3.94000,3.94000,0.00000,3.94500,0.00000,3.94500,6.32900,1.80900,0.38220,0.38250,10.40000,10.40000,3.20590,0.18820,0.28120,55.98010,11.81660,11.81660,25.73650,25.76920,0.04520,3.17450,11.42460,7.87770,1.52940,1.52930,1.16520,1.24150,,16.81050,-58.16990
