Date,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2021-12-31,49.73200,42.50000,7.23200,-3.49700,3.49700,3.73500,-0.34700,3.38800,0.72300,2.66500,2.66500,2.56500,26.93300,3.73500,20.40200,20.40200,0.13000,0.13000,0.23880,7.51030,7.51020,6.81250,5.15760,0.12360,1.88700,1.92080,0.66250,1.88620,6.93290,0.5216,0.5208
2021-09-30,49.29000,46.97200,2.31800,-3.26400,3.26400,-0.94600,-0.34700,-1.29300,-0.37800,-0.91500,-0.91500,-1.01500,-0.73600,-0.94600,20.40100,20.40100,-0.05000,-0.05000,0.24100,-1.91930,-1.91930,-2.62330,-2.05920,0.12200,-0.65390,-0.66570,-0.22640,-0.65360,6.86960,0.1689,0.1675
2021-06-30,51.45700,43.88200,7.57500,-3.47400,3.47400,4.10100,-0.34700,3.75400,0.79200,2.96200,2.96200,2.86200,3.98300,4.10100,20.41400,21.79200,0.14000,0.14000,0.23700,7.96980,7.96980,7.29540,5.56190,0.12720,2.08120,2.11830,0.73230,2.08040,6.97540,-0.3411,-0.3422
2021-03-31,49.07500,45.83600,3.23900,-3.44000,3.44000,-0.20100,-0.34600,-0.54700,-0.11600,-0.43100,-0.43100,-0.53000,1.57600,-0.20100,20.41500,20.41500,-0.03000,-0.03000,0.25320,-0.40960,-0.40960,-1.11460,-1.08000,0.12810,-0.32360,-0.32980,-0.11250,-0.32350,6.52600,-0.29610,-0.29800
2020-12-31,59.93200,42.12700,17.80500,-2.43200,2.43200,15.37300,-0.35700,15.01600,3.16800,11.84800,11.84800,11.74800,35.88200,15.37300,20.44100,21.81900,0.58000,0.57000,0.23260,25.65080,25.65070,25.05510,19.60220,0.14790,8.17080,8.31350,2.92410,8.16770,7.10560,0.4526,0.4506
2020-09-30,46.26900,40.42100,5.84800,-3.05200,3.05200,2.79600,-0.36300,2.43300,0.55700,1.87600,1.87600,1.77600,2.44400,2.79600,20.43800,21.81600,0.09000,0.09000,0.26350,6.04290,6.04290,5.25840,3.83840,0.12020,1.46610,1.49520,0.48730,1.46550,6.27090,-0.067,-0.0683
2020-06-30,49.73700,37.93000,11.80700,-3.11200,3.11200,8.69500,-0.41400,8.28100,1.74900,6.53200,6.53200,6.43200,8.10400,8.69500,20.44000,21.81800,0.31000,0.30000,0.27230,17.48200,17.48200,16.64960,12.93200,0.12890,5.27460,5.38280,1.69340,5.27220,6.05720,0.5391,0.5336
2020-03-31,39.41000,46.20900,-6.79900,-2.95200,2.95200,-9.75100,-0.47600,-10.22700,-2.14000,-8.08700,-8.08700,-8.18600,-8.94400,-9.75100,20.47000,20.47000,-0.40000,-0.40000,0.33230,-24.74250,-24.74250,-25.95030,-20.77140,0.11330,-7.97040,-8.17080,-2.32480,-7.96610,4.96710,-0.51350,-0.51540
2019-12-31,52.28900,46.53000,5.75900,-3.61200,3.61200,2.14700,-0.50600,1.64100,0.37100,1.27000,1.27000,1.17000,21.55000,2.14700,20.25800,20.25800,0.05000,0.06000,0.28500,4.10600,4.10600,3.13830,2.23760,0.13850,1.07320,1.09620,0.33630,1.07270,5.78320,0.2846,0.2834
2019-09-30,47.74500,46.19000,1.55500,-2.76600,2.76600,-1.21100,-0.53300,-1.74400,-0.35200,-1.39200,-1.39200,-1.49200,-2.66700,-1.21100,20.25000,20.25000,-0.07000,-0.07000,0.28980,-2.53640,-2.53640,-3.65270,-3.12490,0.12460,-1.19630,-1.22250,-0.36310,-1.19580,5.68430,-0.0155,-0.0161
2019-06-30,43.12700,45.66000,-2.53300,-2.51100,2.51100,-5.04400,-0.54500,-5.58900,-1.16300,-4.42600,-4.42600,-4.52600,-4.63500,-5.04400,20.14600,20.14600,-0.22000,-0.22000,0.29920,-11.69570,-11.69570,-12.95940,-10.49460,0.11600,-3.92670,-4.01540,-1.19060,-3.92480,5.59350,-0.0137,-0.014
2019-03-31,55.01800,46.32200,8.69600,-2.86500,2.86500,5.83100,-0.54600,5.28500,1.12300,4.16200,4.16200,4.06300,5.75900,5.83100,20.15900,20.15900,0.20000,0.19000,0.30260,10.59840,10.59840,9.60590,7.38490,0.15530,3.73500,3.82030,1.17490,3.73320,5.53290,-0.34460,-0.34590
2018-12-31,49.20000,44.75800,4.44200,-3.62700,3.62700,0.81500,-0.54000,0.27500,0.07400,0.20100,0.20100,0.10100,20.87000,0.81500,20.28400,20.28400,0.01000,0.01000,0.33280,1.65650,1.65650,0.55890,0.20530,0.14290,0.19840,0.20340,0.05840,0.19830,5.02580,0.4706,0.469
2018-09-30,46.37000,41.80900,4.56100,-2.96000,2.96000,1.60100,-0.52900,1.07200,0.13800,0.93400,0.93400,0.83400,1.11100,1.60100,20.42000,20.42000,0.04000,0.04000,0.33040,3.45270,3.45270,2.31180,1.79860,0.13660,0.91510,0.93800,0.27510,0.91460,5.05060,0.0445,0.0426
2018-06-30,49.44300,41.93400,7.50900,-2.97000,2.97000,4.53900,-0.50600,4.03300,0.84800,3.18500,3.18500,3.08500,3.29900,4.53900,21.66400,21.66400,0.15000,0.15000,0.33180,9.18030,9.18030,8.15690,6.23950,0.14470,3.13450,3.21320,0.93220,3.13280,5.01730,0.0415,0.032
2018-03-31,40.54000,43.19100,-2.65100,-3.23800,3.23800,-5.88900,-0.46200,-6.35100,-1.32700,-5.02400,-5.02400,-5.12300,-5.61600,-5.88900,20.41900,20.41900,-0.25000,-0.25000,0.33170,-14.52640,-14.52640,-15.66600,-12.63690,0.12440,-4.94150,-5.06550,-1.54200,-4.93890,4.99320,-0.33670,-0.33760
2017-12-31,48.82500,41.71500,7.11000,-3.77300,3.77300,3.33700,-0.45000,2.88700,0.34500,2.54200,2.54200,2.44200,10.96600,3.33700,20.43100,20.43100,0.12000,0.12000,0.29860,6.83460,6.83460,5.91300,5.00150,0.14220,2.25100,2.30170,0.74060,2.24990,5.52500,0.6487,0.6486
2017-09-30,44.79800,40.59300,4.20500,-3.13400,3.13400,1.07100,-0.44000,0.63100,-0.11600,0.74700,0.74700,0.64700,4.04700,1.07100,20.44000,20.44000,0.03000,0.03000,0.30810,2.39070,2.39070,1.40850,1.44430,0.13400,0.68240,0.69830,0.22340,0.68210,5.35470,0.2262,0.2254
2017-06-30,43.63200,38.04200,5.59000,-2.98100,2.98100,2.60900,-0.42400,2.18500,0.72500,1.46000,1.46000,1.36000,5.69200,2.60900,20.41200,20.41200,0.07000,0.07000,0.31370,5.97960,5.97960,5.00780,3.11700,0.13110,1.35840,1.39060,0.43880,1.35770,5.27090,0.0216,0.0216
2017-03-31,43.85900,40.61100,3.24800,-3.18600,3.18600,0.06200,-0.40900,-0.34700,-0.12600,-0.22100,-0.22100,-0.32000,3.84800,0.06200,20.43200,20.43200,-0.02000,-0.02000,0.31540,0.14140,0.14140,-0.79120,-0.72960,0.14020,-0.20670,-0.21160,-0.07060,-0.20660,5.23850,-0.30090,-0.30500
2016-12-31,40.02900,34.95300,5.07600,-3.19400,3.19400,1.88200,-0.40800,1.47400,0.12600,1.34800,1.34800,1.24800,7.34700,1.88200,20.44500,20.44500,0.05760,0.05760,0.31980,4.70160,4.70160,3.68230,3.11770,0.12560,1.27830,1.30920,0.42310,1.27770,5.16000,0.1757,0.1727
2016-09-30,42.44700,38.51300,3.93400,-3.22100,3.22100,0.71300,-0.39600,0.31700,0.16800,0.14900,0.14900,0.04900,3.01600,0.71300,20.44000,20.45100,0.00240,0.00240,0.30970,1.67970,1.67970,0.74680,0.11540,0.13200,0.13680,0.14000,0.04630,0.13680,5.33190,0.2805,0.2774
2016-06-30,41.85400,37.87600,3.97800,-3.23600,3.23600,0.74200,-0.38500,0.35700,0.11600,0.24100,0.24100,0.14100,3.28000,0.74200,20.45400,20.45400,0.01000,0.01000,0.31220,1.77280,1.77280,0.85300,0.33690,0.13070,0.22320,0.22840,0.07530,0.22300,5.27610,-0.0509,-0.0531
2016-03-31,41.74700,36.65200,5.09500,-3.34600,3.34600,1.74900,-0.37300,1.37600,0.47800,0.89800,0.89800,0.79900,4.53200,1.74900,20.40600,20.40600,0.04000,0.04000,0.32500,4.18950,4.18950,3.29600,1.91390,0.13910,0.86540,0.88670,0.29920,0.86490,5.09170,-0.34090,-0.35200
2015-12-31,39.85700,35.31400,4.54300,-4.03400,4.03400,0.50900,-0.36500,0.14400,0.03000,0.11400,0.11400,0.01400,3.25500,0.50900,20.56600,20.56600,-0.01000,0.00000,0.32920,1.27700,1.27700,0.36130,0.03510,0.12670,0.11130,0.11410,0.03620,0.11120,5.01750,0.1738,0.1678
2015-09-30,40.35900,36.45300,3.90600,-3.18000,3.18000,0.72600,-0.36100,0.36500,0.12700,0.23800,0.23800,0.13800,3.49800,0.72600,20.58900,20.58900,0.01000,0.01000,0.32690,1.79890,1.79890,0.90440,0.34190,0.12720,0.23070,0.23640,0.07500,0.23060,5.01860,0.021,0.0194
2015-06-30,44.77200,36.87000,7.90200,-3.35900,3.35900,4.54300,-0.35400,4.18900,0.84400,3.34500,3.34500,3.24500,7.21800,4.54300,20.57300,21.95100,0.16000,0.15000,0.31970,10.14700,10.14700,9.35630,7.24780,0.13680,3.17100,3.24760,1.02220,3.16940,5.12120,0.1186,0.1138
2015-03-31,40.94900,35.96200,4.98700,-3.62800,3.62800,1.35900,-0.34900,1.01000,0.31900,0.69100,0.69100,0.59200,4.60300,1.35900,20.59100,20.59100,0.03000,0.03000,0.31400,3.31880,3.31880,2.46650,1.44570,0.13080,0.64340,0.65860,0.22060,0.64300,5.22140,-0.20600,-0.20920
2014-12-31,40.91900,35.90800,5.01100,-3.31700,3.31700,1.69400,-0.35600,1.33800,0.05600,1.28200,1.28200,1.16700,4.56900,1.69400,20.81800,20.81800,0.06000,0.06000,0.32380,4.13990,4.13990,3.26990,2.85200,0.12910,1.23100,1.26120,0.40440,1.23040,5.05800,0.2993,0.2829
2014-09-30,42.65600,37.33200,5.32400,-3.34900,3.34900,1.97500,-0.38800,1.58700,0.13600,1.45100,1.45100,1.33400,4.80200,1.97500,20.76800,20.76800,0.06000,0.06000,0.33020,4.63010,4.63010,3.72050,3.12730,0.13460,1.42090,1.45630,0.45780,1.42000,4.95120,-0.0597,-0.1092
2014-06-30,41.58600,37.14300,4.44300,-3.02300,3.02300,1.42000,-0.43400,0.98600,0.10900,0.87700,0.87700,0.75900,4.26600,1.42000,20.81600,20.81600,0.04000,0.04000,0.38670,3.41460,3.41460,2.37100,1.82510,0.12350,0.82290,0.84250,0.26040,0.82240,5.13520,0.1796,0.1263
2014-03-31,41.16000,36.73500,4.42500,-3.00300,3.00300,1.42200,-0.42900,0.99300,0.17300,0.82000,0.82000,0.70200,4.48400,1.42200,21.07300,21.07300,0.03000,0.03000,0.40480,3.45480,3.45480,2.41250,1.70550,0.13190,0.80550,0.82560,0.26290,0.80500,4.82910,-0.20530,-0.28430
2013-12-31,40.82400,35.70000,5.12400,-3.24000,3.24000,1.88400,-0.44100,1.44300,-0.01700,1.46000,1.46000,1.34200,3.13200,1.88400,21.23600,22.87500,0.07000,0.06000,0.40860,4.61490,4.61490,3.53470,3.28730,0.12780,1.44750,1.48400,0.45710,1.44660,4.77920,0.2399,0.1928
2013-09-30,43.24700,37.18200,6.06500,-2.93400,2.93400,3.13100,-0.44200,2.68900,0.00900,2.68000,2.68000,2.56200,5.87400,3.13100,21.29900,22.92800,0.12000,0.12000,0.42500,7.23980,7.23980,6.21780,5.92410,0.13610,2.76390,2.82400,0.84360,2.76200,4.56590,0.3838,0.3826
2013-06-30,44.64800,35.40100,9.24700,-2.74600,2.74600,6.50100,-0.43800,6.06300,0.10300,5.96000,5.96000,5.84100,9.13200,6.50100,21.26800,22.89700,0.27000,0.26000,0.41760,14.56060,14.56060,13.57960,13.08230,0.13910,6.03960,6.16860,1.85720,6.03560,4.62820,0.079,0.0726
2013-03-31,36.65000,32.64500,4.00500,-2.41700,2.41700,1.58800,-0.57700,1.01100,0.08900,0.92200,0.92200,0.79500,4.52600,1.58800,21.18200,21.22200,0.04000,0.04000,0.39640,4.33290,4.33290,2.75850,2.16920,0.11690,0.88690,0.90480,0.29410,0.88630,4.92180,-0.13350,-0.13730
2012-12-31,35.02200,30.27300,4.74900,-2.54200,2.54200,2.20700,-0.65500,1.55200,0.63800,0.91400,0.91400,0.78700,4.85400,2.20700,21.22200,21.28900,0.04000,0.04000,,6.30170,6.30170,4.43150,2.24720,0.10940,0.86500,0.88220,0.28550,0.86440,4.98360,0.207,0.2065
2012-09-30,35.30200,31.25100,4.05100,-2.43300,2.43300,1.61800,-0.66200,0.95600,-0.12800,1.08400,1.08400,0.95700,4.18100,1.61800,21.21200,21.28800,0.05000,0.04000,0.38740,4.58330,4.58330,2.70810,2.71090,0.11050,1.01910,1.03920,0.33930,1.01850,5.03860,0.0473,0.0469
2012-06-30,34.95300,31.06500,3.88800,-2.37600,2.37600,1.51200,-0.65800,0.85400,0.07300,0.78100,0.78100,0.65400,4.15000,1.51200,21.27200,21.35100,0.03000,0.03000,0.40590,4.32580,4.32580,2.44330,1.87110,0.11320,0.76930,0.78520,0.25300,0.76880,4.76800,0.0668,0.0632
2012-03-31,34.55100,29.70500,4.84600,-2.46900,2.46900,2.37700,-0.65700,1.72000,0.06300,1.65700,1.65700,1.53000,5.44900,2.37700,21.27400,21.35100,0.07000,0.07000,0.42990,6.87970,6.87970,4.97810,4.42820,0.11490,1.72880,1.76670,0.55130,1.72750,4.50870,-0.03390,-0.03730
2011-12-31,30.40400,26.80500,3.59900,-2.35300,2.35300,1.24600,-0.65900,0.58700,-0.33800,0.92500,0.92500,0.79800,4.01000,1.24600,22.14200,22.27200,0.04000,0.03000,,4.09820,4.09820,1.93070,2.62470,0.10060,0.96150,0.98250,0.30620,0.96080,4.52560,0.4108,0.4104
2011-09-30,30.80000,26.04700,4.75300,-2.33200,2.33200,2.42100,-0.65300,1.76800,0.06400,1.70400,1.70400,1.57700,4.94900,2.42100,22.22600,22.37200,0.07000,0.07000,0.43350,7.86040,7.86040,5.74030,5.12010,0.10520,1.79260,1.83230,0.58180,1.79130,4.28050,0.0456,0.0447
2011-06-30,29.07300,25.76600,3.30700,-2.32800,2.32800,0.97900,-0.64700,0.33200,0.14000,0.19200,0.19200,0.06500,3.50000,0.97900,22.23800,22.40600,0.00000,0.00000,0.48980,3.36740,3.36740,1.14200,0.22360,0.10580,0.22830,0.23400,0.06980,0.22810,3.78680,0.0669,0.0657
2011-03-31,28.05500,24.53200,3.52300,-2.25500,2.25500,1.26800,-0.64000,0.62800,0.15900,0.46900,0.46900,0.34200,4.31800,1.26800,22.25400,22.43100,0.02000,0.02000,0.50350,4.51970,4.51970,2.23850,1.21900,0.10400,0.57310,0.58790,0.17380,0.57260,3.68090,-0.11350,-0.11350
2010-12-31,26.69300,24.31100,2.38200,-2.32200,2.32200,0.06000,-0.65700,-0.59700,-0.56900,-0.02800,-0.02800,-0.15500,2.67200,0.06000,22.28100,22.34500,-0.00770,-0.00770,,0.22480,0.22480,-2.23650,-0.58070,0.09620,-0.03390,-0.03480,-0.01010,-0.03390,3.71540,0.2048,0.2049
2010-09-30,27.14600,23.86000,3.28600,-2.04500,2.04500,1.24100,-0.66000,0.58100,0.05600,0.52500,0.52500,0.39800,3.73400,1.24100,22.28100,22.31200,0.02000,0.02000,0.47430,4.57160,4.57160,2.14030,1.46610,0.09920,0.60440,0.61900,0.19190,0.60390,3.90300,-0.0092,-0.0108
2010-06-30,27.08700,24.25200,2.83500,-2.11900,2.11900,0.71600,-0.65300,0.06300,-0.01300,0.07600,0.07600,-0.05100,3.09600,0.71600,22.28600,22.28600,-0.00230,-0.00230,0.49130,2.64330,2.64330,0.23260,-0.18830,0.10090,0.09060,0.09290,0.02830,0.09050,3.76690,0.1885,0.1883
2010-03-31,25.96300,22.53000,3.43300,-2.21700,2.21700,1.21600,-0.64200,0.57400,0.15700,0.41700,0.41700,0.29000,3.88500,1.21600,22.29000,22.32400,0.01000,0.01000,0.51120,4.68360,4.68360,2.21080,1.11700,0.09930,0.51740,0.53090,0.15960,0.51690,3.61930,-0.16480,-0.16530
2009-12-31,25.85300,21.67600,4.17700,-2.59300,2.59300,1.58400,-0.66200,0.92200,0.28900,0.63300,0.63300,0.50600,3.87600,1.58400,22.30700,22.30700,0.02000,0.02000,,6.12690,6.12690,3.56630,1.95720,0.09860,0.81780,0.84020,0.24150,0.81710,3.47540,0.1121,0.1118
2009-09-30,25.53800,22.64400,2.89400,-2.04400,2.04400,0.85000,-0.67900,0.17100,2.27900,-2.10800,-2.10800,-2.23500,3.19800,0.85000,22.32300,22.32300,-0.10000,-0.10000,0.51680,3.32840,3.32840,0.66960,-8.75170,0.09700,-2.64420,-2.71420,-0.80100,-2.64180,3.57560,0.1004,0.1002
2009-06-30,25.70700,22.44500,3.26200,-2.61800,2.61800,0.64400,-0.69400,-0.05000,-0.06200,0.01200,0.01200,-0.11500,3.18400,0.64400,22.31300,22.31300,-0.01000,-0.01000,0.53240,2.50520,2.50520,-0.19450,-0.44730,0.09930,0.01550,0.01590,0.00460,0.01550,3.46990,0.0256,0.0256
2009-03-31,25.61200,22.39800,3.21400,-2.18600,2.18600,1.02800,-0.72100,0.30700,0.05100,0.25600,0.25600,0.12900,3.82700,1.02800,22.29700,22.29700,0.01000,0.01000,0.57370,4.01370,4.01370,1.19870,0.50370,0.10190,0.35650,0.36700,0.10190,0.35610,3.22010,-0.27250,-0.27650
