Date,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2016-03-31,60.17700,60.17700,5.58500,54.59200,54.59200,54.59200,99.59600,99.99600,0.55000,0.55000,3.49750,3.49750,3.48420,3.49750,15.86580,0.55960,0.55960
2015-12-31,55.67200,55.67200,5.80300,49.86900,49.86900,49.86900,99.47500,100.51200,0.52000,0.51000,3.16460,3.16460,3.16400,3.16460,15.75150,0.4295,0.4295
2015-09-30,48.38700,48.38700,6.30100,42.08600,42.08600,42.08600,99.65100,100.62100,0.42000,0.42000,2.75870,2.75870,2.75820,2.75870,15.61920,0.4806,0.4806
2015-06-30,54.40900,54.40900,6.18500,48.22400,48.22400,48.22400,100.57700,101.83000,0.48000,0.48000,2.99130,2.99130,2.99020,2.99130,16.00730,0.3864,0.3864
2015-03-31,51.61600,51.61600,6.03100,45.58500,45.58500,45.58500,100.54800,101.64600,0.45000,0.45000,2.85110,2.85110,2.83970,2.85110,15.93700,0.62160,0.62160
2014-12-31,61.21700,61.21700,5.89600,55.32100,55.32100,55.32100,96.80200,97.95000,0.57000,0.57000,3.39910,3.39910,3.39830,3.39910,16.15280,0.4468,0.4468
2014-09-30,49.87600,49.87600,5.74200,44.13400,44.13400,44.13400,97.07000,98.31900,0.45000,0.45000,2.87360,2.87360,2.87250,2.87360,15.82390,0.4321,0.4321
2014-06-30,48.46700,48.46700,5.61300,42.85400,42.85400,42.85400,96.45100,97.62000,0.44000,0.44000,2.79200,2.79200,2.79150,2.79200,15.87080,0.3152,0.3152
2014-03-31,41.37100,41.37100,5.21200,36.15900,36.15900,36.15900,96.11400,97.19100,0.38000,0.38000,2.38420,2.38420,2.37480,2.38420,15.77570,0.65290,0.65290
2013-12-31,62.97100,62.97100,5.49900,57.47200,57.47200,57.47200,96.46100,97.42200,0.62000,0.61000,3.74930,3.74930,3.74740,3.74930,15.97930,0.2741,0.2741
2013-09-30,34.50400,34.50400,4.98100,29.52300,29.52300,29.52300,92.25800,93.01400,0.32000,0.32000,2.07870,2.07870,2.07130,2.07870,15.44320,0.5143,0.5143
2013-06-30,45.44000,45.44000,5.16400,40.27600,40.27600,40.27600,100.88800,102.13900,0.40000,0.40000,2.62750,2.62750,2.62610,2.62750,15.97950,0.3907,0.3907
2013-03-31,42.99700,42.99700,4.76600,38.23100,38.23100,38.23100,100.29700,101.23400,0.38000,0.38000,2.37720,2.37720,2.36450,2.37720,15.24910,0.41670,0.41670
2012-12-31,26.89200,26.89200,0.70300,26.18900,26.18900,26.18900,101.06700,101.06800,0.27000,0.27000,1.67870,1.67870,1.67180,1.67870,14.84760,0.3763,0.3763
2012-09-30,-16.59500,-16.59500,6.54700,-23.14200,-23.14200,-23.14200,101.33300,101.33300,-0.23000,-0.23000,-1.44600,-1.44600,-1.44140,-1.44600,15.23190,0.2186,0.2186
2012-06-30,27.80300,27.80300,6.46400,21.33900,21.33900,21.33900,101.42400,101.42400,0.21000,0.21000,1.29000,1.29000,1.28710,1.29000,15.74330,0.27,0.27
2012-03-31,32.70700,32.70700,6.00800,26.69900,26.69900,26.69900,101.76700,101.76700,0.26000,0.26000,1.60140,1.60140,1.59640,1.60140,15.86710,0.12400,0.12400
2011-12-31,-193.45800,-193.45800,6.00500,-199.46300,-199.46300,-199.46300,103.28800,103.28800,-1.92000,-1.92000,-12.26580,-12.26580,-12.24460,-12.26580,15.47660,0.2631,0.2631
2011-09-30,34.07400,34.07400,7.07100,27.00300,27.00300,27.00300,103.15600,103.15600,0.26000,0.26000,1.52910,1.52910,1.52880,1.52910,16.80720,0.3581,0.3581
2011-06-30,42.74500,42.74500,7.23300,35.51200,35.51200,35.51200,103.96900,104.52500,0.34000,0.34000,1.99330,1.99330,1.99310,1.99330,16.95570,0.4296,0.4296
2011-03-31,51.05800,51.05800,7.37800,43.68000,43.68000,43.68000,104.71000,105.51300,0.42000,0.42000,2.44190,2.44190,2.43120,2.44190,17.03390,0.41520,0.41520
2010-12-31,50.16800,50.16800,7.24300,42.92500,42.92500,42.92500,101.16200,102.80100,0.43000,0.43000,2.40190,2.40190,2.40130,2.40190,17.02220,0.1302,0.1302
2010-09-30,18.91400,18.91400,6.69900,12.21500,12.21500,12.21500,100.89300,102.33700,0.12000,0.12000,0.70070,0.70070,0.70060,0.70070,17.07190,0.3092,0.3092
2010-06-30,38.92500,38.92500,7.15300,31.77200,31.77200,31.77200,101.44200,103.46800,0.31000,0.31000,1.81060,1.81060,1.81040,1.81060,17.18400,0.4468,0.4468
2010-03-31,54.21000,54.21000,6.96400,47.24600,47.24600,47.24600,101.51400,103.34200,0.47000,0.46000,2.65020,2.65020,2.63880,2.65020,17.52860,0.60760,0.60760
2009-12-31,67.08600,67.08600,7.41500,59.67100,59.67100,59.67100,92.90600,93.15000,0.65000,0.65000,3.31890,3.31890,3.31490,3.31890,17.75660,1.6482,1.6482
2009-09-30,68.72300,68.72300,6.19300,62.53000,62.53000,62.53000,92.65700,93.29200,0.67000,0.67000,3.72470,3.72470,3.72180,3.72470,18.11920,-0.0693,-0.0693
2009-06-30,44.09200,44.09200,5.83900,38.25300,38.25300,38.25300,92.23100,92.23200,0.41000,0.41000,2.31370,2.31370,2.31070,2.31370,17.90290,-0.0694,-0.0694
2009-03-31,12.61200,12.61200,5.87700,6.73500,6.73500,6.73500,91.53800,91.53800,0.07000,0.07000,0.42180,0.42180,0.42050,0.42180,17.38330,-0.08090,-0.08090
