Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share
2021-09-30,2.27360,2.27360,1.46800,-1.57810,-0.94230,1.44140,0.10000,1.54140,1.54140,1.54140,2.10130,1.44140,1.44140,12.16600,12.16600,0.17270,0.17270,2.64030,100.00000,63.39640,63.39640,67.79620,92.42450,0.02630,1.81690,1.81690,1.78300,1.81690,6.97350
2021-06-30,2.17530,2.17530,1.00910,-1.67280,-0.52880,2.31010,0.04000,2.35010,2.35010,2.35010,1.96020,2.31010,2.31010,12.16560,12.16560,0.16110,0.16110,2.35440,100.00000,106.19720,106.19720,108.03740,90.11340,0.02480,2.73620,2.73620,2.68190,2.73620,7.05980
2021-03-31,1.28960,1.28960,0.86060,-1.54180,-0.03620,1.93460,0.02010,1.95470,1.95470,1.95470,1.04840,1.93460,1.93460,12.16600,12.16600,0.08620,0.08620,2.76600,100.00000,150.01370,150.01370,151.56950,81.29590,0.01460,2.24590,2.24590,2.20620,2.24590,7.15390
2020-12-31,0.72540,0.72540,,0.13200,,1.84610,0.37820,2.22440,2.22440,2.22440,0.59350,1.84610,1.84610,12.16600,12.16600,0.04880,0.04880,6.51030,100.00000,254.48460,254.48460,306.62550,81.81140,0.00810,2.53010,2.53010,2.49650,2.53010,7.22640
2020-09-30,0.32690,0.32690,0.20390,-1.47520,-0.88640,0.71180,-0.10530,0.60650,0.60650,0.60650,0.12170,0.71180,0.71180,12.16600,12.16600,0.01000,0.01000,9.21980,100.00000,217.70750,217.70750,185.49790,37.21010,0.00370,0.68750,0.68750,0.67890,0.68750,7.25060
2020-06-30,0.37700,0.37700,,-1.11430,-1.95560,-0.46440,-0.37150,-0.83580,-0.83580,-0.83580,0.00000,-0.46440,-0.46440,,,0.00000,0.00000,,100.00000,-123.17260,-123.17260,-221.70950,,0.00420,-0.94560,-0.94560,-0.93500,-0.94560,7.26560
2020-03-31,1.75430,1.75430,2.07850,-1.52330,-0.98690,0.21210,-0.29690,-0.08480,-0.08480,-0.08480,1.19510,0.21210,0.21210,12.16600,12.16600,0.09820,0.09820,5.94730,100.00000,12.09230,12.09230,-4.83380,68.12370,0.01960,-0.09570,-0.09570,-0.09460,-0.09570,7.28080
2019-12-31,2.02460,2.02460,,0.16210,,3.50780,-1.63050,1.87730,1.87730,1.87730,1.56550,3.50780,3.50780,12.16600,12.16600,0.12930,0.12930,1.97500,100.00000,173.25970,173.25970,92.72300,77.32560,0.02240,2.10830,2.10830,2.07990,2.10830,7.31920
2019-09-30,2.95040,2.95040,2.00940,-1.43740,-1.09090,1.28740,0.48800,1.77540,1.77540,1.77540,2.55630,1.28740,1.28740,12.17300,12.17300,0.21000,0.21000,1.35220,100.00000,43.63500,43.63500,60.17520,86.64250,0.03250,1.97980,1.97980,1.95460,1.97980,7.37130
2019-06-30,3.14080,3.14080,0.87210,-1.41490,-0.82850,2.85520,-0.13850,2.71670,2.71670,2.71670,2.64570,2.85520,2.85520,12.16600,12.16600,0.21750,0.21750,1.15890,100.00000,90.90600,90.90600,86.49620,84.23730,0.03430,2.99810,2.99810,2.96470,2.99810,7.44810
2019-03-31,2.32320,2.32320,,-1.86260,-2.40850,1.77730,0.69170,2.46900,2.46900,2.46900,2.07080,1.77730,1.77730,12.16580,12.16580,0.17020,0.17020,1.00000,100.00000,76.50360,76.50360,106.27610,89.13540,0.02520,2.69750,2.69750,2.68270,2.69750,7.52330
2018-12-31,3.79860,3.79860,,0.17850,,4.06270,0.00400,4.06680,4.06680,4.06680,3.62410,4.06270,4.06270,12.16600,12.16600,0.65040,0.65040,1.00000,100.00000,106.95470,106.95470,107.06120,95.40750,0.04060,4.41150,4.41150,4.34580,4.41150,7.57750
2018-09-30,4.49800,4.49800,,-1.43260,-2.29300,3.63760,0.00230,3.63990,3.63990,3.63990,4.29420,3.63760,3.63760,,,,0.00000,1.00070,100.00000,80.87200,80.87200,80.92290,95.46960,0.04840,3.98550,3.98550,3.91700,3.98550,7.50680
2018-06-30,7.93290,7.93290,,-2.01090,-2.06370,7.88020,0.00300,7.88320,7.88320,7.88320,7.67150,7.88020,7.88020,12.16580,12.16580,0.63060,0.63060,1.00000,100.00000,99.33520,99.33520,99.37270,96.70490,0.08390,8.46220,8.46220,8.33830,8.46220,7.65720
2018-03-31,,,,,0.00000,,,,,,0.00000,,,,,0.00000,0.00000,,,,,,,,,,,,
2017-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,
