Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,0.96430,0.96430,7.02610,3.73300,,-9.79470,-0.11580,-9.91050,-9.91050,-9.91050,,-9.91050,-8.96050,-9.79470,8.31080,8.31080,-1.19000,-1.19000,3.77590,,,100.00000,-1015.71300,-1015.71300,-1027.71800,-1027.71800,0.01750,441.33720,0.20390,-27.75600,-27.75600,-18.03350,-27.75600,4.27610,-1.47110,-1.76620
2021-12-31,,,8.01740,2.98860,,-11.00600,0.00100,-9.76330,-9.76330,-9.76330,,-9.76330,-10.18580,-9.76430,7.65100,7.65100,-1.07000,-1.07000,3.56410,,,,,,,,,,,-22.19660,-22.19660,-14.32930,-22.19660,5.29950,-0.8667,-0.9412
2021-09-30,,,6.78440,3.23910,,-10.02350,-2.40580,-12.42930,-12.42930,-12.42930,,-12.42930,-9.21830,-10.02350,8.30790,8.30790,-1.50000,-1.50000,6.24870,,,,,,,,,,,-23.77360,-23.77360,-17.27740,-23.77360,6.29150,-0.906,-1.0239
2021-06-30,,,7.35000,3.55920,,-10.90920,0.00240,-10.90680,-10.90680,-10.90680,,-10.90680,-10.12640,-10.90920,8.30300,8.30300,-1.30000,-1.30000,10.60560,,,,,,,,,,,-17.24580,-17.24580,-13.55370,-17.24580,7.61050,-0.3584,-0.3271
2021-03-31,,,5.64300,3.13800,,-8.78100,0.00150,-8.77940,-8.77940,-8.77940,,-8.77950,-8.02660,-8.78100,5.64700,5.64700,-1.60000,-1.60000,16.26860,,,,,,,,,,,-12.11040,-12.11040,-9.93580,-12.11040,8.73430,-1.43440,-1.68260
2020-12-31,,,5.98350,2.52500,,-8.50850,0.00120,-8.50720,-8.50720,-8.50720,,-8.50720,-8.04310,-8.50850,4.70400,4.70400,-1.70000,-1.70000,3.81310,,,,,,,,,,,-31.11120,-31.11120,-18.65010,-31.11120,5.39340,-1.1587,-2.0263
2020-09-30,,,4.80360,2.57260,,-7.37620,0.00470,-7.37150,-7.37150,-7.37150,,-7.37150,-6.98750,-7.37620,4.68670,4.68670,-1.60000,-1.60000,5.03350,,,,,,,,,,,-24.09150,-24.09150,-15.17670,-24.09150,6.37460,-1.2965,-1.5524
2020-06-30,0.46680,0.46680,4.27710,2.54730,,-6.35760,0.01590,-6.34170,-6.34170,-6.34170,,-6.34170,-6.21860,-6.35760,4.65730,4.65730,-1.40000,-1.40000,6.97420,,,100.00000,-1361.98800,-1361.98800,-1358.59100,-1358.59100,0.00960,135.69330,0.66330,-18.37410,-18.37420,-13.06930,-18.37420,7.40650,-0.9144,-1.7363
2020-03-31,,,3.81660,2.82700,,-6.64360,0.15800,-6.48560,-6.48560,-6.48560,,-6.48560,-6.56100,-6.64360,4.60840,4.60840,-1.40000,-1.40000,13.27140,,,,,,,,,,,-16.42140,-16.42140,-15.12310,-16.42140,8.49360,-0.88950,-0.91110
2019-12-31,,,3.66110,1.91410,,-5.57520,0.28290,-5.07920,-5.07920,-5.07920,,-5.07920,-5.49450,-5.36200,4.55880,4.55880,-1.10000,-1.10000,22.82530,,,,,,,,,,,-11.52100,-11.52100,-10.95610,-11.52100,9.64690,-1.0049,-1.0078
2019-09-30,,,3.11850,2.53620,,-5.65470,0.19520,-5.45950,-5.45950,-5.45950,,-5.45950,-5.57790,-5.65470,4.56550,4.56550,-1.20000,-1.20000,15.83330,,,,,,,,,,,-11.40200,-11.40200,-10.62110,-11.40200,10.47740,-1.2346,-1.2468
2019-06-30,,,3.15240,2.72110,,-5.87360,0.30320,-5.57040,-5.57040,-5.57040,,-5.57040,-5.79930,-5.87360,4.55010,4.55010,-1.20000,-1.20000,16.85280,,,,,,,,,,,-10.83650,-10.83650,-10.12890,-10.83650,11.29750,-0.9179,-0.9359
2019-03-31,,,2.83270,2.80580,,-5.63850,0.31950,-5.31890,-5.31890,-5.31890,,-5.31890,-5.58370,-5.63850,4.54660,4.54660,-1.20000,-1.20000,19.72770,,,,,,,,,,,-9.56450,-9.56450,-9.01700,-9.56450,12.22220,-0.85340,-0.90250
2018-12-31,,,118.69410,17.17780,,-135.87190,0.31170,-135.56020,-135.56020,-135.56020,,-135.56020,-135.87190,-135.87190,1.90920,1.90920,-67.20000,-67.20000,22.11350,,,,,,,,,,,-228.44370,-228.44380,-218.13780,-228.44380,13.07070,-1.5279,-1.6052
2018-09-30,,,1.87730,2.55110,,-4.42840,0.04000,-4.38840,-4.38840,-4.38840,,-4.38840,-4.42840,-4.42840,1.37330,1.37330,-3.20000,-3.20000,1.18660,,0.00720,,,,,,,,,-635.57690,-635.57060,-99.93550,-635.57070,0.50030,-2.0477,-2.0477
2018-06-30,0.20600,0.20600,1.82680,3.05300,,-4.67380,-0.13900,-4.81280,-4.81280,-4.81280,,-4.81280,-4.67380,-4.67380,1.18380,1.18380,-4.10000,-4.10000,2.10600,,0.00120,100.00000,-2268.89900,-2268.89900,-2336.37700,-2336.37700,0.02610,,,-116.12450,-116.12420,-60.98570,-116.12420,3.04740,-1.7998,-1.7998
2018-03-31,,,1.59960,1.59790,,-3.19750,0.00100,-3.19650,-3.19650,-3.19650,,-3.19650,-3.19750,-3.19750,1.06220,1.06220,-3.00000,-3.00000,1.26620,,0.00810,,,,,,,,,-518.95090,-518.94460,-109.09060,-518.94460,0.58110,-2.20890,-2.20890
2017-12-31,,,1.43590,1.24450,,-2.68040,-0.00300,-2.68340,-2.68340,-2.68340,,-2.68340,-2.68040,-2.68040,0.94530,0.94530,-2.60000,-2.60000,3.40300,,,,,,,,,,,-73.35460,-73.35460,-51.79880,-73.35460,3.45110,-3.0946,-3.0946
2017-09-30,0.18310,0.18310,1.62330,2.54930,,-3.98950,0.00400,-3.98550,-3.98550,-3.98550,,-3.98550,-3.98950,-3.98950,1.02190,1.02190,-3.90000,-3.90000,4.35750,,0.00080,100.00000,-2179.29800,-2179.29800,-2177.11300,-2177.11300,0.02380,,,-67.13890,-67.13910,-51.73120,-67.13910,5.65350,-1.2446,-1.2446
2017-06-30,,,1.20270,1.19050,,-2.39320,0.49990,-1.89340,-1.89340,-1.89340,,-1.89340,-2.39320,-2.39320,0.85770,0.85770,-2.20000,-2.20000,6.43480,,0.00060,,,,,,,,,-22.10410,-22.10410,-18.66910,-22.10410,8.43170,-2.3067,-2.3067
2017-03-31,,,0.98910,1.42780,,-2.41690,-0.00300,-2.41990,-2.41990,-2.41990,,-2.41990,-2.41690,-2.41690,0.84300,0.84300,-2.90000,-2.90000,3.10840,,0.00120,,,,,,,,,-58.43690,-58.43690,-39.63730,-58.43690,4.88850,-2.28190,-2.28190
2016-12-31,,,0.45680,1.13450,,-1.59130,0.01450,-1.57680,-1.57680,-1.57680,,-1.57680,-1.59130,-1.59130,0.68900,0.74210,-2.70000,0.30000,4.56090,,0.00080,,,,,,,,,-25.49600,-25.49600,-19.90580,-25.49600,7.36260,-2.2399,-2.2399
2016-09-30,,,1.10930,1.61230,,-2.72160,0.61870,-2.10300,-2.10300,-2.10300,,-2.10300,-2.72160,-2.72160,0.72810,0.72810,-2.90000,-2.90000,4.39950,,0.00070,,,,,,,,,-28.06200,-28.06200,-21.68350,-28.06200,8.92570,-2.2659,-2.2659
2016-06-30,,,1.24820,1.17740,,-2.42560,8.39970,5.97410,5.97410,5.97410,,5.97410,-2.42560,-2.42560,0.59350,0.65250,10.10000,3.50000,0.16390,,-0.00140,,,,,,,,,-30.90650,-30.90650,157.66850,-30.90650,-32.49260,-2.8561,-2.8561
2016-03-31,,,0.98580,0.76800,,-1.75370,-2.99600,-4.74970,-4.74970,-4.74970,,-4.74970,-1.75370,-1.75370,0.58830,0.58830,-8.10000,-8.10000,0.18300,,-0.00110,,,,,,,,,18.47800,18.47800,-82.46890,18.47800,-43.46770,-1.41040,-1.41040
2015-12-31,,,-0.06810,2.32290,,-2.25480,0.60210,-1.65270,-1.65270,-1.65270,,-1.65270,-2.25480,-2.25480,0.36620,0.36620,56.28790,84.38790,0.23730,,-0.00250,,,,,,,,,7.73720,7.73720,-24.87000,7.73720,-36.30860,-6.6829,-6.6829
2015-09-30,,,0.96880,0.76920,,-1.73800,30.24130,28.50330,28.50330,28.50330,,28.50330,-1.73800,-1.73800,0.40490,0.67450,70.40000,42.30000,0.18520,,-0.00190,,,,,,,,,-104.06230,-104.06230,457.86250,-104.06230,-52.28400,1.3665,1.3665
2015-06-30,,,0.20120,0.93690,,-1.13800,-59.07830,-60.21630,-60.21630,-60.21630,,-60.21630,-1.13800,-1.13800,0.27930,0.27930,-216.08640,-216.08640,0.04550,,-0.00080,,,,,,,,,88.42070,88.42060,-1854.00100,88.42060,-214.92470,-2.1336,-2.1336
2015-03-31,,,0.60940,0.41880,,-1.02820,0.32740,-0.70070,-0.70070,-0.70070,,-0.70070,-1.02820,-1.02820,0.23000,0.23000,-3.60140,-3.60140,0.14990,,-0.00610,,,,,,,,,8.04730,8.04730,-45.61980,8.04730,-32.02700,-4.41070,-4.41070
2014-12-31,,,0.11150,0.17820,,-0.28970,-0.07180,-0.36150,-0.36150,-0.36150,,-0.36150,-0.28970,-0.28970,0.12880,0.12880,231.69270,231.69270,0.17980,,-0.05170,,,,,,,,,35.31620,35.31620,-161.06600,35.31620,-6.04780,-6.4513,-6.4513
2014-09-30,,,0.03250,1.35120,,-1.38370,-0.18410,-1.56780,-1.56780,-1.56780,,-1.56780,-1.38370,-1.38370,0.14420,0.14420,-10.80430,-10.80430,0.49520,,-0.08070,,,,,,,,,238.92960,238.92840,-243.58560,238.92840,-4.01830,-5.798,-5.798
2014-06-30,,,0.02250,0.48840,,-0.51090,1.26440,0.75350,0.75350,0.75350,,0.75350,-0.51090,-0.51090,0.12930,0.12930,6.00240,6.00240,0.01370,,-0.17280,,,,,,,,,-29.40290,-29.40290,2113.48900,-29.40290,-18.30400,1.1378,1.1378
2014-03-31,,,0.02250,1.16410,,-1.18660,-28.52060,-29.70720,-29.70720,-29.70720,,-29.70720,-1.18660,-1.18660,0.06360,0.06360,-466.98680,-466.98680,0.01950,,-0.09450,,,,,,,,,539.58240,539.58260,-27158.17000,539.58270,-41.70990,-5.86640,-5.86640
2013-12-31,,,0.47890,1.51700,,-1.87180,-1.38210,-3.25390,-3.25390,-3.25390,,-3.25390,-1.87180,-1.87180,0.00950,0.00950,-322.92910,-322.92910,0.00870,,-0.39710,,,,,,,,,37.11160,37.11160,-4224.14800,37.11160,-717.99590,-1.8502,-1.8502
2013-09-30,,,0.03000,0.07050,-0.05770,-0.15810,-0.80820,-0.96640,-0.96640,-0.96640,,-0.96640,-0.15810,-0.15810,0.01050,0.01050,-91.23650,-91.23650,0.02860,,-0.51670,,,,,,,,,18.93850,18.93850,-644.15580,18.93850,-439.72120,2.7582,2.7582
2013-06-30,,,0.05440,0.10410,-0.03640,-0.19480,-0.67600,-0.87080,-0.87080,-0.87080,,-0.87080,-0.19480,-0.19480,0.00830,0.00830,-104.44180,-104.44180,0.03740,,-0.53210,,,,,,,,,18.25420,18.25420,-469.92810,18.25420,-495.52240,-6.705,-6.705
2013-03-31,,,0.13440,0.27510,-0.03000,-0.43950,-0.00190,-0.44140,-0.44140,-0.44140,,-0.44140,-0.43950,-0.43950,0.00670,0.00670,-66.02640,-66.02640,0.02680,,-0.37120,,,,,,,,,8.02480,8.02480,-291.65150,8.02480,-754.08700,-67.60380,-67.60380
2012-12-31,,,0.62510,0.16620,-0.06300,-0.85440,-1.20080,-2.05520,-2.05520,-2.05520,,-2.05520,-0.85440,-0.85440,0.00550,0.00550,-410.56420,-410.56420,0.01430,,-0.25720,,,,,,,,,34.01150,34.01150,-2352.18700,34.01150,-949.46670,-111.2355,-111.2355
2012-09-30,,,0.07110,0.37800,-0.05730,-0.50630,-0.26180,-0.76810,-0.76810,-0.76810,,-0.76810,-0.50630,-0.50630,0.00610,0.00610,-120.04800,-120.04800,0.00900,,-0.31600,,,,,,,,,17.58640,17.58640,-1264.58300,17.58640,-709.85710,-20.3413,-20.3413
2012-06-30,,,0.24580,2.50810,-0.06250,-2.81640,0.06640,-2.75000,-2.75000,-2.75000,,-2.75000,-2.81640,-2.81640,0.00520,0.00520,-480.19200,-480.19200,0.01650,,-0.33420,,,,,,,,,72.05470,72.05470,-4284.89700,72.05470,-628.82780,-83.5314,-83.5314
2012-03-31,,,0.11550,0.27580,,-0.39130,-0.20730,-0.59860,-0.59860,-0.59860,,-0.59860,-0.39130,-0.39130,0.00440,0.00440,-120.04800,-120.04800,0.02560,,-0.32040,,,,,,,,,16.60170,16.60170,-631.57830,16.60170,-796.67310,-76.04710,-76.04710
2011-12-31,,,-0.20320,0.41960,-0.06000,-0.27640,0.76370,0.48740,0.48740,0.48740,,0.48740,-0.27640,-0.27640,0.00380,0.00380,240.09600,240.09600,0.08950,,-0.31960,,,,,,,,,-14.08400,-14.08400,143.25120,-14.08400,-797.74430,-118.958,-118.958
2011-09-30,,,0.29800,0.33160,-0.04380,-0.67340,-0.17090,-0.84430,-0.84430,-0.84430,,-0.84430,-0.67340,-0.67340,0.00390,0.00390,-240.09600,-240.09600,0.03570,-0.35330,-0.31030,,,,,,,,,38.79820,38.79830,-869.78790,52.50670,-551.57780,-33.8521,-33.8521
2011-06-30,,,0.05750,0.26420,-0.02500,-0.34670,-0.05770,-0.40440,-0.40440,-0.40440,,-0.40440,-0.34670,-0.34670,0.00390,0.00390,-120.04800,-120.04800,0.03790,-0.39460,-0.34300,,,,,,,,,22.68040,22.68050,-439.36570,31.62990,-457.23960,-69.4084,-69.4084
2011-03-31,,,0.05140,0.16250,-0.05050,-0.26440,-1.00330,-1.26760,-1.26760,-1.26760,,-1.26760,-0.26440,-0.26440,0.00340,0.00340,-360.14400,-360.14400,0.02050,-0.23500,-0.21480,,,,,,,,,54.46700,54.46700,-3221.86500,67.26550,-614.70360,-119.65980,-119.65980
2010-12-31,,,0.04670,-0.02360,-0.02150,-0.04460,0.49960,0.45500,0.45500,0.45500,,0.45500,-0.04460,-0.04460,0.00330,0.00330,120.04790,120.04790,0.02920,,-0.20120,,,,,,,,,-11.76710,-11.76710,390.79750,-11.76710,-1153.14700,-11.6599,-11.6599
2010-09-30,,,0.09350,0.10280,-0.02800,-0.22440,-0.78970,-1.01400,-1.01400,-1.01400,,-1.01400,-0.22440,-0.22440,0.00330,0.00330,-360.14400,-360.14400,0.11240,,-0.32050,,,,,,,,,87.65790,87.65790,-692.19680,87.65790,-344.96660,-75.361,-75.361
2010-06-30,,,0.10660,0.30250,-0.02670,-0.43580,-0.90370,-1.33950,-1.33950,-1.33950,,-1.33950,-0.43580,-0.43580,0.00330,0.00330,-360.14400,-360.14400,0.52580,,-0.33370,,,,,,,,,319.25810,319.25850,-287.98430,319.25850,-125.11760,-128.5248,-128.5248
2010-03-31,,,0.04330,0.87970,-0.01200,-0.93490,-0.69920,-1.63410,-1.63410,-1.63410,,-1.63410,-0.93490,-0.93490,0.00320,0.00320,-480.19200,-480.19200,0.12060,,-0.44380,,,,,,,,,149.53270,149.53260,-1089.92500,149.53260,-335.72890,-63.45170,-63.45170
2009-12-31,,,0.06410,0.50940,-0.23240,-0.80590,-3.29450,-4.10040,-4.10040,-4.10040,,-4.10040,-0.80590,-0.80590,0.00160,0.00160,-1320.52900,-1320.52900,0.36190,,-0.53710,,,,,,,,,651.49300,651.49300,-1148.68900,651.49300,-196.95740,230.11,230.11
2009-09-30,,,0.02510,0.04030,-0.08650,-0.15190,-0.63900,-0.79090,-0.79090,-0.79090,,-0.79090,-0.15180,-0.15190,0.00300,0.00300,-240.09600,-240.09600,0.16220,,-0.22880,,,,,,,,,104.00360,104.00380,-537.10240,104.00380,-250.34510,-230.0425,-230.0425
2009-06-30,,,-0.02050,0.01820,-0.19340,-0.19300,0.30790,0.11500,0.11500,0.11500,,0.11500,-0.19110,-0.19300,0.00020,0.00020,600.24010,600.24010,0.01480,,-0.13180,,,,,,,,,-13.79270,-13.79270,914.53990,-13.79270,-0.34550,-0.0537,-0.0537
2009-03-31,,,0.02440,0.02330,-0.04000,-0.08960,-0.36280,-0.45240,-0.45240,-0.45240,,-0.45240,-0.08770,-0.08960,0.00020,0.00020,-2280.91200,-2280.91200,0.01080,,-0.30610,,,,,,,,,13.24940,13.24940,-1010.26700,13.24940,-1697.38700,-0.07080,-0.07080
