Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,46.92500,14.15200,32.77300,53.45500,53.45500,-20.68200,-11.05200,-31.73400,0.01300,-31.74700,-31.74700,-16.84500,-19.10300,-20.68200,79.61900,79.61900,-0.21000,-0.21000,3.22390,,69.84120,-44.07460,-44.07460,-67.62710,-35.89770,0.26550,10.47430,8.59240,-41.21010,-47.30100,-17.96240,-41.21010,0.48470,-0.01170,-0.02760
2021-12-31,42.01500,13.35600,28.65900,52.21500,55.22400,-26.56500,59.67200,33.10700,0.00500,33.10200,33.10200,17.49600,-22.42100,-26.56500,79.23600,79.23600,0.22000,0.22000,3.70920,,68.21130,-63.22740,-63.22740,78.79800,41.64230,0.23720,7.89610,11.39810,34.55140,38.64350,18.68640,34.55140,0.60670,-0.239,-0.2567
2021-09-30,31.29800,10.63900,20.65900,78.67500,78.67500,-58.01600,0.33200,-57.68400,0.03500,-57.71900,-57.71900,-21.27500,-56.26200,-58.01600,79.23300,79.23300,-0.27000,-0.27000,2.32390,,66.00740,-185.36650,-185.36650,-184.30570,-67.97560,0.13160,14.31090,6.28890,-124.65500,-175.48570,-24.26330,-124.65500,0.29330,-0.2518,-0.2993
2021-06-30,32.78600,11.51300,21.27300,28.69200,28.69200,-7.41900,7.08300,-0.33600,0.00000,-0.33600,-0.33600,0.00000,-5.67100,-7.41900,0.00000,0.00000,0.00000,0.00000,0.02380,-0.03580,64.88440,-22.62860,-22.62860,-1.02480,,0.07260,,,0.60130,0.60130,-0.07440,0.60130,-4.96690,0,0
2021-03-31,34.56500,11.19200,23.37300,27.82700,27.82700,-4.45400,-1.27200,-5.72600,0.00000,-5.72600,-5.72600,0.00000,-2.70200,-4.45400,0.00000,0.00000,0.00000,0.00000,0.05920,-0.04280,67.62040,-12.88590,-12.88590,-16.56590,,0.07650,,,12.26540,12.26540,-1.26690,12.26540,-4.14970,0.00000,
2020-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2020-09-30,26.39600,8.41200,17.98400,23.11400,23.11400,-5.13000,-2.39500,-7.52500,0.00000,-7.52500,-7.52500,0.00000,-5.13000,-5.13000,0.00000,0.00000,0.00000,0.00000,0.99670,-87.28540,68.13150,-19.43480,-19.43480,-28.50810,,25.12930,,,218941.00000,218938.30000,-716.38760,218940.90000,-0.00010,0,0
2020-06-30,,,,0.00090,,-0.00090,,-0.00090,,-0.00090,-0.00090,-0.00090,-0.00090,-0.00090,20.00000,20.00000,0.00000,0.00000,,,,,,,,,,,,,,,,0,0
2019-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2019-09-30,,,,0.00860,,-0.00860,0.00010,-0.00850,,-0.00850,-0.00850,-0.00850,-0.00860,-0.00860,12.19510,12.19510,0.00000,0.00000,,,,,,,,,,,,,,,,0,0
