Date,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,8.87040,-9.21620,-14.98820,-24.20440,-0.19900,-24.00540,-24.00540,-20.27140,-8.87040,-9.21620,479.26800,479.26800,-0.03950,-0.03950,12.39650,0.17060,0.20560,-6.91470,-6.91470,-5.52250,-5.73530,0.72420,-0.00650,-0.02440
2021-12-31,15.84370,-16.26710,0.59680,-15.67040,-0.12850,-15.54190,-15.54190,-13.27640,-15.83550,-16.26710,459.28740,459.28740,-0.00880,-0.00880,25.99940,0.13500,0.15610,-4.22210,-4.22210,-3.56380,-3.65200,0.76820,-0.0139,-0.0585
2021-09-30,6.33610,-6.73970,-8.28400,-15.02370,0.80790,-15.83160,-15.83160,-14.16180,-6.35760,-6.73970,472.33800,472.33800,-0.03180,-0.03180,16.03660,0.13860,0.16090,-4.35530,-4.35530,-3.61310,-3.75170,0.76320,-0.0024,-0.0159
2021-06-30,11.83930,-12.27900,-3.41310,-15.69210,0.42830,-16.12040,-16.12040,-15.38350,-11.82600,-12.27900,471.86100,471.86100,-0.03260,-0.03260,41.31690,0.11760,0.13330,-4.27250,-4.27250,-3.70170,-3.77000,0.79330,-0.0067,-0.0137
2021-03-31,5.11710,-5.54680,-48.46370,-54.01050,-0.21250,-53.79800,-53.79800,-52.19790,-5.11710,-5.54680,407.46700,407.46700,-0.13430,-0.13430,40.43030,0.11030,0.12400,-15.12030,-15.12030,-13.21760,-13.45230,0.75810,-0.00620,-0.02220
2020-12-31,6.09420,-6.54160,-42.18470,-48.75070,-0.50770,-48.24300,-48.24300,-45.13660,-6.10770,-6.54160,370.53100,370.53100,-0.12050,-0.12050,10.24390,0.65540,1.90230,-54.19250,-54.19250,-18.08260,-18.67230,0.23310,-0.0089,-0.0152
2020-09-30,2.61290,-3.05850,-12.97730,-16.03580,0.11550,-16.15130,-16.15130,-16.27550,-2.57430,-3.05850,376.70100,376.70100,-0.04500,-0.04500,12.43590,0.51600,1.06610,-12.96100,-12.96100,-6.07770,-6.27330,0.33070,-0.0036,-0.0123
2020-06-30,4.18430,-4.58920,-6.01070,-10.58690,2.74090,-13.32780,-13.32780,-13.16430,-4.20380,-4.58920,366.25150,366.25150,-0.03610,-0.03610,21.34210,0.45750,0.84340,-10.02470,-10.02470,-5.30800,-5.43830,0.35320,-0.0043,-0.0102
2020-03-31,3.03550,-3.44060,-6.14000,-9.56930,-1.82450,-7.74480,-7.74480,-7.41040,-3.04110,-3.44060,360.25100,360.25100,-0.02240,-0.02240,6.24350,0.38600,0.62870,-5.60460,-5.60460,-3.30710,-3.44120,0.38360,-0.00460,-0.02040
2019-12-31,5.25610,-5.68100,-1.45860,-7.16250,0.58100,-7.74350,-7.74350,-7.54800,-5.23660,-5.68100,354.59300,402.67600,-0.01520,-0.01520,11.17330,0.39090,0.64170,-5.51410,-5.51410,-3.27740,-3.35870,0.38980,-0.0074,-0.038
2019-09-30,3.61630,-4.07380,3.50390,-0.55850,0.05430,-0.61280,-0.61280,-0.39380,-3.61030,-4.07380,355.77900,403.86200,0.00000,-0.00760,6.89860,0.38600,0.62870,-0.42980,-0.42980,-0.25260,-0.26390,0.40070,-0.0026,-0.0142
2019-06-30,4.91290,-5.35510,-3.99800,-9.35310,0.00910,-9.36210,-9.36210,-9.20500,-4.90990,-5.35510,353.80300,353.80300,-0.02990,-0.02990,13.53540,0.40140,0.67060,-6.70350,-6.70340,-3.89670,-4.01250,0.39260,-0.0056,-0.0408
2019-03-31,3.70000,-4.14860,9.44320,5.30600,0.05810,5.24780,5.24780,5.44190,-3.70570,-4.14860,351.66000,409.47800,0.01500,0.00750,11.09870,0.38800,0.63410,3.61850,3.61850,2.13010,2.21440,0.41190,-0.00840,-0.03890
2018-12-31,5.63190,-6.12330,17.04420,10.91980,-0.09860,11.01840,11.01840,11.20410,-5.62130,-6.12330,345.86900,413.38400,0.03680,0.06190,19.28900,0.43170,0.75960,7.85030,7.85030,4.36930,4.46140,0.39960,-0.003,-0.0097
2018-09-30,3.78200,-3.98590,-10.82010,-14.80600,-0.09860,-14.70740,-14.70740,-14.54440,-3.78800,-3.98590,346.77700,346.77700,-0.04600,-0.04600,15.24810,0.50980,1.03990,-12.35800,-12.35800,-5.88670,-6.05810,0.34150,-0.0022,-0.0226
2018-06-30,6.27680,-6.54030,-12.42580,-18.96600,-0.04850,-18.91750,-18.91750,-18.83630,-6.28140,-6.54030,343.88400,343.88400,-0.05430,-0.05430,36.16200,0.46990,0.88650,-14.36260,-14.36260,-7.50990,-7.61330,0.38120,-0.0058,-0.0333
2018-03-31,3.14450,-3.36890,27.13220,23.76440,0.00710,23.75730,23.75730,23.92760,-3.14450,-3.36890,342.62730,407.14440,0.07120,-0.00790,15.07410,0.42530,0.73990,16.31940,16.31940,9.06900,9.37930,0.42400,-0.00480,-0.02070
2017-12-31,4.91770,-5.06180,-20.72590,-25.78760,0.00050,-25.78810,-25.78810,-25.66830,-4.94090,-5.06180,321.92190,321.92190,-0.07220,-0.07220,54.95260,0.53600,1.15520,-22.53610,-22.53610,-10.34740,-10.45640,0.33720,-0.0062,-0.0362
2017-09-30,3.03570,-3.20360,1.49040,-1.71320,-0.07650,-1.63660,-1.63660,-1.45910,-3.01560,-3.20360,332.70260,332.70260,-0.00800,-0.00800,23.60920,0.46170,0.85770,-1.18930,-1.18930,-0.62450,-0.64020,0.40640,-0.0108,-0.03
2017-06-30,2.51040,-2.62860,4.87290,2.24430,-0.08130,2.32570,2.32570,2.47240,-2.50730,-2.62860,309.36390,309.36390,0.00740,0.00740,38.33400,0.43640,0.77440,2.92840,2.92840,1.63320,1.65040,0.25350,-0.0048,-0.0232
2017-03-31,2.68500,-2.83970,-15.76870,-18.60840,0.13170,-18.74010,-18.74010,-18.57290,-2.68500,-2.83970,306.38770,306.38770,-0.05830,-0.05830,13.88170,0.48610,0.94610,-26.73360,-26.73360,-13.34880,-13.73730,0.22870,-0.00490,-0.02790
2016-12-31,,,,,,,-14.97400,-14.97500,,,304.99100,304.99100,-0.05000,-0.05000,32.77600,0.37300,0.59500,-16.66180,-16.66000,-10.30060,-10.44650,,-0.0199,-0.1289
