Date,revenue,gross-profit,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2018-09-30,26.66300,26.66300,9.17900,10.96000,2.93900,13.89900,,13.89900,1.58600,18.99100,18.99100,17.30100,17.48400,41.73300,41.73300,0.46000,0.46000,0.31340,,0.67570,100.00000,41.10570,65.57400,52.12840,71.22600,0.01700,2.50010,35.99920,2.14840,2.14840,1.21360,2.14840,20.17160,-4.1921,-4.1921
2018-06-30,21.42500,21.42500,5.50000,10.60000,2.88200,13.48200,,13.48200,6.54500,6.16700,6.16700,15.90720,15.92500,35.37940,35.37940,0.38000,0.17000,0.34270,,0.59180,100.00000,49.47490,74.32910,62.92650,28.78410,0.01740,1.64750,54.62910,0.81730,0.81730,0.50010,0.81730,20.14510,-3.9244,-3.9244
2018-03-31,17.45860,17.45860,6.01870,7.15090,1.62380,8.77470,0.00030,8.77440,-2.11410,11.35910,11.35910,11.45870,11.43980,29.13360,29.13360,0.30000,0.30000,0.34160,,0.61370,100.00000,40.95950,65.52560,50.26030,65.06320,0.01650,1.81990,49.45270,1.79030,1.79030,1.07050,1.79030,20.33230,-2.60460,-2.60460
2017-12-31,10.01630,10.01630,5.13410,1.87400,,4.82300,,4.81800,-0.72710,6.91520,6.91520,5.07420,4.86720,19.54800,19.54800,0.45000,0.45000,0.32550,,0.88960,100.00000,18.70990,48.59270,48.15190,69.03960,0.01010,1.85950,48.40060,1.36400,1.36400,0.69970,1.36400,20.29800,-21.2931,-21.2931
2017-09-30,7.81710,7.81710,1.88510,5.60190,,5.60190,,5.60190,-1.36960,7.20190,7.20190,5.79120,5.82590,24.92160,24.92160,0.29000,0.29000,2.07420,,,100.00000,71.66230,74.52710,71.66230,92.13060,0.01480,4.30140,20.92320,1.42080,1.42080,1.36200,1.42080,20.33120,2.4251,2.4251
2017-06-30,4.52920,4.52920,1.42740,2.79440,,2.79440,,2.79440,-1.27520,3.57030,3.57030,3.02530,2.99680,17.22160,17.22160,0.16000,0.16000,0.25880,,0.15120,100.00000,61.69760,66.16710,61.69760,78.82970,0.00740,0.67320,133.69840,0.70770,0.70770,0.58200,0.70770,20.25230,-10.6324,-10.6324
2017-03-31,2.24240,2.24240,0.95340,0.98970,,0.98970,,0.98970,-0.21200,1.61250,1.61250,1.24130,1.18510,10.88050,10.88050,0.09000,0.09000,6.13120,,,100.00000,44.13330,52.85050,44.13330,71.90950,0.00610,0.60530,148.68170,0.47500,0.47500,0.43850,0.47500,20.24040,-6.17450,-6.17450
2016-12-31,0.86900,0.86900,1.16000,-0.38220,0.15120,-0.23200,0.00000,-0.23200,0.00000,1.45900,1.45900,-0.38220,-0.38220,1.20100,1.20100,858.91000,858.91000,1.03600,,0.53560,98.96430,-43.98160,-43.98160,-26.69740,167.89410,0.00490,1.40940,63.85740,1.32220,1.32220,0.82500,1.32220,20.09550,-83.8986,-83.8986
2016-09-30,,,0.85840,-0.85840,,-0.85840,,-0.85840,,-0.85840,-0.85840,-0.85840,-0.85840,0.00100,0.00100,-858.40000,-858.40000,,,,,,,,,,,,,,,,,0,0
2016-06-30,,,,,,,,,,,,,,0.00100,0.00100,,0.00000,,,,,,,,,,,,,,,,,0,0
2016-03-31,,,,,,,,,,,,,,0.00100,0.00100,,0.00000,,,,,,,,,,,,,,,,,0.00000,
2015-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
