Date,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2020-09-30,62.80700,69.57200,-6.76500,-0.88600,20.24000,-27.00500,-27.00500,0.73500,-27.74000,-27.74000,-0.98900,-30.75800,-7.63900,-21.55500,20.29300,20.29300,-1.59000,-1.59000,1.18160,0.42770,0.75940,-10.77110,-42.99680,-34.31940,-42.99680,-48.97230,0.07230,4.26930,2.96900,30.31290,-13.18020,-18.24520,-3.19180,-4.70550,16.51560,-0.6079,-0.1345
2020-06-30,30.06700,79.80300,-49.73600,-114.74700,122.48500,-172.22100,-172.22100,35.51600,-207.73700,-207.73700,-0.37900,-206.27800,-153.00900,-166.85900,20.28200,20.28200,-10.19000,-10.19000,1.97080,0.67600,2.10230,-165.41720,-572.79080,-554.95730,-572.79080,-686.06120,0.03010,4.17790,1.02010,88.22800,-92.23570,-343.35560,-20.80570,-29.88800,11.04200,-1.3032,-1.5311
2020-03-31,294.65800,304.05800,-9.40000,-88.79900,94.37800,-103.77800,-103.77800,-15.79700,-87.98100,-87.98100,-0.45400,-86.58500,-84.39600,-99.68110,20.21500,20.21500,-4.29000,-4.29000,0.50100,0.04110,1.04380,-3.19010,-35.21980,-33.82940,-35.21980,-29.38490,0.23620,17.34700,2.62900,34.23390,-20.92550,-60.00900,-7.05280,-20.06570,20.61930,-0.23340,-1.37920
2019-12-31,261.11990,260.97900,0.14100,-5.92500,15.00800,-14.86710,-14.86700,-8.35500,-6.51200,-6.51200,-0.11300,-5.42800,4.73190,-10.17110,20.14600,20.28400,-0.29000,-0.29000,1.09940,0.37980,0.62220,0.05400,-5.69360,-3.89520,-5.69360,-2.07870,0.19800,15.11260,2.06830,43.51310,-1.19000,-3.94810,-0.49380,-0.73800,26.89480,0.3516,-0.3779
2019-09-30,353.74300,298.92100,54.82200,-0.28100,8.32400,46.49810,46.49800,11.89100,34.60700,34.60700,-0.14100,31.41600,66.66310,50.31710,20.16800,20.31100,1.53000,1.53000,0.50560,0.04530,0.60890,15.49770,13.14460,14.22420,13.14460,8.88100,0.27500,18.31290,2.44450,36.81770,6.49860,19.55970,2.69030,6.20400,26.20450,3.0287,2.3396
2019-06-30,402.27900,355.83700,46.44200,-15.82300,26.43400,20.00800,20.00800,6.56500,13.44300,13.44300,0.46000,13.82400,37.57500,23.04800,20.14300,20.26600,0.67000,0.67000,0.48500,0.02060,0.64430,11.54470,4.97370,5.72940,4.97370,3.43640,0.32910,16.70280,2.51790,35.74440,2.66910,7.90150,1.09990,2.61410,24.80330,1.5514,0.237
2019-03-31,285.59400,296.83000,-11.23600,-8.95500,14.29300,-25.52900,-25.52900,-7.59500,-17.93400,-17.93400,-0.28700,-17.77700,-9.32800,-22.51600,20.07600,20.07600,-0.89000,-0.89000,0.51940,0.01540,0.57300,-3.93430,-8.93890,-7.88390,-8.93890,-6.22460,0.27340,16.86440,2.12320,42.38940,-4.12910,-14.66900,-1.71680,-4.06550,21.41880,0.39950,-0.54350
2018-12-31,238.05600,234.03800,4.01800,-0.43600,5.98100,-1.96300,-1.96300,1.81300,-3.77600,-3.77600,1.07800,-2.32200,13.24000,0.76190,20.16800,20.40400,-0.12000,-0.11000,0.54900,0.00160,0.51080,1.68780,-0.82460,0.32010,-0.82460,-0.97540,0.25800,14.07410,2.18530,41.18460,-0.83810,-2.73760,-0.40930,-0.83680,22.31240,-0.544,-1.4614
2018-09-30,358.16300,301.61200,56.55100,-0.49200,6.95100,49.60000,49.60000,10.80600,38.79400,38.79400,-0.24600,37.38900,68.49500,52.30900,20.14500,20.38700,1.84000,1.83000,0.68830,0.08500,0.41870,15.78920,13.84840,14.60480,13.84840,10.43910,0.36990,16.12640,2.86750,31.38640,8.11480,24.76820,4.00690,7.42490,23.51170,3.4447,2.3846
2018-06-30,363.67700,325.27500,38.40200,-0.13100,5.62900,32.77300,32.77300,9.11400,23.65900,23.65900,-0.27900,23.49000,50.29500,35.18000,20.20900,20.43600,1.15000,1.15000,0.63640,0.10010,0.54900,10.55940,9.01160,9.67340,9.01160,6.45900,0.36990,15.97540,2.56770,35.05030,5.42410,20.98150,2.40640,4.88120,21.46770,1.7086,0.906
2018-03-31,277.42800,288.41700,-10.98900,-0.04800,4.41200,-15.40100,-15.40100,-4.63800,-10.76300,-10.76300,0.92800,-9.38700,-0.18500,-13.24800,20.20700,20.20700,-0.47000,-0.47000,0.58640,0.11000,0.53860,-3.96100,-5.55140,-4.77530,-5.55140,-3.38360,0.29260,16.46780,2.34540,38.37230,-2.50610,-10.88380,-1.13520,-2.23050,20.98400,-0.16920,-1.42850
2017-12-31,277.28500,281.18010,-3.89510,-0.64500,5.22000,-9.11510,-9.11500,12.96900,-22.08400,-22.08400,0.14000,-21.67400,5.66790,-6.94710,20.14600,20.40500,-1.06000,-1.06000,0.62890,0.11330,0.47230,-1.40470,-3.28730,-2.50540,-3.28720,-7.81650,0.30140,16.02170,2.64560,34.01910,-4.98580,-20.14870,-2.40070,-4.42100,21.69450,-0.1101,-0.942
2017-09-30,339.09900,291.83400,47.26500,25.31000,-18.58700,65.85200,65.85200,20.01000,45.84200,45.84200,-0.10100,44.65700,83.87600,68.04300,20.16600,20.43600,2.19000,2.19000,0.71070,0.11460,0.39530,13.93840,19.41970,20.06580,19.41970,13.16930,0.35590,7.34120,2.62650,34.26570,9.78500,33.00290,4.81130,8.66380,22.94740,2.7029,2.1216
2017-06-30,364.77400,325.23800,39.53600,3.11200,1.99300,37.54300,37.54300,10.17800,27.36500,27.36500,0.50900,27.94700,54.16600,39.64400,20.14000,20.36400,1.37000,1.37000,0.62250,0.13620,0.58340,10.83850,10.29210,10.86810,10.29210,7.66150,0.38370,8.75190,2.56750,35.05320,6.61440,31.93600,2.87860,5.71330,20.27550,1.3225,0.7008
2017-03-31,325.80700,312.74000,13.06700,1.98500,2.99700,10.07000,10.07000,2.74100,7.32900,7.32900,-0.81600,6.77700,24.37700,12.23300,20.08300,20.34600,0.33000,0.33000,0.54920,0.15580,0.62600,4.01070,3.09080,3.75470,3.09080,2.08010,0.35680,8.62540,2.52410,35.65560,1.93870,14.09800,0.80270,1.63670,18.55570,1.58450,0.89090
2016-12-31,256.39600,256.93600,-0.54000,-1.75400,6.23690,-6.77690,-6.77700,-2.40200,-4.37500,-4.37500,0.08700,-4.04900,7.57610,-3.96100,19.99000,20.17700,-0.19000,-0.19000,0.50760,0.16690,0.67240,-0.21060,-2.64310,-1.54490,-2.64320,-1.57920,0.29480,8.17750,2.45010,36.73350,-1.18040,-10.18790,-0.50300,-0.98340,18.23920,-0.7401,-1.5771
2016-09-30,382.46500,323.54800,58.91700,-0.12000,6.03400,52.88300,52.88300,17.87800,35.00500,35.00500,-0.22100,33.79200,67.06500,54.41600,20.01700,20.20700,1.67000,1.67000,0.70550,0.17140,0.51000,15.40450,13.82690,14.22770,13.82690,8.83530,0.42830,7.83960,2.79400,32.21190,9.17970,39.85490,3.92040,7.60680,18.78750,3.0137,2.4117
2016-06-30,324.74700,290.73300,34.01400,,4.98000,29.03400,29.03400,9.22600,19.80800,19.80800,-0.36400,19.50900,40.59500,30.40800,19.98300,20.15300,0.96000,0.96000,0.80480,0.19210,0.37350,10.47400,8.94050,9.36360,8.94050,6.00740,0.41600,7.46390,2.65630,33.88130,5.64680,16.09520,2.53730,4.56200,17.30540,1.8427,1.2268
2016-03-31,241.36200,247.64200,-6.28000,,4.13100,-10.41100,-10.41100,-3.45200,-6.95900,-6.95900,-0.18600,-6.98300,-0.70100,-9.07100,19.91400,19.91400,-0.35000,-0.35000,0.74820,0.20810,0.48550,-2.60190,-4.31340,-3.75830,-4.31340,-2.89320,0.31280,6.42980,2.40090,37.48560,-2.07680,-6.73960,-0.90180,-1.64460,16.55480,0.85560,0.49940
2015-12-31,251.67100,246.81900,4.85210,,6.07900,-1.22700,-1.22700,-0.35800,-0.86900,-0.86900,-0.16100,-0.95700,8.13400,-0.05710,19.79700,19.98100,-0.06000,-0.06000,1.05170,0.21680,0.37990,1.92790,-0.48750,-0.02270,-0.48750,-0.38030,0.36440,8.96580,2.68310,33.54380,-0.25910,-0.74410,-0.12580,-0.20290,16.63050,-0.8054,-1.3111
2015-09-30,255.94600,241.37500,14.57100,,2.74400,11.82700,11.82700,3.74600,8.08100,8.08100,-0.16300,7.23000,22.26000,13.09000,19.83100,19.97400,0.36000,0.36000,1.23890,0.22080,0.33660,5.69300,4.62090,5.11440,4.62090,2.82480,0.34760,6.24370,2.42570,37.10260,2.32660,6.42710,1.09740,1.81290,17.25610,1.9133,1.6253
2015-06-30,317.03500,280.74900,36.28600,,3.71200,32.57400,32.57400,10.37200,22.20200,22.20200,0.07800,22.38900,43.28200,34.12000,19.77800,19.91800,1.12000,1.12000,1.22100,0.22780,0.37900,11.44540,10.27460,10.76220,10.27460,7.06200,0.42420,9.20340,2.63120,34.20500,6.31500,17.88060,2.97090,4.87620,17.50270,0.9834,0.6276
2015-03-31,264.39600,265.52100,-1.12500,,4.11400,-5.23900,-5.23900,-3.26700,-1.97200,-1.97200,-0.14800,-2.05600,4.68300,-4.02500,19.73600,19.73600,-0.10000,-0.10000,1.11330,0.25100,0.42590,-0.42550,-1.98150,-1.52230,-1.98150,-0.77760,0.36170,7.46870,2.66170,33.81310,-0.60960,-2.07300,-0.26980,-0.45660,16.15150,0.92540,0.65870
2014-12-31,223.15310,223.79800,-0.64490,,7.51400,-8.15890,-8.15900,-0.76100,-7.39800,-7.39800,1.36600,-5.89000,1.83110,-7.10790,19.80400,20.13300,-0.30000,-0.30000,1.08230,0.24550,0.40560,-0.28900,-3.65620,-3.18520,-3.65620,-2.63940,0.31210,6.90710,2.85650,31.50700,-2.12770,-6.69270,-1.03480,-1.60520,17.30550,-1.2248,-1.5571
2014-09-30,299.80200,266.78800,33.01400,0.00000,4.08700,28.92700,28.92700,-2.62300,31.55000,31.55000,-0.97900,29.62000,37.36400,29.47000,19.67900,19.95400,1.48000,1.48000,1.11250,0.00170,0.06560,11.01190,9.64870,9.82980,9.64870,9.87990,0.46700,7.23940,3.30630,27.22050,8.62730,14.91780,4.91460,8.61260,18.22580,2.7123,2.2845
2014-06-30,256.39100,242.25500,14.13600,-0.88400,4.49500,9.64100,9.64100,1.79600,7.84500,7.84500,-1.23600,6.74200,17.14600,10.00400,19.86900,20.14900,0.33000,0.33000,1.25420,0.00170,0.03310,5.51350,3.76030,3.90190,3.76030,2.62960,0.43260,6.05370,2.75900,32.62090,2.27120,3.70570,1.32380,2.26740,17.25070,0.1597,-0.2333
2014-03-31,285.64100,272.28000,13.36100,,2.48300,10.87800,10.87800,1.69700,9.18100,9.18100,15.23800,21.88200,18.05800,11.24100,19.94900,20.33000,1.08000,1.08000,1.25850,0.00220,0.00490,4.67750,3.80830,3.93540,3.80830,7.66070,0.48360,8.22520,2.93480,30.66680,2.67810,4.34610,1.55440,2.67230,16.79060,1.23810,0.98660
2013-12-31,201.84100,203.70300,-1.86200,,4.58500,-6.44700,-6.44700,-1.83300,-4.61400,-4.61400,-0.29800,-4.61800,0.69900,-5.96500,19.85000,20.26500,-0.23000,-0.23000,1.37820,0.00210,0.03270,-0.92250,-3.19410,-2.95530,-3.19410,-2.28790,0.35920,7.27690,3.29820,27.28750,-1.29410,-2.07350,-0.82110,-1.29130,17.54900,-1.0549,-1.5039
2013-09-30,220.16700,206.21900,13.94800,3.82300,1.11100,12.83700,12.83700,3.56700,9.27000,9.27000,3.47800,11.85500,20.51700,13.24500,19.86800,20.19100,0.58000,0.58000,1.72440,0.00200,0.00420,6.33520,5.83060,6.01590,5.83060,5.38450,0.33400,5.45310,2.95570,30.45010,2.23540,3.32360,1.40630,2.23090,20.40810,1.7374,1.8111
2013-06-30,246.18000,234.72500,11.45500,,2.12600,9.32900,9.32900,2.94000,6.38900,6.38900,-0.32900,6.25300,16.96000,9.78900,19.86000,20.15900,0.31000,0.31000,1.64070,0.00230,0.00490,4.65310,3.78950,3.97640,3.78950,2.54000,0.38840,7.50710,2.92650,30.75380,1.60730,2.46530,1.00800,1.60370,19.55970,-0.1076,-0.4618
2013-03-31,285.15900,271.56400,13.59500,,1.68400,11.91100,11.91100,3.63600,8.27500,8.27500,-0.48500,8.06500,19.20500,12.34500,19.79000,20.19300,0.40000,0.40000,1.56960,0.00260,0.00620,4.76750,4.17700,4.32920,4.17700,2.82820,0.44030,7.99750,3.35770,26.80410,2.08110,3.22070,1.27770,2.07570,19.56010,-0.27610,-0.67950
2012-12-31,183.96500,195.98700,-12.02200,,5.00300,-17.02500,-17.02500,6.49400,-23.51900,-23.51900,2.39100,-21.19600,-9.99200,-16.56500,19.70100,20.00500,-1.05000,-1.05000,1.52320,0.00220,0.00560,-6.53500,-9.25450,-9.00440,-9.25450,-11.52180,0.28280,5.49660,2.93140,30.70170,-5.92370,-9.16240,-3.61510,-5.91060,19.61520,0.021,-0.3612
2012-09-30,307.45700,273.27500,34.18200,,2.82200,31.36000,31.36000,10.30400,21.05600,21.05600,,19.97600,40.40400,31.84400,19.72100,20.01700,0.99000,0.99000,1.47610,0.00210,0.00540,11.11770,10.19980,10.35720,10.19980,6.49720,0.43880,7.17460,3.51710,25.58930,5.00170,7.52100,3.00530,4.99100,20.78090,2.5865,2.2988
2012-06-30,246.45000,235.95200,10.49800,,3.04400,7.45400,7.45400,2.25300,5.20100,5.20100,0.63900,6.09000,15.92000,7.87900,19.71600,19.96100,0.30000,0.30000,1.42930,0.00250,0.00650,4.25970,3.02450,3.19700,3.02450,2.47110,0.37450,4.81630,2.85530,31.51990,1.31940,2.03610,0.79030,1.31610,19.45560,0.7111,0.3922
2012-03-31,268.77200,263.23900,5.53300,,4.19100,1.34200,1.34200,0.52700,0.81500,0.81500,,1.02700,8.82800,1.86900,19.64500,19.91700,0.05000,0.05000,1.43320,0.00300,0.00750,2.05860,0.49930,0.69540,0.49930,0.38210,0.42250,6.92700,3.38120,26.61810,0.20840,0.32530,0.12810,0.20780,19.30530,0.13980,-0.23870
2011-12-31,197.40500,204.56200,-7.15700,,4.86600,-12.02300,-12.02300,-5.12300,-6.90000,-6.90000,,-6.16200,-4.24200,-11.48600,19.71900,20.05500,-0.31000,-0.31000,1.58250,0.00320,0.00840,-3.62560,-6.09050,-5.81850,-6.09050,-3.12150,0.31950,5.71000,3.10470,28.98850,-1.78670,-2.75340,-1.11680,-1.78110,19.17090,-0.0185,-0.2251
2011-09-30,216.16900,210.75700,5.41200,,2.60600,2.80600,2.80600,0.52300,2.28300,2.28300,,1.21100,10.96600,3.37700,19.71100,20.03300,0.06000,0.06000,1.59300,0.00360,0.00930,2.50360,1.29810,1.56220,1.29810,0.56020,0.34570,5.21550,3.49050,25.78440,0.58350,0.88800,0.36500,0.58140,19.44100,1.4539,1.2313
2011-06-30,238.69200,228.83000,9.86200,,2.98600,6.87600,6.87600,2.58800,4.28800,4.28800,,4.37400,14.75400,7.43200,19.81600,20.12100,0.22000,0.22000,1.71370,0.00480,0.01050,4.13170,2.88070,3.11360,2.88070,1.83250,0.36970,7.39450,2.65540,33.89310,1.05470,1.58180,0.66410,1.04970,19.95570,-0.7165,-0.9682
2011-03-31,290.09800,272.83900,17.25900,,1.73800,15.52100,15.52100,5.90000,9.62100,9.62100,,9.78700,23.11800,16.14700,19.77800,20.08000,0.48000,0.48000,1.64460,0.00600,0.02230,5.94940,5.35030,5.56600,5.35030,3.37370,0.43890,8.15810,3.52610,25.52410,2.40820,3.60480,1.45570,2.39370,19.60920,1.01310,0.64200
2010-12-31,186.96500,190.05200,-3.08700,,3.87100,-6.95800,-6.95800,-2.16700,-4.79100,-4.79100,,-4.41000,0.60300,-6.33500,19.95500,20.27700,-0.21000,-0.21000,1.79030,0.00630,0.02350,-1.65110,-3.72150,-3.38830,-3.72160,-2.35870,0.30330,4.91470,3.96220,22.71460,-1.23890,-1.85910,-0.77710,-1.23110,19.12140,-0.0946,-0.3561
2010-09-30,215.14400,205.22500,9.91900,,2.23000,7.68900,7.68900,1.91100,5.77800,5.77800,,4.79600,15.64500,8.33500,20.00100,20.30900,0.23000,0.23000,1.80120,0.00680,0.02480,4.61040,3.57390,3.87410,3.57390,2.22920,0.34320,5.68570,3.78010,23.80890,1.49770,2.23890,0.92180,1.48750,19.10570,1.3318,1.1793
2010-06-30,218.29900,210.57400,7.72500,,3.00200,4.72300,4.72300,1.79000,2.93300,2.93300,,3.02800,12.48400,5.28400,20.05900,20.37500,0.15000,0.15000,1.82830,0.00820,0.02730,3.53870,2.16350,2.42050,2.16350,1.38710,0.35260,5.55370,3.21320,28.00940,0.77360,1.15590,0.47380,0.76730,18.45280,0.511,0.3472
2010-03-31,224.35300,224.15400,0.19900,,3.09400,-2.89500,-2.89500,0.20800,-3.10300,-3.10300,,-2.98200,4.49800,-2.30600,20.05100,20.05100,-0.15000,-0.15000,1.97460,0.02060,0.03030,0.08870,-1.29040,-1.02790,-1.29040,-1.32920,0.36920,6.16380,4.03990,22.27770,-0.80900,-1.21640,-0.51070,-0.79230,18.67360,0.38640,0.85140
2009-12-31,170.16500,179.76200,-9.59700,-5.50700,14.52410,-24.12110,-24.12100,-8.90400,-15.21700,-15.21700,,-14.48000,-16.68110,-23.57010,19.96000,19.96000,-0.72000,-0.72000,1.99820,0.02160,0.03320,-5.63980,-14.17510,-13.85130,-14.17510,-8.50940,0.27930,4.01090,3.80110,23.67720,-3.95630,-5.92100,-2.49790,-3.87080,18.71140,-0.3952,-0.5242
2009-09-30,181.12500,183.81500,-2.69000,-13.05200,117.52300,-120.21300,-120.21300,-23.94700,-96.26600,-96.26600,,-97.13300,-111.88800,-119.73300,19.98100,19.98100,-4.86000,-4.86000,1.89700,0.02320,0.03410,-1.48520,-66.37020,-66.10520,-66.37020,-53.62760,0.28980,4.16690,3.30940,27.19550,-24.09220,-35.62790,-15.40330,-23.53250,19.43920,1.1057,0.902
2009-06-30,213.56500,203.75700,9.80800,,1.19400,8.61400,8.61400,3.31100,5.30300,5.30300,,5.39900,16.34100,9.17100,19.97700,20.17000,0.26000,0.26000,1.96090,0.02210,0.02880,4.59250,4.03340,4.29430,4.03340,2.52800,0.30240,5.05000,2.92290,30.79090,1.09860,2.14580,0.75090,1.07430,23.45780,-0.2271,-0.432
2009-03-31,240.94900,234.28200,6.66700,,4.39400,2.27300,2.27300,0.90100,1.37200,1.37200,,1.50300,9.31900,2.95400,19.89300,20.13900,0.07000,0.07000,1.82230,0.02350,0.03030,2.76700,0.94340,1.22600,0.94340,0.62380,0.34770,5.13610,4.13320,21.77490,0.29700,0.58530,0.19800,0.29000,22.42170,-0.79640,-1.32290
