Date,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,292.98000,-52.39600,345.37600,-89.54100,111.23600,234.14000,,234.14000,53.00900,181.13100,181.13100,,181.13100,254.98600,254.98600,176.81600,179.07900,1.02000,1.01000,0.27330,0.37600,79.91670,87.03190,79.91670,61.82370,0.03850,4.36720,4.38700,2.37840,3.17380,23.74810,0.65150,0.62880
2021-12-31,338.36720,-10.61500,348.98220,-80.47600,102.47600,246.50620,,246.50600,53.06100,193.44500,193.44500,,193.44500,267.64320,267.64320,188.37000,190.26300,1.06000,1.05000,0.26820,0.36640,72.85170,79.09840,72.85160,57.17020,0.04320,4.54220,4.56320,2.46770,3.32420,24.27760,0.7833,0.7635
2021-09-30,325.75800,55.74900,270.00900,-86.47900,108.36800,161.64100,,161.64100,35.22900,126.41200,126.41200,,126.41200,182.66800,182.66800,186.74100,188.04200,0.68000,0.67000,0.27080,0.37130,49.62000,56.07480,49.62000,38.80550,0.04050,2.96890,2.98320,1.57200,2.16490,23.48090,0.7273,0.7066
2021-06-30,336.99400,33.10100,303.89300,-86.46900,108.39700,195.49600,,195.49600,40.29000,155.20600,155.20600,,155.20600,216.56100,216.56100,193.43600,194.63800,0.80000,0.80000,0.26490,0.36030,58.01170,64.26260,58.01170,46.05600,0.04210,3.58130,3.59900,1.93790,2.63270,23.01680,0.6336,0.6185
2021-03-31,328.81300,75.38500,253.42800,-70.26200,92.23900,161.18900,,161.18900,35.58100,125.60800,125.60800,,125.60800,182.30400,182.30400,193.43900,195.20300,0.65000,0.64000,0.26730,0.36490,49.02150,55.44310,49.02150,38.20040,0.04150,2.96570,2.98140,1.58580,2.17290,22.13830,0.78390,0.77330
2020-12-31,369.86090,85.65900,284.20190,-81.64100,105.03500,179.16690,,179.16700,31.15400,148.01300,148.01300,,148.01300,200.33590,200.33590,195.44300,196.64200,0.76000,0.75000,0.26970,0.36930,48.44170,54.16520,48.44170,40.01860,0.04650,3.45470,3.47340,1.86230,2.52300,22.36020,0.7796,0.7689
2020-09-30,375.23400,122.60300,252.63100,-69.37700,91.42600,161.20500,,161.20500,26.10200,135.10300,135.10300,,135.10300,182.29300,182.29300,193.17600,194.15600,0.70000,0.70000,0.27270,0.37500,42.96120,48.58120,42.96120,36.00500,0.04820,3.27730,3.29750,1.73710,2.38350,21.52050,0.9894,0.9684
2020-06-30,364.44100,328.40500,36.03600,-60.58200,78.26000,-42.22400,,-42.22400,-12.27300,-29.95100,-29.95100,,-29.95100,-25.52500,-25.52500,193.29900,193.29900,-0.15000,-0.15000,0.28370,0.39610,-11.58600,-7.00390,-11.58600,-8.21830,0.04810,-0.75140,-0.75640,-0.39570,-0.53820,20.81550,0.8074,0.7771
2020-03-31,329.08100,65.50500,263.57600,-69.11000,82.28300,181.29300,,181.29300,40.83200,140.46100,140.46100,,140.46100,193.48700,193.48700,200.16100,201.81900,0.70000,0.70000,0.21550,0.27460,55.09070,58.79620,55.09070,42.68280,0.04920,3.63460,3.66040,2.09940,2.85150,20.29820,0.77200,0.74750
2019-12-31,388.02400,68.68000,319.34390,-80.89400,113.70500,205.63900,,205.63900,44.45500,161.18400,161.18400,,161.18410,217.79900,217.79900,208.77300,210.34000,0.77000,0.81000,0.20150,0.25240,52.99650,56.13030,52.99650,41.53970,0.05700,3.98110,4.00900,2.36750,3.17870,20.12650,0.873,0.8408
2019-09-30,380.33800,64.71000,315.62800,-82.32400,97.95500,217.67300,,217.67300,44.23500,173.43800,173.43800,,173.43800,231.16500,231.16500,203.10700,208.69100,0.85000,0.83000,0.20170,0.25270,57.23150,60.77880,57.23150,45.60100,0.05700,4.42160,4.48160,2.60000,3.52970,19.39730,0.8455,0.8175
2019-06-30,394.96400,81.47500,313.48900,-86.84400,103.94400,209.54500,,209.54500,42.81500,166.73000,166.73000,,166.73000,224.50600,224.50600,208.09700,213.60300,0.80000,0.78000,0.22360,0.28790,53.05420,56.84210,53.05420,42.21400,0.05990,4.40710,4.47170,2.52920,3.42180,18.41900,0.5856,0.5449
2019-03-31,363.62900,50.80400,312.82500,-78.80500,96.68900,216.13600,,216.13600,45.17900,170.95700,170.95700,,170.95700,231.83300,231.83300,213.53700,218.34300,0.80000,0.78000,0.21750,0.27790,59.43860,63.75540,59.43860,47.01410,0.05510,4.60790,4.67950,2.59040,3.60570,17.48920,0.99740,0.96690
2018-12-31,331.47300,58.56400,272.90900,-77.26600,96.42400,176.48500,,176.48500,36.70600,139.77900,139.77900,,139.77900,192.06900,192.06900,214.26700,218.55300,0.65000,0.63000,0.24180,0.31900,53.24260,57.94410,53.24270,42.16900,0.05250,4.00660,4.07550,2.21360,3.03760,16.34270,0.8436,0.8179
2018-09-30,330.68600,52.40200,278.28400,-70.12500,93.59600,184.68800,,184.68800,41.89100,142.79700,142.79700,,142.79700,200.22300,200.22300,213.30900,217.90200,0.67000,0.66000,0.23520,0.30760,55.85000,60.54780,55.85000,43.18210,0.05270,4.26610,4.33830,2.27770,3.26260,15.69040,0.8766,0.8399
2018-06-30,319.25700,49.53800,269.71900,-70.18400,89.14800,180.57100,,180.57100,-28.37800,208.94900,208.94900,,208.94900,195.86200,195.86200,213.97600,217.83000,0.98000,0.96000,0.24320,0.32140,56.55980,61.34930,56.55980,65.44850,0.05200,6.52730,6.65030,3.40340,4.93990,13.71420,0.8423,0.8071
2018-03-31,291.59000,67.52600,224.06400,-63.24300,81.62200,142.44200,,142.44200,27.95600,114.48600,114.48600,,114.48600,157.52200,157.52200,215.96700,219.88300,0.53000,0.52000,0.25190,0.33670,48.85010,54.02170,48.85010,39.26270,0.04850,3.75070,3.82770,1.90480,2.80580,14.16150,0.53870,0.51730
2017-12-31,317.91200,64.39800,253.51400,-65.99900,88.78710,164.72700,0.00000,164.72700,157.91100,6.81600,6.81600,,6.81600,179.65600,179.65590,215.32100,220.40600,0.03000,0.04000,0.25500,0.34240,51.81530,56.51120,51.81530,2.14400,0.05390,0.22720,0.23220,0.11550,0.16930,13.90100,0.6404,0.625
2017-09-30,312.05300,68.63500,243.41800,-64.19500,94.83800,148.58000,-45.76600,102.81400,37.67200,65.14200,65.14200,,65.14200,164.29500,164.29500,215.27900,219.39100,0.30000,0.30000,0.25570,0.34360,47.61370,52.64970,32.94760,20.87530,0.05340,2.18000,2.22990,1.11460,1.62250,13.87930,0.0362,-0.016
2017-06-30,302.91200,48.98000,253.93200,-68.75000,288.15900,-34.22700,-1.24700,-35.47400,-8.13200,-27.34200,-27.34200,,-27.34200,-18.04800,-18.04800,215.15200,215.15200,-0.13000,-0.13000,0.25340,0.33940,-11.29930,-5.95820,-11.71100,-9.02640,0.05210,-0.93830,-0.96130,-0.47000,-0.70050,13.54310,0.5805,0.5527
2017-03-31,288.75400,82.01700,206.73700,-68.37700,87.61100,119.12600,-4.45600,114.67000,38.19800,76.47200,76.47200,,76.47200,135.06400,135.06400,214.92500,221.49700,0.36000,0.34000,0.25670,0.34540,41.25520,46.77480,39.71200,26.48340,0.04950,2.61850,2.88860,1.31220,1.94620,13.57760,0.37890,0.34420
2016-12-31,274.44900,93.67800,180.77100,-62.41600,82.97500,97.79600,0.00000,97.79600,36.70700,61.08900,61.08900,,61.08900,115.06500,115.06500,211.78900,229.25800,0.28000,0.27000,0.27130,0.37240,35.63360,41.92580,35.63360,22.25880,0.04680,2.12680,2.35310,1.04190,1.54980,13.38930,0.3929,0.3629
2016-09-30,320.88300,91.35100,229.53200,-62.11900,85.19400,144.33800,-17.39700,126.94100,44.13800,82.80300,82.80300,,82.80300,164.12100,164.12100,214.38700,225.96800,0.39000,0.37000,0.26990,0.36960,44.98150,51.14670,39.55990,25.80470,0.05300,2.86640,3.17340,1.36870,2.09290,13.47310,0.6055,0.554
2016-06-30,330.16800,82.48300,247.68500,-63.17300,89.03000,158.65500,-2.10800,156.54700,58.43500,98.11200,98.11200,,98.11200,181.20100,181.20100,214.27400,226.20300,0.46000,0.44000,0.31300,0.45560,48.05280,54.88150,47.41430,29.71580,0.05440,3.49730,3.88920,1.61710,2.40270,13.09180,0.5042,0.4579
2016-03-31,312.95200,72.93000,240.02200,-57.18800,82.05000,157.97200,-55.57000,102.40200,36.15300,66.24900,66.24900,,66.24900,179.50600,179.50600,203.70600,239.70700,0.33000,0.29000,0.32590,0.48360,50.47800,57.35900,32.72130,21.16910,0.05240,2.49020,2.79020,1.10980,1.67850,12.41640,0.16240,0.13520
2015-12-31,274.88200,87.62900,187.25300,-55.81800,80.22300,107.03000,-2.32000,104.71000,30.18200,74.52800,74.52800,0.00000,74.52800,128.02600,128.02600,199.91000,246.33200,0.36000,0.32000,0.32810,0.48840,38.93670,46.57490,38.09270,27.11270,0.04870,2.98480,3.37610,1.32090,2.00540,12.06990,0.0785,0.0519
2015-09-30,297.29200,92.02100,205.27100,-65.08200,89.57500,115.69600,-0.01100,115.68500,45.59400,70.09100,70.09100,,70.09100,136.91600,136.91600,207.93800,250.79500,0.34000,0.29000,0.33560,0.50510,38.91660,46.05440,38.91290,23.57650,0.05160,2.87780,3.26270,1.21670,1.91200,11.77340,0.2471,0.2135
2015-06-30,330.41600,63.04300,267.37300,-67.73100,95.51300,171.86000,-91.87600,79.98400,34.79100,45.19300,45.19300,4.85500,50.04800,196.36100,196.36100,193.11200,246.65000,0.26000,0.22000,0.34230,0.52050,52.01320,59.42840,24.20710,15.14700,0.05760,1.92030,2.19090,0.78780,1.26300,11.28260,-0.2735,-0.3065
2015-03-31,290.66300,72.03100,218.63200,-53.77400,81.18200,137.45000,,137.45000,45.72300,91.72700,91.72700,0.53000,92.25700,161.83500,161.83500,191.22400,243.04800,0.48000,0.39000,0.35580,0.55230,47.28840,55.67790,47.28840,31.74020,0.04270,4.15640,4.79460,1.34620,2.67750,11.52940,-0.00450,-0.01470
2014-12-31,295.05000,110.09300,184.95710,-84.72600,114.28000,70.67710,,70.67700,-807.34900,878.02600,878.02600,-449.69100,428.33500,114.77710,94.87700,184.55100,233.90200,2.27000,1.77000,0.36250,0.56860,23.95430,32.15630,23.95430,145.17370,0.04310,41.86940,48.54140,12.83230,26.69290,10.97630,0.3079,0.2793
2014-09-30,272.08100,77.07800,195.00300,-51.22500,78.50800,116.49500,,116.49500,-15.53600,132.03100,132.03100,21.55900,153.59000,157.73100,140.48400,191.05000,238.06700,0.80000,0.67000,0.42700,0.74510,42.81630,51.63320,42.81630,56.45010,0.04570,7.61250,9.16390,2.21540,4.36220,9.07830,0.1928,0.1772
2014-06-30,247.38000,71.39400,175.98600,-60.75100,83.09900,92.88700,,92.88700,-10.65000,103.53700,103.53700,71.29600,174.83300,129.07800,115.23500,182.58300,230.77900,0.96000,0.78000,0.44810,0.81180,37.54830,46.58220,37.54830,70.67390,0.04170,6.53540,8.04300,1.74520,3.60720,8.29390,-0.5107,-0.5332
2014-03-31,258.17400,56.64300,201.53100,-54.50700,74.43400,127.09700,,127.09700,-18.88300,145.98000,145.98000,56.77900,202.75900,161.98300,147.02400,173.16500,222.66800,1.17000,0.94000,0.51590,1.06580,49.22920,56.94760,49.22920,78.53580,0.04670,13.82950,13.82950,2.64030,6.69460,6.09570,-0.61530,-0.62770
2013-12-31,262.50400,128.87400,133.63000,-45.34700,65.09400,68.53600,,69.15700,-22.34600,91.50300,91.50300,,36.36900,99.14400,88.28300,166.36600,166.36600,0.38000,0.38000,0.49740,0.98980,26.10860,33.63110,26.34510,13.85470,0.04670,9.73800,9.76190,1.62770,4.89390,5.42830,-0.6933,-0.708
2013-09-30,244.57800,162.80700,81.77100,-70.97400,90.54400,-8.77300,,-8.77300,3.90900,-12.68200,-12.68200,,-12.68200,30.10600,10.79700,171.83000,171.83000,-0.07000,-0.07000,0.53430,1.14710,-3.58700,4.41450,-3.58700,-5.18530,0.04250,-1.41770,-1.41770,-0.22020,-0.66030,5.16770,-1.6062,-1.6234
2013-06-30,200.44200,150.29700,50.14500,-60.98100,80.40100,-30.25600,-1.25100,-31.50700,1.66500,-33.17200,-33.17200,,-33.17200,9.82700,-10.83600,171.78300,171.78300,-0.19000,-0.19000,0.53060,1.13050,-15.09460,-5.40610,-15.71880,-16.54940,0.03310,-3.67410,-3.67410,-0.54790,-1.72450,5.21800,-0.5476,-0.5492
2013-03-31,42.38200,149.25400,-106.87200,-80.10000,95.98100,-202.85300,0.63000,-202.22300,-14.72300,-187.50000,-187.50000,,-187.50000,-168.07900,-186.97200,144.35500,144.35500,-1.30000,-1.30000,0.52120,1.08860,-478.63000,-441.15900,-477.14360,-442.40480,0.00670,-20.13860,-20.13860,-2.94300,-9.64230,5.38600,-1.14970,-1.15230
2012-12-31,303.39400,250.52700,52.86700,-25.91800,38.50100,14.36590,,14.91800,-35.14300,50.06100,50.06100,,-177.30200,29.59190,26.94890,132.53300,132.53300,-1.34000,-1.34000,0.51200,1.04900,4.73510,8.88250,4.91700,-58.43950,0.05140,6.79880,6.79880,0.84800,3.31800,5.50950,-0.5559,-0.5734
2012-09-30,260.78900,189.27900,71.51000,-51.39500,63.91500,7.59500,,7.59500,-6.73000,14.32500,14.32500,,14.32500,39.96800,20.11500,132.52100,134.03300,0.11000,0.11000,0.45650,0.84000,2.91230,7.71310,2.91230,5.49290,0.04320,1.56510,1.56510,0.23710,0.85060,6.84850,-0.5615,-0.5572
2012-06-30,158.19200,221.67300,-63.48100,-40.19300,52.77400,-116.25500,-0.56100,-116.81600,2.44300,-119.25900,-119.25900,,-119.25900,-86.70200,-103.67400,132.34600,132.34600,-0.90000,-0.90000,0.46230,0.85990,-73.48980,-65.53680,-73.84440,-75.38880,0.02620,-13.23790,-13.23790,-1.97730,-7.11770,6.74720,-1.5686,-1.5691
2012-03-31,180.36800,294.20000,-113.83200,-50.15400,64.30200,-178.13400,0.00900,-178.12500,-8.89300,-169.23200,-169.23200,,-169.23200,-150.19700,-163.98600,132.46500,132.46500,-1.28000,-1.28000,0.47710,0.91240,-98.76140,-90.91750,-98.75640,-93.82600,0.02800,-16.60070,-16.60070,-2.62440,-8.68070,7.64810,-1.16590,-1.16880
2011-12-31,364.55100,368.77990,-4.22890,-33.24700,47.44410,-51.67300,-4.48500,-56.15800,65.38100,-121.53900,-121.53900,,-121.53900,-23.52500,-37.47600,132.37200,133.86300,-0.93000,-0.91000,0.46960,0.88540,-14.17440,-10.28000,-15.40470,-33.33940,0.05480,-10.28000,-10.28000,-1.82580,-5.45230,8.87610,-0.9685,-0.9699
2011-09-30,508.05200,261.04700,247.00500,-43.29800,57.39200,189.61300,,189.61300,6.04500,183.56800,183.56800,,183.56800,219.74600,203.70700,132.36400,133.51300,1.39000,1.37000,0.45790,0.84470,37.32160,40.09570,37.32160,36.13170,0.07010,14.24740,14.24740,2.53330,7.72360,9.67340,-1.1809,-1.1588
2011-06-30,471.95100,277.95300,193.99800,-45.95400,62.03300,131.96500,3.10200,135.06700,-2.04800,137.11500,137.11500,,137.11500,163.04300,148.04400,132.18500,133.61400,1.04000,1.03000,0.51620,1.06710,27.96160,31.36850,28.61890,29.05280,0.06810,12.14150,12.14150,1.97890,5.87380,8.48380,-2.6062,-2.6435
2011-03-31,603.28900,441.50400,161.78500,-46.21900,63.24300,98.54200,1.44800,99.99000,-3.01600,103.00600,103.00600,,103.00600,133.69700,115.56600,132.42700,133.70300,0.78000,0.77000,0.57960,1.37860,16.33410,19.15600,16.57420,17.07410,0.08210,10.58760,10.58760,1.40110,4.45120,7.30920,-1.95110,-1.95670
2010-12-31,-45.90500,426.55900,-472.46400,34.00500,-20.77900,-451.68500,,-519.69500,612.92200,-1132.61700,-1132.61700,,-1132.61700,-419.66000,-438.45900,,132.46980,,-8.55000,0.63330,1.72710,983.95610,955.14430,1132.11000,2467.30600,-0.00600,-131.73330,-131.73330,-14.86200,-48.30580,6.46210,0.5844,0.5793
2010-09-30,581.33100,355.44300,225.88800,-51.68000,61.18200,164.70600,,164.70600,52.52100,112.18500,112.18500,,112.18500,182.14700,174.20800,132.32400,133.52000,0.85000,0.84000,0.37540,0.60120,28.33260,29.96710,28.33260,19.29800,0.06770,5.80780,5.80780,1.30710,3.62730,14.52970,-2.9185,-2.9208
2010-06-30,-245.77400,451.96300,-697.73700,-27.81100,36.05600,-733.79300,6.57000,-727.22300,-252.14300,-475.08000,-475.08000,,-475.08000,-718.88900,-725.54800,110.28200,110.28200,-4.31000,-4.31000,0.42080,0.72660,298.56410,295.20940,295.89100,193.29950,-0.02620,-26.69550,-26.69550,-5.06780,-15.46160,13.39990,-0.692,-0.7
2010-03-31,127.81300,558.74800,-430.93500,-63.82500,74.62900,-505.56400,8.09800,-497.46600,-187.11100,-310.35500,-310.35500,,-310.35500,-488.36800,-494.76000,82.34100,82.34100,-3.77000,-3.77000,0.42430,0.73690,-395.54970,-387.09680,-389.21390,-242.81960,0.01550,-18.12440,-18.12440,-3.77040,-10.43460,20.65200,-3.48560,-3.48920
2009-12-31,392.86000,482.08600,-89.22600,-58.56400,68.68410,-157.91010,9.61800,-148.29200,-56.42500,-91.86700,-91.86700,,-91.86700,-153.84810,-147.79000,81.93700,81.93700,-1.10000,-1.07000,0.33150,0.49590,-40.19500,-37.61900,-37.74680,-23.38420,0.04880,-4.58190,-4.58190,-1.14020,-3.06300,24.22400,21.7539,21.7414
2009-09-30,331.63400,419.09700,-87.46300,-22.46500,33.76100,-121.22400,7.94600,-113.27800,-42.82800,-70.45000,-70.45000,,-70.45000,-91.85200,-109.92800,81.74900,81.74900,-0.86000,-0.86000,0.32430,0.48000,-36.55350,-33.14740,-34.15750,-21.24330,0.03960,-3.29070,-3.29070,-0.84230,-2.22340,25.91510,-1.9836,-2.0125
2009-06-30,577.42400,158.71700,418.70700,-57.81900,70.11400,348.59300,5.11000,353.70300,121.82800,231.87500,231.87500,,231.87500,365.50900,360.88800,81.39600,82.24000,2.85000,2.82000,0.35560,0.55180,60.37040,62.49970,61.25530,40.15680,0.06830,11.22200,11.22200,2.74230,7.23180,25.12100,-19.7679,-19.769
2009-03-31,11.46000,340.70800,-329.24800,-3.41800,15.71700,-344.96500,10.55200,-334.41300,-116.97600,-217.43700,-217.43700,,-217.43700,-329.22500,-332.66600,80.90200,80.90200,-2.69000,-2.69000,0.37140,0.59070,-3010.16600,-2902.84500,-2918.08900,-1897.35600,0.00130,-12.07380,-12.07380,-2.49820,-7.59010,22.12040,0.33500,0.32500
