Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2018-09-30,2.24600,1.78400,0.46200,2.67200,6.33600,9.00800,-8.54600,0.02400,-8.52200,-8.52200,-8.52200,-8.52200,-8.43900,-8.54600,2.86480,2.86480,-2.88030,-2.88030,1.36520,,20.56990,-380.49860,-380.49860,-379.43010,-379.43010,0.19670,0.49500,1.88110,47.84510,-218.96280,-218.96200,-74.62350,-218.96200,1.32860,-2.2579,-2.265
2018-06-30,1.90700,0.83600,1.07100,2.42200,6.63700,9.05900,-7.98800,0.02700,-7.96100,-7.96100,-7.96100,-7.96100,-7.87700,-7.98800,2.68380,2.68380,-2.88030,-2.88030,1.74750,,56.16150,-418.87780,-418.87780,-417.46200,-417.46200,0.14000,0.23440,2.65600,33.88570,-121.65380,-121.65340,-58.46370,-121.65340,2.34170,-2.694,-2.7096
2018-03-31,0.97600,0.66800,0.30800,2.47400,7.60300,10.07700,-9.76900,0.01600,-9.75300,-9.75300,-9.75300,-9.75300,-9.65800,-9.76900,2.46030,2.46030,-4.08040,-4.08040,1.32490,,31.55740,-1000.92200,-1000.92200,-999.28280,-999.28280,0.09380,0.23760,2.05470,43.80120,-276.21200,-276.21070,-93.71580,-276.21070,1.41550,-2.75500,-2.78260
2017-12-31,3.10900,1.86200,1.24700,2.27100,6.40900,8.68000,-7.43300,0.02400,-7.40900,-7.40900,-7.40900,-7.40900,-7.32100,-7.43300,2.25610,2.25610,-3.12030,-3.12030,1.99020,,40.10940,-239.08000,-239.08000,-238.30810,-238.30810,0.21450,0.68960,1.69800,53.00420,-93.99890,-93.99900,-51.10710,-93.99900,3.28280,-3.3319,-3.3729
2017-09-30,1.61000,1.00100,0.60900,1.82600,5.53200,7.35800,-6.74900,0.03300,-6.71600,-6.71600,-6.71600,-6.71600,-6.63300,-6.74900,2.36640,2.36640,-2.88030,-2.88030,2.90050,,37.82610,-419.19250,-419.19250,-417.14280,-417.14290,0.08440,0.30850,2.41020,37.34160,-51.77310,-51.77310,-35.19730,-51.77300,5.48110,-1.95,-1.9624
2017-06-30,2.23600,1.12700,1.10900,1.94900,6.03200,7.98100,-6.87200,0.02900,-6.84300,-6.84300,-6.84300,-6.84300,-6.75600,-6.87200,2.35450,2.35450,-2.88030,-2.88030,4.17440,,49.59750,-307.33450,-307.33450,-306.03750,-306.03750,0.09210,0.36930,2.41470,37.27190,-36.39310,-36.39310,-28.19880,-36.39310,7.94660,-1.9035,-1.9213
2017-03-31,1.00900,1.12700,-0.11800,1.84700,5.59000,7.43700,-7.55500,0.00700,-7.54800,-7.54800,-7.54800,-7.54800,-7.44200,-7.55500,1.92450,1.92450,-3.84040,-3.84040,4.96980,,-11.69480,-748.76120,-748.76120,-748.06750,-748.06740,0.03350,0.36140,1.29030,69.75220,-30.97890,-30.97890,-25.05810,-30.97890,10.37540,-3.42890,-3.47520
2016-12-31,0.71500,3.30800,-2.59300,2.08100,5.70900,7.79000,-10.38300,0.01300,-10.37000,-10.37000,-10.37000,-10.37000,-10.26200,-10.38300,1.64790,1.64790,-6.00060,-6.00060,2.69900,,-362.65740,-1452.16800,-1452.16800,-1450.35000,-1450.35000,0.04250,0.96840,2.60950,34.48950,-93.02110,-93.02120,-61.68950,-93.02120,6.26630,-4.9493,-5.0158
2016-09-30,1.18000,2.61500,-1.43500,1.58800,5.47600,7.06400,-8.49900,0.01000,-8.48900,-8.48900,-8.48900,-8.48900,-8.39100,-8.49900,1.75900,1.75900,-4.80050,-4.80050,4.35630,,-121.61020,-720.25420,-720.25420,-719.40670,-719.40690,0.04490,0.45010,2.63980,34.09320,-41.21070,-41.21070,-32.32060,-41.21070,11.70320,-2.5228,-2.5651
2016-06-30,1.03700,3.24100,-2.20400,0.91600,5.38700,6.30300,-8.50700,0.00300,-8.50400,-8.50400,-8.50400,-8.50400,-8.40300,-8.50700,1.56400,1.56400,-5.52060,-5.52060,5.39540,,-212.53620,-820.34730,-820.34730,-820.05800,-820.05790,0.03040,0.43990,1.53180,58.75600,-30.27520,-30.27520,-24.92310,-30.27520,15.97680,-3.7114,-3.8359
2016-03-31,1.05300,0.91200,0.14100,0.76200,5.20000,5.96200,-5.82100,0.00500,-5.81600,-5.81600,-5.81600,-5.81600,-5.72200,-5.82100,1.49860,1.49860,-3.84040,-3.84040,3.18280,,13.39030,-552.80150,-552.80150,-552.32670,-552.32670,0.04670,0.10040,1.28100,70.25640,-36.49600,-36.49600,-25.78130,-36.49600,10.61950,-4.02960,-4.09370
2015-12-31,2.36200,1.67100,0.69100,0.54600,5.62200,6.16800,-5.47700,0.00300,-5.47400,-5.47400,-5.47400,-5.47400,-5.37300,-5.47700,1.48470,1.48470,-3.60040,-3.60040,3.35300,,29.25490,-231.87990,-231.87990,-231.75290,-231.75280,0.08360,0.20360,1.57360,57.19310,-27.01480,-27.01480,-19.38040,-27.01480,13.53180,-4.0266,-4.1527
2015-09-30,2.22700,0.75700,1.47000,0.59300,5.53900,6.13200,-4.66200,-0.00400,-4.66600,-4.66600,-4.66600,-4.66600,-4.58900,-4.66200,1.49300,1.49300,-3.12030,-3.12030,3.62800,,66.00810,-209.34000,-209.34000,-209.51960,-209.51950,0.06690,0.09300,1.70270,52.85640,-19.04170,-19.04170,-14.01730,-19.04170,16.40560,-3.1289,-3.3187
2015-06-30,2.66100,1.56900,1.09200,0.84900,5.19000,6.03900,-4.94700,0.02500,-4.92200,-4.92200,-4.92200,-4.92200,-4.87100,-4.94700,1.47990,1.47990,-3.36030,-3.36030,4.04340,,41.03720,-185.90750,-185.90750,-184.96800,-184.96800,0.07200,0.23060,2.20130,40.88500,-17.51550,-17.51550,-13.32380,-17.51550,18.83050,-3.2647,-3.4083
2015-03-31,1.70000,1.29600,0.40400,1.04800,4.31700,5.36500,-4.96100,0.00500,-4.95600,-4.95600,-4.95600,-4.95600,-4.87900,-4.96100,1.47070,1.47070,-3.36030,-3.36030,4.26730,,23.76470,-291.82350,-291.82350,-291.52940,-291.52940,0.04310,0.20250,1.31230,68.57950,-16.27100,-16.27100,-12.56050,-16.27100,20.68800,-3.42010,-3.47380
2014-12-31,1.52000,1.42100,0.09900,1.38100,4.30300,5.68400,-5.58500,-8.01300,-13.57700,-13.57700,-13.57700,-13.57700,-4.75730,-5.58500,1.22950,1.22950,-11.04100,-11.04100,4.96700,,6.55920,-367.43420,-367.43420,-893.22370,-893.22370,0.03530,0.24830,2.14690,41.92110,-39.21950,-39.21950,-31.52380,-39.21950,23.57810,1.7683,1.7461
2014-09-30,0.60940,0.41660,0.19280,1.42000,4.42190,5.84190,-5.64910,-1.99520,-7.64430,-7.64430,-7.64430,-7.64430,-4.14430,-5.64910,1.02090,1.02090,-7.44070,-7.44070,,,31.63570,-926.94210,-926.94210,-1254.33800,-1254.33800,,,,,,,,,,-5.1047,-5.2492
2014-06-30,0.61150,0.99310,-0.38160,1.22020,3.96110,5.18130,-5.56290,-1.97820,-7.54110,-7.54110,-7.54110,-7.54110,-4.05560,-5.56290,0.97290,0.97290,-7.68080,-7.68080,,,-62.40250,-909.74410,-909.74410,-1233.25600,-1233.25600,,,,,,,,,,-5.7207,-5.9141
2014-03-31,0.65670,0.72740,-0.07070,1.03950,3.34630,4.38580,-4.45650,-1.98230,-6.43880,-6.43880,-6.43880,-6.43880,-2.93920,-4.45650,0.96130,0.96130,-6.72070,-6.72070,,,-10.76660,-678.59120,-678.59120,-980.43230,-980.43230,,,,,,,,,,-4.84450,-4.93990
2013-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2012-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
