Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2021-04-30,1625.55200,971.60500,653.94700,497.41800,,531.39500,122.55200,-1.60800,120.94400,26.38100,94.56300,94.56300,,94.56300,156.66800,122.55200,35.34900,36.04200,2.68000,2.62000,1.55140,0.02470,0.02530,40.22920,7.53910,7.53910,7.44020,5.81730,0.40260,1.07780,7.45470,7.45470,2.34210,7.27090,36.32600,5.66820,4.77590
2021-01-31,1737.91500,1052.74200,685.17270,520.61710,,554.20300,130.97000,-1.04200,129.92800,31.94200,97.98600,97.98600,,97.98600,-10.49200,130.97020,38.23300,39.06700,2.89000,2.80000,1.58480,0.02720,0.02800,39.42500,7.53600,7.53610,7.47610,5.63810,0.43050,1.11960,7.66880,7.66880,2.42700,7.45990,35.95700,3.3989,2.5658
2020-10-31,1377.92500,820.03200,557.89310,482.30700,,515.39300,42.50000,-3.07000,39.43000,9.52000,29.91000,29.91000,,29.91000,132.71600,42.50000,38.05400,39.19100,0.79000,0.76000,1.49330,0.03040,0.03140,40.48790,3.08430,3.08430,2.86150,2.17070,0.32770,0.75300,2.38080,2.38080,0.71140,2.30830,33.87350,-4.8746,-5.7695
2020-07-31,1644.19700,960.63300,683.56400,504.00000,463.05300,74.92100,608.64310,-1.19100,607.45200,155.48000,451.97200,451.97200,,451.97200,760.91810,608.64310,39.23900,40.04000,11.52000,11.29000,1.57520,0.03140,0.03240,41.57430,37.01770,37.01770,36.94520,27.48890,0.39430,1.34640,34.02990,34.02990,10.84000,32.96100,33.83760,7.9741,6.978
2020-04-30,1439.14900,868.39300,570.75600,458.63100,,496.32100,74.43510,-6.63900,67.79600,18.47300,49.32300,49.32300,,49.32300,112.25410,74.43510,39.12900,39.24000,1.26000,1.26000,1.48390,0.33070,0.49400,39.65930,5.17220,5.17220,4.71080,3.42720,0.43320,1.07670,5.57990,5.57990,1.48480,3.73480,22.53610,3.72380,2.98660
2020-01-31,1606.98200,972.96290,634.01940,471.06410,,508.47310,125.54640,-3.42000,122.12600,28.36200,93.76400,93.76400,,93.76400,-8.48460,125.54620,39.24400,39.35100,2.38000,2.36000,1.22180,0.24840,0.33050,39.45400,7.81260,7.81250,7.59970,5.83480,0.50390,1.05610,11.09020,11.09020,2.94000,8.33510,21.65800,6.5536,5.7458
2019-10-31,1167.98800,704.60200,463.38600,436.71400,178.53400,292.93200,170.45400,-5.68100,164.77300,37.79100,126.98200,126.98200,,126.98200,262.56400,170.45400,39.01700,39.09400,3.25000,3.25000,1.29090,0.39660,0.65740,39.67390,14.59380,14.59380,14.10740,10.87190,0.34130,0.63070,16.65720,16.65720,3.71100,10.05050,19.52870,-1.9902,-3.7546
2019-07-31,1252.41400,754.18400,498.22990,455.02600,,485.04900,13.18090,-5.35400,7.82700,1.64900,6.17800,6.17800,,6.17800,157.68390,13.18090,39.00000,39.07700,0.16000,0.16000,1.09360,0.42060,0.72580,39.78160,1.05240,1.05240,0.62500,0.49330,0.39230,0.86290,0.95850,0.95850,0.19350,0.55540,16.52630,2.6148,0.3664
2019-04-30,1295.79600,776.74900,519.04700,460.60500,,493.40200,25.64500,-2.82300,22.82200,7.28200,15.54000,15.54000,,15.54000,58.74900,25.64500,39.92200,40.00200,0.39000,0.39000,1.24970,0.42050,0.72560,40.05620,1.97910,1.97910,1.76120,1.19930,0.42550,0.83790,2.39690,2.39690,0.51020,1.38910,16.60600,1.43580,-0.48300
2019-01-31,1598.55100,939.20690,659.34420,476.89310,,510.92710,148.41740,-4.49100,143.92600,35.87900,108.04700,108.04700,,108.04700,179.77640,148.41740,40.80900,40.96200,2.67000,2.66000,1.76650,0.42800,0.74830,41.24640,9.28450,9.28450,9.00350,6.75910,0.79010,0.96870,15.59030,15.59030,5.34000,8.91760,17.30790,4.7041,3.1633
2018-10-31,1149.40200,690.22800,459.17400,436.82600,,468.73700,-9.56310,-3.07900,-12.64200,-6.08600,-6.55600,-6.55600,,-6.55600,19.10690,-9.56310,40.02100,40.02100,-0.16000,-0.16000,1.71310,0.51110,1.04540,39.94900,-0.83200,-0.83200,-1.09990,-0.57040,0.53890,0.64270,-1.10610,-1.10610,-0.30740,-0.54080,14.80280,-1.6682,-3.6435
2018-07-31,1222.16900,730.75000,491.41890,426.60500,,457.10100,34.31800,-2.25800,32.06000,7.89600,24.16400,24.16400,,24.16400,62.25800,34.31800,41.06100,41.28100,0.59000,0.59000,1.69170,0.41110,0.69820,40.20880,2.80800,2.80800,2.62320,1.97710,0.66830,0.85550,3.98930,3.98930,1.32140,2.34910,15.14810,0.3833,-1.0395
2018-04-30,1267.98300,756.02500,511.95800,438.09200,,466.62100,45.33700,-1.06800,44.26900,13.03000,31.23900,31.23900,,31.23900,71.39300,45.33700,42.11300,42.21800,0.74000,0.74000,1.65350,0.20160,0.25250,40.37580,3.57550,3.57550,3.49130,2.46370,0.73420,0.88980,4.53320,4.53320,1.80890,3.61930,16.27640,2.29490,1.56020
2018-01-31,1640.61100,958.56990,682.04070,484.55600,,514.16010,167.88060,-1.61700,166.26400,61.43600,104.82800,104.82800,,104.82800,194.48060,167.88100,42.81800,43.30000,2.49000,2.46000,1.73330,0.24340,0.32170,41.57240,10.23280,10.23280,10.13430,6.38960,0.99330,1.09830,15.65560,15.65560,6.34660,11.84510,15.97110,5.0985,4.0378
2017-10-31,1109.18400,665.55800,443.62600,408.31400,,437.82200,5.80400,-1.67200,4.13200,-0.24000,4.37200,4.37200,,4.37200,32.48600,5.80400,41.96700,42.52400,0.10000,0.10000,1.66030,0.39670,0.65750,39.99570,0.52330,0.52330,0.37250,0.39420,0.60080,0.64110,0.77290,0.77290,0.23680,0.46630,13.51910,-1.6109,-2.6605
2017-07-31,1219.59700,727.09700,492.50010,415.15400,,444.54000,47.96010,-1.18400,46.77600,17.65600,29.12000,29.12000,,29.12000,74.65210,47.96010,43.13600,43.56400,0.68000,0.67000,1.62350,0.27920,0.38740,40.38220,3.93250,3.93250,3.83540,2.38770,0.76630,0.89710,4.97830,4.97830,1.82980,3.58820,13.85950,0.3841,-0.3077
2017-04-30,1294.97000,770.69500,524.27500,415.97200,,444.56700,79.70800,-1.52600,78.18200,26.67000,51.51200,51.51200,,51.51200,105.73800,79.70800,44.36100,44.72800,1.16000,1.15000,1.51790,0.15030,0.17690,40.48550,6.15520,6.15520,6.03740,3.97790,0.80950,0.92180,7.87760,7.87760,3.22010,6.69330,14.82310,1.91050,1.41590
2017-01-31,1572.76700,919.44390,653.32320,479.11200,,508.80210,144.52090,-0.94200,143.57900,53.50100,90.07800,90.07800,,90.07800,171.02290,144.52090,45.31600,45.97400,2.03000,2.00000,1.46540,0.14050,0.16350,41.53970,9.18900,9.18900,9.12910,5.72740,0.97830,1.07080,13.84470,13.84470,5.60290,11.89890,14.70050,5.8157,5.4678
2016-10-31,1105.49800,663.50600,441.99210,409.69500,,439.98900,2.00310,-0.99200,1.01100,-0.36500,1.37600,1.37600,,1.37600,29.22910,2.00310,44.16500,44.92600,0.03000,0.03000,1.57630,0.39970,0.66580,39.98130,0.18120,0.18120,0.09150,0.12450,0.59850,0.64020,0.25240,0.25240,0.07450,0.15150,12.33820,-1.5079,-2.1077
2016-07-31,1203.15500,716.73200,486.42300,416.74600,,447.50300,38.92000,-1.90000,37.02000,14.30500,22.71500,22.71500,,22.71500,66.71610,38.92000,44.40200,45.01400,0.51000,0.50000,1.51300,0.32180,0.47450,40.42900,3.23480,3.23480,3.07690,1.88800,0.74060,0.88640,4.17940,4.17940,1.39810,2.83440,12.31420,0.869,0.2489
2016-04-30,1312.57500,794.89400,517.68100,425.40300,,455.12200,62.55900,0.13000,62.68900,24.03000,38.65900,38.65900,,38.65900,89.35000,62.55900,48.46600,48.88800,0.80000,0.79000,1.46020,0.19870,0.24800,39.44010,4.76610,4.76610,4.77600,2.94530,0.81700,0.98490,6.23460,6.23460,2.40620,4.99550,13.40120,1.60800,1.22290
2016-01-31,1583.96700,936.78380,647.18310,461.95400,,492.42020,154.76270,-3.81300,150.95000,56.39300,94.55700,94.55700,,94.53200,181.63870,154.76290,50.51700,50.96400,1.90000,1.89000,1.46570,0.07960,0.08650,40.85840,9.77060,9.77060,9.52990,5.96810,0.96560,1.10210,13.12440,13.12440,5.76440,12.07980,14.67320,5.651,5.442
2015-10-31,1116.47400,676.46700,440.00700,411.99400,,442.16500,-2.15800,-1.94500,-4.10300,-2.40000,-1.70300,-1.70300,0.19500,-1.50800,24.69100,-2.15800,49.05700,49.05700,-0.03000,-0.03000,1.73890,0.34450,0.52550,39.41040,-0.19330,-0.19330,-0.36750,-0.13510,0.59090,0.64590,-0.26720,-0.26720,-0.09010,-0.17520,12.98280,-1.206,-1.9761
2015-07-31,1209.68600,733.85200,475.83400,414.30500,,445.29700,30.53710,-2.71100,27.82600,10.11500,17.71100,17.71100,-0.07500,17.63600,56.80110,30.53710,50.83100,51.33600,0.35000,0.34000,1.72940,0.25840,0.34850,39.33530,2.52440,2.52440,2.30030,1.45790,0.72680,0.89340,2.76500,2.76500,1.06410,2.05050,13.06220,0.6413,-0.1189
2015-04-30,1280.45500,776.33900,504.11600,420.24600,,451.47100,52.64500,-0.46800,52.17700,19.86900,32.30800,32.30800,-0.09500,32.21300,80.71000,52.64500,53.08700,53.65700,0.61000,0.60000,1.66830,0.04850,0.05100,39.37010,4.11140,4.11140,4.07490,2.51570,0.77660,0.92930,4.06860,4.06860,1.95950,3.87110,15.09120,1.63120,0.89840
2015-01-31,1593.34900,943.42000,649.92910,465.34400,,496.51100,153.41860,-0.97200,152.44600,58.46300,93.98300,93.98300,0.44800,94.43100,180.98060,153.41850,54.93500,55.55200,1.72000,1.70000,1.69990,0.07290,0.07870,40.79010,9.62870,9.62870,9.56760,5.92660,0.97400,1.10770,11.90340,11.90340,5.74510,11.03540,14.92200,4.5973,4.3243
2014-10-31,1107.09500,676.15300,430.94200,404.73200,,434.99900,-4.05710,-0.75600,-4.81300,-1.69800,-3.11500,-3.11500,-0.32600,-3.44100,22.58190,-4.05710,54.85000,54.85000,-0.06000,-0.06000,1.73570,0.28430,0.39720,38.92550,-0.36650,-0.36650,-0.43470,-0.31080,0.57250,0.62870,-0.43650,-0.43650,-0.16110,-0.31240,13.46490,-1.6851,-2.3541
2014-07-31,1195.36300,725.83600,469.52700,412.14200,,441.58500,27.94200,-0.51000,27.43200,10.22000,17.21200,17.21200,2.72600,19.93800,54.05300,27.94200,54.99100,55.68900,0.36000,0.36000,1.75520,0.06430,0.06870,39.27900,2.33750,2.33750,2.29490,1.66790,0.72780,0.90790,2.09230,2.09230,1.04800,1.95790,14.95210,1.0466,0.6351
2014-04-30,1281.27100,787.71500,493.55600,417.54600,,446.37100,47.18490,-0.35000,46.83500,18.25400,28.58100,28.58100,-25.23300,3.34800,72.72190,47.18490,57.01000,57.53600,0.06000,0.06000,1.77740,0.06020,0.06410,38.52080,3.68270,3.68270,3.65540,0.26130,0.77230,0.94390,3.41660,3.41660,1.72270,3.21080,15.03870,1.77570,1.49690
2014-01-31,1571.91200,962.28090,609.63090,444.76190,,474.59710,135.03370,-0.80400,134.23000,50.00100,84.22900,84.22900,0.12400,84.35300,183.45170,135.03380,57.41500,57.95800,1.47000,1.46000,1.94140,0.07870,0.08540,38.78280,8.59040,8.59040,8.53930,5.36630,0.90360,1.05170,9.34400,9.34400,4.84190,8.60860,15.66390,4.6593,4.3082
2013-10-31,1104.91800,673.49000,431.42800,405.27900,,434.29300,-2.86500,-1.03400,-3.89900,-1.95100,-1.94800,-1.94800,-7.56900,-9.51700,1.42800,-2.86500,57.46100,57.46100,-0.17000,-0.17000,1.83670,0.28490,0.40220,39.04620,-0.25930,-0.25930,-0.35290,-0.86130,0.51760,0.54400,-0.23950,-0.24340,-0.09130,-0.17130,14.14750,-2.6533,-3.2453
2013-07-31,1180.90500,716.79000,464.11510,400.08800,,427.62200,36.49300,-0.74100,35.75200,13.80800,21.94400,21.94400,-3.81800,18.12600,61.12700,36.49300,57.38200,57.92400,0.32000,0.31000,1.75820,0.14770,0.17710,39.30160,3.09030,3.09030,3.02750,1.53490,0.65560,0.78450,2.68390,2.72720,1.21820,2.28750,14.23710,0.3755,-0.1905
2013-04-30,1267.02000,764.82500,502.19500,413.90200,,440.74700,61.44800,-0.72600,60.72200,23.65700,37.06500,37.06500,-4.73200,32.33300,86.29900,61.44800,57.30500,57.84300,0.56000,0.56000,1.76920,0.14700,0.17620,39.63590,4.84980,4.84980,4.79250,2.55190,0.72950,0.86440,4.65690,4.73660,2.13410,3.97220,13.88420,1.04050,0.74170
2013-01-31,1565.59500,933.78310,631.81160,396.53900,,421.53590,210.27580,-1.50500,208.77100,75.13600,133.63500,133.63500,-13.34800,120.28700,235.18680,210.27610,59.85200,60.47600,2.05000,2.04000,1.73220,0.18420,0.22990,40.35600,13.43110,13.43110,13.33490,7.68320,0.89280,1.01720,17.62670,17.94670,7.62050,14.37950,13.23830,5.2704,4.8377
2012-10-31,1134.20500,701.61500,432.59000,412.69200,,439.28200,-6.69200,-1.44500,-8.13700,-2.14900,-5.98800,-5.98800,0.00100,-5.98700,17.24500,-6.69200,57.75600,57.75600,-0.10000,-0.10000,1.77580,0.42260,0.73670,38.14040,-0.59000,-0.59000,-0.71740,-0.52790,0.54930,0.58920,-0.94630,-0.96690,-0.29000,-0.54640,11.05160,-2.0767,-2.8268
2012-07-31,1218.03700,740.20200,477.83500,412.22000,,438.49100,39.34400,-0.93300,38.41100,16.32100,22.09000,22.09000,-0.01500,22.07500,63.20600,39.34400,60.46600,60.99700,0.37000,0.36000,1.72940,0.26030,0.35630,39.22990,3.23010,3.23010,3.15350,1.81230,0.70580,0.84010,3.20140,3.26500,1.28010,2.36810,11.71870,-0.4721,-1.1841
2012-04-30,1294.48100,782.03200,512.44900,418.31900,,443.60700,68.84190,-0.29900,68.54300,27.76300,40.78000,40.78000,-0.03400,40.74600,91.73390,68.84190,64.11900,65.16500,0.64000,0.63000,1.50110,,0.00380,39.58720,5.31810,5.31810,5.29500,3.14770,0.77200,0.92260,5.03810,5.13350,2.43200,5.03810,12.89040,1.92710,1.65120
2012-01-31,1626.55400,962.52990,664.02390,450.12300,,475.29310,188.73110,-0.89300,187.83800,74.16600,113.67200,113.67200,1.04800,114.72000,226.13310,188.73130,68.31600,69.41900,1.75000,1.72000,1.72130,0.07410,0.08380,40.82400,11.60310,11.60310,11.54820,7.05290,0.99100,1.16640,13.80800,14.01710,6.92570,12.78460,12.94210,4.291,3.964
2011-10-31,1138.28600,693.92600,444.36000,412.58100,,435.45400,8.90600,-1.14100,7.76500,3.52400,4.24100,4.24100,-0.05100,4.19000,25.63500,8.90600,64.94900,65.93100,0.06000,0.06000,1.70660,0.27540,0.38430,39.03760,0.78240,0.78240,0.68220,0.36810,0.57990,0.63060,0.56530,0.57480,0.21610,0.40960,11.59620,-1.2603,-2.1436
2011-07-31,1167.13500,706.59900,460.53600,379.34700,,400.77500,59.76100,-1.28000,58.48100,22.76700,35.71400,35.71400,-0.03100,35.68300,79.63300,59.76100,70.13000,71.04900,0.51000,0.50000,1.72390,0.06890,0.07810,39.45870,5.12030,5.12030,5.01060,3.05730,0.72930,0.90580,4.37380,4.49210,2.23150,4.07250,12.16200,-0.111,-0.5246
2011-04-30,1227.27400,733.14500,494.12900,387.16700,,407.83100,86.29800,-0.38900,85.90900,33.37800,52.53100,52.53100,-0.06000,52.47100,105.60200,86.29800,74.04700,75.26600,0.71000,0.70000,1.93680,,0.00340,40.26230,7.03170,7.03170,7.00000,4.27540,0.69820,0.93410,5.21750,5.21750,2.98840,5.21750,13.56880,1.66800,1.41300
2011-01-31,1518.94300,898.97880,619.96420,421.72600,,442.80020,177.16390,-0.76700,176.39700,66.37200,110.02500,110.02500,0.03000,110.05500,217.27290,177.16420,77.59600,78.58100,1.46000,1.44000,1.94070,,0.00380,40.81550,11.66360,11.66370,11.61310,7.24550,0.93790,1.17950,11.62080,11.62080,6.79330,11.62080,12.81290,3.5377,3.2836
2010-10-31,1055.83000,627.72300,428.10690,381.62000,,401.20400,26.90300,-0.70500,26.19800,8.45300,17.74500,17.74500,-0.05100,17.69400,45.15100,26.90300,75.48100,76.36900,0.23000,0.23000,1.73380,0.13410,0.15930,40.54700,2.54800,2.54800,2.48130,1.67580,0.59280,0.62370,2.13820,2.13820,0.99620,1.85150,11.09490,-1.2396,-1.8114
2010-07-31,1142.30900,679.88400,462.42500,380.37400,,399.22200,63.20300,-0.32600,62.87700,24.09800,38.77900,38.77900,0.09800,38.87700,81.09700,63.20300,79.46700,80.33300,0.49000,0.48000,1.85700,,0.00410,40.48160,5.53290,5.53290,5.50440,3.40340,0.71840,0.92600,4.25360,4.25360,2.43900,4.25360,11.66550,0.4058,0.018
2010-04-30,1235.16200,733.20700,501.95500,392.78000,,411.88000,90.07510,-0.16300,89.91200,33.91400,55.99800,55.99800,-0.10000,55.89800,108.35010,90.07510,80.93200,82.38500,0.69000,0.68000,1.90590,,0.00490,40.63880,7.29260,7.29260,7.27940,4.52560,0.74480,0.98390,5.91370,5.91370,3.37690,5.91370,11.76480,1.30800,1.16940
2010-01-31,1463.28000,858.52790,604.75210,416.69900,,435.25510,169.49680,-0.37000,169.12700,62.93900,106.18800,106.18800,-0.82200,105.36600,187.12580,169.49680,81.61900,82.68100,1.28000,1.27000,2.06990,,0.00480,41.32850,11.58340,11.58340,11.55810,7.20070,0.87650,1.17390,10.60380,10.60380,6.36050,10.60380,12.22400,3.05,2.8459
2009-10-31,1035.26900,617.27800,417.99100,365.19400,12.96400,370.41400,47.57700,-0.49300,47.08400,16.82800,30.25600,30.25600,0.07300,30.32900,64.90600,47.57700,81.67400,82.73300,0.37000,0.37000,1.71740,0.00110,0.00530,40.37510,4.59560,4.59560,4.54800,2.92960,0.62570,0.67230,3.42660,3.42660,1.82870,3.42280,10.80710,-0.3833,-0.6634
2009-07-31,1086.56700,652.18400,434.38300,367.78100,,386.73000,47.65300,-0.48700,47.16600,18.55000,28.61600,28.61600,-0.17300,28.44300,65.82400,47.65300,81.62300,82.51600,0.35000,0.34000,1.92050,,0.00570,39.97760,4.38560,4.38560,4.34080,2.61770,0.74270,0.97670,3.37710,3.37710,1.95600,3.37710,10.37900,0.8858,0.574
2009-04-30,1141.65600,679.47600,462.18000,382.68200,,401.89700,60.28300,-0.31500,59.96800,23.65800,36.31000,36.31000,-0.07900,36.23100,78.65500,60.28300,81.40800,82.32400,0.45000,0.44000,1.82020,,0.00610,40.48330,5.28030,5.28030,5.25270,3.17350,0.79510,0.94610,4.45860,4.45860,2.52870,4.45860,9.98100,1.18890,1.03300
2009-01-31,1366.92500,814.35310,552.57200,399.63600,,419.39190,133.18040,-1.10000,132.08000,50.27300,81.80700,81.80700,-3.04200,78.76500,151.41740,133.18040,81.11100,82.07600,0.97000,0.96000,1.69070,,0.08610,40.42450,9.74310,9.74310,9.66260,5.76220,0.95430,1.10550,10.55790,10.55790,5.71100,10.55790,9.52890,2.5716,1.4904
