Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2018-09-30,38.91700,4.42400,34.49300,5.21900,22.81700,-2.45000,33.02600,1.46700,-0.34400,1.12300,0.19300,0.93000,0.93000,,0.93000,4.05600,1.46700,48.78000,50.39000,0.02000,0.02000,0.44450,0.10340,0.11530,88.63220,3.76960,3.76960,2.88560,2.38970,0.15480,1.82160,49.40670,0.64610,-1.84480,0.36990,0.57930,2.70620,0.0022,-0.042
2018-06-30,41.59500,4.74900,36.84600,5.12900,25.17400,-2.95700,35.77600,1.07000,-0.51300,0.55700,0.76200,-0.20500,-0.20500,,-0.20500,3.63400,1.07000,48.72200,48.72200,-0.00420,-0.00420,0.49560,0.11520,0.13020,88.58280,2.57240,2.57240,1.33910,-0.49280,0.15900,1.71680,52.42270,-0.14390,0.38880,-0.07840,-0.12730,2.65050,0.029,-0.0206
2018-03-31,43.07100,5.15700,37.91400,5.46300,26.64900,3.62800,31.06500,6.84900,-0.55500,6.29400,2.79100,3.50300,3.50300,,3.50300,9.47900,6.84900,48.25800,48.97400,0.07000,0.07000,0.52870,0.20530,0.25830,88.02670,15.90170,15.90170,14.61310,8.13310,0.14600,1.50240,59.90390,2.41330,-4.76730,1.18740,1.91790,2.80710,0.14130,0.10400
2017-12-31,50.93600,7.29300,43.64300,5.75400,30.84000,7.48200,31.61300,12.03000,-0.68100,11.34900,-0.40900,11.75800,11.75800,,11.75800,14.57900,12.03000,47.90800,48.23000,0.24000,0.24000,0.54730,0.23810,0.31250,85.68200,23.61790,23.61790,22.28090,23.08390,0.17220,1.23080,73.12590,8.86450,-14.01650,3.97610,6.75390,2.62760,0.153,0.0884
2017-09-30,52.42400,7.61600,44.80800,6.42300,29.44200,-3.27500,42.27000,2.53800,-1.17600,1.36200,0.30400,1.05800,1.05800,,1.05800,6.14800,2.53800,48.02100,48.50200,0.02000,0.02000,0.59650,0.36630,0.57810,85.47230,4.84130,4.84130,2.59800,2.01820,0.17130,1.48560,60.57970,0.89420,-1.00030,0.34570,0.56660,2.35380,0.0691,0.0198
2017-06-30,52.40000,7.66800,44.73200,6.35600,29.79700,-1.18700,40.73000,4.00200,-0.80500,3.19700,1.37500,1.82200,1.82200,,1.82200,7.47300,4.00200,47.95300,48.26800,0.04000,0.04000,0.56560,0.38060,0.61440,85.36640,7.63740,7.63740,6.10110,3.47710,0.17150,1.58440,56.80310,1.60100,-1.67180,0.59620,0.99170,2.25730,0.1897,0.1166
2017-03-31,52.19000,7.39700,44.79300,6.45100,31.17800,,40.49800,4.29500,-0.80600,3.48900,2.14900,1.34000,1.34000,,1.34000,7.24500,4.29500,47.59600,48.13600,0.03000,0.03000,0.60990,0.41650,0.71380,85.82680,8.22960,8.22960,6.68520,2.56750,0.16810,1.33560,67.38360,1.24480,-1.18250,0.43160,0.72630,2.12740,0.30160,0.21450
2016-12-31,54.93800,7.56900,47.36900,6.39100,29.74000,0.00000,39.02200,8.34700,-0.88400,7.46300,1.98500,5.47800,5.47800,,5.47800,11.31900,8.34700,48.31900,48.31900,0.12000,0.12000,0.64800,0.44930,0.81590,86.22260,15.19350,15.19350,13.58440,9.97120,0.17720,1.25200,71.88300,5.27320,-4.68280,1.76660,2.90390,2.09480,0.1556,0.0908
2016-09-30,56.07300,7.94300,48.13000,6.01800,29.52600,-9.25200,64.21300,-16.08300,-0.90200,-16.98500,-0.14400,-16.84100,-16.84100,,-16.84100,3.41500,-16.08300,47.71900,47.71900,-0.35000,-0.35000,0.69200,0.46980,0.88610,85.83450,-28.68230,-28.68230,-30.29090,-30.03410,0.17870,1.41900,63.42680,-16.45660,13.79100,-5.36710,-8.72520,2.04080,0.2698,0.2042
2016-06-30,57.67300,8.07900,49.59400,6.24500,30.15400,-0.07700,41.10900,8.48500,-0.83700,7.64800,2.79400,4.85400,4.85400,,4.85400,13.19900,8.48500,48.60700,49.27900,0.10000,0.10000,0.69660,0.44760,0.81030,85.99170,14.71230,14.71230,13.26100,8.41640,0.16730,1.33630,67.35210,4.03010,-3.67270,1.40790,2.22620,2.39920,0.2533,0.1876
