Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,return-on-tangible-equity,roa
2022-03-31,5.08470,,5.08470,0.33160,-0.03810,,4.71500,4.71500,4.71500,4.71500,4.71500,4.71500,4.71500,11.50000,11.50000,0.41000,0.41000,100.00000,92.72950,92.72950,92.72950,92.72950,0.67900,62.96770,62.96770
2021-12-31,4.45390,,4.45390,0.21180,-0.04460,,4.19750,4.19750,4.19750,4.19750,4.19750,4.19750,4.19750,11.50000,11.50000,0.36500,0.36500,100.00000,94.24410,94.24420,94.24420,94.24420,0.56310,53.06930,53.06930
2021-09-30,3.67590,,3.67590,0.18130,-0.04470,,3.45000,3.45000,3.45000,3.45000,3.45000,3.45000,3.45000,11.50000,11.50000,0.30000,0.30000,100.00000,93.85450,93.85450,93.85450,93.85450,0.44090,41.37680,41.37680
2021-06-30,2.62240,,2.62240,0.16000,-0.04730,,2.41500,2.41500,2.41500,2.41500,2.41500,2.41500,2.41500,11.50000,11.50000,0.21000,0.21000,100.00000,92.09210,92.09210,92.09210,92.09210,0.29240,26.92410,26.92410
2021-03-31,1.32680,,1.32680,0.40580,0.34400,,1.26500,1.26500,1.26500,1.26500,1.26500,1.26500,1.26500,11.50000,11.50000,0.11000,0.11000,100.00000,95.34560,95.34560,95.34560,95.34560,0.13880,13.23030,13.23030
2020-12-31,1.14230,,1.14230,0.22060,0.17090,,1.09250,1.09250,1.09250,1.09250,1.09250,1.09250,1.09250,11.50000,11.50000,0.09500,0.09500,100.00000,95.64100,95.64100,95.64100,95.64110,0.10790,10.32290,10.32290
2020-09-30,,,,0.15100,0.15100,,,,,,,,,11.50000,11.50000,,0.00000,,,,,,,,
2020-06-30,3.22200,,3.22200,0.26580,-0.59870,,2.35750,2.35750,2.35750,2.35750,2.35750,2.35750,2.35750,11.50000,11.50000,0.20500,0.20500,100.00000,73.16890,73.16890,73.16890,73.16890,0.26860,19.65220,19.65220
2020-03-31,2.42620,,2.42620,0.21520,-0.02600,,2.18500,2.18500,2.18500,2.18500,2.18500,2.18500,2.18500,11.50000,11.50000,0.19000,0.19000,100.00000,90.06020,90.06020,90.06020,90.06020,0.20290,18.27500,18.27500
2019-12-31,2.84490,,2.84490,0.24170,-0.13070,,2.47250,2.47250,2.47250,2.47250,2.47250,2.47250,2.47250,11.50000,11.50000,0.21500,0.21500,100.00000,86.90910,86.90910,86.90910,86.90910,0.22780,19.79970,19.79970
2019-09-30,3.68110,,3.68110,0.17560,0.00200,,3.50750,3.50750,3.50750,3.50750,3.50750,3.50750,3.50750,11.50000,11.50000,0.30500,0.30500,100.00000,95.28420,95.28420,95.28420,95.28420,0.28510,27.16390,27.16390
2019-06-30,2.64860,,2.64860,0.16450,-0.01150,,2.47250,2.47250,2.47250,2.47250,2.47250,2.47250,2.47250,11.50000,11.50000,0.21500,0.21500,100.00000,93.35180,93.35180,93.35180,93.35180,0.19690,18.37680,18.37680
2019-03-31,3.81940,,3.81940,0.39130,0.19440,,3.62250,3.62250,3.62250,3.62250,3.62250,3.62250,3.62250,11.50000,11.50000,0.31500,0.31500,100.00000,94.84360,94.84360,94.84360,94.84360,0.27340,25.93180,25.93180
2018-12-31,4.94620,,4.94620,0.19310,0.01930,,4.77250,4.77250,4.77250,4.77250,4.77250,4.77250,4.77250,11.50000,11.50000,0.41500,0.41500,100.00000,96.48770,96.48770,96.48770,96.48770,0.33630,32.45210,32.45210
2018-09-30,5.06010,,5.06010,0.17830,-0.05180,,4.83000,4.83000,4.83000,4.83000,4.83000,4.83000,4.83000,11.50000,11.50000,0.42000,0.42000,100.00000,95.45330,95.45330,95.45330,95.45330,0.33120,31.61080,31.61080
2018-06-30,4.39700,,4.39700,0.15940,-0.04000,,4.19750,4.19750,4.19750,4.19750,4.19750,4.19750,4.19750,11.50000,11.50000,0.36500,0.36500,100.00000,95.46370,95.46370,95.46370,95.46370,0.27750,26.49560,26.49560
2018-03-31,2.74790,,2.74790,0.18340,-0.03450,,2.53000,2.53000,2.53000,2.53000,2.53000,2.53000,2.53000,11.50000,11.50000,0.22000,0.22000,100.00000,92.07090,92.07090,92.07090,92.07090,0.16760,15.43270,15.43270
2017-12-31,1.63450,,1.63450,0.25220,0.05520,,1.43750,1.43750,1.43750,1.43750,1.43750,1.43750,1.43750,11.50000,11.50000,0.12500,0.12500,100.00000,87.94830,87.94830,87.94830,87.94830,0.09640,8.47470,8.47470
2017-09-30,2.80880,,2.80880,0.26430,0.04300,,2.58750,2.58750,2.58750,2.58750,2.58750,2.58750,2.58750,11.50000,11.50000,0.22500,0.22500,100.00000,92.12060,92.12060,92.12060,92.12060,0.15940,14.68430,14.68430
2017-06-30,3.07700,,3.07700,0.12450,-0.07750,,2.87500,2.87500,2.87500,2.87500,2.87500,2.87500,2.87500,11.50000,11.50000,0.25000,0.25000,100.00000,93.43460,93.43460,93.43460,93.43460,0.16780,15.68120,15.68120
2017-03-31,1.59770,,1.59770,0.16780,-0.04990,,1.38000,1.38000,1.38000,1.38000,1.38000,1.38000,1.38000,11.50000,11.50000,0.12000,0.12000,100.00000,86.37360,86.37360,86.37360,86.37360,0.08440,7.29110,7.29110
2016-12-31,2.06220,,2.06220,0.30130,0.07910,,1.84000,1.84000,1.84000,1.84000,1.84000,1.84000,1.84000,11.50000,11.50000,0.16000,0.16000,100.00000,89.22650,89.22650,89.22650,89.22650,0.10550,9.41620,9.41620
2016-09-30,1.46700,,1.46700,0.22970,0.02770,,1.26500,1.26500,1.26500,1.26500,1.26500,1.26500,1.26500,11.50000,11.50000,0.11000,0.11000,100.00000,86.22780,86.22780,86.22780,86.22780,0.07230,6.23350,6.23350
2016-06-30,0.57450,,0.57450,0.11660,-0.11290,,0.34500,0.34500,0.34500,0.34500,0.34500,0.34500,0.34500,11.50000,11.50000,0.03000,0.03000,100.00000,60.05240,60.05240,60.05240,60.05240,0.02740,1.64700,1.64700
2016-03-31,1.39500,,1.39500,0.30530,0.06020,,1.15000,1.15000,1.15000,1.15000,1.15000,1.15000,1.15000,11.50000,11.50000,0.10000,0.10000,100.00000,82.43570,82.43570,82.43570,82.43570,0.06490,5.35210,5.35210
2015-12-31,2.59350,,2.59350,0.18870,0.01010,,2.41500,2.41500,2.41500,2.41500,2.41500,2.41500,2.41500,11.50000,11.50000,0.21000,0.21000,100.00000,93.11580,93.11580,93.11580,93.11590,0.11690,10.88480,10.88480
2015-09-30,2.50300,,2.50300,0.19560,-0.00740,,2.30000,2.30000,2.30000,2.30000,2.30000,2.30000,2.30000,11.50000,11.50000,0.20000,0.20000,100.00000,91.88820,91.88820,91.88820,91.88820,0.10940,10.05260,10.05260
2015-06-30,3.14790,,3.14790,0.14320,-0.07230,,2.93250,2.93250,2.93250,2.93250,2.93250,2.93250,2.93250,11.50000,11.50000,0.25500,0.25500,100.00000,93.15670,93.15670,93.15670,93.15670,0.13400,12.48550,12.48550
2015-03-31,7.21630,,7.21630,0.25680,0.05560,,7.01500,7.01500,7.01500,7.01500,7.01500,7.01500,7.01500,11.50000,11.50000,0.61000,0.61000,100.00000,97.21090,97.21090,97.21090,97.21090,0.30020,29.18480,29.18480
2014-12-31,10.48140,,10.48140,0.21350,0.02460,,10.29250,10.29250,10.29250,10.29250,10.29250,10.29250,10.29250,11.50000,11.50000,0.89500,0.89500,100.00000,98.19760,98.19760,98.19760,98.19760,0.42390,41.63010,41.63010
2014-09-30,9.26690,,9.26690,0.15220,-0.02970,,9.08500,9.08500,9.08500,9.08500,9.08500,9.08500,9.08500,11.50000,11.50000,0.79000,0.79000,100.00000,98.03670,98.03670,98.03670,98.03670,0.36490,35.77570,35.77570
2014-06-30,10.35400,,10.35400,0.10990,-0.12410,,10.12000,10.12000,10.12000,10.12000,10.12000,10.12000,10.12000,11.50000,11.50000,0.88000,0.88000,100.00000,97.73990,97.73990,97.73990,97.73990,0.39770,38.86960,38.86960
2014-03-31,9.83480,,9.83480,0.37830,0.08860,,9.54500,9.54500,9.54500,9.54500,9.54500,9.54500,9.54500,11.50000,11.50000,0.83000,0.83000,100.00000,97.05360,97.05360,97.05360,97.05360,0.37030,35.94210,35.94210
2013-12-31,11.51090,,11.51090,0.13950,-0.10140,,11.27000,11.27000,11.27000,11.27000,11.27000,11.27000,11.27000,11.50000,11.50000,0.98000,0.98000,100.00000,97.90730,97.90730,97.90730,97.90730,0.42180,41.29400,41.29400
2013-09-30,8.16090,,8.16090,0.21300,-0.01290,,7.93500,7.93500,7.93500,7.93500,7.93500,7.93500,7.93500,11.50000,11.50000,0.69000,0.69000,100.00000,97.23160,97.23160,97.23160,97.23160,0.29290,28.48080,28.48080
2013-06-30,10.17960,,10.17960,0.19500,0.02050,,10.00500,10.00500,10.00500,10.00500,10.00500,10.00500,10.00500,11.50000,11.50000,0.87000,0.87000,100.00000,98.28530,98.28530,98.28530,98.28530,0.35660,35.04460,35.04460
2013-03-31,8.02530,,8.02530,0.29760,0.09230,,7.82000,7.82000,7.82000,7.82000,7.82000,7.82000,7.82000,11.50000,11.50000,0.68000,0.68000,100.00000,97.44190,97.44190,97.44190,97.44190,0.27420,26.71830,26.71830
2012-12-31,8.86600,,8.86600,0.13610,-0.10490,,8.62500,8.62500,8.62500,8.62500,8.62500,8.62500,8.62500,11.50000,11.50000,0.75000,0.75000,100.00000,97.28220,97.28220,97.28220,97.28220,0.29490,28.68400,28.68400
2012-09-30,11.12720,,11.12720,0.19400,-0.00810,,10.92500,10.92500,10.92500,10.92500,10.92500,10.92500,10.92500,11.50000,11.50000,0.95000,0.95000,100.00000,98.18310,98.18310,98.18310,98.18310,0.36250,35.59290,35.59290
2012-06-30,11.89130,,11.89130,0.26770,0.10640,,11.73000,11.73000,11.73000,11.73000,11.73000,11.73000,11.73000,11.50000,11.50000,1.02000,1.02000,100.00000,98.64350,98.64350,98.64350,98.64350,0.37830,37.31900,37.31900
2012-03-31,9.65450,,9.65450,0.27380,0.16430,,9.54500,9.54500,9.54500,9.54500,9.54500,9.54500,9.54500,11.50000,11.50000,0.83000,0.83000,100.00000,98.86550,98.86550,98.86550,98.86550,0.29910,29.57020,29.57020
2011-12-31,10.76640,,10.76640,0.10450,-0.02440,,10.63750,10.63750,10.63750,10.63750,10.63750,10.63750,10.63750,11.50000,11.50000,0.92500,0.92500,100.00000,98.80270,98.80270,98.80270,98.80270,0.32440,32.04870,32.04870
2011-09-30,12.19470,,12.19470,0.15770,-0.19200,,11.84500,11.84500,11.84500,11.84500,11.84500,11.84500,11.84500,11.50000,11.50000,1.03000,1.03000,100.00000,97.13210,97.13210,97.13210,97.13210,0.35950,34.92050,34.92050
2011-06-30,9.68280,,9.68280,0.27120,0.01840,,9.43000,9.43000,9.43000,9.43000,9.43000,9.43000,9.43000,11.50000,11.50000,0.82000,0.82000,100.00000,97.38900,97.38900,97.38900,97.38900,0.28050,27.31310,27.31310
2011-03-31,7.94110,,7.94110,0.19310,0.01450,,7.76250,7.76250,7.76250,7.76250,7.76250,7.76250,7.76250,11.50000,11.50000,0.67500,0.67500,100.00000,97.75070,97.75070,97.75070,97.75070,0.22480,21.97850,21.97850
2010-12-31,7.27230,,7.27230,0.20340,-0.05390,,7.01500,7.01500,7.01500,7.01500,7.01500,7.01500,7.01500,11.50000,11.50000,0.61000,0.61000,100.00000,96.46190,96.46190,96.46190,96.46190,0.20130,19.42050,19.42050
2010-09-30,11.31470,,11.31470,0.18020,-0.03700,,11.09750,11.09750,11.09750,11.09750,11.09750,11.09750,11.09750,11.50000,11.50000,0.96500,0.96500,100.00000,98.08050,98.08050,98.08050,98.08050,0.30680,30.08740,30.08740
2010-06-30,7.15050,,7.15050,0.22450,0.03150,,6.95750,6.95750,6.95750,6.95750,6.95750,6.95750,6.95750,11.50000,11.50000,0.60500,0.60500,100.00000,97.30140,97.30140,97.30140,97.30140,0.18970,18.45810,18.45810
2010-03-31,6.78910,,6.78910,0.21130,0.03480,,6.61250,6.61250,6.61250,6.61250,6.61250,6.61250,6.61250,11.50000,11.50000,0.57500,0.57500,100.00000,97.39940,97.39940,97.39940,97.39940,0.17610,17.14930,17.14930
2009-12-31,6.99780,,6.99780,0.21760,0.06220,,6.84250,6.84250,6.84250,6.84250,6.84250,6.84250,6.84250,11.50000,11.50000,0.59510,0.59510,100.00000,97.78060,97.78060,97.78060,97.78060,0.17750,17.35250,17.35250
2009-09-30,5.47690,,5.47690,0.06790,-0.10710,,5.30190,5.30190,5.30190,5.30190,5.30190,5.30190,5.30190,11.50000,11.50000,0.46100,0.46100,100.00000,96.80480,96.80480,96.80480,96.80480,0.13580,13.14370,13.14370
2009-06-30,5.06850,,5.06850,0.23520,-0.01480,,4.81850,4.81850,4.81850,4.81850,4.81850,4.81850,4.81850,11.50000,11.50000,0.41900,0.41900,100.00000,95.06760,95.06760,95.06760,95.06760,0.12340,11.73550,11.73550
2009-03-31,1.48140,0.25000,1.23140,0.26040,0.01040,0.25000,0.98140,0.98140,0.98140,0.98140,0.98140,0.98140,0.98140,11.50000,11.50000,0.08530,0.08530,83.12450,66.24940,66.24940,66.24940,66.24940,0.03530,2.34150,2.34150
