Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2020-06-30,1394.00000,839.80000,554.20000,370.20000,175.90000,219.70000,334.50000,334.50000,20.30000,314.20000,314.20000,,317.80000,403.40000,359.90000,115.70000,116.40000,2.74000,2.73000,1.31240,0.64450,2.20110,39.75610,23.99570,25.81780,23.99570,22.79770,0.19020,1.24450,1.15960,77.61050,28.84950,-30.42810,4.28680,10.25620,9.38880,2.9808,2.7901
2020-03-31,1681.30000,982.50000,698.80000,352.00000,-153.90000,531.40000,167.40000,167.40000,37.50000,129.90000,129.90000,,132.20000,235.20000,192.90000,116.00000,116.60000,1.14000,1.13000,1.56540,0.67750,2.18750,41.56310,9.95660,11.47330,9.95660,7.86300,0.25220,1.56200,1.29220,69.64790,13.85010,-15.15050,1.94870,4.46680,8.09930,1.8645,1.7084
2019-12-31,1684.50000,981.60000,702.90000,403.20000,61.30000,368.30000,334.60010,334.60000,19.20000,315.40000,315.40000,,310.70000,402.90010,361.00010,115.70000,116.60000,2.68000,2.66000,1.45470,0.65330,2.19730,41.72750,19.86350,21.43070,19.86350,18.44460,0.23700,1.56980,1.29770,69.35530,30.42930,-39.37090,4.43730,10.55030,8.92000,1.98200,1.66640
2019-09-30,1730.20000,1007.30000,722.89980,405.10000,-234.40000,666.50000,56.39990,56.40000,48.30000,8.10000,8.10000,,8.10000,123.39990,83.40000,118.30000,119.30000,0.08000,0.09000,1.54160,0.82880,5.58360,41.78130,3.25970,4.82030,3.25970,0.46820,0.28300,1.74970,1.46790,61.31260,2.00400,-0.94080,0.13250,0.34310,3.49350,3.9466,3.7599
2019-06-30,1665.10000,934.80000,730.30000,361.70000,-20.40000,408.90000,321.39990,321.40000,60.00000,261.40000,261.40000,,261.40000,385.09990,348.19990,117.60000,118.60000,2.22000,2.20000,1.50870,0.62660,1.93730,43.85920,19.30210,20.91170,19.30220,15.69880,0.27040,1.42430,1.36190,66.08250,22.60270,-207.95530,4.24430,8.43880,9.88460,2.9962,2.7542
2019-03-31,1657.20000,949.00000,708.20000,385.00000,102.90000,305.80000,402.40000,402.40000,56.40000,346.00000,346.00000,,346.00000,465.50000,426.10000,118.90000,120.00000,2.91000,2.88000,1.59030,0.59120,1.66960,42.73470,24.28190,25.71210,24.28190,20.87860,0.26500,1.42620,1.33170,67.58150,25.89240,819.89910,5.53230,10.58530,11.28630,1.2201,0.9183
2018-12-31,1642.30000,903.60000,738.70010,386.70000,-210.50000,617.90000,120.80000,120.80000,40.50000,80.30000,80.30000,,80.30000,177.40000,141.50000,120.30000,121.50000,0.67000,0.66000,1.20850,0.49230,1.46490,44.97960,7.35550,8.61600,7.35550,4.88950,0.27670,1.44070,1.38160,65.14220,6.30150,4015.24500,1.35290,3.19960,10.65470,1.74490,1.40000
2018-09-30,1729.50000,993.40000,736.09990,415.10010,179.90000,254.40000,481.69980,481.70010,135.80000,345.90010,345.90010,,345.70000,540.59990,500.90000,125.40000,126.90000,2.72000,2.70000,1.26550,0.43100,1.09810,42.56140,27.85200,28.96210,27.85200,19.98840,0.27620,1.70800,1.45320,61.93060,21.38490,105.84460,5.52380,12.16800,13.35670,2.7944,2.4302
2018-06-30,1698.70000,954.00000,744.70000,399.60000,-76.90000,493.00000,251.70000,251.70000,53.10000,198.60000,198.60000,,198.60000,310.30000,268.20000,124.40000,125.80000,1.60000,1.58000,1.92510,0.45940,0.85020,43.83940,14.81720,15.78850,14.81720,11.69130,0.29100,1.67280,1.47800,60.89190,13.75160,138.68700,3.40210,7.43460,11.72240,2.8266,2.64
2018-03-31,1651.20000,947.30000,703.90000,386.60000,-0.40000,404.30000,299.60000,299.60000,72.20000,227.40000,227.40000,,227.40000,360.10000,316.90000,126.90000,128.50000,1.79000,1.77000,2.09870,0.38710,0.79000,42.62960,18.14440,19.19210,18.14440,13.77180,0.25350,1.66080,1.41970,63.39570,11.67830,37.15690,3.49120,7.15770,15.50320,2.9642,2.7944
2017-12-31,1586.60000,886.40000,700.20000,386.60000,4.20000,402.40000,297.79990,297.80000,534.20000,-236.40000,-236.40000,,-236.20000,357.39990,317.79990,128.20000,128.20000,-1.84000,-1.84000,1.98280,0.36500,0.96430,44.13210,18.76970,20.03030,18.76970,-14.88720,0.22160,1.55290,1.37980,65.22820,-10.96370,-28.14620,-3.30230,-6.96220,16.87170,1.65910,1.39470
2017-09-30,1667.50000,976.09990,691.39970,391.60000,-6.80000,417.90010,273.49950,273.50000,68.90000,204.60000,204.60000,,205.00010,337.89950,292.99970,128.40000,129.90000,1.59000,1.58000,2.06020,0.31820,0.69220,41.46330,16.40180,17.57120,16.40180,12.29390,0.23280,1.74710,1.46850,61.28640,7.68130,15.17920,2.85690,5.23680,20.74460,0.823,0.485
2017-06-30,1599.20000,921.50000,677.70000,386.80000,4.20000,401.70000,276.00000,276.00000,59.10000,216.90000,216.90000,,216.90000,338.10000,295.10000,128.40000,129.90000,1.69000,1.67000,2.02920,0.36350,0.84580,42.37740,17.25860,18.45300,17.25860,13.56300,0.22160,1.57390,1.43830,62.57570,9.95870,24.74900,3.00600,6.33880,16.96260,2.4417,2.2115
2017-03-31,1554.30000,897.80000,656.50010,409.20000,1.90000,426.20000,230.30000,230.30000,40.80000,189.50000,189.50000,,189.30000,289.80000,249.20000,128.70000,130.30000,1.47000,1.45000,2.13160,0.36070,0.84780,42.23770,14.81700,16.03290,14.81700,12.17910,0.22000,1.65280,1.43570,62.68670,8.62230,21.16610,2.68220,5.51220,17.06370,2.299,2.0863
2016-12-31,1490.30000,848.00000,642.30000,370.00000,4.00000,384.70000,257.60010,257.60000,42.90000,214.70000,214.70000,,214.50000,316.70010,276.30010,128.30000,129.70000,1.67000,1.65000,2.03600,0.37710,0.92670,43.09870,17.28510,18.53990,17.28510,14.39310,0.21010,1.56540,1.43780,62.59480,10.47470,28.57710,3.02640,6.52460,15.93860,2.39630,2.09480
2016-09-30,1538.60000,886.70010,651.89990,402.09990,5.30000,414.99990,236.89970,236.90000,51.70000,185.20000,185.20000,,185.80000,298.09970,255.09960,130.20000,131.10000,1.43000,1.42000,2.11800,0.43240,0.98730,42.36970,15.39710,16.58000,15.39710,12.07590,0.21670,1.68380,1.42600,63.11580,9.30610,28.02240,2.60800,5.28180,15.48720,2.063,1.7782
2016-06-30,1474.00000,857.20000,616.80000,346.70000,0.30000,364.50000,252.30000,252.30000,61.30000,191.00000,191.00000,,190.80000,313.20010,270.40010,129.80000,130.80000,1.47000,1.46000,2.44450,0.41770,0.88430,41.84530,17.11670,18.34460,17.11670,12.94440,0.21500,1.54090,1.44160,62.43220,9.00390,21.41740,2.78600,5.24280,16.39340,2.1217,1.9169
2016-03-31,1440.30000,846.20000,594.10000,358.70000,-0.80000,377.10000,217.00000,217.00000,49.00000,168.00000,168.00000,,167.80000,279.70000,234.60000,130.50000,131.30000,1.29000,1.28000,2.69980,0.40580,0.80830,41.24840,15.06630,16.28830,15.06630,11.65040,0.22020,1.48530,1.40110,64.23660,7.58260,17.24670,2.56900,4.50550,17.00380,1.6474,1.55
2015-12-31,1426.60000,813.90000,612.70000,359.90000,1.50000,375.80000,236.89990,236.90000,51.40000,185.50000,185.50000,,185.30000,295.59990,254.29990,131.80000,132.60000,1.41000,1.40000,2.86050,0.40030,0.73950,42.94830,16.60590,17.82560,16.60590,12.98890,0.22220,1.44770,1.40440,64.08380,8.29420,18.63200,2.88950,4.97400,17.02060,1.39370,1.09200
2015-09-30,1607.50000,943.30000,664.20010,360.70000,-7.90000,385.30000,278.90010,278.90000,77.60000,201.30000,201.30000,,202.10000,337.20020,295.59990,134.50000,135.70000,1.51000,1.50000,2.93500,0.39940,0.66510,41.31880,17.34990,18.38880,17.34990,12.57230,0.25100,1.76120,1.54420,58.28300,8.91970,20.16020,3.14300,5.35700,17.04530,2.5554,2.2644
2015-06-30,1575.20000,897.00000,678.20000,376.40000,-0.80000,393.60000,284.59990,284.60000,78.50000,206.10000,206.10000,,205.80000,342.19980,300.99980,134.30000,135.50000,1.53000,1.52000,2.94840,0.36860,0.58380,43.05490,18.06750,19.10870,18.06760,13.06500,0.24590,1.49650,1.45270,61.95210,8.06340,16.20920,3.21700,5.09120,19.05960,2.1279,1.9537
2015-03-31,1550.80000,877.60000,673.20010,382.40000,1.40000,396.70000,276.50010,276.50000,70.50000,206.00000,206.00000,,205.80000,331.30010,292.20010,134.90000,136.00000,1.53000,1.51000,3.16270,0.36970,0.58660,43.40990,17.82950,18.84190,17.82950,13.27060,0.24690,1.47350,1.46260,61.53410,8.02650,15.95660,3.28020,5.05910,19.06760,2.11,1.9765
2014-12-31,1574.40000,886.90000,687.50000,386.90000,1.80000,400.00000,287.50000,287.50000,73.30000,214.20000,214.20000,,213.90000,343.00000,302.40000,135.60000,136.90000,1.58000,1.56000,2.22070,0.26060,0.55020,43.66740,18.26090,19.20730,18.26090,13.58610,0.25390,1.49440,1.42260,63.26410,8.33760,16.83830,3.45370,6.16460,18.96020,1.95910,1.66760
2014-09-30,1781.80000,1028.90000,752.89990,397.80000,-1.10000,413.90000,339.00040,338.99990,90.30000,248.69990,248.69990,,249.20000,392.10040,354.00030,138.00000,139.70000,1.81000,1.79000,2.32500,0.25300,0.46100,42.25500,19.02570,19.86760,19.02570,13.98590,0.28630,1.74860,1.46550,61.41090,9.35630,18.26930,3.99560,6.98890,19.44480,2.3293,2.0112
2014-06-30,1649.50000,968.00000,681.50000,394.40000,1.30000,407.50000,274.00000,274.00000,74.30000,199.70000,199.70000,,199.40000,328.50000,288.40000,138.00000,139.60000,1.44000,1.43000,2.28160,0.24960,0.43550,41.31560,16.61110,17.48410,16.61110,12.08850,0.26840,1.47700,1.40050,64.26310,7.33680,14.22570,3.24970,5.50550,19.73820,2.1693,1.8953
2014-03-31,1600.50000,944.70000,655.80000,392.50000,0.10000,407.40000,248.40000,248.40000,68.10000,180.30000,180.30000,,180.10000,301.80000,263.40000,138.50000,140.20000,1.30000,1.28000,2.31590,0.24770,0.45370,40.97470,15.52020,16.45740,15.52020,11.25270,0.25990,1.41530,1.32890,67.72630,6.55590,12.53910,2.92790,4.93220,19.85700,1.4486,1.2863
2013-12-31,1591.70000,928.00000,663.70000,385.40000,9.40000,390.90000,272.79990,272.80000,74.70000,198.10000,198.10000,,198.10000,323.59990,287.69990,138.60000,140.40000,1.43000,1.41000,2.41750,0.25190,0.43010,41.69760,17.13890,18.07500,17.13890,12.44580,0.26790,1.43740,1.36110,66.12180,7.37030,14.20890,3.33460,5.51370,19.36460,1.44940,1.19730
2013-09-30,1715.70000,1018.50000,697.20020,403.70000,0.60000,418.00000,279.20020,279.20000,63.90000,215.30000,215.30000,,214.70000,330.20020,294.10000,139.20000,140.90000,1.56000,1.53000,2.38230,0.25930,0.41930,40.63650,16.27330,17.14170,16.27320,12.51380,0.29360,1.65500,1.44650,62.21890,8.32720,15.95170,3.68370,6.16800,18.61410,2.4744,2.0571
2013-06-30,1624.20000,971.30000,652.90000,383.70000,3.50000,395.50000,257.39990,257.40000,53.70000,203.70000,203.70000,,203.70000,310.39990,272.69990,138.90000,140.40000,1.46000,1.45000,2.24510,0.31070,0.56040,40.19830,15.84780,16.78980,15.84780,12.54160,0.28140,1.56910,1.40610,64.00630,10.14540,25.83710,3.52950,6.99300,14.47590,2.1193,1.889
2013-03-31,1522.80000,906.40000,616.40000,376.80000,2.80000,389.30000,227.10010,227.10000,51.20000,175.90000,175.90000,,175.60000,278.60010,242.40010,140.00000,141.80000,1.25000,1.24000,2.33820,0.30930,0.56470,40.47810,14.91330,15.91810,14.91330,11.53140,0.26620,1.41630,1.33680,67.32270,8.70580,21.85640,3.07520,6.01260,14.46310,1.4238,1.1888
2012-12-31,1489.20000,881.90000,607.29990,373.50000,-1.20000,390.10000,217.20000,217.20000,55.80000,161.40000,161.40000,,161.20000,267.80000,232.59990,139.30000,141.20000,1.16000,1.14000,2.28010,0.31500,0.58850,40.78030,14.58500,15.61910,14.58500,10.82460,0.26080,1.36390,1.32290,68.03180,8.20210,22.24060,2.82610,5.61820,14.07580,1.18480,1.03330
2012-09-30,1664.00000,1009.80000,654.20010,386.39990,2.00000,399.30000,254.90000,254.90010,59.70000,195.20000,195.20000,,196.20000,305.50000,269.79990,141.50000,143.40000,1.39000,1.37000,2.21170,0.32830,0.57350,39.31490,15.31850,16.21390,15.31850,11.79090,0.29520,1.63130,1.40150,64.21700,10.54170,28.15120,3.46310,7.08090,13.24540,2.722,2.4112
2012-06-30,1560.40000,928.90000,631.50000,369.80000,-1.70000,386.70000,244.80000,244.80000,54.10000,190.70000,190.70000,,190.40000,295.10000,260.00010,141.70000,143.50000,1.34000,1.33000,2.09560,0.32010,0.61120,40.47040,15.68830,16.66240,15.68830,12.20200,0.28990,1.46330,1.36990,65.70050,9.91940,24.48640,3.54300,6.74450,13.61540,1.8442,1.6156
2012-03-31,1561.10000,942.80000,618.30000,373.10000,-6.90000,395.00000,223.29990,223.30000,55.50000,167.80000,167.80000,,167.50000,273.49990,238.29990,142.50000,144.70000,1.18000,1.16000,2.20730,0.30830,0.57320,39.60670,14.30400,15.26490,14.30400,10.72960,0.28730,1.41970,1.35750,66.29940,8.26360,19.46860,3.08760,5.71600,14.22990,1.7591,1.5502
2011-12-31,1473.90000,855.20000,618.70000,362.40000,1.60000,375.80000,242.90000,242.90000,59.60000,183.30000,183.30000,,182.90000,290.50000,257.90000,141.80000,143.90000,1.29000,1.27000,2.05840,0.32790,0.67660,41.97710,16.48010,17.49780,16.48010,12.40930,0.27920,1.26270,1.41070,63.79810,9.88250,26.18950,3.47220,6.64180,13.02530,-1.31340,-1.52050
2011-09-30,1654.30000,991.10010,663.20000,388.10000,-4.40000,407.09990,256.09970,256.10000,54.30000,201.80000,201.80000,,202.10000,305.39970,270.69970,142.70000,145.20000,1.41000,1.39000,2.31230,0.34110,0.51770,40.08950,15.48090,16.36340,15.48090,12.21670,0.31300,1.54450,1.55570,57.85290,11.54460,34.94980,3.81840,7.60650,12.31850,1.2632,0.9627
2011-06-30,1516.20000,909.40000,606.79990,370.00000,-0.90000,385.60000,221.19980,221.20000,42.40000,178.80000,178.80000,0.70000,179.20000,268.79980,235.89980,143.40000,145.90000,1.25000,1.23000,2.31140,0.32300,0.47700,40.02110,14.58910,15.55860,14.58910,11.81900,0.28460,1.31700,1.45040,62.05380,9.42490,25.40860,3.35600,6.38090,13.24790,1.5446,1.3183
2011-03-31,1464.10000,887.60000,576.50000,356.10000,-1.40000,372.90000,203.60000,203.60000,37.20000,166.40000,166.40000,,166.40000,250.80000,219.00000,143.40000,146.30000,1.16000,1.14000,2.50430,0.32760,0.48730,39.37570,13.90620,14.95800,13.90620,11.36530,0.28650,1.42720,1.45580,61.82160,8.96120,23.09190,3.25570,6.02510,12.86830,1.5382,1.3851
2010-12-31,1365.80000,821.90000,543.90000,347.00000,4.60000,357.20000,186.70010,186.70000,36.60000,150.10000,150.10000,,150.10000,233.40010,201.50010,141.80000,144.50000,1.06000,1.04000,2.34950,0.36330,0.57050,39.82280,13.66970,14.75330,13.66960,10.98990,0.28580,1.34170,1.43630,62.66000,9.46350,32.10010,3.14090,6.02570,11.13830,0.08720,-0.02490
2010-09-30,1356.90000,827.70000,529.19990,354.30000,-1.90000,371.40100,157.79930,157.80000,26.50000,131.30000,131.30000,0.00000,130.20000,206.09930,172.99950,142.00000,144.00000,0.92000,0.91000,2.11620,0.38260,0.61960,39.00070,11.62940,12.74960,11.62950,9.59540,0.28580,1.37200,1.57960,56.97550,8.99070,39.71570,2.76520,5.55110,10.30630,0.4271,0.1535
2010-06-30,1268.10000,760.80000,507.30000,333.30000,-3.70000,351.80000,155.50010,155.50000,36.10000,119.40000,119.40000,,119.40000,200.90010,170.30010,142.00000,144.30000,0.84000,0.83000,2.05320,0.39670,0.65760,40.00470,12.26250,13.42960,12.26240,9.41570,0.27480,1.31970,1.53450,58.65150,8.67730,42.68860,2.58750,5.23500,9.69700,0.9405,0.776
2010-03-31,1164.50000,691.40000,473.10000,323.20000,-1.20000,339.50000,133.60010,133.60000,21.70000,111.90000,111.90000,25.10000,137.00000,180.60010,148.70010,142.40000,144.40000,0.96000,0.95000,2.18380,0.38930,0.63750,40.62690,11.47270,12.76940,11.47270,11.76470,0.25640,1.31820,1.47070,61.19540,7.88420,35.87690,2.46360,4.81480,9.95300,1.2321,1.146
2009-12-31,1067.50000,640.70000,426.80000,312.50000,-1.60000,329.50000,97.30000,97.30000,19.50000,77.80000,77.80000,-1.20000,76.60000,144.40000,112.70000,142.00000,143.70000,0.54000,0.53000,2.26840,0.39820,0.66170,39.98130,9.11480,10.55740,9.11480,7.17560,0.24270,1.36700,1.38760,64.85900,5.68960,34.03330,1.76870,3.42400,9.58910,0.83090,0.73700
2009-09-30,1074.40000,709.09990,365.30020,316.80000,-4.50000,336.50010,28.80010,28.80000,-0.10000,28.90000,28.90000,,28.90000,79.30010,44.00010,141.60000,142.40000,0.21000,0.20000,2.25380,0.40730,0.68730,34.00040,2.68060,4.09530,2.68060,2.68990,0.24950,1.62490,1.47930,60.84050,2.19540,16.77310,0.67120,1.30120,9.26390,0.8252,0.6521
2009-06-30,1010.80000,640.60000,370.20000,305.00000,0.40000,320.00000,50.20000,50.20000,17.40000,32.80000,32.80000,,32.80000,100.00000,65.60000,141.70000,142.30000,0.23000,0.23000,2.20220,0.36010,0.56290,36.62450,4.96640,6.48990,4.96640,3.24500,0.24270,1.39170,1.36470,65.95070,2.04040,6.97430,0.78770,1.30560,11.32040,1.3313,1.1794
2009-03-31,1058.10000,694.50000,363.60000,292.80000,-0.10000,308.20000,55.40000,55.40000,14.80000,40.60000,40.60000,,40.60000,102.80000,70.70000,141.50000,142.00000,0.29000,0.29000,2.13820,0.36320,0.61770,34.36350,5.23580,6.68180,5.23580,3.83710,0.25340,1.31460,1.41440,63.63200,2.55970,8.49910,0.97230,1.63000,11.18550,1.5401,1.2387
