Date,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-01-31,822.62600,568.39810,254.22780,-231.73190,231.73200,22.49590,-8.33800,14.15800,-0.25300,14.41100,,14.41100,,14.41100,41.24080,22.49590,73.02400,77.26800,0.20000,0.19000,1.20460,0.35350,0.54690,30.90440,2.73460,2.73460,1.72110,1.75180,0.40830,0.96930,4.11670,21.86210,3.49450,4.75270,0.71530,2.25900,5.62180,0.0886,-0.0527
2021-10-31,853.46700,539.85000,313.61700,-209.30900,209.30890,104.30800,-7.53400,96.77400,16.59000,80.18400,,80.18400,,80.18400,123.22900,104.30800,73.19100,77.13500,1.10000,1.04000,1.10160,0.29590,0.57900,36.74620,12.22170,12.22170,11.33890,9.39510,0.40760,0.89660,3.68840,24.40070,20.36880,28.23370,3.82930,14.34210,5.36730,0.8902,0.7741
2021-07-31,817.33500,532.65400,284.68100,-223.26900,223.26900,61.41210,-8.31600,53.09600,10.23600,42.86000,,42.86000,,42.86000,81.09410,61.41210,72.93200,77.61900,0.59000,0.55000,1.03750,0.37240,0.79410,34.83040,7.51370,7.51370,6.49620,5.24390,0.42000,1.05620,4.09960,21.95350,13.77640,21.26500,2.20240,8.64670,4.26360,1.2574,1.1607
2021-04-30,703.15500,487.04400,216.11100,-199.10600,199.10600,17.00500,-8.00800,8.99700,-8.02900,17.02600,,17.02600,,17.02600,37.58000,17.00500,72.61300,76.97600,0.23000,0.22000,1.07880,0.51120,1.28380,30.73450,2.41840,2.41840,1.27950,2.42140,0.34600,0.90180,3.29430,27.32010,6.47840,11.12620,0.83770,3.16650,3.60670,-0.01760,-0.09090
2021-01-31,609.35210,474.34900,135.00300,-202.80510,202.80520,-67.80220,-8.05800,-75.86000,58.14400,-134.00390,,-134.00390,,-134.00400,-45.91520,-67.80220,72.19800,72.19800,-1.85000,-1.85000,1.03710,0.52840,1.37780,22.15520,-11.12690,-11.12690,-12.44930,-21.99120,0.30830,1.00250,3.10820,28.95600,-55.14180,-100.20710,-6.77950,-26.00320,3.35660,-0.6604,-0.7191
2020-10-31,652.87000,487.21400,165.65600,-224.24600,224.24600,-58.59000,-8.98500,-67.57500,-26.93200,-40.64300,,-40.64300,,-40.64300,-36.52600,-58.59000,72.34400,72.34400,-0.56000,-0.56000,0.93430,0.42570,0.90990,25.37350,-8.97420,-8.97420,-10.35050,-6.22530,0.29320,0.89240,10.55740,8.52480,-10.96920,-15.55930,-1.82520,-6.29970,5.11920,-0.3662,-0.4314
2020-07-31,489.71400,452.67200,37.04200,-173.00600,173.00600,-135.96400,-3.04500,-139.00900,-40.79500,-98.21400,,-98.21400,,-98.21400,-115.02200,-135.96400,72.14200,72.14200,-1.36000,-1.36000,1.15130,0.49150,0.96650,7.56400,-27.76400,-27.76400,-28.38580,-20.05540,0.21540,1.01710,9.94550,9.04940,-24.15330,-33.03430,-4.32040,-12.28250,5.62330,-0.5548,-0.6584
2020-04-30,482.78300,509.24300,-26.46000,-297.49800,297.49800,-323.95800,-2.24500,-326.20300,-110.34500,-215.85800,,-215.85800,,-215.85800,-300.82500,-323.95800,71.91400,71.91400,-3.00000,-3.00000,1.29540,0.44100,0.78900,-5.48070,-67.10220,-67.10220,-67.56720,-44.71120,0.19800,0.95430,5.89100,15.27760,-43.33580,-55.27120,-8.85450,-24.22360,6.91480,-0.54880,-0.75220
2020-01-31,829.62010,623.76400,205.85610,-219.91300,219.91310,-14.05710,-1.45000,-15.50700,-7.94300,-7.56400,,-7.56400,,-7.56400,8.36590,-14.05720,73.60200,74.60500,-0.10000,-0.10000,1.32470,0.20860,0.26360,24.81330,-1.69440,-1.69440,-1.86920,-0.91170,0.33660,0.98610,9.30580,9.67140,-1.04920,-1.29430,-0.30680,-0.83040,10.04530,1.018,0.7917
2019-10-31,933.82600,660.51800,273.30800,-217.20000,217.20000,56.10800,-2.15900,53.94900,10.48900,43.46000,,43.46000,,43.46000,77.84900,56.10800,72.12300,72.94700,0.60000,0.60000,1.44410,0.24020,0.31620,29.26760,6.00840,6.00840,5.77720,4.65400,0.36810,0.97470,10.69520,8.41500,5.84780,7.16880,1.71310,4.44290,10.35810,1.1585,0.8835
2019-07-31,855.95200,594.77900,261.17300,-219.90600,219.90600,41.26700,-1.77300,39.49400,12.08700,27.40700,,27.40700,,27.40700,62.33000,41.26700,73.52900,74.31600,0.37000,0.37000,1.42430,0.24370,0.32230,30.51260,4.82120,4.82120,4.61400,3.20190,0.33470,0.84230,10.05090,8.95450,3.75830,4.63070,1.07170,2.84230,10.03860,0.4988,0.275
2019-04-30,873.28900,613.95600,259.33300,-215.35200,215.35200,43.98100,-2.14300,41.83800,10.64400,31.19400,,31.19400,,31.19400,65.40300,43.98100,77.00400,78.26300,0.41000,0.40000,1.50450,0.23550,0.30810,29.69610,5.03630,5.03630,4.79090,3.57200,0.34260,0.95630,11.15500,8.06820,4.08910,4.95400,1.22370,3.12610,10.14880,-0.03870,-0.35660
2019-01-31,837.54500,634.19100,203.35390,-289.45400,260.37710,-57.02310,-1.07300,-58.09600,-12.37000,-45.72600,,-45.72600,,-45.72600,-35.65410,-57.02320,80.02600,80.02600,-0.57000,-0.56000,2.06240,0.16120,0.19220,24.27980,-6.80840,-6.80840,-6.93650,-5.45950,0.51680,0.98280,12.16130,7.40060,-5.49340,-6.56290,-2.82160,-4.60770,10.61640,0.4005,0.1737
2018-10-31,833.00300,560.58600,272.41700,-226.49100,219.32790,53.08910,0.76200,53.85100,14.53200,39.31900,,39.31900,,39.31900,72.33910,53.08910,80.32100,82.28700,0.49000,0.48000,2.57760,,,32.70300,6.37320,6.37320,6.46470,4.72020,0.56490,0.89810,55.89870,1.61010,4.17210,4.38570,2.66640,4.17210,11.72940,0.4627,0.2728
2018-07-31,795.26800,539.24000,256.02800,-195.31900,231.55900,24.46910,-46.54400,-22.07500,16.28100,-38.35600,,-38.35600,,-38.35600,44.88710,24.46910,80.26500,80.26500,-0.48000,-0.48000,2.60410,,,32.19390,3.07680,3.07680,-2.77580,-4.82300,0.55040,0.90330,46.07850,1.95320,-4.17150,-4.39210,-2.65440,-4.17150,11.45150,1.0146,0.8398
2018-04-30,712.10200,505.21200,206.89000,-168.42000,168.42000,38.47000,-1.47300,36.99700,11.39000,25.60700,,24.29700,,24.29700,56.48100,38.47000,80.10800,80.75800,0.30000,0.30000,2.70130,,,29.05340,5.40230,5.40230,5.19550,3.41200,0.49740,0.93610,52.47230,1.71520,2.52870,2.59910,1.69720,2.52870,11.98050,0.31320,0.08800
2018-01-31,719.51300,529.34100,190.17200,-149.26300,156.00200,34.17000,1.38400,35.55400,24.11600,11.43800,,11.95200,,11.95200,53.10600,34.16980,80.16000,80.68700,0.15000,0.15000,2.65890,,,26.43070,4.74900,4.74900,4.94140,1.66110,0.50620,1.05470,37.40450,2.40610,1.25120,1.28620,0.84080,1.25120,11.93660,0.6491,0.4419
2017-10-31,710.99200,500.92400,210.06800,-123.99700,206.69800,3.37000,0.48100,3.85100,1.47600,2.37500,1.63000,4.00500,,4.00500,23.00900,3.37000,80.11200,80.64700,0.05000,0.05000,2.73370,,,29.54580,0.47400,0.47400,0.54160,0.56330,0.49360,0.91650,34.82350,2.58450,0.42020,0.43340,0.27810,0.42020,11.91680,1.1653,1.0235
2017-07-31,683.01200,482.42400,200.58800,-153.72200,153.72200,46.86600,-0.01800,46.84800,18.39000,28.45800,0.21900,28.67700,,28.67700,68.14700,46.86600,80.31700,80.71400,0.36000,0.36000,2.97510,,,29.36820,6.86170,6.86170,6.85900,4.19860,0.47210,0.91490,38.49690,2.33790,2.93230,3.31450,1.98230,2.93230,12.17220,0.4624,0.3406
2017-04-30,692.03800,493.73400,198.30400,-157.65200,157.65200,40.65200,-0.94300,39.70900,15.58500,24.12400,-1.30600,22.81800,,22.81800,61.65700,40.65200,80.21700,80.73200,0.28000,0.28000,2.52210,,,28.65510,5.87420,5.87420,5.73800,3.29720,0.46770,0.85840,41.03400,2.19330,2.40220,2.72890,1.54200,2.40220,11.83390,0.09060,-0.13620
2017-01-31,681.47210,499.62810,181.84400,-133.08900,133.08880,48.75520,0.50900,49.26400,18.35800,30.90600,-0.49600,30.41000,,30.41000,69.55820,48.75510,81.53600,82.13500,0.37000,0.38000,2.39810,,,26.68400,7.15440,7.15440,7.22910,4.46240,0.47710,0.99930,35.85560,2.51010,3.24380,3.69640,2.12880,3.24380,11.69230,1.2502,1.0703
2016-10-31,696.61600,484.83600,211.78000,-148.88100,148.88100,62.89910,0.56200,63.46100,25.62600,37.83500,1.12800,38.96300,,38.96300,83.77210,62.89910,82.02600,82.53700,0.48000,0.47000,2.45350,,,30.40130,9.02920,9.02920,9.10990,5.59320,0.48650,0.86160,32.60850,2.76000,4.21940,4.82230,2.72100,4.21940,11.48990,0.6022,0.3442
2016-07-31,658.94400,472.08300,186.86100,-147.25400,147.25400,39.60690,0.72300,40.33000,15.71600,24.61400,0.41800,25.03200,,25.03200,60.46590,39.60690,82.05300,82.65500,0.31000,0.30000,2.45190,,,28.35770,6.01070,6.01070,6.12040,3.79880,0.45160,0.84880,34.81140,2.58540,2.65910,3.04890,1.71570,2.65910,11.46730,0.621,0.3076
2016-04-30,681.26700,476.91000,204.35700,-155.64100,155.64100,48.71600,0.68500,49.40100,19.07800,30.32300,-0.30900,30.01400,,30.01400,69.00500,48.71600,81.95300,82.70500,0.37000,0.36000,2.37520,,,29.99660,7.15080,7.15080,7.25130,4.40560,0.46760,0.84660,44.53600,2.02080,3.21500,3.69510,2.06000,3.21500,11.38290,0.11870,-0.19620
2016-01-31,672.03590,506.99310,165.04290,-147.97400,147.97400,17.06890,0.81800,17.88700,6.64900,11.23800,0.52500,11.76300,,11.76300,36.73190,17.06900,87.56100,88.50100,0.14000,0.15000,2.46010,,,24.55870,2.53990,2.53990,2.66160,1.75040,0.49090,1.04700,43.45810,2.07100,1.29990,1.33830,0.85920,1.29990,11.04670,1.1282,0.8573
2015-10-31,665.52000,466.55400,198.96600,-135.63700,135.63700,63.32900,0.84500,64.17400,25.57500,38.59900,0.69600,39.29500,,39.29500,82.55500,63.32900,87.49300,88.36900,0.45000,0.44000,2.27040,,,29.89630,9.51570,9.51570,9.64270,5.90440,0.45650,0.89510,36.43890,2.46990,3.82200,3.92090,2.69510,3.82200,11.87080,0.367,0.0318
2015-07-31,627.20600,435.90400,191.30200,-131.72100,131.72100,59.58100,0.74500,60.32600,22.48600,37.84000,-0.23000,37.61000,,37.61000,79.91400,59.58100,88.71300,89.69300,0.42000,0.42000,2.78340,,,30.50070,9.49940,9.49940,9.61820,5.99640,0.41430,0.86290,33.72800,2.66840,3.52930,3.61730,2.48400,3.52930,12.00820,0.7263,0.4559
2015-04-30,655.48600,442.42800,213.05800,-139.48600,139.48600,73.57200,4.23200,77.80400,29.09600,48.70800,-1.34200,47.36600,,47.36600,93.38300,73.57200,88.52400,89.62400,0.54000,0.53000,2.76880,,,32.50380,11.22400,11.22400,11.86970,7.22610,0.43070,0.86400,27.10750,3.32010,4.51630,4.63080,3.11220,4.51630,11.82710,0.55110,0.25310
2015-01-31,640.17700,463.62210,176.55490,-128.48000,128.47980,48.07510,0.73400,48.80900,19.86000,28.94900,1.91500,30.86400,-0.08600,30.77800,67.66810,48.07510,89.49900,90.61200,0.34000,0.34000,2.63830,,,27.57910,7.50970,7.50970,7.62430,4.80770,0.44510,1.02840,26.22920,3.43130,3.05250,3.13270,2.14600,3.05250,11.43890,0.7104,0.4336
2014-10-31,669.87200,451.31500,218.55700,-138.72000,138.72000,79.83700,0.73700,80.57400,32.06900,48.50500,1.04900,49.55400,,49.55400,98.91600,79.83700,88.78100,89.81000,0.56000,0.55000,2.52620,,,32.62670,11.91820,11.91820,12.02830,7.39750,0.46190,0.92810,25.17370,3.57520,4.97590,5.10880,3.41700,4.97590,11.29350,0.3915,0.1119
2014-07-31,587.09600,415.19200,171.90400,-118.58200,118.58200,53.32200,0.65900,53.98100,20.86000,33.12100,0.84900,33.97000,0.35800,34.32800,73.32000,53.32200,90.12000,91.12600,0.38000,0.38000,2.52150,,,29.28040,9.08230,9.08230,9.19460,5.84710,0.40950,1.00050,21.06700,4.27210,3.42730,3.51920,2.36930,3.42730,11.12220,0.9148,0.6688
2014-04-30,598.94700,410.94200,188.00500,-126.75400,126.75400,61.25100,0.99100,62.24200,23.60300,38.63900,,38.63900,,38.63900,80.34900,61.25100,90.82400,92.10700,0.43000,0.42000,3.03460,,,31.38930,10.22650,10.22650,10.39190,6.45120,0.41850,0.97850,26.29730,3.42240,3.77600,3.87400,2.69950,3.77600,11.25000,0.15780,-0.12270
2014-01-31,572.26690,412.28910,159.97780,-115.07700,115.07680,44.90100,0.58000,45.48100,17.37500,28.10600,,28.10600,,28.10600,62.99400,44.90100,90.47200,91.90100,0.31000,0.30000,2.85780,,,27.95510,7.84620,7.84620,7.94750,4.91130,0.40270,1.03650,21.47670,4.19060,2.81470,2.88960,1.97760,2.81470,11.05000,1.0623,0.8549
2013-10-31,632.97600,420.10600,212.87000,-124.61400,124.61400,88.25600,1.03600,89.29200,34.33100,54.96100,,54.96100,,54.96100,106.86200,88.25600,90.64500,92.09000,0.61000,0.60000,2.86450,,,33.63000,13.94300,13.94300,14.10670,8.68300,0.45480,0.99070,26.53650,3.39160,5.60130,5.75320,3.94900,5.60130,10.81580,0.6149,0.3752
2013-07-31,562.06300,378.62100,183.44200,-129.46100,129.46100,53.98100,0.48100,54.46200,20.74200,33.72000,,33.72000,,33.72000,73.54000,53.98100,90.38000,91.79600,0.37000,0.37000,2.55750,,,32.63730,9.60410,9.60410,9.68970,5.99930,0.41140,0.93600,25.85150,3.48140,3.62290,3.72660,2.46820,3.62290,10.28510,1.1399,0.8832
2013-04-30,601.36200,418.36500,182.99700,-128.71100,128.71100,54.28600,0.34000,54.62600,20.11100,34.51500,,34.51500,,34.51500,72.62200,54.28600,90.11400,91.55600,0.38000,0.38000,3.02720,,,30.43040,9.02720,9.02720,9.08370,5.73950,0.46810,1.05830,30.54770,2.94620,3.86340,3.97880,2.68650,3.86340,9.89520,0.46220,0.22580
2013-01-31,594.25400,422.54000,171.71410,-126.02200,126.02200,45.69210,0.27300,45.96500,18.81900,27.14600,,27.14600,,27.14600,63.38810,45.69210,88.84600,90.60600,0.30500,0.30000,2.98500,,,28.89570,7.68900,7.68900,7.73490,4.56810,0.47080,1.07300,22.18690,4.05640,3.16170,3.26010,2.15090,3.16170,9.53720,0.9073,0.304
2012-10-31,592.73400,392.56300,200.17100,-121.73400,121.73400,78.43700,2.57500,81.01200,30.89700,50.11500,,50.11500,,50.11500,94.81500,78.43700,89.32800,91.04600,0.56000,0.55000,3.00570,,,33.77080,13.23310,13.23310,13.66750,8.45490,0.45510,0.92920,22.58460,3.98500,5.83770,6.01920,3.84740,5.83770,9.60350,0.8253,0.4641
2012-07-31,512.21800,351.97300,160.24500,-112.89700,112.89700,47.34800,0.49600,47.84400,18.52600,29.31800,,29.31800,,29.31800,63.23000,47.34800,88.90800,90.51200,0.33000,0.32500,3.47850,,,31.28450,9.24370,9.24370,9.34060,5.72370,0.39170,0.95850,20.66400,4.35540,3.25290,3.34910,2.24200,3.25290,10.09560,0.7234,0.459
2012-04-30,558.57200,365.98200,192.59000,-127.26500,127.26500,65.32500,0.46700,65.79200,27.18500,38.60700,,38.60700,1.25300,39.86000,80.20500,65.32500,87.35800,89.31600,0.45500,0.44500,3.15400,,,34.47900,11.69500,11.69500,11.77860,7.13610,0.44200,0.98050,29.72710,3.02750,4.51700,4.65810,3.05530,4.51700,9.69870,0.39770,0.14240
2012-01-31,513.68400,367.72100,145.96300,-106.04500,106.04500,39.91800,0.03300,39.95100,15.55600,24.39500,,24.39500,-5.02800,19.36700,57.75200,39.91800,70.44000,74.27600,0.67500,0.78500,2.82230,,,28.41500,7.77090,7.77090,7.77730,3.77020,0.42530,1.09970,30.22380,2.97780,3.10140,3.20700,2.01960,3.10140,9.08470,1.4202,1.0331
2011-10-31,530.74700,350.46500,180.28200,-99.38600,99.38600,80.89600,-1.15100,79.74500,26.07600,53.66900,,53.66900,0.00500,53.67400,94.89200,80.89600,82.42800,89.47800,0.65000,0.37500,2.45920,,,33.96760,15.24190,15.24190,15.02510,10.11290,0.44790,0.92730,35.71650,2.51980,6.95970,7.20150,4.52890,6.95970,8.92710,0.5376,0.4007
2011-07-31,476.31000,320.75800,155.55200,-129.57100,129.57100,25.98100,-4.91800,21.06300,-124.64000,145.70300,,145.70300,0.16800,139.87000,42.32300,25.98100,69.04400,70.72000,2.02500,1.98000,1.62040,,0.32320,32.65770,5.45460,5.45460,4.42210,29.36530,0.39940,1.00780,32.50600,2.76870,23.25320,24.25570,12.21870,23.25320,7.97560,0.5309,0.4325
2011-04-30,503.58800,331.43800,172.15000,-167.49500,167.49500,4.65500,-3.14500,1.51000,24.93900,-23.42900,,-23.42900,,-38.12300,18.56600,4.65500,43.80000,43.80000,-0.87000,-0.87000,3.13310,,,34.18470,0.92440,0.92440,0.29980,-7.57030,0.48210,0.99090,40.70390,2.21110,-3.41080,-3.54450,-2.24290,-3.41080,7.72300,0.39490,0.01150
2011-01-31,468.45000,335.07200,133.37800,-103.32800,103.32800,30.05000,-2.90600,27.14400,21.44100,5.70300,,5.70300,1.46700,0.15800,47.47700,30.05000,42.87600,43.54800,-0.43000,0.00500,1.75890,,0.28330,28.47220,6.41480,6.41480,5.79440,0.03370,0.44980,1.08430,35.52630,2.53330,1.16660,1.23180,0.54760,1.16660,11.17520,1.6474,1.3286
2010-10-31,489.26900,330.04900,159.22000,-142.00000,142.00000,17.22000,-0.57700,16.64300,8.72600,7.91700,,7.91700,2.19100,-3.32000,29.67400,17.22000,42.66200,42.66200,-0.13000,-0.13000,3.00540,,,32.54240,3.51950,3.51950,3.40160,-0.67860,0.50680,0.99280,44.75980,2.01070,1.27430,1.32980,0.82010,1.27430,7.05440,0.97,0.6045
2010-07-31,415.12000,289.40200,125.71800,-69.51300,69.51300,56.20500,-2.94500,53.26000,17.63000,35.63000,,35.63000,0.12700,26.90600,69.58400,56.20500,42.65600,44.51800,0.63000,0.50000,2.88060,,,30.28470,13.53950,13.53950,12.83000,6.48150,0.45900,0.93610,40.31470,2.23240,6.10180,6.38500,3.93950,6.10180,6.63230,0.0646,-0.2402
2010-04-30,449.53700,302.17200,147.36500,-98.22000,98.22000,49.14500,0.78500,49.93000,19.74600,30.18400,,30.18400,,30.18400,60.93000,49.14500,87.81600,89.54800,0.34500,0.33500,2.73530,,,32.78150,10.93240,10.93240,11.10700,6.71450,0.50690,1.05410,72.56450,1.24030,5.42420,5.68900,3.40370,5.42420,6.33330,0.23400,0.14990
2010-01-31,402.64800,285.08400,117.56400,-92.29400,92.29400,25.27000,-2.22000,23.05000,9.65200,13.39800,,13.39800,,13.39800,41.03500,25.27000,88.27200,89.74200,0.15000,0.15000,2.70110,,,29.19770,6.27600,6.27600,5.72460,3.32750,0.47330,1.08690,72.82470,1.23580,2.55260,2.68510,1.57480,2.55260,5.97920,0.0564,0.009
2009-10-31,444.62100,297.46200,147.15900,-102.43800,102.43800,44.72100,-0.30900,44.41200,17.78100,26.63100,,26.63100,,26.63100,56.44100,44.72100,88.28800,88.97200,0.30000,0.30000,2.45460,,,33.09760,10.05820,10.05820,9.98870,5.98960,0.51830,1.02790,82.38300,1.09250,5.19280,5.50320,3.10470,5.19280,5.80520,1.031,0.9897
2009-07-31,369.49000,271.70200,97.78800,-86.42700,86.42700,11.36100,1.10600,12.46700,4.90000,7.56700,,7.56700,,7.56700,22.98600,11.36100,88.14800,88.84000,0.08500,0.08500,2.95830,,,26.46570,3.07480,3.07480,3.37410,2.04800,0.49360,1.02800,62.69980,1.43540,1.56490,1.66530,1.01090,1.56490,5.48000,0.2431,0.1657
2009-04-30,385.84600,280.86500,104.98100,-92.87800,92.87800,12.10300,-0.14100,11.96200,4.81700,7.14500,,7.14500,,7.14500,23.26100,12.10300,88.03600,88.57800,0.08000,0.08000,2.67580,,,27.20800,3.13680,3.13680,3.10020,1.85180,0.50930,1.00950,52.36780,1.71860,1.50810,1.60770,0.94310,1.50810,5.38140,0.16690,0.07580
2009-01-31,348.15000,276.26690,71.88310,-83.67200,83.67210,-11.78900,-0.35700,-12.14600,-4.62500,-7.52100,,-7.52100,,-7.52100,0.16800,-11.78900,87.99600,88.43600,-0.08500,-0.08500,2.86780,,,20.64710,-3.38620,-3.38620,-3.48870,-2.16030,0.48270,1.13220,48.44160,1.85790,-1.61540,-1.71050,-1.04290,-1.61540,5.28840,1.0981,0.1687
