Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,40.78700,40.78700,5.80800,-11.40900,14.13200,0.37500,14.50700,14.50700,14.50700,,14.27500,24.05700,14.13200,39.19900,39.34900,0.36000,0.36000,0.50670,1.02720,34.64830,34.64830,35.56770,34.99890,0.02660,1.95350,1.95350,0.94440,0.96370,18.81900,0.47190,0.44470
2021-12-31,39.44100,39.44100,5.77200,-11.66600,12.55400,0.37600,12.93000,12.93000,12.93000,,12.72600,22.56900,12.55400,39.15600,39.15600,0.32000,0.32000,0.49240,0.96990,31.82980,31.82980,32.78320,32.26590,0.02620,1.73530,1.73530,0.85920,0.88090,18.92430,0.5526,0.5153
2021-09-30,37.47200,37.47200,5.31800,-11.95400,10.73800,0.37600,11.11400,11.11400,11.11400,,10.90900,20.61800,10.73800,39.17700,39.17700,0.28000,0.28000,0.46780,0.87900,28.65610,28.65610,29.65950,29.11240,0.02580,1.47610,1.47610,0.76490,0.78560,19.12250,0.5342,0.463
2021-06-30,38.12900,38.12900,5.33700,-5.33000,17.95400,0.37600,18.33000,18.33000,18.33000,,18.12600,28.09600,17.95400,39.16900,39.17000,0.46000,0.46000,0.44790,0.81120,47.08750,47.08750,48.07370,47.53860,0.02690,2.40430,2.40430,1.29410,1.32750,19.36250,0.6993,0.6736
2021-03-31,40.28000,40.28000,5.03300,-11.80900,13.56100,0.28900,13.85000,13.85000,13.85000,,13.64200,23.55000,13.56100,39.10000,39.17900,0.35000,0.35000,0.46300,0.86220,33.66680,33.66680,34.38430,33.86790,0.02770,1.81100,1.81100,0.95170,0.97250,19.42920,0.54260,0.51600
2020-12-31,46.27300,46.27300,5.21600,-13.56000,17.65800,0.00700,17.66500,17.66500,17.66500,,17.61400,28.63500,17.65800,39.17900,39.26400,0.46000,0.46000,0.45560,0.83700,38.16050,38.16050,38.17560,38.06540,0.03170,2.27700,2.27700,1.21040,1.23950,19.76980,0.7676,0.6109
2020-09-30,38.17300,38.17300,4.81400,-11.68400,11.90900,0.42900,12.33800,12.33800,12.33800,,12.11400,21.78300,11.90900,39.06100,39.11200,0.31000,0.31000,0.46030,0.85300,31.19740,31.19740,32.32130,31.73450,0.02580,1.58420,1.58420,0.83520,0.85490,19.84660,0.7674,0.6664
2020-06-30,28.48100,28.48100,4.58000,-11.53200,2.57200,-0.62000,1.95200,1.95200,1.95200,,1.77300,12.47700,2.57200,39.05500,39.13700,0.05000,0.05000,0.46690,0.87570,9.03060,9.03060,6.85370,6.22520,0.01890,0.24790,0.24790,0.12930,0.13220,20.06230,0.8186,0.6237
2020-03-31,46.41000,46.41000,5.10000,31.85000,63.49100,0.23100,63.72200,63.72200,63.72200,,63.37000,73.26100,63.49100,39.53900,39.54100,1.60000,1.60000,0.46100,0.85530,136.80460,136.80460,137.30230,136.54390,0.03040,7.90540,7.90540,4.17910,4.26100,20.55320,0.60330,0.10870
2019-12-31,46.46300,46.46300,4.54100,-16.50000,15.60500,-2.97400,12.63100,12.63100,12.63100,,12.44900,25.52600,15.60500,39.57100,39.75900,0.33000,0.32000,0.46890,0.88280,33.58590,33.58590,27.18510,26.79340,0.03070,1.60820,1.60820,0.83420,0.85410,19.75820,0.826,0.1581
2019-09-30,47.11900,47.11900,4.74500,-5.92200,26.52000,0.76000,27.28000,27.28000,27.28000,,27.08000,36.55200,26.52000,39.58600,39.96500,0.68000,0.68000,0.46280,0.86140,56.28300,56.28300,57.89600,57.47150,0.03120,3.43620,3.43620,1.80400,1.84600,19.97120,0.7035,0.0738
2019-06-30,46.26600,46.26600,4.59600,-11.40400,20.40600,0.12800,20.53400,20.53400,20.53400,,20.35200,30.36000,20.40600,39.57700,39.76900,0.51000,0.51000,0.46180,0.85810,44.10580,44.10580,44.38250,43.98910,0.03090,2.60710,2.60710,1.36940,1.40310,19.81560,0.879,0.7013
2019-03-31,45.45600,45.45600,4.57100,-11.93600,19.34200,1.08500,20.42700,20.42700,20.42700,,20.25400,29.03600,19.34200,39.53200,39.87400,0.51000,0.51000,0.46160,0.85740,42.55100,42.55100,44.93800,44.55740,0.03040,2.59180,2.59180,1.36510,1.39530,19.83320,0.67180,0.09030
2018-12-31,43.58700,43.58700,4.80100,0.69300,30.08300,0.76100,30.84400,30.84400,30.84400,,30.64500,39.92000,30.08300,39.47700,39.83900,0.78000,0.77000,0.43640,0.77440,69.01830,69.01830,70.76420,70.30770,0.02880,3.70290,3.70290,2.03780,2.08690,21.00440,0.807,0.5362
2018-09-30,41.77600,41.77600,4.87900,6.74100,34.19100,0.74600,34.93700,34.93700,34.93700,,34.78200,44.19800,34.19100,39.48700,39.86500,0.88000,0.88000,0.44900,0.81500,81.84360,81.84360,83.62940,83.25830,0.02720,4.24360,4.24360,2.27480,2.33810,20.76040,0.698,0.1516
2018-06-30,41.47200,41.47200,4.71600,40.72200,68.21000,0.72600,68.93600,68.93600,68.93600,,68.65800,78.02900,68.21000,39.47100,39.76500,1.74000,1.73000,0.44740,0.80980,164.47240,164.47240,166.22300,165.55270,0.02770,8.55610,8.55610,4.59690,4.72770,20.32790,0.8477,-0.0851
2018-03-31,41.81000,41.81000,4.79700,-7.84100,19.72800,0.63100,20.35900,20.35900,20.35900,,20.27100,29.71200,19.72800,39.45100,39.45400,0.51000,0.51000,0.47590,0.90820,47.18490,47.18490,48.69410,48.48360,0.02830,2.68990,2.68990,1.37640,1.40970,19.09870,0.54730,0.31600
2017-12-31,41.72900,41.72900,4.24300,-3.80200,24.26000,-4.42600,19.83400,19.83400,19.83400,,19.75300,34.21200,24.26000,39.40900,39.63700,0.51000,0.50000,0.46800,0.87990,58.13700,58.13710,47.53050,47.33640,0.02850,2.61440,2.61440,1.35330,1.39070,19.17230,0.7413,-0.2011
2017-09-30,41.24600,41.24600,4.14400,-7.58200,20.00100,0.61500,20.61600,20.61600,20.61600,,20.53600,30.09000,20.00100,39.42800,39.74800,0.52000,0.52000,0.45740,0.84310,48.49200,48.49200,49.98300,49.78910,0.02880,2.72470,2.72470,1.44050,1.47830,19.12100,0.7258,0.5991
2017-06-30,42.46800,42.46800,4.38600,-9.02600,19.74800,5.62900,25.37700,25.37700,25.37700,,25.27300,29.64000,19.74800,39.41400,39.79400,0.64000,0.64000,0.45920,0.84910,46.50090,46.50090,59.75560,59.51070,0.02950,3.35160,3.35160,1.76160,1.81260,19.13780,0.6582,-0.897
2017-03-31,42.62200,42.62200,4.74000,-7.45500,21.06800,0.44500,21.51300,21.51300,21.51300,,21.41600,30.95400,21.06800,39.36600,39.61200,0.54000,0.54000,0.44250,0.79380,49.42990,49.42990,50.47390,50.24640,0.03060,2.85640,2.85640,1.54590,1.59240,19.03170,0.53140,0.42580
2016-12-31,42.14100,42.14100,4.54800,-4.34300,23.94100,-3.28300,20.65800,20.65800,20.65800,,20.57700,33.75900,23.94100,38.38800,38.59700,0.53000,0.53000,0.45160,0.82340,56.81160,56.81160,49.02110,48.82900,0.03020,2.79140,2.79140,1.48100,1.53090,18.86870,0.714,0.4142
2016-09-30,40.84200,40.84200,4.46400,-6.88100,20.34200,2.06900,22.41100,22.41100,22.41100,,22.32100,29.96600,20.34200,39.05700,39.33500,0.57000,0.57000,0.44310,0.79560,49.80660,49.80660,54.87240,54.65210,0.02970,3.02590,3.02590,1.63180,1.68520,18.88310,0.6928,0.3545
2016-06-30,39.99600,39.99600,4.11700,-6.86400,20.10800,2.08000,22.18800,22.18800,22.18800,,22.07500,29.47400,20.10800,37.96900,38.16400,0.58000,0.58000,0.45360,0.83030,50.27500,50.27500,55.47550,55.19300,0.02900,3.03640,3.03640,1.60770,1.65890,18.70390,0.8086,-0.8947
2016-03-31,38.60400,38.60400,4.28300,-6.17400,19.58600,0.27200,19.85800,19.85800,19.85800,,19.75700,28.66500,19.58600,37.44600,37.45900,0.53000,0.53000,0.47480,0.90420,50.73570,50.73570,51.44030,51.17860,0.02930,2.95200,2.95200,1.50570,1.55030,17.74210,0.52340,-0.34940
2015-12-31,37.39300,37.39300,3.84100,-8.15000,17.09200,0.86200,17.95400,17.95400,17.95400,,17.84000,25.91900,17.09200,35.59000,37.32900,0.49000,0.47000,0.46450,0.86750,45.70910,45.70910,48.01430,47.70950,0.02930,2.72360,2.72360,1.40770,1.45840,17.55630,0.8532,-0.4348
2015-09-30,34.94300,34.94300,3.70800,-4.89700,18.97300,0.67400,19.64700,19.64700,19.64700,,18.70800,26.76600,18.97300,35.34100,37.35200,0.53000,0.52000,0.43930,0.78340,54.29700,54.29700,56.22590,53.53860,0.02870,3.15510,2.97140,1.61450,1.66620,18.58890,0.7102,-3.6723
2015-06-30,32.38700,32.38700,3.93800,-4.29700,17.17500,0.75300,17.92800,17.92800,17.92800,,16.98400,24.53500,17.17500,35.29900,37.31100,0.48000,0.48000,0.35180,0.54280,53.03050,53.03050,55.35560,52.44080,0.03110,2.88690,2.71830,1.71880,1.76200,18.54150,0.6992,0.5624
2015-03-31,31.48000,31.48000,3.49900,-3.76600,17.43600,0.11600,17.55200,17.55200,17.55200,,16.61100,24.56700,17.43600,35.27700,37.29200,0.47000,0.47000,0.32260,0.47620,55.38760,55.38760,55.75600,52.76680,0.03160,2.82690,2.66190,1.76330,1.80330,18.55280,0.47900,-0.13770
2014-12-31,30.75500,30.75500,3.12300,-3.85700,17.18100,3.81900,21.00000,21.00000,21.00000,,20.04300,24.61600,17.18100,34.61700,36.64000,0.57000,0.57000,0.29830,0.42500,55.86410,55.86410,68.28160,65.16990,0.03190,3.37830,3.18120,2.17670,2.23240,18.60540,0.7221,0.0891
2014-09-30,29.54100,29.54100,2.87200,-3.21200,17.12200,,17.12200,17.12200,17.12200,,16.18100,23.12700,17.12200,34.60500,36.62900,0.47000,0.46000,0.32380,0.47890,57.96010,57.96010,57.96010,54.77470,0.03100,2.88650,2.71060,1.79750,1.83280,18.12820,0.6562,0.4101
2014-06-30,29.22700,29.22700,2.69300,-3.09900,17.13300,1.14000,18.27300,18.27300,18.27300,,17.33800,23.60000,17.13300,34.59700,36.62100,0.50000,0.50000,0.31820,0.46660,58.62050,58.62050,62.52100,59.32190,0.03090,3.07740,2.89000,1.93330,1.97050,18.14540,0.6937,0.3126
2014-03-31,29.43800,29.43800,2.94900,-3.18700,17.00400,,17.00400,17.00400,17.00400,,16.08300,23.46700,17.00400,34.58600,36.61100,0.47000,0.46000,0.31760,0.46540,57.76210,57.76210,57.76210,54.63350,0.03120,2.86610,2.69150,1.80460,1.83670,18.14550,0.54160,0.17100
2013-12-31,27.80500,27.80500,2.57700,-11.05900,8.17900,,14.11000,14.11000,14.11000,0.54000,13.73200,15.07600,8.17900,33.11100,33.14200,0.41000,0.40000,0.30600,0.44090,29.41560,29.41560,50.74630,49.38680,0.02990,2.37570,2.23100,1.51490,1.54840,18.20180,0.9643,0.1175
2013-09-30,25.82500,25.82500,2.67600,-2.58100,14.42900,,14.42900,14.42900,14.42900,2.85700,16.37300,20.63100,14.42900,34.55300,36.58000,0.47000,0.47000,0.22800,0.29530,55.87220,55.87220,55.87220,63.39980,0.03070,2.41480,2.26860,1.71520,1.75140,18.30180,0.4736,0.242
2013-06-30,25.68100,25.68100,2.86900,,16.68800,-2.79800,13.89000,13.89000,13.89000,-0.98700,11.99400,22.81900,16.68800,32.91300,32.94600,0.36000,0.36000,0.22820,0.29570,64.98190,64.98190,54.08670,46.70380,0.03040,2.32770,2.18660,1.64370,1.68760,18.27880,0.6132,0.4015
2013-03-31,25.66300,25.66300,3.41800,,16.10900,-3.13300,12.97600,12.97600,12.97600,,12.06000,22.24500,16.10900,30.36500,30.39900,0.40000,0.40000,0.39540,0.65410,62.77130,62.77130,50.56310,46.99370,0.03240,3.02960,2.77970,1.63700,1.68050,15.19910,0.57770,0.37010
2012-12-31,23.38500,23.38500,3.23400,,5.02200,,12.04700,12.04700,12.04700,0.73100,11.85400,10.71400,5.02200,30.23800,30.27800,0.40000,0.39000,0.39620,0.65630,21.47530,21.47530,51.51590,50.69060,0.02960,2.83720,2.60130,1.52570,1.57060,15.16200,0.642,-2.4721
2012-09-30,23.40200,23.40200,2.37000,,15.23900,-2.98800,12.25100,12.25100,12.25100,0.25300,11.58300,21.16400,15.23900,30.25300,30.29300,0.38000,0.38000,0.32510,0.48170,65.11840,65.11840,52.35020,49.49580,0.03300,2.87320,2.63520,1.72590,1.77850,15.24330,0.678,-1.3827
2012-06-30,23.05500,23.05500,2.60400,,15.09600,-2.00400,13.09200,13.09200,13.09200,0.02100,12.19400,20.46500,15.09600,30.21300,30.25800,0.40000,0.40000,0.26830,0.36660,65.47820,65.47820,56.78600,52.89090,0.03520,3.06630,2.81270,1.99920,2.05820,15.28860,0.6603,0.5834
2012-03-31,22.64000,22.64000,2.52400,,14.94900,-2.03300,12.91600,12.91600,12.91600,0.01600,12.00900,20.11600,14.94900,30.18900,30.23400,0.40000,0.40000,0.27400,0.37740,66.02920,66.02920,57.04950,53.04330,0.03440,3.02570,2.77540,1.96110,2.01490,15.30240,0.55690,-0.06500
2011-12-31,20.75400,20.75400,,7.05500,13.53100,-1.99300,11.53800,11.53800,11.53800,1.06600,11.65600,18.67200,13.53100,29.19400,29.22200,0.40000,0.41000,0.25350,0.33970,65.19710,65.19710,55.59410,56.16270,0.03210,2.68190,2.46160,1.78300,1.83750,15.44550,0.698,-0.4213
2011-09-30,21.43100,21.43100,,-2.24000,14.24200,-1.79400,12.44800,12.44800,12.44800,-0.02500,11.47200,19.21600,14.24200,30.13700,30.15600,0.38000,0.38000,0.21900,0.28050,66.45510,66.45510,58.08410,53.52990,0.03460,2.88990,2.65280,2.01090,2.07180,15.46560,0.5731,0.0865
2011-06-30,21.18000,21.18000,,-2.35800,13.90400,-1.54300,12.36100,12.36100,12.36100,-0.09900,11.31100,18.89100,13.90400,30.13500,30.16800,0.38000,0.37000,0.20770,0.26210,65.64680,65.64680,58.36170,53.40420,0.03450,2.86400,2.62940,2.01180,2.08340,15.49410,0.5444,0.7986
2011-03-31,20.25300,20.25300,,-2.44400,13.37700,-1.10400,12.27300,12.27300,12.27300,-0.11900,5.39300,17.89800,13.37700,26.31000,26.34000,0.20000,0.20000,0.10140,0.11290,66.04950,66.04950,60.59840,26.62820,0.03190,2.83600,2.60430,1.93150,2.34010,15.53540,0.59570,-1.45690
2010-12-31,20.28200,20.28200,9.43000,6.57700,13.25300,-1.38200,11.87100,11.87100,11.87100,0.42000,9.58300,17.41500,13.25300,24.49500,24.56800,0.37000,0.37000,0.16660,0.19980,65.34370,65.34370,58.52970,47.24880,0.03610,3.59060,2.59460,2.11500,2.16250,17.36660,0.7221,-1.6584
2010-09-30,18.35900,18.35900,,-1.96000,12.38900,-0.85200,11.53700,11.53700,11.53700,0.02500,5.57100,16.46200,12.38900,24.93000,24.94500,0.22000,0.22000,0.10500,0.11730,67.48190,67.48190,62.84110,30.34480,0.03510,3.48600,2.51970,2.20570,2.25510,17.45780,0.5893,0.6168
2010-06-30,17.92500,17.92500,,-1.95300,12.09200,-0.41900,11.67300,11.67300,11.67300,-0.04300,7.73900,16.10600,12.09200,23.64300,23.74300,0.33000,0.33000,0.08850,0.09710,67.45890,67.45890,65.12130,43.17430,0.03470,4.25880,2.53270,2.25740,2.30870,19.36590,0.693,-0.2764
2010-03-31,17.73600,17.73600,0.40100,-3.03400,10.51400,,10.51400,10.51400,10.51400,0.05600,6.69400,14.37400,10.51400,23.28300,23.38400,0.29000,0.29000,0.07940,0.08630,59.28060,59.28060,59.28060,37.74240,0.03460,3.81990,2.27550,2.05330,2.09480,19.41860,0.64030,-0.11060
2009-12-31,16.49400,16.49400,,-1.59300,11.59700,-0.37200,11.22500,11.22500,11.22500,-0.16900,7.17000,15.33000,11.59700,23.09900,23.18200,0.30000,0.30000,0.05300,0.05590,70.31040,70.31040,68.05510,43.47040,0.03360,4.19610,2.47080,2.28800,2.33990,19.48840,0.6652,0.0422
2009-09-30,17.19900,17.19900,,-1.96800,11.61000,-0.34000,11.27000,11.27000,11.27000,0.05600,7.43100,15.30400,11.61000,23.10800,23.19300,0.32000,0.32000,0.02560,0.02630,67.50390,67.50390,65.52710,43.20600,0.03610,4.20060,2.47640,2.36260,2.41300,19.60350,0.6633,0.6283
2009-06-30,17.38500,17.38500,,-2.13700,11.55400,-0.81400,10.74000,10.74000,10.74000,,6.84300,15.24800,11.55400,23.08100,23.16300,0.30000,0.30000,0.05320,0.05620,66.45960,66.45960,61.77740,39.36150,0.03550,3.99610,2.35750,2.19080,2.23210,19.65570,0.6752,0.6281
2009-03-31,17.71600,17.71600,,-1.88500,12.13000,-0.89200,11.23800,11.23800,11.23800,,7.96600,15.83100,12.13000,23.05900,23.14100,0.35000,0.35000,0.07310,0.07890,68.46920,68.46920,63.43420,44.96500,0.03540,4.15280,2.45690,2.24310,2.27720,19.73730,0.59920,0.57160
