Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2019-09-30,125.48000,85.89400,39.58600,31.51500,-0.01100,31.52600,8.06000,-0.99300,7.06700,1.84800,5.21900,5.21900,,5.21900,13.65100,8.06000,35.49500,35.75900,0.15000,0.15000,2.09900,0.32000,0.47050,31.54770,6.42330,6.42330,5.63200,4.15920,0.35120,1.95170,1.92660,46.71350,3.18580,8.09360,1.46070,2.16650,4.61310,0.6519,0.6164
2019-06-30,134.28500,87.34900,46.93600,36.80900,0.05500,36.75400,10.18200,-1.01700,9.16500,2.55900,6.60600,6.60600,,6.60600,16.24100,10.18200,35.47100,35.74300,0.19000,0.18000,2.25570,0.32160,0.47400,34.95250,7.58240,7.58240,6.82500,4.91940,0.38040,2.06300,1.83650,49.00620,4.06750,8.65540,1.87140,2.75950,4.57700,0.3037,0.3472
2019-03-31,139.11500,93.55600,45.55900,34.46800,-0.87300,35.34100,10.21800,-1.04900,9.16900,2.52600,6.64300,6.64300,0.12700,6.77000,16.25600,10.21800,35.38900,35.69500,0.19000,0.19000,2.09790,0.32670,0.48530,32.74920,7.34500,7.34500,6.59100,4.86650,0.40230,2.20190,1.93450,46.52450,4.19310,9.39760,1.92110,2.82300,4.46850,0.35290,0.39640
2018-12-31,138.38800,96.29200,42.09600,34.97500,-0.08800,35.06300,7.03300,-1.10300,5.93000,2.80400,3.12600,3.12600,-0.79200,2.33800,13.37200,7.03300,33.42700,33.42700,0.02000,0.02000,1.87690,0.33180,0.49660,30.41880,5.08210,5.08210,4.28510,1.68950,0.39690,2.20870,1.77810,50.61700,2.02150,4.78790,0.89660,1.35070,4.37150,0.6408,0.5926
2018-09-30,135.21900,93.12800,42.09100,34.38100,-33.54900,67.93000,-25.83900,-0.88300,-26.72200,-5.58500,-21.13700,-21.13700,0.00200,-21.13900,-19.41200,-25.83900,35.22900,35.22900,-0.60000,-0.60000,1.97310,0.32530,0.48220,31.12800,-19.10900,-19.10900,-19.76200,-15.63320,0.39600,2.10170,1.77240,50.77960,-13.28900,-31.60770,-6.19030,-8.96590,4.49940,0.3391,0.3033
2018-06-30,140.56000,92.56900,47.99100,34.50600,-0.37400,34.88000,13.11100,-1.31300,11.79800,3.19000,8.60800,8.60800,,8.60800,19.82300,13.11100,32.60700,33.08500,0.26000,0.26000,1.90270,0.30260,0.43390,34.14270,9.32770,9.32770,8.39360,6.12410,0.38970,1.87530,1.85570,48.49790,4.74900,9.87460,2.38650,3.31190,5.14920,0.5055,0.478
2018-03-31,152.56800,105.45300,47.11500,35.47300,0.38000,35.09300,12.02200,-1.63900,10.38300,2.62800,7.75500,7.75500,-0.91100,6.84400,18.68300,12.02200,30.51900,30.98900,0.22000,0.22000,1.56470,0.60080,1.50490,30.88130,7.87980,7.87980,6.80550,4.48590,0.43630,2.20430,1.69700,53.03560,8.08440,-1474.33200,2.21790,3.22740,3.13880,0.34700,0.38400
2017-12-31,140.10600,101.84900,38.25700,33.72400,-0.53000,34.25400,4.00300,-3.35200,0.65100,-1.17000,1.82100,1.82100,-20.07400,-18.25300,10.86800,4.00300,30.22200,30.56300,-0.61000,-0.61000,1.52060,0.61700,1.61100,27.30580,2.85710,2.85710,0.46460,-13.02800,0.39360,2.16580,1.56360,57.55900,1.94240,-34.56710,0.51160,0.74390,3.07420,0.2762,0.3559
2017-09-30,135.11300,95.97000,39.14300,35.10700,2.76500,32.34200,6.80100,-1.83800,4.96300,1.88000,3.08300,3.08300,0.17400,3.25700,13.58600,6.80100,30.26700,30.65100,0.11000,0.11000,1.55910,0.61780,1.61680,28.97060,5.03360,5.03360,3.67320,2.41060,0.36180,1.95970,1.53050,58.80280,3.15450,-65.69390,0.82560,1.20550,3.22530,0.4028,0.5112
2017-06-30,135.25200,96.96000,38.29200,32.13300,-0.19100,32.32400,5.96800,-1.86000,4.10800,1.62600,2.48200,2.48200,-0.48900,1.99300,14.57700,5.96800,30.15500,30.47300,0.07000,0.07000,1.64790,0.64210,1.79420,28.31160,4.41250,4.41250,3.03730,1.47350,0.36480,2.00810,1.70730,52.71490,2.61780,-28.14380,0.66940,0.93690,3.13400,0.345,0.3104
