Date,revenue,cost-goods-sold,gross-profit,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2020-06-30,211.40000,137.10000,74.30000,0.00000,74.30000,,74.30000,14.70000,59.60000,59.60000,59.60000,80.50000,74.30000,30.04400,30.23000,1.98000,1.97000,,35.14660,35.14660,35.14660,28.19300,0.05280,5.20980,5.44690,1.48850,5.20980,38.93410,0.432,0.3673
2020-03-31,127.00000,172.30000,-45.30000,0.00000,-45.30000,,-45.30000,-10.40000,-34.90000,-34.90000,-34.90000,-38.40000,-45.30000,30.69700,31.15600,-1.14000,-1.14000,,-35.66930,-35.66930,-35.66930,-27.48030,0.03250,-3.30090,-3.46400,-0.89210,-3.30090,34.77620,0.49750,0.43650
2019-12-31,210.30000,168.90000,41.40000,0.00000,41.40010,,41.40000,9.60000,31.80000,31.80000,31.80000,47.00010,41.40010,32.12100,32.54000,0.99000,1.00000,,19.68620,19.68620,19.68620,15.12130,0.05250,2.72770,2.84950,0.79420,2.72770,37.18070,0.2805,0.2923
2019-09-30,201.00000,160.10000,40.90000,0.00000,40.90000,,40.90000,8.10000,32.80000,32.80000,32.80000,48.30000,40.90000,31.94700,32.31800,1.03000,1.01000,,20.34830,20.34830,20.34830,16.31840,0.04990,2.82660,2.95340,0.81490,2.82660,36.47340,2.1806,2.0527
2019-06-30,204.30000,154.40000,49.90000,0.20000,49.70000,,49.70000,9.00000,40.70000,40.70000,40.70000,55.80000,49.90000,32.07800,32.45100,1.27000,1.25000,,24.32700,24.42490,24.32700,19.92170,0.05170,3.62910,3.77690,1.02930,3.62910,35.15120,0.6936,0.5834
2019-03-31,220.30000,158.10000,62.20000,0.40000,61.80000,,61.80000,10.00000,51.80000,51.80000,51.80000,66.30000,62.20000,32.44200,32.95400,1.60000,1.57000,0.01870,28.05270,28.23420,28.05270,23.51340,0.05540,4.83340,5.03990,1.30380,4.83340,33.21660,0.60990,0.46430
2018-12-31,179.40000,148.50000,30.90000,0.40010,30.49990,,30.50000,4.90000,25.60000,25.60000,25.60000,34.09990,30.90000,32.88500,33.31100,0.78000,0.76000,0.01960,17.00110,17.22410,17.00110,14.26980,0.04580,2.51420,2.62750,0.65320,2.51420,31.07490,1.4145,1.3364
2018-09-30,228.90000,170.20000,58.70000,0.40000,58.30000,,58.30000,10.70000,47.60000,47.60000,47.60000,62.00000,58.70000,32.90600,33.31600,1.45000,1.43000,0.02020,25.46960,25.64440,25.46960,20.79510,0.05870,4.80230,5.02480,1.22100,4.80230,30.22230,1.4005,1.4764
2018-06-30,204.10000,152.40000,51.70000,0.40000,51.30000,,51.30000,8.80000,42.50000,42.50000,42.50000,55.50000,51.70000,32.88000,33.22300,1.29000,1.28000,0.02090,25.13470,25.33070,25.13470,20.82310,0.05280,4.44330,4.65750,1.09860,4.44330,29.19720,1.208,0.9911
2018-03-31,188.00000,158.30000,29.70000,0.30000,29.40000,,29.40000,3.80000,25.60000,25.60000,25.60000,34.10000,29.70000,32.83000,33.32000,0.78000,0.77000,0.02150,15.63830,15.79790,15.63830,13.61700,0.04890,2.75180,2.88840,0.66530,2.75180,28.40440,1.38660,1.29950
2017-12-31,201.00000,147.70000,53.30000,0.30010,52.99990,,53.00000,21.70000,31.30000,31.30000,31.30000,58.39990,53.30000,32.50200,33.06100,0.96000,0.95000,0.02110,26.36810,26.51740,26.36820,15.57210,0.05230,3.30270,3.46390,0.81510,3.30270,29.07230,1.1639,1.1518
2017-09-30,210.90000,174.20000,36.70000,0.30000,36.40000,-7.50000,28.90000,7.00000,21.90000,21.90000,21.90000,42.40000,36.70000,32.56400,33.05400,0.67000,0.66000,0.02180,17.25940,17.40160,13.70320,10.38410,0.05500,2.38800,2.50890,0.57100,2.38800,28.28460,1.8491,1.7919
2017-06-30,193.20000,160.20000,33.00000,0.40000,32.60000,,32.60000,7.80000,24.80000,24.80000,24.80000,39.00000,33.00000,32.46900,32.99300,0.76000,0.75000,0.02220,16.87370,17.08080,16.87370,12.83640,0.05050,2.75800,2.90060,0.64840,2.75800,27.74200,0.3599,0.2873
2017-03-31,196.30000,166.40000,29.90000,0.40000,29.50000,,29.50000,6.30000,23.20000,23.20000,23.20000,35.60000,29.90000,32.32800,32.96500,0.72000,0.70000,0.03690,15.02800,15.23180,15.02800,11.81870,0.05120,2.67440,2.81830,0.60520,2.67440,26.87760,0.93130,0.82510
2016-12-31,193.20000,144.40000,48.80000,0.40000,48.40000,,48.40000,12.90000,35.50000,35.50000,35.50000,54.10000,48.80000,32.43500,32.97700,1.10000,1.08000,0.03810,25.05180,25.25880,25.05180,18.37470,0.05120,4.22320,4.45870,0.94080,4.22320,26.16330,0.7799,0.7466
2016-09-30,192.80000,162.00000,30.80000,0.40000,30.40000,,30.40000,7.80000,22.60000,22.60000,22.60000,36.90000,30.80000,32.45000,32.94900,0.70000,0.69000,0.03760,15.76760,15.97510,15.76760,11.72200,0.05040,2.65850,2.80540,0.59100,2.65850,26.47460,1.6556,1.6097
2016-06-30,201.80000,167.20000,34.60000,0.40000,34.20000,,34.20000,7.40000,26.80000,26.80000,26.80000,40.40000,34.60000,32.63000,33.14400,0.82000,0.81000,0.03790,16.94750,17.14570,16.94750,13.28050,0.05270,3.17050,3.34710,0.69930,3.17050,26.03810,0.6329,0.5665
2016-03-31,192.00000,163.90000,28.10000,0.40000,27.70000,,27.70000,5.90000,21.80000,21.80000,21.80000,34.00000,28.10000,32.41400,32.95500,0.67000,0.66000,0.03980,14.42710,14.63540,14.42710,11.35420,0.05060,2.71250,2.87180,0.57420,2.71250,24.74140,0.65540,0.64940
2015-12-31,184.50000,166.30000,18.20000,0.60010,17.59990,,17.60000,-9.10000,26.70000,26.70000,26.70000,23.89990,18.19990,32.07100,32.56100,0.83000,0.82000,0.04210,9.53920,9.86450,9.53930,14.47160,0.04910,3.50950,3.72850,0.71090,3.50950,23.61560,0.6846,0.559
2015-09-30,199.50000,168.40000,31.10000,0.70000,30.40000,,30.40000,5.90000,24.50000,24.50000,24.50000,36.80000,31.10000,32.18400,32.52400,0.76000,0.75000,0.12670,15.23810,15.58900,15.23810,12.28070,0.05240,3.37470,3.59710,0.64370,3.37470,22.63230,0.9614,0.9061
2015-06-30,190.90000,156.90000,34.00000,0.70000,33.30000,,33.30000,4.10000,29.20000,29.20000,29.20000,38.80000,34.00000,32.06700,32.50700,0.91000,0.90000,0.12880,17.44370,17.81040,17.44370,15.29600,0.05010,4.08680,4.36150,0.76610,4.08680,22.30230,1.1616,1.017
2015-03-31,177.20000,158.40000,18.80000,0.70000,18.10000,,18.10000,4.10000,14.00000,14.00000,14.00000,23.70000,18.80000,31.74100,32.45400,0.44000,0.43000,0.12970,10.21450,10.60950,10.21450,7.90070,0.04660,1.97320,2.10720,0.36840,1.97320,22.25880,0.76720,0.73950
2014-12-31,192.60000,161.50000,31.10010,0.70000,30.40000,,30.40000,1.30000,29.10000,29.10000,29.10000,35.70000,31.10000,31.53000,32.06900,0.92000,0.91000,0.13400,15.78400,16.14740,15.78400,15.10900,0.05110,4.23700,4.53550,0.77190,4.23700,21.80730,1.1123,1.0496
2014-09-30,192.10000,174.80000,17.30000,0.80000,16.50000,,16.50000,1.30000,15.20000,15.20000,15.20000,21.70000,17.30000,31.59100,32.10900,0.48000,0.47000,0.15630,8.58930,9.00570,8.58930,7.91250,0.05080,2.32920,2.50320,0.40220,2.32920,20.72450,1.8097,1.62
2014-06-30,200.30000,152.00000,48.30000,0.70000,47.60000,,47.60000,2.00000,45.60000,45.60000,45.60000,52.60000,48.30000,31.51800,32.03100,1.45000,1.42000,0.15810,23.76440,24.11380,23.76440,22.76590,0.05320,7.06700,7.60370,1.21130,7.06700,20.49530,1.2317,1.2036
2014-03-31,188.50000,175.60000,12.90000,0.80000,12.10000,,12.10000,1.30000,10.80000,10.80000,10.80000,17.20000,12.90000,31.40900,31.99000,0.34000,0.34000,0.17350,6.41910,6.84350,6.41910,5.72940,0.05100,1.83720,1.99210,0.29200,1.83720,18.73600,1.20660,1.15970
2013-12-31,192.28300,185.77500,6.50800,0.78000,5.72800,,5.72800,-8.40900,14.13700,14.13700,14.13700,10.71000,6.50800,31.14300,31.93800,0.46000,0.44000,0.17940,2.97890,3.38460,2.97890,7.35220,0.05280,2.48580,2.70400,0.38800,2.48580,18.16940,1.3409,1.3739
2013-09-30,183.33200,158.20600,25.12600,0.81500,24.31100,,24.31100,-3.27400,27.58500,27.58500,27.58500,28.91400,25.12600,31.21400,32.03400,0.88000,0.86000,0.20120,13.26060,13.70520,13.26060,15.04650,0.05030,4.95660,5.40400,0.75670,4.95660,17.83350,1.1812,1.1136
2013-06-30,181.60800,165.01400,16.59400,0.79700,15.79700,,15.79700,1.20900,14.58800,14.58800,14.58800,20.29100,16.59400,31.08000,31.65700,0.47000,0.46000,0.21460,8.69840,9.13730,8.69840,8.03270,0.05020,2.79500,3.06700,0.40330,2.79500,16.83790,1.3682,1.3108
2013-03-31,166.27700,158.20500,8.07200,0.80800,7.26400,,7.26400,-0.22600,7.49000,7.49000,7.49000,11.48500,8.07200,30.91400,31.43600,0.24000,0.24000,0.20430,4.36860,4.85450,4.36860,4.50450,0.04650,1.36660,1.49330,0.20960,1.36660,17.71730,1.32290,1.28340
2012-12-31,159.58700,72.41400,87.17300,0.84800,86.32500,,86.32500,-1.44400,87.76900,87.76900,87.76900,90.25800,87.17300,31.47600,31.72200,2.80000,2.77000,0.20760,54.09270,54.62410,54.09280,54.99760,0.04540,16.27220,17.81640,2.49960,16.27220,17.52890,1.2224,1.2313
2012-09-30,151.14000,143.65100,7.48900,0.89600,6.59300,,6.59300,-1.17300,7.76600,7.76600,7.76600,10.83700,7.48900,30.89200,31.07700,0.25000,0.25000,0.25780,4.36220,4.95500,4.36220,5.13830,0.04210,1.64110,1.82210,0.21650,1.64110,15.40220,1.2117,1.1512
2012-06-30,138.31100,134.74600,3.56500,0.85800,2.70700,,2.70700,-2.30900,5.01600,5.01600,5.01600,6.80500,3.56500,31.53700,31.68600,0.16000,0.16000,0.26830,1.95720,2.57750,1.95720,3.62660,0.03910,1.10330,1.23140,0.14170,1.10330,14.69080,0.9593,0.9206
2012-03-31,130.14400,127.32300,2.82100,0.90200,1.91900,,1.91900,-4.42100,6.34000,6.34000,6.34000,5.76800,2.82100,32.64900,32.82600,0.19000,0.19000,0.26200,1.47450,2.16760,1.47450,4.87150,0.03710,1.36130,1.51640,0.18080,1.36130,14.58340,0.74410,0.68020
2011-12-31,138.42700,113.40600,25.02100,-1.85500,26.87600,,26.87600,6.63200,20.24400,20.24400,20.24400,30.76500,27.78700,37.28400,37.50900,0.56000,0.57000,0.26410,19.41530,20.07340,19.41530,14.62430,0.03980,4.38200,4.88910,0.58130,4.38200,14.00080,0.1741,0.1551
2011-09-30,112.91400,104.58000,8.33400,0.90600,7.42800,,7.42800,-4.35500,11.78300,11.78300,11.78300,11.66200,8.33400,37.62400,37.63700,0.31000,0.31000,0.26080,6.57850,7.38080,6.57850,10.43540,0.03210,2.32820,2.57370,0.33530,2.32820,13.96900,0.6265,0.5986
2011-06-30,109.53900,102.38300,7.15600,0.90800,6.24800,,6.24800,-2.00300,8.25100,8.25100,8.25100,10.62200,7.15600,38.46800,38.59600,0.21000,0.21000,0.26470,5.70390,6.53280,5.70390,7.53250,0.03130,1.65450,1.83340,0.23590,1.65450,13.17430,0.1927,0.1474
2011-03-31,103.27400,96.39200,6.88200,0.91700,5.96500,,5.96500,-2.38000,8.34500,8.34500,8.34500,10.74000,6.88200,38.67400,38.87700,0.22000,0.21000,0.27170,5.77590,6.66380,5.77590,8.08040,0.02970,1.71790,1.91100,0.23980,1.71790,12.61350,0.13670,0.11450
2010-12-31,113.29100,89.25200,24.03900,0.86100,23.17800,,23.17800,2.35900,20.81900,20.81900,20.81900,27.52700,24.03900,41.39100,41.46500,0.51000,0.51000,0.26930,20.45880,21.21880,20.45880,18.37660,0.03260,4.24780,4.72470,0.59820,4.24780,12.57840,1.2373,1.2326
2010-09-30,101.78500,90.04100,11.74400,1.63200,10.11200,,10.11200,0.05800,10.05400,10.05400,10.05400,14.44500,11.74400,40.76600,40.92000,0.25000,0.25000,0.24960,9.93470,11.53800,9.93470,9.87770,0.02840,1.90140,2.09970,0.28060,1.90140,13.27500,0.366,0.3638
2010-06-30,99.44200,79.68700,19.75500,1.62000,18.13500,,18.13500,1.63600,16.49900,16.49900,16.49900,23.37400,19.75500,42.47300,42.60600,0.39000,0.39000,0.25320,18.23680,19.86590,18.23680,16.59160,0.02750,3.16520,3.50420,0.45650,3.16520,12.51110,-0.2785,-0.2997
2010-03-31,101.08600,83.93900,17.14700,1.58000,15.56700,,15.56700,-0.53000,16.09700,16.09700,16.09700,20.54200,17.14700,42.72200,42.83000,0.38000,0.38000,0.25920,15.39980,16.96280,15.39980,15.92410,0.02770,3.16140,3.51310,0.44080,3.16140,11.91720,0.04940,0.03160
2009-12-31,111.56200,95.91800,15.64400,1.80100,13.84300,,13.84300,2.57900,11.26400,11.26400,11.26400,19.08800,15.64400,45.95400,46.09100,0.26000,0.26000,0.26480,12.40840,14.02270,12.40830,10.09660,0.03030,2.26000,2.52120,0.30640,2.26000,11.61550,-0.1396,-0.1524
2009-09-30,124.32100,87.34600,36.97500,1.82400,35.15100,,35.15100,4.59400,30.55700,30.55700,30.55700,40.56700,36.97500,45.11400,45.29200,0.68000,0.67000,0.34690,28.27440,29.74160,28.27440,24.57910,0.03280,5.82480,6.46950,0.80640,5.82480,11.85580,0.148,0.1213
2009-06-30,127.11200,101.64200,25.47000,1.82500,23.64500,,23.64500,3.30000,20.34500,20.34500,20.34500,29.15600,25.47000,46.46600,46.50600,0.44000,0.44000,0.38640,18.60170,20.03750,18.60170,16.00560,0.03410,4.31890,4.86500,0.54560,4.31890,10.28620,0.2426,0.2066
2009-03-31,132.94000,111.32200,21.61800,1.95900,19.65900,,19.65900,-1.19600,20.85500,20.85500,20.85500,25.84200,21.61800,48.57700,48.61300,0.43000,0.43000,0.39570,14.78790,16.26150,14.78790,15.68750,0.03530,4.53430,5.13170,0.55400,4.53430,9.74330,0.63310,0.60710
