Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2021-12-31,,,,6.36200,12.85900,,,-23.21900,-0.16800,-22.08300,,-22.03500,-22.03500,-22.03500,-21.53300,-21.91500,48.21600,48.21600,-0.45000,-0.45000,1.79820,0.01280,0.01350,,,,,,,,,,-7.54240,-16.69020,-6.06740,-7.44570,5.64090,-0.3975,-0.5174
2021-09-30,,,,3.70800,9.76700,,,-13.47500,0.00600,-13.46900,,-13.46900,-13.46900,-13.46900,-13.32800,-13.47500,47.85100,47.85100,-0.28000,-0.28000,17.95840,0.01400,0.01420,,,,,,,,,,-6.47080,-6.47080,-6.17630,-6.38030,4.34750,-0.1459,-0.2461
2021-06-30,,,,4.34300,9.17400,,,-13.51700,-0.06000,-13.57700,,-13.57700,-13.57700,-13.57700,-13.38300,-13.51700,47.75600,47.75600,-0.28000,-0.28000,28.91900,,,,,,,,,,,,-6.25200,-6.25200,-6.07780,-6.25200,4.54000,-0.1525,-0.2912
2021-03-31,,,,2.70900,9.94200,,,-12.65100,-0.06600,-12.71700,,-12.71700,-12.71700,-12.71700,-12.54200,-12.65100,46.83900,46.83900,-0.27000,-0.27000,12.14740,,,,,,,,,,,,-5.64500,-5.64500,-5.19990,-5.64500,4.73320,-0.09350,-0.21500
2020-12-31,,,,2.95200,16.10900,,,-19.06100,0.10000,-18.97300,,-18.97300,-18.97300,-18.97300,-18.93700,-19.06100,35.65400,35.65400,-0.47000,-0.47000,49.06090,,,,,,,,,,,,-8.22250,-8.22250,-8.03430,-8.22250,5.00530,-0.3876,-0.7383
2020-09-30,,,,2.10600,8.95600,,,-11.06200,-0.00600,-11.05600,,-11.05600,-11.05600,-11.05600,-10.97800,-11.06200,38.02000,38.02000,-0.29000,-0.29000,40.13200,,,,,,,,,,,,-4.62460,-4.62460,-4.50100,-4.62460,5.24640,-0.2151,-0.2552
2020-06-30,,,,1.78600,4.64300,,,-6.42900,0.06500,-6.36400,,-6.36400,-6.36400,-6.36400,-6.42900,-6.42900,29.26800,29.26800,-0.21000,-0.21000,,,,,,,,,,,,,,,,,,0,0
2020-03-31,,,,2.36600,5.00500,,,-7.37100,-0.05100,-7.42200,,-7.42200,-7.42200,-7.42200,-7.37100,-7.37100,28.92400,28.92400,-0.26000,-0.26000,,,,,,,,,,,,,,,,,,0.00000,
2019-12-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,,0.074,0.0781
2019-09-30,,,,0.36800,1.50100,,,-1.86900,0.00100,-1.86800,,-1.86800,-1.86800,-1.86800,-1.86900,-1.86900,26.74700,26.74700,-0.07000,-0.07000,,,,,,,,,,,,,,,,,,-0.074,-0.0781
2018-12-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,,0,0
