Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2019-03-31,0.18000,0.17900,0.00100,0.08800,,0.08800,-0.08700,0.21300,0.12600,0.12600,0.12600,,0.12600,-0.06400,-0.08700,5.13200,5.13200,0.02000,0.02000,21.86980,0.03690,0.05030,0.55560,-48.33330,-48.33330,70.00000,70.00000,0.02230,1.93550,46.50000,2.57880,2.57830,1.56350,2.48320,0.95230,0.02220,0.02220
2018-12-31,-0.42100,-0.64100,0.22000,0.07800,,0.07800,0.14200,0.02100,0.16300,0.16300,0.16300,,-0.05500,-0.01200,0.14200,2.35800,2.35800,-0.04000,-0.04000,29.97330,0.04050,0.05460,-52.25650,-33.72920,-33.72920,-38.71740,13.06410,-0.05340,-5.84720,-15.39190,3.42440,3.42370,2.06800,3.28500,0.92770,-0.2187,-0.2187
2018-09-30,0.16700,0.18600,-0.01900,0.09900,,0.09900,-0.11800,-0.00300,-0.12100,-0.12100,-0.12100,,-0.12100,-0.04900,-0.11800,5.13200,5.13200,-0.02000,-0.02000,0.83480,0.37000,0.72220,-11.37730,-70.65870,-70.65870,-72.45510,-72.45510,0.04370,3.63040,24.79040,-32.09560,-32.01060,-3.16920,-20.16670,0.17730,0.0766,0.0766
2018-06-30,0.17300,0.23900,-0.06600,0.10800,,0.10800,-0.17400,0.00000,-0.17400,-0.17400,-0.17400,,-0.17400,-0.11300,-0.17400,2.13200,2.13200,-0.08000,-0.08000,0.93430,0.31460,0.57520,-38.15030,-100.57800,-100.57800,-100.57800,-100.57800,0.04440,,,-34.94000,-34.86970,-4.46840,-23.90110,0.23410,-0.1285,-0.1285
2018-03-31,0.20400,0.27500,-0.07100,0.07400,,0.07400,-0.14500,0.01200,-0.13300,-0.13300,-0.13300,,-0.13400,-0.07800,-0.14500,2.03700,2.03700,-0.07000,-0.07000,0.85080,0.31790,0.60160,-34.80390,-71.07840,-71.07840,-65.19610,-65.68630,0.04980,3.51720,25.58820,-26.54690,-26.49400,-3.24710,-18.07070,0.24640,0.00050,0.00050
2017-12-31,0.15900,0.26100,-0.10200,0.09100,,2.71700,-2.81900,-0.03600,-2.85500,-2.85500,-2.85500,0.00400,-2.85100,-2.72600,-2.81900,1.94700,1.94700,-1.39000,-1.39000,0.93880,0.27650,0.50940,-64.15090,-1772.95600,-1772.95600,-1795.59700,-1793.08200,0.03780,2.37310,37.92450,-449.60750,-448.89940,-67.89540,-324.80090,0.31220,-0.0904,-0.0894
2017-09-30,0.19400,0.25400,-0.06000,0.09500,,0.09500,-0.15500,0.06500,-0.09000,-0.09000,-0.09000,-0.01100,-0.10100,-0.07900,-0.15500,1.94700,1.94700,-0.05000,-0.05000,0.91140,0.07230,0.10360,-30.92780,-79.89690,-79.89690,-46.39180,-52.06190,0.02760,1.50390,59.84540,-2.71000,-2.70920,-1.28060,-2.51330,1.70620,0.0071,0.0072
2017-06-30,0.24300,0.25600,-0.01300,0.12200,,0.12200,-0.13500,0.01100,-0.12400,-0.12400,-0.12400,-0.01100,-0.13500,-0.05600,-0.13500,1.94700,1.94700,-0.07000,-0.07000,0.99250,0.07460,0.10600,-5.34980,-55.55560,-55.55560,-51.02880,-55.55560,0.03400,1.69930,52.96300,-3.62150,-3.62040,-1.73690,-3.35040,1.75910,-0.0333,-0.0334
2017-03-31,0.19500,0.25600,-0.06100,0.10000,,0.10000,-0.16100,-0.01100,-0.17200,-0.17200,-0.17200,0.01300,-0.15900,-0.01300,-0.16100,1.94700,1.94700,-0.08000,-0.08000,1.07040,0.07600,0.10730,-31.28210,-82.56410,-82.56410,-88.20510,-81.53850,0.02670,1.59840,56.30770,-4.83280,-4.83150,-2.35910,-4.46410,1.82850,0.22030,0.21930
2016-12-31,0.18500,0.25700,-0.07200,0.03200,,0.03200,-0.10400,0.84000,0.73600,0.73600,0.73600,-0.09500,0.64100,0.16700,-0.10400,1.94700,1.94700,0.32000,0.32000,1.11450,0.07370,0.10540,-38.91890,-56.21630,-56.21620,397.83790,346.48650,0.02580,1.55460,57.89190,19.79560,19.79030,10.25360,18.33130,1.91010,-0.2337,0.1222
2016-09-30,0.19000,0.29500,-0.10500,0.05200,,0.05200,-0.15700,-0.01300,-0.17000,-0.17000,-0.17000,0.00600,-0.16400,-0.05800,-0.15700,1.94700,1.94700,-0.08000,-0.08000,0.43140,0.26660,0.63260,-55.26320,-82.63160,-82.63160,-89.47370,-86.31580,0.02220,1.80950,49.73680,-5.52490,-5.52310,-1.98880,-4.05050,1.58090,0.0421,0.0308
2016-06-30,0.17000,0.23300,-0.06300,0.10100,,0.10100,-0.16400,-0.00700,-0.17100,-0.17100,-0.17100,0.03800,-0.13300,-0.05600,-0.16400,1.94700,1.94700,-0.07000,-0.07000,0.43180,0.26000,0.60730,-37.05880,-96.47060,-96.47060,-100.58820,-78.23530,0.01980,1.71720,52.41180,-5.27610,-5.27450,-1.99300,-3.90320,1.66510,-0.0257,-0.0334
2016-03-31,0.21900,0.39600,-0.17700,0.16700,,0.16700,-0.34400,-0.00700,-0.35100,-0.35100,-0.35100,0.05500,-0.29600,-0.15800,-0.34400,1.94700,1.94700,-0.15000,-0.15000,0.48220,0.25330,0.58550,-80.82190,-157.07760,-157.07760,-160.27400,-135.15980,0.02510,2.30530,39.04110,-10.40310,-10.40000,-4.02480,-7.76550,1.73430,0.05600,0.05190
2015-12-31,-2.07600,-1.62000,-0.45600,0.12000,,2.83700,-3.29300,-0.01000,-3.30300,-3.30300,-3.30300,,-2.97100,-3.16500,-3.29300,1.94700,1.94700,-1.53000,-1.53000,0.53230,0.24810,0.55630,21.96530,158.62230,158.62230,159.10400,143.11170,-0.23390,-14.72340,-6.11270,-90.00000,-89.97550,-37.21690,-67.65670,1.88550,-0.0241,0.0149
2015-09-30,1.00400,1.19500,-0.19100,0.17600,,0.17600,-0.36700,0.29200,-0.07500,-0.07500,-0.07500,,-0.07500,-0.10700,-0.36700,1.94700,1.94700,-0.04000,-0.04000,0.87320,0.15550,0.30970,-19.02390,-36.55380,-36.55380,-7.47010,-7.47010,0.08420,8.36670,10.75700,-1.12930,-1.12920,-0.62920,-0.95360,3.41140,0.1402,0.0961
2015-06-30,1.00300,1.10000,-0.09700,0.15500,,0.15500,-0.25200,0.36200,0.11000,0.11000,0.11000,,0.11000,-0.10600,-0.25200,1.94700,1.94700,0.06000,0.06000,0.78520,0.16270,0.30970,-9.67100,-25.12460,-25.12460,10.96710,10.96710,0.08370,7.32120,12.29310,1.63790,1.63760,0.91790,1.37120,3.44990,0.0873,0.1438
2015-03-31,0.88900,1.12500,-0.23600,0.15400,,0.15400,-0.39000,0.70400,0.31400,0.31400,0.31400,,0.31400,-0.20300,-0.39000,1.94700,1.94700,0.16000,0.16000,0.51030,0.17200,0.33840,-26.54670,-43.86950,-43.86950,35.32060,35.32060,0.07370,9.76920,9.21260,4.75330,4.75250,2.60360,3.93530,3.39340,0.08730,0.07960
2014-12-31,-1.92400,-1.40600,-0.51800,0.21800,,0.21800,-0.73600,0.00300,-0.73300,-0.73300,-0.73300,,-0.43600,-0.50700,-0.73600,1.94700,1.94700,-0.23000,-0.23000,0.39150,0.18500,0.36690,26.92310,38.25360,38.25360,38.09770,22.66110,-0.15680,-8.90740,-10.10400,-11.64970,-11.64790,-5.97200,-9.49360,3.23220,0.055,0.0509
2014-09-30,1.13100,1.08700,0.04400,0.20800,,0.20800,-0.16400,-0.04000,-0.20400,-0.20400,-0.20400,,-0.20400,0.00100,-0.16400,1.94700,1.94700,-0.10000,-0.10000,0.80070,0.24010,0.34790,3.89040,-14.50050,-14.50050,-18.03710,-18.03710,0.09030,4.87500,18.46150,-3.03210,-3.03170,-1.62900,-2.30380,3.45610,0.0673,0.0616
2014-06-30,1.21300,1.05300,0.16000,0.20500,,0.20500,-0.04500,-0.05400,-0.09900,-0.09900,-0.09900,,-0.09900,0.10000,-0.04500,1.94700,1.94700,-0.05000,-0.05000,1.05480,0.23990,0.34540,13.19040,-3.70980,-3.70980,-8.16160,-8.16160,0.09640,5.32020,16.91670,-1.42820,-1.42800,-0.78670,-1.08540,3.56090,-0.0185,-0.0873
2014-03-31,1.06900,1.11900,-0.05000,0.19200,,0.19200,-0.24200,0.20200,-0.04000,-0.04000,-0.04000,,-0.04000,-0.04900,-0.24200,1.94700,1.94700,-0.02000,-0.02000,1.22470,0.23220,0.32880,-4.67730,-22.63800,-22.63800,-3.74180,-3.74180,0.08490,6.36310,14.14410,-0.56890,-0.56880,-0.31770,-0.43670,3.61170,-0.24860,-0.25990
2013-12-31,1.13400,1.07200,0.06200,-0.01300,,0.18700,-0.12500,0.24900,0.12400,0.12400,0.12400,,0.12400,-0.04900,-0.12500,1.94700,1.94700,0.06000,0.06000,1.58850,0.23690,0.33650,5.46740,-11.02290,-11.02290,10.93480,10.93470,0.08520,5.81540,15.47620,1.75360,1.75340,0.93180,1.33810,3.63230,0.2696,0.264
2013-09-30,1.01800,1.10200,-0.08400,0.17000,,0.17000,-0.25400,0.38700,0.13300,0.13300,0.13300,,0.13300,0.00200,-0.25400,1.94700,1.94700,0.07000,0.07000,3.28850,0.25150,0.34360,-8.25150,-24.95090,-24.95090,13.06480,13.06480,0.07800,4.36910,20.59920,1.91450,1.91420,1.01880,1.43290,3.56860,0.1772,0.1577
2013-06-30,1.05000,1.11200,-0.06200,0.17000,,0.17000,-0.23200,0.37000,0.13800,0.13800,0.13800,,0.13800,-0.04100,-0.23200,1.94700,1.94700,0.07000,0.07000,2.88250,0.25400,0.34760,-5.90480,-22.09520,-22.09520,13.14290,13.14290,0.08160,4.44920,20.22860,2.02520,2.02490,1.07280,1.51050,3.50030,0.1808,0.1659
2013-03-31,1.02000,1.07800,-0.05800,0.17300,,0.17300,-0.23100,0.26200,0.03100,0.03100,0.03100,,0.03100,0.00900,-0.23100,1.94700,1.94700,0.02000,0.02000,1.86990,0.25070,0.35790,-5.68630,-22.64710,-22.64710,3.03920,3.03920,0.08070,5.45450,16.50000,0.46430,0.46430,0.24520,0.34790,3.42940,0.19520,0.15250
2012-12-31,1.01600,1.08200,-0.06600,0.17600,0.00000,0.17600,-0.24200,0.32600,0.08400,0.08400,0.08400,,0.08400,-0.12300,-0.24200,1.94700,1.94700,0.05000,0.05000,2.00660,0.25480,0.35600,-6.49610,-23.81890,-23.81890,8.26770,8.26770,0.08140,4.83810,18.60240,1.26410,1.26390,0.67290,0.94180,3.41350,0.1197,0.1017
2012-09-30,0.97600,1.02200,-0.04600,0.10800,,0.10800,-0.15400,1.67400,1.52000,1.52000,1.52000,,1.52000,0.06900,-0.15400,1.94700,1.94700,0.78000,0.78000,1.18470,0.26340,0.35770,-4.71310,-15.77870,-15.77870,155.73770,155.73770,0.07790,5.51410,16.32170,23.16720,23.16370,12.13960,17.06140,3.37030,0.1361,0.1161
2012-06-30,0.98800,1.03700,-0.04900,0.13400,-0.03400,0.16800,-0.21700,0.04800,-0.16900,-0.16900,-0.16900,,-0.16900,0.05300,-0.21700,1.94700,1.94700,-0.09000,-0.09000,0.65240,0.41930,0.72210,-4.95950,-21.96360,-21.96360,-17.10530,-17.10530,0.07950,4.57410,19.67610,-3.35250,-3.35180,-1.35910,-1.94630,2.58960,0.0056,-0.0067
2012-03-31,0.96400,1.06800,-0.10400,0.15900,-0.94600,1.10500,-1.20900,-0.05800,-1.26700,-1.26700,-1.26700,,-1.26700,-0.97400,-1.20900,1.94700,1.94700,-0.65000,-0.65000,0.40560,0.38070,0.61470,-10.78840,-125.41500,-125.41500,-131.43150,-131.43150,0.07760,5.77250,15.59130,-24.31860,-24.31400,-10.20210,-15.05820,2.67640,-0.00410,-0.00820
2011-12-31,0.87600,0.87400,0.00200,0.22800,-1.46100,1.68900,-1.68700,-10.21200,-11.89900,-11.89900,-11.89900,,-11.89900,-1.53800,-1.68700,1.94700,1.94700,-6.11000,-6.11000,0.35280,0.31220,0.45380,0.22830,-192.57990,-192.57990,-1358.33300,-1358.33300,0.06510,5.24550,17.15750,-183.71160,-183.68330,-88.46840,-126.34320,3.32720,0.1233,0.0015
2011-09-30,1.00300,0.95700,0.04600,0.10100,-0.03200,0.13300,-0.08700,0.03000,-0.05700,-0.05700,-0.05700,,-0.05700,0.06400,-0.08700,1.94700,1.94700,-0.03000,-0.03000,0.50110,0.09820,0.10890,4.58620,-8.67400,-8.67400,-5.68290,-5.68300,0.04140,4.53850,19.83050,-0.31020,-0.31020,-0.23550,-0.27970,9.43860,0.1248,0.1212
2011-06-30,1.01300,0.87900,0.13400,0.12600,-0.03200,0.15800,-0.02400,0.09000,0.06600,0.06600,0.06600,,0.06600,0.10100,-0.02400,1.94700,1.94700,0.03000,0.03000,1.08900,0.09130,0.10050,13.22800,-2.36920,-2.36920,6.51530,6.51530,0.04240,4.84690,18.56860,0.35810,0.35810,0.27630,0.32530,9.46740,-0.0288,-0.0329
2011-03-31,1.00900,0.91600,0.09300,0.12400,-0.03200,0.15600,-0.06300,0.16000,0.09700,0.09700,0.09700,,0.09700,0.05700,-0.06300,1.94700,1.94700,0.05000,0.05000,1.46740,0.09020,0.09920,9.21700,-6.24380,-6.24380,9.61350,9.61350,0.04240,4.82780,18.64220,0.52820,0.52810,0.40730,0.48050,9.43350,0.07140,0.06630
2010-12-31,1.04600,0.70400,0.34200,0.28400,-0.03300,0.31700,0.02500,0.09100,0.11600,0.11600,0.11600,,0.11600,0.15900,0.02500,1.94700,1.94700,0.05000,0.05000,1.60250,0.11010,0.12370,32.69600,2.39000,2.39000,11.08980,11.08990,0.04350,4.69060,19.18740,0.63490,0.63490,0.48200,0.56500,9.38420,0.6877,0.6806
2010-09-30,1.11200,0.86100,0.25100,0.12400,-0.03000,0.15400,0.09700,0.09100,0.18800,0.18800,0.18800,,0.18800,0.22400,0.09700,1.94700,1.94700,0.10000,0.10000,7.32210,0.06590,0.07060,22.57190,8.72300,8.72300,16.90650,16.90650,0.04700,4.55740,19.74820,1.03560,1.03560,0.79400,0.96730,9.32410,0.0411,0.0395
2010-06-30,1.08200,0.91800,0.16400,0.12400,-0.03000,0.15400,0.01000,-0.28500,-0.27500,-0.27500,-0.27500,,-0.27500,0.11900,0.01000,1.94700,1.94700,-0.14000,-0.14000,6.42290,0.06520,0.06970,15.15710,0.92420,0.92420,-25.41590,-25.41590,0.04570,4.38060,20.54530,-1.53070,-1.53060,-1.16250,-1.43080,9.22800,-0.6852,-0.6975
2010-03-31,0.97300,0.92000,0.05300,0.19900,-0.03000,0.22900,-0.17600,0.13600,-0.04000,-0.04000,-0.04000,,-0.04000,-0.06000,-0.17600,1.94700,1.94700,-0.02000,-0.02000,6.95490,0.06300,0.06720,5.44710,-18.08840,-18.08840,-4.11100,-4.11100,0.04090,4.84080,18.59200,-0.21930,-0.21930,-0.16820,-0.20550,9.36930,0.00980,0.00620
2009-12-31,1.01100,0.85200,0.15900,0.67600,,2.48800,-2.32900,0.13100,-2.19800,-2.19800,-2.19800,,-2.19800,-2.13400,-2.32900,1.94700,1.94700,-1.14000,-1.14000,0.44970,0.09890,0.10970,15.72700,-230.36600,-230.36600,-217.40860,-217.40850,0.04020,4.98030,18.07120,-12.02340,-12.02280,-8.74970,-10.83400,9.38980,0.0755,0.0827
2009-09-30,0.97000,0.86400,0.10600,0.16900,,0.16900,-0.06300,0.11200,0.04900,0.04900,0.04900,,0.04900,0.04600,-0.06300,1.94700,1.94700,0.03000,0.03000,4.44750,0.05410,0.05720,10.92780,-6.49480,-6.49480,5.05150,5.05150,0.03920,5.38890,16.70100,0.23930,0.23930,0.19820,0.22630,10.51880,0.2737,0.2414
2009-06-30,1.04900,0.99200,0.05700,0.23500,,0.23500,-0.17800,0.09400,-0.08400,-0.08400,-0.08400,,-0.08400,-0.09100,-0.17800,1.94700,1.94700,-0.04000,-0.04000,4.88400,0.05300,0.05590,5.43370,-16.96850,-16.96850,-8.00760,-8.00760,0.04310,7.88720,11.41090,-0.41120,-0.41110,-0.34530,-0.38940,10.49360,0.0206,0.0011
2009-03-31,1.06800,0.96500,0.10300,0.26200,,0.26200,-0.15900,0.18200,0.02300,0.02300,0.02300,,0.02300,-0.07400,-0.15900,1.94700,1.94700,0.01000,0.01000,4.90460,0.04900,0.05150,9.64420,-14.88760,-14.88760,2.15360,2.15360,0.04380,3.51320,25.61800,0.11210,0.11210,0.09440,0.10660,10.53670,0.00820,-0.00210
