Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2021-09-30,3.17970,1.32050,1.85920,0.13070,-0.45860,0.58930,1.26990,0.01360,1.28360,0.26700,1.01650,1.01650,1.01650,1.30680,1.26990,4.59400,4.59400,0.22000,0.22000,7.59260,,58.47120,39.93760,39.93760,40.36650,31.96820,0.23340,1.02590,1.64740,54.63220,8.69460,8.69460,7.46020,8.69460,2.54490,0.2245,0.2151
2021-06-30,3.65800,1.49940,2.15860,0.13000,-0.51300,0.64300,1.51560,0.18320,1.69880,0.35420,1.34450,1.34450,1.34450,1.55070,1.51560,4.59400,4.59400,0.29000,0.29000,8.12450,,59.01040,41.43140,41.43140,46.44000,36.75590,0.29440,1.63280,1.86160,48.34680,12.59540,12.59540,10.82000,12.59540,2.32360,0.3542,0.3519
2021-03-31,3.43090,1.36100,2.06990,0.08830,-0.45710,0.54540,1.52440,-0.03230,1.49220,0.31100,1.18120,1.18120,1.18120,1.55930,1.52440,4.59400,4.59400,0.26000,0.26000,8.05480,,60.33040,44.43310,44.43310,43.49210,34.42870,0.25760,1.02110,1.80220,49.93960,10.23970,10.23970,8.86780,10.23970,2.51100,0.21550,0.20940
2020-12-31,2.37220,1.23780,1.13440,0.12010,-0.50630,0.62630,0.50800,0.24970,0.75770,0.14720,0.61050,0.61050,0.61050,0.55160,0.50800,4.59400,4.59400,0.13000,0.13000,7.95220,,47.81950,21.41620,21.41630,31.94160,25.73720,0.19900,0.87430,1.70940,52.64930,5.89640,5.89640,5.12180,5.89640,2.25390,0.1464,0.1425
2020-09-30,2.33640,0.97480,1.36160,0.11480,-0.49320,0.60800,0.75360,0.15220,0.90570,0.18820,0.71750,0.71750,0.71750,0.79410,0.75360,4.59400,4.59400,0.16000,0.16000,9.97520,,58.27860,32.25350,32.25350,38.76700,30.71150,0.18190,0.63100,1.82020,49.44600,6.29540,6.29540,5.58510,6.29540,2.48100,-0.057,-0.0619
2020-06-30,2.95460,1.27040,1.68420,0.10860,-0.51160,0.62020,1.06400,0.43550,1.49950,0.31290,1.18660,1.18660,1.18660,1.10460,1.06400,4.59400,4.59400,0.26000,0.26000,5.98150,,57.00210,36.01140,36.01140,50.75090,40.16090,0.23030,0.83400,2.52140,35.69410,11.11040,11.11040,9.24870,11.11040,2.32480,0.4128,0.4123
2020-03-31,3.32290,1.38930,1.93360,0.10770,-0.51530,0.62300,1.31060,-0.31250,0.99800,0.20770,0.79030,0.79030,0.79030,1.35110,1.31060,4.59400,4.59400,0.17000,0.17000,7.98020,,58.18940,39.44060,39.44060,30.03530,23.78360,0.24990,1.01950,1.57830,57.02480,6.91840,6.91840,5.94320,6.91840,2.48650,0.28020,0.28000
2019-12-31,3.82200,1.51470,2.30730,0.10010,-0.55510,0.65530,1.65200,0.12340,1.77550,0.38510,1.39030,1.39030,1.39030,1.69820,1.65200,4.59400,4.59400,0.31000,0.31000,8.61260,,60.36790,43.22430,43.22430,46.45390,36.37720,0.30920,1.24440,1.82140,49.41320,13.07580,13.07580,11.24610,13.07580,2.31450,0.1848,0.1829
2019-09-30,3.31740,1.38690,1.93040,0.10480,-0.54420,0.64900,1.28140,0.07280,1.35430,0.28440,1.06990,1.06990,1.06990,1.32690,1.28140,4.59400,4.59400,0.23000,0.23000,8.30410,,58.19130,38.62840,38.62840,40.82350,32.25060,0.24510,1.08870,2.04910,43.92090,9.09020,9.09020,7.90530,9.09020,2.56190,0.2142,0.1983
2019-06-30,3.27940,1.46730,1.81210,0.09380,-0.50210,0.59600,1.21610,0.13680,1.35290,0.27410,1.07880,1.07880,1.07880,1.25820,1.21610,4.59400,4.59400,0.23000,0.23000,7.33470,,55.25630,37.08410,37.08410,41.25530,32.89660,0.26230,1.12800,2.13880,42.07870,10.08280,10.08280,8.62840,10.08280,2.32900,0.2419,0.2378
2019-03-31,3.18030,1.28830,1.89200,0.09870,-0.54700,0.64570,1.24640,0.30140,1.54770,0.32500,1.22270,1.22270,1.22270,1.28850,1.24640,4.59400,4.59400,0.27000,0.27000,8.43420,,59.49010,39.18950,39.18950,48.66540,38.44570,0.22760,0.97250,1.98170,45.41600,10.06530,10.06530,8.75210,10.06530,2.64420,0.33340,0.33060
2018-12-31,2.69580,1.15820,1.53760,0.10830,-0.54490,0.65320,0.88440,-0.18950,0.69490,0.11160,0.58330,0.58330,0.58330,0.93250,0.88440,4.59400,4.59400,0.13000,0.13000,8.55480,,57.03530,32.80690,32.80690,25.77750,21.63680,0.21490,0.78150,1.61180,55.83930,5.33900,5.33900,4.64960,5.33900,2.37810,0.2268,0.225
2018-09-30,3.34440,1.19740,2.14690,0.09830,-0.51930,0.61770,1.52930,0.13720,1.66650,0.35000,1.31650,1.31650,1.31650,1.57720,1.52930,4.59400,4.59400,0.29000,0.29000,10.58990,,64.19520,45.72740,45.72740,49.82960,39.36530,0.23650,0.81700,1.98110,45.43020,10.23060,10.23060,9.30990,10.23060,2.80120,0.2595,0.2538
2018-06-30,3.88590,1.53680,2.34900,0.09130,-0.53440,0.62570,1.72330,0.03950,1.76290,0.37020,1.39270,1.39270,1.39270,1.77010,1.72330,4.59400,4.59400,0.30000,0.30000,6.61730,,60.45070,44.34870,44.34870,45.36570,35.83900,0.28900,1.02430,1.80580,49.84070,12.05560,12.05560,10.35680,12.05560,2.51460,0.2277,0.2247
2018-03-31,3.51950,1.45090,2.06860,0.10170,-0.52410,0.62580,1.44280,-0.10120,1.34160,0.28170,1.05990,1.05990,1.05990,1.49200,1.44280,4.59400,4.59400,0.23000,0.23000,7.02550,,58.77470,40.99440,40.99440,38.11890,30.11390,0.24490,1.01520,1.94260,46.33050,8.50850,8.50850,7.37440,8.50850,2.71150,0.36360,0.35780
2017-12-31,3.22930,1.25930,1.96990,0.13850,-0.46480,0.60340,1.36660,0.07520,1.44180,0.42640,1.01540,1.01540,1.01540,1.41720,1.36660,4.59400,4.59400,0.22000,0.22000,8.33150,,61.00250,42.31830,42.31830,44.64850,31.44310,0.25120,0.93940,1.69480,53.10400,8.90950,8.90950,7.90000,8.90950,2.48080,0.1693,0.1654
2017-09-30,3.17780,1.11080,2.06700,0.15950,-0.43830,0.59780,1.46920,0.11430,1.58340,0.49310,1.09030,1.09030,1.09030,1.51960,1.46920,4.59400,4.59400,0.24000,0.24000,9.83510,,65.04470,46.23330,46.23330,49.82860,34.31070,0.19160,0.91670,1.62240,55.47210,7.31380,7.31380,6.57430,7.31380,3.24480,0.258,0.254
2017-06-30,3.77480,1.66710,2.10760,0.15830,-0.41860,0.57690,1.53080,0.07280,1.60360,0.49940,1.10410,1.10410,1.10410,1.58060,1.53080,4.59400,4.59400,0.24000,0.24000,10.66680,,55.83520,40.55260,40.55260,42.48110,29.25090,0.24870,2.17650,1.72540,52.16240,8.01270,8.01270,7.27390,8.01270,2.99960,0.2512,0.2512
2017-03-31,2.78640,1.26410,1.52230,0.18970,-0.46350,0.65320,0.86910,0.05290,0.92200,0.28750,0.63440,0.63440,0.63440,0.91890,0.86910,4.59400,4.59400,0.14000,0.14000,10.00730,,54.63320,31.19030,31.19030,33.08780,22.76910,0.17330,1.00070,1.48790,60.48770,4.36280,4.36280,3.94520,4.36280,3.16540,0.19050,0.19010
2016-12-31,2.91750,1.38310,1.53440,0.15780,-0.45950,0.61730,0.91710,0.11560,1.03280,0.28220,0.75050,0.75050,0.75050,0.97010,0.91710,4.59400,4.59400,0.16000,0.16000,13.11170,,52.59440,31.43510,31.43510,35.39890,25.72530,0.19620,1.10130,1.82570,49.29570,5.43060,5.43060,5.04850,5.43060,3.00840,0.1358,0.1265
2016-09-30,3.45760,1.59420,1.86340,0.15860,-0.46040,0.61900,1.24440,0.06460,1.30910,0.40900,0.90010,0.90010,0.90010,1.28730,1.24440,4.59400,4.59400,0.20000,0.20000,10.70350,,53.89340,35.99110,35.99110,37.86070,26.03330,0.20650,1.25380,1.89220,47.56470,5.98330,5.98330,5.37670,5.98330,3.27470,0.2487,0.2471
2016-06-30,2.13920,1.00770,1.13150,0.15790,-0.46530,0.62320,0.50830,0.08290,0.59120,0.18580,0.40540,0.40540,0.40540,0.55640,0.50830,4.59400,4.59400,0.09000,0.09000,11.55440,,52.89440,23.76040,23.76040,27.63610,18.95040,0.13770,0.61090,1.61240,55.81610,2.87800,2.87800,2.60900,2.87800,3.06610,-0.0477,-0.0719
2016-03-31,2.26260,0.89770,1.36490,0.17760,-0.46760,0.64510,0.71970,0.04330,0.76300,0.23800,0.52510,0.52510,0.52510,0.76280,0.71970,4.59400,4.59400,0.11000,0.11000,9.39390,,60.32290,31.81020,31.81020,33.72440,23.20770,0.13250,0.58730,1.74620,51.54180,3.45300,3.45300,3.07560,3.45300,3.31010,0.16180,0.16060
2015-12-31,1.88940,0.78820,1.10120,0.14130,-0.54580,0.68700,0.41420,0.13130,0.54560,0.12720,0.41840,0.41840,0.41840,0.45850,0.41420,4.59400,4.59400,0.09000,0.09000,14.68880,,58.28440,21.92280,21.92280,28.87450,22.14310,0.12040,0.60930,2.02130,44.52640,2.86910,2.86910,2.66680,2.86910,3.17410,0.2383,0.2319
2015-09-30,3.62040,1.33080,2.28950,0.18410,-0.41160,0.59580,1.69380,0.07410,1.76790,0.55040,1.21750,1.21750,1.21750,1.73700,1.69380,4.59600,4.59600,0.26000,0.26000,11.67230,,63.24010,46.78540,46.78540,48.83310,33.63020,0.19990,1.03240,1.57110,57.28570,7.37570,7.37570,6.72230,7.37570,3.59170,0.2275,0.2257
2015-06-30,4.12410,1.40390,2.72010,0.15650,-0.44400,0.60060,2.11960,0.07290,2.19250,0.68200,1.51050,1.51050,1.51050,2.16290,2.11960,4.59600,4.59600,0.33000,0.33000,11.55070,,65.95750,51.39600,51.39600,53.16350,36.62650,0.24320,1.22850,2.01740,44.61260,9.82060,9.82060,8.90850,9.82060,3.34660,0.2723,0.2674
2015-03-31,4.37240,1.67920,2.69320,0.16630,-0.46090,0.62720,2.06600,0.05350,2.11940,0.65890,1.46050,1.46050,1.46050,2.10870,2.06600,4.59600,4.59600,0.32000,0.32000,9.91960,,61.59540,47.25000,47.25000,48.47250,33.40300,0.23980,1.69240,1.91940,46.89000,8.98070,8.98070,8.00880,8.98070,3.53840,0.39380,0.39330
2014-12-31,3.99340,1.47940,2.51410,0.43560,-0.29420,0.72980,1.78430,0.10080,1.88500,0.48310,1.40200,1.40200,1.40200,1.82890,1.78430,4.59600,4.59600,0.30000,0.30000,15.03950,,62.95510,44.67980,44.67980,47.20300,35.10680,0.25050,1.19580,2.50650,35.90730,9.51330,9.51330,8.79580,9.51330,3.20650,0.343,0.3402
2014-09-30,2.51660,1.30120,1.21540,0.29480,-0.37680,0.67160,0.54380,0.05110,0.59490,0.18350,0.41140,0.41140,0.41140,0.58850,0.54380,4.59600,4.59600,0.09000,0.09000,15.84660,,48.29680,21.61030,21.61030,23.63990,16.34840,0.15800,0.80510,2.16100,41.64780,2.78330,2.78330,2.58270,2.78330,3.21620,0.0912,0.0891
2014-06-30,2.98010,1.10430,1.87590,,-0.62390,0.62390,1.25190,0.05390,1.30590,0.40460,0.90130,0.90130,0.90130,1.29770,1.25190,4.59600,4.59600,0.20000,0.20000,12.20510,,62.94620,42.00950,42.00950,43.81920,30.24270,0.18790,0.63870,2.38290,37.76890,6.25100,6.25100,5.68310,6.25100,3.13710,0.3466,0.3405
2014-03-31,3.95950,1.43290,2.52660,,-0.61560,0.61570,1.91090,0.05820,1.96920,0.63340,1.33580,1.33580,1.33580,1.95710,1.91090,4.59600,4.59600,0.29000,0.29000,9.60390,,63.81060,48.26210,48.26210,49.73250,33.73550,0.22600,0.86130,1.47240,61.12350,8.54590,8.54590,7.62570,8.54590,3.40090,0.19410,0.19320
2013-12-31,4.43190,1.62470,2.80730,,-0.65300,0.65300,2.15420,0.28500,2.43920,0.71990,1.71930,1.71930,1.71930,2.20300,2.15420,4.59600,4.59600,0.37000,0.37000,11.48850,,63.34140,48.60650,48.60660,55.03650,38.79410,0.28320,1.00870,2.40920,37.35610,12.07740,12.07740,10.98550,12.07740,3.09750,0.4713,0.4596
2013-09-30,3.40420,1.21170,2.19250,,-0.65400,0.65400,1.53850,0.34060,1.87910,0.60230,1.27680,1.27680,1.27680,1.58600,1.53850,4.59600,4.59600,0.28000,0.28000,15.47140,,64.40670,45.19450,45.19450,55.19880,37.50610,0.21440,1.08030,1.37620,65.39800,8.63510,8.63510,8.04030,8.63510,3.21720,0.0054,-0.0261
2013-06-30,3.62860,1.36330,2.26530,,-0.63590,0.63590,1.62940,0.35780,1.98710,0.64460,1.34250,1.34250,1.34250,1.67510,1.62940,4.59600,4.59600,0.29000,0.29000,10.53180,,62.42890,44.90430,44.90430,54.76370,36.99910,0.24370,1.33530,2.35320,38.24530,9.97160,9.97160,9.01690,9.97160,2.92940,0.3373,0.3231
2013-03-31,3.95220,1.41120,2.54100,,-0.56160,0.56150,1.97940,0.34700,2.32640,0.76180,1.56460,1.56460,1.56460,2.02720,1.97940,4.59600,4.59600,0.34000,0.34000,8.97280,,64.29410,50.08490,50.08490,58.86520,39.58970,0.24240,1.33380,1.89000,47.61980,10.85100,10.85100,9.59670,10.85100,3.13740,0.44910,0.44370
2012-12-31,2.67460,0.87950,1.79510,,-0.75910,0.75910,1.03600,0.66300,1.69900,0.40610,1.29290,1.29290,1.29290,1.10850,1.03600,4.59600,4.59600,0.28000,0.28000,15.25470,,67.11610,38.73350,38.73340,63.52390,48.34040,0.19300,0.70770,1.74160,51.67560,10.07090,10.07090,9.32880,10.07090,2.79330,0.2421,0.2197
2012-09-30,3.52740,1.33450,2.19290,,-0.59810,0.59810,1.59480,0.05110,1.64590,0.52970,1.11620,1.11620,1.11620,1.65390,1.59480,4.59600,4.59600,0.24000,0.24000,16.87770,,62.16770,45.21180,45.21180,46.65950,31.64270,0.20700,1.18700,2.37930,37.82650,7.00780,7.00780,6.55090,7.00780,3.46550,0.322,0.3109
2012-06-30,3.73510,1.46510,2.27000,,-0.54830,0.54830,1.72170,0.04180,1.76350,0.57040,1.19310,1.19310,1.19310,1.77760,1.72170,4.59600,4.59600,0.26000,0.26000,11.98810,,60.77430,46.09590,46.09590,47.21380,31.94250,0.23240,1.29910,1.85580,48.49650,8.10920,8.10920,7.42320,8.10920,3.20120,0.1596,0.1587
2012-03-31,3.88870,1.53980,2.34890,,-0.60290,0.60290,1.74600,0.07230,1.81830,0.58970,1.22860,1.22860,1.22860,1.81290,1.74600,4.59600,4.59600,0.27000,0.27000,10.99130,,60.40210,44.89910,44.89910,46.75940,31.59490,0.22980,1.22540,2.54260,35.39630,7.97560,7.97560,7.25900,7.97560,3.35180,0.44700,0.43310
2011-12-31,3.29110,1.33170,1.95940,,-0.79360,0.79360,1.16580,0.12740,1.29320,0.33680,0.95640,0.95640,0.95640,1.22710,1.16580,4.59600,4.59600,0.21000,0.21000,12.96960,,59.53620,35.42250,35.42250,39.29480,29.06070,0.21570,0.90750,1.99050,45.21540,6.77640,6.77640,6.26920,6.77640,3.07090,0.1454,0.1401
2011-09-30,3.34500,1.22960,2.11550,,-0.53720,0.53720,1.57820,0.45880,2.03700,0.66770,1.36930,1.36930,1.36930,1.64600,1.57820,4.59600,4.59600,0.30000,0.30000,11.95600,,63.24220,47.18120,47.18120,60.89570,40.93480,0.20340,0.77550,2.30520,39.04220,9.02840,9.02840,8.32780,9.02840,3.29990,0.1823,0.1648
2011-06-30,4.06030,1.62830,2.43200,,-0.70080,0.70080,1.73120,0.08380,1.81500,0.59040,1.22460,1.22460,1.22460,1.80050,1.73120,4.59600,4.59600,0.27000,0.27000,8.73580,,59.89720,42.63780,42.63780,44.70210,30.16130,0.26230,1.58440,2.39590,37.56350,8.85570,8.85570,7.91080,8.85570,3.00890,0.3281,0.3034
2011-03-31,3.64200,1.46060,2.18150,,-0.52110,0.52110,1.66030,0.06610,1.72640,0.56020,1.16620,1.16620,1.16620,1.71760,1.66030,4.59600,4.59600,0.25000,0.25000,9.57830,,59.89650,45.58730,45.58730,47.40140,32.02000,0.23130,1.25080,2.08830,43.09790,8.20010,8.20010,7.40710,8.20010,3.09430,0.30960,0.30580
2010-12-31,2.56320,0.98810,1.57510,,-0.64200,0.64200,0.93310,0.16470,1.09780,0.26230,0.83550,0.83550,0.83550,0.98660,0.93310,4.73800,4.73800,0.18000,0.18000,12.48750,,61.44990,36.40490,36.40490,42.82980,32.59730,0.18210,0.74780,2.35000,38.29720,6.40410,6.40410,5.93640,6.40410,2.83870,0.1987,0.1928
2010-09-30,3.84840,1.45010,2.39830,,-0.59880,0.59880,1.79950,0.06600,1.86550,0.62170,1.24380,1.24380,1.24380,1.86760,1.79950,4.59600,4.59600,0.27000,0.27000,15.84700,,62.32060,46.76060,46.76060,48.47440,32.31960,0.26110,1.26040,2.80590,32.07510,8.99280,8.99280,8.43980,8.99280,3.00930,0.3287,0.282
2010-06-30,3.73460,1.39740,2.33720,,-0.70860,1.55630,0.78080,0.13290,0.91370,0.28920,0.62450,0.62450,0.62450,0.83400,0.78080,4.82000,4.82000,0.13000,0.13000,7.91160,,62.58240,20.90880,20.90880,24.46680,16.72290,0.26360,1.06020,1.84800,48.70190,4.99140,4.99140,4.40770,4.99140,2.72240,0.1436,0.1236
2010-03-31,3.57690,1.41460,2.16230,,-0.61800,0.61800,1.54430,0.09230,1.63660,0.54070,1.09580,1.09580,1.09580,1.59940,1.54430,4.94600,4.94600,0.22000,0.22000,9.47030,,60.45290,43.17400,43.17400,45.75370,30.63660,0.19030,0.94180,2.10050,42.84660,6.53080,6.53080,5.82950,6.53080,3.39260,0.19290,0.16960
2009-12-31,2.99560,1.18640,1.80910,,-0.67020,0.67020,1.13900,0.12130,1.26020,0.37370,0.88650,0.88650,0.88650,1.18910,1.13900,4.94600,4.94600,0.18000,0.18000,6.04540,,60.39420,38.02160,38.02160,42.06930,29.59530,0.16010,1.02890,2.19470,41.00730,5.66210,5.66210,4.73670,5.66210,3.16570,0.2263,0.2006
2009-09-30,3.39310,1.31790,2.07520,,-0.54090,0.54090,1.53430,0.08930,1.62360,0.54190,1.08170,1.08170,1.08170,1.57740,1.53430,4.94600,4.94600,0.22000,0.22000,13.16370,,61.15910,45.21770,45.21770,47.85090,31.88050,0.18910,1.09850,2.24520,40.08510,6.54450,6.54450,6.02900,6.54450,3.34190,0.1589,0.1603
2009-06-30,2.99310,1.27360,1.71950,,-0.68740,0.68740,1.03220,0.09350,1.12560,0.37020,0.75540,0.75540,0.75540,1.07540,1.03220,4.94600,4.94600,0.15000,0.15000,12.04740,,57.44950,34.48380,34.48380,37.60700,25.23870,0.17940,1.08240,2.65610,33.88410,4.92850,4.92850,4.52740,4.92850,3.09900,0.1351,0.1328
2009-03-31,3.89510,1.54630,2.34880,,-0.71000,0.71000,1.63880,0.09160,1.73040,0.57520,1.15520,1.15520,1.15520,1.68100,1.63880,4.94600,4.94600,0.23000,0.23000,9.67250,0.00030,60.30140,42.07390,42.07390,44.42560,29.65850,0.22180,1.30960,2.56870,35.03760,7.28180,7.28180,6.57920,7.28180,3.20760,0.35670,0.35590
