Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,return-on-tangible-equity,roa,roi,book-value-per-share
2016-03-31,12.21890,6.73800,5.48090,0.19150,-0.58100,0.77250,4.70840,-0.22850,4.47990,4.47990,4.47990,2.74990,4.70840,4.70840,33.00000,33.00000,0.08330,0.08330,44.85600,38.53380,38.53380,36.66370,22.50540,0.10370,3.80100,3.80100,3.80100,3.57160
2015-12-31,13.71900,7.34100,6.37800,0.21460,-0.78100,0.99560,5.38240,0.03460,5.41700,5.41700,5.41700,4.29760,5.38240,5.38240,33.00000,33.00000,0.13300,0.13300,46.49020,39.23330,39.23330,39.48540,31.32590,0.11340,4.47650,4.47650,4.47650,3.66700
2015-09-30,13.80860,8.13200,5.67660,0.14620,-0.47900,0.62520,5.05150,-0.03880,5.01270,5.01270,5.01270,3.97310,5.05150,5.05150,33.00000,33.00000,0.12040,0.12040,41.10920,36.58190,36.58190,36.30090,28.77290,0.11100,4.03030,4.03030,4.03030,3.76890
2015-06-30,14.70250,9.10400,5.59850,0.13370,-2.12100,2.25480,3.34370,-0.06130,3.28250,3.28250,3.28250,2.58700,3.34370,3.34370,33.00000,33.00000,0.07840,0.07840,38.07840,22.74250,22.74250,22.32590,17.59550,0.02910,0.65010,0.65010,0.65010,15.30160
2015-03-31,24.03040,10.57600,13.45440,0.35670,-9.62800,9.98470,3.46970,0.20670,3.67640,3.67640,3.67640,2.91110,3.46970,3.46970,33.00000,33.00000,0.08820,0.08820,55.98910,14.43890,14.43890,15.29900,12.11440,0.04640,0.71060,0.71060,0.71060,15.67700
2014-12-31,26.26850,9.94000,16.32850,0.09910,-11.73000,11.82910,4.49940,-0.02090,4.47850,4.47850,4.47850,3.55880,4.49940,4.49940,33.00000,33.00000,0.10430,0.10430,62.16000,17.12860,17.12860,17.04900,13.54790,0.04970,0.84760,0.84760,0.84760,16.01130
2014-09-30,27.19650,9.81700,17.37950,0.13700,-8.11000,8.24700,9.13240,-0.10300,9.02940,9.02940,9.02940,7.17560,9.13240,9.13240,33.00000,33.00000,0.21740,0.21740,63.90340,33.57950,33.57950,33.20080,26.38420,0.05050,1.67670,1.67670,1.67670,16.31890
2014-06-30,25.42910,9.10900,16.32010,0.22180,-8.46500,8.68680,7.63320,0.07710,7.71040,7.71040,7.71040,6.12330,7.63320,7.63320,33.00000,33.00000,0.18560,0.18560,64.17880,30.01770,30.01770,30.32110,24.07990,0.04630,1.40420,1.40420,1.40420,16.63920
2014-03-31,26.66940,9.25300,17.41640,0.18840,-4.29800,4.48640,12.93010,1.67420,14.60430,14.60430,14.60430,11.63840,12.93010,12.93010,33.00000,33.00000,0.35270,0.35270,65.30480,48.48270,48.48270,54.76050,43.63970,0.04760,2.60740,2.60740,2.60740,16.97270
2013-12-31,28.57330,9.37200,19.20130,0.11940,32.37700,-32.25760,51.45890,1.59470,53.05360,53.05360,53.05360,14.21770,51.45890,51.45890,33.00000,33.00000,0.43180,0.43180,67.20010,180.09440,180.09440,185.67550,49.75870,0.05000,9.28490,9.28490,9.28490,17.31500
2013-09-30,27.29680,9.00500,18.29180,0.16060,-2.03000,2.19060,16.10120,1.47830,17.57950,17.57950,17.57950,14.02860,16.10120,16.10120,33.00000,33.00000,0.42510,0.42510,67.01080,58.98570,58.98570,64.40140,51.39290,0.04680,3.01190,3.01190,3.01190,17.68680
2013-06-30,25.33130,9.52500,15.80630,0.21100,-6.57500,6.78600,9.02040,2.47410,11.49450,11.49450,11.49450,9.17060,9.02040,9.02040,33.00000,33.00000,0.27790,0.27790,62.39830,35.60950,35.60950,45.37650,36.20250,0.04220,1.91330,1.91330,1.91330,18.20490
2013-03-31,27.29490,9.82500,17.46990,0.21840,-6.15000,6.36840,11.10150,2.76440,13.86590,13.86590,13.86590,11.06270,11.10150,11.10150,33.00000,33.00000,0.33520,0.33520,64.00430,40.67260,40.67260,50.80040,40.53040,0.04410,2.24210,2.24210,2.24210,18.74010
2012-12-31,27.72080,9.17500,18.54580,0.15290,-26.44340,26.59630,-8.05050,3.53310,-4.51740,-4.51740,-4.51740,14.64090,-8.05050,-8.05050,33.00000,33.00000,0.44450,0.44450,66.90210,-29.04130,-29.04120,-16.29600,52.81540,0.04350,-0.70820,-0.70820,-0.70820,19.32860
2012-09-30,29.07650,9.71500,19.36150,0.11180,4.69270,-4.58090,23.94240,3.39190,27.33440,27.33440,27.33440,14.33420,23.94240,23.94240,33.00000,33.00000,0.43440,0.43440,66.58820,82.34280,82.34280,94.00830,49.29810,0.04400,4.13720,4.13720,4.13720,20.02130
2012-06-30,32.89330,10.87870,22.01460,0.35950,-5.76590,6.12540,15.88920,2.77600,18.66520,18.66520,18.66520,14.85710,15.88920,15.88920,33.00000,33.00000,0.45020,0.45020,66.92730,48.30520,48.30520,56.74450,45.16760,,,,,
2012-03-31,33.67400,10.79500,22.87900,0.34460,6.75400,-6.40940,29.28840,2.05610,31.34460,31.34460,31.34460,14.21920,29.28840,29.28840,33.00000,33.00000,0.43090,0.43090,67.94270,86.97630,86.97630,93.08230,42.22600,,,,,
2011-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,
