Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,245.01400,159.02000,85.99400,50.47100,50.47100,35.52300,-0.79700,34.72600,6.37700,28.34900,28.34900,,28.34900,37.19100,35.52300,25.32300,25.32300,1.13000,1.12000,14.49840,14.49840,14.17310,11.57040,0.08360,3.39260,3.41650,0.96750,3.39260,33.26670,0.06300,-0.03610
2021-12-31,272.50110,146.51200,125.98910,52.89900,56.08600,69.90310,,72.29400,14.55900,57.73500,57.73500,,57.73500,71.58610,69.90310,25.09200,25.52000,2.29000,2.26000,25.65240,25.65240,26.52980,21.18710,0.09050,6.56740,6.61270,1.91640,6.56740,35.04990,0.4502,0.3365
2021-09-30,248.54300,210.91200,37.63100,51.26100,51.26100,-13.63000,-0.79700,-14.42700,-4.83400,-9.59300,-9.59300,,-9.59300,-11.91800,-13.63000,25.18900,25.18900,-0.38000,-0.38000,-5.48400,-5.48400,-5.80460,-3.85970,0.08260,-1.17770,-1.18680,-0.31860,-1.17770,32.47590,-0.6629,-0.7949
2021-06-30,244.41200,180.53900,63.87300,46.00700,46.00700,17.86600,-1.59400,16.27200,2.52200,13.75000,13.75000,,13.75000,19.41300,17.86600,25.14800,25.14800,0.55000,0.54000,7.30980,7.30980,6.65760,5.62570,0.07990,1.63790,1.65050,0.44960,1.63790,33.42260,0.6163,0.4659
2021-03-31,300.73500,224.76600,75.96900,53.26500,53.26500,22.70400,,22.70400,4.00200,18.70200,18.70200,,18.70200,24.33200,22.70400,25.08600,25.38000,0.75000,0.74000,7.54950,7.54950,7.54950,6.21880,0.09810,2.27080,2.28900,0.61020,2.27080,32.78660,0.76870,0.61710
2020-12-31,310.89800,272.61000,38.28800,51.81200,51.81180,-13.52380,,-13.52400,-4.63300,-8.89100,-8.89100,,-8.89100,-11.87680,-13.52390,25.02700,25.02700,-0.35000,-0.35000,-4.34990,-4.34990,-4.35000,-2.85980,0.10130,-1.07750,-1.08640,-0.28960,-1.07750,32.93350,2.1697,2.0355
2020-09-30,282.12100,270.16300,11.95800,52.09500,67.18600,-55.22800,,-55.22800,-17.98700,-37.24100,-37.24100,,-37.24100,-53.53700,-55.22800,25.03100,25.03100,-1.49000,-1.49000,-19.57600,-19.57600,-19.57600,-13.20040,0.09250,-4.54000,-4.57870,-1.22160,-4.54000,32.77070,-0.6817,-0.8244
2020-06-30,297.80300,241.67400,56.12900,51.89300,51.89300,4.23600,,4.23600,-1.72400,5.96000,5.96000,,5.96000,5.91800,4.23600,25.02500,25.25600,0.24000,0.24000,1.42240,1.42240,1.42240,2.00130,0.09810,0.69250,0.71080,0.19640,0.69250,34.38400,0.267,0.0758
2020-03-31,177.80500,228.35200,-50.54700,54.45200,54.45200,-104.99900,,-104.99900,-32.46500,-72.53400,-72.53400,,-72.53400,-103.36300,-104.99900,25.01400,25.01400,-2.90000,-2.90000,-59.05290,-59.05290,-59.05290,-40.79410,0.06030,-8.70610,-8.94620,-2.45910,-8.70610,33.30440,-0.09940,-0.38500
2019-12-31,293.37410,267.21600,26.15810,54.85700,54.85700,-28.69890,,-28.69900,-5.53600,-23.16300,-23.16300,,-23.16300,-21.74290,-28.69890,25.13800,25.13800,-0.92000,-0.90000,-9.78240,-9.78240,-9.78240,-7.89540,0.09740,-2.54410,-2.60870,-0.76860,-2.54410,36.39560,1.4986,1.3128
2019-09-30,298.05500,247.75500,50.30000,54.82800,54.82800,-4.52800,,-4.52800,-2.18600,-2.34200,-2.34200,,-2.34200,-2.91100,-4.52800,25.17600,25.17600,-0.09000,-0.09000,-1.51920,-1.51920,-1.51920,-0.78580,0.09890,-0.24290,-0.24880,-0.07770,-0.24290,38.44060,0.7919,0.5177
2019-06-30,304.19700,253.97300,50.22400,54.79500,54.79500,-4.57100,,-4.57100,-0.37500,-4.19600,-4.19600,,-4.19600,-3.11900,-4.57100,25.21000,25.21000,-0.17000,-0.17000,-1.50270,-1.50270,-1.50260,-1.37940,0.10130,-0.43330,-0.44380,-0.13980,-0.43330,38.35620,1.0111,0.6616
2019-03-31,305.53900,198.64300,106.89600,52.21900,52.21900,54.67700,,54.67700,10.15600,44.52100,44.52100,,44.52100,55.84300,54.67700,25.01400,25.01400,1.77000,1.74000,17.89530,17.89530,17.89530,14.57130,0.10520,4.66100,4.77630,1.53310,4.66100,37.95260,0.42790,-0.05250
2018-12-31,252.06200,239.54900,12.51300,54.02500,54.02500,-41.51200,,-41.51200,-12.17600,-29.33600,-29.33600,,-29.33600,-40.35300,-41.51200,25.00600,25.62300,-1.18000,-1.16000,-16.46900,-16.46900,-16.46900,-11.63840,0.08950,-3.30220,-3.39100,-1.04150,-3.30220,35.39770,1.5963,1.2334
2018-09-30,291.91000,227.55400,64.35600,51.75800,51.75800,12.59800,,12.59800,1.52800,11.07000,11.07000,,11.07000,14.29700,12.59800,25.62700,25.62700,0.44000,0.43000,4.31570,4.31570,4.31570,3.79230,0.10310,1.25200,1.28600,0.39100,1.25200,35.27550,0.1377,-0.2814
2018-06-30,275.39900,226.39800,49.00100,50.81000,50.81000,-1.80900,,-1.80900,-1.96600,0.15700,0.15700,,0.15700,-0.65200,-1.80900,25.61200,25.61200,0.01000,0.01000,-0.65690,-0.65690,-0.65690,0.05700,0.09490,0.01630,0.01670,0.00540,0.01630,38.51620,1.617,1.2635
2018-03-31,250.79500,179.58300,71.21200,49.63900,49.63900,21.57300,,21.57300,1.20900,20.36400,20.36400,25.39500,45.75900,22.73200,21.57300,24.91600,24.91600,1.84000,1.80000,8.60190,8.60190,8.60180,18.24560,0.08810,2.09790,2.15060,0.71570,2.09790,38.96330,0.94610,0.79160
2017-12-31,273.35500,191.08500,82.27010,52.90100,52.90110,29.36900,,29.36900,-15.89000,45.25900,45.25900,0.73400,45.99300,30.44200,29.36900,25.10400,25.64100,1.85000,1.82000,10.74390,10.74390,10.74390,16.82540,0.06530,4.64970,4.76710,1.08190,4.64970,39.06460,1.9744,1.7712
2017-09-30,269.61700,249.02500,20.59200,52.98600,52.98600,-32.39400,,-32.39400,-13.31200,-19.08200,-19.08200,1.21800,-17.86400,-31.22600,-32.39400,24.96000,24.96000,-0.72000,-0.72000,-12.01480,-12.01480,-12.01480,-6.62570,0.06430,-2.02130,-2.07440,-0.45530,-2.02130,37.98990,0.2811,-0.0341
2017-06-30,258.48700,211.42000,47.06700,51.39800,51.39800,-4.33100,,-4.33100,-4.44000,0.10900,0.10900,2.84900,2.95800,-3.16300,-4.33100,24.97700,25.61200,0.12000,0.12000,-1.67550,-1.67550,-1.67550,1.14440,0.06160,0.01130,0.01160,0.00260,0.01130,38.46050,2.8617,2.7648
2017-03-31,251.27800,177.81100,73.46700,50.46100,50.46100,23.00600,,23.00600,4.42200,18.58400,18.58400,1.35200,19.93600,24.17100,23.00600,25.44300,25.85400,0.78000,0.77000,9.15560,9.15560,9.15560,7.93380,0.06130,1.93510,1.98580,0.45360,1.93510,37.89700,1.51650,1.46260
2016-12-31,195.27900,144.00400,51.27500,47.83600,37.45100,13.82400,,13.82400,1.87500,11.94900,11.94900,0.04600,11.99500,14.98000,13.82400,25.33600,25.33600,0.47000,0.45000,7.07910,7.07910,7.07910,6.14250,0.04820,1.26860,1.30280,0.29470,1.26860,37.03830,3.5006,3.4366
2016-09-30,255.62500,189.35000,66.27500,52.24000,52.24000,14.03500,,14.03500,2.40700,11.62800,11.62800,0.74000,12.36800,15.73500,14.03500,25.39000,25.81500,0.49000,0.48000,5.49050,5.49050,5.49050,4.83830,0.06220,1.21230,1.24460,0.28310,1.21230,37.82550,1.8179,1.6915
2016-06-30,279.77300,226.32400,53.44900,52.58500,52.58500,0.86400,,0.86400,-2.25000,3.11400,3.11400,,3.11400,2.41700,0.86400,25.36600,25.79500,0.12000,0.12000,0.30880,0.30880,0.30880,1.11300,0.06810,0.32400,0.33270,0.07580,0.32400,37.84930,1.763,1.6757
2016-03-31,265.68500,186.68000,79.00500,50.23100,50.23100,28.77400,,28.77400,6.34700,22.42700,22.42700,,22.42700,30.40000,28.77400,25.21000,25.59600,0.89000,0.88000,10.83010,10.83010,10.83010,8.44120,0.06680,2.41370,2.48130,0.56410,2.41370,36.69120,1.38010,1.35790
2015-12-31,140.30900,76.67700,63.63200,44.65700,26.44990,37.18210,,37.18200,10.09300,27.08900,27.08900,,30.89500,35.94910,37.18210,25.04700,25.23600,1.23000,1.23000,26.50020,26.50010,26.50010,22.01930,0.03610,3.08220,3.17430,0.69630,3.08220,34.94480,2.6269,2.6668
2015-09-30,264.56000,189.03900,75.52100,48.69700,48.69700,26.82400,,26.82400,7.29000,19.53400,19.53400,,19.53400,31.29600,26.82400,25.06700,25.37900,0.78000,0.77000,10.13910,10.13910,10.13910,7.38360,0.06830,2.31050,2.38290,0.50400,2.31050,33.73210,1.2933,1.016
2015-06-30,255.91800,192.02800,63.89000,44.35700,44.35700,19.53300,,19.53300,4.51500,15.01800,15.01800,,15.01800,21.14900,19.53300,25.02400,25.28800,0.60000,0.59000,7.63250,7.63250,7.63250,5.86830,0.06580,1.80520,1.86320,0.38590,1.80520,33.21370,3.0569,2.985
2015-03-31,238.48400,164.18100,74.30300,42.47200,42.47200,31.83100,,31.83100,8.15200,23.67900,23.67900,,23.67900,33.44900,31.83100,24.99000,25.10500,0.95000,0.94000,13.34720,13.34720,13.34720,9.92900,0.06170,2.80480,2.89420,0.61280,2.80480,33.76120,0.55180,0.47690
2014-12-31,250.45200,157.02200,93.43000,43.07500,43.07490,50.35510,,50.35500,15.55900,34.79600,34.79600,,34.79600,51.79710,50.35510,25.23100,25.49400,1.38000,1.37000,20.10570,20.10570,20.10570,13.89330,0.06490,4.25680,4.39820,0.90220,4.25680,32.67180,2.4962,2.4006
2014-09-30,235.86500,194.06600,41.79900,44.64400,44.64400,-2.84500,,-2.84500,-3.17000,0.32500,0.32500,,0.32500,-1.15300,-2.84500,25.18800,25.40400,0.01000,0.01000,-1.20620,-1.20620,-1.20620,0.13780,0.06170,0.04020,0.04160,0.00850,0.04020,32.26510,1.2786,1.217
2014-06-30,232.67300,179.42100,53.25200,40.19600,40.19600,13.05600,,13.05600,2.37100,10.68500,10.68500,,10.68500,14.51800,13.05600,25.33000,25.55700,0.42000,0.42000,5.61130,5.61130,5.61130,4.59230,0.06040,1.29320,1.33630,0.27740,1.29320,32.73640,1.437,1.3863
2014-03-31,222.90400,167.47300,55.43100,39.53400,39.53400,15.89700,,15.89700,2.56600,13.33100,13.33100,,13.33100,18.19200,15.89700,25.37200,25.59000,0.53000,0.52000,7.13180,7.13180,7.13180,5.98060,0.05910,1.64970,1.70640,0.35370,1.64970,31.81900,0.72260,0.61080
2013-12-31,228.99400,151.53400,77.46000,40.12100,40.12100,37.33900,,37.33900,10.81300,26.52600,26.52600,,26.52600,38.82200,37.33900,25.32600,25.53100,1.05000,1.04000,16.30570,16.30570,16.30570,11.58370,0.06150,3.38850,3.50970,0.71290,3.38850,30.86760,1.7098,1.5583
2013-09-30,223.02400,169.86200,53.16200,38.76700,38.76700,14.39500,,14.39500,2.67000,11.72500,11.72500,,11.72500,15.58500,14.39500,25.35900,25.57200,0.46000,0.45000,6.45450,6.45450,6.45450,5.25730,0.05990,1.57550,1.63530,0.31490,1.57550,29.29910,1.8515,1.7764
2013-06-30,219.71900,162.69300,57.02600,36.70800,36.70800,20.31800,,20.31800,4.82200,15.49600,15.49600,,15.49600,21.46300,20.31800,25.29800,25.47200,0.61000,0.61000,9.24730,9.24730,9.24730,7.05260,0.05940,2.11010,2.19190,0.41870,2.11010,28.99950,1.5113,1.4222
2013-03-31,205.30500,137.37400,67.93100,38.08100,38.08100,29.85000,,29.85000,7.45700,22.39300,22.39300,,22.39300,31.63500,29.85000,25.24500,25.34100,0.89000,0.88000,14.53940,14.53940,14.53930,10.90720,0.05510,2.95370,3.06540,0.60120,2.95370,30.00640,1.25270,1.23740
2012-12-31,213.31700,184.37900,28.93800,36.93700,36.93700,-7.99910,,-7.99900,-5.58100,-2.41800,-2.41800,,-2.41800,-6.00910,-7.99900,25.44800,25.50500,-0.09000,-0.09000,-3.74980,-3.74980,-3.74980,-1.13350,0.05770,-0.33160,-0.34500,-0.06540,-0.33160,28.90460,1.8365,1.7778
2012-09-30,206.58100,160.39400,46.18700,36.16700,36.16700,10.02000,,10.02000,1.29000,8.73000,8.73000,,8.73000,12.33800,10.02000,25.42300,25.52700,0.34000,0.34000,4.85040,4.85040,4.85040,4.22590,0.05530,1.15810,1.20430,0.23360,1.15810,29.65820,1.9701,1.9492
2012-06-30,199.64600,146.29000,53.35600,34.17900,34.17900,19.17700,,19.17700,4.46100,14.71600,14.71600,,14.71600,20.56300,19.17700,25.47600,25.55800,0.58000,0.58000,9.60550,9.60550,9.60550,7.37100,0.05340,2.00120,2.08490,0.39330,2.00120,28.91370,1.537,1.5383
2012-03-31,193.69900,134.27200,59.42700,34.55100,34.55100,24.87600,,24.87600,5.69200,19.18400,19.18400,,19.18400,27.16100,24.87600,25.50600,25.57300,0.75000,0.75000,12.84260,12.84260,12.84260,9.90400,0.05250,2.66670,2.78340,0.52030,2.66670,28.20250,1.40320,1.36830
2011-12-31,191.55390,129.36200,62.19200,40.37600,40.37610,21.81590,,21.81600,4.92500,16.89100,16.89100,,16.89100,24.83990,21.81600,25.87900,25.95900,0.66040,0.66040,11.38890,11.38890,11.38900,8.81790,0.05290,2.42640,2.53870,0.46670,2.42640,27.29430,0.7452,0.4671
2011-09-30,187.57400,155.02600,32.54800,43.02200,43.02200,-10.47400,,-10.47400,-5.69800,-4.77600,-4.77600,,-4.77600,-9.62300,-10.47400,25.72300,25.72300,-0.19000,-0.19000,-5.58390,-5.58390,-5.58390,-2.54620,0.05200,-0.69680,-0.73040,-0.13250,-0.69680,26.87750,0.5594,0.1627
2011-06-30,181.80400,169.06800,12.73600,43.73200,43.73200,-30.99600,,-30.99600,-13.08200,-17.91400,-17.91400,,-17.91400,-29.99400,-30.99600,26.10200,26.10200,-0.69000,-0.69000,-17.04910,-17.04910,-17.04910,-9.85350,0.05020,-2.54180,-2.66140,-0.49460,-2.54180,27.23230,0.369,0.5065
2011-03-31,144.07600,111.09100,32.98500,26.04600,26.04600,6.93900,,6.93900,1.12900,5.81000,5.81000,,5.81000,7.64500,6.93900,26.19600,26.19600,0.22000,0.22000,4.81620,4.81620,4.81620,4.03260,0.04060,0.80880,0.84630,0.16370,0.80880,27.42370,1.19370,1.18980
2010-12-31,150.02900,104.87800,45.15100,30.44200,30.44200,14.70910,,14.70900,3.16300,11.54600,11.54600,,11.54600,15.41810,14.70910,26.31800,26.33800,0.45000,0.44000,9.80410,9.80410,9.80410,7.69580,0.04990,1.61160,1.61260,0.38390,1.61160,27.34860,0.5599,0.538
2010-09-30,147.90400,117.92100,29.98300,28.49100,28.49100,1.49200,,1.49200,-1.43100,2.92300,2.92300,,2.92300,2.20000,1.49200,26.27900,26.27900,0.11000,0.11000,1.00880,1.00880,1.00880,1.97630,0.04750,0.40180,0.40180,0.09380,0.40180,27.73050,0.4947,0.4737
2010-06-30,148.01400,101.75200,46.26200,27.92200,27.92200,18.34000,,18.34000,4.40900,13.93100,13.93100,,13.93100,19.06000,18.34000,26.35600,26.35600,0.53000,0.53000,12.39070,12.39070,12.39070,9.41190,0.04840,1.97340,1.97340,0.45580,1.97340,26.82020,0.5252,0.5125
2010-03-31,145.12500,94.76700,50.35800,26.51600,26.51600,23.84200,,23.84200,4.72900,19.11300,19.11300,,19.11300,24.57700,23.84200,26.43500,26.43500,0.72000,0.72000,16.42860,16.42860,16.42860,13.17000,0.04810,2.73640,2.73640,0.63290,2.73640,26.49000,1.12410,1.10030
2009-12-31,149.18300,123.08900,26.09400,27.67700,27.67700,-1.58300,,-0.24800,-2.02700,1.77900,1.77900,,1.77900,-0.74500,-1.58300,26.59000,26.59000,0.07000,0.07000,-1.06110,-1.06110,-0.16620,1.19250,0.05140,0.26440,0.26440,0.06130,0.26440,25.35470,1.8277,1.7254
2009-09-30,150.70100,140.27500,10.42600,29.01500,29.01500,-18.58900,,-18.58900,-8.43300,-10.15600,-10.15600,,-10.15600,-17.69900,-18.58900,26.59200,26.59200,-0.38000,-0.38000,-12.33500,-12.33500,-12.33500,-6.73920,0.05070,-1.49180,-1.49180,-0.34190,-1.49180,25.60140,0.5665,0.4464
2009-06-30,134.04600,116.61100,17.43500,28.79500,28.79500,-11.36000,,-11.36000,-6.02600,-5.33400,-5.33400,,-5.33400,-10.45400,-11.36000,26.59200,26.59200,-0.20000,-0.20000,-8.47470,-8.47470,-8.47470,-3.97920,0.04780,-0.81660,-0.81660,-0.19010,-0.81660,24.56310,1.0367,0.9777
2009-03-31,138.26300,107.36600,30.89700,29.40600,29.40600,1.49100,,1.49100,-1.77900,3.27000,3.27000,,3.27000,2.39000,1.49100,26.61300,26.61300,0.12000,0.12000,1.07840,1.07840,1.07840,2.36510,0.05100,0.51480,0.51480,0.12060,0.51480,23.89000,0.34530,0.22900
