Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2020-11-30,10.70100,2.43300,8.26800,0.80900,4.40800,5.21700,3.05100,-0.05500,2.99600,0.51700,2.47900,2.47900,,2.47900,4.54600,3.05100,19.93000,20.79900,0.12000,0.12000,23.96060,77.26380,28.51140,28.51140,27.99740,23.16610,0.06280,,1.05240,85.51720,1.56870,1.95660,1.45420,1.56870,7.91780,0.25640,0.21150
2020-08-31,9.54000,2.67400,6.86600,0.94900,3.71300,4.66200,2.20400,-0.16600,2.03800,-0.15000,2.18800,2.18800,,2.18800,3.03200,2.20400,17.81900,18.53800,0.11000,0.11000,23.44570,71.97070,23.10270,23.10270,21.36270,22.93500,0.05660,,0.90730,99.19810,1.40220,1.76160,1.29910,1.40220,7.83190,0.2573,0.2177
2020-05-31,12.29800,2.66600,9.63200,0.75200,5.02300,5.77500,3.85700,-0.07700,3.78000,0.84400,2.93600,2.93600,,2.93600,4.64600,3.85700,17.73500,18.42700,0.17000,0.16000,2.84950,78.32170,31.36280,31.36280,30.73670,23.87380,0.19970,,0.89820,100.19820,6.30220,20.42790,4.76780,6.30220,2.61900,0.1225,0.0882
2020-02-29,10.35000,2.66600,7.68400,0.74800,4.11000,4.85800,2.82600,0.01000,2.83600,0.68600,2.15000,2.15000,,2.15000,3.50000,2.82600,17.63800,18.31600,0.12000,0.12000,4.50210,74.24160,27.30440,27.30440,27.40100,20.77300,0.21040,,0.91130,98.76110,5.26160,9.42690,4.36990,5.26160,2.31530,0.0649,0.0289
2019-11-30,9.40100,2.64300,6.75800,0.52600,3.51400,4.04000,2.71800,0.01500,2.73300,0.67500,2.05800,2.05800,,2.05800,3.38900,2.71800,17.60900,18.30700,0.12000,0.11000,4.09950,71.88600,28.91180,28.91180,29.07140,21.89130,0.19680,,0.95590,94.14870,5.25190,9.88860,4.30880,5.25190,2.22360,0.14390,0.11440
2019-08-31,8.02550,2.29360,5.73180,0.60310,3.17970,3.78280,1.94910,0.03730,1.98630,-0.07260,2.05890,2.05890,,2.05890,2.62850,1.94910,17.49200,18.05700,0.12000,0.11000,4.42460,71.42080,24.28600,24.28600,24.75010,25.65460,0.17760,,0.97160,92.63270,5.46390,10.84310,4.55540,5.46390,2.14200,0.2293,0.2031
2019-05-31,9.93690,2.32420,7.61270,0.64330,3.08740,3.73070,3.88200,-0.02960,3.85240,0.96370,2.88870,2.88870,,2.88870,4.55990,3.88200,17.52000,18.09600,0.16000,0.16000,4.18930,76.61060,39.06680,39.06680,38.76900,29.07040,0.21840,,0.95400,94.34010,8.03120,17.03920,6.34860,8.03120,2.05210,0.0993,0.0739
2019-02-28,8.47170,2.20780,6.26390,0.72400,2.80970,3.53380,2.73020,-0.03450,2.69560,0.59620,2.09940,2.09940,,2.09940,3.42810,2.73020,17.47700,18.00300,0.12000,0.12000,3.68310,73.93880,32.22680,32.22680,31.81920,24.78190,0.19540,,0.99760,90.21620,6.22000,14.56300,4.84180,6.22000,1.92870,0.1708,0.1371
2018-11-30,7.53590,2.20040,5.33550,0.52960,2.71920,3.24880,2.08670,-0.06510,2.02160,0.48570,1.53590,1.53590,,1.53590,2.78150,2.08670,17.42200,17.99800,0.09000,0.09000,3.42520,70.80150,27.69070,27.69070,26.82650,20.38170,0.17960,,0.99860,90.12940,4.75190,12.12800,3.66150,4.75190,1.85130,0.14510,0.12480
2018-08-31,6.68800,2.12020,4.56780,0.43720,2.23140,2.66860,1.89920,-0.05850,1.84070,0.50270,1.33800,1.33800,,1.33800,2.60470,1.89920,17.32900,17.86000,0.08000,0.08000,3.69260,68.29880,28.39720,28.39720,27.52260,20.00590,0.15450,,0.89170,100.92930,4.19130,11.15680,3.09150,4.19130,1.83290,0.197,0.1627
2018-05-31,8.55310,2.02300,6.53010,0.50840,2.60420,3.11250,3.41760,-0.02090,3.39670,0.99060,2.40600,2.40600,,2.40600,4.10520,3.41760,17.34000,17.90400,0.14000,0.13000,3.32650,76.34800,39.95730,39.95730,39.71270,28.13070,0.19950,,0.87990,102.27990,7.73430,22.15850,5.61110,7.73430,1.79220,0.095,0.0668
2018-02-28,7.35670,2.11550,5.24120,0.48430,2.33970,2.82400,2.41720,-0.03260,2.38460,-1.09020,3.47480,3.47480,,3.47480,3.10680,2.41720,17.30300,17.85500,0.20000,0.19000,2.77700,71.24420,32.85680,32.85680,32.41380,47.23290,0.17910,,0.93820,95.92470,11.80510,39.20250,8.46150,11.80510,1.70260,0.0801,0.0433
2017-11-30,7.06880,1.73560,5.33320,0.36080,2.40850,2.76930,2.56380,-0.04680,2.51700,0.80100,1.71600,1.71600,,1.71600,3.20230,2.56380,17.28200,17.86000,0.10000,0.10000,2.47380,75.44690,36.26990,36.26990,35.60730,24.27580,0.17780,,1.07230,83.93040,6.43220,29.65290,4.31700,6.43220,1.54320,0.14790,0.11680
2017-08-31,6.26590,1.97310,4.29280,0.41500,2.43160,2.84660,1.44610,-0.04310,1.40300,0.25280,1.15020,1.15020,,1.15020,2.03420,1.44610,17.23900,17.51600,0.07000,0.06000,6.20230,68.51030,23.07960,23.07960,22.39110,18.35730,0.16270,,1.13310,79.42750,4.45750,25.04280,2.98670,4.45750,1.49350,0.1218,0.0922
2017-05-31,6.74850,1.44480,5.30380,0.25380,1.95490,2.20860,3.09510,-0.01030,3.08480,1.00480,2.08000,2.08000,,2.08000,3.60920,3.09510,17.24200,17.58600,0.12000,0.12000,11.78800,78.59140,45.86320,45.86320,45.71130,30.82200,0.22840,,1.09900,81.89460,8.24570,13.88420,7.03950,8.24570,1.46290,0.172,0.1521
2017-02-28,5.70560,1.55400,4.15160,0.40850,1.94810,2.35660,1.79500,-0.01000,1.78500,0.58920,1.19580,1.19580,,1.19580,2.31220,1.79500,17.23300,17.43900,0.07000,0.07000,6.53570,72.76440,31.45980,31.45980,31.28430,20.95770,0.19840,,0.96840,92.93630,5.01060,8.90260,4.15760,5.01060,1.38510,-0.0127,-0.0355
2016-11-30,5.41790,1.33600,4.08200,0.29030,1.86360,2.15380,1.92810,0.03940,1.96750,0.60590,1.36160,1.36160,,1.36160,2.44380,1.92810,17.22600,17.40900,0.08000,0.08000,6.06660,75.34150,35.58730,35.58730,36.31420,25.13070,0.19010,,1.21680,73.96370,5.82990,10.69330,4.77680,5.82990,1.35550,0.11160,0.09480
2016-08-31,3.95750,1.05960,2.89790,0.28390,1.61370,1.89770,1.00030,0.02660,1.02680,0.23790,0.78900,0.78900,,0.78900,1.48230,1.00030,17.02900,17.21000,0.04000,0.05000,5.97510,73.22560,25.27520,25.27520,25.94670,19.93600,0.14230,,1.06860,84.22620,3.47070,6.61780,2.83660,3.47070,1.31970,0.1552,0.1326
2016-05-31,6.01220,1.19480,4.81740,0.34840,1.68070,2.02910,2.78820,0.01230,2.80050,0.89120,1.90930,1.90930,,1.90930,3.26750,2.78820,17.02900,17.22800,0.11000,0.11000,3.37370,80.12680,46.37650,46.37650,46.58080,31.75780,0.20880,,1.06930,84.16600,8.87830,18.17310,6.63010,8.87830,1.26270,0.1217,0.1042
2016-02-29,5.16370,1.26370,3.90000,0.46140,1.72280,2.18430,1.71580,-0.02380,1.69190,0.54660,1.14530,1.14530,,1.14530,2.20050,1.71580,17.00600,17.26800,0.07000,0.07000,3.53800,75.52660,33.22700,33.22700,32.76530,22.18070,0.18510,,1.10700,81.30130,5.63900,12.55410,4.10480,5.63900,1.19350,0.0587,0.0425
2015-11-30,4.83860,1.08330,3.75530,0.35130,1.67640,2.02780,1.72750,-0.01040,1.71710,0.61060,1.10650,1.10650,,1.10650,2.21380,1.72750,16.96600,17.25500,0.07000,0.06000,3.17300,77.61040,35.70300,35.70300,35.48750,22.86750,0.17310,,1.01110,89.00960,5.55050,12.92940,3.95760,5.55050,1.17290,-0.02090,-0.03640
2015-08-31,3.71180,1.13110,2.58060,0.35960,1.44280,1.80240,0.77830,-0.09890,0.67940,0.18800,0.49140,0.49140,,0.49140,1.28430,0.77830,16.86500,17.03200,0.03000,0.03000,3.19170,69.52570,20.96800,20.96790,18.30380,13.23900,0.13570,,1.55380,57.92230,2.51590,6.16820,1.79710,2.51590,1.15280,0.188,0.1745
2015-05-31,5.94210,1.13270,4.80940,0.34830,1.60730,1.95560,2.85380,-0.03120,2.82250,0.97010,1.85240,1.85240,,1.85240,3.35740,2.85380,16.86200,17.07300,0.11000,0.11000,6.88640,80.93780,48.02670,48.02670,47.50090,31.17460,0.21290,,1.20890,74.44760,9.34760,22.97510,6.63650,9.34760,1.17350,0.1253,0.1099
2015-02-28,4.57420,1.13090,3.44330,0.36070,1.60750,1.96820,1.47510,-0.03030,1.44480,0.47460,0.97020,0.97020,,0.97020,1.99690,1.47510,16.84900,17.10500,0.06000,0.06000,7.30890,75.27640,32.24790,32.24790,31.58610,21.21100,0.16900,,1.19490,75.32260,5.19320,14.39600,3.58510,5.19320,1.10860,0.0924,0.0672
2014-11-30,4.08620,0.99770,3.08850,0.25990,2.07920,2.33910,0.74940,-0.00320,0.74620,0.21730,0.52890,0.52890,,0.52890,1.20760,0.74940,16.83000,17.09800,0.03000,0.03000,5.98880,75.58280,18.33930,18.33930,18.26100,12.94370,0.15070,,1.09540,82.16490,2.86430,8.35100,1.95110,2.86430,1.09640,0.01330,-0.00540
2014-08-31,1.99780,0.46090,1.53700,0.20200,1.06070,1.26260,0.27430,0.01340,0.28770,0.06480,0.22290,0.22290,,0.22290,0.66110,0.27430,16.17370,16.40780,0.02000,0.01000,8.28850,76.93240,13.72950,13.72950,14.40260,11.15830,0.09520,,1.07000,84.10990,1.44420,2.33330,1.06250,1.44420,0.94410,0.1207,0.101
2014-05-31,3.74060,0.22760,3.51300,0.23470,1.20430,1.43900,2.07400,0.01540,2.08930,0.78180,1.30750,1.30750,,1.30750,2.31330,2.07400,16.19400,16.45500,0.08000,0.08000,7.63890,93.91540,55.44530,55.44530,55.85590,34.95590,0.17080,,1.11860,80.45870,8.18990,13.16480,5.97080,8.18990,0.97730,0.1018,0.0825
2014-02-28,3.08150,0.49220,2.58930,0.35400,1.10350,1.45760,1.13170,0.01240,1.14410,0.33430,0.80990,0.80990,,0.80990,1.33740,1.13170,16.10700,16.35700,0.05000,0.05000,14.07830,84.02730,36.72700,36.72700,37.12890,26.28160,0.18420,,0.97320,92.47750,5.61170,5.63520,4.84210,5.61170,0.89290,0.0184,-0.0041
2013-11-30,2.64100,0.44840,2.19260,0.16210,1.07110,1.23320,0.95940,0.03270,0.99210,0.30700,0.68520,0.68520,,0.68520,1.16500,0.95940,16.05000,16.36700,0.04000,0.04000,16.60440,83.02080,36.32610,36.32610,37.56560,25.94300,0.16100,,1.22520,73.45460,4.77450,4.79510,4.17650,4.77450,0.89280,0.08250,0.05910
2013-08-31,1.56780,0.30890,1.25880,0.16810,0.85990,1.02800,0.23090,0.01230,0.24310,-0.00170,0.24480,0.24480,,0.24480,0.42870,0.23090,15.99600,16.32000,0.01000,0.02000,20.71170,80.29390,14.72620,14.72620,15.50780,15.61490,0.09760,,0.74140,121.38690,1.71890,1.72660,1.52400,1.71890,0.88840,0.0603,0.0402
2013-05-31,3.09480,0.45190,2.64280,0.20640,0.90360,1.11000,1.53280,0.01290,1.54570,0.55250,0.99320,0.99320,,0.99320,1.71820,1.53280,16.02400,16.33600,0.06000,0.06000,13.04540,85.39690,49.52960,49.52960,49.94700,32.09370,0.18870,,1.00400,89.64570,6.86820,6.89950,6.05530,6.86820,0.90210,0.0609,0.0447
2013-02-28,3.11810,0.49880,2.61930,0.24750,0.85500,1.10250,1.51680,0.05550,1.57230,0.51070,1.06160,1.06160,,1.06160,1.70600,1.51680,16.00400,16.33600,0.07000,0.06000,15.11880,84.00390,48.64590,48.64590,50.42430,34.04540,0.19930,,1.18760,75.78010,7.62580,7.66300,6.78680,7.62580,0.86890,0.0518,0.0318
2012-11-30,2.29010,0.38690,1.90320,0.18030,0.93110,1.11140,0.79180,0.10380,0.89560,0.30860,0.58700,0.58700,,0.58700,0.98650,0.79180,15.92800,16.36600,0.04000,0.04000,18.64890,83.10680,34.57630,34.57630,39.10820,25.63150,0.13850,,1.13650,79.19230,3.92070,3.93900,3.55110,3.92070,0.93990,-0.01600,-0.03210
2012-08-31,1.63990,0.32350,1.31640,0.36240,0.67190,1.03430,0.28210,0.05730,0.33940,-0.00950,0.34900,0.34900,,0.34900,0.48930,0.28210,15.76400,16.15200,0.03000,0.03000,10.36450,80.27480,17.20340,17.20340,20.69860,21.27860,0.09450,,1.11500,80.71590,2.30440,2.31530,2.01160,2.30440,0.95070,0.0565,0.0419
2012-05-31,2.77150,0.43770,2.33380,0.22820,0.89110,1.11930,1.21450,0.07740,1.29190,0.42250,0.86930,0.86930,,0.86930,1.39810,1.21450,15.91900,16.34100,0.05000,0.05000,8.15250,84.20590,43.82000,43.82000,46.61220,31.36690,0.15050,,1.08380,83.03790,5.57130,5.59760,4.72150,5.57130,0.97990,0.0856,0.0691
2012-02-29,2.78920,0.39660,2.39270,0.26460,0.95630,1.22090,1.17180,0.08780,1.25960,0.42100,0.83860,0.83860,,0.83860,1.32910,1.17180,15.63600,15.99500,0.05000,0.05000,6.27920,85.78220,42.01000,42.01000,45.15810,30.06490,0.14890,,1.08700,82.79770,5.43640,5.46300,4.47530,5.43640,0.97160,0.0432,0.0261
2011-11-30,2.24800,0.35240,1.89560,0.09240,0.85970,0.95200,0.94350,0.12030,1.06380,0.30870,0.75510,0.75510,0.21590,0.97100,1.11080,0.94350,15.57300,16.13000,0.06000,0.06000,13.25800,84.32490,41.97320,41.97320,47.32270,43.19570,0.13250,,1.33570,67.38040,5.00470,5.00500,4.45230,5.00470,0.96880,0.04900,0.15340
2011-08-31,2.12000,0.34000,1.78000,0.25000,1.07000,1.32000,0.46000,0.07000,0.17000,,0.17000,0.18600,,0.18600,0.67870,0.46000,18.60000,18.60000,0.01000,0.01000,11.63320,73.11320,21.69810,21.69810,8.01890,8.77360,0.13360,,1.31180,68.60850,1.32510,1.32530,1.17220,1.32510,0.90130,0.001,-0.017
2011-05-31,2.63950,0.45390,2.18560,0.09950,0.77810,0.87760,1.30800,0.05760,1.36560,0.32120,1.04450,1.04450,0.00970,1.05410,1.47690,1.30800,15.44700,16.04000,0.07000,0.07000,7.91380,82.80340,49.55500,49.55500,51.73770,39.93710,0.16160,1.19450,0.98860,91.03970,7.57180,7.56470,6.39590,7.56850,,0.0908,0.0767
2011-02-28,2.62170,0.41280,2.20890,0.23390,0.66560,0.89950,1.30940,0.02890,1.33830,0.46730,0.87090,0.87090,0.03650,0.90750,1.47620,1.30940,15.47300,16.21800,0.06000,0.05000,8.49320,84.25530,49.94390,49.94390,51.04620,34.61440,0.17740,0.82560,1.09240,82.38970,6.88820,6.88770,5.89270,6.88500,,0.0576,0.0422
2010-11-30,2.05040,0.35370,1.69680,0.20080,0.68610,0.88680,0.81000,0.02400,0.83390,0.25720,0.57680,0.57680,-0.00930,0.56750,0.99560,0.81000,15.69100,16.52500,0.04000,0.03000,10.79820,82.75210,39.50250,39.50250,40.67110,27.67670,0.14580,0.68010,1.20610,74.61840,4.62390,4.62430,4.10230,4.62170,,0.03820,0.02870
2010-08-31,2.21000,0.55000,1.66000,0.23000,1.13000,1.36000,0.30000,0.03900,0.36000,0.01000,0.35000,0.34500,0.00000,0.34500,0.48000,0.30000,16.42900,16.42900,0.02000,0.02000,10.32500,75.11310,13.57470,13.57470,16.28960,15.61090,0.15080,1.00000,1.50340,59.86430,2.64490,2.64570,2.35330,2.64570,,0.0202,0.0064
2010-05-31,3.11900,0.69000,2.42900,0.23000,1.11000,1.34000,1.08900,0.04000,1.11000,0.37000,0.74000,0.74000,0.00000,0.74000,1.25900,1.08900,16.02300,16.83000,0.05000,0.04000,9.20150,77.58900,34.91500,34.91500,35.58830,23.72560,0.21420,1.72500,1.33860,67.23310,5.78850,5.79030,5.08240,5.78580,,0.044,0.0302
2010-02-28,2.95000,0.70000,2.25000,0.25000,1.08000,1.33000,0.92000,0.06000,0.97000,0.33000,0.64000,0.64100,0.00000,0.64100,1.09000,0.92000,15.82600,16.55800,0.04000,0.04000,8.86820,76.27120,31.18640,31.18640,32.88140,21.72880,0.21680,2.12120,1.45320,61.93220,5.59580,5.59830,4.70980,5.59340,,0.0551,0.0392
2009-11-30,2.43700,0.60000,1.83700,0.26000,1.00000,1.26000,0.57700,0.09000,0.66000,0.23000,0.43000,0.43000,0.00000,0.43000,0.73700,0.57700,15.64900,16.77500,0.03000,0.03000,8.81150,75.09230,23.67670,23.67670,27.08250,17.64470,0.19010,1.62160,1.33170,67.58310,3.98000,3.98150,3.35410,3.97780,,0.05720,0.04410
2009-08-31,1.84000,0.71000,1.13000,0.12000,0.98000,1.10000,0.03000,0.07000,0.14000,-0.03000,0.17000,0.16300,0.00000,0.16300,0.18000,0.03000,20.40000,13.60000,0.01000,0.01000,11.03230,62.50000,1.63040,1.63040,7.60870,8.85870,0.14960,2.21880,0.93880,95.86960,1.54300,1.54500,1.32520,1.54210,,0.088,0.0665
2009-05-31,2.71400,0.54000,2.17400,0.33000,0.98000,1.31000,0.86400,0.04000,0.88000,0.31000,0.57000,0.56900,0.00000,0.56900,1.00400,0.86400,16.05100,16.92600,0.04000,0.03000,10.26670,79.95580,31.83490,31.83490,32.42450,20.96540,0.21250,1.45950,1.02800,87.54610,5.20400,5.21060,4.45580,5.20590,,0.008,-0.0005
2009-02-28,2.45700,0.55000,1.90700,0.36000,1.03000,1.39000,0.51700,0.05000,0.55000,0.19000,0.36000,0.36800,0.00000,0.36800,0.64700,0.51700,16.26900,17.10800,0.02000,0.02000,7.70290,77.33010,21.04190,21.04190,22.38500,14.97760,0.19450,1.41030,1.12710,79.85350,3.52320,3.52830,2.91370,3.52150,,0.0871,0.0649
