Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2020-09-30,,,,1.05040,1.77790,,,-2.85880,0.33940,-2.51940,-0.12280,-2.39660,-2.39660,-2.39660,-2.75430,-2.85880,46.60510,46.60510,-0.05000,-0.05000,7.28880,0.03440,0.03560,,,,,,,,-1.45930,103.72040,-1.36840,-1.40900,3.52150,-0.05910,-0.05910
2020-06-30,,,,1.30540,1.49810,,,-2.83310,-1.26500,-4.09820,,-4.09820,-4.09820,-4.09820,-2.58950,-2.83310,46.33070,46.33070,-0.09000,-0.09000,6.69850,0.03360,0.03480,,,,,,,,-2.46470,1523.15000,-2.30100,-2.38190,3.57600,-0.0483,-0.0484
2020-03-31,,,,2.30730,1.48660,,,-3.82970,2.31520,-1.51450,,-1.51450,-1.51450,-1.51450,-3.94150,-3.82970,46.27560,46.27560,-0.03000,-0.03000,11.59880,0.03240,0.03350,,,,,,,,-0.88970,-41.15520,-0.83900,-0.86080,3.66100,-0.0829,-0.0839
2019-12-31,,,,0.56150,2.23530,,,-2.81850,1.09800,-1.72050,,-1.72050,-1.72050,-1.72050,-2.78920,-2.81850,46.27520,46.27520,-0.04000,-0.04000,8.31420,,,,,,,,,,-1.00450,-36.34020,-0.96460,-1.00450,3.69910,-0.0557,-0.057
2019-09-30,,,,0.52020,1.90080,,,-2.44250,-1.64070,-4.08320,,-4.08320,-4.08320,-4.08320,-2.42100,-2.44250,46.24130,46.24130,-0.09000,-0.09000,8.61480,,,,,,,,,,-2.37140,-72.54220,-2.26060,-2.37140,3.72090,-0.03890,-0.04040
2019-06-30,,,,0.48530,1.63660,,,-2.11010,3.28080,1.17070,,1.17070,1.17070,1.17070,-2.05980,-2.11010,37.55210,37.55210,0.05000,0.05000,11.25250,,,,,,,,,,0.67630,17.89410,0.65090,0.67630,3.82340,-0.0569,-0.0562
2019-03-31,,,,0.73030,1.95170,,,-2.68590,-0.04420,-2.73010,,-2.73010,-2.73010,-2.73010,-2.68190,-2.68590,37.07020,37.07020,-0.07000,-0.07000,6.91620,,,,,,,,,,-1.89630,19.57190,-1.61250,-1.89630,3.71160,-0.0714,-0.0735
2018-12-31,,,,0.78900,3.58010,,,-4.38110,-11.72590,-16.10710,,-16.10710,-16.10710,-16.10710,-4.36910,-4.38110,36.17240,36.17240,-0.45000,-0.45000,8.09860,,,,,,,,,,-10.83070,144.09480,-9.25920,-10.83070,3.83400,-0.0485,-0.0577
2018-09-30,,,,0.49360,1.25190,-0.06200,,-1.81290,1.46290,-0.35010,,-0.35010,-0.35010,-0.35010,-1.80750,-1.81290,36.17090,36.17090,-0.01000,-0.01000,17.26060,,,,,,,,,,-0.22790,4.27520,-0.19910,-0.22790,4.24580,-0.04970,-0.05820
2018-06-30,,,,0.10540,0.85090,0.02170,,-0.18400,-1.96520,-2.15000,-0.10040,-2.04950,-2.04950,-2.04950,-0.93460,-0.18400,21.94050,21.94050,-0.07000,-0.07000,18.04010,,,,,,,,,,-1.29120,26.15130,-1.12300,-1.29120,4.38940,-0.0877,-0.0879
2018-03-31,,,,0.13790,1.97960,-0.35980,,-3.23860,0.27130,-2.96490,-0.00470,-2.96020,-2.96020,-2.96020,-2.47730,-3.23860,24.79020,24.79020,-0.12000,-0.12000,18.83430,,,,,,,,,,-2.06490,-18.24940,-2.05190,-2.06490,3.96410,-0.0382,-0.0394
2017-12-31,,,,0.22000,0.66820,-0.38890,,-1.28100,0.20280,-1.07830,-0.00190,-1.07630,-1.07630,-1.07630,-1.27710,-1.28100,13.84710,13.84710,-0.08000,-0.08000,1.21150,,0.11300,,,,,,,,-58.09690,-62.22090,-13.75150,-58.09690,0.13320,-0.0318,-0.0318
2017-09-30,,,,0.15370,0.40100,-0.06720,,-0.62580,0.39690,-0.23040,-0.00460,-0.22580,-0.22580,-0.22580,-0.62180,-0.62580,12.68580,12.68580,-0.02000,-0.02000,3.32280,,0.17970,,,,,,,,-8.18060,-8.56770,-6.08340,-8.18060,0.20100,-0.04000,-0.04000
2017-06-30,,,,0.01560,0.21180,-0.41730,,-0.64830,0.43310,-0.18240,0.00250,-0.18490,-0.18490,-0.18490,-0.64470,-0.64830,12.26640,12.26640,0.04000,0.04000,1.40460,,1.36350,,,,,,,,-12.06170,-13.12710,-4.08820,-12.06170,0.12330,-0.0248,-0.0248
2017-03-31,,,,0.01630,0.16850,-0.16270,,-0.35100,0.10290,-0.26020,-0.01410,-0.24620,-0.24620,-0.24620,-0.34750,-0.35100,9.53330,9.53330,-0.03000,-0.03000,0.11800,,-0.27400,,,,,,,,15.32730,14.26130,-64.39460,15.32730,-0.16850,-0.0029,-0.0029
2016-12-31,,,,0.01380,0.34860,-0.18280,,-0.54880,-0.37080,-0.93140,-0.01280,-0.91860,-0.91860,-0.91860,-0.54520,-0.54880,9.53330,9.53330,-0.10000,-0.10000,0.20040,-0.31770,-0.32150,,,,,,,,71.53380,65.33280,-213.15050,94.26110,-0.13470,-0.0341,-0.0341
2016-09-30,,,,0.01710,0.83140,,,-0.85230,0.02760,-0.83370,-0.04050,-0.79320,-0.79320,-0.79320,-0.84850,-0.85230,9.53330,9.53330,-0.08000,-0.08000,0.55640,-0.71470,-0.54650,,,,,,,,99.39790,85.24360,-83.96260,170.43910,-0.08370,-0.03420,-0.03420
2016-06-30,0.00020,0.00000,0.00020,0.18890,0.44590,-0.03260,0.67120,-0.67100,-0.14840,-0.82060,-0.06500,-0.75560,-0.75560,-0.75560,-0.66490,-0.67100,9.53330,9.53330,-0.08000,-0.08000,0.48570,,-0.16140,,,,,,0.00030,0.00040,118.54420,97.73090,-86.76750,118.54410,-0.06690,-0.0325,-0.0325
2016-03-31,,,,0.23590,0.25750,-0.01660,,-0.51360,0.27340,-0.24140,-0.03380,-0.20760,-0.20760,-0.20760,-0.51220,-0.51360,9.53330,9.53330,-0.02000,-0.02000,0.80000,,-1.62030,,,,,,,,327.43490,100.68640,-21.16880,327.43300,-0.00660,-0.0083,-0.0083
2015-12-31,0.04250,0.00520,0.03730,0.27760,0.32160,-0.01700,0.63230,-0.59490,-0.16580,-0.76190,-0.34010,-0.42180,-0.42180,-0.42180,-0.57890,-0.59490,9.53330,9.53330,-0.04000,-0.04000,,,,87.66840,-1399.03600,-1399.03600,-1791.60300,-991.83060,,,,,,,,-0.07,-0.07
2015-09-30,,,,0.10180,0.20490,-0.03080,,-0.34140,-0.03160,-0.37420,-0.02390,-0.35030,-0.35030,-0.35030,-0.33750,-0.34140,9.53330,9.53330,-0.04000,-0.04000,1.54650,,0.14120,,,,,,,,-48.85510,-62.92160,-20.23650,-48.85510,0.07520,-0.04360,-0.04360
2015-03-31,,0.04460,-0.04460,0.15180,0.37300,-0.29200,0.82090,-0.86550,-0.38480,-1.25330,,-1.25330,-1.25330,-1.25330,-0.86550,-0.86550,9.53330,9.53330,-0.13000,-0.13000,,,,,,,,,,,,,,,,-0.3604,-0.3604
2014-12-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0.059,0.059
2014-09-30,,0.14350,-0.14350,,0.24040,-0.12510,0.37020,-0.51370,-0.01940,-0.53310,0.00210,-0.53520,-0.53520,-0.53520,-0.50900,-0.51370,8.08100,8.08100,-0.07000,-0.07000,0.47540,,-0.67640,,,,,,,,22.47680,20.74210,-20.97370,22.47680,-0.29090,-0.05900,-0.05900
2014-06-30,,0.06430,-0.06430,,,-0.07980,,-0.56810,,-0.60240,-0.13300,,,-0.46950,,,8.04000,8.04000,-0.06000,-0.06000,0.12620,,-0.65250,,,,,,,,,,,,-0.32720,-0.0798,-0.0798
2013-12-31,,,,,,,,,,0.00000,0.00000,,0.00000,,0.01170,,,,,0.00000,0.06630,,-0.43230,,,,,,,,,,,,-0.28070,0.3398,0.3398
2013-09-30,0.00090,0.01620,-0.01530,,0.26430,-0.05830,0.32400,-0.33930,-0.03230,-0.37150,,-0.37150,-0.37150,-0.37150,-0.32090,-0.33930,5.31820,5.31820,-0.07000,-0.07000,,,,,,,,,,,,,,,,-0.33980,-0.33980
2013-06-30,,0.03690,-0.03690,,,-0.05690,,-0.24280,,-0.34390,,,,-0.34390,,,5.31820,5.31820,-0.06000,-0.06000,,,,,,,,,,,,,,,,-0.2452,-0.2452
2012-12-31,,,,0.00000,,,,,,0.00000,0.00000,,0.00000,,,,,,,0.00000,0.05080,-0.69660,-0.43490,,,,,,,,,,,,-0.82130,0,0
