Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,44.30000,24.40000,19.90000,66.50000,-26.00000,92.50000,-72.60000,-72.60000,2.20000,-74.80000,-74.80000,-74.80000,-68.60000,-72.60000,61.69900,61.69900,-1.21000,-1.21000,,-163.88260,-163.88260,-163.88260,-168.84880,0.02960,-8.19550,-8.20090,-5.00200,-8.19550,14.77840,-0.64020,-0.68560
2021-12-31,41.00000,24.90000,16.10000,60.30000,-24.20000,84.50000,-68.40000,-68.40000,1.90000,-70.30000,-70.30000,-70.30000,-69.90000,-68.40000,61.22400,61.22400,-1.15000,-1.15000,,-166.82930,-166.82930,-166.82930,-171.46340,0.02710,-7.11390,-7.11830,-4.65410,-7.11390,16.02630,-0.824,-0.8574
2021-09-30,35.70000,17.50000,18.20000,61.80000,-20.60000,82.40000,-64.20000,-64.20000,2.20000,-66.40000,-66.40000,-66.40000,-64.90000,-64.20000,61.58000,61.58000,-1.08000,-1.08000,,-179.83190,-179.83190,-179.83190,-185.99440,0.02350,-6.33590,-6.33950,-4.36350,-6.33590,17.00860,-0.6183,-0.662
2021-06-30,28.20000,13.00000,15.20000,48.90000,-19.20000,68.10000,-52.90000,-52.90000,2.70000,-55.60000,-55.60000,-55.60000,-52.10000,-52.90000,61.44500,61.44500,-0.90000,-0.90000,,-187.58860,-187.58860,-187.58870,-197.16310,0.01900,-5.04720,-5.05000,-3.73830,-5.04720,17.90290,-0.2503,-0.2936
2021-03-31,23.50000,16.50000,7.00000,43.20000,-11.90000,55.10000,-48.10000,-48.10000,0.90000,-49.00000,-49.00000,-49.00000,-47.20000,-48.10000,60.21900,60.21900,-0.81000,-0.81000,,-204.68080,-204.68080,-204.68080,-208.51060,0.01590,-4.28430,-4.28660,-3.31640,-4.28430,18.63610,-0.66920,-0.70240
2020-12-31,20.50000,9.30000,11.20000,34.60000,-10.00000,44.60000,-33.40000,-33.40000,0.50000,-33.90000,-33.90000,-33.90000,-32.80000,-33.40000,33.65500,33.65500,1.87000,1.87000,,-162.92670,-162.92670,-162.92680,-165.36580,0.02470,-6.26620,-6.27310,-4.09070,-6.26620,9.52900,-1.4098,-1.4831
2020-09-30,17.80000,6.70000,11.10000,32.80000,-8.80000,41.60000,-30.50000,-30.50000,0.40000,-30.90000,-30.90000,-30.90000,-30.20000,-30.50000,53.99700,53.99700,-0.57000,-0.57000,,-171.34830,-171.34830,-171.34830,-173.59550,0.02140,-5.43060,-5.43630,-3.71620,-5.43060,10.05590,1.6535,1.7559
2020-06-30,29.90000,20.50000,9.40000,21.90000,-8.20000,30.10000,-20.70000,-20.70000,0.30000,-21.00000,-21.00000,-21.00000,-20.40000,-20.70000,11.89200,11.89200,-1.77000,-1.77000,,-69.23080,-69.23080,-69.23080,-70.23410,0.07480,9.47650,-8.13950,-5.25130,-8.12060,20.90540,-1.2876,-1.3867
2020-03-31,26.20000,18.20000,8.00000,37.40000,-6.80000,44.20000,-36.20000,-36.20000,0.30000,-36.50000,-36.50000,-36.50000,-36.10000,-36.20000,11.54200,11.54200,-3.16000,-3.16000,,-138.16790,-138.16790,-138.16790,-139.31300,,,,,,,-1.68080,-1.74150
2019-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,5.403,5.6713
2019-09-30,19.00000,12.60000,6.40000,32.30000,-5.10000,37.40000,-31.00000,-31.00000,0.10000,-31.10000,-31.10000,-31.10000,-30.80000,-31.00000,11.17900,11.17900,-2.78000,-2.78000,,-163.15790,-163.15790,-163.15790,-163.68420,,,,,,,-1.9983,-2.1402
2019-06-30,13.80000,9.90000,3.90000,22.60000,-4.30000,26.90000,-23.00000,-23.00000,0.10000,-23.10000,-23.10000,-23.10000,-23.00000,-23.00000,11.07300,11.07300,-2.09000,-2.09000,,-166.66670,-166.66670,-166.66670,-167.39130,,,,,,,-3.4047,-3.5311
2018-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,0,0
