Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,operating-cash-flow-per-share,free-cash-flow-per-share
2013-12-31,46.69000,27.51000,19.18000,12.38000,12.38000,6.80000,-1.79000,7.88000,5.86000,2.02000,2.16900,0.00000,2.16900,6.80000,6.80000,4.49450,4.49450,0.50000,0.50000,1.10670,0.11780,0.44630,47.22640,14.56410,14.56410,16.87730,4.64550,0.06900,8.46460,0.90050,99.94650,0.53950,0.64870,0.32080,0.47600,9.5183,4.2941
2013-09-30,38.23000,23.87000,14.36000,6.93000,6.93000,7.43000,-0.25000,7.17000,2.48000,4.69000,4.32300,0.00000,4.32300,7.43000,7.43000,4.50070,4.50070,1.00000,1.00000,1.23250,0.13610,0.39900,37.53600,19.43500,19.43500,18.75490,11.30790,0.06010,6.74290,0.85450,105.32570,1.09340,1.32210,0.67930,0.94460,0,0
2013-06-30,41.39300,24.25000,17.14300,9.12000,9.12000,8.02300,-0.26000,7.75000,2.45000,5.30000,4.73700,0.00000,4.73700,8.02300,8.02300,4.50560,4.50560,1.10000,1.10000,1.15930,0.13810,0.42910,41.38380,19.38250,19.38250,18.72300,11.44400,0.06510,10.27540,1.01880,88.34100,1.21560,1.47820,0.74520,1.04770,0,0
2013-03-31,32.83300,21.32000,11.51300,6.74000,6.74000,4.77300,0.04000,4.80000,1.74000,3.06000,3.16900,0.00000,3.16900,4.77300,4.77300,4.50980,4.50980,0.70000,0.70000,1.12030,0.13970,0.42950,35.02570,14.53720,14.53720,14.61940,9.65190,0.05330,10.98970,0.93490,96.26900,0.83450,1.02130,0.51400,0.71790,0.00000,
2012-12-31,35.75100,21.05000,14.70100,5.67000,5.67000,9.03100,0.80000,9.18000,3.88000,5.30000,1.33000,0.00000,1.33000,9.03100,9.03100,4.52980,4.52980,1.10000,1.10000,0.99250,0.11390,0.37500,39.29960,25.26080,25.26080,25.67760,3.72020,0.06080,15.14390,1.05300,85.46610,0.35410,0.43600,0.22610,0.31380,9.1947,1.6093
2012-09-30,32.78700,19.31000,13.47700,4.72000,4.72000,8.75700,-0.42000,8.33000,2.05000,6.28000,5.98800,0.00000,5.98800,8.75700,8.75700,4.57950,4.57950,1.30000,1.30000,1.47740,0.10610,0.20030,41.08340,26.70880,26.70880,25.40640,18.26330,0.06450,5.92330,0.97380,92.42380,1.60420,1.99420,1.17750,1.43400,0,0
2012-06-30,21.49100,6.71000,14.78100,5.82000,5.82000,8.96100,-0.26000,8.69000,2.66000,6.03000,5.85800,0.00000,5.85800,8.96100,8.96100,4.63590,4.63590,1.30000,1.30000,2.48810,0.07730,0.13520,68.72650,41.69650,41.69650,40.43550,27.25790,0.05440,,0.54530,165.04120,1.78590,1.89220,1.48170,1.64770,0,0
2012-03-31,16.94800,7.05000,9.89800,3.96000,3.96000,5.93800,-0.57000,5.36000,1.39000,3.97000,3.84100,0.00000,3.84100,5.93800,5.93800,4.68490,4.68490,0.80000,0.80000,3.06740,0.07260,0.12750,58.35500,35.03660,35.03660,31.62620,22.66340,0.04350,,0.45740,196.74890,1.17890,1.25520,0.98560,1.09330,0.00000,
2011-12-31,18.13600,7.58000,10.55600,12.74000,12.74000,-2.18400,-46.82000,-47.63000,1.25000,-48.88000,-49.31900,0.00000,-49.31900,-2.18400,-2.18400,4.73160,4.73160,-10.40000,-10.40000,3.38640,0.05160,0.10150,65.50510,-12.04240,-12.04240,-262.62680,-271.93980,0.04770,,0.46750,192.49560,-15.23080,-16.25920,-12.96910,-14.44400,4.6031,3.9881
2011-09-30,19.55500,6.55000,13.00500,3.92000,3.92000,9.08500,-0.44000,8.61000,2.60000,6.01000,5.81700,0.00000,5.81700,9.08500,9.08500,4.74510,4.74510,1.30000,1.30000,3.38470,0.00770,0.04010,66.47920,46.45870,46.45870,44.02970,29.74690,0.04750,,0.51370,175.21350,1.57910,1.93830,1.41330,1.56700,0,0
2011-06-30,19.16100,6.20000,12.96100,4.42000,4.42000,8.54100,-0.56000,7.95000,2.16000,5.79000,5.56000,0.00000,5.56000,8.54100,8.54100,4.74510,4.74510,1.20000,1.20000,4.76310,0.00900,0.03500,67.58520,44.57490,44.57490,41.49050,29.01730,0.04780,,0.54140,166.22830,1.51980,1.86880,1.38740,1.50610,0,0
2011-03-31,13.34800,4.99000,8.35800,3.04000,3.04000,5.31800,-0.45000,4.85000,1.35000,3.50000,3.41400,0.00000,3.41400,5.31800,5.31800,4.74510,4.74510,0.70000,0.70000,4.69310,0.01510,0.04460,62.55620,39.84120,39.84120,36.33500,25.57690,0.03400,,0.48150,186.90440,0.96110,1.18540,0.86930,0.94660,0.00000,
2010-12-31,17.10100,5.08000,12.02100,4.78000,4.78000,7.24100,0.33300,8.59000,1.66000,6.93000,6.38800,0.00000,6.38800,7.24100,7.24100,4.86290,4.86290,1.30000,1.30000,3.24000,0.02140,0.08590,76.19440,42.34260,42.34260,50.23100,37.35450,0.04230,,0.66640,135.04470,1.83160,2.27210,1.58080,1.79240,5.9491,2.5931
2010-09-30,15.10200,5.10000,10.00200,2.58000,2.58000,7.42200,-0.56000,6.84000,1.85000,4.99000,4.99500,0.00000,4.99500,7.42200,7.42200,4.87000,4.87000,1.00000,1.00000,4.36110,0.02610,0.06050,66.15020,49.14580,49.14580,45.29200,33.07510,0.03900,,0.67600,133.13470,1.45680,1.84840,1.28950,1.41880,0,0
2010-06-30,14.66400,4.45000,10.21400,3.26000,3.26000,6.95400,-0.29300,6.65000,1.89000,4.76000,4.75500,0.00000,4.75500,6.95400,6.95400,4.91520,4.91520,1.00000,1.00000,5.32460,0.03590,0.07790,69.62630,47.42230,47.42230,45.34920,32.42640,0.03910,,0.72520,124.09980,1.45950,1.84910,1.26850,1.40710,0,0
2010-03-31,11.16100,3.96000,7.20100,2.58000,2.58000,4.62100,-0.21000,4.40000,1.24000,3.16000,3.16100,0.00000,3.16100,4.62100,4.62100,4.91520,4.91520,0.60000,0.60000,7.77800,0.06020,0.09240,64.42080,41.40310,41.40310,39.42300,28.32180,0.03030,,0.67720,132.89130,0.99080,1.24800,0.85790,0.93120,0.00000,
2009-12-31,12.69300,,12.69300,,,12.69300,,12.69300,,12.69300,5.24700,0.00000,5.24700,12.69300,12.69300,8.71730,8.71730,0.30000,0.30000,8.36690,0.04890,0.07500,100.00000,100.00000,100.00000,100.00000,41.33780,0.03550,,0.77820,115.64640,1.66300,2.10900,1.46560,1.58160,2.2828,0.4933
2009-09-30,11.46900,,11.46900,,,11.46900,,11.46900,,11.46900,5.06900,0.00000,5.06900,11.46900,11.46900,5.63220,5.63220,0.90000,0.90000,,,,100.00000,100.00000,100.00000,100.00000,44.19740,,,,,,,,,0,0
2009-06-30,10.57600,,10.57600,,,10.57600,,10.57600,,10.57600,4.84900,0.00000,4.84900,10.57600,10.57600,6.06130,6.06130,0.80000,0.80000,,,,100.00000,100.00000,100.00000,100.00000,45.84910,,,,,,,,,0,0
2009-03-31,8.19900,,8.19900,,,8.19900,,8.19900,,8.19900,3.24800,0.00000,3.24800,8.19900,8.19900,5.41330,5.41330,0.60000,0.60000,,,,100.00000,100.00000,100.00000,100.00000,39.61460,,,,,,,,,0.00000,
