Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2021-12-31,24.10100,24.10100,1.11500,-15.31500,2.92500,2.92500,0.47700,2.44800,50.23800,50.23800,8.23100,7.67100,24.43700,24.43700,2.06000,2.06000,0.43490,0.75040,100.00000,12.13640,31.82860,12.13640,208.44780,0.02690,2.92810,30.73690,10.29970,10.29970,5.59950,10.29970,19.96010,2.8249,2.8249
2021-09-30,21.22900,21.22900,1.15900,-10.29000,5.11800,5.11800,,5.11800,28.44200,28.44200,10.31800,9.78000,24.43700,24.43700,1.16000,1.16000,0.28570,0.78720,100.00000,24.10850,46.06910,24.10850,133.97710,0.02560,2.57450,34.95880,6.35510,6.35510,3.43600,6.35510,18.31420,2.2474,2.2474
2021-06-30,21.82600,21.82600,1.13800,-9.61900,6.50700,6.50700,0.03400,6.47300,25.88600,25.88600,11.60300,11.06900,24.43700,24.43700,1.06000,1.06000,0.16980,0.81840,100.00000,29.81310,50.71470,29.81310,118.60170,0.02700,2.81010,32.02740,6.02890,6.02890,3.20500,6.02890,17.57040,0.0184,0.0184
2021-03-31,23.29000,23.29000,1.08100,-5.93600,11.07900,11.07900,-0.00200,11.08100,11.53800,11.53800,16.85600,16.27300,24.43700,24.43700,0.47000,0.47000,0.18760,0.84190,100.00000,47.56980,69.87120,47.56980,49.54060,0.02980,3.28440,27.40190,2.79360,2.79360,1.47760,2.79360,16.90110,1.78010,1.78010
2020-12-31,23.63000,23.63000,1.34900,-10.55000,6.75400,6.75400,0.71600,6.03800,29.50300,29.51700,12.32200,11.73100,24.44200,24.44200,-0.61000,1.20000,0.28580,1.07910,100.00000,28.58230,49.64450,28.58230,124.91320,0.02700,3.13060,28.74820,7.18250,7.18250,3.36890,7.18250,16.80890,0.3611,0.3611
2020-09-30,21.07700,21.07700,0.93700,-8.35800,6.90400,6.90400,0.00200,6.90200,20.70700,20.70700,12.36400,11.78200,24.43700,24.43700,0.85000,0.85000,0.09170,0.88200,100.00000,32.75610,55.89980,32.75610,98.24450,0.02820,2.98080,30.19360,5.31560,5.31560,2.76720,5.31560,15.94110,1.7285,1.7285
2020-06-30,20.43300,20.43300,1.51800,-4.62000,9.43200,9.43200,0.14100,9.29100,7.98700,7.97300,14.84300,14.29500,24.43700,24.43700,0.33000,0.33000,0.07480,0.98980,100.00000,46.16060,69.96040,46.16060,39.02020,0.02680,2.48940,36.15330,2.12320,2.12320,1.04890,2.12320,15.39370,-0.3375,-0.3375
2020-03-31,19.98300,19.98300,1.35400,3.75100,17.42000,17.42000,0.00300,17.41700,-26.97100,-26.97100,22.93000,22.38000,24.45760,24.45760,0.71000,-1.10000,0.08910,0.96960,100.00000,87.17410,111.99520,87.17410,-134.96970,0.02660,3.67200,24.50980,-7.18200,-7.18200,-3.58400,-7.18200,15.36740,0.53750,0.53750
2019-12-31,19.50700,19.50700,0.98500,-7.75700,5.89000,5.89000,0.52500,5.36500,19.99700,19.99700,11.30200,10.76500,24.46300,24.46300,0.82000,0.82000,0.05970,0.86000,100.00000,30.19430,55.18530,30.19430,102.51190,0.02470,3.08120,29.20950,4.85000,4.85000,2.53310,4.85000,16.85440,-0.4721,-0.4721
2019-09-30,19.20100,19.20100,0.84900,-6.64900,7.28200,7.28200,-0.08000,7.36200,13.89500,13.89500,12.16000,11.70300,24.46300,24.46300,0.57000,0.57000,0.07190,0.83040,100.00000,37.92510,60.94990,37.92510,72.36600,0.02540,2.96170,30.38750,3.44930,3.44930,1.84100,3.44930,16.46700,-0.7311,-0.7311
2019-06-30,18.06800,18.06800,1.29400,-3.02600,9.69600,9.69600,0.05300,9.64300,3.20200,3.20200,14.19100,13.74800,24.46300,24.46300,0.13000,0.13000,0.08740,0.77990,100.00000,53.66390,76.09030,53.66390,17.72190,0.02490,3.06340,29.37900,0.80360,0.80360,0.44110,0.80360,16.28900,-0.9314,-0.9314
2019-03-31,20.33000,20.33000,1.29400,-5.71100,9.60100,9.60100,0.00200,9.59900,11.37200,11.37200,13.74000,13.32500,24.46300,24.46300,0.46000,0.46000,0.11450,0.69740,100.00000,47.22580,65.54350,47.22580,55.93700,0.02880,2.78190,32.35220,2.80920,2.80920,1.61340,2.80920,16.54810,-0.67490,-0.67490
2018-12-31,22.20800,22.20800,0.93000,-5.91900,11.78400,11.78400,0.69200,11.09200,11.98200,11.98200,15.71500,15.35900,24.47200,24.47200,0.49000,0.49000,0.17500,0.67370,100.00000,53.06200,69.15980,53.06200,53.95350,0.03200,2.95010,30.50790,2.97330,2.97330,1.72680,2.97330,16.47330,1.5728,1.5728
2018-09-30,17.87200,17.87200,0.82500,-6.63000,7.31100,7.31100,-0.17000,7.48100,14.80100,14.80100,10.77000,10.41700,24.46300,24.46300,0.61000,0.61000,0.14420,0.73470,100.00000,40.90760,58.28670,40.90760,82.81670,0.02500,2.96680,30.33570,3.68620,3.68620,2.07440,3.68620,16.41340,-0.2611,-0.2611
2018-06-30,18.11200,18.11200,1.31300,-4.72800,9.02500,9.02500,0.06700,8.95800,7.64400,7.64400,12.41500,12.07100,24.46300,24.46300,0.31000,0.31000,0.11210,0.66790,100.00000,49.82880,66.64640,49.82880,42.20410,0.02670,2.81150,32.01080,1.92900,1.92900,1.12790,1.92900,16.19840,-0.2531,-0.2531
2018-03-31,18.23300,18.23300,1.20400,-6.43900,7.65800,7.65800,0.13100,7.52700,15.02500,15.02500,10.90700,10.59000,24.49800,24.49800,0.61000,0.61000,0.14660,0.64660,100.00000,42.00080,58.08150,42.00080,82.40550,0.02710,2.96230,30.38170,3.77360,3.77360,2.23450,3.77360,16.27590,-0.72560,-0.72560
2017-12-31,17.06800,17.06800,1.08900,-5.68400,7.96800,7.96800,0.19100,7.77700,12.40700,12.40700,10.49300,10.29500,23.52700,23.52700,0.52000,0.52000,0.19750,0.60480,100.00000,46.68390,60.31760,46.68390,72.69160,0.02640,2.30310,39.07840,3.15480,3.15480,1.91980,3.15480,16.04670,-0.9031,-0.9031
2017-09-30,18.04800,18.04800,0.87000,-5.49400,9.19300,9.19300,0.00400,9.18900,12.05500,12.05500,12.01600,11.68400,24.48200,24.48200,0.49000,0.49000,0.24120,0.54090,100.00000,50.93640,64.73850,50.93640,66.79410,0.02940,3.03380,29.66590,3.08180,3.08180,1.96060,3.08180,15.97060,0.1326,0.1326
2017-06-30,17.27100,17.27100,1.01200,-4.88700,8.97100,8.97100,0.02900,8.94200,9.95700,9.95700,11.65600,11.37200,22.65400,22.65400,0.44000,0.44000,0.25090,0.54730,100.00000,51.94260,65.84450,51.94260,57.65160,0.02810,3.84480,23.40800,2.56340,2.56340,1.62140,2.56340,15.86630,-0.2171,-0.2171
2017-03-31,16.22800,16.22800,1.09800,-4.69100,7.85500,7.85500,-0.00400,7.85900,9.53200,9.53200,10.78000,10.43900,22.44700,22.44700,0.42000,0.42000,0.12120,0.54970,100.00000,48.40400,64.32710,48.40400,58.73800,0.02890,3.14980,28.57280,2.68650,2.68650,1.69710,2.68650,15.79890,-0.21100,-0.21100
2016-12-31,17.27500,17.27500,1.01800,-5.36800,8.19700,8.19700,0.35600,7.84100,12.64300,12.64300,11.17700,10.88900,18.28400,18.28400,0.62000,0.62000,0.26740,0.62030,100.00000,47.45010,63.03330,47.45010,73.18670,0.02940,3.91990,22.95980,3.57360,3.57360,2.15480,3.57360,15.76160,-1.9958,-1.9958
2016-09-30,14.43100,14.43100,0.82800,-4.19700,6.75800,6.75800,0.02300,6.73500,8.59400,8.59400,9.68300,9.40600,19.20100,19.20100,0.45000,0.45000,0.21770,0.69950,100.00000,46.82970,65.17910,46.82970,59.55240,0.02790,3.35600,26.81730,2.87090,2.87090,1.66040,2.87090,15.58120,-0.5469,-0.5469
2016-06-30,13.83200,13.83200,1.01900,-5.19500,4.96400,4.96400,0.02100,4.94300,12.79300,12.79300,7.89200,7.61800,17.33000,17.33000,0.74000,0.74000,0.29680,0.70330,100.00000,35.88780,55.07520,35.88780,92.48840,0.02670,2.71480,33.15140,4.29230,4.29230,2.46950,4.29230,15.52320,1.2205,1.2205
2016-03-31,14.69100,14.69100,1.12100,-3.86300,7.10700,7.10700,0.02500,7.08200,7.54000,7.54000,9.98000,9.70700,16.30100,16.30100,0.46000,0.46000,0.08760,0.88610,100.00000,48.37660,66.07450,48.37660,51.32390,0.03090,2.56610,35.07250,3.03150,3.03150,1.58550,3.03150,15.24800,-0.51690,-0.51690
2015-12-31,15.07500,15.07500,0.98300,-3.92900,7.55600,7.55600,0.38100,7.17500,7.83500,7.83500,10.43300,10.16300,16.20100,16.20100,0.47000,0.47000,0.16030,0.90610,100.00000,50.12270,67.41630,50.12270,51.97350,0.03140,3.33520,26.98510,3.16740,3.16740,1.63000,3.16740,15.17470,-0.1897,-0.1897
2015-09-30,13.55700,13.55700,0.81900,-3.28600,7.06400,7.06400,0.01400,7.05000,5.48700,5.48700,9.70600,9.45200,16.26800,16.26800,0.34000,0.34000,0.13700,0.83110,100.00000,52.10590,69.72040,52.10590,40.47360,0.02970,2.48020,36.28680,2.22770,2.22770,1.20030,2.22770,15.12480,-0.3025,-0.3025
2015-06-30,12.79900,12.79900,1.03000,-3.42100,6.04500,6.04500,0.00600,6.03900,6.24600,6.24600,8.60000,8.34800,16.18670,16.18670,0.39000,0.39000,0.12790,0.77030,100.00000,47.23030,65.22390,47.23030,48.80070,0.02870,2.54710,35.33480,2.52950,2.52950,1.40190,2.52950,15.17840,0.0891,0.0891
2015-03-31,12.83800,12.83800,1.10000,-3.39000,6.21800,6.21800,-0.01100,6.22900,6.40900,6.40900,8.58200,8.34800,16.06000,16.06000,0.40000,0.40000,0.14020,0.77370,100.00000,48.43430,65.02570,48.43430,49.92210,0.02920,2.36210,38.10170,2.61950,2.61950,1.45670,2.61950,15.18450,-0.79860,-0.79860
2014-12-31,13.65200,13.65200,1.09100,-3.51400,7.02200,7.02200,0.32100,6.70100,7.37800,7.37800,9.25900,9.04700,14.34600,14.34600,0.48000,0.48000,0.20400,0.75430,100.00000,51.43570,66.26870,51.43570,54.04340,0.03130,3.06100,29.40230,3.03290,3.03290,1.69380,3.03290,15.15560,-2.9145,-2.9145
2014-09-30,11.32400,11.32400,0.94200,-2.78900,5.65900,5.65900,0.03200,5.62700,5.30100,5.30100,7.78900,7.59300,13.83300,13.83300,0.38000,0.38000,0.15990,0.60140,100.00000,49.97350,67.05230,49.97350,46.81210,0.02880,2.29740,39.17430,2.19090,2.19090,1.34850,2.19090,15.17590,-2.0634,-2.0634
2014-06-30,10.58100,10.58100,1.01900,-2.24600,5.52100,5.52100,0.01200,5.50900,3.42800,3.42800,7.45800,7.31600,13.76600,13.76600,0.25000,0.25000,0.32780,0.70000,100.00000,52.17840,69.14280,52.17840,32.39770,0.02940,2.72430,33.03660,1.64910,1.64910,0.95090,1.64910,15.09010,0.3563,0.3563
2014-03-31,10.55900,10.55900,1.13700,-2.20700,5.46200,5.46200,0.01800,5.44400,3.37800,3.37800,7.34600,7.21500,13.75500,13.75500,0.25000,0.25000,0.32810,0.68980,100.00000,51.72840,68.33030,51.72840,31.99170,0.02940,2.86620,31.40070,1.61260,1.61260,0.93920,1.61260,15.21680,-0.34630,-0.34630
2013-12-31,11.24000,11.24000,0.85400,-2.47000,6.12700,6.12700,0.19200,5.93500,4.60900,4.60900,8.04800,7.91600,13.52400,13.52400,0.34000,0.34000,0.38610,0.68440,100.00000,54.51070,70.42710,54.51070,41.00530,0.03060,4.51950,19.91370,2.18310,2.18310,1.25500,2.18310,15.34900,-1.6403,-1.6403
2013-09-30,10.26300,10.26300,0.73700,-2.46300,5.27600,5.27600,0.00200,5.27400,4.53700,4.53700,7.19300,7.06300,13.71800,13.71800,0.33000,0.33000,0.61740,0.65860,100.00000,51.40800,68.82000,51.40800,44.20740,0.02770,3.34850,26.87810,2.06780,2.06780,1.22300,2.06780,15.97560,2.572,2.572
2013-06-30,10.47600,10.47600,0.83100,-4.70400,3.17600,3.17600,0.01200,3.16400,13.42000,13.42000,5.06600,4.94100,13.70000,13.70000,0.98000,0.98000,0.41750,0.65600,100.00000,30.31690,47.16490,30.31690,128.10230,0.02800,2.72530,33.02410,6.09190,6.09190,3.58840,6.09190,16.05970,0.2377,0.2377
2013-03-31,9.81300,9.81300,0.69900,-2.41600,4.96300,4.96300,0.04000,4.92300,4.63700,4.63700,6.82300,6.69800,12.93200,12.93200,0.36000,0.36000,0.44720,0.68240,100.00000,50.57580,68.25640,50.57580,47.25360,0.02720,2.92580,30.76120,2.18970,2.18970,1.28480,2.18970,15.45830,-1.32410,-1.32410
2012-12-31,9.64400,9.64400,0.71700,-2.46500,4.70300,4.70300,-0.01000,4.71300,5.11600,5.11600,6.58600,6.46200,10.18600,10.18600,0.42000,0.42000,0.39530,0.78920,100.00000,48.76610,67.00540,48.76610,53.04850,0.02890,2.91620,30.86170,2.79420,2.79420,1.53240,2.79420,15.31630,-1.3753,-1.3753
2012-09-30,8.98000,8.98000,0.57600,-2.74300,4.01000,4.01000,0.00800,4.00200,6.57700,6.57700,5.78200,5.66100,9.93900,9.93900,0.66000,0.66000,0.52180,0.77700,100.00000,44.65480,63.04010,44.65480,73.24050,0.02740,2.39200,37.62590,3.61140,3.61140,2.00470,3.61140,15.26570,-1.2109,-1.2109
2012-06-30,7.62900,7.62900,0.66500,-2.05200,3.34300,3.34300,-0.00800,3.35100,4.19900,4.19900,5.02100,4.91200,9.42700,9.42700,0.45000,0.45000,0.26570,0.85630,100.00000,43.81960,64.38590,43.81960,55.04000,0.02850,3.70830,24.27000,2.96540,2.96540,1.56970,2.96540,15.02080,-1.2457,-1.2457
2012-03-31,7.59600,7.59600,0.70200,-1.81600,3.63500,3.63500,0.01400,3.62100,3.51900,3.51900,5.18000,5.07800,9.42700,9.42700,0.38000,0.38000,0.37500,0.84520,100.00000,47.85410,66.85100,47.85410,46.32700,0.02890,4.61960,19.48230,2.49940,2.49940,1.33910,2.49940,14.93540,-1.03100,-1.03100
2011-12-31,7.32370,7.32370,0.57410,-1.94480,3.41210,3.41210,,3.38810,5.31300,5.31300,4.89640,4.80490,9.42700,9.42700,0.56000,0.56000,0.40590,0.74030,100.00000,46.59000,65.60680,46.59000,72.54470,0.02950,4.34130,20.73120,3.78200,3.78200,2.13680,3.78200,14.90210,-1.7938,-1.7938
2011-09-30,5.95020,5.95020,0.67830,-1.24100,2.65470,2.65470,,2.65470,3.14560,3.14560,4.12210,4.03090,9.42700,9.42700,0.33000,0.33000,0.58380,0.69500,100.00000,44.61540,67.74410,44.61540,52.86450,0.02510,2.56080,35.14580,2.25980,2.25980,1.32450,2.25980,14.76600,-1.8072,-1.8072
2011-06-30,5.31930,5.31930,0.19560,-0.56900,3.15990,3.15990,,3.15990,4.59720,4.59720,4.64590,4.55470,9.42700,9.42700,0.49000,0.49000,0.68460,0.74790,100.00000,59.40510,85.62610,59.40510,86.42590,0.02330,2.15560,41.75090,3.55390,3.55390,2.00970,3.55390,14.82290,-1.2282,-1.2282
2011-03-31,4.79380,4.79380,0.10300,-1.03620,2.33020,2.33020,,2.33020,2.33020,2.33020,3.74370,3.65450,9.42700,9.42700,0.25000,0.25000,,,100.00000,48.60960,76.23480,48.60960,48.60960,,,,,,,,,-0.05420,-0.05420
2010-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2010-09-30,4.33230,4.33230,0.05420,-0.98700,2.02020,2.02020,,2.02020,3.67060,3.67060,3.37940,3.29120,,,,0.00000,,,100.00000,46.63060,75.96770,46.63070,84.72520,,,,,,,,,0,0
2010-06-30,4.61570,4.61570,0.37040,-1.02620,1.96980,1.96980,,1.96980,-1.73930,-1.73930,3.21910,3.21910,,,,0.00000,,,100.00000,42.67650,69.74170,42.67650,-37.68200,,,,,,,,,0,0
2009-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
