Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi
2017-06-30,5.29600,,5.29600,,,5.29600,5.29600,,5.29600,0.93000,0.93000,6.62970,6.66490,0.13640,0.13640,,,100.00000,17.56040,,,,,
2017-03-31,5.16200,,5.16200,,,5.16200,5.16200,,5.16200,0.88100,0.88100,6.62420,6.66050,0.13640,0.13640,,,100.00000,17.06700,,,,,
2016-12-31,5.32700,,5.32700,,,5.32700,5.32700,,5.32700,1.18800,1.18800,6.62060,6.65500,0.18180,0.18180,,,100.00000,22.30150,,,,,
2016-09-30,5.17000,,5.17000,,,5.17000,5.17000,,5.17000,1.19800,1.19800,6.61930,6.65500,0.18180,0.18180,,,100.00000,23.17220,,,,,
2016-06-30,5.94200,,5.94200,,,5.94200,5.94200,,5.94200,1.25400,1.25400,6.60410,6.65090,0.18910,0.18910,,,100.00000,21.10400,,,,,
2016-03-31,5.48800,,5.48800,,,5.48800,5.48800,,5.48800,1.32800,1.32800,6.57800,6.64260,0.20360,0.19640,,,100.00000,24.19830,,,,,
2015-12-31,5.23700,,5.23700,,,5.23700,5.23700,,5.23700,1.28400,1.28400,6.57660,6.65360,0.19640,0.19640,,,100.00000,24.51790,,,,,
2015-09-30,5.13000,,5.13000,,,5.13000,5.13000,,5.13000,1.28000,1.28000,6.57660,6.65220,0.18910,0.18910,,,100.00000,24.95130,,,,,
2015-06-30,4.93000,,4.93000,,,4.93000,4.93000,,4.93000,1.74600,1.74600,6.57660,6.65360,0.26180,0.25460,,,100.00000,35.41580,,,,,
2015-03-31,5.92100,,5.92100,,,5.92100,5.92100,,5.92100,1.72200,1.72200,6.57530,6.65220,0.25460,0.25460,,,100.00000,29.08290,,,,,
2014-12-31,5.00300,,5.00300,,,5.00300,5.00300,,5.00300,1.81000,1.81000,6.56970,6.65090,0.26910,0.26910,,,100.00000,36.17830,,,,,
2014-09-30,5.12800,,5.12800,,,5.12800,5.12800,,5.12800,1.18300,1.18300,6.56970,6.64670,0.17460,0.17460,,,100.00000,23.06940,,,,,
2014-06-30,4.80500,,4.80500,,,4.80500,4.80500,,4.80500,1.28100,1.28100,6.56970,6.63300,0.18910,0.18910,,,100.00000,26.65970,,,,,
2014-03-31,4.99100,,4.99100,,,4.99100,4.99100,,4.99100,1.21000,1.21000,6.56970,6.62890,0.18180,0.17460,,,100.00000,24.24360,,,,,
2013-12-31,5.03000,,5.03000,,,5.03000,5.03000,,5.03000,1.16600,1.16600,6.56840,6.61930,0.17460,0.17460,,,100.00000,23.18090,,,,,
2013-09-30,4.82800,,4.82800,,,4.82800,4.82800,,4.82800,1.12100,1.12100,6.53680,6.58760,0.16730,0.16730,,,100.00000,23.21870,,,,,
2013-06-30,4.80000,,4.80000,,,4.80000,4.80000,,4.80000,0.98600,0.98600,6.52850,6.57660,0.15270,0.15270,,,100.00000,20.54170,,,,,
2013-03-31,4.85300,,4.85300,,,4.85300,4.85300,,4.85300,1.00200,1.00200,6.52580,6.52580,0.13090,0.13090,,,100.00000,20.64700,,,,,
2012-12-31,4.94600,,4.94600,,,4.94600,4.94600,,4.94600,1.02400,1.02400,6.52440,6.52990,0.14550,0.14550,,,100.00000,20.70360,,,,,
2012-09-30,6.18300,,6.18300,,,6.18300,6.18300,,6.18300,0.97700,0.97700,6.52440,6.52440,0.13820,0.13820,,,100.00000,15.80140,,,,,
2012-06-30,4.93700,,4.93700,,,4.93700,4.93700,,4.93700,0.83500,0.83500,6.52440,6.52440,0.10180,0.10180,,,100.00000,16.91310,,,,,
2012-03-31,5.70700,,5.70700,,,5.70700,5.70700,,5.70700,0.61300,0.61300,6.52440,6.52440,0.06550,0.06550,,,100.00000,10.74120,,,,,
2011-12-31,4.74600,0.70000,4.04600,3.14000,3.14000,0.90600,1.07000,0.46000,0.61000,0.55200,0.55200,6.52440,6.52440,0.05820,0.05820,0.18390,0.22540,25.11740,12.95780,0.01100,1.16600,0.97010,0.14240,0.73850
2011-09-30,5.55900,0.74000,4.81900,4.12000,4.12000,0.69900,0.67000,0.26000,0.41000,0.40900,0.40900,6.52440,6.52440,0.02910,0.02910,0.10240,0.11410,13.70140,8.36400,0.01240,0.85800,0.71450,0.10350,0.59840
2011-06-30,5.34900,0.74000,4.60900,3.23000,3.23000,1.37900,1.35000,0.56000,0.79000,0.79000,0.79000,6.52440,6.59180,0.10180,0.10180,0.17560,0.21310,28.84620,16.88030,0.01220,1.64140,1.51280,0.20600,1.15630
2011-03-31,4.83800,0.73000,4.10800,3.39000,3.39000,0.71800,0.70000,0.28000,0.42000,0.41200,0.41200,6.52440,6.59180,0.04360,0.04360,0.23640,0.30960,16.74640,9.85650,0.01120,0.87510,0.80580,0.11010,0.56950
2010-12-31,4.91000,0.82000,4.09000,3.37000,3.37000,0.72000,0.76000,0.32000,0.44000,0.43600,0.43600,6.82960,6.82960,0.04360,0.04360,0.17830,0.21700,18.09520,10.38100,0.01210,0.92390,0.85160,0.12530,0.64780
2010-09-30,5.00700,0.86000,4.14700,3.53000,3.53000,0.61700,0.60000,0.28000,0.32000,0.32500,0.32500,6.52440,6.57660,0.02910,0.02910,0.17590,0.21340,14.05150,7.61120,0.01210,0.67500,0.62340,0.09210,0.47630
2010-06-30,4.96900,0.91000,4.05900,3.13000,3.13000,0.92900,0.91000,0.40000,0.51000,0.50600,0.50600,6.52440,6.57940,0.05820,0.05820,0.25300,0.33870,21.77030,12.10530,0.01160,1.05350,0.97330,0.14020,0.67380
2010-03-31,5.26300,0.95000,4.31300,3.38000,3.38000,0.93300,0.91000,0.37000,0.54000,0.54000,0.54000,6.52440,6.54780,0.05820,0.05820,0.25450,0.34140,20.49550,12.16220,0.01270,1.13370,1.04750,0.15420,0.72340
2009-12-31,5.13300,-4.40000,9.53300,3.40000,3.40000,6.13300,0.61000,0.27000,0.34000,0.35500,0.35500,6.53680,6.53680,0.02910,0.03640,0.26610,0.36250,-4.69230,-2.73080,-0.03820,0.74730,0.69070,0.10430,0.46950
2009-09-30,5.35600,1.36000,3.99600,3.70000,3.70000,0.29600,0.28000,0.11000,0.17000,0.16600,0.16600,6.52440,6.59180,0.00730,0.00730,0.33100,0.49470,6.58820,3.90590,0.01220,0.34640,0.32060,0.04780,0.19870
2009-06-30,5.51600,1.41000,4.10600,2.86000,2.86000,1.24600,1.23000,0.51000,0.72000,0.71300,0.71300,6.52440,6.55050,0.08730,0.08730,0.43560,0.77180,28.21100,16.35320,0.01230,1.49410,1.38340,0.20030,0.72310
2009-03-31,5.74800,1.63000,4.11800,2.68000,2.68000,1.43800,1.42000,0.57000,0.85000,0.84700,0.84700,6.52440,6.52440,0.11640,0.11640,0.48410,0.93830,32.34620,19.29390,0.01210,1.77010,1.63990,0.23390,0.78370
