Date,revenue,gross-profit,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2021-04-30,9.40270,9.40270,9.40270,-0.82880,8.57390,8.57390,8.57390,8.57390,9.40270,9.40270,13.12000,13.12000,0.65350,0.65350,1.95120,100.00000,100.00000,100.00000,91.18570,91.18570,0.34270,1.67520,53.72470,64.10800,64.10800,31.25240,64.10800,1.01940,0.40830,0.40830
2021-01-31,10.82620,10.82620,10.82620,1.10870,9.99360,9.99360,9.99360,9.99360,10.82620,8.88490,13.12000,13.12000,0.76170,0.76170,3.55380,100.00000,100.00000,82.06920,92.30990,92.30990,0.47220,43.39540,2.07400,60.65180,60.65180,43.58520,60.65180,1.25590,0.894,0.894
2020-10-31,5.73730,5.73730,5.73730,-0.61090,5.12640,5.12640,5.12640,5.12640,5.73730,5.73730,13.12000,13.12000,0.39070,0.39070,3.52290,100.00000,100.00000,100.00000,89.35280,89.35280,0.32820,4.84840,18.56280,40.95020,40.95020,29.32630,40.95020,0.95420,0.416,0.416
2020-07-31,7.21840,7.21840,7.21840,-0.54240,6.67600,6.67600,6.67600,6.67600,7.21840,7.21840,13.12000,13.12000,0.50880,0.50880,15.72620,100.00000,100.00000,100.00000,92.48610,92.48610,0.55790,6.88300,13.07570,55.10330,55.10330,51.59940,55.10330,0.92340,0.2792,0.2792
2020-04-30,2.16880,2.16880,2.16880,-0.55710,1.61160,1.61160,1.61160,1.61160,2.16880,2.16880,13.12000,13.12000,0.12280,0.12280,1.73460,100.00000,100.00000,100.00000,74.31060,74.31060,0.15070,69.99850,1.28570,26.43980,26.43980,11.19690,26.43980,0.46460,-0.00320,-0.00320
2020-01-31,5.61890,5.61890,5.61890,0.94290,5.08360,5.08360,5.08360,5.08360,5.61890,4.14070,13.12000,13.12000,0.38760,0.38760,2.00120,100.00000,100.00000,73.69220,90.47230,90.47230,0.23760,80.74580,1.11460,42.96830,42.96830,21.49740,42.96830,0.90180,0.6851,0.6851
2019-10-31,6.56080,6.56080,6.56080,-0.41060,6.15020,6.15020,6.15020,6.15020,6.56080,6.56080,13.12000,13.12000,0.46880,0.46880,2.27150,100.00000,100.00000,100.00000,93.74100,93.74100,0.23050,2.72430,33.03620,38.60410,38.60410,21.60910,38.60410,1.21430,0.8959,0.8959
2019-07-31,14.34420,14.34420,14.34420,-0.43250,13.91170,13.91170,13.91170,13.91170,14.34420,14.34420,13.12000,13.12000,1.06030,1.06030,8.17000,100.00000,100.00000,100.00000,96.98460,96.98460,0.59390,3.75440,23.97180,65.63460,65.63460,57.60110,65.63460,1.61550,0.8746,0.8746
2019-04-30,5.46690,5.46690,5.46690,-0.55660,4.91030,4.91030,4.91030,4.91030,5.46690,5.46690,13.12000,13.12000,0.37430,0.37430,1.84760,100.00000,100.00000,100.00000,89.81900,89.81900,0.24980,1.61860,55.60440,48.91130,48.91130,22.43870,48.91130,0.76520,0.18080,0.18080
2019-01-31,7.48390,7.48390,7.48390,0.44020,6.78670,6.78670,6.78670,6.78670,7.48390,6.34650,13.12000,13.12000,0.51680,0.51680,1.90120,100.00000,100.00000,84.80200,90.68340,90.68350,0.21110,3.19950,28.12900,40.38320,40.38320,19.14220,40.38320,1.28090,0.9268,0.9268
2018-10-31,13.97380,13.97380,13.97380,-0.38880,13.58510,13.58510,13.58510,13.58510,13.97380,13.97380,13.12000,13.12000,1.03540,1.03540,3.26220,100.00000,100.00000,100.00000,97.21780,97.21780,0.34290,2.28670,39.35830,48.07880,48.07880,33.34080,48.07880,2.15360,1.3692,1.3692
2018-07-31,19.15200,19.15200,19.15200,-0.28050,18.87150,18.87150,18.87150,18.87150,19.15200,19.15200,13.12000,13.12000,1.43840,1.43840,9.90940,100.00000,100.00000,100.00000,98.53540,98.53540,0.63770,2.18220,41.24310,69.88500,69.88500,62.83260,69.88500,2.05820,0.9648,0.9648
2018-04-30,6.68400,6.68400,6.68400,-0.36820,6.31580,6.31580,6.31580,6.31580,6.68400,6.68400,13.12000,13.12000,0.48140,0.48140,2.80010,100.00000,100.00000,100.00000,94.49140,94.49140,0.39000,1.55640,57.82710,57.32030,57.32030,36.84960,57.32030,0.83980,0.20690,0.20690
2018-01-31,4.56600,4.56600,4.56600,0.52540,4.25690,4.25690,4.25690,4.25690,4.56600,3.73150,13.12000,13.12000,0.32500,0.32500,1.67920,100.00000,100.00000,81.72280,93.23000,93.22990,0.17410,2.33420,38.55640,40.13400,40.13400,16.23380,40.13400,0.80840,0.4591,0.4591
2017-10-31,10.92500,10.92500,10.92500,-0.22730,10.69770,10.69770,10.69770,10.69770,10.92500,10.92500,13.12000,13.12000,0.81540,0.81540,3.46750,100.00000,100.00000,100.00000,97.91920,97.91920,0.37140,3.85070,23.37250,51.10300,51.10300,36.36530,51.10300,1.59550,1.1754,1.1754
2017-07-31,14.23750,14.23750,14.23750,-0.24050,13.99700,13.99700,13.99700,13.99700,14.23750,14.23750,13.12000,13.12000,1.06680,1.06680,9.04550,100.00000,100.00000,100.00000,98.31080,98.31080,0.72920,2.28870,39.32430,80.59930,80.59930,71.68880,80.59930,1.32360,0.6095,0.6095
2017-04-30,4.76700,4.76700,4.76700,-0.29500,4.47190,4.47190,4.47190,4.47190,4.76700,4.76700,13.12000,13.12000,0.34080,0.34080,1.86660,100.00000,100.00000,100.00000,93.81060,93.81060,0.34850,3.86930,23.26000,70.41100,70.41100,32.68980,70.41100,0.48410,0.00520,0.00520
2017-01-31,4.83320,4.83320,4.83320,0.56340,4.56560,4.56560,4.56560,4.56560,4.83320,4.00230,13.12000,13.12000,0.34780,0.34780,3.52340,100.00000,100.00000,82.80730,94.46320,94.46320,0.33920,107.29790,0.83880,44.73700,44.73700,32.03970,44.73700,0.77790,0.7334,0.7334
2016-10-31,3.44260,3.44260,3.44260,-0.23450,3.20820,3.20820,3.20820,3.20820,3.44260,3.44260,13.12000,13.12000,0.24450,0.24450,6.32870,100.00000,100.00000,100.00000,93.18860,93.18860,0.38300,1.12640,79.89720,42.06140,42.06140,35.69140,42.06140,0.58130,0.1255,0.1255
2016-07-31,2.60960,2.60960,2.60960,-0.18940,2.42020,2.42020,2.42020,2.42020,2.60960,2.60960,13.12000,13.12000,0.18450,0.18450,5.94600,100.00000,100.00000,100.00000,92.74270,92.74270,0.30900,1.74640,51.53330,42.22960,42.22960,28.65310,42.22960,0.43680,0.0466,0.0466
2016-04-30,0.00170,0.00170,0.00170,-0.43190,-0.43030,-0.43030,-0.43030,-0.43030,0.00170,0.00170,13.12000,13.12000,-0.03280,-0.03280,2.88010,,,,,,0.00020,,,-7.24950,-7.24950,-4.83810,-7.24950,0.45240,0.05360,0.05360
2016-01-31,3.04660,3.04660,3.04660,0.60610,2.73290,2.73290,2.73290,2.73290,3.04660,2.12680,13.12000,13.12000,0.20790,0.20790,11.30830,100.00000,100.00000,69.80940,89.70290,89.70290,0.31030,3.11460,28.89580,30.40180,30.40180,27.83820,30.40180,0.68510,0.1701,0.1701
2015-10-31,2.62160,2.62160,2.62160,-0.21950,2.40210,2.40210,2.40210,2.40210,2.62160,2.62160,13.12000,13.12000,0.18310,0.18310,78.46070,100.00000,100.00000,100.00000,91.62720,91.62720,0.37450,7.37290,12.20680,34.75060,34.75060,34.31610,34.75060,0.52690,0.2176,0.2176
2015-07-31,2.73540,2.73540,2.73540,-0.25170,2.48360,2.48360,2.48360,2.48360,2.73540,2.73540,13.12000,13.12000,0.18930,0.18930,8.13140,100.00000,100.00000,100.00000,90.79770,90.79770,0.53380,3.56200,25.26640,55.06680,55.06680,48.47040,55.06680,0.34380,0.2022,0.2022
2015-04-30,1.31800,1.31800,1.31800,-0.37770,0.94030,0.94030,0.94030,0.94030,1.31800,1.31800,13.12000,13.12000,0.07170,0.07170,24.81230,100.00000,100.00000,100.00000,71.33980,71.33980,0.49760,1.28810,69.87050,36.85310,36.85310,35.50130,36.85310,0.19450,0.03670,0.03670
2015-01-31,5.93360,5.93360,5.93360,0.63300,5.67450,5.67450,5.67450,5.67450,5.93360,5.04150,13.12000,13.12000,0.43270,0.43270,1.15970,100.00000,100.00000,84.96590,95.63370,95.63370,0.58760,10.62630,8.46960,352.20570,352.20580,56.19620,352.20570,0.12280,0.6453,0.6453
2014-10-31,11.78280,11.78280,11.78280,-0.24320,11.53960,11.53960,11.53960,11.53960,11.78280,11.78280,13.12000,13.12000,0.87950,0.87950,1.31810,100.00000,100.00000,100.00000,97.93640,97.93640,0.73810,3.56060,25.27680,266.29160,266.29140,72.28330,266.29160,0.33030,0.8901,0.8901
2014-07-31,7.86040,7.86040,7.86040,-0.44380,7.41650,7.41650,7.41650,7.41650,7.86040,7.86040,13.12000,13.12000,0.56530,0.56530,1.87000,100.00000,100.00000,100.00000,94.35370,94.35370,0.91410,2.33150,38.60210,170.90960,170.90960,86.24920,170.90970,0.33080,0.3014,0.3014
2014-04-30,0.50340,0.50340,0.50340,-0.36620,0.13720,0.13720,0.13720,0.13720,0.50340,0.50340,13.12000,13.12000,0.01050,0.01050,6.50260,100.00000,100.00000,100.00000,27.25640,27.25640,0.40960,11.05890,8.13820,12.23720,12.23720,11.16470,12.23720,0.08550,0.01310,0.01310
2014-01-31,5.33400,5.33400,5.33400,0.50140,5.09260,5.09260,5.09260,5.09260,5.33400,4.59120,13.12000,13.12000,0.38810,0.38810,1.06260,100.00000,100.00000,86.07400,95.47440,95.47440,0.62360,84.32810,1.06730,517.49030,517.49030,59.53620,517.49030,0.07500,0.5732,0.5732
2013-10-31,6.34760,6.34760,6.34760,-0.21110,6.13650,6.13650,6.13650,6.13650,6.34760,6.34760,13.12000,13.12000,0.46770,0.46770,1.48800,100.00000,100.00000,100.00000,96.67410,96.67410,0.62800,2.63560,34.14790,182.09790,182.09790,60.71540,182.09810,0.25690,0.5247,0.5247
2013-07-31,7.83470,7.83470,7.83470,-0.20990,7.62480,7.62480,7.62480,7.62480,7.83470,7.83470,13.12000,13.12000,0.58120,0.58120,1.63120,100.00000,100.00000,100.00000,97.32050,97.32050,0.78250,2.42030,37.18560,194.28230,194.28230,76.15780,194.28240,0.29910,0.4526,0.4526
2013-04-30,2.52880,2.52880,2.52880,-0.32640,2.20240,2.20240,2.20240,2.20240,2.52880,2.52880,13.12000,13.12000,0.16800,0.16800,2.81270,100.00000,100.00000,100.00000,87.09200,87.09200,0.71790,1.58110,56.92270,94.32020,94.32020,62.52160,94.32020,0.17800,0.07060,0.07060
2013-01-31,4.99490,4.99490,4.99490,0.46040,4.78750,4.78750,4.78750,4.78750,4.99490,4.32720,13.12000,13.12000,0.36420,0.36420,1.15120,100.00000,100.00000,86.63260,95.84930,95.84930,0.65330,22.90660,3.92900,404.95950,404.95960,62.61520,404.95950,,0.4994,0.4994
2012-10-31,11.81440,11.81440,11.81440,-0.19040,11.62400,11.62400,11.62400,11.62400,11.81440,11.81440,13.12000,13.12000,0.88600,0.88600,1.16260,100.00000,100.00000,100.00000,98.38850,98.38850,0.66730,6.05810,14.85620,411.68910,411.68910,65.65750,411.68910,0.21520,1.1155,1.1155
2012-07-31,11.06020,11.06020,11.06020,-0.18690,10.87330,10.87330,10.87330,10.87330,11.06020,11.06020,13.12000,13.12000,0.82880,0.82880,1.65350,100.00000,100.00000,100.00000,98.30980,98.30980,0.76070,2.16150,41.63730,180.46700,180.46700,74.78440,180.46700,0.45920,0.6636,0.6636
2012-04-30,3.69340,3.69340,3.69340,-0.32360,3.36990,3.36990,3.36990,3.36990,3.69340,3.69340,13.12000,13.12000,0.25700,0.25700,4.29090,100.00000,100.00000,100.00000,91.23980,91.23980,0.81740,1.26680,71.04410,94.96390,94.96390,74.57520,94.96390,0.27050,0.06070,0.06070
2012-01-31,6.57860,6.57860,6.57860,0.43760,6.28540,6.28540,6.28540,6.28540,6.57860,5.84790,13.12000,13.12000,0.47870,0.47870,1.05500,100.00000,100.00000,88.89200,95.54380,95.54380,0.58900,16.95600,5.30780,609.34390,609.34420,56.27560,609.34390,,1.891,1.891
2011-10-31,13.96840,13.96840,13.96840,-0.21210,13.75630,13.75630,13.75630,13.75630,13.96840,13.96840,13.12000,13.12000,1.04850,1.04850,1.28470,100.00000,100.00000,100.00000,98.48180,98.48180,0.69950,0.72490,124.14720,291.61650,291.61650,68.88550,291.61650,0.35950,0.0046,0.0046
2011-07-31,10.33330,10.33330,10.33330,-0.20100,10.13230,10.13230,10.13230,10.13230,10.33330,10.33330,13.12000,13.12000,0.77230,0.77230,1.60840,100.00000,100.00000,100.00000,98.05500,98.05500,0.70810,1.71510,52.47640,179.16310,179.16310,69.43630,179.16310,0.43100,0.5845,0.5845
2011-04-30,3.27800,3.27800,3.27800,-0.21480,3.06330,3.06330,3.06330,3.06330,3.27800,3.27800,13.12000,13.12000,0.23350,0.23350,5.34850,100.00000,100.00000,100.00000,93.44770,93.44770,0.79450,1.22930,73.21250,90.22690,90.22690,74.24810,90.22690,0.25880,0.04390,0.04390
2011-01-31,5.53870,5.53870,5.53870,0.40890,5.27240,5.27240,5.27240,5.27240,5.53870,4.86340,13.12000,13.12000,0.40160,0.40160,1.11410,100.00000,100.00000,87.80720,95.19060,95.19060,0.57420,23.79330,3.78260,533.74560,533.74600,54.66100,533.74560,,0.6419,0.6419
2010-10-31,11.57630,11.57630,11.57630,-0.17970,11.39660,11.39660,11.39660,11.39660,11.57630,11.57630,13.12000,13.12000,0.86860,0.86860,1.35330,100.00000,100.00000,100.00000,98.44730,98.44730,0.71220,3.48600,25.81740,268.56900,268.56900,70.11310,268.56900,0.32340,0.914,0.914
2010-07-31,11.23400,11.23400,11.23400,-0.22470,11.00930,11.00930,11.00930,11.00930,11.23400,11.23400,13.12000,13.12000,0.83910,0.83910,1.45270,100.00000,100.00000,100.00000,98.00000,97.99990,0.73150,2.83800,31.71220,230.02720,230.02720,71.68470,230.02720,0.36480,0.7481,0.7481
2010-04-30,4.99280,4.99280,4.99280,-0.20790,4.78500,4.78500,4.78500,4.78500,4.99280,4.99280,13.12000,13.12000,0.36470,0.36470,2.58120,100.00000,100.00000,100.00000,95.83680,95.83680,0.71580,1.33980,67.17420,111.98670,111.98670,68.60070,111.98670,0.32570,0.00990,0.00990
2010-01-31,6.75110,6.75110,6.75110,0.36340,6.50070,6.50070,6.50070,6.50070,6.75110,6.13730,13.12000,13.12000,0.49560,0.49560,0.97790,100.00000,100.00000,90.90830,96.29130,96.29130,0.60280,7.72490,11.65060,576.39060,576.39040,58.04450,576.39060,0.08600,0.6262,0.6262
2009-10-31,5.04270,5.04270,5.04270,-0.14190,4.90090,4.90090,4.90090,4.90090,5.04270,5.04270,13.12000,13.12000,0.37350,0.37350,1.35440,100.00000,100.00000,100.00000,97.18670,97.18670,0.71590,2.49080,36.13270,265.90290,265.90290,69.57580,265.90290,0.14050,0.2325,0.2325
2009-07-31,0.42290,0.42290,0.42290,-0.20190,0.22100,0.22100,0.22100,0.22100,0.42290,0.42290,13.12000,13.12000,0.01680,0.01680,0.93550,100.00000,100.00000,100.00000,52.25650,52.25650,0.17010,0.76330,117.91140,-128.97380,-128.97380,8.89140,-128.96920,-0.01310,0.0459,0.0459
2009-04-30,1.02490,1.02490,1.02490,-0.22380,0.80100,0.80100,0.80100,0.80100,1.02490,1.02490,13.12000,13.12000,0.06110,0.06110,0.94780,100.00000,100.00000,100.00000,78.15990,78.15990,0.14380,1.29600,69.44240,-204.15370,-204.15370,11.23580,-204.15060,-0.02990,0.39230,0.39230
2009-01-31,3.03940,3.03940,3.03940,0.40500,2.80250,2.80250,2.80250,2.80250,3.03940,2.39760,13.12000,13.12000,0.21410,0.21410,3.43910,100.00000,100.00000,78.88300,92.20650,92.20650,0.56840,1.11660,80.60130,73.90210,73.90210,52.41330,73.90210,0.28900,2.5108,2.5108
