Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,,,,0.93710,3.61150,,,-5.64970,0.18880,-5.46080,-5.46080,-5.46080,-0.44450,-5.90530,-4.54850,-5.64970,0.61600,0.61600,-9.74030,-9.74030,4.47470,0.00640,,,,,,,,,,-11.67830,-17.40010,-9.80230,-11.67830,78.88550,-8.26880,-8.29250
2021-12-31,,,,0.85240,4.15910,,,-6.11900,-0.04420,-6.16310,-6.16310,-6.16310,-0.18460,-6.34770,-5.01150,-6.11900,0.53820,0.53820,-8.44160,-8.44160,5.27900,0.00560,,,,,,,,,,-11.38560,-16.24900,-9.78850,-11.38560,86.89520,-8.7532,-8.7532
2021-09-30,,,,-0.10730,4.23520,,,-5.13260,-0.48220,-5.61480,-5.61480,-5.61480,-0.17610,-5.79090,-4.12790,-5.13260,0.55900,0.55900,-9.74030,-9.74030,5.88920,0.00500,,,,,,,,,,-9.33440,-13.10320,-8.17650,-9.33440,96.65550,-8.0241,-8.0241
2021-06-30,,,,3.61270,8.09430,,,-12.68940,-0.06500,-12.75440,-12.75440,-12.75440,-0.45290,-13.20730,-11.70710,-12.68940,0.55430,0.55430,-23.37660,-23.37660,5.40360,0.00520,,,,,,,,,,-21.88580,-27.55560,-18.66020,-21.88580,105.59820,-8.5336,-8.5336
2021-03-31,,,,1.97030,6.88140,,,-9.80270,0.39700,-9.40560,-9.40560,-9.40560,-0.53380,-9.93950,-8.85160,-9.80270,0.41420,0.41420,-24.02600,-24.02600,7.73150,0.00520,,,,,,,,,,-13.72970,-16.93720,-12.30390,-13.72970,123.59450,-13.23990,-13.23990
2020-12-31,,,,2.45600,2.53860,-0.05930,,-6.02190,2.05030,-3.96410,-3.96410,-3.96410,-0.41410,-4.37830,-5.05390,-6.02190,0.18550,0.18550,4.54550,4.54550,4.81510,0.01060,,,,,,,,,,-10.91790,-17.32270,-9.44580,-10.91790,123.03990,-29.5871,-29.5871
2020-09-30,,,,3.51190,7.97810,-0.69850,,-13.15540,0.75280,-12.40260,-12.40260,-12.40260,-1.16460,-13.56730,-12.18860,-13.15540,0.19520,0.19520,-69.48050,-69.48050,2.62250,0.02820,,,,,,,,,,-38.81750,-70.51200,-29.39610,-38.81750,139.77890,-7.438,-7.438
2020-06-30,,,,1.56150,2.27330,,,-4.82910,0.90360,-3.92560,-3.92560,-3.92560,-0.56690,-4.49250,-3.83480,-4.82910,0.13940,0.13940,-31.81820,-31.81820,4.83130,0.03980,,,,,,,,,,-11.87430,-21.79820,-10.45910,-11.87430,210.04770,-22.3411,-22.3411
2020-03-31,,,,0.30340,5.32010,-0.08990,,-6.68470,-1.47520,-8.15990,-8.15990,-8.15990,-1.20190,-9.36180,-5.71340,-6.68470,0.12550,0.12550,-74.67530,-74.67530,3.62780,0.04890,,,,,,,,,,-25.68490,-56.01860,-22.00640,-25.68490,238.93930,-43.77550,-43.77550
2019-12-31,,,,,6.41910,2.34910,,-3.99290,-6.33380,-9.08670,-9.08670,-9.08670,,-14.13530,-3.39420,-4.03030,0.10870,0.10870,-135.51690,-135.51690,1.25310,0.03960,,,,,,,,,,-25.04790,-46.70200,-21.02550,-25.04790,297.95840,-33.5321,-31.373
2019-09-30,0.00970,0.74470,-0.73500,,5.96470,0.07000,7.00070,-7.73570,-2.86050,-12.61460,-12.61460,-12.61460,,-12.61460,-6.59880,-7.73570,0.11650,0.11650,-108.22860,-108.22860,1.80900,0.03170,-7576.03300,-79740.72000,-79740.72000,-130033.10000,-130033.10000,0.00020,0.53740,0.00210,43672.55000,-27.10980,-44.09440,-23.73990,-27.10980,385.83610,-14.3173,-12.647
2019-06-30,0.01380,,0.01380,,6.58250,-1.35000,,-8.05290,-3.33530,-10.65140,-10.65140,-10.65140,,-10.65140,-7.88060,-8.05290,0.10850,0.10850,-97.10390,-97.10390,3.19500,0.02870,100.00000,-58214.47000,-58214.47000,-76998.65000,-76998.65000,0.00030,,0.01160,7731.04000,-21.27830,-33.78990,-19.92550,-21.27830,428.81360,-48.4153,-48.8469
2019-03-31,0.01390,,0.01390,,1.52410,-1.12000,,-2.66530,0.93290,-1.72820,-1.72820,-1.72820,,-1.72820,-2.63020,-2.66530,0.10680,0.10680,-19.54030,-19.54030,15.16770,,100.00000,-19150.83000,-19150.83000,-12417.76000,-12417.76000,0.00040,,0.01550,5823.60300,-4.64120,-4.64120,-4.50430,-4.64120,348.29830,-29.93100,-33.32880
2018-12-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
