Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2020-03-31,12.87000,12.87000,3.62900,,4.31900,-36.47900,-32.16000,-32.16000,,-32.16000,-32.16000,8.24100,9.24100,13.37700,13.37700,-2.41000,-2.41000,0.05440,0.59650,2.61880,100.00000,33.55870,71.80260,-249.88350,-249.88350,0.02700,6.70310,13.42660,-24.74170,-24.74170,-6.74420,-9.98360,9.70530,0.57690,0.57690
2019-12-31,13.41800,13.41800,4.24500,,4.90800,-4.20200,0.70600,0.70600,,0.70600,0.70600,8.11600,9.17300,13.36420,13.36420,0.05000,0.05000,0.11460,0.56300,2.17700,100.00000,36.57780,68.36340,5.26160,5.26160,0.02490,,,0.42370,0.42370,0.13120,0.18510,12.45620,-0.4719,-0.4719
2019-09-30,13.85800,13.85800,4.28400,,5.11000,-3.34800,1.76200,1.76200,,1.76200,1.76200,8.70000,9.57400,13.36700,13.36700,0.13000,0.13000,0.12570,0.59020,2.00130,100.00000,36.87400,69.08640,12.71470,12.71470,0.02670,,,1.03400,1.03400,0.34000,0.42370,12.74450,-3.8099,-3.8099
2019-06-30,12.90000,12.90000,4.08500,,5.17000,-1.81700,3.35300,3.35300,,3.35300,3.35300,8.30700,8.81500,13.36100,13.36100,0.25000,0.25000,0.15960,0.56870,1.87020,100.00000,40.07750,68.33330,25.99230,25.99230,0.02560,6.44030,13.97440,1.93670,1.93670,0.66410,0.83520,12.95320,-0.1589,-0.1589
2019-03-31,12.34500,12.34500,3.97800,,4.91200,-1.18000,3.73200,3.73200,,3.73200,3.73200,8.04800,8.36700,13.35700,13.35700,0.28000,0.28000,0.18520,0.51420,1.60580,100.00000,39.78940,67.77640,30.23090,30.23090,0.02680,,,2.14170,2.14170,0.81090,1.04030,13.04230,-3.16440,-3.16440
2018-12-31,12.57100,12.57100,3.83000,,5.70500,-9.80000,-4.09500,-4.09500,,-4.09500,-4.09500,7.74300,8.74100,13.34800,13.34800,-0.30000,-0.30000,0.40870,0.48340,1.47970,100.00000,45.38220,69.53310,-32.57500,-32.57500,0.02850,,,-2.33970,-2.33970,-0.92770,-1.20880,13.10350,-0.3878,-0.3878
2018-09-30,10.98200,10.98200,3.61700,,4.97200,0.20700,5.17900,5.17900,,5.17900,5.17900,7.20400,7.36500,13.35000,13.35000,0.39000,0.39000,0.18510,0.48260,1.19610,100.00000,45.27410,67.06430,47.15900,47.15900,0.02690,,,2.82080,2.82080,1.26770,1.45940,13.74960,-1.5771,-1.5771
2018-06-30,10.27800,10.27800,3.24100,,4.86800,0.12700,4.99500,4.99500,,4.99500,4.99500,6.96600,7.03700,13.34900,13.34900,0.37000,0.37000,4.99760,0.45930,0.84960,100.00000,47.36330,68.46660,48.59900,48.59900,0.02620,,,2.73060,2.73060,1.27210,1.47630,13.70260,-1.4987,-1.4987
2018-03-31,9.00300,9.00300,2.88000,,4.48900,-0.99600,3.49300,3.49300,,3.49300,3.49300,6.04100,6.12300,13.34100,13.34100,0.26000,0.26000,11.78140,0.50780,1.03190,100.00000,49.86120,68.01070,38.79820,38.79820,0.02400,,,1.91450,1.91450,0.93220,0.94220,13.66790,-4.10970,-4.10970
2017-12-31,8.29200,8.29200,2.06400,,4.64400,-0.33100,4.31300,4.31300,,4.15000,4.15000,6.16400,6.22800,12.40400,12.40400,0.22000,0.22000,17.26290,0.46670,0.87520,100.00000,56.00580,75.10860,52.01400,50.04830,0.02320,,,2.20350,2.20350,1.15990,1.17510,14.11810,1.7966,1.7966
2017-09-30,9.12200,9.12200,3.21700,,4.40200,-3.22700,1.17500,1.17500,,1.17500,1.17500,5.57800,5.90500,13.33200,13.33200,0.09000,0.09000,18.36770,0.46540,0.87050,100.00000,48.25700,64.73360,12.88100,12.88100,0.02560,,,0.62280,0.62280,0.32960,0.33300,14.14740,0.0448,0.0448
2017-06-30,7.97800,7.97800,1.80200,,4.83700,-7.28100,-2.44400,-2.44400,,-2.28100,-2.28100,6.02700,6.17600,13.19800,13.19800,-0.17000,-0.17000,14.50660,0.44350,0.79710,100.00000,60.62920,77.41290,-30.63420,-28.59110,0.02290,,,-1.18800,-1.18800,-0.65370,-0.66110,14.40110,-4.197,-4.197
2017-03-31,8.03400,8.03400,3.30700,,3.34000,1.52600,4.86600,4.86600,,4.86600,4.86600,4.56500,4.72700,9.70000,9.70000,0.50000,0.50000,13.96920,0.52060,1.08590,100.00000,41.57330,58.83750,60.56760,60.56760,0.02610,,,3.34690,3.34690,1.58280,1.60450,14.98370,3.21600,3.21600
2016-12-31,8.20900,8.20900,1.81300,,5.03000,-0.20700,4.82300,4.82300,,4.82300,4.82300,6.35300,6.39600,9.69300,9.69300,0.49000,0.49000,5.15690,0.52090,1.08740,100.00000,61.27420,77.91450,58.75260,58.75260,0.02690,,,3.35450,3.35450,1.58120,1.60700,14.82250,-1.6916,-1.6916
2016-09-30,7.35900,7.35900,2.74200,,3.29700,-0.90900,2.38800,2.38800,,2.38800,2.38800,4.42300,4.61700,9.69400,9.69400,0.25000,0.25000,11.63100,0.50790,1.03190,100.00000,44.80230,62.73950,32.45010,32.45010,0.02520,,,1.67920,1.67920,0.81720,0.82640,14.66540,-1.3766,-1.3766
2016-06-30,7.68300,7.68300,2.91800,,3.45700,0.88100,4.33800,4.33800,,4.33800,4.33800,4.47900,4.76500,9.69200,9.69200,0.45000,0.45000,12.24600,0.51200,1.04920,100.00000,44.99550,62.02010,56.46230,56.46230,0.02570,,,3.03190,3.03190,1.45390,1.47960,14.75960,0.5804,0.5804
2016-03-31,7.84300,7.84300,2.88000,,3.65500,-1.37600,2.27900,2.27900,,2.27900,2.27900,4.75700,4.96300,9.69100,9.69100,0.24000,0.24000,16.26590,0.50790,1.03200,100.00000,46.60210,63.27940,29.05780,29.05780,0.02680,,,1.60480,1.60480,0.77870,0.78980,14.65240,1.32040,1.32040
2015-12-31,8.87300,8.87300,3.28000,,4.28000,1.89600,6.17600,6.17600,,6.17600,6.17600,4.85300,5.59300,9.67000,9.67000,0.64000,0.64000,8.67290,0.50600,1.02410,100.00000,48.23620,63.03390,69.60440,69.60440,0.03010,,,4.31850,4.31850,2.09590,2.13350,14.75720,-0.5433,-0.5433
2015-09-30,7.68800,7.68800,2.87300,,3.63000,-2.20900,1.42100,1.42100,,1.42100,1.42100,4.61800,4.81500,9.67600,9.67600,0.15000,0.15000,16.16630,0.52170,1.09090,100.00000,47.21640,62.63010,18.48340,18.48340,0.02590,,,1.01410,1.03800,0.47930,0.48500,14.46020,0.9275,0.9275
2015-06-30,8.08200,8.08200,2.64600,,2.75200,4.65000,7.40200,7.40200,,7.40200,7.40200,6.21100,5.43600,9.66300,9.66300,0.77000,0.77000,12.29020,0.52030,1.08460,100.00000,34.05100,67.26060,91.58620,91.58620,0.02700,,,5.21860,5.34170,2.47000,2.50340,14.65900,7.5492,7.5492
2015-03-31,7.62100,7.62100,3.09500,,2.74900,0.48300,3.23200,3.23200,,3.23200,3.23200,4.73700,4.52600,9.65100,9.65100,0.33000,0.33000,8.24060,0.59870,1.49180,100.00000,36.07140,59.38850,42.40910,42.40910,0.02190,,,2.34930,2.40740,0.93060,0.94280,14.23680,0.72620,0.72620
2014-12-31,6.95300,6.95300,2.25100,,2.74300,0.75400,3.49700,3.49700,,3.49700,3.49700,5.90000,5.33200,9.63400,9.63400,0.36000,0.36000,9.50300,0.59250,1.45420,100.00000,39.45060,76.68630,50.29490,50.29480,0.02040,0.96260,93.49490,2.54380,2.54380,1.02410,1.03650,14.24420,-5.2748,-5.2748
2014-09-30,6.19700,6.19700,2.08700,,2.89300,0.94200,3.83500,3.83500,,3.83500,3.83500,3.62200,3.89400,9.63600,9.63600,0.40000,0.40000,4.63690,0.51600,1.06590,100.00000,46.68390,62.83690,61.88480,61.88480,0.02140,,,2.79720,2.86870,1.32650,1.35400,14.22510,-3.1429,-3.1429
2014-06-30,4.65800,4.65800,1.36100,,2.09900,-1.54200,0.55700,0.55700,,0.55700,0.55700,3.03200,3.09600,9.63200,9.63200,0.06000,0.06000,7.76810,0.46440,0.86720,100.00000,45.06230,66.46630,11.95790,11.95790,0.01790,,,0.40800,0.41860,0.21450,0.21850,14.16730,-0.1347,-0.1347
2014-03-31,5.01200,5.01200,2.40800,,1.40000,0.65100,2.05100,2.05100,,2.05100,2.05100,2.26300,2.39100,9.63100,9.63100,0.21000,0.21000,14.58170,0.48190,0.93010,100.00000,27.93300,47.70550,40.92180,40.92180,0.01840,,,1.47350,1.51170,0.75240,0.76350,14.45070,1.78380,1.78380
2013-12-31,4.45200,4.45200,2.05400,,1.38200,-0.20100,1.18100,1.18100,,1.18100,1.18100,1.97700,2.23600,9.62000,9.62000,0.12000,0.12000,13.00140,0.49020,0.96140,100.00000,31.04220,50.22460,26.52740,26.52740,0.01600,0.99090,90.82890,0.84130,0.86330,0.42320,0.42890,14.57720,0.8418,0.8418
2013-09-30,4.01700,4.01700,1.60000,,1.42800,-1.06200,0.36600,0.36600,,0.36600,0.36600,2.08100,2.24900,9.62600,9.62600,0.04000,0.04000,1.73040,0.37660,0.60420,100.00000,35.54890,55.98710,9.11130,9.11130,0.01750,,,0.26300,0.26300,0.15940,0.16390,14.45550,1.0501,1.0501
2013-06-30,4.23600,4.23600,1.74200,,1.46600,1.79100,3.25700,3.25700,,3.25700,3.25700,2.13700,2.32800,9.62100,9.62100,0.34000,0.34000,2.40330,0.39860,0.66290,100.00000,34.60810,54.95750,76.88860,76.88860,0.01750,,,2.29290,2.29290,1.34390,1.37890,14.75800,0.4061,0.4061
2013-03-31,4.36500,4.36500,1.60700,,1.44200,1.42900,2.87100,2.87100,,2.87100,2.87100,2.39100,2.28900,9.60200,9.60200,0.30000,0.30000,2.90250,0.40650,0.68490,100.00000,33.03550,52.43990,65.77320,65.77320,0.01780,,,2.02320,2.02320,1.17140,1.20080,14.75990,0.73510,0.73510
2012-12-31,4.23500,4.23500,1.53800,,1.30500,-0.19100,1.11400,1.11400,0.00000,1.14600,0.76600,2.33800,2.51200,,,,0.00000,3.02960,0.41170,0.69980,100.00000,30.81460,59.31520,26.30460,18.08740,0.01720,,,0.80820,0.80820,0.46670,0.47550,14.80310,0,0
2012-09-30,4.03500,4.03500,0.94300,,1.43700,1.45900,2.89600,2.89600,0.03200,2.92800,2.96000,2.88600,2.94800,,,,0.00000,12.82950,0.75790,3.12990,100.00000,35.61340,73.06070,71.77200,73.35810,0.01710,5.09470,17.66540,5.35420,5.35420,1.23730,1.29650,,0,0
2012-06-30,4.53800,4.53800,1.81200,,1.13800,-2.10400,-0.96600,-0.96600,-0.00300,-0.94000,-0.37000,2.28600,2.58300,,,,0.00000,,,,100.00000,25.07710,56.91940,-21.28690,-8.15340,,,,,,,,,0,0
2012-03-31,0.62400,0.62400,0.40900,,0.21500,2.64500,2.86000,2.86000,,2.86000,2.86000,0.17400,0.21500,,,,0.00000,,,,100.00000,34.45510,34.45510,458.33330,458.33330,,,,,,,,,0.00000,
2011-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2011-09-30,0.28700,0.28700,0.42800,,-0.14100,-5.03500,-5.17600,-5.17600,,-5.17600,-5.17600,-0.14100,-0.14100,,,,0.00000,,,,100.00000,-49.12890,-49.12890,-1803.48400,-1803.48400,,,,,,,,,0,0
2010-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
