Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,9.56960,9.56960,2.61800,3.14700,-10.52270,-1.55040,-12.07320,-12.07320,-12.07320,-11.06700,10.99560,-10.52270,7.53320,7.53320,-1.47000,-1.47000,0.68440,-109.95990,-109.95990,-126.16140,-115.64740,0.02260,-5.02980,-5.04360,-2.84860,-5.02970,31.79200,-0.14380,-0.14380
2021-12-31,9.56630,9.56630,2.82580,-1.84160,-2.31780,0.13930,-2.17850,-2.17850,-2.17850,-3.10030,5.92260,-2.31780,7.54480,7.54480,-0.42000,-0.35000,0.81800,-24.22840,-24.22840,-22.77240,-32.40910,0.02230,-0.97940,-1.06570,-0.50840,-0.97940,29.69530,0.5681,0.6014
2021-09-30,10.24170,10.24170,3.65160,0.73020,3.50580,0.14270,3.64850,3.64850,3.64850,3.50510,6.83450,3.50580,7.53160,8.75090,0.47000,0.40000,0.80420,34.23060,34.23060,35.62360,34.22340,0.02380,1.62170,1.79720,0.84760,1.62170,30.10290,0.3165,0.2853
2021-06-30,9.10700,9.10700,2.69970,-3.57170,-1.14270,0.14090,-1.00180,-1.00180,-1.00180,-1.00180,2.21320,-1.14270,7.61420,7.61420,-0.13000,-0.13000,1.12380,-12.54770,-12.54770,-11.00080,-11.00080,0.02340,-0.59620,-0.68780,-0.25720,-0.59620,22.24610,0.3918,0.6315
2021-03-31,8.97490,8.97490,3.28290,-3.24640,-1.57920,0.67550,-0.90360,-0.90360,-0.90360,-0.90360,2.00000,-1.57920,7.70660,7.70660,-0.12000,-0.12000,1.10250,-17.59530,-17.59530,-10.06870,-10.06870,0.02280,-0.52490,-0.60500,-0.22970,-0.52490,22.68880,0.01310,0.01310
2020-12-31,8.75080,8.75080,2.95210,0.82030,2.44700,0.50830,2.95540,2.95540,2.95540,2.95540,5.95160,2.44700,8.00630,8.00630,0.41000,0.41000,1.04730,27.96360,27.96350,33.77260,33.77260,0.02150,1.61600,1.85150,0.72530,1.61600,23.03850,0.2244,0.2244
2020-09-30,9.55720,9.55720,2.52270,-2.71160,0.01840,-1.08250,-1.06410,-1.06410,-1.06410,-1.06410,4.09200,0.01840,8.07510,8.07510,-0.13000,-0.13000,1.07900,0.19270,0.19270,-11.13410,-11.13410,0.02260,-0.57360,-0.65810,-0.25180,-0.57360,7.66690,0.0511,0.0511
2020-06-30,9.27700,9.27700,2.36940,-4.75870,-2.33130,0.12140,-2.20990,-2.20990,-2.20990,-2.20990,1.73380,-2.33130,8.03250,8.03250,-0.28000,-0.28000,1.10040,-25.13000,-25.13000,-23.82130,-23.82130,0.02120,-1.16520,-1.33610,-0.50560,-1.16520,7.79710,0.1763,0.1763
2020-03-31,11.05440,11.05440,2.55500,-18.13970,-48.84830,0.02500,-48.82330,-48.82330,-48.82330,-48.82330,-10.20300,-48.84830,7.95110,7.95110,-6.14000,-6.14000,1.09660,-441.88930,-441.88930,-441.66350,-441.66350,0.02500,-25.52250,-29.31620,-11.03020,-25.52250,8.02130,0.24490,0.24490
2019-12-31,6.63730,6.63730,0.39950,-2.11200,1.45440,0.07610,1.53050,1.53050,1.53050,-1.44220,3.68300,1.45440,5.01220,5.01220,-0.67000,-0.67000,0.83980,21.91210,21.91210,23.05850,-21.72920,0.01350,0.63720,0.84730,0.31180,0.63720,30.23060,0.6589,0.6589
2019-09-30,6.12600,6.12600,0.91860,-3.81770,-1.00410,0.08350,-0.92060,-0.92060,-0.92060,-0.92060,1.12470,-1.00410,15.80960,15.80960,-0.06000,-0.06000,0.91110,-16.39090,-16.39090,-15.02770,-15.02770,0.02420,-0.73040,-0.73340,-0.36340,-0.73040,7.82670,0.0942,0.0942
2019-06-30,5.89630,5.89630,0.85390,-3.85240,-1.20160,0.06160,-1.14000,-1.14000,-1.14000,-1.14000,0.89220,-1.20160,14.84630,14.84630,-0.08000,-0.08000,0.95220,-20.37930,-20.37930,-19.33460,-19.33450,0.02360,-0.94360,-0.94780,-0.45580,-0.94360,7.80460,0.1371,0.1371
2019-03-31,5.88540,5.88540,0.53950,-3.94700,-0.99260,0.07940,-0.91320,-0.91320,-0.91320,-0.91320,1.24470,-0.99260,13.50370,13.50370,-0.07000,-0.07000,1.05270,-16.86490,-16.86490,-15.51550,-15.51550,0.02360,-0.80610,-0.81010,-0.36610,-0.80610,7.90360,0.05730,0.05730
2018-12-31,5.41740,5.41740,0.52280,-4.68000,-1.88590,0.06800,-1.81790,-1.81790,-1.81790,-1.81790,0.07630,-1.88590,11.06990,11.06990,-0.16000,-0.16000,1.27760,-34.81110,-34.81110,-33.55610,-33.55610,0.02150,-1.76330,-1.77340,-0.72020,-1.76330,7.95410,0.3112,0.3112
2018-09-30,4.72530,4.72530,0.59860,-2.07700,0.18810,0.07450,0.26260,0.26260,0.26260,0.26260,1.78980,0.18810,11.61190,11.61190,0.02000,0.02000,0.97610,3.98050,3.98050,5.55730,5.55730,0.02250,0.25940,0.26090,0.12500,0.25940,8.34210,0.0958,0.0958
2018-06-30,4.38400,4.38400,0.83700,-2.08850,-0.25400,0.04290,-0.21110,-0.21110,-0.21110,-0.21110,1.16580,-0.25400,10.60340,10.60340,-0.02000,-0.02000,0.91170,-5.79340,-5.79340,-4.81590,-4.81590,0.02310,-0.22510,-0.22670,-0.11150,-0.22510,8.38410,0.1203,0.1203
2018-03-31,3.45800,3.45800,0.61220,-1.62540,-0.09390,0.05860,-0.03530,-0.03530,-0.03530,-0.03530,1.30180,-0.09390,9.49930,9.49930,0.00000,0.00000,1.01100,-2.71490,-2.71490,-1.02150,-1.02160,0.01900,-0.04140,-0.04170,-0.01940,-0.04140,,0.00400,0.00400
2017-12-31,2.48540,2.48540,0.82010,-1.05210,-0.39030,0.03450,-0.35580,-0.35580,-0.35580,-0.35580,0.47170,-0.39030,5.98290,5.98290,-0.02000,-0.02000,0.91470,-15.70310,-15.70310,-14.31390,-14.31390,0.01580,-0.44890,-0.45280,-0.22650,-0.44890,8.96390,0.2631,0.2631
2017-09-30,2.31650,2.31650,0.90480,-0.59270,-0.10270,0.00370,-0.09900,-0.09900,-0.09900,-0.09900,0.42870,-0.10270,6.87320,6.87320,-0.01000,-0.01000,0.72400,-4.43160,-4.43160,-4.27290,-4.27290,0.01880,-0.14330,-0.14470,-0.08030,-0.14330,,0.1001,0.1001
2017-06-30,1.72900,1.72900,0.83120,-0.28890,-0.11640,0.16000,0.04360,0.04360,0.04360,0.04360,0.47980,-0.11640,5.29520,5.29520,0.01000,0.01000,0.62410,-6.73350,-6.73350,2.52090,2.52090,0.01830,0.07730,0.07830,0.04610,0.07730,9.12150,0.2175,0.2175
2017-03-31,0.85920,0.85920,1.18680,0.29290,-0.46560,0.00820,-0.45730,-0.45730,-0.45730,-0.45730,-0.02410,-0.46560,3.45780,3.45780,-0.13000,-0.13000,0.54220,-54.18420,-54.18420,-53.22610,-53.22610,0.01330,-1.12480,-1.14610,-0.70630,-1.12480,9.10210,0.05290,0.05290
2016-12-31,0.46070,0.46070,0.68570,0.21050,-0.26940,-0.07460,-0.34400,-0.34400,-0.34400,-0.34400,0.07300,-0.26940,0.42830,0.42830,28.18000,28.18000,0.77690,-58.47910,-58.47910,-74.67350,-74.67340,0.01120,-1.54760,-1.55800,-0.83300,-1.54760,9.04110,0.9041,0.9041
2016-09-30,0.35950,0.35950,0.58450,0.13370,-0.29590,-0.00370,-0.29960,-0.29960,-0.29960,-0.29960,-0.06020,-0.29590,0.21540,0.21540,-1.39000,-1.39000,2.65740,-82.31090,-82.31090,-83.33470,-83.33470,0.01750,-5.64840,-5.82050,-1.45870,-5.64840,8.24120,-5.2956,-5.2956
2016-06-30,0.04150,0.04150,0.00630,-0.59540,-0.59370,,-0.59370,-0.59370,-0.59370,-0.59370,-0.59370,-0.59370,0.02000,0.02000,-29.68000,-29.68000,-44.54420,-1431.72500,-1431.72500,-1431.72500,-1431.72500,0.00220,145.70450,103.66440,-3.14050,145.70450,-20.37270,2.8266,2.8266
2016-03-31,,,0.00010,,-0.00010,,-0.00010,-0.00010,-0.00010,-0.00010,-0.00010,-0.00010,0.02000,0.02000,0.00000,0.00000,,,,,,,,,,,,-0.00460,-0.00460
2015-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,-0.0964,-0.0964
2015-09-30,,,0.00000,,0.00000,,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01000,0.01000,0.00000,0.00000,,,,,,,,,,,,0.0964,0.0964
2015-06-30,,,0.00300,,-0.00300,,-0.00300,-0.00300,-0.00300,-0.00300,-0.00300,-0.00300,0.00130,0.00130,-2.40000,-2.40000,,,,,,,,,,,,0,0
