Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2020-09-30,577.67800,577.67800,33.45700,434.40200,-4.68100,104.68000,104.68000,28.16500,76.51500,76.51500,75.09200,181.29100,104.68000,107.16900,113.18200,0.69000,0.66000,2.03750,0.68350,2.15940,100.00000,18.12080,18.12080,18.12080,12.99890,0.10570,1.00450,89.59810,9.82600,18.89930,1.39960,3.11010,7.41570,2.2593,2.1805
2020-06-30,572.29200,572.29200,32.62900,429.44000,-13.90300,95.86500,95.86500,22.78900,73.07600,73.07600,73.45800,218.75500,95.86500,106.66200,111.48800,0.68000,0.66000,2.04650,0.71080,2.45750,100.00000,16.75110,16.75110,16.75110,12.83580,0.10770,0.87760,102.55270,10.68410,23.21280,1.37560,3.09010,6.51520,1.3641,1.2466
2020-03-31,538.01400,538.01400,31.35800,413.07400,-9.03900,84.09700,84.09700,25.76600,58.33100,58.33100,64.02200,194.62590,84.09700,106.30400,114.12000,0.59000,0.56000,1.68760,0.75020,3.00240,100.00000,15.63100,15.63100,15.63100,11.89970,0.10560,0.91400,98.47100,10.42340,28.82360,1.14480,2.60430,5.35360,-1.36680,-1.47140
2019-12-31,721.34090,721.34090,38.78300,543.88700,-9.81800,118.97700,118.97700,39.44600,79.53100,79.53100,73.58700,188.27800,118.97700,110.19000,116.08000,0.71000,0.69000,1.68670,0.71130,2.46420,100.00000,16.49390,16.49390,16.49390,10.20140,0.12790,1.08780,82.73820,11.66870,25.82340,1.41020,3.36830,6.53770,3.0444,3.0367
2019-09-30,591.06800,591.06800,34.07600,492.06700,-11.53000,52.37300,52.37300,4.17700,48.19600,48.19600,46.70400,152.48700,52.37300,109.28600,113.88200,0.42000,0.40000,1.91410,0.70990,2.44660,100.00000,8.86070,8.86070,8.86070,7.90160,0.10650,0.88460,101.73960,7.02340,15.19300,0.86810,2.03780,6.48500,2.0853,1.8838
2019-06-30,630.69000,630.69000,38.82500,479.84400,-5.29400,101.68500,101.68500,28.17200,73.51300,73.51300,65.77700,236.46400,101.68500,111.98100,116.17500,0.57000,0.55000,1.95390,0.70040,2.33760,100.00000,16.12280,16.12280,16.12280,10.42940,0.11450,0.89450,100.62040,10.24030,21.40480,1.33480,3.06810,6.64670,2.0453,1.9386
2019-03-31,643.67400,643.67400,32.05500,471.68000,-16.80600,119.66300,119.66300,23.18700,96.47600,96.47600,97.04200,236.27200,119.66300,111.94400,120.82000,0.87000,0.80000,1.77410,0.69520,2.28070,100.00000,18.59060,18.59060,18.59060,15.07630,0.11700,0.92560,97.23410,12.50710,24.38170,1.75430,3.81230,6.89220,-1.33460,-1.38270
2018-12-31,687.23510,687.23510,37.52000,463.86800,-31.95900,156.31730,156.31710,42.63300,113.68410,113.68410,113.39600,239.74220,156.31710,119.00700,129.76800,0.98000,0.90000,1.71150,0.59650,1.47850,100.00000,22.74580,22.74580,22.74580,16.50030,0.13750,1.00250,89.77720,11.71890,19.11380,2.27490,4.72830,8.64680,3.1424,3.0787
2018-09-30,626.48100,626.48100,36.39400,442.80400,-14.45300,138.68100,138.68100,29.95600,108.72500,108.72500,107.07400,210.19000,138.68100,119.45700,129.86000,0.90000,0.82000,1.82930,0.56110,1.27830,100.00000,22.13650,22.13650,22.13650,17.09130,0.12670,0.97770,92.05520,9.69390,14.64620,2.19880,4.25490,9.46700,1.7471,1.6905
2018-06-30,757.93800,757.93800,32.52700,523.56800,-10.38600,199.94000,199.94000,51.56100,148.37900,148.37900,146.96300,324.65400,199.94000,120.30600,130.24900,1.22000,1.13000,1.78050,0.51700,1.07020,100.00000,26.37950,26.37950,26.37950,19.38980,0.16380,1.06090,84.82980,13.33020,20.30520,3.20610,6.43900,9.27230,0.7902,0.6674
2018-03-31,754.69800,754.69800,33.25200,508.55900,-26.19300,185.82800,185.82800,24.16700,161.66100,161.66100,159.69200,295.82000,185.82800,119.93000,132.14200,1.33000,1.21000,1.97170,0.53000,1.12750,100.00000,24.62280,24.62280,24.62280,21.15970,0.16830,1.11860,80.45830,15.30620,24.20610,3.60440,7.19450,8.77180,-0.29290,-0.40590
2017-12-31,678.80800,678.80800,34.24200,470.63490,189.11600,358.53600,358.53600,441.49000,-82.95400,-82.95400,-83.55800,358.53600,358.53600,121.57300,132.48000,-0.67000,-0.63000,1.90810,0.48600,0.94560,100.00000,52.81850,52.81850,52.81850,-12.30950,0.13770,1.18750,75.78790,-6.58940,-9.56200,-1.68310,-3.38690,10.57730,0.2033,0.2033
2017-09-30,624.85900,624.85900,31.37300,440.07100,-9.03100,144.21200,144.21200,32.74200,111.47000,111.47000,109.21000,228.25700,144.21200,121.24400,132.39400,0.90000,0.82000,2.09060,0.46510,0.86950,100.00000,23.07910,23.07910,23.07910,17.47750,0.12920,1.13220,79.48980,8.14560,11.41630,2.30480,4.35700,11.39280,2.302,2.2571
2017-06-30,717.18000,717.18000,32.03200,499.03900,-12.35100,172.50100,172.50100,51.60000,120.90100,120.90100,120.37800,297.82800,172.50100,122.36800,132.14000,0.98000,0.91000,1.98740,0.47730,0.91310,100.00000,24.05270,24.05270,24.05270,16.78490,0.15040,1.09540,82.16420,9.28070,13.23500,2.53470,4.85120,10.71270,2.071,2.0292
2017-03-31,623.46400,623.46400,24.02400,436.41200,-9.25700,150.19700,150.19700,39.76700,110.43000,110.43000,107.55300,254.19900,150.19700,122.81500,132.68900,0.88000,0.81000,2.21390,0.49640,0.98580,100.00000,24.09070,24.09070,24.09070,17.25090,0.14220,1.18170,76.16360,9.10250,13.38090,2.51820,4.58380,9.87240,0.74850,0.72060
2016-12-31,691.56520,691.56520,26.05500,462.76810,-12.47600,156.85610,156.85600,27.86900,128.98700,128.98700,127.98200,264.05510,156.85600,124.77000,132.63400,1.04000,0.96000,2.21500,0.47880,0.91870,100.00000,22.68130,22.68130,22.68130,18.50610,0.15180,1.08350,83.06580,9.96950,14.14660,2.83080,5.19600,10.59310,2.5089,2.3852
2016-09-30,608.90800,608.90800,24.17900,425.62300,-9.25100,148.99200,148.99200,36.37400,112.61800,112.61800,112.53600,235.30800,148.99200,124.40900,132.32100,0.90000,0.85000,2.03790,0.43420,0.76740,100.00000,24.46870,24.46870,24.46870,18.48160,0.14150,1.13240,79.47430,8.65530,11.88840,2.61760,4.89710,10.49410,2.1225,2.0451
2016-06-30,534.68000,534.68000,24.29600,386.49000,-10.32800,113.23600,113.23600,31.87200,81.36400,81.36400,80.35700,203.88400,113.23600,125.46200,132.34200,0.64000,0.61000,1.85810,0.45330,0.82910,100.00000,21.17830,21.17830,21.17830,15.02900,0.12680,1.07950,83.37410,6.75590,9.28640,1.93010,3.69360,9.66920,0.8898,0.8472
2016-03-31,498.21800,498.21800,22.93100,367.10200,-9.16400,98.37700,98.37700,27.65400,70.72300,70.72300,66.82300,224.55000,98.37700,126.04000,132.89100,0.53000,0.50000,2.15400,0.44960,0.81680,100.00000,19.74580,19.74580,19.74580,13.41240,0.12420,0.96830,92.94520,5.78390,7.94530,1.76300,3.18360,9.64590,-0.75170,-0.79190
2015-12-31,593.24880,593.24880,26.67800,416.50500,-8.29710,139.34870,139.34880,-15.99200,155.34080,155.34080,157.78600,224.64570,139.34890,125.36600,133.24500,1.30000,1.17000,1.90710,0.42200,0.73020,100.00000,23.48910,23.48910,23.48910,26.59690,0.13250,1.19310,75.43070,11.36110,14.93190,3.46920,6.56640,10.89370,2.7573,2.6978
2015-09-30,573.51800,573.51800,22.92300,389.21200,409.87200,570.74400,570.74400,170.95400,399.79000,399.79000,398.52100,654.33800,570.74400,125.92500,133.11500,3.16000,2.99000,1.95590,0.45410,0.83180,100.00000,99.51630,99.51630,99.51630,69.48710,0.13830,1.14150,78.84110,32.98940,45.11040,9.63810,18.00930,9.65620,2.3107,2.2742
2015-06-30,609.09200,609.09200,23.03400,413.69100,-971.88600,-801.37600,-801.37600,-1176.53100,375.15500,375.15500,374.11300,-726.47710,-801.37600,126.21300,132.80600,2.96000,2.82000,1.99670,0.53700,1.16000,100.00000,-131.56900,-131.56900,-131.56900,61.42140,0.14670,1.21450,74.10670,43.15260,70.33280,9.03570,19.97840,6.89500,1.3296,1.2609
2015-03-31,577.74900,577.74900,22.89300,402.63800,-76.52200,74.66300,74.66300,12.01700,62.64600,62.64600,55.95300,189.95100,74.66300,123.65600,133.73600,0.45000,0.42000,2.02670,0.65240,1.87700,100.00000,12.92310,12.92310,12.92310,9.68470,0.20430,0.97290,92.50680,11.65930,31.11470,2.21540,4.05260,4.26410,0.26150,0.23150
2014-12-31,633.94010,633.94010,22.65400,392.36610,-18.88600,199.59300,199.59300,26.78800,172.80500,172.80500,172.38400,276.09990,199.59290,122.35200,133.81300,1.41000,1.28000,2.03190,0.57930,1.37700,100.00000,31.48450,31.48450,31.48450,27.19250,0.19020,1.13690,79.16150,22.44060,40.88910,5.18590,9.44070,6.52250,2.3901,2.3382
2014-09-30,566.21100,566.21100,23.02500,415.35700,-10.09700,113.71200,113.71200,23.79200,89.92000,89.92000,88.85900,196.26400,113.71200,122.20700,133.56700,0.73000,0.67000,1.99760,0.62470,1.66430,100.00000,20.08300,20.08300,20.08300,15.69360,0.18610,1.11480,80.73380,14.10160,31.95380,2.95510,5.29280,4.94100,2.1397,2.0824
2014-06-30,566.89600,566.89600,21.95400,425.30700,-19.94900,98.98000,98.98000,13.07100,85.90900,85.90900,85.19200,183.49990,98.98000,123.11700,133.57600,0.69000,0.64000,1.82980,0.65220,1.87560,100.00000,17.46000,17.46000,17.46000,15.02780,0.18410,1.04150,86.41670,15.15950,43.35350,2.78970,5.27180,4.64360,0.569,0.5497
2014-03-31,533.40000,533.40000,23.48700,392.15500,-9.35800,107.18000,107.18000,21.75100,85.42900,85.42900,80.84200,200.28200,107.18000,121.77600,134.02600,0.66000,0.61000,2.20930,0.65690,1.91420,100.00000,20.09370,20.09370,20.09370,15.15600,0.18400,1.01970,88.25910,15.37490,45.26760,2.94770,5.27590,4.51760,0.40150,0.37980
2013-12-31,612.69000,612.69000,23.95800,444.32400,-63.89800,73.15400,73.15410,20.35800,52.79610,52.79610,53.21700,160.47400,73.15410,120.85400,133.73700,0.45000,0.40000,2.06720,0.62810,1.68920,100.00000,11.93980,11.93980,11.93980,8.68580,0.20350,1.19510,75.30850,8.38040,19.83910,1.75340,3.11630,5.21790,2.6878,2.6412
2013-09-30,480.35400,480.35400,22.21700,373.65800,-2.48400,81.11800,81.11800,18.37000,62.74800,62.74800,60.28200,163.31900,81.11800,122.20000,134.24200,0.49000,0.45000,2.30140,0.62450,1.66340,100.00000,16.88710,16.88710,16.88710,12.54950,0.16250,0.89590,100.45420,9.54980,22.35730,2.12240,3.58560,5.09130,1.1481,1.0557
2013-06-30,490.40500,490.40500,20.13400,422.34000,-5.98900,40.93800,40.93800,9.01700,31.92100,31.92100,31.35300,129.30700,40.93800,121.76000,132.46400,0.26000,0.24000,2.10750,0.64860,1.84570,100.00000,8.34780,8.34780,8.34780,6.39330,0.16790,0.93430,96.33170,5.39010,14.70990,1.09270,1.89420,4.58880,0.6527,0.5838
2013-03-31,401.90300,401.90300,22.98000,347.31300,-9.13600,21.59700,21.59700,3.94800,17.64900,17.64900,15.36000,118.60700,21.59700,117.70800,132.81600,0.13000,0.12000,2.58660,0.65450,1.89440,100.00000,5.37370,5.37370,5.37370,3.82180,0.14730,0.87390,102.98310,3.05820,9.60310,0.64690,1.05660,4.50100,-0.55030,-0.75030
2012-12-31,560.69290,560.69290,23.75000,529.29300,-10.66000,-5.19700,-5.19700,-1.09100,-4.10600,-4.10600,-5.36300,113.31210,-5.19700,116.95400,129.32600,-0.04000,-0.05000,2.27530,0.62690,1.68020,100.00000,-0.92690,-0.92690,-0.92690,-0.95650,0.18770,1.17290,76.73340,-0.63020,-1.58710,-0.13750,-0.23510,5.64530,1.9548,1.8119
2012-09-30,428.80600,428.80600,21.47400,350.28700,-7.82500,46.72600,46.72600,13.05300,33.67300,33.67300,33.30400,136.62100,46.72600,115.60300,135.38000,0.29000,0.26000,2.90560,0.56770,1.31320,100.00000,10.89680,10.89680,10.89680,7.76670,0.14320,0.88540,101.64970,4.03840,7.68120,1.12430,1.74580,7.27150,1.5153,1.3498
2012-06-30,436.91000,436.91000,21.27500,360.00500,-8.53700,44.53300,44.53300,10.37100,34.16200,34.16200,30.82300,134.06400,44.53300,118.23500,134.63700,0.26000,0.24000,2.74480,0.56990,1.32520,100.00000,10.19270,10.19270,10.19270,7.05480,0.14670,0.90370,99.59310,4.13380,7.90350,1.14720,1.77780,7.07500,0.858,0.6945
2012-03-31,486.03900,486.03900,20.39300,415.62800,-11.07700,37.82300,37.82300,8.76700,29.05600,29.05600,25.55200,139.85300,37.82300,119.23000,136.59400,0.21000,0.20000,3.26630,0.56030,1.27410,100.00000,7.78190,7.78190,7.78190,5.25720,0.16710,0.93010,96.76720,3.37560,6.25110,0.99920,1.48430,7.18350,-0.60180,-0.78660
2011-12-31,451.77800,451.77800,22.64600,425.12390,-11.87600,-14.88690,-14.88700,-6.76400,-8.12300,-8.12300,-4.59500,70.60910,-14.88700,118.03200,137.63000,-0.05000,-0.04000,2.75770,0.55860,1.26540,100.00000,-3.29520,-3.29520,-3.29520,-1.01710,0.14660,0.89560,100.49390,-0.93710,-1.71460,-0.26360,-0.41360,7.25300,0.8326,0.6273
2011-09-30,462.41900,462.41900,20.41700,343.17400,-9.37400,87.73800,87.73800,20.60500,67.13300,67.13300,62.78500,159.31000,87.73800,118.31600,136.85800,0.53000,0.49000,3.21480,0.54470,1.19660,100.00000,18.97370,18.97370,18.97370,13.57750,0.14740,0.77670,115.87240,7.31310,12.82140,2.14040,3.32930,7.72890,1.9511,1.8667
2011-06-30,477.29200,477.29200,20.58200,356.96300,-8.83900,89.20200,89.20200,17.63600,71.56600,71.56600,62.00400,161.41200,89.20200,119.10700,139.34800,0.52000,0.48000,4.04970,0.59300,1.45720,100.00000,18.68920,18.68920,18.68920,12.99080,0.15490,0.89690,100.34250,8.34300,14.53560,2.32280,3.39540,7.38930,0.6095,0.584
2011-03-31,438.02300,438.02300,19.56700,333.91000,-9.62600,73.44600,73.44600,13.46300,59.98300,59.98300,55.00700,180.94900,73.44600,115.33500,138.59100,0.48000,0.43000,4.17760,0.59800,1.48770,100.00000,16.76760,16.76760,16.76760,12.55800,0.13860,0.82510,109.07860,7.13690,12.55860,1.89860,2.86890,7.18510,-0.50280,-0.51660
2010-12-31,594.88510,594.88510,20.19200,424.21800,-16.25300,131.61310,131.61300,20.17800,111.43500,111.43500,100.10100,199.19510,131.61300,104.41100,138.47000,1.05000,0.84000,2.58080,0.61090,1.56980,100.00000,22.12410,22.12410,22.12410,16.82700,0.17380,1.04600,86.03910,13.99730,25.63620,3.25590,5.44680,7.05460,0.8813,0.8585
2010-09-30,453.23700,453.23700,18.90400,345.21300,-7.93400,79.46700,79.46700,9.11300,70.35400,70.35400,64.09100,137.24900,79.46700,111.05900,138.09400,0.58000,0.51000,2.27310,0.66250,1.96320,100.00000,17.53320,17.53320,17.53320,14.14070,0.14510,0.57560,156.37060,11.06210,22.16200,2.25230,3.73310,5.74320,0.9909,0.9574
2010-06-30,419.03500,419.03500,16.99600,324.40300,-8.81600,67.05100,67.05100,13.52300,53.52800,53.52800,44.57200,127.64200,67.05100,103.52700,139.94400,0.43000,0.39000,2.78610,0.68070,2.13190,100.00000,16.00130,16.00130,16.00130,10.63680,0.14920,0.67210,133.89910,9.15110,19.24740,1.90570,2.92190,5.36700,1.9193,1.9078
2010-03-31,438.21100,438.21100,17.65200,356.79500,-9.36700,-34.48100,-34.48100,6.41300,-40.89400,-40.89400,-33.53400,126.37500,-34.48100,89.73600,89.73600,-0.38000,-0.38000,2.78640,0.68880,2.21370,100.00000,-7.86860,-7.86860,-7.86860,-7.65250,0.15190,0.60250,149.38350,-7.18800,-16.18760,-1.41720,-2.23670,5.84220,-2.57250,-2.59820
2009-12-31,494.78300,494.78300,19.95000,685.46790,-8.67100,-221.57600,-221.57600,-23.30100,-198.27500,-198.27500,-143.64300,-65.87100,-221.57600,78.31200,78.31200,-1.76000,-1.66000,1.88050,0.70690,2.41160,100.00000,-44.78250,-44.78250,-44.78250,-29.03150,0.15720,0.94120,95.62320,-37.90410,-96.57020,-6.29890,-11.11050,6.06050,2.1528,2.0666
2009-09-30,411.71500,411.71500,17.59200,310.76900,-8.15700,73.16500,73.16500,19.96800,53.19700,53.19700,37.41800,146.69000,73.16500,80.75700,131.46800,0.47000,0.41000,2.69370,0.66910,2.02170,100.00000,17.77080,17.77080,17.77080,9.08830,0.14200,0.78310,114.92500,8.51710,17.00190,1.83460,2.81860,7.63330,0.5596,0.5272
2009-06-30,375.62500,375.62500,16.15600,294.98500,-7.19400,56.94600,56.94600,13.51900,43.42700,43.42700,28.18700,130.10700,56.94600,74.93600,127.98500,0.38000,0.34000,2.63990,0.77050,3.35740,100.00000,15.16030,15.16030,15.16030,7.50400,0.14160,0.70990,126.77890,11.55030,23.30160,1.63670,2.65070,4.92360,0.7033,0.7007
2009-03-31,248.39500,248.39500,15.92200,253.01400,-7.33400,-90.76900,-90.76900,-4.17500,-86.59400,-86.59400,-53.49600,6.84300,-90.76900,70.14400,70.14400,-0.77000,-0.77000,2.90470,0.83690,5.13080,100.00000,-36.54220,-36.54220,-36.54220,-21.53670,0.10370,0.62250,144.57720,-35.21210,-126.96300,-3.61380,-5.74350,3.67020,-0.29010,-0.31350
