Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,0.00000,0.02300,-0.02300,0.33800,0.33800,-0.36100,,-0.36100,-0.36100,-0.36100,-0.38700,-0.35900,-0.36100,5.75100,5.75100,-0.07000,-0.07000,0.01330,,,,,0.00000,-2.21530,-2.21530,-2.10470,-2.21530,2.81860,-0.01200,-0.01200
2021-12-31,2.07200,0.02300,2.04900,0.46100,0.46100,1.58800,0.01900,1.60700,1.60700,1.60700,1.56300,1.58900,1.58800,5.73600,5.73600,0.27000,0.27000,0.01300,76.64090,76.64090,77.55790,75.43430,0.11710,9.65110,9.65110,9.08470,9.65110,2.89580,-0.0249,-0.0254
2021-09-30,7.02900,0.04100,6.98800,0.28000,0.28000,6.70800,-0.15800,6.55000,6.55000,6.55000,6.52600,6.70900,6.70800,5.73360,5.73360,1.14000,1.14000,0.01430,95.43320,95.43320,93.18540,92.84390,0.42590,43.46380,43.46380,39.69220,43.46380,2.62840,0.0171,0.0171
2021-06-30,0.80500,0.02200,0.78300,0.31200,0.31200,0.47100,,0.47100,0.47100,0.47100,0.44800,0.47300,0.47100,5.73400,5.73400,0.08000,0.08000,0.02530,58.50930,58.50930,58.50930,55.65220,0.07850,5.52100,5.52100,4.59060,5.52100,1.48790,-0.0246,-0.0246
2021-03-31,0.31900,0.02000,0.29900,0.25200,0.25200,0.04700,-0.01900,0.02800,0.02800,0.02800,0.02800,0.05000,0.04700,5.73360,5.73360,0.00000,0.00000,0.02680,14.73350,14.73350,8.77740,8.77740,0.03620,0.34710,0.34710,0.31770,0.34710,1.40700,-0.01170,-0.01170
2020-12-31,0.49600,0.02700,0.46900,0.26100,0.26100,0.20800,,0.20800,0.20800,0.20800,0.18200,0.21100,0.20800,5.73360,5.73360,0.03000,0.03000,0.02690,41.93550,41.93550,41.93550,36.69360,0.05460,2.59190,2.59190,2.29000,2.59190,1.39960,0.0021,0.0021
2020-09-30,0.25900,0.02700,0.23200,0.23900,0.23900,-0.00700,,-0.00700,-0.00700,-0.00700,-0.03300,-0.00300,-0.00700,5.73360,5.73360,-0.01000,-0.01000,,-2.70270,-2.70270,-2.70270,-12.74130,0.02840,-0.08930,-0.08930,-0.07690,-0.08930,1.36640,0.008,0.0079
2020-06-30,0.48200,0.01500,0.46700,0.28200,0.28200,0.18500,,0.18500,0.18500,0.18500,0.16500,0.18600,0.18500,5.73360,5.73360,0.03000,0.03000,0.02750,38.38170,38.38170,38.38170,34.23240,0.05130,2.35370,2.35370,1.96750,2.35370,1.37090,-0.0558,-0.0579
2020-03-31,-0.02300,0.02900,-0.05200,0.24600,0.24600,-0.29800,,-0.29800,-0.29800,-0.29800,-0.36400,-0.29600,-0.29800,5.73400,5.73400,-0.06000,-0.06000,0.07810,1295.65200,1295.65200,1295.65200,1582.60900,-0.00250,-3.87670,-3.87670,-3.29350,-3.87670,1.34060,-0.00070,-0.00090
2019-12-31,0.40500,0.02300,0.38200,0.25900,0.25900,0.12300,,0.12300,0.12300,0.12300,0.06200,0.12600,0.12300,5.73400,5.73400,0.02000,0.02000,0.07460,30.37040,30.37040,30.37040,15.30860,0.04270,1.52930,1.52930,1.29540,1.52930,1.40270,0.0119,0.0117
2019-09-30,0.35000,0.03100,0.31900,0.26400,0.26400,0.05500,,0.05500,0.05500,0.05500,-0.01500,0.05700,0.05500,5.73400,5.73400,0.00000,0.00000,0.07530,15.71430,15.71430,15.71430,-4.28570,0.03580,0.68980,0.68980,0.56180,0.68980,1.39050,0.0047,0.0047
2019-06-30,0.10900,0.01000,0.09900,0.28000,0.28000,-0.18100,,-0.18100,-0.18100,-0.18100,-0.20500,-0.17800,-0.18100,5.73360,5.73360,-0.04000,-0.04000,0.07520,-166.05510,-166.05510,-166.05510,-188.07340,0.01090,-2.26850,-2.26850,-1.81200,-2.26850,1.39150,-0.0375,-0.0375
2019-03-31,0.11700,,0.11700,0.26400,,-0.14700,,-0.14700,-0.14700,-0.14700,-0.14700,-0.14500,-0.14700,5.73360,5.73360,-0.03000,-0.03000,,-125.64100,-125.64100,-125.64100,-125.64100,0.01370,-1.79840,-1.79840,-1.71750,-1.79840,1.42550,-0.74140,-0.74140
2018-12-31,1.71800,0.16300,1.55500,0.30000,0.30000,1.25500,-9.99800,-8.75100,-8.75100,-8.75100,-6.45500,1.25900,1.25500,5.73400,5.73400,-1.12000,-1.12000,,73.05010,73.05010,-509.37130,-375.72760,0.13680,-105.25620,-105.25620,-69.66800,-105.25620,1.44990,-0.7707,-0.7707
2018-09-30,1.25400,0.06300,1.19100,0.30500,0.30500,0.88600,,0.88600,0.88600,0.88600,0.65200,0.88900,0.88600,5.73400,5.73400,0.11000,0.11000,0.13590,70.65390,70.65390,70.65390,51.99360,0.06490,6.02110,6.02110,4.58660,6.02110,2.56670,-0.1184,-0.1184
2018-06-30,0.72300,0.02900,0.69400,0.35900,0.35900,0.33500,-0.00800,0.32700,0.32700,0.32700,0.26500,0.34700,0.33500,5.73400,5.73400,0.05000,0.05000,0.14250,46.33470,46.33470,45.22820,36.65280,0.03560,2.33060,2.33060,1.60830,2.33060,2.44740,-0.3233,-0.3233
2018-03-31,0.11500,0.00800,0.10700,0.31800,0.31800,-0.21100,,-0.21100,-0.21100,-0.21100,-0.21100,-0.20500,-0.21100,5.73400,5.73400,-0.04000,-0.04000,,-183.47820,-183.47820,-183.47820,-183.47820,0.00540,-1.53620,-1.53620,-0.99860,-1.53620,2.39580,0.05560,0.05560
2017-12-31,0.21600,0.01000,0.20600,0.23000,0.23000,-0.02400,0.00000,-0.02400,-0.02400,-0.02400,-0.02400,0.00300,-0.02400,5.80800,5.80800,0.01000,0.01000,,-11.11130,-11.11120,-11.11050,-11.11050,0.01010,-0.17240,-0.17240,-0.11220,-0.17240,2.42730,-2.6797,-2.6797
2017-09-30,19.33000,0.51400,18.81600,0.37000,0.37000,18.44600,-41.40000,-22.95400,-22.95400,-22.95400,-22.95400,18.47400,18.44600,5.77700,5.77700,-3.97000,-3.97000,,95.42680,95.42680,-118.74810,-118.74810,0.46900,-164.91130,-164.91130,-55.69330,-164.91130,2.42910,-2.3591,-2.3591
2017-06-30,2.65900,0.09400,2.56500,0.39000,0.39000,2.17500,-1.05900,1.11600,1.11600,1.11600,1.11600,2.20200,2.17500,5.83300,5.83300,0.19000,0.19000,,81.79770,81.79770,41.97070,41.97070,0.04340,2.96570,2.96570,1.82060,2.96570,6.48120,0.5068,0.5058
2017-03-31,1.63600,0.06300,1.57300,0.33500,0.33500,1.23800,0.03200,1.27000,1.27000,1.27000,1.27000,1.26400,1.23800,5.89190,5.89190,0.22000,0.22000,,75.67240,75.67240,77.62840,77.62840,0.03450,3.39770,3.39770,2.67480,3.39770,,0.00200,0.00200
2016-12-31,11.83300,0.07400,11.75900,0.33300,0.33300,11.42600,-13.87100,-2.31900,-2.31900,-2.31900,-2.31900,11.45200,11.42600,6.02300,6.02300,-0.38000,-0.38000,,96.56050,96.56050,-19.59770,-19.59770,0.23200,-6.24010,-6.24010,-4.54710,-6.24010,6.28180,-0.1317,-0.1318
2016-09-30,2.16600,0.08300,2.08300,0.34600,0.34600,1.73700,1.24800,2.98500,2.98500,2.98500,2.98500,1.74300,1.73700,6.02600,6.02600,0.50000,0.50000,,80.19390,80.19390,137.81160,137.81160,0.03730,7.37600,7.37600,5.14680,7.37600,6.76630,0.0055,0.0039
2016-06-30,3.53200,0.06800,3.46400,0.37700,0.37700,3.08700,-2.21500,0.87200,0.87200,0.87200,0.87200,3.09200,3.08700,6.05900,6.05890,0.14000,0.14000,,87.40090,87.40090,24.68860,24.68860,0.05980,2.27500,2.27500,1.47710,2.27500,6.33760,-0.2379,-0.2381
2016-03-31,1.53100,0.06100,1.47000,0.36400,0.36400,1.10600,0.06300,1.04300,1.04300,1.04300,1.04300,1.11100,1.10600,6.06000,6.06000,0.17000,0.17000,,72.24040,72.24040,68.12540,68.12540,0.02920,2.76940,2.76940,1.98910,2.76940,6.21470,0.43320,0.43320
2015-12-31,0.86800,0.18500,0.68300,0.41000,0.32500,0.35800,,0.38000,0.38000,0.37200,0.37200,0.36400,0.35800,6.20000,6.20000,0.06000,0.06000,,41.24420,41.24420,43.77880,42.85720,0.01650,1.00470,1.00470,0.70610,1.00470,6.11010,0.3684,0.3667
2015-09-30,1.18000,0.08500,1.09500,0.35300,0.35300,0.74200,,0.74200,0.74200,0.74200,0.74200,0.74700,0.74200,6.06000,6.06000,0.12000,0.12000,,62.88140,62.88140,62.88140,62.88140,0.02190,2.02750,2.02680,1.37460,2.02730,,0.6596,0.6596
2015-06-30,2.06500,0.08700,1.97800,0.32100,0.32100,1.65700,,1.65700,1.65700,1.65700,1.65700,1.66000,1.65700,6.14000,6.14000,0.27000,0.27000,,80.24210,80.24210,80.24210,80.24210,0.03670,4.47160,4.46990,2.94420,4.47110,,-0.108,-0.1112
2015-03-31,2.26700,0.08700,2.18000,0.35000,0.35000,1.83000,,1.83000,1.83000,1.83000,1.83000,1.83400,1.83000,6.04000,6.04000,0.30000,0.30000,,80.72340,80.72340,80.72340,80.72340,0.04580,4.88440,4.88260,3.69850,4.88260,,0.39060,0.38970
2014-12-31,2.16100,0.31000,1.85100,0.18000,0.18000,1.67100,,1.70000,1.70000,1.69000,1.69000,1.67200,1.67100,6.00000,6.00000,0.28000,0.28000,,77.32530,77.32530,78.66730,78.20450,0.04350,4.60540,4.60370,3.40110,4.60490,6.11670,0.315,0.3233
2014-09-30,1.85100,0.12000,1.73100,0.34000,0.34000,1.39100,,1.37000,1.37000,1.37600,1.37600,1.39500,1.39100,6.00000,6.00000,0.23000,0.23000,,75.14860,75.14860,74.01410,74.33820,0.03680,3.85690,3.85650,2.73780,3.85760,,1.025,1.025
2014-06-30,0.89900,,0.89900,0.35000,,0.54900,,0.54000,0.54000,0.54100,0.54100,0.55300,0.54900,6.00000,6.00000,0.09000,0.09000,,61.06790,61.06790,60.06670,60.17800,0.01770,1.54280,1.54260,1.06480,1.54310,,-0.7602,-0.7324
2014-03-31,0.64800,,0.64800,0.25000,,0.39800,,0.39000,0.39000,0.39300,0.39300,0.39900,0.39800,1.38700,1.38700,0.28000,0.28000,,61.41980,61.41980,60.18520,60.64820,0.01730,1.14030,1.13980,1.04720,1.14010,,0.86520,0.82910
2013-12-31,0.63500,,0.63500,,,0.63500,,0.63500,0.63500,0.37900,0.37900,0.63500,0.63500,1.11500,1.11500,0.34000,0.34000,,100.00000,100.00000,100.00000,59.68500,,,,,,,0,0
2013-09-30,0.63500,,0.63500,,,0.63500,,0.63500,0.63500,0.47300,0.47300,0.63500,0.63500,1.11500,1.11500,0.42000,0.42000,,100.00000,100.00000,100.00000,74.48820,,,,,,,0,0
